"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132283894&doi=10.5334%2fdsj-2022-013&partnerID=40&md5=ca91e9d7d01f8d3080cf44a5b76037f1","AgReFed; agriculture; community; FAIR data; governance; RM-ODP","Semantics; Agricultural research; Agricultural research federation; Community; Data federation; Domain specific; Findable, accessible, interoperable, and re-usable data; Governance; Principles and practices; Research domains; RM-ODP; Agriculture"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165224318&doi=10.5334%2fdsj-2023-021&partnerID=40&md5=f5badb46b2fc18a56a5a5191114f1c0a","automation; FAIR data principles; Kadi4Mat; KadiStudio; micromechanical testing; scientific workflow","Compression testing; Data handling; Time series analysis; Error prone tasks; FAIR data principle; Kadi4mat; Kadistudio; Micro-mechanical testing; Micro-pillar compressions; Scanning electrons; Scientific workflows; Situ scanning; Work-flows; Scanning electron microscopy"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090639484&doi=10.5334%2fDSJ-2020-025&partnerID=40&md5=921855f5c614f33431d5147227d4b96e","Citation patterns; Interdisciplinary; Open access; Open science; Structural biology","Computer applications; Computer science; Atomic coordinate; Atomic levels; Biology and medicine; Biomolecular structures; Protein data bank; Scientific discipline; Scientific fields; Scientific publications; Proteins"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117570897&doi=10.5334%2fdsj-2021-031&partnerID=40&md5=d78f4cb8d635e8a4449aa06e304d6120","Data sharing; Open research; Open science; Publishing practices; Reuse of research data; Survey results","Open Data; Publishing; Best practices; Data Sharing; New solutions; Open research; Open science; Publishing practice; Research data; Reuse; Reuse of research data; Survey result; Surveys"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088980048&doi=10.5334%2fdsj-2020-017&partnerID=40&md5=faa0af858955ebf2b2aad451646712fd","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100864593&doi=10.5334%2fdsj-2021-008&partnerID=40&md5=0cb95d63e5f6358be961e9f7af2d58d5","Electronic lab notebook; Materials science; Open source; Repository; Research data management","Data visualization; Electronic data interchange; Graphical user interfaces; Electronic lab; Research data; Research process; Source codes; Structured data; Technologies and systems; Web based; Digital storage"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106893502&doi=10.5334%2fdsj-2020-037&partnerID=40&md5=433df6f786edcc56305f8dfb9f8573c6","Academic society; Biodiversity; Data policy; Data publication; Earth science; FAIR data; Scholarly journal","Biodiversity; Earth sciences; Address datum; Quality of data; Research data; Research institutions; Data Sharing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121151960&doi=10.5334%2fDSJ-2021-033&partnerID=40&md5=df8d64d1f32a666bcb80823a785c8684","Metadataphysical specimen; Persistent identifier; Research data infrastructure","Data infrastructure; Metadataphysical specimen; Persistent identifier; Research data; Research data infrastructure; Sample number; Technical implementation; Technical systems; Unique identifications; Unique identifiers; Earth sciences"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147793829&doi=10.5334%2fdsj-2023-003&partnerID=40&md5=6f72d8eb91f0f8e528f0285216f2a8cb","Data Discovery; Requirements; Research Data; Use Cases","Crowdsourcing; Data discovery; Data infrastructure; Data quality assessment; Data reuse; Large-scales; Metadata quality; Requirement; Research data; Use case; Metadata"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107972984&doi=10.5334%2fdsj-2021-022&partnerID=40&md5=c50a5eb841a3c44a901c988f3fbe8e36","Data cube; Data sharing; Earth observations; Environmental monitoring; Interoperability; Open science; Reproducibility; Switzerland","Data Sharing; Electrooptical devices; Observatories; Open Data; Digital repository; Diverse data sets; Earth observations; Environmental data; High performance computing; Information products; Scientific researches; Spatial data infrastructure; Metadata"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117230853&doi=10.5334%2fdsj-2021-030&partnerID=40&md5=0e1770c1abf500f2c4ea6451df4a41fe","Data stewarship; FAIR; Research support; Self-assesment","Research and development management; Assesment; Data set; Data stewarship; Research data managements; Research institutions; Research organization; Research support; Roadmap; Self-assesment; Task groups; Information management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115426102&doi=10.5334%2fdsj-2021-027&partnerID=40&md5=e4debe975e7f036c0cd7bcc61b735720","Open data platform; Public commitment; SARS-CoV-2; Stigma; Technical limitations; Wastewater-based epidemiology","Catchments; Diseases; Epidemiology; Open Data; Public health; Data platform; Health benefits; Infectious disease; Open data platform; Open datum; Public commitment; SARS-CoV-2; Stigma; Technical limitations; Wastewater-based epidemiology; SARS"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099756527&doi=10.5334%2fdsj-2020-039&partnerID=40&md5=f33f54432b4a381a8670867101970452","Data physicalization; Internet of things; Musicalization; Open data","Internet of things; Mapping; Data access; Ex antes; Field test data; Governmental policies; Musical genre; Political movements; Qualitative information; Open Data"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102770129&doi=10.5334%2fDSJ-2021-010&partnerID=40&md5=e5ca0e1fbe07f5b58a29988a39b4b9e5","Alumni; CODATA; Data science; RDA; School; Survey","Data Science; Information management; Network coding; Open Data; Students; Alumni survey; Data centric; Long-term goals; Research data; Research data managements; Summer school; Surveys"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099756922&doi=10.5334%2fDSJ-2020-051&partnerID=40&md5=2f23df971aaa1aa6a88277f299df1e41","Analog data; Data management; Data reuse; Data sharing; Historical data; Preservation","Biodiversity; Information management; Libraries; Cross-disciplinary; Digital data sets; High-level treatment; Long-term preservation; Machine-readable format; Research institutions; Scientific studies; University of Minnesota; Climate change"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142367867&doi=10.5334%2fdsj-2022-018&partnerID=40&md5=af6e18de58698e88847ae4c0280a8f0e","data quality assurance; research data; research data quality; research data repositories; survey","Character recognition; Data reduction; Quality assurance; Data quality; Data quality assurance; Data repositories; Research data; Research data quality; Research data repository; Review process; Surveys"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168787251&doi=10.5334%2fdsj-2023-024&partnerID=40&md5=8ae374acfea9d0e1d0ea5f981bf2212c","Data Management Plan; Informatics Tools; Parkinson’s Disease; Traumatic Brain Injury","Brain; Clinical research; Computer software; Data acquisition; Digital storage; Life cycle; Medical informatics; Data management plan; Informatic tool; Informatics; Management plans; Parkinson’s disease; Research data; Research management systems; Research programs; Software-tools; Traumatic Brain Injuries; Information management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128662460&doi=10.5334%2fdsj-2022-009&partnerID=40&md5=24fba134d83cbb26b7d5298a10045822","language data management; language documentation; linguistics archiving; musicological archiving","Music; Cultural records; Digital sources; Digitisation; Language data management; Language documentation; Linguistic archiving; Musicological archiving; Papua New Guinea; Research data; Research outputs; Information management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125145598&doi=10.5334%2fdsj-2022-006&partnerID=40&md5=2a3d4c326a556b99f62f7f6acb0b0bcc","Data science; Deep-learning; Google street view; Socioeconomic indicators","Convolutional neural networks; Deep learning; Large dataset; Population statistics; Rural areas; Case-studies; Census data; Deep-learning; Google street view; Google+; Learning methods; Performance; Remote observation; Rural regions; Socioeconomic indicators; Forecasting"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139398207&doi=10.5334%2fdsj-2022-017&partnerID=40&md5=76123257ce94a06950440d9b38474f2d","childhood cancer; data; datasets; EHR; electronic health records; neuro-oncology; neuroblastoma; open data; pediatric oncology","HTTP; Oncology; Open Data; Pediatrics; Records management; Surveys; Websites; Childhood cancers; Data; Dataset; Electronic health; Electronic health record; Health records; Neuro-oncology; Neuroblastomas; Open datum; Pediatric oncology; Diseases"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103560251&doi=10.5334%2fdsj-2021-011&partnerID=40&md5=f150e2a9ad0433219dfda0ef5dd4e345","Global Sample Number","Information management; Metadata; Environmental change; Environmental sample; Environmental science; Microbial communities; Multi-disciplinary research; Multi-disciplinary teams; Multiple facilities; United states department of energies; Ecosystems"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115316144&doi=10.5334%2fdsj-2021-028&partnerID=40&md5=8500c72a5c40b2719e38dbfa938187fb","Convention on Biological Diversity (CBD); Global Initiative on Sharing Avian Flu Data (GISAID); International Nucleotide Sequence Database Collaboration (INSDC); Nagoya Protocol; Nucleotide Sequence data (NSD)","Open Data; Viruses; Avian flu; Convention on biological diversity; Database collaborations; Global initiative on sharing avian flu data; International Nucleotide Sequence Database; International nucleotide sequence database collaboration; Nagoyum protocol; Nucleotide sequence data; Nucleotides sequences; Sequence data; Nucleotides"
