Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Spirituality in business networks: An overlooked driver of network outcomes,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046477450&doi=10.5465%2fambpp.2017.218&partnerID=40&md5=4d9ae5b15a06c62007bcd5a9729961fd,"This paper introduces spirituality as antecedent of trust and network commitment, and thus aims to reveal how distinctive features of spirituality-based networks affect the internationalization performance of the member firms. The results confirm spirituality as a significant antecedent of trust and commitment which foster relationship learning and internationalization performance. © 2017 Academy of Management. All rights reserved.",,Business networks
How national science foundation rotators build up the ability of their colleagues to attract research resources,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046487259&partnerID=40&md5=25aa87286242c0ae4d5512585244409c,[No abstract available],,
It takes two to tango: Reciprocity in entrepreneurial mentorship tie formation,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046473524&doi=10.5465%2fambpp.2017.277&partnerID=40&md5=c11c2edd5be57bf5888984bb0077553a,[No abstract available],,
"Connected, but qualified? Social affiliations, human capital, and service professional performance",2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046490146&doi=10.5465%2fambpp.2017.233&partnerID=40&md5=36fe475e89d2f6397d1e9db7fd034cd2,"This paper investigates how social affiliations between real estate listing agents and home sellers influence transaction outcomes, including the selection process whereby sellers choose agents. I find that while affiliations lead to transaction benefits for sellers and agents on average, they also lead to underexplored downsides through human capital deficiencies. © 2017 Academy of Management. All Rights Reserved.",,Human capitals; Real estate
Managing ongoing dualities in international business,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046483567&doi=10.5465%2fambpp.2017.49&partnerID=40&md5=0fb17ec1e40101e60cd11cb3fa4b1f50,[No abstract available],,
Interactive recombination and search: Does social hierarchy affect team creativity,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046480294&doi=10.5465%2fAMBPP.2017.81&partnerID=40&md5=5bab35e6b713578d3ef3c5d3b58c2837,"Using patent data in the semiconductor industry, we investigate whether team social hierarchy – based on the relative concentration of valuable resources in the team – influences the creativity of the team’s innovations. We find a U-shaped relationship and explore whether time-spanning search influences this dynamic. © 2018 Academy of Management. All Rights Reserved.",,Patent datum; Relative concentration; Semiconductor industry; Social hierarchy; Team creativity; U-shaped; Semiconductor device manufacture
Divided we stand: The policy bifurcation of fields in the aftermath of critical events,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046490899&doi=10.5465%2fAMBPP.2017.1&partnerID=40&md5=393b51c1650f0bce2397cc632ecd8edc,"Using a longitudinal study of firm-level CSR engagement pre- and post-Fukushima, we experimentally examine the influence of local changes in nuclear policy on organizational adjustments. Drawing on the argument of Kunreuther & Bowman (1997), we elaborate the role of event-specific policy changes as a reference point for critical global events. © 2017 Academy of Management. All rights reserved.",,Critical events; Event-specific; Fukushima; Longitudinal study; Nuclear policy; Policy changes; Reference points
"Play as practice research: Linking practice, practitioners, praxis, objects and context",2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046475280&doi=10.5465%2fambpp.2017.305&partnerID=40&md5=185e26f0f6e14150dbd96038a6027c44,[No abstract available],,
Organization theorizing for sustainability: UN-making ‘people’ and ‘nature’ exploitable,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046472170&doi=10.5465%2fambpp.2017.245&partnerID=40&md5=9b49871460567b403a3a81e5587a5c83,[No abstract available],,
Home country political and legal hazards and international expansion of emerging market firms,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046480455&doi=10.5465%2fambpp.2017.39&partnerID=40&md5=50d9b7eced8dbe3db756a3af127260c7,"This study employs institution-based view to examine the effect of political and legal institutional hazards in home country on firm internationalization. We argue that firm responses toward political and legal hazards are heterogenous, depending on boundary condition imposed by home country environment, government connections, firm’s managerial resources and human capital. © 2017 Academy of Management. All rights reserved.",,Emerging market firms; Human capitals; International expansion; Managerial resources; Hazards
Talent management – unscrambled,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046467893&doi=10.5465%2fAMBPP.2017.34&partnerID=40&md5=53759817dd191114e56f27bb4e0faaec,[No abstract available],,
"Platform architecture, multihoming and complement quality: Evidence from the U.S. video game industry",2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046495024&doi=10.5465%2fambpp.2017.228&partnerID=40&md5=183206bd0b936e48064ebe7ebcd6a787,[No abstract available],,
Do shareholders reward morality? An examination of corporate social responsibility and say-on-pay,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046470027&doi=10.5465%2fAMBPP.2017.111&partnerID=40&md5=1f972880b830d65ca6426e994913cb2a,[No abstract available],,
The adjustment costs of scope reduction: Evidence from the financial crisis,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046470821&doi=10.5465%2fambpp.2017.14&partnerID=40&md5=96743f68b3e384fe75c0e800caa6b16a,"We study how refocusing affects the performance of multi-business firms. Using hedge fund firms that closed funds during the 2007-2009 financial crisis, we find evidence that refocusing taxes a firm’s organization by creating corporate adjustment costs in the short-term and destroying synergies between business units in the long-term. © 2017 Academy of Management. All rights reserved.",,Adjustment costs; Business units; Financial crisis; Hedge Funds; Short term
Generalist vs. specialist CEOS: How ceo human capital shapes the firm’s acquisition behaviour and performance,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046474868&doi=10.5465%2fAMBPP.2017.17&partnerID=40&md5=dd046d85cc6d1db1652fe3f8615f9984,[No abstract available],,
Entrepreneurial ecosystems: A conceptual framework for the professional service field,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046490895&doi=10.5465%2fambpp.2017.174&partnerID=40&md5=ac82386c187b615f2cb621346b863d5f,[No abstract available],,
Business model innovation after disruptions: A process study of an incumbent media organization1,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046486839&doi=10.5465%2fAMBPP.2017.151&partnerID=40&md5=7df4d32ce727e2ba2f530016459c2dc9,We investigate the process through which incumbents respond to disruptions by opening up their business models. We conducted a longitudinal study (1995-2016) of a major media publishers responding to the Internet. We find that incumbents increase the access to external knowledge to seize opportunities and fend off low-end disruptors. © 2017 Academy of Management. All Rights Reserved.,,Business model innovation; Business models; External knowledge; Longitudinal study
Is blood thicker than water? sibling rivalry and strategic change in family business groups,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046473096&doi=10.5465%2fambpp.2017.205&partnerID=40&md5=5474400c2adcea2c1e2ac6035b55aece,[No abstract available],,
New venture milestones and the first female board member,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046479115&doi=10.5465%2fambpp.2017.300&partnerID=40&md5=f1dfa8590f6f5a119140d8f9b9920b67,[No abstract available],,
Spirituality and leader forgiveness: The role of spiritual self-regulation,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046482382&doi=10.5465%2fambpp.2017.298&partnerID=40&md5=d20f07921e7a047e875ffe8f7be37001,"In the context of monotheistic religions, it is argued that spirituality transforms the meaning of phenomena related to transgression and forgiveness, and thereby paves the way for a spiritual (as opposed to mundane) self-regulation which facilitates forgiveness by leaders. “Do not try to get even. Do not hold anything against any of your people. Instead, love your neighbor as you love yourself.” (Leviticus 19:18) “Love your enemies. Pray for those who hurt you.” (Matthew 5:44) “Adopt forgiveness (as your way of life)” (Quran 7:199) “[The Paradise is prepared for the God-wary]... those who restraint their anger, and those who forgive people. And God loves the benevolent.” (Quran 3:134) © 2017 Academy of Management. All rights reserved.",,Self regulation; Deregulation
"Seeing through the fog of ambiguous change: Team framing, learning and deciding",2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046487715&doi=10.5465%2fambpp.2017.40&partnerID=40&md5=6d17e1e256f8b03c9bb5660ab5a403bd,"I investigate team learning following an ambiguous change. Findings suggest that opportunity framing increases team learning, which starts with asking change directed questions followed by discussing unshared information and then making better decisions. The results also demonstrate that threat framing is associated with lower engagement in learning and poorer decisions. © 2017 Academy of Management. All rights reserved.",,Engagement in learning; Team learning
Two are better than one: the influence of congruence on the perceived value of HR,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046492869&doi=10.5465%2fambpp.2017.231&partnerID=40&md5=019690e8adc24243dad44d2bee9d62c1,[No abstract available],,
Organizational political ideology and corporate responses to activist protest,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046489211&doi=10.5465%2fambpp.2017.241&partnerID=40&md5=2a1fcce5bec885fc621e40f154b46136,[No abstract available],,
Introducing liva to measure long-term firm performance,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046495573&doi=10.5465%2fambpp.2017.210&partnerID=40&md5=cb0a62ae853f9d17cdea5a9cac57326a,"In this study we introduce LIVA (long-term investor value appropriation) as a new measure of long-term firm performance to close the gap between the common theoretical assumption that managers optimize firm value, and the common empirical practice of measuring performance using short-term ratios such as ROA (return on assets). © 2017 Academy of Management. All Rights Reserved.",,Firm Performance; Firm value; Measuring performance; Return on assets; Short term
Fighting “factory fiction”: How marginal actors resist the dominant in UK book publishing,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046476536&doi=10.5465%2fAMBPP.2017.28&partnerID=40&md5=61f1bd44ea74a8bb01ab25bc5da377f9,[No abstract available],,
The dirty side of money: How extrinsic incentives jeopardize knowledge sharing,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046474511&doi=10.5465%2fAMBPP.2017.129&partnerID=40&md5=25af841837150f1aa43793d412caf563,[No abstract available],,
The survival of family-firm spawns,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046476139&doi=10.5465%2fambpp.2017.234&partnerID=40&md5=3a4e8efe00d8125682a519aee80dfb08,[No abstract available],,
Get resources from work and engage in voice: How and why person-environment fit affects voice behavior,2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046470831&doi=10.5465%2fambpp.2017.89&partnerID=40&md5=cf9b74a69c37c28efeec1bf6ac88dbcd,This research draw on the conservation of resources theory to explore how and why person-job fit as well as person-organization fit could potentially affect voice behavior. Our findings indicate that person-job fit is positively related to voice behavior through the mediating effect of employee’s psychological capital. © 2017 Academy of Management. All Rights Reserved.,,Conservation; Conservation of resources theories; Mediating effect; Person-organization fit; Psychological capitals; Behavioral research
"Metaroutines and multi-level ambidexterity: Case of new product introduction at Tata Motors, India",2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046471800&doi=10.5465%2fAMBPP.2017.199&partnerID=40&md5=1314cb750ad53d752f40e78b3b58f2c5,"This study explores the multi-faceted role of metaroutines in dealing with nested ambidexterity challenges experienced during New Product Introductions at Tata Motors, India. Utilizing an in-depth case study approach, we argue that metaroutine enabled approaches to ambidexterity offer a distinct fourth form when compared to structural, contextual and temporal ambidexterity. © 2017 Academy of Management. All rights reserved.",,Case study approach; Metaroutines; Multilevels; New product introductions
"Corporations, politics and democracy: Corporate political activities as processes of corruption",2017,"2017 Annual Meeting of the Academy of Management, AOM 2017",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046493314&doi=10.5465%2fambpp.2017.105&partnerID=40&md5=063445ede340936d84c90c2bdc439873,[No abstract available],,
