Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"Emotional intelligence, interpersonal process effectiveness, and entrepreneurial performance",2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026329882&doi=10.5465%2fAMBPP.2014.34&partnerID=40&md5=2681d1b12dcdf8a1685092a541138dad,"We test a partial mediation model of emotional intelligence, interpersonal processes and venture performance in a large sample of entrepreneurs. The results indicate that emotional intelligence has both a direct effect on venture performance, which is moderated by gender, and an indirect effect on venture performance via interpersonal processes.",,Emotional intelligence; Indirect effects; Process effectiveness
Competition in the search for innovation: Getting ahead by falling behind,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026328393&doi=10.5465%2fAMBPP.2014.168&partnerID=40&md5=4ec1f8d9f3ae5228c748f67838e6f5bc,[No abstract available],,
A framing perspective on field emergence: Constructing institutional fields as settlements,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026321081&doi=10.5465%2fAMBPP.2014.244&partnerID=40&md5=fdb0916f7515ffa2da10217e2519c41e,[No abstract available],,
The joint effects of perspective taking and proactive personality on customer service performance,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026324508&doi=10.5465%2fAMBPP.2014.63&partnerID=40&md5=01da52380eeb99b07b0c8cc399f28414,"The effect of perspective taking on performance is well documented, yet a lack of theoretical discussion explicates how adopting customers' perspective results in satisfactory service performance. This study shows that a high level of role-breadth self-efficacy mediates the interactive effects of perspective taking and proactive personality on proactive service performance.",,Customer services; Interactive effect; Joint effect; Perspective taking; Self efficacy; Service performance
Emotional labor interactions and coworker harming: A self-regulatory depletion perspective,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026320944&doi=10.5465%2fAMBPP.2014.73&partnerID=40&md5=8e87470f1f63c68aef4558321460ca5f,[No abstract available],,
Exploring the influence of economic conditions on collective turnover in federal government - A preliminary study based on a comprehensive model,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026326529&doi=10.5465%2fAMBPP.2014.271&partnerID=40&md5=5c7af84c4a9afa6d4a222be297988cd1,[No abstract available],,
Organizational ambidexterity strategy and firm performance: The moderating role of organizational capital,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026323019&doi=10.5465%2fAMBPP.2014.22&partnerID=40&md5=fe20b3c6dce027cd3d045b700aaa6cee,[No abstract available],,
Social capital and venture development in a low-trust environment,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026328307&doi=10.5465%2fAMBPP.2014.110&partnerID=40&md5=a8c814aeaa7eddf132cd95331aed8bfe,"This study investigates the relevance of social capital for entrepreneur-actor relationships for operating ventures in the low-trust environment. The study reveals that social capital serve as an asset, access to opportunities, protection, or is a danger for ventures. Entrepreneurs apply selectivity and verification to decide whom to deal with.",,Social capitals; Venture development
Credibility and defamiliarization in strategic plans: A narrative analysis,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026329651&doi=10.5465%2fAMBPP.2014.91&partnerID=40&md5=699a698defcd38cc47d3333ba2e2b9c7,[No abstract available],,
Cognitive implications of acculturation: Impact on entrepreneurial intentions,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026325171&doi=10.5465%2fAMBPP.2014.165&partnerID=40&md5=031b86497042946ea27499ef4ac19164,"The number of entrepreneurial ventures by immigrants has increased. However, theoretical research analyzing the process, which shapes the cognitions and intentions of these individuals, is still meager. Based on theories of entrepreneurship and acculturation, this paper develops propositions to suggest when and under what conditions immigrants display increased entrepreneurial intentions.",,Theoretical research
Beyond formal contracts: The post merger integration experience of acquired executives,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026321808&doi=10.5465%2fAMBPP.2014.218&partnerID=40&md5=6d20e5dc812cc8ce25e56111d66f1fbc,[No abstract available],,
Jekyll & hyde effect of learning to contract: Impact of frames & attribution on future transactions,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026319333&doi=10.5465%2fAMBPP.2014.242&partnerID=40&md5=d00ee65f6221f6a2f72a1986617610de,[No abstract available],,
How do international investment agreements protect investment? Micro-level evidence,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026318873&doi=10.5465%2fAMBPP.2014.285&partnerID=40&md5=869cf9e35aa88b4b25fb83d98842243f,[No abstract available],,
Mind the gap: Gender differences in global leadership competencies and why it matters,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026326379&doi=10.5465%2fAMBPP.2014.117&partnerID=40&md5=0b44b66eefe47432167fc3e84493067f,Global mindset is a collection of competencies that are critical for effective global leadership. We find significant differences in the global mindset competencies that men and women bring to leadership roles. This highlights potentially important deficits in the gender-homogeneous senior leadership ranks of most global companies.,,Gender differences; Global leadership
Integrating libertarian paternalism into paternalistic leadership: H.J. Heinz as choice architect,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026321086&doi=10.5465%2fAMBPP.2014.51&partnerID=40&md5=e0d29936fa30b16c183f6ee11df632e3,[No abstract available],,
Competing from the board room: How the board affects a Firm's competitive behavior,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026323389&doi=10.5465%2fAMBPP.2014.133&partnerID=40&md5=a7025d0915a3d18efed5d0c3f9187ce6,[No abstract available],,
Task segregation: A mechanism for work inequality,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026326139&doi=10.5465%2fAMBPP.2014.151&partnerID=40&md5=50619cfb6af9be07a46f93a79d0c3c94,"Task segregation is when a subgroup is disproportionately allocated to spend more time doing particular tasks within a job. Through a case study of female and male screeners at the Transportation Security Administration, this paper examines the processes by which task segregation may emerge and lead to work inequality.",,Transportation Security Administration
The gift of tongues: Translation work in multilingual organizations,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026324231&doi=10.5465%2fAMBPP.2014.189&partnerID=40&md5=a60bbf939b4e34090d2153740c3e0761,"We explore the role and agency of language-skilled individuals in multilingual organizations, who are not professional translators, yet who undertake translation work as part of their everyday activities. Three forms of translation work are identified and aligned to the creation, maintenance and disruption of institutions during their life cycle.",,Societies and institutions
Overcoming creative failure for sustained employee creativity: The pivotal role of team resources,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026320807&doi=10.5465%2fAMBPP.2014.41&partnerID=40&md5=835e4e9f60b9afebc84881db4a30bcc1,[No abstract available],,
Corporate programs: Analysis of a major structural choice in strategy implementation,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026318850&doi=10.5465%2fAMBPP.2014.87&partnerID=40&md5=8c94bde89fe57c9e6b22a2a5ea471aaa,[No abstract available],,
"How, when, and why displaying one's religious affiliation at work affects evaluator judgments",2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026319412&doi=10.5465%2fAMBPP.2014.101&partnerID=40&md5=b96b6a019d37203a37187f9122cf2aeb,"We examine if, how, and under what conditions evaluators display bias when judging the unethical behaviors of Christian co-workers. We found that evaluators were harsher when their Christian co-workers behaved unethically, but those negative outcomes depended on the evaluator's own religion (i.e., Christianity) and the severity of the target's unethicality.",,Christianities; Christians
Formative measurement when indicators contain error: Analysis of ten alternative approaches,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026327834&doi=10.5465%2fAMBPP.2014.197&partnerID=40&md5=3f26e0d3d896c912b2647249ea2dac0a,[No abstract available],,
Surf's up: Reducing internet abuse without demotivating employees,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026324203&doi=10.5465%2fAMBPP.2014.40&partnerID=40&md5=9d5e6089114c1b86485e7bb387a25105,"Cyberloafing represents a serious organizational problem. The current research compared the objective and subjective effects of the standard ""top-down"" solution with the effects of two ""horizontal"" solutions. This proceedings version presents a much-abbreviated version of the introduction, hypotheses, studies, and results. The full manuscript provides additional detail.",,Cyberloafing; Organizational problems; Topdown
"Employees 'words' on high involvement work practices, value congruence and burnout",2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026326465&doi=10.5465%2fAMBPP.2014.231&partnerID=40&md5=6f206cb94bf7f844a6fcbb5d35878b36,[No abstract available],,
"Category taken-for-grantedness as a strategic opportunity: The case of light cigarettes, 1964-1993",2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026326240&doi=10.5465%2fAMBPP.2014.243&partnerID=40&md5=bf97a129efea9aec3b9c475e1691d9f5,"Theories within organizational and economic sociology that center on market categories often equate taken-for-grantedness with increased constraint on the features of category members. In contrast, we develop a novel perspective that considers how market participants' changing category-related attributions decrease their scrutiny of category offerings, opening up strategic opportunities for firms.",,Market participants; Strategic opportunity; Commerce
The influence of openness to experience on employee creativity,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026326121&doi=10.5465%2fAMBPP.2014.149&partnerID=40&md5=32b6bc7f25c64a6834e26908f9b1e017,[No abstract available],,
Don't forget your old shipmates: A temporal analysis of the relationship between technology alliances and firms' technological performance,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026319036&doi=10.5465%2fAMBPP.2014.49&partnerID=40&md5=50e84d28cb8dfded70b7bc5984c81d14,[No abstract available],,
Managing strategic tensions: The rhetorical construction of a response to paradox,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026320776&doi=10.5465%2fAMBPP.2014.60&partnerID=40&md5=bd593252cf605893e145e94abdc6a9fb,[No abstract available],,
When employee and organization values align: Job satisfaction in local government,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026327849&doi=10.5465%2fAMBPP.2014.175&partnerID=40&md5=aa7dc69efab8fbbd7aee9b49ef7147c8,"Drawing from interactional psychology and person-organization fit theory, we investigate the relationships between bureaucratic and entrepreneurial work environments, employee-organization value congruence, and job satisfaction among local government managers. Results indicate that employee-organization value congruence acts as a mediator between the external work environment and job satisfaction.",,Employment; Human engineering; External work; Local government; Person-organization fit; Work environments; Job satisfaction
New CEO origin and firm performance: A multilevel investigation,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026319427&doi=10.5465%2fAMBPP.2014.98&partnerID=40&md5=88394dfed06f5f6acd919d484fd93fc5,"Research on the performance effects of CEO succession origin provides inconsistent results. We argue that the performance benefits of outside CEO succession outweigh the costs when the CEO: (a) socio-demographically resembles incumbent executives, (b) has diverse international experience, (c) is hired by a well-performing firm operating in a munificent industry.",,Firm Performance; International experiences; Performance benefits; Performance effect
Asymmetric factional groups in family firms: When is familiy faultline beneficial to the firm?,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026319479&doi=10.5465%2fAMBPP.2014.288&partnerID=40&md5=50e89342b7a10f281db3f6138e68e10b,[No abstract available],,
American individualism rises and fall with the economy,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026326848&doi=10.5465%2fAMBPP.2014.136&partnerID=40&md5=e9a4e7ab964ad680657a60e33b8f1218,"This paper examines whether American individualism is affected by relatively small economic fluctuations. Results from three studies found that in prosperous times, Americans were more likely to give newborns unique names, encourage autonomy in children, and favor self-oriented music. These results highlight the malleability of culture to short-term economic fluctuations.",,Economic fluctuations; Short term; Economics
Vision and values,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026320624&doi=10.5465%2fAMBPP.2014.274&partnerID=40&md5=163f1c347c35a2fd8119dfbab7b37bf3,[No abstract available],,
Formal and informal controls as complements or substitutes? The role of the task environment,2014,"74th Annual Meeting of the Academy of Management, AOM 2014",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026324824&doi=10.5465%2fAMBPP.2014.105&partnerID=40&md5=8f28c0a40b5fefdfe1574fba222ebf4c,[No abstract available],,
