Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
The impact of women directors on corporate social performance: An informal institutions perspective,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103513656&doi=10.5465%2fAMBPP.2019.80&partnerID=40&md5=18966b5b447645a51f2cbcc319cce9d9,[No abstract available],,
Uncertainty and rhetoric: Letting the numbers speak for themselves,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103517336&doi=10.5465%2fAMBPP.2019.129&partnerID=40&md5=87c450c61283d4e024e9c33fd2d027e7,[No abstract available],,
Navigating an identity playground: An exploration of work identity and routines in a virtual world,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103517224&doi=10.5465%2fAMBPP.2019.98&partnerID=40&md5=2e6679c87ae28cec16da172d477b3e42,[No abstract available],,
Horizontal open innovation: Opportunities from “Operational” inputs,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103517864&doi=10.5465%2fAMBPP.2019.104&partnerID=40&md5=239a686604969d6c13160683685d58cd,"When can firms co-develop IP with rivals? We term this horizontal open innovation and argue that rivals can co-develop operational inputs, which do not affect the cost or quality of a firm's products. Industry infrastructure is a class of operational input where horizontal open innovation can profoundly impact a market. © 2019 79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019. All rights reserved.",,Industry infrastructure; Open innovation
Stepping out of the shadows: Identity exposure as a remedy for stigma transfer concerns in the medical marijuana market,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103515960&doi=10.5465%2fAMBPP.2019.266&partnerID=40&md5=a0aaf01d081c93043eab3090d5fad446,[No abstract available],,
For the love of sport? Immoral acts and identity construction in elite sport,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103517746&doi=10.5465%2fAMBPP.2019.231&partnerID=40&md5=cddd698eea7235eb9e7472cbf5c4e49a,"We explore community identity construction and dynamics in response to moral scandals. Utilizing a 49-interview study of the elite sport community of a country, we analyze how community identities are (re)constructed following accusations of fostering old-boy networks. Taking a discursive perspective, we shed light on the dark side of identification. © 2019 79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019. All rights reserved.",,Community identities; Sports
The retrospective imputation of nefarious intent,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103513548&doi=10.5465%2fAMBPP.2019.33&partnerID=40&md5=740b3e9530ddcabe4c11ab0401769534,[No abstract available],,
Practice makes perfect: Memory retrieval strategies to improve student academic performance,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103515332&doi=10.5465%2fAMBPP.2019.44&partnerID=40&md5=4c49396414cf255c4253d504410dfad4,[No abstract available],,
WHO networks? - A meta-analysis of the relationship between netowrking and personality,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103522418&doi=10.5465%2fAMBPP.2019.256&partnerID=40&md5=cab8195b178b80b883eb905ae0d8d77f,[No abstract available],,
When the going gets tough: New venture legitimacy buffering to mitigate product development failure,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103518689&doi=10.5465%2fAMBPP.2019.131&partnerID=40&md5=a2fa123ed8e79d978e499d068abce5f4,[No abstract available],,
From donor motivation to recipient welfare: A new agenda for corporate philanthropy research,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103518447&doi=10.5465%2fAMBPP.2019.185&partnerID=40&md5=982b62483d2584cb1f52df77a390d4da,[No abstract available],,
From taking to making paradox: A multi-level perspective on how CEOs balance nested paradoxes,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103519018&doi=10.5465%2fAMBPP.2019.112&partnerID=40&md5=44162b651f4d33a4a151749ba6e697ab,[No abstract available],,
Lowering the threshold: How and why environmental uncertainty promotes leadership attributions in teams,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103520004&doi=10.5465%2fAMBPP.2019.285&partnerID=40&md5=cf447996f26223a95bed9e82698a5eac,[No abstract available],,
Metaleptic moments in organizational life,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103519389&doi=10.5465%2fAMBPP.2019.279&partnerID=40&md5=2a5cdd598fc346c2954490175cfcc40a,[No abstract available],,
Strategic behavior in contests with heterogeneous agents: Evidence from the field,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103521853&doi=10.5465%2fAMBPP.2019.71&partnerID=40&md5=25d8bcde01d41478591fc4cb85c358cf,[No abstract available],,
Do exogenous shocks help or hurt innovation performance of alliances? Evidence from ebola outbreak,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103516834&doi=10.5465%2fAMBPP.2019.267&partnerID=40&md5=4ac552400f6c694f91a686615620bd2e,"Building on attention-based view, we argue that exogenous shocks affect alliance performance by steering managerial attention. We find that while the innovation performance of Ebola alliances formed after the 2014 outbreak increased, performance of Influenza alliances decreased. Our study reveals negative spillover effects of industry shocks among related industry segments. © 2019 79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019. All rights reserved.",,Alliance performance; Attention-based views; Exogenous shocks; Innovation performance; Spillover effects; Diseases
The nonprofit starvation cycle: Impact of underfed overhead on program outcomes,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103519155&doi=10.5465%2fAMBPP.2019.217&partnerID=40&md5=811a243cd39b35030c74cffd01cf56f9,[No abstract available],,
Gender effects on perceived professional mastery: Evidence from stem teachers,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103522793&doi=10.5465%2fAMBPP.2019.93&partnerID=40&md5=3df26d45d93b9f9325124e797851bc4e,[No abstract available],,
When to take the leap: The antecedents and consequences of leapfrog CEOs,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103520374&doi=10.5465%2fAMBPP.2019.119&partnerID=40&md5=db6674f5131f794e7e6307a0be3b8c14,[No abstract available],,
"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103520099&partnerID=40&md5=3354f8cb02d3a477c46a3569e4de67ca,"The proceedings contain 283 papers. The topics discussed include: from litigation to innovation: a firm’s ability to litigate and its expansion into new technological domains; seeking socially innovative solutions to complex social problems; consequences of competitor-based thinking: evidence from participant observation of wargaming; exploring the influence of digitalization on global talent management; becoming a minority scientist: (de)racialized professional identity construction; the target-side acquisition process: active boards and value-enhancing negotiation decisions; the double-edged effects of top managers' commitment to the status quo on firms’ crisis resolution; daily interactions with cynical coworkers affect employee energy and behavior; self-enhancing or problem-solving top managers? low performance, task complexity, and change; eyes on the horizon? fragmented elites and the short-term focus of the American corporation; and the politics of informality in localizing transnational activism in the homeworker network.",,
What you see is not what you get: Social skill and impulse control camouflage machiavellianism,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103519957&doi=10.5465%2fAMBPP.2019.107&partnerID=40&md5=1807d5675ec9dad7854d7b29fed43b01,[No abstract available],,
The role of boundary organizations in collaborations between incumbent firms and start-ups: Exploring innovation opportunities in fashion-tech,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103522721&doi=10.5465%2fAMBPP.2019.184&partnerID=40&md5=d2f7116c3924e9b9efc42901076be2f8,[No abstract available],,
Why do some new insider ceos make more strategic changes than others?,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103522445&doi=10.5465%2fAMBPP.2019.53&partnerID=40&md5=2e3fb22f163634430ee9ee2f5822a0c2,[No abstract available],,
How do co-workers react when a woman receives the highest pay?: A theoretical model of pay status,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103518992&doi=10.5465%2fAMBPP.2019.274&partnerID=40&md5=d4be1eaf6dd88a550119383e38349f53,[No abstract available],,
After saying I do for better or for worse: Incoming Ceos' encounter with power,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103521237&doi=10.5465%2fAMBPP.2019.54&partnerID=40&md5=83138cf8c666bb388205c8bc499f18bf,"Researchers found that powerful CEOs prevent their successors from reaching the top position. Yet to our knowledge, no published study examines how incoming CEOs deal with powerful outgoing CEOs. Using a qualitative approach, we find that, incoming CEOs experience different degrees of power struggles with powerful outgoing CEOs. © 2019 79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019. All rights reserved.",,Qualitative approach
Knowledge search and firm innovation: The moderating role of organizational aspirations,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103516612&doi=10.5465%2fAMBPP.2019.183&partnerID=40&md5=46af028b0264f536305655133112e0e9,[No abstract available],,
Do institutions matter for the relationship between diversification and performance? A meta-analysis,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103516459&doi=10.5465%2fAMBPP.2019.82&partnerID=40&md5=b15b5e9e8b4fa67f0165a05dfb7f526a,[No abstract available],,
The valuation of patent real options - An analysis using patent-and firm-level datasets,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103515524&doi=10.5465%2fAMBPP.2019.96&partnerID=40&md5=4b5b0288c6a6807e027d933d3371b5df,"This paper presents a novel methodology for patent valuation that combines the real option approach with the Tobin's q market value model of the firm. Econometric evidence is provided in support of this view, using datasets regarding patents as well as those regarding firms. © 2019 79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019. All rights reserved.",,Market values; Novel methodology; Patent valuations; Real option approaches; Real Options; Patents and inventions
Rogue one: The Canadian space agency and “Understanding the [NON] inclusive organization”,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103519850&doi=10.5465%2fAMBPP.2019.85&partnerID=40&md5=9088ff6d9f7fd3bb4da1f2257795f04f,[No abstract available],,
Interplay of exploitative leadership & fear of negative evaluation on knowledge hiding & outcomes,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103519174&doi=10.5465%2fAMBPP.2019.152&partnerID=40&md5=1ba90a2516419ad1e760ab83545bab84,[No abstract available],,
"Self-enhancing or problem-solving top managers? Low performance, task complexity, and change",2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103519172&doi=10.5465%2fAMBPP.2019.11&partnerID=40&md5=bb9f3f7418ce2440756bfbd24c7a886d,"Performance feedback theory assumes CEOs pursue search and change to improve performance. Self-enhancement theory assumes CEOs reduce search and change to portray a favorable self-image. Reconciling these conflicting predictions, we investigate decision-making contexts that prompt self-enhancing behaviors, namely, product and geographic diversification and bright spots. The hypotheses are largely supported. © 2019 79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019. All rights reserved.",,Decision making; Bright spots; Improve performance; Performance feedback; Self enhancements; Task complexity; Top managers; Image enhancement
Goal orientation and perceived motivational climate: A longitudinal perspective,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103514289&doi=10.5465%2fAMBPP.2019.3&partnerID=40&md5=d02d19cbaf0d5aca7f2290a3e643a2a1,[No abstract available],,
When incumbents change their mind: Framing strategic reorientation in emerging fields,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103520292&doi=10.5465%2fAMBPP.2019.269&partnerID=40&md5=70de47deb6c7efd7e1d71a1d96ca4f8e,[No abstract available],,
Orchestrating governmental corporate social responsibility interventions through financial markets: The case of French socially responsible investment,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103517713&doi=10.5465%2fAMBPP.2019.211&partnerID=40&md5=9cd069f4e980a50c7d47c66605b0f9df,[No abstract available],,
When is chronotype diversity related to team creativity? Team temporal leadership as a moderator,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103519463&doi=10.5465%2fAMBPP.2019.48&partnerID=40&md5=d54e4d62ba3f20b748f9ed375f40be64,[No abstract available],,
Social capital in a syndicate investment platform - Effects on syndicate lead performance,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103518012&doi=10.5465%2fAMBPP.2019.208&partnerID=40&md5=bcfee3e42242f98416bd23d9161e7a9b,[No abstract available],,
Perfectionism and burnout in Taiwanese R&D teams,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103520840&doi=10.5465%2fAMBPP.2019.174&partnerID=40&md5=28fa9f68f5e2bd24a8dc9ed71dae1ad2,[No abstract available],,
Workplace spirituality and incivility at work: A conceptual framework,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103519500&doi=10.5465%2fAMBPP.2019.65&partnerID=40&md5=0063222dafc643de24e27cc6dd85d3da,[No abstract available],,
How the network neighborhood influences partnerships: From handshales to formal collaboration among U.S. fire departments,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103522629&doi=10.5465%2fAMBPP.2019.126&partnerID=40&md5=0f773c7f28dbab2b155743b4e61c4db1,"We contribute to integration of network theory and contract theory. Theoretically, we examine the implications of the “network neighborhood” for a dyad's contractual relationship. By testing our claims on agreements between U.S. Fire Departments, we find that the network neighborhood significantly influences the way that partners work together. © 2019 79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019. All rights reserved.",,Contract Theory; Contractual relationships; Fire department
Exploring unknowingness in management education: A DBA example,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103522623&doi=10.5465%2fAMBPP.2019.110&partnerID=40&md5=00db1cfecdda27ee31e5b63ab23a2adb,[No abstract available],,
Commons paradigm: Embedding common good and collective action,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103518250&doi=10.5465%2fAMBPP.2019.46&partnerID=40&md5=25ac31168e731153d50ea5e0ed86eb2f,[No abstract available],,
Team entrepreneurial passion: Linking intra- And interpersonal influences with outcomes,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103517281&doi=10.5465%2fAMBPP.2019.89&partnerID=40&md5=c9dd9286084ef42b35a1faa468db04eb,[No abstract available],,
An accountability account? Examining the diverse outcomes of perceived personal and team accountability,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103515393&doi=10.5465%2fAMBPP.2019.222&partnerID=40&md5=0c45371ac6be61524d9b01ed2c19f97e,[No abstract available],,
Keeping the dream alive: The role of expectancy in pay-for-performance programs,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103516124&doi=10.5465%2fAMBPP.2019.124&partnerID=40&md5=228f6fcbbc6c03db27ea6b9836c66af5,[No abstract available],,
Covering in cover letters: Gender and self-presentation in job applications,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103520614&doi=10.5465%2fAMBPP.2019.275&partnerID=40&md5=d32e557e05d7469f393371c574d38291,[No abstract available],,
The politics of contracting out: Evidence from a regression discontinuity design,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103513495&doi=10.5465%2fAMBPP.2019.43&partnerID=40&md5=b17e6c84051edfe5a6b6f1c1d40a8c90,"We investigate contracting choices in English local governments using a Regression Discontinuity Design (RDD) that captures “near experimental” changes in political control at 50% of the seats gained in local elections. Our estimates reveal that local governments with small left-wing majorities prefer in-house to private sector social services provision. © 2019 79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019. All rights reserved.",,Local government; Private sectors; Social service; Service industry
From time compression diseconomies to lag effects: A temporal perspective on human resource management,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103518380&doi=10.5465%2fAMBPP.2019.200&partnerID=40&md5=09f0abf71057fe4b5472144dec0fa19f,[No abstract available],,
When an industry peer is accused of misconduct: Contagion vs. competition effects on blameless firms,2019,"79th Annual Meeting of the Academy of Management 2019: Understanding the Inclusive Organization, AoM 2019",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103503172&doi=10.5465%2fAMBPP.2019.218&partnerID=40&md5=8227b74de4cddfdff2163609fb2992b4,[No abstract available],,
