Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Understanding behavioral tradeoffs in networking for information: An interactive experiment with sociometric badges,2020,"80th Annual Meeting of the Academy of Management 2020: Understanding the Inclusive Organization, AoM 2020",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103044882&doi=10.5465%2fAMBPP.2020.42&partnerID=40&md5=669ff48b577d8b7f6e56e0d8be54722e,[No abstract available],,
Opaque costly signals and debt contracts in entrepreneurial ventures,2020,"80th Annual Meeting of the Academy of Management 2020: Understanding the Inclusive Organization, AoM 2020",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103028957&doi=10.5465%2fAMBPP.2020.11&partnerID=40&md5=1dad65101891c1c47a33673ba77d8aab,[No abstract available],,
Exploring the role(s) of researcher-based projects in Swedish university incubators,2020,"80th Annual Meeting of the Academy of Management 2020: Understanding the Inclusive Organization, AoM 2020",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103068294&doi=10.5465%2fAMBPP.2020.131&partnerID=40&md5=349f076a2b3b96df3990b272148492db,[No abstract available],,
Cross-sector partnerships for sustainable development: Understanding community (dis)engagement,2020,"80th Annual Meeting of the Academy of Management 2020: Understanding the Inclusive Organization, AoM 2020",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103020797&doi=10.5465%2fAMBPP.2020.63&partnerID=40&md5=605943c158da7d3450dcbd06a04e286b,[No abstract available],,
"Diversity as I say, not as I do: Organizational authenticity and diversity management effectiveness",2020,"80th Annual Meeting of the Academy of Management 2020: Understanding the Inclusive Organization, AoM 2020",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103057959&doi=10.5465%2fAMBPP.2020.189&partnerID=40&md5=cebf5e4932be4d2499593d93d8bd7ada,[No abstract available],,
How to design a business model for pivoting: A conceptual model of digital resource infrasturcturing,2020,"80th Annual Meeting of the Academy of Management 2020: Understanding the Inclusive Organization, AoM 2020",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103607540&doi=10.5465%2fAMBPP.2020.180&partnerID=40&md5=ca26a8e890cb2cecf963c7a0e9c5730c,[No abstract available],,
Divergent perspectives and fluid responses: Multiplexed framing in incumbent responses to disruption,2020,"80th Annual Meeting of the Academy of Management 2020: Understanding the Inclusive Organization, AoM 2020",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103049138&doi=10.5465%2fAMBPP.2020.209&partnerID=40&md5=fd0b1fa21abcd6bbe436ae167ad34895,[No abstract available],,
"Working with the 'enemy': Cognitive work, free space, and cold war space collaboration",2020,"80th Annual Meeting of the Academy of Management 2020: Understanding the Inclusive Organization, AoM 2020",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103047476&doi=10.5465%2fAMBPP.2020.1&partnerID=40&md5=41c8865ea669b90930efcc8c93a1e3a4,[No abstract available],,
The B-Team: Team prototypes and their consequences for the success of gender-diverse groups,2020,"80th Annual Meeting of the Academy of Management 2020: Understanding the Inclusive Organization, AoM 2020",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103045211&doi=10.5465%2fAMBPP.2020.106&partnerID=40&md5=11449010bfe8534439b8cb604e153561,[No abstract available],,
Institutional complexity and recombinative innovation: Evidence from hybrid social ventures,2020,"80th Annual Meeting of the Academy of Management 2020: Understanding the Inclusive Organization, AoM 2020",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103027462&doi=10.5465%2fAMBPP.2020.24&partnerID=40&md5=d7aa5e8440bf61c1d26c5abaa3498d52,[No abstract available],,
