Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
SENIOR LEADERS' EXPERIENCE OF TRANSFORMATIONAL CHANGE: A PROCESS MODEL,2022,"82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176613026&doi=10.5465%2fAMBPP.2022.181&partnerID=40&md5=b5ce1a0501390e5b87e5912adae81f7d,[No abstract available],,
NASA'S INTER-ORGANIZATIONAL OPEN INNOVATION PRACTICES TO TACKLE THE EXPLORATION-EXPLOITATION PARADOX,2022,"82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176611360&doi=10.5465%2fAMBPP.2022.276&partnerID=40&md5=ce197ae78c443bb6d2d7dc9723e2ef8c,[No abstract available],,
FALLING FORTUNES: THE CONTINGENT EFFECT OF SLIPPING IN ORGANIZATIONAL RANKINGS,2022,"82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176613797&doi=10.5465%2fAMBPP.2022.55&partnerID=40&md5=55947009ecc09832f2e8b5207c965887,[No abstract available],,
ALL THAT GLITTER IS NOT GOLD: THE UNINTENDED CONSEQUENCES OF SUPPORTIVE INSTITUTIONAL INFRASTRUCTURES ON THE VIABILITY OF SOCIAL VENTURES,2022,"82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176611011&doi=10.5465%2fAMBPP.2022.53&partnerID=40&md5=b4e7152a876c8b0c480cd70ec2c7dd80,"Extending current understanding of the complex role of institutions in both facilitating and hindering the effectiveness of social ventures, our research identifies conditions under which institutional infrastructures meant to coordinate action around a given social problem, unintendedly threaten the effectiveness of social ventures thriving to contribute to solving the problem. Our proposed theoretical framework suggests that, depending on the level of centralization and multiplicity of actors in the institutional infrastructure, social ventures face legitimating and organizing tensions that are likely to threaten their ability to address and manage social-business tensions and, thus, their ability to produce intended results. © 2022 82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022.All rights reserved.",,'current; Centralisation; Complex roles; Condition; Social business; Social problems; Theoretical framework; Unintended consequences; Economic and social effects
THE GEOGRAPHY OF GRANTMAKING-DOES LOCATION MATTER? NEIGHBORHOOD EFFECTS AND FOUNDATION PHILANTHROPY,2022,"82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176608519&doi=10.5465%2fAMBPP.2022.320&partnerID=40&md5=b2a7d6ec578a0236012934e3a386df67,"The neighborhood effects scholarship in urban sociology demonstrates the importance of geographic location to social outcomes previously thought to be solely determined by individual characteristics (e.g. educational attainment). This article applies the neighborhood effects framework to the study of community-based nonprofits. If neighborhood composition and processes matter for individuals, do they also influence organizational outcomes such as resource procurement? An analysis of foundation grantmaking in the city of Chicago reveals that nonprofits' ability to secure grants is influenced by both organizational and neighborhood characteristics. While organizational factors matter, securing grants is also independently influenced by a nonprofit's neighborhood location. © 2022 82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022.All rights reserved.",,Chicago; Community-based; Educational attainments; Geographic location; Individual characteristics; Neighborhood characteristics; Neighbourhood; Organizational characteristics; Organizational outcomes; Social outcomes
HUMAN CAPITAL COMPLEMENTARITIES AND EMPLOYEE MOBILITY,2022,"82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176613431&doi=10.5465%2fAMBPP.2022.212&partnerID=40&md5=4c0fa9122af6f6628da78293894462f8,[No abstract available],,
EXEMPLARY OUTSIDERS? IMMIGRANT CEOS AND FINANCIAL MISREPRESENTATION,2022,"82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176610683&doi=10.5465%2fAMBPP.2022.78&partnerID=40&md5=1506518631176386d43bff9cd40e9230,[No abstract available],,
SOCIO-HISTORICAL SHIFTS IN LIFE STAGE AT ENTREPRENEURIAL ENTRY AND THEIR PERFORMANCE IMPLICATIONS,2022,"82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176614364&doi=10.5465%2fAMBPP.2022.166&partnerID=40&md5=464d6876ef04b0e0a342123d851fd961,"Drawing on life course theory, we propose that shifting age norms have resulted in individuals today being younger, less experienced, and more frequently unmarried and childless at the time of entering entrepreneurship than in the past. We conjecture that these socio-historical shifts in life stage at entrepreneurial entry bear largely negative implications for entrepreneurial performance. Moreover, we argue for gender differences in the effect of parenthood on entrepreneurial performance, which we suggest have decreased over time due to the decline of traditional gender roles. Cohort analyses of data from the U.S. National Longitudinal Surveys of Youth support our conjectures. © 2022 82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022.All rights reserved.",,Cohort analysis; Gender roles; Gender-differences; Life course; Life stages; Longitudinal surveys; Performance
"WELL-BEING, WORKPLACE AND RELIGION: INSIGHTS FROM THE MIDDLE EAST",2022,"82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176610160&doi=10.5465%2fAMBPP.2022.307&partnerID=40&md5=1cb42c6dcc324fc79b35ec6eeba352ec,"This paper examines how religious practices and spiritual facilities may affect employees' well-being in workplaces. Based on Ryff's (1989) well-being framework, a related aim is to study the implications of spirituality for Ryff's (1989) model. Using a qualitative data from 22 employees, findings show that worshipping Allah, contemplative practices, and patience are key factors of one's psychological well-being. The study also highlights specific spiritual provisions and contemplative practices as key factors for enhancing Ryff's six dimensions of employees' psychological well-being. The paper offers a novel and contextual extension of Ryff's framework by theorizing the notion of well-being in Islam. © 2022 82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022.All rights reserved.",Islam; Psychological Well-Being; Religiosity; Spirituality,Contemplative practice; Islam; Key factors; Middle East; Psychological well-being; Qualitative data; Religiosity; Religious practices; Spirituality; Well being; Personnel
CLOSING THE GENDER GAP IN PATENTING: EVIDENCE FROM A RANDOMIZED CONTROL TRIAL AT THE USPTO,2022,"82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176617110&doi=10.5465%2fAMBPP.2022.197&partnerID=40&md5=6fde989c3b426371442c772f736adf7b,"Using a randomized control trial at the United States Patent and Trademark Office, we identify the heterogeneous causal impacts across gender and technologies of increased patent examination assistance on the probability of obtaining patent rights. Women applicants were 11 percentage points more likely than men to benefit from this assistance, and the benefits were largest for new inventors and in areas of technology where women had the worst relative outcomes. Our results suggest that a portion of the gender patenting gap could be eliminated through the provision of additional resources and assistance during patent prosecution. © 2022 82nd Annual Meeting of the Academy of Management 2022: A Hybrid Experience, AOM 2022.All rights reserved.",,Patent rights; Percentage points; Randomized control trials; United States Patent and Trademark Office
