Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Development of a remote therapy tool for childhood apraxia of speech,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954190775&doi=10.1145%2f2776895&partnerID=40&md5=ca698519da0c93f210df13193b0cceec,"We present a multitier system for the remote administration of speech therapy to children with apraxia of speech. The system uses a client-server architecture model and facilitates task-oriented remote therapeutic training in both in-home and clinical settings. The system allows a speech language pathologist (SLP) to remotely assign speech production exercises to each child through a web interface and the child to practice these exercises in the form of a game on a mobile device. The mobile app records the child's utterances and streams them to a back-end server for automated scoring by a speech-analysis engine. The SLP can then review the individual recordings and the automated scores through a web interface, provide feedback to the child, and adapt the training program as needed. We have validated the system through a pilot study with children diagnosed with apraxia of speech, their parents, and SLPs. Here, we describe the overall client-server architecture, middleware tools used to build the system, speech-analysis tools for automatic scoring of utterances, and present results from a clinical study. Our results support the feasibility of the system as a complement to traditional face-to-face therapy through the use of mobile tools and automated speech analysis algorithms. © 2015 ACM.",Automated speech analysis; Childhood apraxia of speech; Speech therapy,Automation; Client server computer systems; Computer architecture; Middleware; Mobile devices; Speech analysis; Analysis algorithms; Automatic scoring; Client-server architectures; Clinical settings; Remote administration; Speech language pathologists; Speech production; Speech therapy; Speech
Evaluating intelligibility and battery drain of mobile sign language video transmitted at low frame rates and bit rates,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954141176&doi=10.1145%2f2797142&partnerID=40&md5=3d7c22c5381d0720baf393b28eb624f5,"Mobile sign language video conversations can become unintelligible if high video transmission rates cause network congestion and delayed video. In an effort to understand the perceived lower limits of intelligible sign language video intended for mobile communication, we evaluated sign language video transmitted at four low frame rates (1, 5, 10, and 15 frames per second [fps]) and four low fixed bit rates (15, 30, 60, and 120 kilobits per second [kbps]) at a constant spatial resolution of 320 × 240 pixels. We discovered an ""intelligibility ceiling effect,"" in which increasing the frame rate above 10fps did not improve perceived intelligibility, and increasing the bit rate above 60kbps produced diminishing returns. Given the study parameters, our findings suggest that relaxing the recommended frame rate and bit rate to 10fps at 60kbps will provide intelligible video conversations while reducing total bandwidth consumption to 25% of the ITU-T standard (at least 25fps and 100kbps). As part of this work, we developed the Human Signal Intelligibility Model, a new conceptual model useful for informing evaluations of video intelligibility and our methodology for creating linguistically accessible web surveys for deaf people. We also conducted a battery-savings experiment quantifying battery drain when sign language video is transmitted at the lower frame rates and bit rates. Results confirmed that increasing the transmission rates monotonically decreased the battery life. © 2015 ACM.",American Sign Language; Battery power; Bit rate; Communication model; Comprehension; Deaf community; Frame rate; Intelligibility; Mobile phone; Smartphone; Video compression; Web survey,Electric batteries; Image coding; Image communication systems; Image compression; Mobile phones; Mobile telecommunication systems; Speech intelligibility; Surveys; American sign language; Battery power; Bit rates; Communication modeling; Comprehension; Deaf community; Frame rate; Web surveys; Computational linguistics
Audio-based feedback techniques for teaching touchscreen gestures,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954211491&doi=10.1145%2f2764917&partnerID=40&md5=c0a533f0a725f9c1d95bde8a5a90b542,"While sighted users may learn to perform touchscreen gestures through observation (e.g., of other users or video tutorials), such mechanisms are inaccessible for users with visual impairments. As a result, learning to perform gestures without visual feedback can be challenging. We propose and evaluate two techniques to teach touchscreen gestures to users with visual impairments: (1) gesture sonification to generate sound based on finger touches, creating an audio representation of a gesture; and (2) corrective verbal feedback that combined automatic analysis of the user's drawn gesture with speech feedback. To refine and evaluate the techniques, we conducted three controlled laboratory studies. The first study, with 12 sighted participants, compared parameters for sonifying gestures in an eyes-free scenario. We identified pitch+stereo panning as the best combination. In the second study, ten blind and low-vision participants completed gesture replication tasks for single-stroke, multistroke, and multitouch gestures using the gesture sonification feedback. We found that multistroke gestures were more difficult to understand in sonification, but that playing each finger sound serially may improve understanding. In the third study, six blind and low-vision participants completed gesture replication tasks with both the sonification and corrective verbal feedback techniques. Subjective data and preliminary performance findings indicated that the techniques offer complementary advantages: although verbal feedback was preferred overall primarily due to the precision of its instructions, almost all participants appreciated the sonification for certain situations (e.g., to convey speed). This article extends our previous publication on gesture sonification by extending these techniques to multistroke and multitouch gestures. These findings provide a foundation for nonvisual training systems for touchscreen gestures. © 2015 ACM.",Blindness; Gestures; Sonification; Touchscreen; Visual impairments,Audio acoustics; Teaching; Touch screens; Visual communication; Audio representation; Blindness; Controlled laboratories; Feedback techniques; Gestures; Multi-touch gestures; Sonifications; Visual impairment; Stereo image processing
Guiding novice web workers in making image descriptions using templates,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948392249&doi=10.1145%2f2764916&partnerID=40&md5=fdb8fb5fc275a4ba6ed94591504fc20a,"This article compares two methods of employing novice Web workers to author descriptions of science, technology, engineering, and mathematics images to make them accessible to individuals with visual and print-reading disabilities. The goal is to identify methods of creating image descriptions that are inexpensive, effective, and follow established accessibility guidelines. The first method explicitly presented the guidelines to the worker, then the worker constructed the image description in an empty text box and table. The second method queried the worker for image information and then used responses to construct a templatebased description according to established guidelines. The descriptions generated through queried image description (QID) were more likely to include information on the image category, title, caption, and units. They were also more similar to one another, based on Jaccard distances of q-grams, indicating that their word usage and structure were more standardized. Last, the workers preferred describing images using QID and found the task easier. Therefore, explicit instruction on image-description guidelines is not sufficient to produce quality image descriptions when using novice Web workers. Instead, it is better to provide information about images, then generate descriptions from responses using templates. 2015 Copyright is held by the owner/author(s). Publication rights licensed to ACM.",Access Technology; Accessibility (blind and visually impaired); Crowdsourcing; Human computation; Image description,"Computer applications; Crowdsourcing; Human computer interaction; Access technology; Accessibility guidelines; Blind and visually impaired; Human computation; Image descriptions; Image information; Jaccard distance; Science , technology , engineering , and mathematics; Image analysis"
A performance comparison of on-hand versus on-phone nonvisual input by blind and sighted users,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948399957&doi=10.1145%2f2820616&partnerID=40&md5=f3ce806bfc6a9335b25b9f87c38d2783,"On-body interaction, in which the user employs one's own body as an input surface, has the potential to provide efficient mobile computing access for blind users. It offers increased tactile and proprioceptive feedback compared to a phone and, because it is always available, it should allow for quick audio output control without having to retrieve the phone from a pocket or bag. Despite this potential, there has been little investigation of on-body input for users with visual impairments. To assess blind users' performance with on-body input versus touchscreen input, we conducted a controlled lab study with 12 sighted and 11 blind participants. Study tasks included basic pointing and drawing more complex shape gestures. Our findings confirm past work with sighted users showing that the hand results in faster pointing than the phone. Most important, we also show that: (1) the performance gain of the hand applies to blind users as well, (2) the accuracy of where the pointing finger first lands is higher with the hand than the phone, (3) on-hand pointing performance is affected by the location of targets, and (4) shape gestures drawn on the hand result in higher gesture recognition rates than those on the phone. Our findings highlight the potential of on-body input to support accessible nonvisual mobile computing. © 2015 ACM.",Blindness; Mobile computing; Nonvisual interaction; On-body interaction; User study,Mobile computing; Blindness; Input surfaces; Non-visual interaction; On-body interactions; Performance comparison; Performance Gain; User study; Visual impairment; Telephone sets
Iterative design and field trial of an aphasia-friendly email tool,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948403825&doi=10.1145%2f2790305&partnerID=40&md5=eb21bbe2c8ffbb8643929e5b6603777f,"In this article, we describe the iterative design and field trial of Amail, an email client specifically designed for people with aphasia who have problems expressing themselves verbally. We conducted a 3-month study with eight persons with aphasia to better understand how people with aphasia could integrate Amail in their daily life. Subjective data (questionnaires, interviews, and diaries) and objective data (usage logs) were collected to gain understanding of the usage patterns. All persons with aphasia in our study were able to use Amail independently, and four participants continued using Amail after the study period. The usage patterns, especially the frequency and length of the composed email messages, indicated that, over time, persons with aphasia were able to improve their email communication. Email partners also had the impression that their email partners with aphasia were improving gradually. Last but not least, the use of Amail positively influenced the number and quality of social contacts for the persons with aphasia. We also report some of the challenges encountered while conducting the field trial. © 2015 ACM.",Aphasia; Assistive technology; Augmentative and alternative communication; Email; Field evaluation,Human rehabilitation engineering; Surveys; Aphasia; Assistive technology; Augmentative-and-alternative communication; Email communication; Field evaluation; Iterative design; Social contacts; Usage patterns; Electronic mail
"Introduction to the ASSETS'13 special issue, Part 2",2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946563887&doi=10.1145%2f2825095&partnerID=40&md5=f4644a222a5e1711ab892fd196718a54,[No abstract available],,
Towards fully automated motion capture of signs - Development and evaluation of a key word signing avatar,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935145760&doi=10.1145%2f2764918&partnerID=40&md5=c4c141dffae35874a90322c7e7bc09b4,"Motion capture of signs provides unique challenges in the field of multimodal data collection. The dense packaging of visual information requires high fidelity and high bandwidth of the captured data. Even though marker-based optical motion capture provides many desirable features such as high accuracy, global fitting, and the ability to record body and face simultaneously, it is not widely used to record finger motion, especially not for articulated and syntactic motion such as signs. Instead, most signing avatar projects use costly instrumented gloves, which require long calibration procedures. In this article, we evaluate the data quality obtained from optical motion capture of isolated signs from Swedish sign language with a large number of low-cost cameras. We also present a novel dual-sensor approach to combine the data with lowcost, five-sensor instrumented gloves to provide a recording method with low manual postprocessing. Finally, we evaluate the collected data and the dual-sensor approach as transferred to a highly stylized avatar. The application of the avatar is a game-based environment for training Key Word Signing (KWS) as augmented and alternative communication (AAC), intended for children with communication disabilities. © 2015 ACM.",Augmentative and alternative communication (AAC); Motion capture; Sign language; Virtual characters,Computational linguistics; Human rehabilitation engineering; Alternative communication; Augmentative-and-alternative communication; Calibration procedure; Instrumented glove; Motion capture; Optical motion capture; Sign language; Virtual character; Quality control
Perspectives on speech and language interaction for daily Assistive Technology: Introduction to Part 2 - Speaking and Reading Aids,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933036110&doi=10.1145%2f2767690&partnerID=40&md5=ba4252799427654cacf571ae424dd2fb,[No abstract available],,
Perspectives on speech and language interaction for daily assistive technology: Introduction to Part 1 of the special issue,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931272299&doi=10.1145%2f2756765&partnerID=40&md5=97f75abbd43dc2c2244d0946e34d90fc,[No abstract available],,
Investigating information search by people with cognitive disabilities,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930788790&doi=10.1145%2f2729981&partnerID=40&md5=11fe1bbe1162b68ca2b973d9e20fbe9b,"The ability to gather information online has become increasingly important in the past decades. Previous research suggests that people with cognitive disabilities experience challenges when finding information on websites. Although a number of studies examined the impact of various design guidelines on information search by people with cognitive disabilities, our knowledge in this topic remains limited. To date, no study has been conducted to examine how people with cognitive disabilities navigate in different content structures. We completed an empirical study to investigate the impact of different search methods and content structures on the search behavior of people with cognitive disabilities. 23 participants with various cognitive disabilities completed 15 information search tasks under three conditions: browsing a website with a deep structure (4 x 4 x 4 x 4), browsing a website with a broad structure (16 x 16), and searching through a search engine. The results suggest that the participants overwhelmingly preferred the search engine method to the two browsing conditions. The broad structure resulted in significantly higher failure rates than the search engine condition and the deep structure condition. The causes of failed search tasks were analyzed in detail. Participants frequently visited incorrect categories in both the deep structure and the broad structure conditions. However, it was more difficult to recover from incorrect categories on the lower-level pages in the broad structure than in the deep structure. Under the search engine condition, failed tasks were mainly caused by difficulty in selecting the correct link from the returned list, misspellings, and difficulty in generating appropriate search. © 2015 ACM.",Cognitive disabilities; Information search,Behavioral research; Failure analysis; Information retrieval; Websites; Cognitive disability; Content structure; Deep structure; Empirical studies; Engine conditions; Information search; Search behavior; Structure conditions; Search engines
Reconstruction of phonated speech from whispers using formant-derived plausible pitch modulation,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995588395&doi=10.1145%2f2737724&partnerID=40&md5=200c2845c480d7bc02cb58763742cf0d,"Whispering is a natural, unphonated, secondary aspect of speech communications for most people. However, it is the primary mechanism of communications for some speakers who have impaired voice production mechanisms, such as partial laryngectomees, as well as for those prescribed voice rest, which often follows surgery or damage to the larynx. Unlike most people, who choose when to whisper and when not to, these speakers may have little choice but to rely on whispers for much of their daily vocal interaction. Even though most speakers will whisper at times, and some speakers can only whisper, the majority of today's computational speech technology systems assume or require phonated speech. This article considers conversion of whispers into natural-sounding phonated speech as a noninvasive prosthetic aid for people with voice impairments who can only whisper. As a by-product, the technique is also useful for unimpaired speakers who choose to whisper. Speech reconstruction systems can be classified into those requiring training and those that do not. Among the latter, a recent parametric reconstruction framework is explored and then enhanced through a refined estimation of plausible pitch from weighted formant differences. The improved reconstruction framework, with proposed formant-derived artificial pitch modulation, is validated through subjective and objective comparison tests alongside state-of-the-art alternatives. © 2015 ACM.",Algorithms; Design; H.5.2 [information interfaces and presentation]: user interfaces; Performance; Voice reconstruction; Whisper-to-speech conversion; Whispers,Algorithms; Design; Modulation; Speech; User interfaces; H.5.2 [Information Interfaces and Presentation]: User Interfaces; Performance; Reconstruction frameworks; Reconstruction systems; Speech conversion; Speech technology; Vocal interaction; Whispers; Continuous speech recognition
Intelligibility assessment and speech recognizer word accuracy rate prediction for dysarthric speakers in a factor analysis subspace,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931275361&doi=10.1145%2f2746405&partnerID=40&md5=2f5659d4d18a7be49faf8592e5c2683b,"Automated intelligibility assessments can support speech and language therapists in determining the type of dysarthria presented by their clients. Such assessments can also help predict how well a person with dysarthria might cope with a voice interface to assistive technology. Our approach to intelligibility assessment is based on iVectors, a set of measures that capture many aspects of a person's speech, including intelligibility. The major advantage of iVectors is that they compress all acoustic information contained in an utterance into a reduced number of measures, and they are very suitable to be used with simple predictors. We show that intelligibility assessments work best if there is a pre-existing set of words annotated for intelligibility from the speaker to be evaluated, which can be used for training our system. We discuss the implications of our findings for practice. © 2015 ACM.",ASR accuracy prediction; Dysarthria; Factor analysis; Intelligibility assessment; iVectors,Factor analysis; Forecasting; Multivariant analysis; Accuracy prediction; Acoustic information; Assistive technology; Dysarthria; I-vectors; Intelligibility assessment; Language therapist; Speech recognizer; Speech intelligibility
Evaluating a collaborative iPad game's impact on social relationships for children with autism spectrum disorder,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930788308&doi=10.1145%2f2751564&partnerID=40&md5=702647e8df0c032b4b0824ce6acbbaee,"This article describes how collaborative assistive technologies, housed on off-the-shelf, low-cost platforms such as the iPad, can be used to facilitate social relationships in children with autism spectrum disorder (ASD). Through an empirical study of the use of a collaborative iPad game, Zody, we explore how assistive technologies can be used to support social relationships, even without intervention from adults. We discuss how specific design choices can encourage three levels of social relationship: membership, partnership, and friendship. This work contributes to research on both assistive technologies and collaborative gaming through a framework that describes how specific in-game elements can foster social skill development for children with ASD. © 2015 Association for Computing Machinery.",ASD; Autism; Collaborative games; Cooperation; IPad; Social; Social skills,Diseases; Hand held computers; Social aspects; Autism; Collaborative games; Cooperation; IPad; Social; Social skills; Economic and social effects
Making it Simplext: Implementation and evaluation of a text simplification system for Spanish,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995611763&doi=10.1145%2f2738046&partnerID=40&md5=233a7d84d274651c2ead7eb0a7f96eb0,"The way in which a text is written can be a barrier for many people. Automatic text simplification is a natural language processing technology that, when mature, could be used to produce texts that are adapted to the specific needs of particular users. Most research in the area of automatic text simplification has dealt with the English language. In this article, we present results from the Simplext project, which is dedicated to automatic text simplification for Spanish. We present a modular system with dedicated procedures for syntactic and lexical simplification that are grounded on the analysis of a corpus manually simplified for people with special needs. We carried out an automatic evaluation of the system's output, taking into account the interaction between three different modules dedicated to different simplification aspects. One evaluation is based on readability metrics for Spanish and shows that the system is able to reduce the lexical and syntactic complexity of the texts. We also show, by means of a human evaluation, that sentence meaning is preserved in most cases. Our results, even if our work represents the first automatic text simplification system for Spanish that addresses different linguistic aspects, are comparable to the state of the art in English Automatic Text Simplification. © 2015 ACM.",Human evaluation; I.2.7 [natural language processing]: text analysis; Readability measures; Spanish; Syntactic simplification; Text simplification corpus; Text simplification; lexical simplification,Syntactics; Human evaluation; Readability measures; Spanish; Text analysis; Text simplification corpus; Text simplification; lexical simplification; Natural language processing systems
Perspectives on speech and language interaction for daily assistive technology: Overall introduction to the special issue part 3,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937914676&doi=10.1145%2f2791576&partnerID=40&md5=926c0f830ece9b93d2af177bd62c3f21,[No abstract available],,
Individuality-preserving voice conversion for articulation disorders using phoneme-categorized exemplars,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995570285&doi=10.1145%2f2738048&partnerID=40&md5=9561b8f44cbef0d9014e7f1c9cd8f948,"We present a voice conversion (VC) method for a person with an articulation disorder resulting from athetoid cerebral palsy. Themovements of such speakers are limited by their athetoid symptoms and their consonants are often unstable or unclear, which makes it difficult for them to communicate. Exemplar-based spectral conversion using Nonnegative Matrix Factorization (NMF) is applied to a voice from a speaker with an articulation disorder. In our conventional work, we used a combined dictionary that was constructed from the source speaker's vowels and the consonants from a target speaker without articulation disorders in order to preserve the speaker's individuality. However, this conventional exemplar-based approach needs to use all the training exemplars (frames), and it may cause mismatching of phonemes between input signals and selected exemplars. In order to reduce the mismatching of phoneme alignment, we propose a phoneme-categorized subdictionary and a dictionary selection method using NMF. The effectiveness of this method was confirmed by comparing its effectiveness with that of a conventional Gaussian Mixture Model (GMM)-based and a conventional exemplar-based method. © 2015 ACM.",Algorithms; Articulation disorders; Assistive technologies; I.5.4 [applications]: signal processing; Languages; NMF; Voice conversion; Voice reconstruction,Algorithms; Factorization; Gaussian distribution; Linguistics; Matrix algebra; Query languages; Signal processing; Assistive technology; Exemplar based methods; Gaussian Mixture Model; Nonnegative matrix factorization; Phoneme alignments; Selection methods; Spectral conversion; Voice conversion; Speech processing
Evaluation of a context-aware voice interface for ambient assisted living: Qualitative user study vs. quantitative system evaluation,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930344336&doi=10.1145%2f2738047&partnerID=40&md5=8a2feb585ff8368dcb1e34255ec9f423,"This article presents an experiment with seniors and people with visual impairment in a voice-controlled smart home using the SWEET-HOME system. The experiment shows some weaknesses in automatic speech recognition that must be addressed, as well as the need for better adaptation to the user and the environment. Users were disturbed by the rigid structure of the grammar and were eager to adapt it to their own preferences. Surprisingly, while no humanoid aspect was introduced in the system, the senior participants were inclined to embody the system. Despite these aspects to improve, the system has been favorably assessed as diminishing most participant fears related to the loss of autonomy.",Ambient intelligence; Assistive technology; Context-aware interaction; Smart home; User evaluation; Voice command,Ambient intelligence; Assisted living; Automation; Assistive technology; Context-aware interaction; Smart homes; User evaluations; Voice command; Speech recognition
Measuring the performance of a location-aware text prediction system,2015,ACM Transactions on Accessible Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930809142&doi=10.1145%2f2739998&partnerID=40&md5=f0d9acae16539056585fcce2518b5a3e,"In recent years, some works have discussed the conception of location-aware Augmentative and Alternative Communication (AAC) systems with very positive feedback from participants. However, in most cases, complementary quantitative evaluations have not been carried out to confirm those results. To contribute to clarifying the validity of these approaches, our study quantitatively evaluated the effect of using language models with location knowledge on the efficiency of a word and sentence prediction system. Using corpora collected for three different locations (classroom, school cafeteria, home), location-specific language models were trained with sentences from each location and compared with a traditional all-purpose language model, trained on all corpora. User tests showed a modest mean improvement of 2.4% and 1.3% for Words Per Minute (WPM) and Keystroke Saving Rate (KSR), respectively, but the differences were not statistically significant. Since our text prediction system relies on the concept of sentence reuse, we ran a set of simulations with language models having different sentence knowledge levels (0%, 25%, 50%, 75%, 100%). We also introduced in the comparison a second location-aware strategy that combines the location-specific approach with the all-purpose approach (mixed approach). The mixed language models performed better under low sentence-reuse conditions (0%, 25%, 50%) with 1.0%, 1.3%, and 1.2% KSR improvements, respectively. The location-specific language models performed better under high sentence-reuse conditions (75%, 100%) with 1.7% and 1.5% KSR improvements, respectively. © 2015 ACM.",Augmentative and alternative communication; Communication rate; Location-awareness; Sentence prediction; Word prediction,Computational linguistics; Forecasting; Human rehabilitation engineering; Augmentative-and-alternative communication; Communication rate; Location awareness; Prediction systems; Quantitative evaluation; Specific languages; Text prediction system; Word prediction; Location
