Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Sparse sums of positive semidefinite matrices,2015,ACM Transactions on Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954315883&doi=10.1145%2f2746241&partnerID=40&md5=f054630e03e1e3abbbaeec2ad853a549,"Many fast graph algorithms begin by preprocessing the graph to improve its sparsity. A common form of this is spectral sparsification, which involves removing and reweighting the edges of the graph while approximately preserving its spectral properties. This task has a more general linear algebraic formulation in terms of approximating sums of rank-one matrices. This article considers a more general task of approximating sums of symmetric, positive semidefinite matrices of arbitrary rank. We present two deterministic, polynomial time algorithms for solving this problem. The first algorithm applies the pessimistic estimators of Wigderson and Xiao, and the second involves an extension of the method of Batson, Spielman, and Srivastava. These algorithms have several applications, including sparsifiers of hypergraphs, sparse solutions to semidefinite programs, sparsifiers of unique games, and graph sparsifiers with various auxiliary constraints. Copyright © 2015 ACM.",Derandomization; Laplacian matrix; Positive semidefinite matrices; Randomized algorithms; Spectral sparsifiers,Algorithms; Application programs; Graph theory; Polynomial approximation; Derandomization; Laplacian matrices; Positive semidefinite matrices; Randomized Algorithms; Spectral sparsifiers; Matrix algebra
Improved approximation algorithms for relay placement,2015,ACM Transactions on Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954313620&doi=10.1145%2f2814938&partnerID=40&md5=ae093bfb91c1a5c968af7dd17c4dc5e4,"In the relay placement problem, the input is a set of sensors and a number r ≥ 1, the communication range of a relay. In the one-tier version of the problem, the objective is to place a minimum number of relays so that between every pair of sensors there is a path through sensors and/or relays such that the consecutive vertices of the path are within distance r if both vertices are relays and within distance 1 otherwise. The two-tier version adds the restrictions that the path must go through relays, and not through sensors. We present a 3.11-approximation algorithm for the one-tier version and a polynomial-time approximation scheme (PTAS) for the two-tier version. We also show that the one-tier version admits no PTAS, assuming P ≠ NP. Copyright © 2015 ACM.",Approximation algorithms; Polynomial-time approximation scheme (PTAS); Relays; Sensor networks; Steiner minimum spanning tree; Wireless networks,Algorithms; Approximation theory; Polynomial approximation; Sensor networks; Trees (mathematics); Wireless networks; Wireless sensor networks; Communication range; Polynomial time approximation schemes; Relay placements; Relays; Steiner minimum spanning trees; Two tiers; Approximation algorithms
Segmentation of trajectories on nonmonotone criteria,2015,ACM Transactions on Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954314158&doi=10.1145%2f2660772&partnerID=40&md5=07fdc71d616e4c6ccef3ce0aa8235480,"In the trajectory segmentation problem, we are given a polygonal trajectory with n vertices that we have to subdivide into a minimum number of disjoint segments (subtrajectories) that all satisfy a given criterion. The problem is known to be solvable efficiently for monotone criteria: criteria with the property that if they hold on a certain segment, they also hold on every subsegment of that segment. To the best of our knowledge, no theoretical results are known for nonmonotone criteria. We present a broader study of the segmentation problem, and suggest a general framework for solving it, based on the start-stop diagram: a 2-dimensional diagram that represents all valid and invalid segments of a given trajectory. This yields two subproblems: (1) computing the start-stop diagram, and (2) finding the optimal segmentation for a given diagram. We show that (2) is NP-hard in general. However, we identify properties of the start-stop diagram that make the problem tractable and give a polynomial-time algorithm for this case. We study two concrete nonmonotone criteria that arise in practical applications in more detail. Both are based on a given univariate attribute function f over the domain of the trajectory. We say a segment satisfies an outlier-tolerant criterion if the value of f lies within a certain range for at least a given percentage of the length of the segment. We say a segment satisfies a standard deviation criterion if the standard deviation of f over the length of the segment lies below a given threshold. We show that both criteria satisfy the properties that make the segmentation problem tractable. In particular, we compute an optimal segmentation of a trajectory based on the outlier-tolerant criterion in O(n2 log n + kn2) time and on the standard deviation criterion in O(kn2) time, where n is the number of vertices of the input trajectory and k is the number of segments in an optimal solution. Copyright © 2015 ACM.",Dynamic programming; Geometric algorithms; Segmentation; Trajectory,Algorithms; Dynamic programming; Image segmentation; Optimization; Polynomial approximation; Statistics; Attribute functions; Disjoint segments; Geometric algorithm; Optimal segmentation; Optimal solutions; Polynomial-time algorithms; Standard deviation; Trajectory segmentation; Trajectories
Linear kernels and single-exponential algorithms via protrusion decompositions,2015,ACM Transactions on Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954322548&doi=10.1145%2f2797140&partnerID=40&md5=79f0bb0862b15b9f45cda5607479a9d3,"We present a linear-time algorithm to compute a decomposition scheme for graphs Gthat have a set X ⊆ V(G), called a treewidth-modulator, such that the treewidth of G-X is bounded by a constant. Our decomposition, called a protrusion decomposition, is the cornerstone in obtaining the following two main results. Our first result is that any parameterized graph problem (with parameter k) that has a finite integer index and such that YES-instances have a treewidth-modulator of size O(k) admits a linear kernel on the class of Htopological-minor-free graphs, for any fixed graph H. This result partially extends previous meta-theorems on the existence of linear kernels on graphs of bounded genus and H-minor-free graphs. Let F be a fixed finite family of graphs containing at least one planar graph. Given an n-vertex graph G and a non-negative integer k, PLANAR-F-DELETION asks whether G has a set X ⊆ V(G) such that |X| ≤ k and G-X is H-minor-free for every H ∈ F. As our second application, we present the first single-exponential algorithm to solve PLANARF-DELETION. Namely, our algorithm runs in time 2O(k)·n2, which is asymptotically optimal with respect to k. So far, single-exponential algorithms were only known for special cases of the family F. Copyright © 2015 ACM.",Algorithmic meta-theorems; Graph minors; Hitting minors; Parameterized complexity; Sparse graphs,Algorithms; Clustering algorithms; Graphic methods; Parallel processing systems; Graph minors; Hitting minors; Meta-theorems; Parameterized complexity; Sparse graphs; Graph theory
Fast zeta transforms for lattices with few irreducibles,2015,ACM Transactions on Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954312180&doi=10.1145%2f2629429&partnerID=40&md5=c3e041110869a0ea270461d257cef9f2,"We investigate fast algorithms for changing between the standard basis and an orthogonal basis of idempotents for Möbius algebras of finite lattices. We show that every lattice with v elements, n of which are nonzero and join-irreducible (or, by a dual result, nonzero and meet-irreducible), has arithmetic circuits of size O(vn) for computing the zeta transform and its inverse, thus enabling fast multiplication in the Möbius algebra. Furthermore, the circuit construction in fact gives optimal (up to constants) monotone circuits for several lattices of combinatorial and algebraic relevance, such as the lattice of subsets of a finite set, the lattice of set partitions of a finite set, the lattice of vector subspaces of a finite vector space, and the lattice of positive divisors of a positive integer. Copyright © 2015 ACM.",Arithmetic circuit; Fast multiplication; Lattice; Möbius inversion; Möbius transform; Semigroup algebra; Zeta transform,Algebra; Algorithms; Integrating circuits; Logic circuits; Reconfigurable hardware; Set theory; Vector spaces; Arithmetic circuit; Circuit construction; Fast multiplication; Lattice; Monotone circuit; Orthogonal basis; Positive integers; Semi-group; Lattice constants
A new approach to incremental cycle detection and related problems,2015,ACM Transactions on Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954199041&doi=10.1145%2f2756553&partnerID=40&md5=b53dee872b839bb7a6fd591ddb864aed,"We consider the problem of detecting a cycle in a directed graph that grows by arc insertions and the related problems of maintaining a topological order and the strong components of such a graph. For these problems, we give two algorithms, one suited to sparse graphs, the other to dense graphs. The former takes O(min{m1/2, n2/3}m) time to insert m arcs into an n-vertex graph; the latter takes O(n2 log n) time. Our sparse algorithm is substantially simpler than a previous O(m3/2)-time algorithm; it is also faster on graphs of sufficient density. The time bound of our dense algorithm beats the previously best time bound of O(n5/2) for dense graphs. Our algorithms rely for their efficiency on vertex numberings weakly consistent with topological order: we allow ties. Bounds on the size of the numbers give bounds on running time. © 2015 ACM.",Cycle detection; Incremental data structure; Strongly connected components; Topological ordering,Algorithms; Directed graphs; Graphic methods; Topology; Cycle detection; Incremental data; N-vertex graph; New approaches; Sparse algorithms; Strongly connected component; Time algorithms; Topological order; Graph theory
Label cover instances with large girth and the hardness of approximating basic k-Spanner,2015,ACM Transactions on Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954223441&doi=10.1145%2f2818375&partnerID=40&md5=73f2de77a547f1f1568ef5c282e30da9,"We study the well-known Label Cover problem under the additional requirement that problem instances have large girth. We show that if the girth is some k, the problem is roughly 2(log1-∈ n)/k hard to approximate for all constant ∈ > 0. A similar theorem was claimed by Elkin and Peleg [2000] as part of an attempt to prove hardness for the basic k-spanner problem, but their proof was later found to have a fundamental error. Thus, we give both the first nontrivial lower bound for the problem of Label Cover with large girth as well as the first full proof of strong hardness for the basic k-spanner problem, which is both the simplest problem in graph spanners and one of the few for which super-logarithmic hardness was not known. Assuming NP ⊈ BPTIME(2polylog(n)), we show (roughly) that for every k ≥ 3 and every constant ∈ > 0, it is hard to approximate the basic k-spanner problem within a factor better than 2(log1-∈ n)/k. This improves over the previous best lower bound of only Ω(log n)/k from Kortsarz [2001]. Our main technique is subsampling the edges of 2-query probabilistically checkable proofs (PCPs), which allows us to reduce the degree of a PCP to be essentially equal to the soundness desired. This turns out to be enough to basically guarantee large girth. © 2015 ACM.",Graph spanners; Probabilistically checkable proofs,Algorithms; Cover problem; Graph spanners; Lower bounds; Probabilistically checkable proof; Problem instances; Hardness
Simultaneous PQ-ordering with applications to constrained embedding problems,2015,ACM Transactions on Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954200442&doi=10.1145%2f2738054&partnerID=40&md5=36f38f985ed25728302d1eadc7c12313,"In this article, we define and study the new problem of SIMULTANEOUS PQ-ORDERING. Its input consists of a set of PQ-trees, which represent sets of circular orders of their leaves, together with a set of child-parent relations between these PQ-trees, such that the leaves of the child form a subset of the leaves of the parent. SIMULTANEOUS PQ-ORDERING asks whether orders of the leaves of each of the trees can be chosen simultaneously; that is, for every child-parent relation, the order chosen for the parent is an extension of the order chosen for the child. We show that SIMULTANEOUS PQ-ORDERING is NP-complete in general, and we identify a family of instances that can be solved efficiently, the 2-fixed instances. We show that this result serves as a framework for several other problems that can be formulated as instances of SIMULTANEOUS PQ-ORDERING. In particular, we give linear-time algorithms for recognizing simultaneous interval graphs and extending partial interval representations. Moreover, we obtain a linear-time algorithm for PARTIALLY PQ-CONSTRAINED PLANARITY for biconnected graphs, which asks for a planar embedding in the presence of PQ-trees that restrict the possible orderings of edges around vertices, and a quadratic-time algorithm for SIMULTANEOUS EMBEDDING WITH FIXED EDGES for biconnected graphs with a connected intersection. Both results can be extended to the case where the input graphs are not necessarily biconnected but have the property that each cutvertex is contained in at most two nontrivial blocks. This includes, for example, the case where both graphs have a maximum degree of 5. © 2015 ACM.",Interval graphs; Ordering problem; Planar embeddings; PQ-trees; Simultaneous embedding,Clustering algorithms; Forestry; Graphic methods; Interval graph; Order problems; Planar embeddings; PQ-tree; Simultaneous embedding; Trees (mathematics)
Approximation algorithms and hardness of the k-route cut problem,2015,ACM Transactions on Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954200150&doi=10.1145%2f2644814&partnerID=40&md5=0b36cc78506231fad00994113228dd06,"We study the k-route cut problem: given an undirected edge-weighted graph G = (V, E), a collection {(s1, t1), (s2, t2), ⋯, (sr, tr)} of source-sink pairs, and an integer connectivity requirement k, the goal is to find a minimum-weight subset E′ of edges to remove, such that the connectivity of every pair (si, ti) falls below k. Specifically, in the edge-connectivity version, EC-kRC, the requirement is that there are at most (k. 1) edge-disjoint paths connecting si to ti in G\ E′, while in the vertex-connectivity version, VC-kRC, the same requirement is for vertex-disjoint paths. Prior to our work, poly-logarithmic approximation algorithms have been known for the special case where k ≤ 3, but no non-trivial approximation algorithms were known for any value k > 3, except in the single-source setting. We show an O(klog3/2 r)-approximation algorithm for EC-kRC with uniform edge weights, and several polylogarithmic bi-criteria approximation algorithms for EC-kRC and VC-kRC, where the connectivity requirement k is violated by a constant factor. We complement these upper bounds by proving that VC-kRC is hard to approximate to within a factor of k∈ for some fixed ∈ > 0. We then turn to study a simpler version of VC-kRC, where only one source-sink pair is present. We give a simple bi-criteria approximation algorithm for this case, and show evidence that even this restricted version of the problem may be hard to approximate. For example, we prove that the single source-sink pair version of VC-kRC has no constant-factor approximation, assuming Feige's Random κ-AND assumption. © 2015 ACM.",Approximation algorithm; K-route cut problem,Algorithms; Graph theory; Constant factor approximation; Edge connectivity; Edge disjoint paths; Edge-weighted graph; Logarithmic approximation; Source-sink pairs; Vertex connectivity; Vertex disjoint paths; Approximation algorithms
Faster spectral sparsification and numerical algorithms for SDD matrices,2015,ACM Transactions on Algorithms,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954203759&doi=10.1145%2f2743021&partnerID=40&md5=cd079735f271f872253f2322559372bd,"We study algorithms for spectral graph sparsification. The input is a graph G with n vertices and medges, and the output is a sparse graph G that approximates G in an algebraic sense. Concretely, for all vectors x and any ∈ > 0, the graph G satisfies (1-∈)xT LGx ≤ xTLGx ≤ (1 + ∈)xT LGx, where LG and LG are the Laplacians of G and G, respectively. The first contribution of this article applies to all existing sparsification algorithms that rely on solving solving linear systems on graph Laplacians. These algorithms are the fastest known to date. Specifically, we show that less precision is required in the solution of the linear systems, leading to speedups by an O(log n) factor. We also present faster sparsification algorithms for slightly dense graphs: -An O(mlog n) time algorithm that generates a sparsifier with O(nlog3 n/∈2) edges. -An O(mlog log n) time algorithm for graphs with more than nlog5 nlog log n edges. -An O(m) algorithm for graphs with more than nlog10 n edges. -An O(m) algorithm for unweighted graphs with more than nlog8 n edges. These bounds hold up to factors that are in O(poly(log log n)) and are conjectured to be removable. © 2015 ACM.",Spectral sparsification; Symmetric diagonally dominant (SDD) matrices,Graph theory; Graphic methods; Linear systems; Matrix algebra; Diagonally dominant; Graph laplacians; Graph sparsification; Numerical algorithms; Sparse graphs; Sparsification; Time algorithms; Unweighted graphs; Algorithms
