Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Compensating the effect of communication delay in client-server-based shared haptic virtual environments,2015,ACM Transactions on Applied Perception,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954134894&doi=10.1145%2f2835176&partnerID=40&md5=e62cbdab75a7ae1e5c04b63486a2eb60,"Shared haptic virtual environments can be realized using a client-server architecture. In this architecture, each client maintains a local copy of the virtual environment (VE). A centralized physics simulation running on a server calculates the object states based on haptic device position information received from the clients. The object states are sent back to the clients to update the local copies of the VE, which are used to render interaction forces displayed to the user through a haptic device. Communication delay leads to delayed object state updates and increased force feedback rendered at the clients. In this article, we analyze the effect of communication delay on the magnitude of the rendered forces at the clients for cooperative multi-user interactions with rigid objects. The analysis reveals guidelines on the tolerable communication delay. If this delay is exceeded, the increased force magnitude becomes haptically perceivable. We propose an adaptive force rendering scheme to compensate for this effect, which dynamically changes the stiffness used in the force rendering at the clients. Our experimental results, including a subjective user study, verify the applicability of the analysis and the proposed scheme to compensate the effect of time-varying communication delay in a multi-user SHVE. Copyright © 2015 ACM.",Collaboration; Communication delay; Haptic rendering; Multi-user; Perceived transparency; Shared haptic virtual environment,Client server computer systems; Feedback; Virtual reality; Collaboration; Communication delays; Haptic rendering; Haptic virtual environments; Multi-user; Cooperative communication
Gaze transition entropy,2015,ACM Transactions on Applied Perception,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954108136&doi=10.1145%2f2834121&partnerID=40&md5=2df2796f50ae44f762eef6af5dfe8a9a,"This article details a two-step method of quantifying eye movement transitions between areas of interest (AOIs). First, individuals' gaze switching patterns, represented by fixated AOI sequences, are modeled as Markov chains. Second, Shannon's entropy coefficient of the fit Markov model is computed to quantify the complexity of individual switching patterns. To determine the overall distribution of attention over AOIs, the entropy coefficient of individuals' stationary distribution of fixations is calculated. The novelty of the method is that it captures the variability of individual differences in eye movement characteristics, which are then summarized statistically. The method is demonstrated on gaze data collected from two studies, during free viewing of classical art paintings. Normalized Shannon's entropy, derived from individual transition matrices, is related to participants' individual differences as well as to either their aesthetic impression or recognition of artwork. Low transition and high stationary entropies suggest greater curiosity mixed with a higher subjective aesthetic affinity toward artwork, possibly indicative of visual scanning of the artwork in a more deliberate way. Meanwhile, both high transition and stationary entropies may be indicative of recognition of familiar artwork. Copyright © 2015 ACM.",Entropy; Eye movement transitions; Markov chain,Chains; Entropy; Markov processes; Entropy coefficients; Individual Differences; Movement characteristics; Shannon's entropy; Stationary distribution; Switching patterns; Transition entropies; Transition matrices; Eye movements
"Strutting hero, sneaking villain: Utilizing body motion cues to predict the intentions of others",2015,ACM Transactions on Applied Perception,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946575271&doi=10.1145%2f2791293&partnerID=40&md5=140a1bb812e41980cff3d2a39a2bc683,"A better understanding of how intentions and traits are perceived from body movements is required for the design of more effective virtual characters that behave in a socially realistic manner. For this purpose, realistic body motion, captured from human movements, is being used more frequently for creating characters with natural animations in games and entertainment. However, it is not always clear for programmers and designers which specific motion parameters best convey specific information such as certain emotions, intentions, or traits. We conducted two experiments to investigate whether the perceived traits of actors could be determined from their body motion, and whether these traits were associated with their perceived intentions. We first recorded body motions from 26 professional actors, who were instructed to move in a ""hero""-like or a ""villain""-like manner. In the first experiment, 190 participants viewed individual video recordings of these actors and were required to provide ratings to the body motion stimuli along a series of different cognitive dimensions (intentions, attractiveness, dominance, trustworthiness, and distinctiveness). The intersubject ratings across observers were highly consistent, suggesting that social traits are readily determined from body motion. Moreover, correlational analyses between these ratings revealed consistent associations across traits, for example, that perceived ""good"" intentions were associated with higher ratings of attractiveness and dominance. Experiment 2 was designed to elucidate the qualitative body motion cues that were critical for determining specific intentions and traits from the hero- and villain-like body movements. The results revealed distinct body motions that were readily associated with the perception of either ""good"" or ""bad"" intentions. Moreover, regression analyses revealed that these ratings accurately predicted the perception of the portrayed character type. These findings indicate that intentions and social traits are communicated effectively via specific sets of body motion features. Furthermore, these results have important implications for the design of the motion of virtual characters to convey desired social information. © 2015 ACM.",Experimentation; Human factors,Human engineering; Regression analysis; Video recording; Cognitive dimensions; Correlational analysis; Experimentation; Human movements; Motion parameters; Social information; Specific information; Virtual character; Animation
Perception of Emotion and Personality through Full-Body Movement Qualities: A Sport Coach Case Study,2015,ACM Transactions on Applied Perception,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946567342&doi=10.1145%2f2791294&partnerID=40&md5=509eaebec9638698f561d565e3e244e7,"Virtual sport coaches guide users through their physical activity and provide motivational support. Users' motivation can rapidly decay if the movements of the virtual coach are too stereotyped. Kinematic patterns generated while performing a predefined fitness movement can elicit and help to prolong users' interaction and interest in training. Human body kinematics has been shown to convey various social attributes such as gender, identity, and acted emotions. To date, no study provides information regarding how spontaneous emotions and personality traits together are perceived from full-body movements. In this article, we study how people make reliable inferences regarding spontaneous emotional dimensions and personality traits of human coaches from kinematic patterns they produced when performing a fitness sequence. Movements were presented to participants via a virtual mannequin to isolate the influence of kinematics on perception. Kinematic patterns of biological movement were analyzed in terms of movement qualities according to the effort-shape [Dell 1977] notation proposed by Laban [1950]. Three studies were performed to provide an analysis of the process leading to perception: from coaches' states and traits through bodily movements to observers' social perception. Thirty-two participants (i.e., observers) were asked to rate the movements of the virtual mannequin in terms of conveyed emotion dimensions, personality traits (five-factor model of personality), and perceived movement qualities (effort-shape) from 56 fitness movement sequences. The results showed high reliability for most of the evaluated dimensions, confirming interobserver agreement from kinematics at zero acquaintance. A large expressive halo merging emotional (e.g., perceived intensity) and personality aspects (e.g., extraversion) was found, driven by perceived kinematic impulsivity and energy. Observers' perceptions were partially accurate for emotion dimensions and were not accurate for personality traits. Together, these results contribute to both the understanding of dimensions of social perception through movement and the design of expressive virtual sport coaches.",Experimentation; Human factors,Health; Human engineering; Kinematics; Sports; Biological movements; Emotional dimensions; Emotions and personality; Experimentation; Five-factor model of personality; Full-body movement; Interobserver agreement; Virtual mannequins; Behavioral research
"The effects of visuomotor calibration to the perceived space and body, through embodiment in immersive virtual reality",2015,ACM Transactions on Applied Perception,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946571784&doi=10.1145%2f2818998&partnerID=40&md5=58ac4acff9b6d4c0beb61a056733bd6b,"We easily adapt to changes in the environment that involve cross-sensory discrepancies (e.g., between vision and proprioception). Adaptation can lead to changes in motor commands so that the experienced sensory consequences are appropriate for the new environment (e.g., we program a movement differently while wearing prisms that shift our visual space). In addition to these motor changes, perceptual judgments of space can also be altered (e.g., how far can I reach with my arm?). However, in previous studies that assessed perceptual judgments of space after visuomotor adaptation, the manipulation was always a planar spatial shift, whereas changes in body perception could not directly be assessed. In this study, we investigated the effects of velocity-dependent (spatiotemporal) and spatial scaling distortions of arm movements on space and body perception, taking advantage of immersive virtual reality. Exploiting the perceptual illusion of embodiment in an entire virtual body, we endowed subjects with new spatiotemporal or spatial 3D mappings between motor commands and their sensory consequences. The results imply that spatiotemporal manipulation of 2 and 4 times faster can significantly change participants' proprioceptive judgments of a virtual object's size without affecting the perceived body ownership, although it did affect the agency of the movements. Equivalent spatial manipulations of 11 and 22 degrees of angular offset also had a significant effect on the perceived virtual object's size; however, the mismatched information did not affect either the sense of body ownership or agency. We conclude that adaptation to spatial and spatiotemporal distortion can similarly change our perception of space, although spatiotemporal distortions can more easily be detected. © 2015 ACM.",Experimentation; Human factors,Human engineering; Virtual reality; Body perceptions; Experimentation; Immersive virtual reality; Sensory discrepancy; Spatial scaling; Spatio-temporal distortions; Velocity-dependent; Virtual objects; Sensory perception
The perception of lighting inconsistencies in composite outdoor scenes,2015,ACM Transactions on Applied Perception,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941560902&doi=10.1145%2f2810038&partnerID=40&md5=9b21653b2274a1250ad9874595f5735d,"It is known that humans can be insensitive to large changes in illumination. For example, if an object of interest is extracted from one digital photograph and inserted into another, we do not always notice the differences in illumination between the object and its new background. This inability to spot illumination inconsistencies is often the key to success in digital ""doctoring"" operations.We present a set of experiments in which we explore the perception of illumination in outdoor scenes. Our results can be used to predict when and why inconsistencies go unnoticed. Applications of the knowledge gained from our studies include smarter digital ""cut-and-paste"" and digital ""fake"" detection tools, and image-based composite scene backgrounds for layout and previsualization. © 2015 ACM.",Images; Lighting; Perception,Psychology computing; Sensory perception; Cut-and-paste; Detection tools; Digital photographs; Image-based; Images; Outdoor scenes; Previsualization; Spot illumination; Lighting
Introduction to special issue SAP 2015,2015,ACM Transactions on Applied Perception,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941559057&doi=10.1145%2f2815623&partnerID=40&md5=7bfcb53b0d54cdf56e30c884dd0af121,[No abstract available],,
Evidence that viewers prefer higher frame-rate film,2015,ACM Transactions on Applied Perception,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941553448&doi=10.1145%2f2810039&partnerID=40&md5=c89c7e9c6547997185efd65cded2362b,"High frame-rate (HFR) movie-making refers to the capture and projection of movies at frame rates several times higher than the traditional 24 frames per second. This higher frame rate theoretically improves the quality of motion portrayed in movies, and helps avoid motion blur, judder, and other undesirable artifacts. However, there is considerable debate in the cinema industry regarding the acceptance of HFR content given anecdotal reports of hyper-realistic imagery that reveals too much set and costume detail. Despite the potential theoretical advantages, there has been little empirical investigation of the impact of high frame-rate techniques on the viewer experience. In this study, we use stereoscopic 3D content, filmed and projected at multiple frame rates (24, 48, and 60 fps), with shutter angles ranging from 180. to 358., to evaluate viewer preferences. In a pairedcomparison paradigm, we assessed preferences along a set of five attributes (realism, motion smoothness, blur/clarity, quality of depth, and overall preference). The resulting data show a clear preference for higher frame rates, particularly when contrasting 24 fps with 48 or 60 fps. We found little impact of shutter angle on viewers' choices, with the exception of one measure (motion smoothness) for one clip type. These data are the first empirical evidence of the advantages afforded by high frame-rate capture and presentation in a cinema context. © 2015 ACM.",Cinema; high Frame rate; Perception; Preference; Stereoscopic 3D,Sensory perception; Stereo image processing; Cinema; Empirical investigation; Frames per seconds; High frame rate; Movie-making; Multiple-frame; Preference; Realistic imagery; Motion pictures
Big foot: Using the size of a virtual foot to scale gap width,2015,ACM Transactions on Applied Perception,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941554264&doi=10.1145%2f2811266&partnerID=40&md5=24fec0a29f987bd9afcce53766b1f297,"Spatial perception research in the real world and in virtual environments suggests that the body (e.g., hands) plays a role in the perception of the scale of the world. However, little research has closely examined how varying the size of virtual body parts may influence judgments of action capabilities and spatial layout. Here, we questioned whether changing the size of virtual feet would affect judgments of stepping over and estimates of the width of a gap. Participants viewed their disembodied virtual feet as small or large and judged both their ability to step over a gap and the size of gaps shown in the virtual world. Foot size affected both affordance judgments and size estimates such that those with enlarged virtual feet estimated they could step over larger gaps and that the extent of the gap was smaller. Shrunken feet led to the perception of a reduced ability to step over a gap and smaller estimates of width. The results suggest that people use their visually perceived foot size to scale virtual spaces. Regardless of foot size, participants felt that they owned the feet rendered in the virtual world. Seeing disembodied, but motion-tracked, virtual feet affected spatial judgments, suggesting that the presentation of a single tracked body part is sufficient to produce similar effects on perception, as has been observed with the presence of fully co-located virtual self-avatars or other body parts in the past. © 2015 ACM.",Affordances; Avatars; Body perception; Partial self-avatars; Perception; Virtual environments,Sensory perception; Affordances; Avatars; Body perceptions; Partial self-avatars; Spatial judgments; Spatial perception; Virtual selves; Virtual worlds; Virtual reality
Multimodal affect: Perceptually evaluating an affective talking head,2015,ACM Transactions on Applied Perception,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941557357&doi=10.1145%2f2811265&partnerID=40&md5=6fbc4ab2555afaa36e9203af3a52f086,"Many tasks such as driving or rapidly sorting items can be best achieved by direct actions. Other tasks such as giving directions, being guided through a museum, or organizing a meeting are more easily solved verbally. Since computers are increasingly being used in all aspects of daily life, it would be of great advantage if we could communicate verbally with them. Although advanced interactions with computers are possible, a vast majority of interactions are still based on the WIMP (Window, Icon, Menu, Point) metaphor [Hevner and Chatterjee 2010] and are, therefore, via simple text and gesture commands. The field of affective interfaces is working toward making computers more accessible by giving them (rudimentary) natural-language abilities, including using synthesized speech, facial expressions, and virtual body motions. Once the computer is granted a virtual body, however, it must be given the ability to use it to nonverbally convey socio-emotional information (such as emotions, intentions, mental state, and expectations) or it will likely be misunderstood. Here, we present a simple affective talking head along with the results of an experiment on the multimodal expression of emotion. The results show that although people can sometimes recognize the intended emotion from the semantic content of the text even when the face does not convey affect, they are considerably better at it when the face also shows emotion. Moreover, when both face and text convey emotion, people can detect different levels of emotional intensity. © 2015 ACM.",Affective interfaces; Emotion; Facial animation; Speech,Semantics; Speech; Affective interfaces; Emotion; Emotional information; Facial animation; Facial Expressions; Multimodal expressions; Natural languages; Synthesized speech; Character recognition
