Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Iteration interleaving-based SIMD lane partition,2015,ACM Transactions on Architecture and Code Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954181026&doi=10.1145%2f2847253&partnerID=40&md5=e82069098457b58998f8d267e024efd3,"The efficacy of single instruction, multiple data (SIMD) architectures is limited when handling divergent control flows. This circumstance results in SIMD fragments using only a subset of the available lanes. We propose an iteration interleaving-based SIMD lane partition (IISLP) architecture that interleaves the execution of consecutive iterations and dynamically partitions SIMD lanes into branch paths with comparable execution time. The benefits are twofold: SIMD fragments under divergent branches can execute in parallel, and the pathology of fragment starvation can also be well eliminated. Our experiments show that IISLP doubles the performance of a baseline mechanism and provides a speedup of 28% versus instruction shuffle. Copyright © 2015 ACM.",Instruction shuffle; Iteration interleaving; SIMD; SIMD lane partition; Vector iteration,"Hardware; Branch paths; Control flows; Instruction shuffle; Iteration interleaving; SIMD; Single instruction , multiple datum; Software engineering"
Optimizing control transfer and memory virtualization in full system emulators,2015,ACM Transactions on Architecture and Code Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954122373&doi=10.1145%2f2837027&partnerID=40&md5=cf6b3414d181d74b833290e5dec14a36,"Full system emulators provide virtual platforms for several important applications, such as kernel and system software development, co-verification with cycle accurate CPU simulators, or application development for hardware still in development. Full system emulators usually use dynamic binary translation to obtain reasonable performance. This paper focuses on optimizing the performance of full system emulators. First, we optimize performance by enabling classic control transfer optimizations of dynamic binary translation in full system emulation, such as indirect branch target caching and block chaining. Second, we improve the performance of memory virtualization of cross-ISA virtual machines by improving the efficiency of the software translation lookaside buffer (software TLB). We implement our optimizations on QEMU, an industrial-strength full system emulator, along with the Android emulator. Experimental results show that our optimizations achieve an average speedup of 1.98X for ARM-to-X86-64 QEMU running SPEC CINT2006 benchmarks with train inputs. Our optimizations also achieve an average speedup of 1.44X and 1.40X for IA32-to-X86-64 QEMU and AArch64-to-X86-64 QEMU on SPEC CINT2006. We use a set of real applications downloaded from Google Play as benchmarks for the Android emulator. Experimental results show that our optimizations achieve an average speedup of 1.43X for the Android emulator running these applications. Copyright © 2015 ACM.",Control transfer optimizations; Memory virtualization optimizations,Android (operating system); Application programs; Bins; Buffer storage; Embedded systems; Java programming language; Software design; Verification; Virtual reality; Dynamic binary translation; Industrial strength; Memory virtualization; Optimizing control; Real applications; System emulation; Translation lookaside buffer; Virtual machines; Benchmarking
A framework for application-guided task management on heterogeneous embedded systems,2015,ACM Transactions on Architecture and Code Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954138399&doi=10.1145%2f2835177&partnerID=40&md5=5c03e24a63eaf7185c6ad83a4198feda,"In this article, we propose a general framework for fine-grain application-aware task management in heterogeneous embedded platforms, which allows integration of different mechanisms for an efficient resource utilization, frequency scaling, and task migration. The proposed framework incorporates several components for accurate runtime monitoring by relying on the OS facilities and performance self-reporting for parallel and iterative applications. The framework efficiency is experimentally evaluated on a real hardware platform, where significant power and energy savings are attained for SPEC CPU2006 and PARSEC benchmarks, by guiding frequency scaling and intercluster migrations according to the runtime application behavior and predefined performance targets. Copyright © 2015 ACM.",Big.LITTLE; Dynamic voltage and frequency control; Embedded systems; Heterogeneous multiprocessor; Quality of service; Scheduling; Task migration,Benchmarking; Dynamic frequency scaling; Energy conservation; Quality control; Quality of service; Scheduling; Application behaviors; Big.LITTLE; Different mechanisms; Dynamic voltage; Heterogeneous embedded system; Heterogeneous multiprocessors; Resource utilizations; Task migration; Embedded systems
Integer linear programming-based scheduling for transport triggered architectures,2015,ACM Transactions on Architecture and Code Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954319266&doi=10.1145%2f2845082&partnerID=40&md5=d37f6aafb66066caa5ed9f662719a181,"Static multi-issue machines, such as traditional Very Long Instructional Word (VLIW) architectures, move complexity from the hardware to the compiler. This is motivated by the ability to support high degrees of instruction-level parallelism without requiring complicated scheduling logic in the processor hardware. The simpler-control hardware results in reduced area and power consumption, but leads to a challenge of engineering a compiler with good code-generation quality. Transport triggered architectures (TTA), and other so-called exposed datapath architectures, take the compiler-oriented philosophy even further by pushing more details of the datapath under software control. Themain benefit of this is the reduced register file pressure, with a drawback of adding even more complexity to the compiler side. In this article, we propose an Integer Linear Programming (ILP)-based instruction scheduling model for TTAs. The model describes the architecture characteristics, the particular processor resource constraints, and the operation dependencies of the scheduled program. The model is validated andmeasured by compiling application kernels to various TTAs with a different number of datapath components and connectivity. In the best case, the cycle count is reduced to 52% when compared to a heuristic scheduler. In addition to producing shorter schedules, the number of register accesses in the compiled programs is generally notably less than those with the heuristic scheduler; in the best case, the ILP scheduler reduced the number of register file reads to 33% of the heuristic results and register file writes to 18%. On the other hand, as expected, the ILP-based scheduler uses distinctly more time to produce a schedule than the heuristic scheduler, but the compilation time is within tolerable limits for production-code generation. Copyright © 2015 ACM.",Code generation; Exposed datapath; Instruction-level parallelism; Integer linear programming; Transport triggered architectures,Codes (symbols); Hardware; Inductive logic programming (ILP); Network components; Parallel processing systems; Program compilers; Program processors; Quality control; Reconfigurable hardware; Scheduling; Very long instruction word architecture; Code Generation; Data paths; Instruction level parallelism; Integer Linear Programming; Transport triggered architecture; Integer programming
DASH: Deadline-aware high-performance memory scheduler for heterogeneous systems with hardware accelerators,2015,ACM Transactions on Architecture and Code Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954161826&doi=10.1145%2f2847255&partnerID=40&md5=7e988a9d46329c4138f7b22e90e88837,"Modern SoCs integrate multiple CPU cores and hardware accelerators (HWAs) that share the same main memory system, causing interference among memory requests from different agents. The result of this interference, if it is not controlledwell, is missed deadlines for HWAs and low CPU performance. Fewprevious works have tackled this problem. State-of-the-art mechanisms designed for CPU-GPU systems strive to meet a target frame rate for GPUs by prioritizing the GPU close to the time when it has to complete a frame. We observe two major problems when such an approach is adapted to a heterogeneous CPU-HWA system. First, HWAs miss deadlines because they are prioritized only when close to their deadlines. Second, such an approach does not consider the diverse memory access characteristics of different applications running on CPUs and HWAs, leading to low performance for latency-sensitive CPU applications and deadline misses for some HWAs, including GPUs. In this article, we propose a Deadline-Awarememory Scheduler for Heterogeneous systems (DASH), which overcomes these problems using three key ideas, with the goal of meeting HWAs' deadlines while providing high CPU performance. First, DASH prioritizes an HWA when it is not on track to meet its deadline any time during a deadline period, instead of prioritizing it only when close to a deadline. Second, DASH prioritizes HWAs over memory-intensive CPU applications based on the observation that memory-intensive applications' performance is not sensitive to memory latency. Third, DASH treats short-deadline HWAs differently as they are more likely to miss their deadlines and schedules their requests based on worst-case memory access time estimates. Extensive evaluations across a wide variety of different workloads and systems show that DASH achieves significantly better CPU performance than the best previous scheduler while always meeting the deadlines for all HWAs, including GPUs, thereby largely improving frame rates. Copyright © 2015 ACM.",Deadline; GPUs; Hardware accelerators; Heterogeneous systems; Main memory; Memory controller; Multicore; Performance; Real-time systems; Scheduling; System-on-a-chip,Application specific integrated circuits; Computer hardware; Hardware; Interactive computer systems; Memory architecture; Program processors; Reconfigurable hardware; Scheduling; System-on-chip; Deadline; GPUs; Hardware accelerators; Heterogeneous systems; Main memory; Memory controller; Multi core; Performance; System on a chip; Real time systems
A filtering mechanism to reduce network bandwidth utilization of transaction execution,2015,ACM Transactions on Architecture and Code Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954187913&doi=10.1145%2f2837028&partnerID=40&md5=b8068504e86ba0ba8b70dfac7c4f6485,"Hardware Transactional Memory (HTM) relies heavily on the on-chip network for intertransaction communication. However, the network bandwidth utilization of transactions has been largely neglected in HTM designs. In this work, we propose a cost model to analyze network bandwidth in transaction execution. The cost model identifies a set of key factors that can be optimized through system design to reduce the communication cost of HTM. Based on themodel and network traffic characterization of a representative HTM design, we identify a huge source of superfluous traffic due to failed requests in transaction conflicts. As observed in a spectrum of workloads, 39% of the transactional requests fail due to conflicts, which renders 58% of the transactional network traffic futile. To combat this pathology, a novel in-network filtering mechanism is proposed. The on-chip router is augmented to predict conflicts among transactions and proactively filter out those requests that have a high probability to fail. Experimental results show the proposed mechanism reduces total network traffic by 24% on average for a set of high-contention TM applications, thereby reducing energy consumption by an average of 24%. Meanwhile, the contention in the coherence directory is reduced by 68%, on average. These improvements are achieved with only 5% area added to a conventional on-chip router design. © 2015 ACM.",Communication cost modeling; Energy efficiency; Network traffic; On-chip network; Transactional memory,Costs; Design; Energy efficiency; Energy utilization; Storage allocation (computer); Communication cost; Hardware transactional memory; Network bandwidth utilization; Network traffic; Network traffic characterizations; On-chip networks; Reducing energy consumption; Transactional memory; Bandwidth
PARSECSs: Evaluating the impact of task parallelism in the PARSEC benchmark suite,2015,ACM Transactions on Architecture and Code Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954189607&doi=10.1145%2f2829952&partnerID=40&md5=c1d00e2e716bb381a3eec58914a4c960,"In this work, we show how parallel applications can be implemented efficiently using task parallelism. We also evaluate the benefits of such parallel paradigm with respect to other approaches. We use the PARSEC benchmark suite as our test bed, which includes applications representative of a wide range of domains from HPC to desktop and server applications. We adopt different parallelization techniques, tailored to the needs of each application, to fully exploit the task-based model. Our evaluation shows that task parallelism achieves better performance than thread-based parallelization models, such as Pthreads. Our experimental results show that we can obtain scalability improvements up to 42% on a 16-core system and code size reductions up to 81%. Such reductions are achieved by removing from the source code application specific schedulers or thread pooling systems and transferring these responsibilities to the runtime system software. © 2015 ACM.",Concurrency; Parallel applications; Parallel architectures; Parallel benchmarks; Parallel runtime systems; Scalable applications; Synchronization; Task-based programming models,Application programs; Benchmarking; Parallel architectures; Synchronization; Concurrency; Parallel application; Parallel benchmarks; Programming models; Runtime systems; Computer systems programming
Automatic vectorization of interleaved data revisited,2015,ACM Transactions on Architecture and Code Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954119867&doi=10.1145%2f2838735&partnerID=40&md5=7280abfaf3d4fcbd298c7d6f3278e333,"Automatically exploiting short vector instructions sets (SSE, AVX, NEON) is a critically important task for optimizing compilers. Vector instructions typically work best on data that is contiguous in memory, and operating on non-contiguous data requires additional work to gather and scatter the data. There are several varieties of non-contiguous access, including interleaved data access. An existing approach used by GCC generates extremely efficient code for loops with power-of-2 interleaving factors (strides). In this paper we propose a generalization of this approach that produces similar code for any compile-time constant interleaving factor. In addition, we propose several novel program transformations, which were made possible by our generalized representation of the problem. Experiments show that our approach achieves significant speedups for both power-of-2 and non-power-of-2 interleaving factors. Our vectorization approach results in mean speedups over scalar code of 1.77x on Intel SSE and 2.53x on Intel AVX2 in real-world benchmarking on a selection of BLAS Level 1 routines. On the same benchmark programs, GCC 5.0 achieves mean improvements of 1.43x on Intel SSE and 1.30x on Intel AVX2. In synthetic benchmarking on Intel SSE, our maximum improvement on data movement is over 4x for gathering operations and over 6x for scattering operations versus scalar code. © 2015 ACM.",Data; Interleaving; SIMD; Vectorization,Benchmarking; Automatic vectorization; Benchmark programs; Data; Interleaving; Optimizing compilers; Program transformations; SIMD; Vectorization; Codes (symbols)
The polyhedral model of nonlinear loops,2015,ACM Transactions on Architecture and Code Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954113617&doi=10.1145%2f2838734&partnerID=40&md5=705a0a69d0cd081be922c54363c6062c,"Runtime code optimization and speculative execution are becoming increasingly prominent to leverage performance in the current multi- and many-core era. However, a wider and more efficient use of such techniques is mainly hampered by the prohibitive time overhead induced by centralized data race detection, dynamic code behavior modeling, and code generation. Most of the existing Thread Level Speculation (TLS) systems rely on naively slicing the target loops into chunks and trying to execute the chunks in parallel with the help of a centralized performance-penalizing verification module that takes care of data races. Due to the lack of a data dependence model, these speculative systems are not capable of doing advanced transformations, and, more importantly, the chances of rollback are high. The polyhedral model is a wellknown mathematical model to analyze and optimize loop nests. The current state-of-art tools limit the application of the polyhedral model to static control codes. Thus, none of these tools can generally handle codes withwhile loops, indirect memory accesses, or pointers. Apollo (Automatic POLyhedral Loop Optimizer) is a framework that goes one step beyond and applies the polyhedral model dynamically by using TLS. Apollo can predict, at runtime, whether the codes are behaving linearly or not, and it applies polyhedral transformations on-the-fly. This article presents a novel system that enables Apollo to handle codes whose memory accesses and loop bounds are not necessarily linear. More generally, this approach expands the applicability of the polyhedral model at runtime to a wider class of codes. Plugging together both linear and nonlinear accesses to the dependence prediction model enables the application of polyhedral loop optimizing transformations even for nonlinear code kernels while also allowing a low-cost speculation verification. Copyright © 2015 ACM.",Nonlinear memory references; Polyhedral model; Speculative and dynamic loop parallelization,Codes (symbols); Embedded systems; Linear transformations; Data race detection; Dependence prediction; Dynamic loops; Nonlinear memory; Polyhedral modeling; Polyhedral transformations; Speculative execution; Thread level speculation; Mathematical transformations
JavaScript parallelizing compiler for exploiting parallelism from data-parallel HTML5 applications,2015,ACM Transactions on Architecture and Code Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954190307&doi=10.1145%2f2846098&partnerID=40&md5=8b1815cb3a6fcb7e758305b2aed51303,"With the advent of the HTML5 standard, JavaScript is increasingly processing computationally intensive, data-parallel workloads. Thus, the enhancement of JavaScript performance has been emphasized because the performance gap between JavaScript and native applications is still substantial. Despite this urgency, conventional JavaScript compilers do not exploit much of parallelism even from data-parallel JavaScript applications, despite contemporary mobile devices being equipped with expensive parallel hardware platforms, such as multicore processors and GPGPUs. In this article, we propose an automatically parallelizing JavaScript compiler that targets emerging, dataparallel HTML5 applications by leveraging the mature affine loop analysis of conventional static compilers. We identify that themost critical issues when parallelizing JavaScript with a conventional static analysis are ensuring correct parallelization, minimizing compilation overhead, and conducting low-cost recovery when there is a speculation failure during parallel execution. We propose a mechanism for safely handling the failure at a low cost, based on compiler techniques and the property of idempotence. Our experiment shows that the proposed JavaScript parallelizing compiler detects most affine parallel loops. Also, we achieved a maximum speedup of 3.22 times on a quad-core system, while incurring negligible compilation and recovery overheads with various sets of data-parallel HTML5 applications. Copyright © 2015 ACM.",HTML5; JavaScript; Javascript compilers; Javascript engines; Javascriptcore; JIT; Loop parallelization,Cost benefit analysis; Depreciation; High level languages; HTML; Mobile devices; Program processors; HTML5; Javascript; Javascriptcore; JIT; Loop parallelization; Program compilers
