Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Efficient personalized probabilistic retrieval of Chinese calligraphic manuscript images in mobile cloud environment,2014,ACM Transactions on Asian Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919740519&doi=10.1145%2f2629575&partnerID=40&md5=3512af9b15cc31e34788b5568c462003,"Ancient language manuscripts constitute a key part of the cultural heritage of mankind. As one of the most important languages, Chinese historical calligraphy work has contributed to not only the Chinese cultural heritage but also the world civilization at large, especially for Asia. To support deeper and more convenient appreciation of Chinese calligraphy works, based on our previous work on the probabilistic retrieval of historical Chinese calligraphic character manuscripts repositories, we propose a system framework of the multi-feature-based Chinese calligraphic character images probabilistic retrieval in the mobile cloud network environment, which is called the DPRC. To ensure retrieval efficiency, we further propose four enabling techniques: (1) DRL-based probability propagation, (2) optimal data placement scheme, (3) adaptive data robust transmission algorithm, and (4) index support filtering scheme. Comprehensive experiments are conducted to testify the effectiveness and efficiency of our proposed DPRC method. © 2014 ACM.",Chinese calligraphic character; Probabilistic retrieval; Sentiment,Efficiency; Chinese calligraphic character; Chinese calligraphy; Effectiveness and efficiencies; Probabilistic retrieval; Probability propagation; Retrieval efficiency; Robust transmission; Sentiment; Search engines
Discriminative training for log-linear based SMT: GLobal or local methods,2014,ACM Transactions on Asian Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919724830&doi=10.1145%2f2637478&partnerID=40&md5=6204a08b62125ac4fec15e2e4d5fe434,"In statistical machine translation, the standard methods such as MERT tune a single weight with regard to a given development data. However, these methods suffer from two problems due to the diversity and uneven distribution of source sentences. First, their performance is highly dependent on the choice of a development set, which may lead to an unstable performance for testing. Second, the sentence level translation quality is not assured since tuning is performed on the document level rather than on sentence level. In contrast with the standard global training in which a single weight is learned, we propose novel local training methods to address these two problems. We perform training and testing in one step by locally learning the sentence-wise weight for each input sentence. Since the time of each tuning step is unnegligible and learning sentence-wise weights for the entire test set means many passes of tuning, it is a great challenge for the efficiency of local training. We propose an efficient two-phase method to put the local training into practice by employing the ultraconservative update. On NIST Chinese-to-English translation tasks with both medium and large scales of training data, our local training methods significantly outperform standard methods with the maximal improvements up to 2.0 BLEU points, meanwhile their efficiency is comparable to that of the standard methods. © 2014 ACM.",Global training; Local training; Log-linear model; Ultraconservative update,Computer aided language translation; Regression analysis; Discriminative training; Local training; Loglinear model; Statistical machine translation; Training and testing; Translation quality; Two phase method; Ultraconservative update; Efficiency
Pronunciation variants prediction method to detect mispronunciations by Korean learners of English,2014,ACM Transactions on Asian Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919724828&doi=10.1145%2f2629545&partnerID=40&md5=1cd67826c324d223d2408632a02d255d,"This article presents an approach to nonnative pronunciation variants modeling and prediction. The pronunciation variants prediction method was developed by generalized transformation-based error-driven learning (GTBL). The modified goodness of pronunciation (GOP) score was applied to effective mispronunciation detection using logistic regression machine learning under the pronunciation variants prediction. English-read speech data uttered by Korean-speaking learners of English were collected, then pronunciation variation knowledge was extracted from the differences between the canonical phonemes and the actual phonemes of the speech data. With this knowledge, an error-driven learning approach was designed that automatically learns phoneme variation rules from phoneme-level transcriptions. The learned rules generate an extended recognition network to detect mispronunciations. Three different mispronunciation detection methods were tested including our logistic regression machine learning method with modified GOP scores and mispronunciation preference features; all three methods yielded significant improvement in predictions of pronunciation variants, and our logistic regression method showed the best performance. © 2014 ACM.",Mispronunciation detection; Pronunciation variants prediction,Forecasting; Machine learning; Error-driven learning; Generalized transformation; Logistic regression method; Machine learning methods; Mispronunciation detections; Modeling and predictions; Pronunciation variants; Pronunciation variation; Logistic regression
TALIP Perspectives: Editorial Commentary: The State of the Journal,2014,ACM Transactions on Asian Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907925135&doi=10.1145%2f2656620&partnerID=40&md5=0db6a7e6cd5a61e8190cdc0e196db30e,[No abstract available],,
Distortion model based on word sequence labeling for statistical machine translation,2014,ACM Transactions on Asian Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897674721&doi=10.1145%2f2537128&partnerID=40&md5=b210a00a6798b38de5010673f8166c88,"This article proposes a new distortion model for phrase-based statistical machine translation. In decoding, a distortion model estimates the source word position to be translated next (subsequent position; SP) given the last translated source word position (current position; CP). We propose a distortion model that can simultaneously consider the word at the CP, the word at an SP candidate, the context of the CP and an SP candidate, relative word order among the SP candidates, and the words between the CP and an SP candidate. These considered elements are called rich context. Our model considers rich context by discriminating label sequences that specify spans from the CP to each SP candidate. It enables our model to learn the effect of relative word order among SP candidates as well as to learn the effect of distances from the training data. In contrast to the learning strategy of existing methods, our learning strategy is that the model learns preference relations among SP candidates in each sentence of the training data. This leaning strategy enables consideration of all of the rich context simultaneously. In our experiments, our model had higher BLUE and RIBES scores for Japanese-English, Chinese-English, and German-English translation compared to the lexical reordering models. © 2014 Copyright is held by the author/owner(s).",Distortion model; Machine translation; Reordering,Learning systems; Distortion model; Learning strategy; Machine translations; Phrase-based statistical machine translation; Preference relation; Reordering; Reordering models; Statistical machine translation; Linguistics
Cross-lingual annotation projection for weakly-supervised relation extraction,2014,ACM Transactions on Asian Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897691349&doi=10.1145%2f2529994&partnerID=40&md5=a1f848ca99edbbb46f2535d00df51f1e,"Although researchers have conducted extensive studies on relation extraction in the last decade, statistical systems based on supervised learning are still limited, because they require large amounts of training data to achieve high performance level. In this article, we propose cross-lingual annotation projection methods that leverage parallel corpora to build a relation extraction system for a resource-poor language without significant annotation efforts. To make our method more reliable, we introduce two types of projection approaches with noise reduction strategies. We demonstrate the merit of our method using a Korean relation extraction system trained on projected examples from an English-Korean parallel corpus. Experiments show the feasibility of our approaches through comparison to other systems based on monolingual resources. © 2014 ACM.",Cross-lingual annotation projection; Relation extraction; Weakly-supervised learning,Noise abatement; Supervised learning; Cross-lingual; Parallel corpora; Performance level; Projection method; Reduction strategy; Relation extraction; Statistical systems; Weakly-supervised learning; Extraction
"TALIP perspectives, guest editorial commentary what counts (and what ought to count)?",2014,ACM Transactions on Asian Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897733237&doi=10.1145%2f2559789&partnerID=40&md5=c43ad2b09cd9bce9b9753ba39f884b21,"The Association for Computational Linguistics (ACL) has started a second journal. There is a credible concern that for-profit indexing services might favor for-profit journals. In fact, when for-profit publishers are competing for a new journal, one of their selling points is their track record in advocating new journals to the for-profit indexing services with the implication that non-profit publishers (ACL, ACM, and IEEE) are relatively less successful in adding new journals to the indexes as quickly. There is a need for someone to do a careful comparison of Google Scholar with Web of Science and see which indexing service agrees more with surveys of experts. It would be a mistake to compare scores from one source with scores from another source without calibrating for the differences in the two sources. Similarly, as already mentioned, because of inflation, it would be a mistake to compare stale estimates for one researcher with fresh estimates for another.",,Computational linguistics; Indexing (of information); Google scholar; Indexing Service; Non-profit; Track record; Two sources; Web of Science; Profitability
"Time for more languages: Temporal tagging of Arabic, Italian, Spanish, and Vietnamese",2014,ACM Transactions on Asian Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897732854&doi=10.1145%2f2540989&partnerID=40&md5=c2ae4f73b79b396c4ecbfd84ae402a56,"Most of the research on temporal tagging so far is done for processing English text documents. There are hardly any multilingual temporal taggers supporting more than two languages. Recently, the temporal tagger HeidelTime has been made publicly available, supporting the integration of new languages by developing language-dependent resources without modifying the source code. In this article, we describe our work on developing such resources for two Asian and two Romance languages: Arabic, Vietnamese, Spanish, and Italian. While temporal tagging of the two Romance languages has been addressed before, there has been almost no research on Arabic and Vietnamese temporal tagging so far. Furthermore, we analyze language-dependent challenges for temporal tagging and explain the strategies we followed to address them. Our evaluation results on publicly available and newly annotated corpora demonstrate the high quality of our new resources for the four languages, which we make publicly available to the research community. © 2014 ACM.",Arabic NLP; HeidelTime; Temporal tagging; TIMEX3; Vietnamese NLP,Industrial plants; Natural language processing systems; Arabic nlp; HeidelTime; Temporal tagging; TIMEX3; Vietnamese; Research
Arabic text categorization based on arabic wikipedia,2014,ACM Transactions on Asian Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897708603&doi=10.1145%2f2537129&partnerID=40&md5=f4ad265915161d85140b4d4a06aafa4c,"This article describes an algorithm for categorizing Arabic text, relying on highly categorized corpus-based datasets obtained from the Arabic Wikipedia by using manual and automated processes to build and customize categories. The categorization algorithm was built by adopting a simple categorization idea then moving forward to more complex ones. We applied tests and filtration criteria to reach the best and most efficient results that our algorithm can achieve. The categorization depends on the statistical relations between the input (test) text and the reference (training) data supported by well-defined Wikipedia-based categories. Our algorithm supports two levels for categorizing Arabic text; categories are grouped into a hierarchy of main categories and subcategories. This introduces a challenge due to the correlation between certain subcategories and overlap between main categories. We argue that our algorithm achieved good performance compared to other methods reported in the literature. © 2014 ACM.",Arabic natural language processing; Arabic Wikipedia; Categorized corpora; Light stemming; Text analysis; Text categorization,Automation; Linguistics; Natural language processing systems; Text processing; Arabic natural language processing; Categorized corpora; Text analysis; Text categorization; Wikipedia; Algorithms
Linguistic analysis of non-ITG word reordering between language pairs with different word order typologies,2014,ACM Transactions on Asian Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907854295&doi=10.1145%2f2644810&partnerID=40&md5=4138e0ab61b2e1bbe4f1f04df1ba8c4e,"The Inversion Transduction Grammar (ITG) constraints have been widely used for word reordering in machine translation studies. They are, however, so restricted that some types of word reordering cannot be handled properly. We analyze three corpora between SVO and SOV languages: Chinese-Korean, English- Japanese, and English-Korean. In our analysis, sentences that require non-ITG word reordering are manually categorized. We also report the results for two quantitative measures that reveal the significance of non-ITG word reordering. In conclusion, we suggest that ITG constraints are insufficient to deal with word reordering in real situations.",Corpus analysis; Inversion transduction grammar; Machine translation,Bacteriophages; Computational linguistics; Computer aided language translation; Linguistics; Corpus analysis; Inversion transduction grammars; Language pairs; Linguistic analysis; Machine translations; Quantitative measures; Real situation; Word reordering; Translation (languages)
