Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Fuzzy Hindi wordnet and word sense disambiguation using fuzzy graph connectivity measures,2015,ACM Transactions on Asian and Low-Resource Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041448357&doi=10.1145%2f2790079&partnerID=40&md5=33780ddb091c711c8511bd10dac6db9b,"In this article, we propose Fuzzy Hindi WordNet, which is an extended version of Hindi WordNet. The proposed idea of fuzzy relations and their role in modeling Fuzzy Hindi WordNet is explained. We mathematically define fuzzy relations and the composition of these fuzzy relations for this extended version. We show that the concept of composition of fuzzy relations can be used to infer a relation between two words that otherwise are not directly related in Hindi WordNet. Then we propose fuzzy graph connectivity measures that include both local and global measures. These measures are used in determining the significance of a concept (which is represented as a vertex in the fuzzy graph) in a specific context. Finally, we show how these extended measures solve the problem of word sense disambiguation (WSD) effectively, which is useful in many natural language processing applications to improve their performance. Experiments on standard sense tagged corpus for WSD show better results when Fuzzy Hindi WordNet is used in place of Hindi WordNet. © 2015 ACM",Centrality; Fuzzy graph; Fuzzy logic; Hindi WordNet; Lexicon; Word sense disambiguation,Fuzzy sets; Fuzzy systems; Graph theory; Natural language processing systems; Ontology; Centrality; Fuzzy graph; Hindi WordNet; Lexicon; Word Sense Disambiguation; Fuzzy logic
Collective web-based parenthetical translation extraction using markov logic networks,2015,ACM Transactions on Asian and Low-Resource Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057535778&doi=10.1145%2f2794399&partnerID=40&md5=834a01fb352a69bed3f90ee84b88c796,"Parenthetical translations are translations of terms in otherwise monolingual text that appear inside parentheses. Parenthetical translations extraction (PTE) is the task of extracting parenthetical translations from natural language documents. One of the main difficulties in PTE is to detect the left boundary of the translated term in preparenthetical text. In this article, we propose a collective approach that employs Markov logic to model multiple constraints used in the PTE task. We show how various constraints can be formulated and combined in a Markov logic network (MLN). Our experimental results show that the proposed collective PTE approach significantly outperforms a current state-of-the-art method, improving the average F-measure up to 27.11% compared to the previous word alignment approach. It also outperforms an individual MLN-based system by 8.2% and a system based on conditional random fields by 5.9%. © 2015 ACM",Entity translation; Markov logic network; Named entity translation; Parenthetical translation extraction,Extraction; Markov processes; Natural language processing systems; Probabilistic logics; Conditional random field; Markov logic networks; Monolingual texts; Multiple constraint; Named entity translation; Natural languages; State-of-the-art methods; Word alignment; Computer circuits
Integrated parallel sentence and fragment extraction from comparable corpora: A case study on Chinese–Japanese Wikipedia,2015,ACM Transactions on Asian and Low-Resource Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034850494&doi=10.1145%2f2833089&partnerID=40&md5=79a75ba8c8d1d517afb1d88c3ce8b4fa,"Parallel corpora are crucial for statistical machine translation (SMT); however, they are quite scarce for most language pairs and domains. As comparable corpora are far more available, many studies have been conducted to extract either parallel sentences or fragments from them for SMT. In this article, we propose an integrated system to extract both parallel sentences and fragments from comparable corpora. We first apply parallel sentence extraction to identify parallel sentences from comparable sentences. We then extract parallel fragments from the comparable sentences. Parallel sentence extraction is based on a parallel sentence candidate filter and classifier for parallel sentence identification. We improve it by proposing a novel filtering strategy and three novel feature sets for classification. Previous studies have found it difficult to accurately extract parallel fragments from comparable sentences. We propose an accurate parallel fragment extraction method that uses an alignment model to locate the parallel fragment candidates and an accurate lexicon-based filter to identify the truly parallel fragments. A case study on the Chinese–Japanese Wikipedia indicates that our proposed methods outperform previously proposed methods, and the parallel data extracted by our system significantly improves SMT performance. © 2015 ACM",And Phrases: Integrated system; Comparable corpora; Parallel fragment; Parallel sentence,Computer aided language translation; Integrated control; Speech transmission; Comparable corpora; Filtering strategies; Integrated systems; Parallel fragment; Parallel sentence; Sentence extraction; Sentence identifications; Statistical machine translation; Extraction
Description of the Chinese-to-Spanish rule-based machine translation system developed using a hybrid combination of human annotation and statistical techniques,2015,ACM Transactions on Asian and Low-Resource Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020869893&doi=10.1145%2f2738045&partnerID=40&md5=039fd5ce7dc16f61ebf3c8389e3b1df2,"Two of the most popular Machine Translation (MT) paradigms are rule based (RBMT) and corpus based, which include the statistical systems (SMT). When scarce parallel corpus is available, RBMT becomes particularly attractive. This is the case of the Chinese–Spanish language pair. This article presents the first RBMT system for Chinese to Spanish. We describe a hybrid method for constructing this system taking advantage of available resources such as parallel corpora that are used to extract dictionaries and lexical and structural transfer rules. The final system is freely available online and open source. Although performance lags behind standard SMT systems for an in-domain test set, the results show that the RBMT’s coverage is competitive and it outperforms the SMT system in an out-of-domain test set. This RBMT system is available to the general public, it can be further enhanced, and it opens up the possibility of creating future hybrid MT systems. © 2015 ACM",Chinese-to-Spanish; Rule-based Machine Translation; Statistical techniques,Computational linguistics; Computer aided language translation; Chinese-to-Spanish; Human annotations; Machine translations; Parallel corpora; Rule-based machine translations; Spanish language; Statistical systems; Statistical techniques; Open systems
A hybrid feature extraction algorithm for Devanagari script,2015,ACM Transactions on Asian and Low-Resource Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045506947&doi=10.1145%2f2710018&partnerID=40&md5=6864b57b0ec2a70c572714a9902a7199,"The efficiency of any character recognition technique is directly dependent on the accuracy of the generated feature set that could uniquely represent a character and hence correctly recognize it. This article proposes a hybrid approach combining the structural features of the character and a mathematical model of curve fitting to simulate the best features of a character. As a preprocessing step, skeletonization of the character is performed using an iterative thinning algorithm based on Raster scan of the character image. Then, a combination of structural features of the character like number of endpoints, loops, and intersection points is calculated. Further, the thinned character image is statistically zoned into partitions, and a quadratic curve-fitting model is applied on each partition forming a feature vector of the coefficients of the optimally fitted curve. This vector is combined with the spatial distribution of the foreground pixels for each zone and hence script-independent feature representation. The approach has been evaluated experimentally on Devanagari scripts. The algorithm achieves an average recognition accuracy of 93.4%. © 2015 ACM",Curve fitting; Raster scan; Thinning; Zoning,Character recognition; Curve fitting; Iterative methods; Rasterization; Zoning; Feature representation; Hybrid-feature extraction; Intersection points; Pre-processing step; Quadratic curve fittings; Raster scans; Recognition accuracy; Thinning; Image thinning
Acoustic features for hidden conditional random fields–based Thai tone classification,2015,ACM Transactions on Asian and Low-Resource Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057550646&doi=10.1145%2f2833088&partnerID=40&md5=c4e861e455e3c0672042512841031a69,"In the Thai language, tone information is necessary for Thai speech recognition systems. Previous studies show that many acoustic cues are attributed to shapes of tones. Nevertheless, most Thai tone classification studies mainly adopted F0 values and their derivatives without considering other acoustic features. In this article, other acoustic features for Thai tone classification are investigated. In the experiment, energy values and spectral information represented by three spectral-based features including the LPC-based feature, PLP-based feature, and MFCC-based feature are applied to the HCRF-based Thai tone classification, which was reported as the best approach for Thai tone classification. The energy values provide an error rate reduction of 22.40% in the isolated word scenario, while there are slight improvements in the continuous speech scenario. On the contrary, spectral-based features greatly contribute to Thai tone classification in the continuous-speech scenario, whereas spectral-based features slightly degrade performances in the isolated-word scenario. The best achievement in the continuous-speech scenario is obtained from the PLP-based feature, which yields an error rate reduction of 13.90%. Therefore, findings in this article are that energy values and spectral-based features, especially the PLP-based feature, are the main contributors to the improvement of the performances of Thai tone classification in the isolated-word scenario and the continuous-speech scenario, respectively. © 2015 ACM",Acoustic features; Energy; Hidden conditional random fields; Spectral information; Thai tone classification; Tone features,Acoustic fields; Random processes; Speech; Speech recognition; Acoustic features; Energy; Hidden conditional random fields; Spectral information; Tone features; Classification (of information)
Improving handwritten Arabic character recognition by modeling human handwriting distortions,2015,ACM Transactions on Asian and Low-Resource Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050751365&doi=10.1145%2f2764456&partnerID=40&md5=03006c31c35d28c51780f551cd242351,"Handwritten Arabic character recognition systems face several challenges, including the unlimited variation in human handwriting and the unavailability of large public databases of handwritten characters and words. The use of synthetic data for training and testing handwritten character recognition systems is one of the possible solutions to provide several variations for these characters and to overcome the lack of large databases. While this can be using arbitrary distortions, such as image noise and randomized affine transformations, such distortions are not realistic. In this work, we model real distortions in handwriting using real handwritten Arabic character examples and then use these distortion models to synthesize handwritten examples that are more realistic. We show that the use of our proposed approach leads to significant improvements across different machine-learning classification algorithms. © 2015 ACM",Affine transformations; Arabic character recognition; Congealing; Human handwriting distortion; Synthetic data,Learning systems; Affine transformations; Arabic character recognition; Congealing; Hand written character recognition; Hand-written characters; Machine learning classification; Synthetic data; Training and testing; Character recognition
A constraint approach to pivot-based bilingual dictionary induction,2015,ACM Transactions on Asian and Low-Resource Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984790400&doi=10.1145%2f2723144&partnerID=40&md5=d4bf4a855ae417522aedf030caaad55a,"High-quality bilingual dictionaries are very useful, but such resources are rarely available for lower-density language pairs, especially for those that are closely related. Using a third language to link two other languages is a well-known solution and usually requires only two input bilingual dictionaries A-B and B-C to automatically induce the new one, A-C. This approach, however, has never been demonstrated to utilize the complete structures of the input bilingual dictionaries, and this is a key failing because the dropped meanings negatively influence the result. This article proposes a constraint approach to pivot-based dictionary induction where language A and C are closely related. We create constraints from language similarity and model the structures of the input dictionaries as a Boolean optimization problem, which is then formulated within the Weighted Partial Max-SAT framework, an extension of Boolean Satisfiability (SAT). All of the encoded CNF (Conjunctive Normal Form), the predominant input language of modern SAT/MAX-SAT solvers, formulas are evaluated by a solver to produce the target (output) bilingual dictionary. Moreover, we discuss alternative formalizations as a comparison study. We designed a tool that uses the Sat4j library as the default solver to implement our method and conducted an experiment in which the output bilingual dictionary achieved better quality than the baseline method. © 2015 ACM",Bilingual dictionary induction; Constraint satisfaction problem; Low-resource languages; Pivot language; Weighted Partial Max-SAT,Constraint satisfaction problems; Baseline methods; Bilingual dictionary; Boolean optimizations; Boolean satisfiability; Conjunctive normal forms; Low resource languages; Max-SAT; Pivot language; C (programming language)
Correcting Chinese spelling errors with word lattice decoding,2015,ACM Transactions on Asian and Low-Resource Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028859823&doi=10.1145%2f2791389&partnerID=40&md5=4ff76ef710b1fcec7be65fd97064d172,"Chinese spell checkers are more difficult to develop because of two language features: 1) there are no word boundaries, and a character may function as a word or a word morpheme; and 2) the Chinese character set contains more than ten thousand characters. The former makes it difficult for a spell checker to detect spelling errors, and the latter makes it difficult for a spell checker to construct error models. We develop a word lattice decoding model for a Chinese spell checker that addresses these difficulties. The model performs word segmentation and error correction simultaneously, thereby solving the word boundary problem. The model corrects nonword errors as well as real-word errors. In order to better estimate the error distribution of large character sets for error models, we also propose a methodology to extract spelling error samples automatically from the Google web 1T corpus. Due to the large quantity of data in the Google web 1T corpus, many spelling error samples can be extracted, better reflecting spelling error distributions in the real world. Finally, in order to improve the spell checker for real applications, we produce n-best suggestions for spelling error corrections. We test our proposed approach with the Bakeoff 2013 CSC Datasets; the results show that the proposed methods with the error model significantly outperform the performance of Chinese spell checkers that do not use error models. © 2015 ACM.",Chinese spelling error checking; Computer-assisted language learning; Noisy channel model; Unknown word detection; Word lattice; Word segmentation,Character sets; Computational linguistics; Computer aided instruction; Decoding; Error correction; Extraction; Natural language processing systems; Computer assisted language learning; Noisy channel models; Spelling errors; Word lattice; Word segmentation; Errors
A probabilistic framework for Chinese spelling check,2015,ACM Transactions on Asian and Low-Resource Language Information Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028851006&doi=10.1145%2f2826234&partnerID=40&md5=597fa06d123ca9e260c3bf04224916cc,"Chinese spelling check (CSC) is still an unsolved problem today since there are many homonymous or homomorphous characters. Recently, more and more CSC systems have been proposed. To the best of our knowledge, language modeling is one of the major components among these systems because of its simplicity and moderately good predictive power. After deeply analyzing the school of research, we are aware that most of the systems only employ the conventional n-gram language models. The contributions of this article are threefold. First, we propose a novel probabilistic framework for CSC, which naturally combines several important components, such as the substitution model and the language model, to inherit their individual merits as well as to overcome their limitations. Second, we incorporate the topic language models into the CSC system in an unsupervised fashion. The topic language models can capture the long-span semantic information from a word (character) string while the conventional n-gram language models can only preserve the local regularity information. Third, we further integrate Web resources with the proposed framework to enhance the overall performance. Our rigorously empirical experiments demonstrate the consistent and utility performance of the proposed framework in the CSC task. © 2015 ACM.",Chinese; Language model; Probabilistic; Spelling check; Topic modeling,Modeling languages; Natural language processing systems; Network function virtualization; Semantics; Chinese; Language model; Probabilistic; Spelling checks; Topic Modeling; Computational linguistics
