Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Input-oblivious proof systems and a uniform complexity perspective on P/poly,2015,ACM Transactions on Computation Theory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941011954&doi=10.1145%2f2799645&partnerID=40&md5=88b7c4efb5807541b903c78f048d9ad1,"An input-oblivious proof system is a proof system in which the proof does not depend on the claim being proved. Input-oblivious versions of NP and MA were introduced in passing by Fortnow, Santhanam, and Williams, who also showed that those classes are related to questions on circuit complexity. In this article, we wish to highlight the notion of input-oblivious proof systems and initiate a more systematic study of them. We begin by describing in detail the results of Fortnow et al. and discussing their connection to circuit complexity. We then extend the study to input-oblivious versions of IP, PCP, and Z K, and present few preliminary results regarding those versions. © 2015 ACM.",BPP; E; EXP; F.1.2 [Theory of Computation]: Computation by Abstract Devices; IP; MA; Modes of computation; NE; NEXP; NP; P/poly; PCP; RP; Theory; ZK,Computation theory; Computational methods; Computer science; Einsteinium; Neon; Neptunium; Abstract devices; Circuit complexity; NEXP; Proof system; Systematic study; Theory; Uniform complexity; Williams; Abstracting
Exploring the subexponential complexity of completion problems,2015,ACM Transactions on Computation Theory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941000787&doi=10.1145%2f2799640&partnerID=40&md5=d18f3a1bcf7e1820b0c76753e5726909,"Let F be a family of graphs. In the F-COMPLETION problem, we are given an n-vertex graph G and an integer k as input, and asked whether at most k edges can be added to G so that the resulting graph does not contain a graph from F as an induced subgraph. It was shown recently that two special cases of F-COMPLETION, namely, (i) the problem of completing into a chordal graph known as MINIMUM FILL-IN (SIAM J. Comput. 2013), which corresponds to the case of F = {C4, C5, C6, . . .}, and (ii) the problem of completing into a split graph (Algorithmica 2015), that is, the case of F = {C4, 2K2, C5}, are solvable in parameterized subexponential time 2O(√k log K)nO(1). The exploration of this phenomenon is the main motivation for our research on F-COMPLETION. In this article, we prove that completions into several well-studied classes of graphs without long induced cycles and paths also admit parameterized subexponential time algorithms by showing that: - The problem TRIVIALLY PERFECT COMPLETION, which is F-COMPLETION for F = {C4, P4}, a cycle and a path on four vertices, is solvable in parameterized subexponential time 2O(√k log k)nO(1). - The problems known in the literature as PSEUDOSPLIT COMPLETION, the case in which F = {2K2, C4}, and THRESHOLD COMPLETION, in which F = {2K2 , P4, C4}, are also solvable in time 2O(√ k log k)nO(1). We complement our algorithms for F-COMPLETION with the following lower bounds: - For F = {2K2}, F = {C4}, F = {P4}, and F = {2K2, P4}, F-COMPLETION cannot be solved in time 2o(k)nO(1) unless the Exponential Time Hypothesis (ETH) fails. Our upper and lower bounds provide a complete picture of the subexponential parameterized complexity of F-COMPLETION problems for any F ⊆ {2K2, C4, P4}. 2015 Copyright is held by the owner/author(s).",Algorithms; Completion; Edge completion; G.2.2 [Graph Theory]: Graph Algorithms; Modification; Parameterized; Subexponential; Subexponential parameterized complexity,Algorithms; Graph algorithms; Parameter estimation; Parameterization; Well completion; Completion problem; Exponential time hypothesis; Modification; Parameterized; Parameterized complexity; Subexponential; Subexponential time; Upper and lower bounds; Graph theory
Quantum XOR games,2015,ACM Transactions on Computation Theory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940984217&doi=10.1145%2f2799560&partnerID=40&md5=2e6dc9f8021c0c7a133c898a53fb72ed,"We introduce quantum XOR games, a model of two-player, one-round games that extends the model of XOR games by allowing the referee's questions to the players to be quantum states. We give examples showing that quantum XOR games exhibit a wide range of behaviors that are known not to exist for standard XOR games, such as cases in which the use of entanglement leads to an arbitrarily large advantage over the use of no entanglement. By invoking two deep extensions of Grothendieck's inequality, we present an efficient algorithm that gives a constant-factor approximation to the best performance that players can obtain in a given game, both in the case that they have no shared entanglement and that they share unlimited entanglement. As a byproduct of the algorithm, we prove some additional interesting properties of quantum XOR games, such as the fact that sharing a maximally entangled state of arbitrary dimension gives only a small advantage over having no entanglement at all. © 2015 ACM.",Entangled games; F.1.2. [modes of computation]: quantum computing; Grothendieck inequality; Theory; XOR games,Algorithms; Approximation algorithms; Computation theory; Computer games; Quantum computers; Quantum optics; Quantum theory; Entangled games; Grothendieck inequality; Quantum Computing; Theory; XOR games; Quantum entanglement
On approximate decidability of minimal programs,2015,ACM Transactions on Computation Theory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940973882&doi=10.1145%2f2799561&partnerID=40&md5=5616ec522fd485f74a7f641447fad800,"An index e in a numbering of partial-recursive functions is called minimal if every lesser index computes a different function from e. Since the 1960s, it has been known that, in any reasonable programming language, no effective procedure determines whether or not a given index is minimal. We investigate whether the task of determining minimal indices can be solved in an approximate sense. Our first question, regarding the set of minimal indices, is whether there exists an algorithm that can correctly label 1 out of k indices as either minimal or nonminimal. Our second question, regarding the function that computes minimal indices, is whether one can compute a short list of candidate indices that includes a minimal index for a given program. We give negative answers to both questions for the important case of numberings with linearly bounded translators. © 2015 ACM.",Frequency computation; Kolmogorov complexity; List approximations; Minimal indices; Numberings; Theory of computation → Computability,Computability and decidability; Computational complexity; Frequency computations; Kolmogorov complexity; List approximations; Minimal indices; Numberings; Theory of computation; Recursive functions
Mutual dimension,2015,ACM Transactions on Computation Theory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937880303&doi=10.1145%2f2786566&partnerID=40&md5=0b4da8f4fd660f7e9eb3df8ed2df8889,"We define the lower and upper mutual dimensions mdim(x : y) and Mdim(x : y) between any two points x and y in Euclidean space. Intuitively, these are the lower and upper densities of the algorithmic information shared by x and y. We show that these quantities satisfy the main desiderata for a satisfactory measure of mutual algorithmic information. Our main theorem, the data processing inequality for mutual dimension, says that if f : Rm→Rn is computable and Lipschitz, then the inequalities mdim( f (x) : y) ≠ mdim(x : y) and Mdim( f (x) : y) ≠ Mdim(x : y) hold for all x ∈ Rm and y ∈ Rt. We use this inequality and related inequalities that we prove in like fashion to establish conditions under which various classes of computable functions on Euclidean space preserve or otherwise transform mutual dimensions between points. © 2015 ACM.",Computable analysis; Data processing inequality; Effective fractal dimensions; Kolmogorov complexity; Mutual information,Fractal dimension; Geometry; Algorithmic informations; Computable analysis; Computable functions; Euclidean spaces; Kolmogorov complexity; Lipschitz; Mutual informations; Two-point; Data handling
Some hard families of parameterized counting problems,2015,ACM Transactions on Computation Theory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937920227&doi=10.1145%2f2786017&partnerID=40&md5=40bc85007024b6851b51b9f2d0850981,"We consider parameterized subgraph counting problems of the following form: given a graph G, how many k-tuples of its vertices induce a subgraph with a given property? A number of such problems are known to be #W[1]-complete; here, we substantially generalize some of these existing results by proving hardness for two large families of such problems. We demonstrate that it is #W[1]-hard to count the number of k-vertex subgraphs having any property where the number of distinct edge densities of labeled subgraphs that satisfy the property is o(k2). In the special case in which the property in question depends only on the number of edges in the subgraph, we give a strengthening of this result, which leads to our second family of hard problems. © 2015 ACM.",Counting complexity; Parameterized complexity; Ramsey theory,Parameterization; Counting complexity; Counting problems; Edge densities; Hard problems; Parameterized; Parameterized complexity; Ramsey theory; Subgraphs; Graph theory
Lower bounds on the deterministic and quantum communication complexity of hamming-distance problems,2015,ACM Transactions on Computation Theory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934757096&doi=10.1145%2f2698587&partnerID=40&md5=6cc68ca9d48417fabe144d38e910d182,"Alice and Bob want to know if two strings of length n are almost equal. That is, do the strings differ on at most a bits? Let 0 ≤ a ≤ n-1. We show (1) any deterministic protocol-as well as any error-free quantum protocol (C∗ version)-for this problem requires at least n-2 bits of communication, and (2) a lower bound of n/2-1 for error-free Q∗ quantum protocols. We also show the same results for determining if two strings differ in exactly a bits. Our results are obtained by lower-bounding the ranks of the appropriate matrices. © 2015 ACM.",Communication complexity; Hamming distance,Computational complexity; Quantum communication; Communication complexity; Deterministic protocols; Lower bounds; Quantum communication complexity; Quantum protocols; Hamming distance
Using parametric transformations toward polynomial kernels for packing problems allowing overlaps,2015,ACM Transactions on Computation Theory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934754557&doi=10.1145%2f2786015&partnerID=40&md5=553185b93b4547909051c7e2c798f235,"We consider the problem of discovering overlapping communities in networks that we model as generalizations of the Set and Graph Packing problems with overlap. As usual for Set Packing problems, we seek a collection S′⊆ S consisting of at least κ sets subject to certain disjointness restrictions. In the r-Set Packing with t-Membership, each element of U belongs to at most t sets of S′, while in r-Set Packing with t-Overlap, each pair of sets in S′ overlaps in at most t elements. For both problems, each set of S has at most r elements Similarly, both of our Graph Packing problems seek a collection Κ of at least κ subgraphs in a graph G, each isomorphic to a graph H ∈ H. In H-Packing with t-Membership, each vertex of G belongs to at most t subgraphs of κ, while in H-Packing with t-Overlap, each pair of subgraphs in κ overlaps in at most t vertices For both problems, each member of H has at most r vertices and medges, where t, r, and mare constants. Here, we show NP-completeness results for all of our packing problems. Furthermore, we give a dichotomy result for the H-Packing with t-Membership problem analogous to the Kirkpatrick and Hell dichotomy [Kirkpatrick and Hell 1978]. Using polynomial parameter transformations, we reduce the r-Set Packing with t-Membership to a problem kernel with O((r + 1)rκr) elements and the H-Packing with t-Membership and its edge version to problem kernels with O((r + 1)rκr) and O((m+ 1)mκm) vertices, respectively. On the other hand, by generalizing [Fellows et al. 2008; Moser 2009], we achieve a kernel with O(rrκr-t-1)elements for the r-Set Packing with t-Overlap and kernels with O(rrκr-t-1) and O(mmκm-t-1) vertices for the H-Packing with t-Overlap and its edge version, respectively. In all cases, κ is the input parameter, while t, r, and mare constants. © 2015 ACM.",Graph packing; Kernels; Overlap; Polynomial parametric transformations; Set packing,Polynomial approximation; Graph packing; Kernels; Overlap; Parametric transformation; Set packing; Graph theory
Exponential lower bounds for AC0-Frege imply superpolynomial Frege lower bounds,2015,ACM Transactions on Computation Theory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930165488&doi=10.1145%2f2656209&partnerID=40&md5=a5ca6c5cd820b67a3f7d2c6835980553,"We give a general transformation that turns polynomial-size Frege proofs into subexponential-size AC0-Frege proofs. This indicates that proving truly exponential lower bounds for AC0-Frege is hard, as it is a long-standing open problem to prove superpolynomial lower bounds for Frege. Our construction is optimal for proofs of formulas of unbounded depth. As a consequence of our main result, we are able to shed some light on the question of automatizability for bounded-depth Frege systems. First, we present a simpler proof of the results of Bonet et al. showing that under cryptographic assumptions, bounded-depth Frege proofs are not automatizable. Second, we show that because our proof is more general, under the right cryptographic assumptions, it could resolve the automatizability question for lower-depth Frege systems. © 2015 ACM 1942-3454/2015/05-ART5 15.00.",Proof complexity,Computation theory; Computational methods; Computer science; Automatizability; Cryptographic assumptions; Frege proofs; Lower bounds; Polynomial size; Proof complexity; Cryptography
"Pebbling, entropy, and branching program size lower bounds",2015,ACM Transactions on Computation Theory,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930160999&doi=10.1145%2f2751320&partnerID=40&md5=002de2c02fb199af7a5da87911d54a8b,"We contribute to the program of proving lower bounds on the size of branching programs solving the Tree Evaluation Problem introduced by Cook et al. [2012]. Proving a superpolynomial lower bound for the size of nondeterministic thrifty branching programs would be an important step toward separating NL from P using the tree evaluation problem. First, we show that Read-Once Nondeterministic Thrifty BPs are equivalent to whole black-white pebbling algorithms, thus showing a tight lower bound (ignoring polynomial factors) for this model. We then introduce a weaker restriction of nondeterministic thrifty branching programs called Bitwise Independence. The best known [Cook et al. 2012] nondeterministic thrifty branching programs (of size O(kh/2+)) for the tree evaluation problem are Bitwise Independent. As our main result, we show that any Bitwise Independent Nondeterministic Thrifty Branching Program solving BT2(h, k) must have at least (k/2)h/2 states. Prior to this work, lower bounds were known for nondeterministic thrifty branching programs only for fixed heights h = 2, 3, 4 [Cook et al. 2012]. We prove our results by associating a fractional blackwhite pebbling strategy with any bitwise independent nondeterministic thrifty branching program solving the Tree Evaluation Problem. Such a connection was not known previously, even for fixed heights. Our main technique is the entropy method introduced by Jukna and Zák [2001] originally in the context of proving lower bounds for read-once branching programs. We also show that the previous lower bounds known [Cook et al. 2012] for deterministic branching programs for the Tree Evaluation Problem can be obtained using this approach. Using this method, we also show tight lower bounds for any k-way deterministic branching program solving the Tree Evaluation Problem when the instances are restricted to have the same group operation in all internal nodes. © 2015 ACM 1942-3454/2015/05-ART8 15.00.",Branching programs; Entropy; Lower bounds; Pebbling games,Algorithms; Computer Programs; Entropy; Problem Solving; Computation theory; Computational methods; Computer science; Entropy; Branching programs; Entropy methods; Group operations; Lower bounds; Pebbling games; Polynomial factor; Read-once branching programs; Tree evaluations; Forestry
