Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
May-happen-in-parallel analysis for actor-based concurrency,2015,ACM Transactions on Computational Logic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954104826&doi=10.1145%2f2824255&partnerID=40&md5=519f32a97d8514867af01150634cb8e9,"This article presents a may-happen-in-parallel (MHP) analysis for languages with actor-based concurrency. In this concurrency model, actors are the concurrency units such that, when a method is invoked on an actor a2 from a task executing on actor a1, statements of the current task in a1 may run in parallel with those of the (asynchronous) call on a2, and with those of transitively invoked methods. The goal of the MHP analysis is to identify pairs of statements in the program that may run in parallel in any execution. Our MHP analysis is formalized as a method-level (local) analysis whose information can be modularly composed to obtain application-level (global) information. The information yielded by the MHP analysis is essential to infer more complex properties of actor-based concurrent programs, for example, data race detection, deadlock freeness, termination, and resource consumption analyses can greatly benefit from the MHP relations to increase their accuracy. We report on MayPar, a prototypical implementation of an MHP static analyzer for a distributed asynchronous language. Copyright © 2015 ACM.",Actors; Analysis; Concurrency; May-happen-in-parallel,Logic programming; Actors; Analysis; Concurrency; Concurrency modeling; Data race detection; May happen in parallels; Prototypical implementation; Resource consumption; Computational linguistics
Belief merging by examples,2015,ACM Transactions on Computational Logic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954310978&doi=10.1145%2f2818645&partnerID=40&md5=e4c4eefaf7bbc7bfa6da46723c50b3b0,"A common assumption in belief revision is that the reliability of the information sources is either given, derived from temporal information, or the same for all. This article does not describe a new semantics for integration but studies the problem of obtaining the reliability of the sources given the result of a previous merging. As an example, corrections performed manually on the result of merging some databases may indicate that the relative reliability of their sources is different from what was previously assumed, helping subsequent data mergings. Copyright © 2015 ACM.",Belief merging; Reliability estimation,Reliability; Semantics; Belief revision; Information sources; Reliability estimation; Temporal information; Merging
Effective interpolation and preservation in guarded logics,2015,ACM Transactions on Computational Logic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954226795&doi=10.1145%2f2814570&partnerID=40&md5=7ad659a223e171c219debd55d1eb99ee,"Desirable properties of a logic include decidability, and a model theory that inherits properties of first-order logic, such as interpolation and preservation theorems. It is known that the Guarded Fragment (GF) of firstorder logic is decidable and satisfies some preservation properties from first-order model theory; however, it fails to have Craig interpolation. The Guarded Negation Fragment (GNF), a recently defined extension, is known to be decidable and to have Craig interpolation. Here we give the first results on effective interpolation for extensions of GF. We provide an interpolation procedure for GNF whose complexity matches the doubly exponential upper bound for satisfiability of GNF. We show that the same construction gives not only Craig interpolation, but Lyndon interpolation and relativized interpolation, which can be used to provide effective proofs of some preservation theorems. We provide upper bounds on the size of GNF interpolants for both GNF and GF input, and complement this with matching lower bounds. © 2015 ACM.",Guarded fragment; Guarded negation fragment; Mosaic method,Computability and decidability; Computer circuits; Formal logic; Reconfigurable hardware; Craig interpolation; First order logic; First-order models; Guarded fragment; Guarded negation fragment; Mosaic methods; Preservation theorems; Satisfiability; Interpolation
Differential Game Logic,2015,ACM Transactions on Computational Logic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954157600&doi=10.1145%2f2817824&partnerID=40&md5=ee8c8e25d5fba325a7f1c5717ff39d47,"Differential game logic (dGL) is a logic for specifying and verifying properties of hybrid games, i.e., games that combine discrete, continuous, and adversarial dynamics. Unlike hybrid systems, hybrid games allow choices in the system dynamics to be resolved adversarially by different players with different objectives. The logic dGL can be used to study the existence of winning strategies for such hybrid games, i.e., ways of resolving the player's choices in some way so that he wins by achieving his objective for all choices of the opponent. Hybrid games are determined, i.e., from each state, one player has a winning strategy, yet computing their winning regions may take transfinitely many steps. The logic dGL, nevertheless, has a sound and complete axiomatization relative to any expressive logic. Separating axioms are identified that distinguish hybrid games from hybrid systems. Finally, dGL is proved to be strictly more expressive than the corresponding logic of hybrid systems by characterizing the expressiveness of both.",Axiomatization; Expressiveness; Game logic; Hybrid games,Computation theory; Computer games; Game theory; Hybrid systems; Reconfigurable hardware; Axiomatization; Differential games; Expressiveness; Game logic; Hybrid games; Sound and complete; System Dynamics; Winning strategy; Computer circuits
An assertional proof of the stability and correctness of Natural Mergesort,2015,ACM Transactions on Computational Logic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954312216&doi=10.1145%2f2814571&partnerID=40&md5=2c704d8e591ba9b96af35eb155be0079,"We present a mechanically verified implementation of the sorting algorithm Natural Mergesort that consists of a few methods specified by their contracts of pre/post conditions. Methods are annotated with assertions that allow the automatic verification of the contract satisfaction. This program-proof is made using the state-of-the-art verifier Dafny. We verify not only the standard sortedness property, but also that the algorithm performs a stable sort. Throughout the article, we provide and explain the complete text of the program-proof. Copyright © 2015 ACM.",Dafny; Formal methods; Naturalmergesort; Software engineering; Sorting; Stability; Theorem proving; Verification,Algorithms; Convergence of numerical methods; Formal verification; Software engineering; Sorting; Theorem proving; Verification; A-stable; Automatic verification; Dafny; Naturalmergesort; Pre/post conditions; Program proof; Sorting algorithm; State of the art; Formal methods
Model checking existential logic on partially ordered sets,2015,ACM Transactions on Computational Logic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948988989&doi=10.1145%2f2814937&partnerID=40&md5=8f2306c476a25650f40b1c754aa457fc,"We study the problem of checking whether an existential sentence (i.e., a first-order sentence in prefix form built using existential quantifiers and all Boolean connectives) is true in a finite partially ordered set (a poset). A poset is a reflexive, antisymmetric, and transitive digraph. The problem encompasses the fundamental embedding problem of finding an isomorphic copy of a poset as an induced substructure of another poset. Model checking existential logic is already NP-hard on a fixed poset; thus, we investigate structural properties of posets yielding conditions for fixed-parameter tractability when the problem is parameterized by the sentence. We identify width as a central structural property (the width of a poset is the maximum size of a subset of pairwise incomparable elements); our main algorithmic result is that model checking existential logic on classes of finite posets of bounded width is fixed-parameter tractable. We observe a similar phenomenon in classical complexity, in which we prove that the isomorphism problem is polynomialtime tractable on classes of posets of bounded width; this settles an open problem in order theory. We surround our main algorithmic result with complexity results on less restricted, natural neighboring classes of finite posets, establishing its tightness in this sense.We also relate our work with (and demonstrate its independence of) fundamental fixed-parameter tractability results for model checking on digraphs of bounded degree and bounded clique-width. © 2015 ACM.",model checking; parameterized complexity; Partially ordered sets; width,Computational complexity; Directed graphs; Graph theory; Parallel processing systems; Polynomials; Set theory; Structural properties; Existential quantifiers; Existential sentences; First order sentences; Fixed-parameter tractability; Isomorphism problems; Parameterized complexity; Partially ordered set; width; Model checking
Dynamic reasoning systems,2015,ACM Transactions on Computational Logic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948435772&doi=10.1145%2f2798727&partnerID=40&md5=84d9f4b83a77df49439ae5b8a66451b8,"A dynamic reasoning system (DRS) is an adaptation of a conventional formal logical system that explicitly portrays reasoning as a temporal activity, with each extralogical input to the system and each inference rule application being viewed as occurring at a distinct timestep. Every DRS incorporates some well-defined logic together with a controller that serves to guide the reasoning process in response to user inputs. Logics are generic, whereas controllers are application specific. Every controller does, nonetheless, provide an algorithm for nonmonotonic belief revision. The general notion of a DRS comprises a framework within which one can formulate the logic and algorithms for a given application and prove that the algorithms are correct, that is, that they serve to (1) derive all salient information and (2) preserve the consistency of the belief set. This article illustrates the idea with ordinary first-order predicate calculus, suitably modified for the present purpose, and two examples. The latter example revisits some classic nonmonotonic reasoning puzzles (Opus the Penguin, Nixon Diamond) and shows how these can be resolved in the context of a DRS, using an expanded version of first-order logic that incorporates typed predicate symbols. All concepts are rigorously defined and effectively computable, thereby providing the foundation for a future software implementation. © 2015 ACM.",Belief revision; Dynamic reasoning; Nonmonotonic reasoning,Algorithms; Calculations; Controllers; Application specific; Belief revision; Dynamic reasoning; First order logic; First order predicate calculus; Non-monotonic reasoning; Reasoning process; Software implementation; Formal logic
Lax theory morphisms,2015,ACM Transactions on Computational Logic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946848813&doi=10.1145%2f2818644&partnerID=40&md5=8ea12e62b22ac0e7ceccf1440013d881,"When relating formal languages, e.g., in logic or type theory, it is often important to establish representation theorems. These interpret one language in terms of another in a way that preserves semantic properties such as provability or typing. Metalanguages for stating representation theorems can be divided into two groups: First, computational languages are very expressive (usually Turing-complete), but verifying the representation theorems is very difficult (often prohibitively so); second, declarative languages are restricted to certain classes of representation theorems (often based on theory morphisms), for which correctness is decidable. Neither is satisfactory, and this article contributes to the investigation of the trade-off between these two methods. Concretely, we introduce lax theory morphisms, which combine some of the advantages of each: they are substantially more expressive than conventional theory morphisms, but they share many of the invariants that make theory morphisms easy to work with. Specifically, we introduce lax morphisms between theories of a dependently typed logical framework, but our approach and results carry over to most declarative metalanguages. We demonstrate the usefulness of lax theorymorphisms by stating and verifying a type erasure translation from typed to untyped first-order logic. The translation is stated as a single lax theory morphism, and the invariants of the framework guarantee its correctness. This is the first time such a complex translation has be verified in a declarative framework. © 2015 ACM.",Dependent type theory; Logical framework; Logical relation; Representation theorem; Theory morphism; Translation,Computational linguistics; Economic and social effects; Formal languages; Formal logic; Semantics; Translation (languages); Dependent type theory; Logical frameworks; Logical relations; Morphisms; Representation theorem; Computation theory
Optimal tableau method for constructive satisfiability testing and model synthesis in the alternating-time temporal logic ATL+,2015,ACM Transactions on Computational Logic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946838725&doi=10.1145%2f2811261&partnerID=40&md5=e6ae71ae8287559ec6ae5e1bf197c98b,"We develop a sound, complete, and practically implementable tableau-based decision method for constructive satisfiability testing and model synthesis for the fragment ATL+ of the full alternating-time temporal logic ATL∗. The method extends in an essential way a previously developed tableau-based decision method for ATL and works in 2EXPTIME, which is the optimal worst-case complexity of the satisfiability problem for ATL+. We also discuss how suitable parameterizations and syntactic restrictions on the class of input ATL+ formulas can reduce the complexity of the satisfiability problem. © 2015 ACM.",Alternating-time temporal logics; ATL+; Decision procedure; Model synthesis; Satisfiability; Tableaux,Software agents; Synthesis (chemical); Temporal logic; Alternating time temporal logic; ATL; Decision procedure; Model synthesis; Satisfiability; Tableaux; Formal logic
Backdoors to normality for disjunctive logic programs,2015,ACM Transactions on Computational Logic,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946820138&doi=10.1145%2f2818646&partnerID=40&md5=c54fd07a38254ec3d51edc29eb794874,"The main reasoning problems for disjunctive logic programs are complete for the second level of the polynomial hierarchy and hence considered harder than the same problems for normal (i.e., disjunction-free) programs, which are on the first level. We propose a new exact method for solving the disjunctive problems which exploits the small distance of a disjunctive programs from being normal. The distance is measured in terms of the size of a smallest ""backdoor to normality,"" which is the smallest number of atoms whose deletion makes the program normal. Our method consists of three phases. In the first phase, a smallest backdoor is computed. We show that this can be done using an efficient algorithm for computing a smallest vertex cover of a graph. In the second phase, the backdoor is used to transform the logic program into a quantified Boolean formula (QBF) where the number of universally quantified variables equals the size of the backdoor and where the total size of the quantified Boolean formula is quasilinear in the size of the given logic program. The quasilinearity is achieved by means of a characterization of the least model of a Horn program in terms of level numberings. In a third phase, the universal variables are eliminated using universal expansion yielding a propositional formula. The blowup in the last phase is confined to a factor that is exponential in the size of the backdoor but linear in the size of the quantified Boolean formula. By checking the satisfiability of the resulting formula with a SAT solver (or by checking the satisfiability of the quantified Boolean formula by a QBF-SAT solver), we can decide the ASP reasoning problems on the input program. In consequence, we have a transformation from ASP problems to propositional satisfiability where the combinatorial explosion, which is expected when transforming a problem from the second level of the polynomial hierarchy to the first level, is confined to a function of the distance to normality of the input program. In terms of parameterized complexity, the transformation is fixed-parameter tractable. We complement this result by showing that (under plausible complexity-theoretic assumptions) such a fixed-parameter tractable transformation is not possible if we consider the distance to tightness instead of distance to normality. © 2015 ACM.",Answer set programming; Backdoors; Parameterized complexity; Propositional satisfiability; Quantified Boolean formulas,Algorithms; Atoms; Boolean functions; Computer programming; Embedded systems; Formal logic; Logic programming; Model checking; Problem solving; Answer set programming; Backdoors; Parameterized complexity; Propositional satisfiability; Quantified Boolean formulas; Boolean algebra
