Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
The Totem Single-Ring Ordering and Membership Protocol,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029408206&doi=10.1145%2f210223.210224&partnerID=40&md5=40a31d3d4308fce7b4c4cedcde383f5c,[No abstract available],,Computer networks; Computer operating systems; Data communication systems; Distributed computer systems; Fault tolerant computer systems; Performance; Reliability; Systems analysis; Membership protocol; Reliable delivery; Token passing; Total ordering; Totem single ring protocol; Virtual synchrony; Network protocols
Generating Test Cases for Real-Time Systems from Logic Specifications,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976832662&doi=10.1145%2f210223.210226&partnerID=40&md5=32d5f653acdc519b58ba7a1eb86f58a8,[No abstract available],,
Scalable Concurrent Counting,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029407774&doi=10.1145%2f210223.210225&partnerID=40&md5=53b126aeea915d99b28b42cdbb607594,[No abstract available],,Computer software; Concurrency control; Data storage equipment; Data structures; Large scale systems; Multiprocessing systems; Performance; Queueing theory; Reliability; Synchronization; Combining trees; Counting networks; Message passing; Scalable concurrent counting; Spin locks; Counting circuits
Memory System Performance of Programs with Intensive Heap Allocation,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029352914&doi=10.1145%2f210126.210129&partnerID=40&md5=3e71a105a2bd6ec6e78f0b9707e19252,"Heap allocation with copying garbage collection is a general storage management technique for programming languages. It is believed to have poor memory system performance, To investigate this, we conducted an in-depth study of the memory system performance of heap allocation for memory systems found on many machines. We studied the performance of mostly functional Standard ML programs which made heavy use of heap allocation. We found that most machmes support heap allocation poorly. However, with the appropriate memory system organization, heap allocation can have good performance. The memory system property crucial for achieving good performance was the ability to allocate and initialize a new object into the cache without a penalty. This can be achieved by having subblock placement with a subblock size of one word with a write-allocate pohcy, along with fast page-mode writes or a write buffer. For caches with subblock placement, the data cache overhead was under 9% for a 64K or larger data cache; without subblock placement the overhead was often higher than 50%. © 1995, ACM. All rights reserved.",Automatic storage reclamation; copying garbage collection; garbage collection; generational garbage collection; heap allocation; page mode; subblock placement; write-back; write-buffer; write-miss policy; write-policy; write-through,Associative storage; Buffer storage; Computer programming languages; Computer simulation; Computer systems programming; Design aids; Performance; Automatic storage reclamation; Copying garbage collection; Generational garbage collection; Heap allocation; Page mode; Storage management; Subblock placement; Write buffer; Write-allocate policy; Write-back; Storage allocation (computer)
Debugging Heterogeneous Distributed Systems Using Event-Based Models of behavior,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976842322&doi=10.1145%2f200912.200913&partnerID=40&md5=84a28ab2d3a9a33545bd80084c7ed59a,"We describe a high-level debugging approach, Event-Based Behavioral Abstraction 1995, in which debugging is treated as a process of creating models of expected program behaviors and comparing these to the actual behaviors exhibited by the program. The use of EBBA techniques can enhance debugging-tool transparency, reduce latency and uncertainty for fundamental debugging activities, and accommodate diverse, heterogeneous architectures. Using events and behavior models as a basic mechanism provides a uniform view of heterogeneous systems and enables analysis to be performed in well-defined ways. Their use also enables EBBA users to extend and reuse knowledge gained in solving previous problems to new situations. We describe our behavior-modeling algorithm that matches actual behavior to models and automates many behavior analysis steps. The algorithm matches behavior in as many ways as possible and resolves these to return the best match to the user. It deals readily with partial behavior matches and incomplete information. In particular, we describe a tool set we have built. The tool set has been used to investigate the behavior of a wide range of programs. The tools are modular and can be distributed readily throughout a system. © 1995, ACM. All rights reserved.",Behavior modeling; debugging; events,
Implications of Hierarchical N-Body Methods for Multiprocessor Architectures,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029309970&doi=10.1145%2f201045.201050&partnerID=40&md5=0994b8318a9daa5d3e5e5e98ec4e0505,"To design effective large-scale multiprocessors, designers need to understand the characteristics of the applications that will use the machines. Application characteristics of particular interest include the amount of communication relative to computation, the structure of the communication, and the local cache and memory requirements, as well as how these characteristics scale with larger problems and machines. One important class of applications is based on hierarchical N-body methods, which are used to solve a wide range of scientific and engineering problems efficiently. Important characteristics of these methods include the nonuniform and dynamically changing nature of the domains to which they are applied, and their use of long-range, irregular communication. This article examines the key architectural implications of representative applications that use the two dominant hierarchical N-body methods: the Barnes-Hut Method and the Fast Multipole Method. We first show that exploiting temporal locality on accesses to communicated data is critical to obtaining good performance on these applications and then argue that coherent caches on shared-address-space machines exploit this locality both automatically and very effectively. Next, we examine the implications of scaling the applications to run on larger machines. We use scaling methods that reflect the concerns of the application scientist and find that this leads to different conclusions about how communication traffic and local cache and memory usage scale than scaling based only on data set size. In particular, we show that under the most realistic form of scaling, both the communication-to-computation ratio as well as the working-set size 1995 grow slowly as larger problems are run on larger machines. Finally, we examine the effects of using the two dominant abstractions for interprocessor communication: a shared address space and explicit message passing between private address spaces. We show that the lack of an efficiently supported shared address space will substantially increase the programming complexity and performance overheads for these applications. © 1995, ACM. All rights reserved.",communication abstractions; locality; message passing; N-body methods; parallel applications; parallel computer architecture; scaling; shared address space; shared memory,Buffer storage; Computational complexity; Computer architecture; Data communication systems; Data storage equipment; Hierarchical systems; Performance; Problem solving; Telecommunication traffic; Hierarchical N body methods; Memory structures; Multiple data stream architectures; Multiprocessor architectures; Multiprocessing systems
Techniques for Reducing Consistency-Related Communication in Distributed Shared-Memory Systems,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029354892&doi=10.1145%2f210126.210127&partnerID=40&md5=3e37fa1fe3b30176656c8593e2d98567,"Distributed shared memory (DSM) is an abstraction of shared memory on a distributed-memory machine. Hardware DSM systems support this abstraction at the architecture level; software DSM systems support the abstraction within the runtime system. One of the key problems in building an efficient software DSM system is to reduce the amount of communication needed to keep the distributed memories consistent. In this article we present four techniques for doing so: software release consistency; multiple consistency protocols; write-shared protocols; and an update-with-timeout mechanism. These techniques have been implemented in the Munin DSM system. We compare the performance of seven Munin application programs: first to their performance when implemented using message passing, and then to their performance when running on a conventional software DSM system that does not embody the preceding techniques. On a 16-processor cluster of workstations, Munin's performance is within 5~. of message passing for four out of the seven applications. For the other three, performance is within 29 to 33%. Detailed analysis of two of these three applications indicates that the addition of a function-shipping capability would bring their performance to within 7% of the message-passing performance. Compared to a conventional DSM system, Munin achieves performance improvements ranging from a few to several hundred percent, depending on the application. © 1995, ACM. All rights reserved.",Cache consistency protocols; distributed shared memory; memory models; release consistency; virtual shared memory,Buffer storage; Computer architecture; Computer hardware; Computer operating systems; Computer software; Computer workstations; Data storage equipment; Network protocols; Parallel processing systems; Performance; Storage allocation (computer); Virtual storage; Distributed shared-memory systems; Message passing; Multiple consistency protocols; Runtime system; Shared memory; Software release consistency; Update-with-timeout mechanism; Write-shared protocols; Distributed computer systems
The Zebra Striped Network File System,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976704061&doi=10.1145%2f210126.210131&partnerID=40&md5=fb2336fccf1dc937c03ee10ca400d98d,"Zebra is a network file system that increases throughput by striping the file data across multiple servers. Rather than striping each file separately, Zebra forms all the new data from each client into a single stream, which it then stripes using an approach similar to a log-structured file system. Thm provides high performance for writes of small files as well as for reads and writes of large files. Zebra also writes parity information in each stripe in the style of RAID disk arrays; this increases storage costs slightly, but allows the system to continue operation while a single storage server is unavailable. A prototype implementation of Zebra, built in the Sprite operating system, provides 4-5 times the throughput of the standard Sprite file system or NFS for large files and a 15-300%. improvement for writing small files. © 1995, ACM. All rights reserved.",Log-based striping; log-structured file system; parity computation; RAID,
Effective Cache Prefetching on Bus-Based Multiprocessors,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976656398&doi=10.1145%2f200912.201006&partnerID=40&md5=67cc1a5317a81ed242c51852e8f2752d,"Compiler-directed cache prefetching has the potential to hide much of the high memory latency seen by current and future high-performance processors. However, prefetching is not without costs, particularly on a shared-memory multiprocessor. Prefetching can negatively affect bus utilization, overall cache miss rates, memory latencies and data sharing. We simulate the effects of a compiler-directed prefetching algorithm, running on a range of bus-based multiprocessors. We show that, despite a high memory latency, this architecture does not necessarily support prefetching well, in some cases actually causing performance degradations. We pinpoint several problems with prefetching on a shared-memory architecture 1995 and measure their effect on performance. We then solve those problems through architectural techniques and heuristics for prefetching that could be easily incorporated into a compiler: (1) victim caching, which eliminates most of the cache conflict misses caused by prefetching in a direct-mapped cache, (2) special prefetch algorithms for shared data, which significantly improve the ability of our basic prefetching algorithm to prefetch individual misses, and (3) compiler-based shared-data restructuring, which eliminates many of the invalidation misses the basic prefetching algorithm does not predict. The combined effect of these improvements is to make prefetching effective over a much wider range of memory architectures. © 1995, ACM. All rights reserved.",bus-based multiprocessors; cache prefetching; false sharing; memory latency hiding,
A Simple and Efficient Bus Management Scheme that Supports Continuous Streams,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029308683&doi=10.1145%2f201045.201048&partnerID=40&md5=33c97683b9aacf8abfffa73ffc16980e,"An efficient bandwidth management and access arbitration scheme for an I/O bus in a multimedia workstation is presented. It assumes that a multimedia workstation consists of a number of processing modules which are interconnected by a packet bus. The scheme is efficient in the sense that it allows the bus to support both continuous media transfers and regular random transactions in such a way that continuous streams can meet their real-time constraints independently of random traffic, and random traffic is not delayed significantly by continuous traffic except when traffic load is very high. Implementation guidelines are provided to show that the scheme is practical. Finally, the performance of this scheme is compared with alternative solutions through simulation. © 1995, ACM. All rights reserved.",bus arbitration; bus management; continuous stream; multimedia workstation,Computer architecture; Computer simulation; Computer workstations; Data communication systems; Design aids; Interconnection networks; Packet networks; Performance; Real time systems; Telecommunication traffic; Bus arbitration; Bus management; Continuous stream; Multimedia workstation; Packet bus; Computer systems
Adaptive Block Rearrangement,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029306515&doi=10.1145%2f201045.201046&partnerID=40&md5=3524fb61c7800266ad70721ce24004a6,"An adaptive technique for reducing disk seek times is described. The technique copies frequently referenced blocks from their original locations to reserved space near the middle of the disk. Reference frequencies need not be known in advance. Instead, they are estimated by monitoring the stream of arriving requests. Trace-driven simulations show that seek times can be cut substantially by copying only a small number of blocks using this technique. The technique has been implemented by modifying a UNIX device driver. No modifications are required to the file system that uses the driver. © 1995, ACM. All rights reserved.",data clustering; data replication; seek optimization,Algorithms; Computer simulation; Data processing; Data storage equipment; Information retrieval; Information retrieval systems; Optimization; Performance; Storage allocation (computer); UNIX; Adaptive block rearrangement; Data clustering; Data replication; Seek optimization; Computer systems
Set-Associative Cache Simulation Using Generalized Binomial Trees,1995,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976662882&doi=10.1145%2f200912.200918&partnerID=40&md5=6fe98eeddbed14535f7be6242e59cb2c,"Set-associative caches are widely used in CPU memory hierarchies, I/O subsystems, and file systems to reduce average access times. This article proposes an efficient simulation technique for simulating a group of set-associative caches in a single pass through the address trace, where all caches have the same line size but varying associativities and varying number of sets. The article also introduces a generalization of the ordinary binomial tree and presents a representation of caches in this class using the Generalized Binomial Tree 1995. The tree representation permits efficient search and update of the caches. Theoretically, the new algorithm, GBF_LS, based on the gbt structure, always takes fewer comparisons than the two earlier algorithms for the same class of caches: all-associativity and generalized forest simulation. Experimentally, the new algorithm shows performance gains in the range of 1.2 to 3.8 over the earlier algorithms on address traces of the SPEC benchmarks. A related algorithm for simulating multiple alternative direct-mapped caches with fixed cache size, but varying line size, is also presented. © 1995, ACM. All rights reserved.",all-associativity simulation; binomial tree; cache modeling; inclusion properties; set-associative caches; single-pass simulation; trace-driven simulation,
Parity Logging Disk Arrays,1994,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028492850&doi=10.1145%2f185514.185516&partnerID=40&md5=8dd54768b3fb2b7c86552ef5d1353d1a,"Parity-encoded redundant disk arrays provide highly reliable, cost-effective secondary storage with high performance for reads and large writes. Their performance on small writes, however, is much worse than mirrored disks–the traditional, highly reliable, but expensive organization for secondary storage. Unfortunately, small writes are a substantial portion of the I/O workload of many important, demanding applications such as on-line transaction processing. This paper presents parity logging, a novel solution to the small-write problem for redundant disk arrays. Parity logging applies journalling techniques to reduce substantially the cost of small writes. We provide detailed models of parity logging and competing schemes–mirroring, floating storage, and RAID level 5–and verify these models by simulation. Parity logging provides performance competitive with mirroring, but with capacity overhead close to the minimum offered by RAID level 5. Finally, parity logging can exploit data caching more effectively than all three alternative approaches. © 1994, ACM. All rights reserved.",disk arrays; RAID,Arrays; Computer simulation; Costs; Data processing; Online systems; Performance; Reliability; Societies and institutions; Data caching; Disk arrays; On line transaction processing; Parity logging; Secondary storage; Magnetic disk storage
A Security Architecture for Fault-Tolerant Systems,1994,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976763336&doi=10.1145%2f195792.195823&partnerID=40&md5=609800fe12ece96954e1ed1bfd552518,"Process groups are a common abstraction for fault-tolerant computing in distributed systems. We present a security architecture that extends the process group into a security abstraction. Integral parts of this architecture are services that securely and fault tolerantly support cryptographic key distribution. Using replication only when necessary, and introducing novel replication techniques when it was necessary, we have constructed these services both to be easily defensible against attack and to permit key distribution despite the transient unavailability of a substantial number of servers. We detail the design and implementation of these services and the secure process group abstraction they support. We also give preliminary performance figures for some common group operations. © 1994, ACM. All rights reserved.",key distribution; multicast; process groups,
Design Tradeoffs for Software-Managed TLBs,1994,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028492372&doi=10.1145%2f185514.185515&partnerID=40&md5=9b38d1b9a762f6979edfbb30290802f2,"An increasing number of architectures provide virtual memory support through software-managed TLBs. However, software management can impose considerable penalties that are highly dependent on the operating system's structure and its use of virtual memory. This work explores software-managed TLB design tradeoffs and their interaction with a range of monolithic and microkernel operating systems. Through hardware monitoring and simulation, we explore TLB performance for benchmarks running on a MIPS R2000-based workstation running Ultrix, OSF/1, and three versions of Mach 3.0. © 1994, ACM. All rights reserved.",hardware monitoring; translation lookaside buffer (TLB); trap-driven simulation,Computer architecture; Computer hardware; Computer operating systems; Computer simulation; Data storage equipment; Management; Monitoring; Benchmarks; Hardware monitoring; Software management; Translation lookaside buffers; Trap driven simulation; Virtual memory; Computer software
"A New Approach to I/O Performance Evaluation—Self-Scaling I/O Benchmarks, Predicted I/O Performance",1994,ACM Transactions on Computer Systems (TOCS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976741198&doi=10.1145%2f195792.195812&partnerID=40&md5=284a2fb28197159a4bdd348b37faf004,"Current I/O benchmarks suffer from several chronic problems: they quickly become obsolete; they do not stress the I/O system; and they do not help much in understanding I/O system performance. We propose a new approach to I/O performance analysis. First, we propose a self-scaling benchmark that dynamically adjusts aspects of its workload according to the performance characteristic of the system being measured. By doing so, the benchmark automatically scales across current and future systems. The evaluation aids in understanding system performance by reporting how performance varies according to each of five workload parameters. Second, we propose predicted performance, a technique for using the results from the self-scaling evaluation to estimate quickly the performance for workloads that have not been measured. We show that this technique yields reasonably accurate performance estimates and argue that this method gives a far more accurate comparative performance evaluation than traditional single-point benchmarks. We apply our new evaluation technique by measuring a SPARCstation 1+ with one SCSI disk, an HP 730 with one SCSI-II disk, a DECstation 5000/200 running the Sprite LFS operating system with a three-disk disk array, a Convex C240 minisupercomputer with a four-disk disk array, and a Solbourne 5E/905 fileserver with a two-disk disk array. © 1994, ACM. All rights reserved.",Benchmark; client-server; Design; disk array; file cache; input/output; Measurement; Performance; RAID,
