Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Teaching computer vision: Bringing research benchmarks to the classroom,2015,ACM Transactions on Computing Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924084758&doi=10.1145%2f2597627&partnerID=40&md5=07422126d8ec57729aa236800ec2a382,"This article concerns the design of effective computer vision programming exercises and presents a novel means of designing these assignments. We describe three recent case studies designed to evaluate the effectiveness of assigning graduate-level computer vision students with publicly available research benchmarks as competitive assignments. This was done rather than assigning more traditional exercises that require students to implement specific algorithms or applications.We allowed our students the freedom of designing or choosing their own methods, with the goal of obtaining the best performance on the benchmark chosen for each assignment. Students, therefore, competed against each other, as well as published state of the art. We detail the design, application, and results of these benchmark exercises. We show that not only are these benchmarks easily adapted for the classroom, but also that in some cases, student assignments matched published state-of-the-art performance. This observation provides strong evidence to support the effectiveness of the proposed exercise design. We conclude by discussing the benefits and drawbacks of these exercises compared to those traditionally employed in computer vision classrooms. © 2015 ACM.",Benchmark exercises; Competitive exercises; Computer vision education; Research benchmarks,Benchmarking; Computer programming; Computer vision; Design; Education; Teaching; Case-studies; Competitive exercises; Graduate levels; Programming exercise; State of the art; State-of-the-art performance; Student assignments; Students
"Smartphones, studio-based learning, and scaffolding: Helping novices learn to program",2015,ACM Transactions on Computing Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920935046&doi=10.1145%2f2677089&partnerID=40&md5=14c729d09a0dc68ebd815b82449c7b88,"This article describes how smartphones, studio-based learning, and extensive scaffolding were used in combination in the teaching of a freshman Introduction to Programming course. To reduce cognitive overload, a phased approach was followed in introducing programming concepts and development environments, beginning with the visual programming environment Scratch and culminating with Java development for Android smartphones. Studio-based learning, a pedagogical approach long established in the fields of architecture and design education, was used as the basis for a collaborative social constructivist-and constructionist-approach to learning. Smartphones offered students the potential to develop applications for a context that is both immediate and clearly relevant to the ways in which they utilize and interact with technology. The research was carried out over three full academic years and included 53 student participants. An exploratory case study methodology was used to investigate the efficacy of the approach in helping to overcome the barriers faced by novice programmers. The findings indicate that the approach has merit. The students were motivated and engaged by the learning experience and were able to develop sophisticated applications that incorporated images, sound, arrays, and event handling. There is evidence that aspects of the studio-based learning approach, such as the scope that it gave students to innovate and the open feedback during student presentations, provided a learning environment that was motivating. Overall, the combination of smartphones, studio-based learning, and appropriate scaffolding offers an effective way to teach introductory programming courses. © 2014 ACM.",Contextualized learning; Smartphones,Computer programming; Curricula; Smartphones; Students; Studios; Teaching; Contextualized learning; Development environment; Exploratory case studies; Introduction to programming; Introductory programming course; Learning environments; Pedagogical approach; Visual programming environments; Computer aided instruction
Team project experiences in humanitarian free and open source software (HFOSS),2015,ACM Transactions on Computing Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938572444&doi=10.1145%2f2684812&partnerID=40&md5=33dfd480c1c4c85fcf7cdb3e7fc46d60,"Providing students with the professional, communication, and technical skills necessary to contribute to an ongoing software project is critical, yet often difficult in higher education. Involving student teams in real-world projects developed by professional software engineers for actual users is invaluable. Free and Open Source Software (FOSS) has emerged as an important approach to creating, managing, and distributing software products. Involvement in a FOSS project provides students with experience developing within a professional environment, with a professional community, and has the additional benefit that all communication and artifacts are publicly accessible. Humanitarian Free and Open Source Software (HFOSS) projects benefit the human condition in some manner. They can range from disaster management to microfinance to election-monitoring applications. This article discusses the benefits and challenges of students participating in HFOSS projects within the context of undergraduate computing degree programs. This article reports on a 6-year study of students' self-reported attitudes and learning from participation in an HFOSS project. Results indicate that working on an HFOSS project increases interest in computing. In addition, students perceive that they are gaining experience in developing software in a distributed environment with the attendant skills of communication, distributed teamwork, and more. © 2015 ACM.",Humanitarian free and open source software (HFOSS),Computer software; Disaster prevention; Disasters; Education; Open systems; Professional aspects; Software engineering; Students; Disaster management; Distributed environments; Free and open source softwares; Monitoring applications; Professional community; Professional environments; Professional software engineers; Real world projects; Open source software
Team building in multidisciplinary client-sponsored project courses,2015,ACM Transactions on Computing Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948395181&doi=10.1145%2f2700518&partnerID=40&md5=437d8c29c9c97d4c758b6c0c9a38f252,"Experience working inmultidisciplinary teams is important both to prepare Computer Science (CS) students for industry and to improve their communication with teammates from disciplines other than their own. This article describes the evolution and results of collaborations among three courses: an undergraduate CS course about user interface design and implementation, an undergraduate Scientific and Technical Communication (STC) course about usability and instructions writing, and a graduate CS/Human Factors course about userinterface evaluation and usability testing. Students from all three courses work with scientists to complete the scientist-sponsored citizen science Android applications (apps). Students from the undergraduate CS and STC courses form multidisciplinary teams to design and implement apps, while the graduate students consult with the teams by evaluating and user-testing the apps. The collaboration's effectivenesswas assessed using student surveys, interviews, and evaluations of student work. This article compares the collaboration within the teams and the coordination with the scientists across two years of activities in order to determine the effectiveness of course modifications. The article concludes with recommendations for improving the collaboration within teams and the coordination with clients in multidisciplinary course projects.",Human-computer interaction (HCI); Interdisciplinary teams; Multidisciplinary teams,Curricula; Human computer interaction; Human resource management; User interfaces; Course modifications; Design and implements; Human computer interaction (HCI); Interdisciplinary teams; Multi-disciplinary teams; Multidisciplinary course; Technical communications; User interface designs; Students
Examining interest and grades in computer science 1: A study of pedagogy and achievement goals,2015,ACM Transactions on Computing Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941339562&doi=10.1145%2f2802752&partnerID=40&md5=e45e32d0149c871f193f6ed24c5b056d,"Computer Science 1 (CS1), the first course taken by college-level computer science (CS) majors, has traditionally suffered from high failure rates. Efforts to understand this phenomenon have considered a wide range of predictors of CS success, such as prior programming experience, math ability, learning style, and gender, with findings that are suggestive but inconclusive. The current quasiexperimental study extends this research by exploring how the pedagogical approach of the course (traditional lecture vs. Peer Instruction (PI) and clickers) in combination with student achievement goals (mastery goals vs. performance goals) relates to exam grades, interest in the subject matter, and course enjoyment. The research revealed that students with performance goals scored significantly lower on final exams in both the lecture and PI conditions. However, students with performance goals reported higher levels of subject matter interest when taught through PI. Students withmastery goals, in both conditions, scored significantly higher on the final exam, had higher levels of interest, and reported higher levels of course enjoyment than their performance-oriented counterparts. The results suggest that PI may improve the level of subject-matter interest for some students, thereby indicating the importance of studying pedagogical approach as we seek to understand student outcomes in CS1. © 2015 ACM.",Achievement goals; CS1; Peer instruction,Failure analysis; Achievement goals; Computer Science 1; Computer science 1 (CS1); Pedagogical approach; Peer instruction; Performance-oriented; Programming experience; Student achievement; Students
Teaching mathematical reasoning principles for software correctness and its assessment,2015,ACM Transactions on Computing Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937125197&doi=10.1145%2f2716316&partnerID=40&md5=47cc4847f7aefc48aaf010989274dec0,"Undergraduate computer science students need to learn analytical reasoning skills to develop high-quality software and to understand why the software they develop works as specified. To accomplish this central educational objective, this article describes a systematic process of introducing reasoning skills into the curriculum and assessing how well students have learned those skills. To facilitate assessment, a comprehensive inventory of principles for reasoning about correctness that captures the finer details of basic skills that students need to learn has been defined and used. The principles can be taught at various levels of depth across the curriculum in a variety of courses. The use of a particular instructional process is illustrated to inculcate reasoning principles across several iterations of a sophomore-level development foundations course and a junior-level software engineering course. The article summarizes how learning outcomes motivated by the inventory of reasoning principles lead to questions that in turn form the basis for a careful analysis of student understanding and for finetuning teaching interventions that together facilitate continuous improvements to instruction. © 2015 ACM.",Components; Evaluation; Formal methods; Learning outcomes; Objects; Specifications,Curricula; Formal methods; Specifications; Teaching; Components; Computer science students; Continuous improvements; Evaluation; Learning outcome; Mathematical reasoning; Objects; Software engineering course; Students
Object-oriented design and programming: An investigation of novices' conceptions on objects and classes,2015,ACM Transactions on Computing Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941337071&doi=10.1145%2f2700519&partnerID=40&md5=7cf34adea2c76adeadc8b061d36afc8a,"The Object-Oriented Programming (OOP) technique is nowadays the most popular programming technique among tertiary education institutions. However, learning OOP is a cognitively demanding task for undergraduate students. Several difficulties and misconceptions have been recorded in the literature for both OOP concepts and languages, mainly Java. This article focuses on reviewing and advancing research on the most fundamental OOP concepts, namely, the concepts of ""object"" and ""class"" and their role during program execution. The results of a long-term investigation on the subject are presented, focusing on a study exploring undergraduate students' conceptions on ""objects"" and ""classes."" The study advances related research on categories of conceptions on ""objects"" and ""classes"" by providing quantitative results, in addition to qualitative results, regarding the frequency of the recorded conceptions. Nearly half the students seem to comprehend the modeling and static/dynamic aspects of the concepts ""object"" and ""class."" Implications for achieving a deep conceptual understanding of text, action, and modeling aspects of these fundamental concepts are also discussed. Information regarding the programming environments utilized in the course and key features of the applied teaching approach are presented, in order to facilitate both a better understanding of the context and a better employment of the results of the presented study. Finally, proposals for enhancing the contribution of this and similar studies are made. © 2015 ACM.",Class; Conceptions; Misconceptions; Object; Object-oriented programming; Teaching/learning programming,Students; Class; Conceptions; Misconceptions; Object; Teaching/learning; Object oriented programming
A purposeful MOOC to alleviate insufficient cs education in Finnish schools,2015,ACM Transactions on Computing Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929178219&doi=10.1145%2f2716314&partnerID=40&md5=a9b99ca080ab383cdfe4d2b1bab42b3c,"The Finnish national school curriculum, effective from 2004, does not include any topics related to Computer Science (CS). To alleviate the problem that school students are not able to study CS-related topics, the Department of Computer Science at the University of Helsinki prepared a completely online course that is open to pupils and students in all schools in Finland. The course is a Massive Open Online Course (MOOC), as the attendance scales without an upper bound. Schools in Finland have offered the MOOC as an elective CS course for their students and granted formal school credits for completing (parts of) it. Since our MOOC is exactly the same programming course as our university-level CS1 course, we are able to use the MOOC also as a long-lasting entrance exam to the CS BSc and MSc degrees. After two spring semesters of operation, we have observed that there are school students dispersed around Finland who are ready and willing to take on a challenging programming course online, and bridging the MOOC to a full study right makes a strong incentive to keep working on the programming assignments, even without traditional teaching. © 2015 ACM.",Entrance exam; High-performing students; Open Online Course; Programming education,Students; Entrance exam; Massive open online course; Open online course; Programming assignments; Programming course; Programming education; University levels; University of helsinki; E-learning
How to implement rigorous computer science education in K-12 schools? Some answers and many questions,2015,ACM Transactions on Computing Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929144568&doi=10.1145%2f2729983&partnerID=40&md5=0108350ff416fee7ac0c108c49bf09d1,"Aiming to collect various concepts, approaches, and strategies for improving computer science education in K-12 schools, we edited this second special issue of the ACM TOCE journal. Our intention was to collect a set of case studies from different countries that would describe all relevant aspects of specific implementations of Computer Science Education in K-12 schools. By this, we want to deliver well-founded arguments and rich material to the critical discussion about the state and the goals of K-12 computer science education, and also provide visions for the future of this research area. In this editorial, we explain our intention and report some details about the genesis of these special issues. Following, we give a short summary of the Darmstadt Model, which was suggested to serve as a structuring principle of the case studies. The next part of the editorial presents a short description of the five extended case studies from India, Korea, NRW/Germany, Finland, and USA that are selected to be included in this second issue. In order to give some perspectives for the future, we propose a set of open research questions of the field, partly derived from the Darmstadt Model, partly stimulated by a look on large-scale investigations like PISA. © 2015 ACM 1946-6226/2015/04-ART5 $15.00.",CS education; Curricula; Darmstadt Model; K-12 education; Research questions; Schools,Computer programming; Computer science; Curricula; Case-studies; Computer Science Education; Critical discussions; CS education; K-12 education; K-12 schools; Research questions; Schools; Education computing
An analysis of HTML and CSS syntax errors in a web development course,2015,ACM Transactions on Computing Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924812038&doi=10.1145%2f2700514&partnerID=40&md5=6be0050fa119eeecabef7a89fb68b0e6,"Many people are first exposed to code through web development, yet little is known about the barriers beginners face in these formative experiences. In this article, we describe a study of undergraduate students enrolled in an introductory web development course taken by both computing majors and general education students. Using data collected during the initial weeks of the course, we investigate the nature of the syntax errors they make when learning HTML and CSS, and how they resolve them. This is accomplished through the deployment of openHTML, a lightweight web-based code editor that logs user activity. Our analysis reveals that nearly all students made syntax errors that remained unresolved in their assessments, and that these errors continued weeks into the course. Approximately 20% of these errors related to the relatively complex system of rules that dictateswhenit is valid for HTML elements to be nested in one another. On the other hand, 35% of errors related to the relatively simple tag syntax determininghowHTML elements are nested. We also find that validation played a key role in resolving errors: While the majority of unresolved errors were present in untested code, nearly all of the errors that were detected through validation were eventually corrected. We conclude with a discussion of our findings and their implications for computing education. © 2015 ACM 1946-6226/2015/03-ART4 $15.00.",Code editors; Computational literacy; Web development,Codes (symbols); Curricula; Errors; HTML; Syntactics; Code editors; Computational literacy; Computing education; Computing majors; General education; Syntax errors; Undergraduate students; Web development; Students
