Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
SummerTime: Variable-length Time Series Summarization with Application to Physical Activity Analysis,2022,ACM Transactions on Computing for Healthcare,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146426980&doi=10.1145%2f3532628&partnerID=40&md5=a493e6726eab1a4fa00f244b0f939c19,"SummerTime seeks to summarize global time-series signals and provides a fixed-length, robust representation of the variable-length time series. Many machine learning methods depend on data instances with a fixed number of features. As a result, those methods cannot be directly applied to variable-length time series data. Existing methods such as sliding windows can lose minority local information. Summarization conducted by the SummerTime method will be a fixed-length feature vector which can be used in place of the time series dataset for use with classical machine learning methods. We use Gaussian Mixture models (GMM) over small same-length disjoint windows in the time series to group local data into clusters. The time series' rate of membership for each cluster will be a feature in the summarization. By making use of variational methods, GMM converges to a more robust mixture, meaning the clusters are more resistant to noise and overfitting. Further, the model is naturally capable of converging to an appropriate cluster count. We validate our method on a challenging real-world dataset, an imbalanced physical activity dataset with a variable-length time series structure. We compare our results to state-of-the-art studies and show high-quality improvement by classifying with only the summarization.  © 2022 Association for Computing Machinery.",classification; clustering; regression; summarization; Time series,Machine learning; Time series analysis; Activity analysis; Clusterings; Gaussian Mixture Model; Global time; Machine learning methods; Physical activity; Regression; Summarization; Times series; Variable length; accuracy; Article; autocorrelation; energy expenditure; human; indirect calorimetry; physical activity; priority journal; reading; sensitivity and specificity; total quality management; video game; walking; Time series
Multimodal Fusion of Smart Home and Text-based Behavior Markers for Clinical Assessment Prediction,2022,ACM Transactions on Computing for Healthcare,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146431747&doi=10.1145%2f3531231&partnerID=40&md5=b72b14a702040daf561e27e81b78064f,"New modes of technology are offering unprecedented opportunities to unobtrusively collect data about people's behavior. While there are many use cases for such information, we explore its utility for predicting multiple clinical assessment scores. Because clinical assessments are typically used as screening tools for impairment and disease, such as mild cognitive impairment (MCI), automatically mapping behavioral data to assessment scores can help detect changes in health and behavior across time. In this article, we aim to extract behavior markers from two modalities, a smart home environment and a custom digital memory notebook app, for mapping to 10 clinical assessments that are relevant for monitoring MCI onset and changes in cognitive health. Smart-home-based behavior markers reflect hourly, daily, and weekly activity patterns, while app-based behavior markers reflect app usage and writing content/style derived from free-form journal entries. We describe machine learning techniques for fusing these multimodal behavior markers and utilizing joint prediction. We evaluate our approach using three regression algorithms and data from 14 participants with MCI living in a smart-home environment. We observed moderate to large correlations between predicted and ground-truth assessment scores, ranging from r = 0.601 to r = 0.871 for each clinical assessment.  © 2022 Association for Computing Machinery.",Behavior markers; clinical assessment prediction; natural language processing; smart homes,Automation; Diagnosis; Intelligent buildings; Learning algorithms; Learning systems; Mapping; Natural language processing systems; Behavior marker; Clinical assessment prediction; Clinical assessments; Cognitive impairment; Home environment; Language processing; Multi-modal fusion; Natural language processing; Natural languages; Smart homes; aged; algorithm; Article; behavior; clinical article; clinical assessment; controlled study; Coping Self Efficacy Scale; data extraction; Delis Kaplan Executive Function System Design Fluency Test; Delis-Kaplan executive function system; digital technology; disease marker; female; Geriatric Depression Scale Short Form; home environment; human; Instrumental Activities of Daily Living Compensation Scale; machine learning; male; memory; mild cognitive impairment; patient monitoring; prediction; priority journal; Prospective and Retrospective Memory Questionnaire; Quality of Life Scale Alzheimer Disease; Repeatable Battery of Neuropsychological Status; Satisfaction with Life Scale; scoring system; self report; Wechsler Test of Adult Reading; writing; Forecasting
A Critical Review of Multimodal-multisensor Analytics for Anxiety Assessment,2022,ACM Transactions on Computing for Healthcare,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146416375&doi=10.1145%2f3556980&partnerID=40&md5=edc8aab34993d712d70a070ff50639ba,"Recently, interest has grown in the assessment of anxiety that leverages human physiological and behavioral data to address the drawbacks of current subjective clinical assessments. Complex experiences of anxiety vary on multiple characteristics, including triggers, responses, duration and severity, and impact differently on the risk of anxiety disorders. This article reviews the past decade of studies that objectively analyzed various anxiety characteristics related to five common anxiety disorders in adults utilizing features of cardiac, electrodermal, blood pressure, respiratory, vocal, posture, movement, and eye metrics. Its originality lies in the synthesis and interpretation of consistently discovered heterogeneous predictors of anxiety and multimodal-multisensor analytics based on them. We reveal that few anxiety characteristics have been evaluated using multimodal-multisensor metrics, and many of the identified predictive features are confounded. As such, objective anxiety assessments are not yet complete or precise. That said, few multimodal-multisensor systems evaluated indicate an approximately 11.73% performance gain compared to unimodal systems, highlighting a promising powerful tool. We suggest six high-priority future directions to address the current gaps and limitations in infrastructure, basic knowledge, and application areas. Action in these directions will expedite the discovery of rich, accurate, continuous, and objective assessments and their use in impactful end-user applications.  © 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",Anxiety; multimodal analytics; physiological and behavioral data; ubiquitous technology,Behavioral research; Eye movements; 'current; Anxiety; Behavioral data; Clinical assessments; Critical review; Multi sensor; Multi-modal; Multimodal analytic; Physiological data; Ubiquitous technology; anxiety assessment; anxiety disorder; blood pressure; blood volume; body movement; body position; breathing; cardiovascular response; electrodermal response; eye movement; gesture; heart rate variability; human; personal experience; physical activity; priority journal; reliability; Review; validity; vocalization; Blood pressure
"My Health Sensor, My Classifier - Adapting a Trained Classifier to Unlabeled End-User Data",2022,ACM Transactions on Computing for Healthcare,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146420900&doi=10.1145%2f3559767&partnerID=40&md5=6e4c7fb629aa53085b5ab18c84a273c0,"Sleep apnea is a common yet severely under-diagnosed sleep related disorder. Unattended sleep monitoring at home with low-cost sensors can be leveraged for condition detection, and Machine Learning offers a generalized solution for this task. However, patient characteristics, lack of sufficient training data, and other factors can imply a domain shift between training and end-user data and reduced task performance. In this work, we address this issue with the aim to achieve personalization based on the patient's needs. We present an unsupervised domain adaptation (UDA) solution with the constraint that labeled source data are not directly available. Instead, a classifier trained on the source data is provided. Our solution iteratively labels target data sub-regions based on classifier beliefs, and trains new classifiers from the expanding dataset. Experiments with sleep monitoring datasets and various sensors show that our solution outperforms the classifier trained on the source domain, with a kappa coefficient improvement from 0.012 to 0.242. Additionally, we apply our solution to digit classification DA between three well-established datasets, to investigate its generalizability, and allow for related work comparisons. Even without direct access to the source data, it outperforms several well-established UDA methods in these datasets.  © 2022 Copyright held by the owner/author(s).",domain-adaptation; Machine learning; neural networks; personalization; sensors; Sleep apnea,Classification (of information); Iterative methods; Sleep research; Domain adaptation; End-users; Low-cost sensors; Machine-learning; Neural-networks; Personalizations; Sleep apnea; Sleep monitoring; Source data; User data; Article; classifier; computer analysis; controlled study; human; machine learning; priority journal; sleep disordered breathing; Machine learning
Leveraging Mobile Sensing and Bayesian Change Point Analysis to Monitor Community-scale Behavioral Interventions: A Case Study on COVID-19,2022,ACM Transactions on Computing for Healthcare,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146417061&doi=10.1145%2f3524886&partnerID=40&md5=8975ac717dc726c20749814a6111aa55,"During pandemics, effective interventions require monitoring the problem at different scales and understanding the various tradeoffs between efficacy, privacy, and economic burden. To address these challenges, we propose a framework where we perform Bayesian change-point analysis on aggregate behavior markers extracted from mobile sensing data collected during the COVID-19 pandemic. Results generated by 598 participants for up to four months reveal rich insights: We observe an increase in smartphone usage around February 10th, followed by an increase in email usage around February 27th and, finally, a large reduction in participant's mobility around March 13th. These behavior changes overlapped with important news events and government directives such as the naming of COVID-19, a spike in the number of reported cases in Europe, and the declaration of national emergency by President Trump. We also show that our detected change points align with changes in large scale external sources, including number of COVID-19 tweets, COVID-19 search traffic, and a large-scale foot traffic data collected by SafeGraph, providing further validation of our method. Our results show promise towards the feasibility of using mobile sensing to understand communities' responses to public health interventions.  © 2022 Copyright held by the owner/author(s).",behavior change; change-point detection; Datasets; mobile sensing,Bayesian; Behavioral interventions; Behaviour changes; Case-studies; Change point detection; Change-point analysis; Dataset; Large-scales; Mobile sensing; Privacy and economics; Article; Bayes theorem; coronavirus disease 2019; human; priority journal; COVID-19
Passive and Context-Aware In-Home Vital Signs Monitoring Using Co-Located UWB-Depth Sensor Fusion,2022,ACM Transactions on Computing for Healthcare,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144603570&doi=10.1145%2f3549941&partnerID=40&md5=080d3b82003870d2d74c687abf7476fa,"Basic vital signs such as heart and respiratory rates (HR and RR) are essential bio-indicators. Their longitudinal in-home collection enables prediction and detection of disease onset and change, providing for earlier health intervention. In this article, we propose a robust, non-touch vital signs monitoring system using a pair of co-located Ultra-Wide Band (UWB) and depth sensors. By extensive manual examination, we identify four typical temporal and spectral signal patterns and their suitable vital sign estimators. We devise a probabilistic weighted framework (PWF) that quantifies evidence of these patterns to update the weighted combination of estimator output to track the vital signs robustly. We also design a ""heatmap""-based signal quality detector to exclude the disturbed signal from inadvertent motions. To monitor multiple co-habiting subjects in-home, we build a two-branch long short-term memory (LSTM) neural network to distinguish between individuals and their activities, providing activity context crucial to disambiguating critical from normal vital sign variability. To achieve reliable context annotation, we carefully devise the feature set of the consecutive skeletal poses from the depth data, and develop a probabilistic tracking model to tackle non-line-of-sight (NLOS) cases. Our experimental results demonstrate the robustness and superior performance of the individual modules as well as the end-to-end system for passive and context-aware vital sign monitoring.  © 2022 Association for Computing Machinery.",longitudinal in-home monitoring; Non-touch vital signs monitoring; passive sensing,Patient monitoring; Ultra-wideband (UWB); Co-located; Context-Aware; Home monitoring; Longitudinal in-home monitoring; Non-touch vital sign monitoring; Passive sensing; Ultra-wide; Vital sign; Vital signs monitoring; Wide-band; accuracy; breathing rate; classifier; Conference Paper; heart rate measurement; human; long short term memory network; prediction; priority journal; signal detection; signal processing; vital sign; Long short-term memory
Interpretable Bias Mitigation for Textual Data: Reducing Genderization in Patient Notes While Maintaining Classification Performance,2022,ACM Transactions on Computing for Healthcare,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140732696&doi=10.1145%2f3524887&partnerID=40&md5=7ab3833e79cbb425264751f8b25f60c0,"Medical systems in general, and patient treatment decisions and outcomes in particular, can be affected by bias based on gender and other demographic elements. As language models are increasingly applied to medicine, there is a growing interest in building algorithmic fairness into processes impacting patient care. Much of the work addressing this question has focused on biases encoded in language models - statistical estimates of the relationships between concepts derived from distant reading of corpora. Building on this work, we investigate how differences in gender-specific word frequency distributions and language models interact with regards to bias. We identify and remove gendered language from two clinical-note datasets and describe a new debiasing procedure using BERT-based gender classifiers. We show minimal degradation in health condition classification tasks for low- to medium-levels of dataset bias removal via data augmentation. Finally, we compare the bias semantically encoded in the language models with the bias empirically observed in health records. This work outlines an interpretable approach for using data augmentation to identify and reduce biases in natural language processing pipelines.  © 2022 Copyright held by the owner/author(s).",algorithmic fairness; data augmentation; electronic health records; interpretable machine learning; NLP,Algorithmic languages; Classification (of information); Computational linguistics; E-learning; Learning algorithms; Machine learning; Natural language processing systems; Pipeline processing systems; Algorithmic fairness; Algorithmics; Data augmentation; Electronic health; Electronic health record; Health records; Interpretable machine learning; Language model; Machine-learning; Textual data; Article; controlled study; degradation; female; frequency; gender bias; human; language; male; natural language processing; priority journal; Patient treatment
"Federated Learning for Healthcare Domain - Pipeline, Applications and Challenges",2022,ACM Transactions on Computing for Healthcare,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138320507&doi=10.1145%2f3533708&partnerID=40&md5=fa2e95399e129f9040a2fb8daa8735f7,"Federated learning is the process of developing machine learning models over datasets distributed across data centers such as hospitals, clinical research labs, and mobile devices while preventing data leakage. This survey examines previous research and studies on federated learning in the healthcare sector across a range of use cases and applications. Our survey shows what challenges, methods, and applications a practitioner should be aware of in the topic of federated learning. This paper aims to lay out existing research and list the possibilities of federated learning for healthcare industries.  © 2022 Copyright held by the owner/author(s).",Federated learning; GDPR; transfer learning,Deep learning; Health care; Learning systems; Clinical research; Data leakage; Datacenter; Federated learning; GDPR; Healthcare domains; Healthcare sectors; Machine learning models; Research labs; Transfer learning; adverse drug reaction; algorithm; Alzheimer disease; Article; brain tumor; breast density; cancer research; cerebrovascular accident; clinical decision support system; convolutional neural network; coronavirus disease 2019; data quality; decentralization; deep learning; drug sensitivity; electronic health record; energy consumption; false negative result; false positive result; federated learning; functional magnetic resonance imaging; genome-wide association study; health care; health care cost; health care industry; heart disease; human; interpersonal communication; machine learning; noise; prediction; priority journal; privacy; prognosis; quantitative structure activity relation; thorax radiography; workflow; Clinical research
BioLumin: An Immersive Mixed Reality Experience for Interactive Microscopic Visualization and Biomedical Research Annotation,2022,ACM Transactions on Computing for Healthcare,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146436869&doi=10.1145%2f3548777&partnerID=40&md5=4c0c620b2dfbe57eb2879a57fc070f66,"Many recent breakthroughs in medical diagnostics and drug discovery arise from deploying machine learning algorithms to large-scale data sets. However, a significant obstacle to such approaches is that they depend on high-quality annotations generated by domain experts. This study develops and evaluates BioLumin, a novel immersive mixed reality environment that enables users to virtually shrink down to the microscopic level for navigation and annotation of 3D reconstructed images. We discuss how domain experts were consulted in the specification of a pipeline to enable automatic reconstruction of biological models for mixed reality environments, driving the design of a 3DUI system to explore whether such a system allows accurate annotation of complex medical data by non-experts. To examine the usability and feasibility of BioLumin, we evaluated our prototype through a multi-stage mixed-method approach. First, three domain experts offered expert reviews, and subsequently, nineteen non-expert users performed representative annotation tasks in a controlled setting. The results indicated that the mixed reality system was learnable and that non-experts could generate high-quality 3D annotations after a short training session. Lastly, we discuss design considerations for future tools like BioLumin in medical and more general scientific contexts.  © 2022 Copyright held by the owner/author(s).",biomedical visualization; human-computer interaction; Immersive technologies; interactive visualization; magic leap; mixed reality; spatial computing,Bioluminescence; Diagnosis; Human computer interaction; Image reconstruction; Learning algorithms; Machine learning; Visualization; Biomedical visualization; Domain experts; High quality; Immersive; Immersive technologies; Interactive visualizations; Magic leap; Mixed reality; Mixed-reality environment; Spatial computing; adult; Article; automation; biological model; cell nucleus; computer vision; control system; controlled study; diagnostic test accuracy study; edge detection; experience; eye fixation; feature extraction; feedback system; female; head movement; high throughput imaging; human; human tissue; image segmentation; machine learning; male; medical research; microscopy; omentum; priority journal; process design; three-dimensional imaging; tumor growth; usability; vascular tumor; videorecording; virtual reality; Mixed reality
NHS Number Open Source Software: Implications for Digital Health Regulation and Development,2022,ACM Transactions on Computing for Healthcare,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146433582&doi=10.1145%2f3538382&partnerID=40&md5=5c7095599e18ee62d04bb4ca72531162,"A national example of open source digital healthcare is critiqued. The code for implementing numeric patient identifiers is surprisingly naïve and bug-ridden, despite patient identifiers being computationally trivial and a critical component of reliable healthcare. The issues raised are shown to be widespread, long term, and apparently unrecognized. Problems are traced back to inadequacies in the relevant standards, and, at every stage, regulation through to development, inadequate Software Engineering input. An important finding is that the relevant healthcare standards are inconsistent and written without sufficient rigor to be at all constructive for implementing digital systems. The widely recognized problems of interoperability may be traced back to diverse (and buggy) interpretations of vague standards.  © 2022 Association for Computing Machinery.",digital health; digital health standards; digital transformation; NHS Number; Open source; patient identifier; Software Engineering,Health care; Medical informatics; Open systems; Critical component; Digital health; Digital health standard; Digital transformation; Health regulations; Health standards; NHS number; Open-source; Open-source softwares; Patient identifiers; Article; digital technology; documentation; health care; human; priority journal; safety; Open source software
