Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Game Theory-Based Parameter Tuning for Energy-Efficient Path Planning on Modern UAVs,2022,ACM Transactions on Cyber-Physical Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146434025&doi=10.1145%2f3565270&partnerID=40&md5=89ca47b7fdc93a9a287a1127810c62b9,"Present-day path planning algorithms for UAVs rely on various parameters that need to be tuned at runtime to be able to plan the best possible route. For example, for a sampling-based algorithm, the number of samples plays a crucial role. The dimension of the space that is being searched to plan the path, the minimum distance for extending a path in a direction, and the minimum distance that the drone should maintain with respect to obstacles while traversing the planned path are all important variables. Along with this, we have a choice of vision algorithms, their parameters, and platforms. Finding a suitable configuration for all these parameters at runtime is very challenging because we need to solve a complicated optimization problem, and that too within tens of milliseconds. The area of theoretical exploration of the optimization problems that arise in such settings is dominated by traditional approaches that use regular nonlinear optimization techniques often enhanced with AI-based techniques such as genetic algorithms. These techniques are sadly rather slow, have convergence issues, and are typically not suitable for use at runtime. In this article, we leverage recent and promising research results that propose to solve complex optimization problems by converting them into approximately equivalent game-theoretic problems. The computed equilibrium strategies can then be mapped to the optimal values of the tunable parameters. With simulation studies in virtual worlds, we show that our solutions are 5-21% better than those produced by traditional methods, and our approach is 10× faster.  © 2022 Association for Computing Machinery.",Game theory; parameter tuning; path planning; power model; UAVs,Energy efficiency; Game theory; Genetic algorithms; Nonlinear programming; Parameter estimation; Virtual reality; Efficient path planning; Energy efficient; Minimums distance; Number of samples; Optimization problems; Parameters tuning; Path-planning algorithm; Power modeling; Runtimes; Sampling-based algorithms; Motion planning
OD1NF1ST: True Skip Intrusion Detection and Avionics Network Cyber-attack Simulation,2022,ACM Transactions on Cyber-Physical Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146429808&doi=10.1145%2f3551893&partnerID=40&md5=44d520253ccb08f054171bf948130c81,"MIL-STD-1553 is a communication bus that has been used by many military avionics platforms, such as the F-15 and F-35 fighter jets, for almost 50 years. Recently, it has become clear that the lack of security on MIL-STD-1553 and the requirement for internet communication between planes has revealed numerous potential attack vectors for malicious parties. Prevention of these attacks by modernizing the MIL-STD-1553 is not practical due to the military applications and existing far-reaching installations of the bus. We present a software system that can simulate bus transmissions to create easy, replicable, and large datasets of MIL-STD-1553 communications. We also propose an intrusion detection system (IDS) that can identify anomalies and the precise type of attack using recurrent neural networks with a reinforcement learning true-skip data selection algorithm. Our IDS outperforms existing algorithms designed for MIL-STD-1553 in binary anomaly detection tasks while also performing attack classification and minimizing computational resource cost. Our simulator can generate more data with higher fidelity than existing methods and integrate attack scenarios with greater detail. Furthermore, the simulator and IDS can be combined to form a web-based attack-defense game. © 2022 Copyright held by the owner/author(s).",anomaly detection; avionics networks; Machine Learning; reinforcement learning; simulation software,Buses; Computer crime; Computer software; Cybersecurity; Fighter aircraft; Intrusion detection; Large dataset; Military applications; Network security; Reinforcement learning; Supersonic aircraft; Anomaly detection; Avionic networks; Cyber-attack simulation; Detection networks; Intrusion Detection Systems; Intrusion-Detection; Machine-learning; MIL-STD-1553; Reinforcement learnings; Simulation software; Anomaly detection
DeResolver: A Decentralized Conflict Resolution Framework with Autonomous Negotiation for Smart City Services,2022,ACM Transactions on Cyber-Physical Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146427670&doi=10.1145%2f3529096&partnerID=40&md5=7cd16713625b2e4741a7c5747ad9ebb0,"As various smart services are increasingly deployed in modern cities, many unexpected conflicts arise due to various physical world couplings. Existing solutions for conflict resolution often rely on centralized control to enforce predetermined and fixed priorities of different services, which is challenging due to the inconsistent and private objectives of the services. Also, the centralized solutions miss opportunities to more effectively resolve conflicts according to their spatiotemporal locality of the conflicts. To address this issue, we design a decentralized negotiation and conflict resolution framework named DeResolver, which allows services to resolve conflicts by communicating and negotiating with each other to reach a Pareto-optimal agreement autonomously and efficiently. Our design features a two-step self-supervised learning-based algorithm to predict acceptable proposals and their rankings of each opponent through the negotiation. Our design is evaluated with a smart city case study of three services: intelligent traffic light control, pedestrian service, and environmental control. In this case study, a data-driven evaluation is conducted using a large dataset consisting of the GPS locations of 246 surveillance cameras and an automatic traffic monitoring system with more than 3 million records per day to extract real-world vehicle routes. The evaluation results show that our solution achieves much more balanced results, i.e., only increasing the average waiting time of vehicles, the measurement metric of intelligent traffic light control service, by 6.8% while reducing the weighted sum of air pollutant emission, measured for environment control service, by 12.1%, and the pedestrian waiting time, the measurement metric of pedestrian service, by 33.1%, compared to priority-based solution. © 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",conflicts across services; decentralized resolution; multiple services negotiation; Smart services,Environmental management; Machine learning; Pareto principle; Security systems; Smart city; Case-studies; Conflict across service; Conflict Resolution; Decentralised; Decentralized resolution; Intelligent traffics; Multiple service negotiation; Multiple services; Smart services; Traffic light control; Large dataset
Hierarchical Planning for Dynamic Resource Allocation in Smart and Connected Communities,2022,ACM Transactions on Cyber-Physical Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146421994&doi=10.1145%2f3502869&partnerID=40&md5=f7083f4df9948d803702dc97fb706181,"Resource allocation under uncertainty is a classic problem in city-scale cyber-physical systems. Consider emergency response, where urban planners and first responders optimize the location of ambulances to minimize expected response times to incidents such as road accidents. Typically, such problems involve sequential decision making under uncertainty and can be modeled as Markov (or semi-Markov) decision processes. The goal of the decision maker is to learn a mapping from states to actions that can maximize expected rewards. While online, offline, and decentralized approaches have been proposed to tackle such problems, scalability remains a challenge for real world use cases. We present a general approach to hierarchical planning that leverages structure in city level CPS problems for resource allocation. We use emergency response as a case study and show how a large resource allocation problem can be split into smaller problems. We then use Monte Carlo planning for solving the smaller problems and managing the interaction between them. Finally, we use data from Nashville, Tennessee, a major metropolitan area in the United States, to validate our approach. Our experiments show that the proposed approach outperforms state-of-the-art approaches used in the field of emergency response. © 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",Dynamic resource allocation; hierarchical planning; large-scale CPS; planning under uncertainty; semi-Markov decision process,Behavioral research; Decision making; Embedded systems; Emergency services; Markov processes; Motor transportation; City scale; Dynamic resource allocations; Emergency response; Hierarchical planning; Large-scale CPS; Large-scales; Planning under uncertainty; Resources allocation; Semi-Markov decision process; Uncertainty; Resource allocation
Planning for Automated Vehicles with Human Trust,2022,ACM Transactions on Cyber-Physical Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146423377&doi=10.1145%2f3561059&partnerID=40&md5=a99bd913e46cf8d13f6654858ce76c5b,"Recent work has considered personalized route planning based on user profiles, but none of it accounts for human trust. We argue that human trust is an important factor to consider when planning routes for automated vehicles. This article presents a trust-based route-planning approach for automated vehicles. We formalize the human-vehicle interaction as a partially observable Markov decision process (POMDP) and model trust as a partially observable state variable of the POMDP, representing the human's hidden mental state. We build data-driven models of human trust dynamics and takeover decisions, which are incorporated in the POMDP framework, using data collected from an online user study with 100 participants on the Amazon Mechanical Turk platform. We compute optimal routes for automated vehicles by solving optimal policies in the POMDP planning and evaluate the resulting routes via human subject experiments with 22 participants on a driving simulator. The experimental results show that participants taking the trust-based route generally reported more positive responses in the after-driving survey than those taking the baseline (trust-free) route. In addition, we analyze the trade-offs between multiple planning objectives (e.g., trust, distance, energy consumption) via multi-objective optimization of the POMDP. We also identify a set of open issues and implications for real-world deployment of the proposed approach in automated vehicles. © 2022 Association for Computing Machinery.",automated vehicle; route planning; Trust,Automation; Behavioral research; Economic and social effects; Markov processes; Multiobjective optimization; User profile; Vehicles; Automated vehicles; Human vehicle interactions; Markov decision model; Mental state; Model trusts; Partially observable Markov decision process; Route planning; State-variables; Trust; User's profiles; Energy utilization
Model-bounded Monitoring of Hybrid Systems,2022,ACM Transactions on Cyber-Physical Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129756876&doi=10.1145%2f3529095&partnerID=40&md5=3da64f2a22c2a429b9f25a569dd6dd14,"Monitoring of hybrid systems attracts both scientific and practical attention. However, monitoring algorithms suffer from the methodological difficulty of only observing sampled discrete-time signals, while real behaviors are continuous-time signals. To mitigate this problem of sampling uncertainties, we introduce a model-bounded monitoring scheme, where we use prior knowledge about the target system to prune interpolation candidates. Technically, we express such prior knowledge by linear hybrid automata (LHAs) - the LHAs are called bounding models. We introduce a novel notion of monitored language of LHAs, and we reduce the monitoring problem to the membership problem of the monitored language. We present two partial algorithms - one is via reduction to reachability in LHAs and the other is a direct one using polyhedra - and show that these methods, and thus the proposed model-bounded monitoring scheme, are efficient and practically relevant. © 2022 Association for Computing Machinery.",cyber-physical systems; hybrid automata; Monitoring,Automata theory; Continuous time systems; Embedded systems; Hybrid systems; Continuous-time signal; Cybe-physical systems; Cyber-physical systems; Discrete-time signals; Hybrid automatons; Linear hybrid automata; Monitoring algorithms; Prior-knowledge; Sampling uncertainties; Target systems; Cyber Physical System
Cybersecurity Challenges in the Offshore Oil and Gas Industry: An Industrial Cyber-Physical Systems (ICPS) Perspective,2022,ACM Transactions on Cyber-Physical Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140065068&doi=10.1145%2f3548691&partnerID=40&md5=aae96eebf76dfecff9acfcce34b20c12,"There has been significant interest within the offshore oil and gas industry to utilise Industrial Internet of Things (IIoT) and Industrial Cyber-Physical Systems (ICPS). There has also been a corresponding increase in cyberattacks targeted at oil and gas companies. Offshore oil production requires remote access to and control of large and complex hardware resources. This is achieved by integrating ICPS, Supervisory, Control and Data Acquisition (SCADA) systems, and IIoT technologies. A successful cyberattack against an oil and gas (O&G) offshore asset could have a major impact on the environment, marine ecosystem and safety of personnel. Any disruption to the world's supply of O&G can also have an effect on oil prices and the global economy. We describe the cyberattack surface within the oil and gas industry, discussing emerging trends in the offshore sub-sector and provide a historical perspective of known cyberattacks. We also present a case study of a subsea control system architecture typically used in offshore O&G operations and highlight potential vulnerabilities affecting the components of the system. This study is the first to provide a detailed analysis of attack vectors in a subsea control system. The analysis provided can be used to understand key vulnerabilities in such systems and may be used to implement efficient mitigation methods. © 2022 Association for Computing Machinery.",Cyber security; industrial cyber-physical systems; Offshore oil and gas; SCADA systems security,"Access control; Cyber Physical System; Ecosystems; Embedded systems; Gas industry; Gases; Offshore oil well production; Offshore oil wells; SCADA systems; Cybe-physical systems; Cyber security; Cyber-attacks; Cyber-physical systems; Industrial cybe-physical system; Offshore oil; Offshore oil and gas; Oil and gas; Supervisory, control and data acquisition system security; System security; Cybersecurity"
Edge Computing for Cyber-physical Systems: A Systematic Mapping Study Emphasizing Trustworthiness,2022,ACM Transactions on Cyber-Physical Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141041347&doi=10.1145%2f3539662&partnerID=40&md5=1358fbc5e08bf93b2d3a7c663b39c1bd,"Edge computing is projected to have profound implications in the coming decades, proposed to provide solutions for applications such as augmented reality, predictive functionalities, and collaborative Cyber-Physical Systems (CPS). For such applications, edge computing addresses the new computational needs, as well as privacy, availability, and real-time constraints, by providing local high-performance computing capabilities to deal with the limitations and constraints of cloud and embedded systems. Edge computing is today driven by strong market forces stemming from IT/cloud, telecom, and networking-with corresponding multiple interpretations of ""edge computing""(e.g., device edge, network edge, distributed cloud). Considering the strong drivers for edge computing and the relative novelty of the field, it becomes important to understand the specific requirements and characteristics of edge-based CPS, and to ensure that research is guided adequately, e.g., avoiding specific gaps. Our interests lie in the applications of edge computing as part of CPS, where several properties (or attributes) of trustworthiness, including safety, security, and predictability/availability, are of particular concern, each facing challenges for the introduction of edge-based CPS. We present the results of a systematic mapping study, a kind of systematic literature survey, investigating the use of edge computing for CPS with a special emphasis on trustworthiness. The main contributions of this study are a detailed description of the current research efforts in edge-based CPS and the identification and discussion of trends and research gaps. The results show that the main body of research in edge-based CPS only to a very limited extent consider key attributes of system trustworthiness, despite many efforts referring to critical CPS and applications like intelligent transportation. More research and industrial efforts will be needed on aspects of trustworthiness of future edge-based CPS including their experimental evaluation. Such research needs to consider the multiple interrelated attributes of trustworthiness including safety, security, and predictability, and new methodologies and architectures to address them. It is further important to provide bridges and collaboration between edge computing and CPS disciplines. © 2022 Copyright held by the owner/author(s).",cloudlet; critical systems; cyber-physical systems; dependability; Edge computing; fog computing; mobile edge computing; predictability; safety; security; trustworthiness,Augmented reality; Cybersecurity; Embedded systems; Fog computing; Industrial research; Mapping; Mobile edge computing; Network security; Real time systems; Cloudlet; Critical systems; Cybe-physical systems; Cyber-physical systems; Dependability; Edge computing; Edge-based; Predictability; Security; Trustworthiness; Cyber Physical System
Plan B: Design Methodology for Cyber-Physical Systems Robust to Timing Failures,2022,ACM Transactions on Cyber-Physical Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141050961&doi=10.1145%2f3516449&partnerID=40&md5=ff92347e9c8bd7e1fb9539e1421f6457,"Many Cyber-Physical Systems (CPS) have timing constraints that must be met by the cyber components (software and the network) to ensure safety. It is a tedious job to check if a CPS meets its timing requirement especially when it is distributed and the software and/or the underlying computing platforms are complex. Furthermore, the system design is brittle since a timing failure can still happen (e.g., network failure, soft error bit flip). In this article, we propose a new design methodology called Plan B where timing constraints of the CPS are monitored at runtime, and a proper backup routine is executed when a timing failure happens to ensure safety. We provide a model on how to express the desired timing behavior using a set of timing constructs in a C/C++ code and how to efficiently monitor them at the runtime. We showcase the effectiveness of our approach by conducting experiments on three case studies: (1) the full software stack for autonomous driving (Apollo), (2) a multi-agent system with 1/10th-scale model robots, and (3) a quadrotor for search and rescue application. We show that the system remains safe and stable even when intentional faults are injected to cause a timing failure. We also demonstrate that the system can achieve graceful degradation when a less extreme timing failure happens. © 2022 Association for Computing Machinery.",Cyber-physical systems; time-sensitive systems; worst-case execution time,Application programs; Autonomous agents; C++ (programming language); Design; Embedded systems; Multi agent systems; Radiation hardening; Timing circuits; Cybe-physical systems; Cyber-physical systems; Design Methodology; Robust to timings; Runtimes; Sensitive systems; Time-sensitive system; Timing constraints; Timing failures; Worst-case execution time; Cyber Physical System
Beyond Just Safety: Delay-aware Security Monitoring for Real-time Control Systems,2022,ACM Transactions on Cyber-Physical Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141101961&doi=10.1145%2f3520136&partnerID=40&md5=931dac11988580da958a417896c73e5d,"Modern embedded real-time systems (RTS) are increasingly facing more security threats than the past. A simplistic straightforward integration of security mechanisms might not be able to guarantee the safety and predictability of such systems. In this article, we focus on integrating security mechanisms into RTS (especially legacy RTS). We introduce Contego-C, an analytical model to integrate security tasks into RTS that will allow system designers to improve the security posture without affecting temporal and control constraints of the existing real-time control tasks. We also define a metric (named tightness of periodic monitoring) to measure the effectiveness of such integration. We demonstrate our ideas using a proof-of-concept implementation on an ARM-based rover platform and show that Contego-C can improve security without degrading control performance. © 2022 Association for Computing Machinery.",control system; geometric program; period optimization; Security,Embedded systems; Interactive computer systems; Delay aware; Embedded real time systems; Geometric program; Optimisations; Period optimization; Real - Time system; Real time control systems; Security; Security mechanism; Security monitoring; Real time control
