Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
An Execution Model for Limited Ambiguity Rules and Its Application to Derived Data Update,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976736265&doi=10.1145%2f219035.219039&partnerID=40&md5=89c68383ffcf8902b7d1e67bb1a15fc6,[No abstract available],,
Space Optimization in Deductive Databases,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029492787&doi=10.1145%2f219035.219056&partnerID=40&md5=7a011a078c82120eee7dd410e5d79389,[No abstract available],,Logic programming; Optimization; Query languages; Recursive functions; Redundancy; Synchronization; Deductive databases; Space optimization; Database systems
A Structured Approach for the Definition of the Semantics of Active Databases,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976810970&doi=10.1145%2f219035.219042&partnerID=40&md5=83f45e3ba5430325572376a7227a2b09,[No abstract available],,
Containment of Conjunctive Queries: Beyond Relations as Sets,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976718399&doi=10.1145%2f211414.211419&partnerID=40&md5=b3fbe5fcbf55e218e34b0f6959b8ac10,"We have generalized the notion of a relational database to cover fuzzy sets, multisets, and other refinements to the concept of a relation as a set. We have examined the problem of conjunctive query containment for two important types of label systems. Specifically, we have shown that earlier theorems that deal with relations as sets are generalized for all label systems of type A, which include sets and fuzzy sets as special cases. We have also provided sufficient conditions, and in special cases necessary and sufficient conditions, for label systems of type B, which include relations as multisets, an important special case due to its significance in SQL. We have also addressed the problem of containment of sets of conjunctive queries, generalized again earlier set-based results for all label systems of type A and proving undecidability for label systems of type B. An interesting open problem is that of containment of individual conjunctive queries for type B systems. We have presented a necessary and sufficient condition for queries with no repeated predicates and a sufficient condition for the general case. Is there a general necessary and sufficient condition? Is the problem decidable? (Note that Chaludhuri and Vardi [1993] established a lower bound for this problem, but not an upper bound.) Given that the problem is decidable for both individual queries and sets of queries over relations as sets and our undecidability result for sets of queries over multi sets, this raises the possibility that the problem is undecidable even for individual queries. There are several additional areas that require further exploration. These include dealing with recursive queries in the context of deductive databases, formalizing a label system that captures the traditional notion of probabilities and addressing the query containment problem for it, and incorporating the techniques develope © 1995, ACM. All rights reserved.",Algorithms; Conjunctive queries; equivalence; Languages; multisets; query containment; query optimization; Theory,
Editorial Directions,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976744204&doi=10.1145%2f211414.569785&partnerID=40&md5=a08a3261f782340e5cf8c8ce4ddcd257,[No abstract available],,
Efficient Checking of Temporal Integrity Constraints Using Bounded History Encoding,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976843391&doi=10.1145%2f210197.210200&partnerID=40&md5=a8c41b8309a15f3bef812242ef6606c4,"We present an efficient implementation method for temporal integrity constraints formulated in Past Temporal Logic. Although the constraints can refer to past states of the database, their checking does not require that the entire database history be stored. Instead, every database state is extended with auxdiary relations that contain the historical information necessary for checking constraints. Auxiliary relations can be implemented as materialized relational views. © 1995, ACM. All rights reserved.",Active databases; database integrity; integrity constraints; real-time databases; temporal databases; temporal logic; triggers,
Charter And Scope,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976848563&doi=10.1145%2f202106.569784&partnerID=40&md5=952570a4b12e76304fd7c5660d897978,[No abstract available],,
Fast Algorithms for Universal Quantification in Large Databases,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976837031&doi=10.1145%2f210197.210202&partnerID=40&md5=837a44328f54359980b71a98f34ed85d,"Universal quantification is not supported directly in most database systems despite the fact that it adds significant power to a system's query processing and inference capabilities, in particular for the analysis of many-to-many relationships and of set-valued attributes. One of the main reasons for this omission has been that universal quantification algorithms and their performance have not been explored for large databases. In this article, we describe and compare three known algorithms and one recently proposed algorithm for relational division, the algebra operator that embodies universal quantification. For each algorithm, we investigate the performance effects of explicit duplicate removal and referential integrity enforcement, variants for inputs larger than memory, and parallel execution strategies. Analytical and experimental performance comparisons illustrate the substantial differences among the algorithms. Moreover, comparisons demonstrate that the recently proposed division algorithm evaluates a universal quantification predicate over two relations as fast as hash (semi-) join evaluates an existential quantification predicate over the same relations. Thus, existential and universal quantification can be supported with equal efficiency by adding the recently proposed algorithm to a query evaluation system. A second result of our study is that universal quantification should be expressed directly in a database query language because most query optimizers do not recognize the rather indirect formulations available in SQL as relational division, and therefore produce very poor evaluation plans for many universal quantification queries. © 1995, ACM. All rights reserved.",Algorithms; Experimentation,
Incremental Computation of Nested Relational Query Expressions,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976804217&doi=10.1145%2f210197.210198&partnerID=40&md5=02b96530a0877620740808f284a41cf3,"Efficient algorithms for incrementally computmg nested query expressions do not exist. Nested query expressions are query expressions in which selection/join predicates contain subqueries. In order to respond to this problem, we propose a two-step strategy for incrementally computing nested query expressions. In step (1), the query expression is transformed into an equivalent unnested flat query expression, In step (2), the flat query expression is incrementally computed. To support step (1), we have developed a very concise algebra-to-algebra transformation algorithm, and we have formally proved its correctness The flat query expressions resulting from the transformation make intensive use of the relational set-difference operator. To support step (2), we present and analyze an efficient algorithm for incrementally computing set differences based on view pointer caches. When combined with existing incremental algorithms for SPJ queries, our incremental set-difference algorithm can be used to compute the unnested flat query expressions efficiently. It is important to notice that without our incremental set-difference algorithm the existing incremental algorithms for SPJ queries are useless for any query involving the set-difference operator, including queries that are not the result of unnesting nested queries. © 1995, ACM. All rights reserved.",Incremental computation; nested query expressions; set differences; unnesting; view pointer caches,
Declarative Updates of Relational Databases,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976689401&doi=10.1145%2f202106.202110&partnerID=40&md5=2173d2b2fd07f2eb41bbd0cb54488006,"This article presents a declarative language, called update calculus, of relational database updates. A formula in update calculus involves conditions for the current database, as well as assertions about a new database. Logical connectives and quantifiers become constructors of complex updates, offering flexible specifications of database transformations. Update calculus can express all nondeterministic database transformations that are polynomial time. For set-at-a-time evaluation of updates, we present a corresponding update algebra. Existing techniques of query processing can be incorporated into update evaluation. We show that updates in update calculus can be translated into expressions in update algebra and vice versa. © 1995, ACM. All rights reserved.",database languages; database updates; expressive power; update algebra; update calculus,
The Incinerate Data Model,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976821069&doi=10.1145%2f202106.202113&partnerID=40&md5=72c85af5c4c26fb59b1299f36e2247a6,"In this article, we present an extended relational algebra with universally or existentially quantified classes as attribute values. The proposed extension can greatly enhance the expressive power of relational systems, and significantly reduce the size of a database, at small additional computational cost. We also show how the proposed extensions can be built on top of a standard relational database system. © 1995, ACM. All rights reserved.",,
Transaction Chopping: Algorithms and Performance Studies,1995,ACM Transactions on Database Systems (TODS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976746133&doi=10.1145%2f211414.211427&partnerID=40&md5=3881cc9d3b0aa10155a69c3ef4d1e31c,[No abstract available],,
