Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Learning join queries from user examples,2015,ACM Transactions on Database Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954235801&doi=10.1145%2f2818637&partnerID=40&md5=a0d6fde14ca8b6f8d5cc455804c8bf18,"We investigate the problem of learning join queries from user examples. The user is presented with a set of candidate tuples and is asked to label them as positive or negative examples, depending on whether or not she would like the tuples as part of the join result. The goal is to quickly infer an arbitrary n-ary join predicate across an arbitrary number mof relations while keeping the number of user interactions as minimal as possible. We assume no prior knowledge of the integrity constraints across the involved relations. Inferring the join predicate across multiple relations when the referential constraints are unknown may occur in several applications, such as data integration, reverse engineering of database queries, and schema inference. In such scenarios, the number of tuples involved in the join is typically large. We introduce a set of strategies that let us inspect the search space and aggressively prune what we call uninformative tuples, and we directly present to the user the informative ones-that is, those that allow the user to quickly find the goal query she has inmind. In this article, we focus on the inference of joins with equality predicates and also allow disjunctive join predicates and projection in the queries. We precisely characterize the frontier between tractability and intractability for the following problems of interest in these settings: consistency checking, learnability, and deciding the informativeness of a tuple. Next, we propose several strategies for presenting tuples to the user in a given order that allows minimization of the number of interactions. We show the efficiency of our approach through an experimental study on both benchmark and synthetic datasets. © 2015 ACM.",Incomplete schema; Reverse engineering; SQL query discovery,Data integration; Database systems; Query processing; Reverse engineering; Arbitrary number; Consistency checking; Following problem; Incomplete schema; Integrity constraints; Negative examples; SQL query; Synthetic datasets; Query languages
Weaker forms of monotonicity for declarative networking: A more fine-grained answer to the CALM-conjecture,2015,ACM Transactions on Database Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953295646&doi=10.1145%2f2809784&partnerID=40&md5=cb7aee3f7f93830dbc510efac3f7e8f0,"The CALM-conjecture, first stated by Hellerstein [2010] and proved in its revised form by Ameloot et al. [2013] within the framework of relational transducer networks, asserts that a query has a coordination-free execution strategy if and only if the query is monotone. Zinn et al. [2012] extended the framework of relational transducer networks to allow for specific data distribution strategies and showed that the nonmonotone win-move query is coordination-free for domain-guided data distributions. In this article, we extend the story by equating increasingly larger classes of coordination-free computations with increasingly weaker forms of monotonicity and present explicit Datalog variants that capture each of these classes. One such fragment is based on stratified Datalog where rules are required to be connected with the exception of the last stratum. In addition, we characterize coordination-freeness as those computations that do not require knowledge about all other nodes in the network, and therefore, can not globally coordinate. The results in this article can be interpreted as a more fine-grained answer to the CALM-conjecture.",,Database systems; Information systems; Data distribution; Datalog; Declarative networkings; Execution strategies; Fine grained; Monotonicity; Nonmonotone; Transducers
Reducing layered database applications to their essence through vertical integration,2015,ACM Transactions on Database Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946908647&doi=10.1145%2f2818180&partnerID=40&md5=6b4261864fd4257089fc0fbf54c7c818,"In the last decade, improvements on single-core performance of CPUs has stagnated. Consequently, methods for the development and optimization of software for these platforms have to be reconsidered. Software must be optimized such that the available single-core performance is exploited more effectively. This can be achieved by reducing the number of instructions that need to be executed. In this article, we show that layered database applications execute many redundant, nonessential, instructions that can be eliminated without affecting the course of execution and the output of the application. This elimination is performed using a vertical integration process which breaks down the different layers of layered database applications. By doing so, applications are being reduced to their essence, and as a consequence, transformations can be carried out that affect both the application code and the data access code which were not possible before. We show that this vertical integration process can be fully automated and, as such, be integrated in an operational workflow. Experimental evaluation of this approach shows that up to 95% of the instructions can be eliminated. The reduction of instructions leads to a more efficient use of the available hardware resources. This results in greatly improved performance of the application and a significant reduction in energy consumption. © 2015 ACM.",Database applications; instruction reduction; intermediate representation; optimization; program transformation; software overhead; vertical integration,Codes (symbols); Database systems; Energy utilization; Integration; Optimization; Program processors; Application codes; Database applications; Experimental evaluation; Hardware resources; Intermediate representations; Program transformations; Reduction in energy consumption; Vertical integration; Application programs
SCANRAW: A database meta-operator for parallel in-situ processing and loading,2015,ACM Transactions on Database Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946897948&doi=10.1145%2f2818181&partnerID=40&md5=11c9e468607be46c13e49696ac3f70f2,"Traditional databases incur a significant data-to-query delay due to the requirement to load data inside the system before querying. Since this is not acceptable in many domains generating massive amounts of raw data (e.g., genomics), databases are entirely discarded. External tables, on the other hand, provide instant SQL querying over raw files. Their performance across a query workload is limited though by the speed of repeated full scans, tokenizing, and parsing of the entire file. In this article, we propose SCANRAW, a novel database meta-operator for in-situ processing over raw files that integrates data loading and external tables seamlessly, while preserving their advantages: optimal performance across a query workload and zero time-to-query. We decompose loading and external table processing into atomic stages in order to identify common functionality.We analyze alternative implementations and discuss possible optimizations for each stage. Our major contribution is a parallel superscalar pipeline implementation that allows SCANRAW to take advantage of the current many- and multicore processors by overlapping the execution of independent stages. Moreover, SCANRAW overlaps query processing with loading by speculatively using the additional I/O bandwidth arising during the conversion process for storing data into the database, such that subsequent queries execute faster. As a result, SCANRAW makes intelligent use of the available system resources-CPU cycles and I/O bandwidth-by switching dynamically between tasks to ensure that optimal performance is achieved. We implement SCANRAW in a state-of-the-art database system and evaluate its performance across a variety of synthetic and real-world datasets. Our results show that SCANRAW with speculative loading achieves the best-possible performance for a query sequence at any point in the processing. Moreover, SCANRAW maximizes resource utilization for the entire workload execution while speculatively loading data and without interfering with normal query processing. © 2015 ACM.",access path; Data access operator; data loading; database operator; external table; system,Bandwidth; In situ processing; Pipeline processing systems; Query languages; Query processing; Search engines; access path; Data access; Database operators; external table; system; Loading
Optimal location queries in road networks,2015,ACM Transactions on Database Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946905140&doi=10.1145%2f2818179&partnerID=40&md5=c7a637a7fe003c8ff86c0f55ed25e461,"In this article, we study an optimal location query based on a road network. Specifically, given a road network containing clients and servers, an optimal location query finds a location on the road network such that when a new server is set up at this location, a certain cost function computed based on the clients and servers (including the new server) is optimized. Two types of cost functions, namely, MinMax and MaxSum, have been used for this query. The optimal location query problem with MinMax as the cost function is called the MinMax query, which finds a location for setting up a new server such that themaximum cost of a client being served by his/her closest server is minimized. The optimal location query problem with MaxSum as the cost function is called the MaxSum query, which finds a location for setting up a new server such that the sum of the weights of clients attracted by the new server is maximized. The MinMax query and the MaxSum query correspond to two types of optimal location query with the objectives defined from the clients' perspective and from the new server's perspective, respectively. Unfortunately, the existing solutions for the optimal query problem are not efficient. In this article, we propose an efficient algorithm, namely, MinMax-Alg (MaxSum- Alg), for the MinMax (MaxSum) query, which is based on a novel idea of nearest location component. We also discuss two extensions of the optimal location query, namely, the optimal multiple-location query and the optimal location query on a 3D road network. Extensive experiments were conducted, showing that our algorithms are faster than the state of the art by at least an order of magnitude on large real benchmark datasets. For example, in our largest real datasets, the state of the art ran for more than 10 (12) hours while our algorithm ran within 3 (2) minutes only for the MinMax (MaxSum) query, that is, our algorithm ran at least 200 (600) times faster than the state of the art. © 2015 ACM.",nearest location component; Optimal location query; road network,Cost functions; Large dataset; Motor transportation; Roads and streets; Benchmark datasets; Location queries; nearest location component; Optimal query; Optimal-location query; Real data sets; Road network; State of the art; Location
Uncertain graph processing through representative instances,2015,ACM Transactions on Database Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946908911&doi=10.1145%2f2818182&partnerID=40&md5=0927057d1764ac2481cfbd0e37260ef5,"Data in several applications can be represented as an uncertain graph whose edges are labeled with a probability of existence. Exact query processing on uncertain graphs is prohibitive for most applications, as it involves evaluation over an exponential number of instantiations. Thus, typical approaches employ Monte-Carlo sampling, which (i) draws a number of possible graphs (samples), (ii) evaluates the query on each of them, and (iii) aggregates the individual answers to generate the final result. However, this approach can also be extremely time consuming for large uncertain graphs commonly found in practice. To facilitate efficiency, we study the problem of extracting a single representative instance from an uncertain graph. Conventional processing techniques can then be applied on this representative to closely approximate the result on the original graph. In order to maintain data utility, the representative instance should preserve structural characteristics of the uncertain graph. We start with representatives that capture the expected vertex degrees, as this is a fundamental property of the graph topology. We then generalize the notion of vertex degree to the concept of n-clique cardinality, that is, the number of cliques of size n that contain a vertex. For the first problem, we propose two methods: Average Degree Rewiring (ADR), which is based on random edge rewiring, and Approximate B-Matching (ABM), which applies graph matching techniques. For the second problem, we develop a greedy approach and a game-theoretic framework. We experimentally demonstrate, with real uncertain graphs, that indeed the representative instances can be used to answer, efficiently and accurately, queries based on several metrics such as shortest path distance, clustering coefficient, and betweenness centrality. © 2015 ACM.",n-clique cardinality; possible world; representative; Uncertain graph,Game theory; Graph algorithms; Graph theory; Graphic methods; Monte Carlo methods; Query processing; Betweenness centrality; Cardinalities; Conventional processing; Fundamental properties; Possible worlds; representative; Structural characteristics; Uncertain graphs; Graph structures
Boosting the quality of approximate string matching by synonyms,2015,ACM Transactions on Database Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946921713&doi=10.1145%2f2818177&partnerID=40&md5=91952ed59402985e7d5fa3a614bddbf7,"A string-similarity measure quantifies the similarity between two text strings for approximate string matching or comparison. For example, the strings ""Sam"" and ""Samuel"" can be considered to be similar. Most existing work that computes the similarity of two strings only considers syntactic similarities, for example, number of common words or q-grams. While this is indeed an indicator of similarity, there are many important cases where syntactically-different strings can represent the same real-world object. For example, ""Bill"" is a short form of ""William,"" and ""Database Management Systems"" can be abbreviated as ""DBMS."" Given a collection of predefined synonyms, the purpose of this article is to explore such existing knowledge to effectively evaluate the similarity between two strings and efficiently perform similarity searches and joins, thereby boosting the quality of approximate string matching. In particular, we first present an expansion-based framework to measure string similarities efficiently while considering synonyms. We then study efficient algorithms for similarity searches and joins by proposing two novel indexes, called SI-trees and QP-trees, which combine signature-filtering and length-filtering strategies. In order to improve the efficiency of our algorithms, we develop an estimator to estimate the size of candidates to enable an online selection of signature filters. This estimator provides strong low-error, high-confidence guarantees while requiring only logarithmic space and time costs, thus making our method attractive both in theory and in practice. Finally, the experimental results from a comprehensive study of the algorithms with three real datasets verify the effectiveness and efficiency of our approaches. © 2015 ACM.",semantic search; similarity join; String similarity search,Database systems; Efficiency; Forestry; Semantics; Approximate string matching; Effectiveness and efficiencies; Filtering strategies; Semantic search; Signature filtering; Similarity join; String similarity; Syntactic similarities; Cryptography
Workload-driven antijoin cardinality estimation,2015,ACM Transactions on Database Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946902152&doi=10.1145%2f2818178&partnerID=40&md5=dbf35cd26a881f1f6758ae12e5403ab2,"Antijoin cardinality estimation is among a handful of problems that has eluded accurate efficient solutions amenable to implementation in relational query optimizers. Given the widespread use of antijoin and subsetbased queries in analytical workloads and the extensive research targeted at join cardinality estimation-a seemingly related problem-the lack of adequate solutions for antijoin cardinality estimation is intriguing. In this article, we introduce a novel sampling-based estimator for antijoin cardinality that (unlike existent estimators) provides sufficient accuracy and efficiency to be implemented in a query optimizer. The proposed estimator incorporates three novel ideas. First, we use prior workload information when learning a mixture superpopulationmodel of the data offline. Second, we design a Bayesian statistics framework that updates the superpopulation model according to the live queries, thus allowing the estimator to adapt dynamically to the online workload. Third, we develop an efficient algorithm for sampling from a hypergeometric distribution in order to generate Monte Carlo trials, without explicitly instantiating either the population or the sample. When put together, these ideas form the basis of an efficient antijoin cardinality estimator satisfying the strict requirements of a query optimizer, as shown by the extensive experimental results over syntheticallygenerated as well as massive TPC-H data. © 2015 ACM.",Antijoin operator; Bayesian statistics; Monte Carlo; query optimization; sampling,Monte Carlo methods; Antijoin operator; Bayesian statistics; Cardinality estimations; Monte Carlo trials; Query optimization; Query optimizer; Relational queries; Super-population models; Sampling
Closing the gap: Sequence mining at scale,2015,ACM Transactions on Database Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934765088&doi=10.1145%2f2757217&partnerID=40&md5=1eca825244ca22d2366a8710d81aa4bd,"Frequent sequence mining is one of the fundamental building blocks in data mining. While the problem has been extensively studied, few of the available techniques are sufficiently scalable to handle datasets with billions of sequences; such large-scale datasets arise, for instance, in text mining and session analysis. In this article, we propose MG-FSM, a scalable algorithm for frequent sequence mining on MapReduce. MG-FSM can handle so-called ""gap constraints"", which can be used to limit the output to a controlled set of frequent sequences. Both positional and temporal gap constraints, as well as appropriate maximality and closedness constraints, are supported. At its heart, MG-FSM partitions the input database in a way that allows us to mine each partition independently using any existing frequent sequence mining algorithm. We introduce the notion of w-equivalency, which is a generalization of the notion of a ""projected database"" used by many frequent pattern mining algorithms. We also present a number of optimization techniques that minimize partition size, and therefore computational and communication costs, while still maintaining correctness. Our experimental study in the contexts of text mining and session analysis suggests that MG-FSM is significantly more efficient and scalable than alternative approaches.",Algorithms; Experimentation; Performance; Theory,Algorithms; Computation theory; Large dataset; Experimentation; Frequent pattern mining; Fundamental building blocks; Large-scale datasets; Optimization techniques; Performance; Scalable algorithms; Theory; Text mining
"""Differential dependencies: Reasoning and discovery"" Revisited",2015,ACM Transactions on Database Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934760646&doi=10.1145%2f2757214&partnerID=40&md5=74c219c8a6fa3fd9f325331092cad9a5,"To address the frequently occurring situation where data is inexact or imprecise, a number of extensions to the classical notion of a functional dependency (FD) integrity constraint have been proposed in recent years. One of these extensions is the notion of a differential dependency (DD), introduced in the recent article ""Differential Dependencies: Reasoning and Discovery"" by Song and Chen in the March 2011 edition of this journal. A DD generalises the notion of an FD by requiring only that the values of the attribute from the RHS of the DD satisfy a distance constraint whenever the values of attributes from the LHS of the DD satisfy a distance constraint. In contrast, an FD requires that the values from the attributes in the RHS of an FD be equal whenever the values of the attributes from the LHS of the FD are equal. The article ""Differential Dependencies: Reasoning and Discovery"" investigated a number of aspects of DDs, the most important of which, since they form the basis for the other topics investigated, were the consistency problem (determining whether there exists a relation instance that satisfies a set of DDs) and the implication problem (determining whether a set of DDs logically implies another DD). Concerning these problems, a number of results were claimed in ""Differential Dependencies: Reasoning and Discovery"". In this article we conduct a detailed analysis of the correctness of these results. The outcomes of our analysis are that, for almost every claimed result, we show there are either fundamental errors in the proof or the result is false. For some of the claimed results we are able to provide corrected proofs, but for other results their correctness remains open. © 2015 ACM.",Design; Management; Theory,Database systems; Design; Information systems; Management; Consistency problems; Distance constraints; Functional dependency; Implication problem; Integrity constraints; Theory; Finite difference method
