Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Memory management scheme to improve utilization efficiency and provide fast contiguous allocation without a statically reserved area,2015,ACM Transactions on Design Automation of Electronic Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952050393&doi=10.1145%2f2770871&partnerID=40&md5=2b35fc1880736acf341bc167e94d83ea,"Fast allocation of large blocks of physically contiguous memory plays a crucial role to boost the performance of multimedia applications in modern memory-constrained portable devices, such as smartphones, tablets, etc. Existing systems have addressed this issue by provisioning a large statically reserved memory area (SRA) in which only dedicated applications can allocate pages. However, this in turn degrades the performance of applications that are prohibited to utilize the SRA due to the reduced available memory pool. To overcome this drawback while maintaining the benefits of the SRA, we propose a new memory management scheme that uses a special memory region, called page-cache-preferred area (PCPA), in concert with a quick memory reclaiming algorithm. The key of the proposed scheme is to enhance the memory utilization efficiency by enabling to allocate page-cached pages of all applications in the PCPA until predetermined applications require to allocate big chunks of contiguous memory. At this point, clean page-cached pages in the PCPA are rapidly evicted without write-back to a secondary storage. Compared to the SRA scheme, experimental results show that the average launch time of real-world applications and the execution time of I/O-intensive benchmarks are reduced by 9.2% and 24.7%, respectively. © 2015 ACM.",Memory fragmentation; Memory management; Page cache,Benchmarking; Efficiency; Fast allocations; Memory fragmentation; Memory management; Memory utilization; Multimedia applications; Page cache; Secondary storage; Utilization efficiency; Cache memory
Offline washing schemes for residue removal in digital microfluidic biochips,2015,ACM Transactions on Design Automation of Electronic Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952059962&doi=10.1145%2f2798726&partnerID=40&md5=7299f1c1403182168d105bab699d0fe4,"A digital microfluidic biochip (DMB) is often deployed for multiplexing several assays in space and in time. The residue left by one assay may contaminate the droplets used for subsequent assays. Biochemical assays involving cell culture and those based on particle microfluidics also require sweeping of residual media from an active droplet on-chip. Thus, fluidic operations such as washing or residue removal need to be performed routinely either to clean contamination from the droplet pathways or to rinse off certain droplets on the chip. In this work, several graph-based techniques are presented for offline washing of biochips that may have either a regular geometry (e.g., a 2D array of electrodes), or an irregular geometry (e.g., an application-specific layout). The schemes can be used for total washing, that is, for cleaning the entire biochip or for selective washing of sites or pathways located sparsely on the chip. The problem of reducing the path length and washing time of the droplets is investigated with or without capacity constraints. The proposed algorithms for offline washing make use of several techniques such as graph traversal, integer linear programming (ILP) modeling, and customized heuristics based on the nature of the geometric distribution of the contamination profile. The contaminated pathways are assumed to be Manhattan or curved, and hence the techniques are applicable to the conventional field-actuated DMBs as well as to the emerging classes of light-actuated and active-matrix DMBs. These techniques will be useful in enhancing the reliability of a wide class of emerging digital microfluidic healthcare devices. © 2015 ACM.",Biochips; Contamination; Digital microfluidics; Washing,Assays; Bioassay; Biochips; Cell culture; Contamination; Digital devices; Digital microfluidics; Drop formation; Drops; Geometry; Graphic methods; Integer programming; Microarrays; Microfluidics; Probability distributions; Application specific; Capacity constraints; Contamination profiles; Digital microfluidic biochips; Geometric distribution; Graph-based techniques; Integer linear programming models; Irregular geometries; Washing
Enhanced test compaction for multicycle broadside tests by using state complementation,2015,ACM Transactions on Design Automation of Electronic Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952061412&doi=10.1145%2f2778953&partnerID=40&md5=2432f0dbd4fd684f22e66d776c11e274,"Multicycle tests support test compaction by allowing each test to detect more target faults. The ability of multicycle broadside tests to provide test compaction depends on the ability of primary input sequences to take the circuit between pairs of states that are useful for detecting target faults. This ability can be enhanced by adding design-for-testability (DFT) logic that allows states to be complemented. This article describes a test compaction procedure that uses such DFT logic to form a compact multicycle broadside test set for transition faults where the tests use constant primary input vectors. The use of complemented states also allows the procedure to increase the transition fault coverage beyond the transition fault coverage of a broadside test set. The procedure has the option of increasing the switching activity of the tests gradually in order to explore the tradeoff between the number of tests, the fault coverage, and the switching activity. © 2015 ACM.",Broadside tests; Design-for-testability; Multicycle tests; Test compaction; Transition faults,Compaction; Dynamic random access storage; Fault detection; Broadside tests; Detecting target; Multi cycle tests; Primary input vectors; Switching activities; Test Compaction; Transition fault coverage; Transition faults; Design for testability
Layout decomposition with pairwise coloring and adaptive multi-start for triple patterning lithography,2015,ACM Transactions on Design Automation of Electronic Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952032967&doi=10.1145%2f2764904&partnerID=40&md5=f34576a11901cf7b8308d831cd659c68,"In this article we present a pairwise coloring (PWC) approach to tackle the layout decomposition problem for triple patterning lithography (TPL). The main idea is to reduce the problem to a set of bi-coloring problems. The overall solution is refined by applying a bi-coloring method for pairs of color sets per pass. One obvious advantage of this method is that the existing double patterning lithography (DPL) techniques can be reused effortlessly. Moreover, we observe that each pass can be fulfilled efficiently by integrating an SPQR-tree-graph-division-based bi-coloring method. In addition, to prevent the solution getting stuck in the local minima, an adaptive multi-start (AMS) approach is incorporated. Adaptive starting points are generated according to the vote of previous solutions. The experimental results show that our method is competitive with other works on both solution quality and runtime performance. © 2015 ACM.",Adaptive multi-start; Design for manufacturability; Layout decomposition; Pairwise coloring; Triple patterning lithography,Design for manufacturability; Lithography; Machine design; Trees (mathematics); Coloring problems; Double patterning; Layout decomposition; Local minimums; Multistart; Run-time performance; Solution quality; Triple patterning; Coloring
Clock period minimization with minimum leakage power,2015,ACM Transactions on Design Automation of Electronic Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951970853&doi=10.1145%2f2778954&partnerID=40&md5=0bc6de288aac5c50ee4ccebfcf7cd398,"In the design of nonzero clock skew circuits, an increase of the short-path delay may improve circuit speed or reduce leakage power. However, the impact of increasing the short-path delay on the trade-off between circuit speed and leakage power has not been well studied. An analysis of previous works shows that they can be classified into two independent groups. One group uses extra buffers to increase the short-path delay for achieving the lower bound of the clock period; however, this group has a large overhead of leakage power. The other group uses the combination of threshold voltage assignment and gate sizing (TVA/GS) to increase the short-path delay as possible for reducing leakage power; however, this group often does not work with the lower bound of the clock period. Accordingly, this article considers the simultaneous application of buffer insertion and TVA/GS during clock skew scheduling. Our objective is to minimize the leakage power for working with the lower bound of the clock period. To the best of our knowledge, our approach is the first leakage-power-aware clock skew scheduling that guarantees working with the lower bound of the clock period. Benchmark data consistently show that our approach achieves good results in terms of both the circuit speed and the leakage power. © 2015 ACM.",Clock period minimization; Clock skew scheduling; Hold constraint; Leakage power; Low power; Sequential timing optimization; Short-path delay,Delay circuits; Economic and social effects; Electric clocks; Gates (transistor); Integrated circuit manufacture; Power management; Scheduling; Threshold voltage; Clock period minimization; Clock skew scheduling; Hold constraint; Leakage power; Low Power; Short-path; Timing optimization; Clocks
Complementary synthesis for encoder with flow control mechanism,2015,ACM Transactions on Design Automation of Electronic Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951933786&doi=10.1145%2f2794079&partnerID=40&md5=6c0a5f901a1be870e22cfe451c445061,"Complementary synthesis automatically generates an encoder's decoder with the assumption that the encoder's all input variables can always be uniquely determined by its output symbol sequence. However, to prevent the faster encoder from overwhelming the slower decoder, many encoders employ flow control mechanism that fails this assumption. Such encoders, when their output symbol sequences are too fast to be processed by the decoders, will stop transmitting data symbols, but instead transmitting idle symbols that can only uniquely determine a subset of the encoder's input variables. And the decoder should recognize and discard these idle symbols. This mechanism fails the assumption of all complementary synthesis algorithms, because some input variables can't be uniquely determined by the idle symbol. A novel algorithm is proposed to handle such encoders. First, it identifies all input variables that can be uniquely determined, and takes them as flow control variables. Second, it infers a predicate over these flow control variables that enables all other input variables to be uniquely determined. Third, it characterizes the decoder's Boolean function with Craig interpolant. Experimental results on several complex encoders indicate that this algorithm can always correctly identify the flow control variables, infer the predicates and generate the decoder's Boolean functions. © 2015 ACM.",Complementary synthesis; Craig interpolant; Decoder; Encoder; Finite-state transition system; Satisfiability solving,Algorithms; Boolean functions; Decoding; Interpolation; Synthesis (chemical); Complementary synthesis; Decoder; Encoder; Finite-state transition systems; Interpolants; Satisfiability solving; Flow control
A new uncertainty budgeting-based method for robust analog/mixed-signal design,2015,ACM Transactions on Design Automation of Electronic Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951993843&doi=10.1145%2f2778959&partnerID=40&md5=e1ac617d4db4434874eab13f9a80af47,"This article proposes a novel methodology for robust analog/mixed-signal IC design by introducing a notion of budget of uncertainty. This method employs a new conic uncertainty model to capture process variability and describes variability-affected circuit design as a set-based robust optimization problem. For a prespecified yield requirement, the proposed method conducts uncertainty budgeting by associating performance yield with the size of uncertainty set for process variations. Hence the uncertainty budgeting problem can be further translated into a tractable robust optimization problem. Compared with the existing robust design flow based on ellipsoid model, this method is able to produce more reliable design solutions by allowing varying size of conic uncertainty set at different design points. In addition, the proposed method addresses the limitation that the size of the ellipsoid model is calculated solely relying on the distribution of process parameters, while neglecting the dependence of circuit performance upon these design parameters. The proposed robust design framework has been verified on various analog/mixed-signal circuits to demonstrate its efficiency against the ellipsoid model. Up to 24% reduction of design cost has been achieved by using the uncertainty budgeting-based method. © 2015 ACM.",Budget of uncertainty; Performance yield; Process variations; Robust design; Uncertainty set,Analog integrated circuits; Budget control; Integrated circuit manufacture; Optimization; Budget of uncertainty; Performance yield; Process Variation; Robust designs; Uncertainty set; Design
Fuzzroute: A thermally efficient congestion-free global routing method for three-dimensional integrated circuits,2015,ACM Transactions on Design Automation of Electronic Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952013904&doi=10.1145%2f2767127&partnerID=40&md5=33021ce487ad7857a74236f686b58c29,"The high density of interconnects, closer proximity of modules, and routing phase are pivotal during the layout of a performance-centric three-dimensional integrated circuit (3D IC). Heuristic-based approaches are typically used to handle such NP-complete problems of global routing in 3D ICs. To overcome the inherent limitations of deterministic approaches, a novel methodology for multi-objective global routing based on fuzzy logic has been proposed in this article. The guiding information generated after the placement phase is used during routing with the help of a fuzzy expert system to achieve thermally efficient and congestion-free routing. A complete global routing solution is designed based on the proposed algorithms and the results are compared with selected fully established global routers, namely Labyrinth, FastRoute3.0, NTHU-R, BoxRouter 2.0, FGR, NTHU-Route2.0, FastRoute4.0, NCTU-GR, MGR, and NCTU-GR2.0. Experiments are performed over ISPD 1998 and 2008 benchmarks. The proposed router, called FuzzRoute, achieves balanced superiority in terms of routability, runtime, and wirelength over others. The improvements on routing time for Labyrinth, BoxRouter 2.0, and FGR are 91.81%, 86.87%, and 32.16%, respectively, for ISPD 1998 benchmarks. It may be noted that, though FastRoute3.0 achieves fastest runtime, it fails to generate congestion-free solutions for all benchmarks, which is overcome by the proposed FuzzRoute of the current article. It also shows wirelength improvements of 17.35%, 2.88%, 2.44%, 2.83%, and 2.10%, respectively, over others for ISPD 1998 benchmarks. For ISPD 2008 benchmark circuits it also provides 2.5%, 2.6%, 1 %, 1.1%, and 0.3% lesser wirelength and averagely runs 1.68×, 6.42×, 2.21×, 0.76×, and 1.54× faster than NTHU-Route2.0, FastRoute4.0, NCTU-GR, MGR, and NCTU-GR2.0, respectively. © 2015 Copyright is held by the Owner/Author. Publication rights licensed to ACM.",Fuzzified global routing; Fuzzy expert system; Global routing; VLSI layout design,Computational complexity; Expert systems; Fuzzy logic; Integrated circuits; Routers; VLSI circuits; Benchmark circuit; Deterministic approach; Fuzzy expert systems; Global routing; Guiding information; Inherent limitations; Three dimensional integrated circuits (3-D IC); VLSI layout; Three dimensional integrated circuits
Locality-aware network utilization balancing in NoCs,2015,ACM Transactions on Design Automation of Electronic Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951944492&doi=10.1145%2f2743012&partnerID=40&md5=88a468d4f3bce2816361a0283e0e4a9f,"Hierarchical and multi-network networks-on-chip (NoCs) have been proposed in the literature to improve the energy- and performance-efficient scalability of the traditional flat-mesh NoC architecture. Theoretically, based on a small-world network-based analysis, traditional hierarchical NoCs are expected to provide good scalability. However, the traditional theoretical analysis (e.g. for small-worldness) does not take into account the congestion phenomenon experienced in such networks. Counterintuitively, as shown in this work, breaking the hierarchy in traditional hierarchical NoCs and utilizing the proposed locality-aware network utilization (NU) balancing technique performs better. This improvement in performance is observed through experimental analysis, which is contrasted with the theoretical analysis that does not account for congestion. In addition to the novelties for hierarchical networks, the application of the proposed locality-aware NU balancing scheme is extended to multi-network NoC topologies (with already separated networks). Results of the analysis show the superiority of applying the locality-aware NU balancing technique for a throughput and energy-efficient scaling of the multi-network NoC architectures, much like those of the hierarchical NoCs. For instance, for a NoC with 1024 nodes, the proposed NU balancing technique provides up to 95% higher throughput efficiency and consumes up to 29% less energy per flit compared to the best NoC topology without the NU balancing technique. The analysis also helps to render the choice of a NoC topology for traffic patterns varying in locality and nonlocality on exascale computing CMPs. © 2015 ACM.",Hierarchical networks; Network utilization balancing; Network-on-chip (NoC),Distributed computer systems; Energy efficiency; MESH networking; Microprocessor chips; Network architecture; Scalability; Small-world networks; Topology; VLSI circuits; Balancing techniques; Exascale computing; Experimental analysis; Hierarchical network; Net work utilization; Network-based analysis; Network-on-chip(NoC); Throughput efficiency; Network-on-chip
A finite-point method for efficient gate characterization under multiple input switching,2015,ACM Transactions on Design Automation of Electronic Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952012029&doi=10.1145%2f2778970&partnerID=40&md5=85a35700a89d61fe0771e1958b76f122,"Timing characterization of standard cells is one of the essential steps in VLSI design. The traditional static timing analysis (STA) tool assumes single input switching models for the characterization of multiple input gates. However, due to technology scaling, increasing operating frequency, and process variation, the probability of the occurrence of multiple input switching (MIS) is increasing. On the other hand, considering all possible MIS scenarios for the characterization of multiple input logic gates, is computationally intensive. To improve the efficiency, this work proposes a finite-point-based characterization methodology for multiple input gates with the effects of MIS. Furthermore, delay variation due to MIS is integrated into the STA flow through propagation of switching windows. The proposed modeling methodology is validated using benchmark circuits at the 45nm technology node for various operating conditions. Experimental results demonstrate significant reduction in computation cost and data volume with less than ∼10% error compared to that of traditional SPICE simulation. © 2015 ACM.",Characterization; Design flow; Finite point method; Flow; Logic; Multiple input switching; Performance verification; Standard cell characterization,Adders; Characterization; Computation theory; SPICE; Switching; Design flows; Finite point method; Flow; Logic; Multiple inputs; Performance verification; Standard cell; Switching circuits
