Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Price of stability in polynomial congestion games,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025834020&doi=10.1145%2f2841229&partnerID=40&md5=0fadad085910454a493e3e95359b45fe,"The price of anarchy (PoA) in congestion games has attracted a lot of research over the past decade. This has resulted in a thorough understanding of this concept. In contrast, the price of stability (PoS), which is an equally interesting concept, is much less understood. In this article, we consider congestion games with polynomial cost functions with nonnegative coefficients andmaximum degree d.We givematching bounds for the PoS in such games-that is, our technique provides the exact value for any degree d. For linear congestion games, tight bounds were previously known. Those bounds hold even for the more restricted case of dominant equilibria, which may not exist. We give a separation result showing that this is not possible for congestion games with quadratic cost functions-in other words, the PoA for the subclass of games that admit a dominant strategy equilibrium is strictly smaller than the PoS for the general class. © 2015 ACM.",Congestion games; Price of anarchy; Price of stability,Costs; Congestion Games; Dominant strategy; General class; Linear congestion games; Nonnegative coefficients; Price of anarchy; Price of Stability; Quadratic cost functions; Cost functions
On multiple keyword sponsored search auctions with budgets,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045373123&doi=10.1145%2f2818357&partnerID=40&md5=6b1c713017e09b343c7b75a3ead7ef74,"We study multiple keyword sponsored search auctions with budgets. Each keyword has multiple ad slots with a click-through rate. The bidders have additive valuations, which are linear in the click-through rates, and budgets, which are restricting their overall payments. Additionally, the number of slots per keyword assigned to a bidder is bounded. We show the following results: (1) We give the first mechanism for multiple keywords, where click-through rates differ among slots. Our mechanism is incentive compatible in expectation, individually rational in expectation, and Pareto optimal. (2) We study the combinatorial setting, where each bidder is only interested in a subset of the keywords. We give an incentive compatible, individually rational, Pareto-optimal, and deterministic mechanism for identical click-through rates. (3) We give an impossibility result for incentive compatible, individually rational, Pareto-optimal, and deterministic mechanisms for bidders with diminishing marginal valuations. © 2015 ACM.",Auctions with budgets; Clinching ascending auction; Sponsored search auctions,Commerce; Pareto principle; Auctions with budgets; Click-through rate; Clinching ascending auction; Deterministic mechanism; Impossibility results; Incentive compatible; Pareto-optimal; Sponsored search auctions; Budget control
How to put through your agenda in collective binary decisions,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045362511&doi=10.1145%2f2837467&partnerID=40&md5=9553c56508230f71dc2170b668c49bda,"We consider the following decision-making scenario: a society of voters has to find an agreement on a set of proposals, and every single proposal is to be accepted or rejected. Each voter supports a certain subset of the proposals-the favorite ballot of this voter-and opposes the remaining ones. He accepts a ballot if he supports more than half of the proposals in this ballot. The task is to decide whether there exists a ballot approving a specified number of selected proposals (agenda) such that all voters (or a strict majority of them) accept this ballot. We show that, on the negative side, both problems are NP-complete, and on the positive side, they are fixed-parameter tractable with respect to the total number of proposals or with respect to the total number of voters. We look into further natural parameters and study their influence on the computational complexity of both problems, thereby providing both tractability and intractability results. Furthermore, we provide tight combinatorial bounds on the worst-case size of an accepted ballot in terms of the number of voters. © 2015 ACM.",Approval balloting with majority threshold; Collective binary decision making; Control by proposal bundling; Voting on multiple issues,Bins; Approval balloting; Binary decision; Binary decision making; Combinatorial bounds; Multiple issue; Negative sides; NP Complete; Positive sides; Decision making
An expressive mechanism for auctions on the Web,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029353197&doi=10.1145%2f2716312&partnerID=40&md5=516a7d06f99630866fbb7223168a6677,"Auctions are widely used on the Web. Applications range from sponsored search to platforms such as eBay. In these and in many other applications the auctions in use are single-/multi-item auctions with unit demand. The main drawback of standard mechanisms for this type of auctions, such as VCG and GSP, is the limited expressiveness that they offer to the bidders. The General Auction Mechanism (GAM) of Aggarwal et al. [2009] takes a first step toward addressing the problem of limited expressiveness by computing a bidder optimal, envy-free outcome for linear utility functions with identical slopes and a single discontinuity per bidder-item pair. We show that in many practical situations this does not suffice to adequately model the preferences of the bidders, and we overcome this problem by presenting the first mechanism for piecewise linear utility functions with nonidentical slopes and multiple discontinuities. Our mechanism runs in polynomial time. Like GAM it is incentive compatible for inputs that fulfill a certain nondegeneracy assumption, but our requirement is more general than the requirement of GAM. For discontinuous utility functions that are nondegenerate as well as for continuous utility functions the outcome of our mechanism is a competitive equilibrium. We also show how our mechanism can be used to compute approximately bidder optimal, envyfree outcomes for a general class of continuous utility functions via piecewise linear approximation. Finally, we prove hardness results for even more expressive settings. © 2015 ACM.",Bidder optimality; Competitive equilibrium; Envy freeness; Expressiveness; General Auction Mechanism; GSP; VCG,Piecewise linear techniques; Polynomial approximation; Auction mechanisms; Competitive equilibrium; Envy freeness; Expressiveness; GSP; Optimality; VCG; Commerce
Auctions for heterogeneous items and budget limits,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045365171&doi=10.1145%2f2818351&partnerID=40&md5=ee2fecf788acabe395010ed8e6fee73d,"We study individual rational, Pareto-optimal, and incentive compatible mechanisms for auctions with heterogeneous items and budget limits. We consider settings with multiunit demand and additive valuations. For single-dimensional valuations we prove a positive result for randomized mechanisms, and a negative result for deterministic mechanisms. While the positive result allows for private budgets, the negative result is for public budgets. For multidimensional valuations and public budgets we prove an impossibility result that applies to deterministic and randomized mechanisms. Taken together this shows the power of randomization in certain settings with heterogeneous items, but it also shows its limitations. © 2015 ACM.",Algorithmic game theory; Auction theory; Budget limits; Clinching auction; Pareto optimality,Commerce; Game theory; Pareto principle; Algorithmic Game Theory; Auction theory; Budget limits; Clinching auction; Pareto-optimality; Budget control
Auctioning time: Truthful auctions of heterogeneous divisible goods,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031933903&doi=10.1145%2f2833086&partnerID=40&md5=105a6c6b36da9fd6a1c41e43420df1d9,"We consider the problem of auctioning time - a one-dimensional continuously-divisible heterogeneous good - among multiple agents. Applications include auctioning time for using a shared device, auctioning TV commercial slots, and more. Different agents may have different valuations for the different possible intervals; the goal is to maximize the aggregate utility. Agents are self-interested and may misrepresent their true valuation functions if this benefits them. Thus, we seek auctions that are truthful. Considering the case that each agent may obtain a single interval, the challenge is twofold, as we need to determine both where to slice the interval, and who gets what slice. We consider two settings: discrete and continuous. In the discrete setting, we are given a sequence of m indivisible elements (e1, ⋯, em), and the auction must allocate each agent a consecutive subsequence of the elements. In the continuous setting, we are given a continuous, infinitely divisible interval, and the auction must allocate each agent a subinterval. The agents' valuations are nonatomic measures on the interval. We show that, for both settings, the associated computational problem is NP-complete even under very restrictive assumptions. Hence, we provide approximation algorithms. For the discrete case, we provide a truthful auctioning mechanism that approximates the optimal welfare to within a logmfactor. The mechanism works for arbitrary monotone valuations. For the continuous setting, we provide a truthful auctioning mechanism that approximates the optimal welfare to within an O(log n) factor (where n is the number of agents). Additionally, we provide a truthful 2-approximation mechanism for the case that all pieces must be of some fixed size. © 2015 ACM.",Auctions; Cake cutting; Resource allocation,Approximation algorithms; Commerce; Multi agent systems; One dimensional; Resource allocation; Auctions; Cake cuttings; Computational problem; Discrete settings; Infinitely divisible; Multiple agents; Truthful auctions; Valuation function; Optimization
Strategyproof matching with minimum quotas,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944693434&doi=10.1145%2f2841226&partnerID=40&md5=1941180252d6e1602dad8a608a6208ea,"We study matching markets in which institutions may have minimum and maximum quotas. Minimum quotas are important in many settings, such as hospital residency matching, military cadet matching, and school choice, but current mechanisms are unable to accommodate them, leading to the use of ad hoc solutions. We introduce two new classes of strategyproof mechanisms that allow for minimum quotas as an explicit input and show that our mechanisms improve welfare relative to existing approaches. Because minimum quotas cause a theoretical incompatibility between standard fairness and nonwastefulness properties, we introduce new second-best axioms and show that they are satisfied by our mechanisms. Last, we use simulations to quantify (1) the magnitude of the potential efficiency gains from our mechanisms and (2) how far the resulting assignments are from the first-best definitions of fairness and nonwastefulness. Combining both the theoretical and simulation results, we argue that our mechanisms will improve the performance of matching markets with minimum quota constraints in practice. Copyright © 2015 ACM.",Deferred acceptance; Envy; Fairness; Lower bounds; Minimum quotas; School choice; Strategyproofness,Deferred acceptance; Envy; Fairness; Lower bounds; Minimum quotas; School choice; Strategy-proofness; Commerce
Introduction to the special issue on WINE'13,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045364768&doi=10.1145%2f2796538&partnerID=40&md5=a3d419566dff83f17b4b9e2f9dd17144,[No abstract available],,
Subsidized prediction mechanisms for risk-averse agents,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045354633&doi=10.1145%2f2716327&partnerID=40&md5=715df0a11ba4f998bf09065e8dc46100,"In this article, we study the design and characterization of sequential prediction mechanisms in the presence of agents with unknown risk aversion. We formulate a collection of desirable properties for any sequential forecasting mechanism. We present a randomized mechanism that satisfies all of these properties, including a guarantee that it is myopically optimal for each agent to report honestly, regardless of her degree of risk aversion. We observe, however, that the mechanism has an undesirable side effect: each agent's expected reward, normalized against the inherent value of her private information, decreases exponentially with the number of agents. We prove a negative result showing that this is unavoidable: any mechanism that is myopically strategyproof for agents of all risk types, while also satisfying other natural properties of sequential forecasting mechanisms, must sometimes result in a player getting an exponentially small expected normalized reward.",Analytical modeling; Electronic financial markets; Electronic markets and auctions,Analytical models; Commerce; Degree of risks; Electronic markets and auctions; Natural properties; Prediction mechanisms; Private information; Randomized mechanism; Sequential prediction; Strategy proofs; Forecasting
Truthfulness flooded domains and the power of verification for mechanism design,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014286495&doi=10.1145%2f2790086&partnerID=40&md5=5109b6af6e369787ba246211684b8ac4,"In this work, we investigate the reasons that make symmetric partial verification essentially useless in virtually all domains. Departing from previous work, we consider any possible (finite or infinite) domain and general symmetric verification. We identify a natural property, namely, that the correspondence graph of a symmetric verification M is strongly connected by finite paths along which the preferences are consistent with the preferences at the endpoints, and prove that this property is sufficient for the equivalence of truthfulness and M-truthfulness. In fact, defining appropriate versions of this property, we obtain this result for deterministic and randomized mechanisms with and without money. Moreover, we show that a slightly relaxed version of this property is also necessary for the equivalence of truthfulness and M-truthfulness. Our conditions provide a generic and convenient way of checking whether truthful implementation can take advantage of any symmetric verification scheme in any (finite or infinite) domain. Since the simplest symmetric verification is the local verification, specific cases of our result are closely related, in the case without money, to the research about the equivalence of local truthfulness and global truthfulness. To complete the picture, we consider asymmetric verification and prove that a social choice function is M-truthfully implementable by some asymmetric verification M if and only if f does not admit a cycle of profitable deviations.",Algorithmic mechanism design; Social choice; Verification,Verification; Algorithmic mechanism design; Mechanism design; Natural properties; Partial verification; Randomized mechanism; Social choice; Social choice functions; Strongly connected; Machine design
Query complexity of correlated equilibrium,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009422347&doi=10.1145%2f2785668&partnerID=40&md5=64c9b87b0cd4792f7fa9e8330463879d,"We study lower bounds on the query complexity of determining correlated equilibrium. In particular, we consider a query model in which an n-player game is specified via a black box that returns players' utilities at pure action profiles. In this model, we establish that in order to compute a correlated equilibrium, any deterministic algorithm must query the black box an exponential (in n) number of times. © 2015 ACM 2167-8375/2015/07-ART22 $15.00.",Computation of equilibrium; Correlated equilibrium; Query complexity,Algorithms; Black boxes; Correlated equilibria; Deterministic algorithms; Lower bounds; N-player games; Query complexity; Query model; Computation theory
Restoring pure equilibria to weighted congestion games,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037027043&doi=10.1145%2f2781678&partnerID=40&md5=2f53e1bee563a8019bfb9fb5c286ec4a,"Congestion games model several interesting applications, including routing and network formation games, and also possess attractive theoretical properties, including the existence of and convergence of natural dynamics to a pure Nash equilibrium. Weighted variants of congestion games that rely on sharing costs proportional to players' weights do not generally have pure-strategy Nash equilibria. We propose a new way of assigning costs to players with weights in congestion games that recovers the important properties of the unweighted model. This method is derived from the Shapley value, and it always induces a game with a (weighted) potential function. For the special cases of weighted network cost-sharing and weighted routing games with Shapley value-based cost shares, we prove tight bounds on the worst-case inefficiency of equilibria. For weighted network cost-sharing games, we precisely calculate the price of stability for any given player weight vector, while for weighted routing games, we precisely calculate the price of anarchy, as a parameter of the set of allowable cost functions. © 2015 ACM.",Price of anarchy; Price of stability; Weighted congestion games; Weighted shapley value,Cost effectiveness; Cost functions; Game theory; Network routing; Telecommunication networks; Congestion Games; Network formation games; Potential function; Price of anarchy; Price of Stability; Pure Nash equilibrium; Weighted networks; Weighted shapley value; Costs
Revenue maximization with nonexcludable goods,2015,ACM Transactions on Economics and Computation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045361531&doi=10.1145%2f2790131&partnerID=40&md5=f742e4dfb6d8767f94cb24e680efdb28,"We study the design of revenue-maximizing mechanisms for selling nonexcludable public goods. In particular, we study revenue-maximizing mechanisms in Bayesian settings for facility location problems on graphs where no agent can be excluded from using a facility that has been constructed. We show that the pointwise optimization problem involved in implementing the revenue optimal mechanism, namely, optimizing over arbitrary profiles of virtual values, is hard to approximate within a factor of Ω(n2-∈) (assuming P ≠ NP) even in star graphs. Furthermore, we show that optimizing the expected revenue is APX-hard. However, in a relevant special case, rooted version with identical distributions, we construct polynomial time truthful mechanisms that approximate the optimal expected revenue within a constant factor. We also study the effect of partially mitigating nonexcludability by collecting tolls for using the facilities. We show that such ""posted-price"" mechanisms obtain significantly higher revenue and often approach the optimal revenue obtainable with full excludability.",Nonexcludability; Pricing; Revenue maximization,Costs; Optimization; Polynomial approximation; Arbitrary profile; Facility location problem; Nonexcludability; Optimal mechanism; Optimization problems; Revenue maximization; Revenue maximizing; Truthful mechanisms; Economics
