Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Multi-donor Neural Transfer Learning for Genetic Programming,2022,ACM Transactions on Evolutionary Learning and Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177877531&doi=10.1145%2f3563043&partnerID=40&md5=31fd36691c9c57fb6ad64ef7624eb215,"Genetic programming (GP), for the synthesis of brand new programs, continues to demonstrate increasingly capable results towards increasingly complex problems. A key challenge in GP is how to learn from the past so that the successful synthesis of simple programs can feed into more challenging unsolved problems. Transfer Learning (TL) in the literature has yet to demonstrate an automated mechanism to identify existing donor programs with high-utility genetic material for new problems, instead relying on human guidance. In this article we present a transfer learning mechanism for GP which fills this gap: we use a Turing-complete language for synthesis, and demonstrate how a neural network (NN) can be used to guide automated code fragment extraction from previously solved problems for injection into future problems. Using a framework which synthesises code from just 10 input-output examples, we first study NN ability to recognise the presence of code fragments in a larger program, then present an end-to-end system which takes only input-output examples and generates code fragments as it solves easier problems, then deploys selected high-utility fragments to solve harder ones. The use of NN-guided genetic material selection shows significant performance increases, on average doubling the percentage of programs that can be successfully synthesised when tested on two different problem corpora, compared with a non-transfer-learning GP baseline. © 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",genetic algorithms; Genetic programming; neural networks; transfer learning,Genetic programming; Code fragments; Complex problems; Genetic materials; Input-output; Learn+; Neural-networks; New projects; Simple++; Transfer learning; Unsolved problems; artificial neural network; automation; genetic algorithm; input-output analysis; performance assessment; Genetic algorithms
AutoML Loss Landscapes,2022,ACM Transactions on Evolutionary Learning and Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149661110&doi=10.1145%2f3558774&partnerID=40&md5=07af026802ac5b7fd152f7e570f8c1ee,"As interest in machine learning and its applications becomes more widespread, how to choose the best models and hyper-parameter settings becomes more important. This problem is known to be challenging for human experts, and consequently, a growing number of methods have been proposed for solving it, giving rise to the area of automated machine learning (AutoML). Many of the most popular AutoML methods are based on Bayesian optimization, which makes only weak assumptions about how modifying hyper-parameters effects the loss of a model. This is a safe assumption that yields robust methods, as the AutoML loss landscapes that relate hyper-parameter settings to loss are poorly understood. We build on recent work on the study of one-dimensional slices of algorithm configuration landscapes by introducing new methods that test n-dimensional landscapes for statistical deviations from uni-modality and convexity, and we use them to show that a diverse set of AutoML loss landscapes are highly structured. We introduce a method for assessing the significance of hyper-parameter partial derivatives, which reveals that most (but not all) AutoML loss landscapes only have a small number of hyper-parameters that interact strongly. To further assess hyper-parameter interactions, we introduce a simplistic optimization procedure that assumes each hyper-parameter can be optimized independently, a single time in sequence, and we show that it obtains configurations that are statistically tied with optimal in all of the n-dimensional AutoML loss landscapes that we studied. Our results suggest many possible new directions for substantially improving the state of the art in AutoML. © 2022 Association for Computing Machinery.",AutoML; hyper-parameter optimization; Landscape analysis,Automated machine learning; Automated machines; Best model; Hyper-parameter; Hyper-parameter optimizations; ITS applications; Landscape analysis; Machine learning applications; Machine-learning; Parameter-setting; algorithm; Bayesian analysis; landscape; machine learning; one-dimensional modeling; optimization; Machine learning
Analysis of Evolutionary Diversity Optimization for Permutation Problems,2022,ACM Transactions on Evolutionary Learning and Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167678283&doi=10.1145%2f3561974&partnerID=40&md5=835143ad821e53cb72094c11a0e8e9c8,"Generating diverse populations of high-quality solutions has gained interest as a promising extension to the traditional optimization tasks. This work contributes to this line of research with an investigation on evolutionary diversity optimization for three of the most well-studied permutation problems: the Traveling Salesperson Problem (TSP), both symmetric and asymmetric variants, and the Quadratic Assignment Problem (QAP). It includes an analysis of the worst-case performance of a simple mutation-only evolutionary algorithm with different mutation operators, using an established diversity measure. Theoretical results show that many mutation operators for these problems guarantee convergence to maximally diverse populations of sufficiently small size within cubic to quartic expected runtime. On the other hand, the results regarding QAP suggest that strong mutations give poor worst-case performance, as mutation strength contributes exponentially to the expected runtime. Additionally, experiments are carried out on QAPLIB and synthetic instances in unconstrained and constrained settings, and reveal much more optimistic practical performances while corroborating the theoretical findings regarding mutation strength. These results should serve as a baseline for future studies. © 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",diversity maximization; Evolutionary algorithms; quadratic assignment problem; runtime analysis; traveling salesperson problem,Combinatorial optimization; Traveling salesman problem; Diversity maximization; Evolutionary diversity; Mutation operators; Optimisations; Permutation problems; Quadratic assignment problems; Run-time analysis; Runtimes; Traveling salesperson problem; Worst-case performance; algorithm; computer simulation; data quality; evolution; experimental study; future prospect; mathematical analysis; numerical model; optimization; performance assessment; research work; theoretical study; Evolutionary algorithms
On the Design of a Matrix Adaptation Evolution Strategy for Optimization on General Quadratic Manifolds,2022,ACM Transactions on Evolutionary Learning and Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169024438&doi=10.1145%2f3551394&partnerID=40&md5=07ad659358ca885eb52e53b21d2499e3,"An evolution strategy design is presented that allows for an evolution on general quadratic manifolds. That is, it covers elliptic, parabolic, and hyperbolic equality constraints. The peculiarity of the presented algorithm design is that it is an interior point method. It evaluates the objective function only for feasible search parameter vectors and it evolves itself on the nonlinear constraint manifold. Such a characteristic is particularly important in situations where it is not possible to evaluate infeasible parameter vectors, e.g., in simulation-based optimization. This is achieved by a closed form transformation of an individual's parameter vector, which is in contrast to iterative repair mechanisms. This constraint handling approach is incorporated into a matrix adaptation evolution strategy making such algorithms capable of handling problems containing the constraints considered. Results of different experiments are presented. A test problem consisting of a spherical objective function and a single hyperbolic/parabolic equality constraint is used. It is designed to be scalable in the dimension. As a further benchmark, the Thomson problem is used. Both problems are used to compare the performance of the developed algorithm with other optimization methods supporting constraints. The experiments show the effectiveness of the proposed algorithm on the considered problems. Additionally, an idea for handling multiple constraints is discussed. And for a better understanding of the dynamical behavior of the proposed algorithm, single run dynamics are presented. © 2022 Association for Computing Machinery.",constraint handling by repair; elliptic constraint; hyperbolic constraint; Matrix adaptation evolution strategy; nonlinear constraint; parabolic constraint,Constraint handling; Evolutionary algorithms; Hyperbolic functions; Optimization; Repair; Constraint handling; Constraint handling by repair; Elliptic constraint; Evolution strategies; Hyperbolic constraint; matrix; Matrix adaptation evolution strategy; Non-linear constraints; Parabolic constraint; Parabolics; algorithm; design method; optimization; vector; Iterative methods
Deep Genetic Programming Trees Are Robust,2022,ACM Transactions on Evolutionary Learning and Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177835616&doi=10.1145%2f3539738&partnerID=40&md5=315a08e25fc15cf798f9c5dcbb30c505,"We sample the genetic programming tree search space and show it is smooth, since many mutations on many test cases have little or no fitness impact. We generate uniformly at random high-order polynomials composed of 12,500 and 750,000 additions and multiplications and follow the impact of small changes to them. From information theory, 32 bit floating point arithmetic is dissipative, and even with 1,501 test cases, deep mutations seldom have any impact on fitness. Absolute difference between parent and child evaluation can grow as well as fall further from the code change location, but the number of disrupted fitness tests falls monotonically. In many cases, deeply nested expressions are robust to crossover syntax changes, bugs, errors, run time glitches, perturbations, and so on, because their disruption falls to zero, and so it fails to propagate beyond the program. © 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",correctness attraction; diversity; error hiding; evolvability; failed disruption propagation; FDP; FEP; GP fitness landscape; Heritability; information funnels; information theory; introns; invisible faults; mutational robustness; neutral networks; sandpile 1/f powerlaw; SBSE; self-organised criticality; self-similar fractal; SOC; software robustness; software testing; theory of bloat,Digital arithmetic; Genetic algorithms; Information theory; Petroleum reservoir evaluation; Program debugging; Software testing; Correctness attraction; Diversity; Error hiding; Evolvability; Failed disruption propagation; FDP; FEP; Fitness landscape; GP fitness landscape; Heritability; Information funnel; Intron; Invisible fault; Mutational robustness; Neutral network; Power-law; Sandpile 1/f powerlaw; SBSE; Self-organized criticality; Self-similar fractals; SOC; Software robustness; Software testings; Theory of bloat; correction; diversity index; foreign direct investment; genetic analysis; mutation; tree; Genetic programming
Analysis of Evolved Response Thresholds for Decentralized Dynamic Task Allocation,2022,ACM Transactions on Evolutionary Learning and Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177847959&doi=10.1145%2f3530821&partnerID=40&md5=c70486ad9f6f47ae42b686bdf119d760,"In this work, we investigate the application of a multi-objective genetic algorithm to the problem of task allocation in a self-organizing, decentralized, threshold-based swarm. We use a multi-objective genetic algorithm to evolve response thresholds for a simulated swarm engaged in dynamic task allocation problems: two-dimensional and three-dimensional collective tracking. We show that evolved thresholds not only outperform uniformly distributed thresholds and dynamic thresholds but achieve nearly optimal performance on a variety of tracking problem instances (target paths). More importantly, we demonstrate that thresholds evolved for some problem instances generalize to all other problem instances, eliminating the need to evolve new thresholds for each problem instance to be solved. We analyze the properties that allow these paths to serve as universal training instances and show that they are quite natural.After a priori evolution, the response thresholds in our system are static. The problem instances solved by the swarms are highly dynamic, with schedules of task demands that change over time with significant differences in rate and magnitude of change. That the swarm is able to achieve nearly optimal results refutes the common assumption that a swarm must be dynamic to perform well in a dynamic environment. © 2022 Association for Computing Machinery.",generalization; Inter-agent variation; response thresholds,Allocation problems; Decentralised; Dynamic task allocation; Generalisation; Inter-agent variation; Multi-objectives genetic algorithms; Problem instances; Response threshold; Self-organising; Task allocation; computer simulation; genetic algorithm; threshold; Genetic algorithms
A Survey on High-dimensional Gaussian Process Modeling with Application to Bayesian Optimization,2022,ACM Transactions on Evolutionary Learning and Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139906022&doi=10.1145%2f3545611&partnerID=40&md5=4300827877f3a690f2d6e84a45c43c79,"Bayesian Optimization (BO), the application of Bayesian function approximation to finding optima of expensive functions, has exploded in popularity in recent years. In particular, much attention has been paid to improving its efficiency on problems with many parameters to optimize. This attention has trickled down to the workhorse of high-dimensional BO, high-dimensional Gaussian process regression, which is also of independent interest. The great flexibility that the Gaussian process prior implies is a boon when modeling complicated, low-dimensional surfaces but simply says too little when dimension grows too large. A variety of structural model assumptions have been tested to tame high dimensions, from variable selection and additive decomposition to low-dimensional embeddings and beyond. Most of these approaches in turn require modifications of the acquisition function optimization strategy as well. Here, we review the defining structural model assumptions and discuss the benefits and drawbacks of these approaches in practice. © 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",active subspace; additivity; Black-box optimization; low-intrinsic dimensionality; variable selection,Gaussian noise (electronic); Optimization; Active subspace; Additivity; Bayesian optimization; Black-box optimization; High-dimensional; Higher-dimensional; Intrinsic dimensionalities; Low-intrinsic dimensionality; Structural modeling; Variables selections; Bayesian analysis; Gaussian method; modeling; optimization; Gaussian distribution
Code and Data Synthesis for Genetic Improvement in Emergent Software Systems,2022,ACM Transactions on Evolutionary Learning and Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177882325&doi=10.1145%2f3542823&partnerID=40&md5=657cf2dc2152f5cdf8b4898e7ad58168,"Emergent software systems are assembled from a collection of small code blocks, where some of those blocks have alternative implementation variants; they optimise at run-time by learning which compositions of alternative blocks best suit each deployment environment encountered.In this paper we study the automated synthesis of new implementation variants for a running system using genetic improvement (GI). Typical GI approaches, however, rely on large amounts of data for accurate training and large code bases from which to source genetic material. In emergent systems we have neither asset, with sparsely sampled runtime data and small code volumes in each building block.We therefore examine two approaches to more effective GI under these constraints: the synthesis of data from sparse samples to construct statistically representative larger training corpora; and the synthesis of code to counter the relative lack of genetic material in our starting population members.Our results demonstrate that a mixture of synthesised and existing code is a viable optimisation strategy, and that phases of increased synthesis can make GI more robust to deleterious mutations. On synthesised data, we find that we can produce equivalent optimisation compared to GI methods using larger data sets, and that this optimisation can produce both useful specialists and generalists. © 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",data sampling; data synthesis; emergent systems; fitness function; Genetic improvement; language; optimization,Computer software; Population statistics; Data sampling; Data synthesis; Emergent system; Fitness functions; Genetic improvements; Genetic materials; Language; Optimisations; Software-systems; Synthesised; data set; language; optimization; sampling; software; Personnel training
IOHanalyzer: Detailed Performance Analyses for Iterative Optimization Heuristics,2022,ACM Transactions on Evolutionary Learning and Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174274837&doi=10.1145%2f3510426&partnerID=40&md5=7e71fe82c278c1c91c9c6d0adf7aaaca,"Benchmarking and performance analysis play an important role in understanding the behaviour of iterative optimization heuristics (IOHs) such as local search algorithms, genetic and evolutionary algorithms, Bayesian optimization algorithms, etc. This task, however, involves manual setup, execution, and analysis of the experiment on an individual basis, which is laborious and can be mitigated by a generic and well-designed platform. For this purpose, we propose IOHanalyzer, a new user-friendly tool for the analysis, comparison, and visualization of performance data of IOHs.Implemented in R and C++, IOHanalyzer is fully open source. It is available on CRAN and GitHub. IOHanalyzer provides detailed statistics about fixed-target running times and about fixed-budget performance of the benchmarked algorithms with a real-valued codomain, single-objective optimization tasks. Performance aggregation over several benchmark problems is possible, for example in the form of empirical cumulative distribution functions. Key advantages of IOHanalyzer over other performance analysis packages are its highly interactive design, which allows users to specify the performance measures, ranges, and granularity that are most useful for their experiments, and the possibility to analyze not only performance traces, but also the evolution of dynamic state parameters.IOHanalyzer can directly process performance data from the main benchmarking platforms, including the COCO platform, Nevergrad, the SOS platform, and IOHexperimenter. An R programming interface is provided for users preferring to have a finer control over the implemented functionalities.  © 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",black-box optimization; Evolutionary computation; performance analysis,Budget control; C++ (programming language); Data visualization; Distribution functions; Genetic algorithms; Iterative methods; Open source software; Bayesian optimization algorithms; Black-box optimization; Iterative Optimization; Local search algorithm; Manual analysis; Manual setups; Optimization heuristics; Performance; Performance data; Performances analysis; algorithm; Bayesian analysis; benchmarking; experimental study; optimization; Benchmarking
Reusability and Transferability of Macro Actions for Reinforcement Learning,2022,ACM Transactions on Evolutionary Learning and Optimization,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174231800&doi=10.1145%2f3514260&partnerID=40&md5=eee8e328a009d2dd2588b3ee19751828,"Conventional reinforcement learning (RL) typically determines an appropriate primitive action at each timestep. However, by using a proper macro action, defined as a sequence of primitive actions, an RL agent is able to bypass intermediate states to a farther state and facilitate its learning procedure. The problem we would like to investigate is what associated beneficial properties that macro actions may possess. In this article, we unveil the properties of reusability and transferability of macro actions. The first property, reusability, means that a macro action derived along with one RL method can be reused by another RL method for training, while the second one, transferability, indicates that a macro action can be utilized for training agents in similar environments with different reward settings. In our experiments, we first derive macro actions along with RL methods. We then provide a set of analyses to reveal the properties of reusability and transferability of the derived macro actions.  © 2022 Association for Computing Machinery.",genetic algorithm; macro actions; Reinforcement learning; reusability; transferability,Genetic algorithms; Learning algorithms; Reinforcement learning; Conventional reinforcement learning; Intermediate state; Macro action; Primitive actions; Property; Reinforcement learning agent; Reinforcement learning method; Reinforcement learnings; Time step; Transferability; genetic algorithm; machine learning; Reusability
