Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Corrigendum,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976771780&doi=10.1145%2f212332.215264&partnerID=40&md5=caa3b0ba1098dc97c7b1ac11632b8eee,[No abstract available],,
Radiosity and Hybrid Methods,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029332591&doi=10.1145%2f212332.212347&partnerID=40&md5=d7d215bdc6fe35610d327a599097d32a,[No abstract available],,Algorithms; Computer simulation; Convergence of numerical methods; Image processing; Lighting; Numerical analysis; Complete two pass method; Conjugate gradient method; Distributed ray tracing method; Double path method; Global illumination problem; Hybrid method; Photosimulation; Radiosity method; Rendering equation; Residual image; Three dimensional computer graphics
Geometric Programming: A Programming Approach to Geometric Design,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029332522&doi=10.1145%2f212332.212349&partnerID=40&md5=f5e58fb789947772bb8e913a8f431953,[No abstract available],,Algorithms; Computer aided design; Computer graphics; Computer simulation; High level languages; Object recognition; Programming theory; Topology; Functional language; Generative modeling; Geometric programming; PLASM programming language; Polyhedra; Solid modeling; Syntactical level; Variational geometry; Computational geometry
An Empirical Study of Algorithms for Point-Feature Label Placement,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029332494&doi=10.1145%2f212332.212334&partnerID=40&md5=7ff68b66b482f805a75a605722e97536,"A major factor affecting the clarity of graphical displays that include text labels is the degree to which labels obscure display features (including other labels) as a result of spatial overlap. Point-feature label placement (PFLP) is the problem of placing text labels adjacent to point features on a map or diagram so as to maximize legibility. This problem occurs frequently in the production of many types of informational graphics, though it arises most often in automated cartography. In this paper we present a comprehensive treatment of the PFLP problem, viewed as a type of combinatorial optimization problem. Complexity analysis reveals that the basic PFLP problem and most interesting variants of it are NP-hard. These negative results help inform a survey of previously reported algorithms for PFLP; not surprisingly, all such algorithms either have exponential time complexity or are incomplete. To solve the PFLP problem in practice. then, we must rely on good heuristic methods. We propose two new methods, one based on a discrete form of gradient descent, the other on simulated annealing, and report on a series of empirical tests comparing these and the other known algorithms for the problem, Based on this study, the first to be conducted, we identify the best approaches as a function of available computation time. Categories and Subject Descriptors: H.5.2 [Information Interfaces and Presentation]: User interfaces-screen design. 1.2.1 [Artificial Intelligence]: Applications and Expert Systems-cartography. 1.3.5 [Computer Graphics]: Computational Geometry and Object Modeling-geometric algorithms, languages, and systems. General Terms: Algorithms, Experimentation. © 1995, ACM. All rights reserved.",Automated cartography; heuristic search; label placement; simulated annealing; stochastic methods,Algorithms; Computational complexity; Computational geometry; Computer simulation; Expert systems; Graphical user interfaces; Heuristic methods; Mapping; Optimization; Random processes; Empirical tests; Gradient descent; Graphical displays; Informational graphics; Point feature label placement; Computer graphics
Smooth B-Spline Illumination Maps for Bidirectional Ray Tracing,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029389450&doi=10.1145%2f225294.225296&partnerID=40&md5=2572a4969af8bc6088bbad300741ed61,"In this paper we introduce B-spline illumination maps and their generalizations and extensions for use in realistic image generation algorithms. The B-spline lighting functions (i.e., illumination maps) are defined as weighted probability density functions. The lighting functions can be estimated from random data and may be used in bidirectional distributed ray tracing programs as well as radiosity oriented algorithms. The use of these lighting functions in a bidirectional ray tracing system that can handle dispersion as well as the focusing of light through lenses is presented. © 1995, ACM. All rights reserved.",B-splines; bidirectional ray tracing; dispersion; illumination maps; nonparametric density estimation,Algorithms; Computer software; Estimation; Image processing; Lenses; Light; Lighting; Probability density function; Random processes; B-splines; Bidirectional ray tracing; Dispersion; Illumination maps; Image generation; Nonparametric density estimation; Radiosity oriented algorithm; Three dimensional computer graphics
Hierarchical Triangulation for Multiresolution Surface Description,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029388913&doi=10.1145%2f225294.225297&partnerID=40&md5=bba0c487d4fd2cf588d625e6b2ab82d3,"A new hierarchical triangle-based model for representing surfaces over sampled data is proposed, which is based on the subdivision of the surface domain into nested triangulations, called a hierarchical trlangulatron (HT ). The model allows compression of spatial data and representation of a surface at successively finer degrees of resolution, An HT is a collection of triangulations orgnnized in a tree, where each node, except for the root, is a triangulation refining a face belonging to its parent in the hierarchy. We present a topological model for representing an HT, and algorithms for its construction and for the extraction of a triangulation at a given degree of reso] ut ion The surfacc mode], called a hierarchicaz fricrngulated, surfare ( HTS ) is obtai ncd by associating data values with the vertices of triangles, and by defining suitable functions that describe the surface over each triangular patch. We consider an application of a piecewise-linear version of the IITS to interpolate topographical data, and we describe a specialized version of the construction algorithm that builds an HTS for a terrain starting from a high-resolution rectangw Iar grid of sampled data. Finally, we present an algorithm for extracting representations of terrain tit variable resolution aver the domain. (categories and Subject Descriptors: 1,3,5 [Computer Graphics]: Computational Geometry and object Modeling - (l~rt, e,.sure, salid, and abject representations; Object hierarchws General Terms: Algorithms, Design. © 1995, ACM. All rights reserved.",Hierarchical subdivision; multiresolution surface model; terrain model; triangulation,Algorithms; Computational geometry; Computer aided design; Data compression; Interpolation; Mathematical models; Surfaces; Topology; Hierarchical triangulation; Multiresolution surface model; Terrain model; Computer graphics
Further Experience with Controller-Based Automatic Motion Synthesis for Articulated Figures,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029387558&doi=10.1145%2f225294.225295&partnerID=40&md5=a0715b4a7f669c657ad9b6d21f3135a8,"We extend an earlier automatic motion-synthesis algorithm for physically realistic articulated figures in several ways. First, we summarize several incremental improvements to the original algorithm that improve its efficiency significantly and provide the user with some ability to influence what motions are generated. These techniques can be used by an animator to achieve a desired movement style. or they can be used to guarantee variety in tbe motions synthesized over several runs of the algorithm. Second, we report on new mechanisms that support tbe concatenation of existing, automatically generated motion controllers to produce complex, composite movement. Finally, we describe initial work on generalizing the techniques from 2D to 3D articulated figures. Taken together, these results illustrate the promise and challenges afforded by the controller-based approach to automatic motion synthesis for computer animation. Categories and Subject Descriptors: 1.2.6 [Artificial Intelligence]: Learning parameter [earntng. 1.2.8 [Artificial Intelligence]: Problem Solving, Control Methods and Search-heuristic methock. 1.3.7 [Computer Graphics]: Three-Dimensional Graphics and Realism animation. 1.6.3 [Simulation and Modeling]: Applications. General Terms: Algorithms, Experimentation. © 1995, ACM. All rights reserved.",Animation; evolutionary computation; heuristic metbods; machine learning; spacetime constraints; stochastic optimization,Algorithms; Automation; Constraint theory; Control equipment; Heuristic methods; Interactive computer graphics; Learning systems; Motion planning; Optimization; Problem solving; Random processes; Three dimensional computer graphics; Articulated figures; Automatic motion synthesis; Evolutionary computation; Spacetime constraints; Animation
Direct Construction of Polynomial Surfaces from Dense Range Images through Region Growing,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029284582&doi=10.1145%2f221659.221672&partnerID=40&md5=a61551ff84a4a7df045b038403bfbfb7,[No abstract available],,Algorithms; Computer aided design; Computer simulation; Computer vision; Image reconstruction; Image segmentation; Least squares approximations; Polynomials; Surfaces; Aesthetic surface design; Dense range images; Direct polynomial surface construction; Least squares surface fitting; Point/surface distance; Range image segmentation; Surface coherence; Surface reconstruction; Three dimensional computer graphics
Surface Fitting with Hierarchical Splines,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029286482&doi=10.1145%2f221659.221665&partnerID=40&md5=6c8ac95d220b80cf6e32f8b18d23a074,[No abstract available],,Computational geometry; Computational methods; Computer simulation; Curve fitting; Data compression; Fits and tolerances; Hierarchical systems; Problem solving; Surfaces; Tensors; Hierarchical splines; Surface fitting; Tensor product parametric spline surface; Computer graphics
Smoothing Polyhedra Made Easy,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029287022&doi=10.1145%2f221659.221670&partnerID=40&md5=1fedc02581674aabce45b840090bc18d,[No abstract available],,Algorithms; Computational geometry; Computer aided design; Mathematical models; Polynomials; Surfaces; Bernstein-Bezier coefficients; Corner cutting; Geometric continuity; Meshes; Polyhedra smoothing; Vertex degree; Computer graphics
Modeling with Cubic A-Patches,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029284558&doi=10.1145%2f221659.221662&partnerID=40&md5=82c111738e261ae18e50fd32ea58f2d6,[No abstract available],,Algorithms; Computational geometry; Computational methods; Computer aided design; Computer simulation; Interpolation; Polynomials; Topology; Triangulation; Algebraic surface patch; Bernstein-Bezier form; Cubic A patches; Freeform surface; Geometric continuity; Surface triangulation; Tetrahedron; Interactive computer graphics
Using Visual Texture for Information Display,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029236523&doi=10.1145%2f200972.200974&partnerID=40&md5=cfe1a4d3275f322b880d735f951c4f24,"Results from vision research are applied to the synthesis of visual texture for the purposes of information display. The literature surveyed suggests that the human visual system processes spatial information by means of parallel arrays of neurons that can be modeled by Gabor functions. Based on the Gabor model, it is argued that the fundamental dimensions of texture for human perception are orientation, size 1995, and contrast. It is shown that there are a number of trade-offs in the density with which information can be displayed using texture. Two of these are (1) a trade-off between the size of the texture elements and the precision with which the location can be specified, and (2) the precision with which texture orientation can be specified and the precision with which texture size can be specified. Two algorithms for generating texture are included. © 1995, ACM. All rights reserved.",Gabor functions; information display; scientific visualization; texture; visualization,Algorithms; Computer graphics; Computer simulation; Display devices; Functions; Human engineering; Parallel processing systems; Visualization; Gabor functions; Information display; Scientific visualization; Visual texture; Computer vision
Device-Directed Rendering,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029214401&doi=10.1145%2f200972.200977&partnerID=40&md5=be455fbbd8f3688e099513aace4d6fba,"Rendering systems can produce images that include the entire range of visible colors. Imaging hardware, however, can reproduce only a subset of these colors: the device gamut. An image can only be correctly displayed if all of its colors lie inside of the gamut of the target device. Current solutions to this problem are either to correct the scene colors by hand, or to apply gamut mapping techniques to the final image. We propose a methodology called device-directed rendering that performs scene color adjustments automatically. Device-directed rendering applies classic minimization techniques to a symbolic representation of the image that describes the relationship of the scene lights and surfaces to the pixel colors. This representation can then be evaluated to produce an image that is guaranteed to be in gamut. Although our primary application has been correcting out-of-gamut colors, this methodology can be generally applied to the problem of adjusting a scene description to accommodate constraints on the output image pixel values. © 1995, ACM. All rights reserved.",constrained color selection; device-independent color; inverse problems,Algorithms; Color; Color image processing; Inverse problems; Surfaces; Three dimensional computer graphics; Color selection; Device directed rendering; Device independence; Image generation; Pixels; Visible colors; Computer graphics
Adjoint Equations and Random Walks for Illumination Computation,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029214399&doi=10.1145%2f200972.200985&partnerID=40&md5=c5046732069fd27891f5e88d7d70c302,"In this paper we introduce the potential equation that along with the rendering equation forms an adjoint system of equations and provides a mathematical frame work for all known approaches to illumination computation based on geometric optics. The potential equation is more natural for illumination computations that simulate light propagation starting from the light sources, such as progressive radiosity and particle tracing. Using the mathematical handles provided by this framework and the random-walk solution model, we present a number of importance sampling schemes for improving the computation of flux estimation. Of particular significance is the use of approximately computed potential for directing a majority of the random walks through regions of importance in the environment, thus reducing the variance in the estimates of luminous flux in these regions. Finally, results from a simple implementation are presented to demonstrate the high-efficiency improvements made possible by the use of these techniques. © 1995, ACM. All rights reserved.",adjoint equations; forward simulation; global illumination; illumination potential equation; importance transformation; Monte Carlo; particle tracing; path tracing; progressive radiosity; random walk,Computational methods; Computer simulation; Estimation; Light propagation; Lighting; Mathematical models; Mathematical transformations; Monte Carlo methods; Random processes; Adjoint equations; Illumination computation; Illumination potential equation; Particle tracing; Path tracing; Random walk; Computer graphics
Intersecting Solids on a Massively Parallel Processor,1995,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029239057&doi=10.1145%2f200972.200976&partnerID=40&md5=0e13e6d786d017df54bb3d2f44d6c96c,"Solid modeling underlies many technologies that are key to modern manufacturing. These range from CAD systems to robot simulators, from finite-element analysis to integrated circuit process modeling. The accuracy, and hence the utility, of these models is often constrained by the amount of computer time required to perform the desired operations. In this paper we present, in detail, an efficient algorithm for parallel intersections of solids using the Connection Machine, a massively parallel SIMD processor. We describe the data structure for representing the solid models and detail the intersection algorithm, giving special attention to implementation issues. We provide performance results, comparing the parallel algorithm to a serial intersection algorithm. © 1995, ACM. All rights reserved.",CAGD; grid data; hierarchical descriptions; spline surfaces; tensor product,Algorithms; Computer aided design; Computer simulation; Data structures; Finite element method; Hierarchical systems; Parallel algorithms; Performance; Response time (computer systems); Surfaces; Tensors; Computer time; Connection machine; Hierarchical descriptions; Massively parallel processor; Solids intersection; Spline surfaces; Parallel processing systems
Projectively Invariant Intersection Detections for Solid Modeling,1994,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028476363&doi=10.1145%2f195784.197485&partnerID=40&md5=cef0defef1ec2d7cc12a406979e70cd6,"An intersection detection method for solid modeling which is invariant under projective transformations is presented. We redefine the fundamental geometric figures necessary to describe solid models and their dual figures in a homogeneous coordinate representation. Then we derive conditions, which are projectively invariant, for intersections between these primitives. We will show that a geometric processor based on the 4 x 4 determinant method is applicable to a wide range of problems with little modification. This method has applications in intersection detections of rational parametric curves and surfaces and hidden-line/surface removal algorithms. © 1994, ACM. All rights reserved.",4 × 4 determinant method; homogeneous coordinates; insertion detections and computations; perspective transformation; projective invariance,Algorithms; Computational complexity; Computer graphics; Computer simulation; Linear algebra; Mathematical transformations; Numerical analysis; Determinant method; Geometric transformation; Homogeneous coordinate representation; Intersection detection; Rational parametric curves; Solid modeling; Surface removal algorithms; Computational geometry
Smart Telepointers: Maintaining Telepointer Consistency in the Presence of user Interface Customization,1994,ACM Transactions on Graphics (TOG),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028478551&doi=10.1145%2f195784.197492&partnerID=40&md5=0417dd68ac8736277076cf199e37457c,"Conventional methods for maintaining telepointer consistency in shared windows do not work in the presence of per-user window customizations. This article presents the notion of a “smart telepointer,” which is a telepointer that works correctly in spite of such customizations. Methods for smart-telepointer implementation are discussed. © 1994, ACM. All rights reserved.",groupware; smart telepointers; telepointers,Computer networks; Interactive computer graphics; Multiuser interfaces; Shared windows; Smart telepointers; User interface customization; Graphical user interfaces
