Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Introduction to the Special Issue on Video Information Retrieval,1995,ACM Transactions on Information Systems (TOIS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976764608&doi=10.1145%2f211430.215258&partnerID=40&md5=331a34dd4e813d60d57600106eb38290,[No abstract available],,
Some Inconsistencies and Misidentified Modeling Assumptions in Probabilistic Information Retrieval,1995,ACM Transactions on Information Systems (TOIS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029214772&doi=10.1145%2f195705.195735&partnerID=40&md5=6305e50bfbc2e63f496f4a6fc399eca3,[No abstract available],assumptions; bibliographic searching; consistency; document retrieval; independence; logic; modeling,Bibliographic retrieval systems; Data structures; Hazards and race conditions; Online searching; Probabilistic logics; Probability; Statistical methods; Bibliographic searching; Binary independence model; Document retrieval; Information retrieval
XMovie: Architecture and Implementation of a Distributed Movie System,1995,ACM Transactions on Information Systems (TOIS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976751916&doi=10.1145%2f211430.211440&partnerID=40&md5=4b0680cbb7fce2aa2e2946e44247c37e,"We describe a system for storing, transmitting, and presenting digital movies in a computer network. The hardware used in the system is standard hardware, as found in typical workstations today; no special hardware is required, but if available it can be used to provide better performance The XMovie system has several innovative features. Frost, it contains a new algorithm for the gradual adaptation of the color lookup table during the presentation of the movie to ensure optimal color quality on low-end workstations. Second, it is a multistandard system supporting the compression techniques MPEG, Motion JPEG, and a newly developed extension to the well-known Color Cell Compression method. Third, it contains AdFEC, a new adaptable forward error correction method for our movie transmission protocol. Categories and Subject Descriptors: C.2.2 [Computer-Communications Networks]: Network Protocols—protocol architecture; C.2.4 [Computer-Communications Networks]: Distributed Systems—zhstributed apphcations; H.5. 1 [Information Interfaces and Presentation]: Multimedia Information Systems—uideo (e.g., ape, dLsk, DVI ); H.5.2 [Information Interfaces and Presentation]: User Interfaces—wzndozoing systems: 1,4.2 [Image Processing]: Compression (Coding) —appromnzate methods General Terms: Algorithms, Performance. © 1995, ACM. All rights reserved.",Digital video; distributed multimedia system; software motion picture; transmission protocol,
On Modeling Information Retrieval with Probabilistic Inference,1995,ACM Transactions on Information Systems (TOIS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029214138&doi=10.1145%2f195705.195713&partnerID=40&md5=162bdec6845b8c5d3533837eff477ac3,"This article examines and extends the logical models of information retrieval in the context of probability theory. The fundamental notions of term weights and relevance are given probabilistic interpretations. A unified framework is developed for modeling the retrieval process with probabilistic inference. This new approach provides a common conceptual and mathematical basis for many retrieval models, such as the Boolean, fuzzy set, vector space, and conventional probabilistic models. Within this framework, the underlying assumptions employed by each model are identified, and the inherent relationships between these models are analyzed. Although this article is mainly a theoretical analysis of probabilistic inference for information retrieval, practical methods for estimating the required probabilities are provided by simple examples. © 1995, ACM. All rights reserved.",,Boolean algebra; Data structures; Fuzzy sets; Indexing (of information); Information theory; Mathematical models; Probabilistic logics; Probability; Theorem proving; Document representation; Maximum entropy principle; Minimum entropy principle; Similarity measures; Vector space model; Information retrieval
A Video Retrieval and Sequencing System,1995,ACM Transactions on Information Systems (TOIS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029390443&doi=10.1145%2f211430.211431&partnerID=40&md5=443869990617f770e9240fb49593190e,"Video is an effective medium for capturing the events in the real world around us, and a vast amount of video materials exists, covering a wide range of applications. However, widespread use of video in computer applications is often impeded by the lack of effective tools to manage video information systematically. This article discusses the design and implementation of a frame-based video retrieval and sequencing system (VRSS). The system is designed to support the entire process of video information management: segmenting, indexing, retrieving, and sequencing of video data. A semiautomatic tool is developed to divide video sequences into meaningful shots, Each video shot is logged using text descriptions, audio dialogue, and cinematic attributes. A two-layered, concept-based model is used as the basis for accurately retrieving relevant video shots based on users' free-text queries. A cinematic, rule-based, virtual editing tool is also developed to sequence the video shots retrieved for presentation within a specified time constraint. The system has been tested on a video documentary on the NUS (National University of Singapore) engineering faculty. The results of video retrieval experiments are encouraging. Categories and Subject Descriptors: H.3.O [Information Storage and Retrieval]: General; H.5. 1 [Information Interfaces and Presentation]: Multimedia Information Systems; 1.2.4 [Artificial Intelligence]: Knowledge Representation Formalisms and Methods General Terms: Experimentation. © 1995, ACM. All rights reserved.",Cinematic rules; frame-based modeling; multimedia; video retrieval; virtual editing,Computer simulation; Data structures; Image segmentation; Indexing (of information); Information management; Information retrieval; Knowledge based systems; Knowledge representation; Query languages; Systems analysis; User interfaces; Video signal processing; Cinematic rules; Frame based modeling; Multimedia; Video; Video retrieval; Video retrieval and sequencing system; Virtual editing; Information retrieval systems
Motion Recovery for Video Content Classification,1995,ACM Transactions on Information Systems (TOIS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029387456&doi=10.1145%2f211430.211433&partnerID=40&md5=c2a1d07ab0aafbf741d8e58ddcfb209e,"Like other types of digital information, video sequences must be classified based on the semantics of their contents. A more-precise and completer extraction of semantic information wdl result m a more-effective classification. The most-discernible difference between still Images and moving pictures stems from movements and variations Thus, to go from the realm of still-image repositories to video databases, we must be able to deal with motion. Particularly, we need the ablhty to classify objects appearing in a video sequence based on therr characteristics and features such as shape or color, as well as their movements By describing the movements that we derive from the process of motion analysis, we introduce a dual hierarchy consisting of spatial and temporal parts for video sequence representation. This gives us the flexibility to examine arbitrary sequences of frames at various levels of abstraction and to retrieve the associated temporal information (say, object trajectories) in addition to the spatial representation. Our algorlthm for motion detection uses the motion compensation component of the MPEG video-encoding scheme and then computes trajectories for objects of interest. The specification of a language for retrieval of video based on the spatial as well as motion characteristics M presented. Categories and Subject Descriptors. H.3.3 [Information Storage and Retrieval]: Information Search and Retrieval; H.5 1 [Information Interfaces and Presentation] Multimedia Information Systems; 1,2.10 [Artificial Intelligence]: Vision and Scene Understanding—motion General Terms: Algorithms, Design. © 1995, ACM. All rights reserved.",Content-based retrieval of video; motion recovery; MPEG compressed video analysis; video databases; video retrieval,Algorithms; Classification (of information); Computer hardware description languages; Database systems; Feature extraction; Image analysis; Image coding; Motion pictures; Object recognition; Video signal processing; Motion recovery; MPEG; Video analysis; Video content classification; Video databases; Video retrieval; Video sequence; Information retrieval
Embedded Video in Hypermedia Documents: Supporting integration and Adaptive Control,1995,ACM Transactions on Information Systems (TOIS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029389726&doi=10.1145%2f211430.211439&partnerID=40&md5=c086336519894cbadb0a31f414d497d5,"As the availability of digital video becomes commonplace, a shift in apphcation focus will occur from merely accessing video as an mdependent data stream to embeddzng video with other multimedia data types mto coordinated hypermedia presentations. The migration to embedded video wdl present new demands on apphcation and support environments: processing of any one piece of video data will depend on how that data relates to other data streams active within the same presentation. This article describes presentation, synchronization, and interaction control issues for manipulating embedded video. First we describe the requirements for embedded video, contrasted against other forms of video use. Next we consider mechanisms for describing and Implementing the behavior of embedded-video segments relative to other data items in a document; these relationships form the basis of implementing cooperative control among the events in a presentation Finally we consider extending the possibilities for tailoring embedded video to the characteristics of the local runtlme environment; this forms the basis for adaptive, application-level quality-of-service control of a presentation. In all cases, we describe a mechanism to externalize the behavior of hypermedia presentations containing resource-intensive data requmements so that effective control can be imp] emented by low-level system facilities based on application-specific requirements. We present our results m terms of the CMIFed authoring/presentation system Categories and Subject Descriptors H.5. 1 [Information Interfaces and Presentation]: Multimedia Information Systems—video; 1.7.2 [Text Processing]: Document Preparation—multi/mixed media General Terms: Algorithms, Design, Experimentation. © 1995, ACM. All rights reserved.",Adaptive control; embedded video; hypermedia documents; multimedia; synchronization; video presentation,Adaptive control systems; Algorithms; Data processing; Synchronization; Systems analysis; Video signal processing; Embedded video; Hypermedia documents; Multimedia; Video presentation; Information retrieval systems
From Text to Hypertext by Indexing,1995,ACM Transactions on Information Systems (TOIS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029229362&doi=10.1145%2f195705.195717&partnerID=40&md5=9c51bb86152f40517afc9da860213c8c,"A model is presented for converting a collection of documents to hypertext by means of indexing. The documents are assumed to be semistructured, i.e., their text is a hierarchy of parts, and some of the parts consist of natural language. The model is intended as a framework for specifying hypertextual reading capabilities for specific application areas and for developing new automated tools for the conversion of semistructured text to hypertext. In the model, two well-known paradigms—formal grammars and document indexing—are combined. The structure of the source text is defined by a schema that is a constrained context-free grammar. The hierarchic structure of the source may thus be modeled by a parse tree for the grammar. The effect of indexing is described by grammar transformations. The new grammar, called an indexing schema, is associated with a new parse tree where some text parts are index elements. The indexing schema may hide some parts of the original documents or the structure of some parts. For information retrieval, parts of the indexed text are considered to be nodes of a hypergraph. In the hypergraph-based information access, the navigation capabilities of the hypertext systems are combined with the querying capabilities of information retrieval systems. © 1995, ACM. All rights reserved.",constrained grammars; grammars; hypertext; properties; structured text; test types; text entities; transient hypergraphs,Automata theory; Constraint theory; Context free grammars; Formal logic; Indexing (of information); Information retrieval systems; Content analysis; Hypertext; Structured text; Text entities; Transient hypergraphs; Data structures
Toward a Logical/Physical Theory of Spreadsheet Modeling,1995,ACM Transactions on Information Systems (TOIS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029224070&doi=10.1145%2f195705.195708&partnerID=40&md5=37311fa2aa7371054c31b12837998e9b,"In spite of the increasing sophistication and power of commercial spreadsheet packages, we still lack a formal theory or a methodology to support the construction and maintenance of spreadsheet models. Using a dual logical/physical perspective, we identify four principal components that characterize any spread sheet model: schema, data, editorial, and binding. We present a factoring algorithm for identifying and extracting these components from conventional spreadsheets with minimal user intervention, and a synthesis algorithm that assists users in the construction of executable spreadsheets from reusable model components. This approach opens new possibilities for applying object-oriented and model management techniques to support the construction, sharing, and reuse of spreadsheet models in organizations. Importantly, our approach to model management and the Windows-based prototype that we have developed are designed to coexist with, rather than replace, traditional spreadsheet programs. In other words, the users are not required to learn a new modeling language; instead, their logical models and data sets are extracted from their spreadsheets transparently, as a side-effect of using standard spreadsheet programs. © 1995, ACM. All rights reserved.",model management,Algorithms; Computer programming languages; Computer simulation; Computer software; Data reduction; Data structures; Factoring algorithm; Model management; Spreadsheet modeling theory; Spreadsheets
Templar: A Knowledge-Based Language for Software Specifications Using Temporal Logic,1995,ACM Transactions on Information Systems (TOIS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029344575&doi=10.1145%2f203052.203061&partnerID=40&md5=8d8aa75af7a233524d0becd20cd8ad78,[No abstract available],,Computational linguistics; Computer hardware description languages; Database systems; Decision making; Formal logic; Hierarchical systems; Knowledge based systems; Mathematical operators; Software engineering; Knowledge based language Templar; Natural languages; Temporal logic; Computer programming languages
