Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
MWI-sum: A multilingual summarizer based on frequent weighted itemsets,2015,ACM Transactions on Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943646467&doi=10.1145%2f2809786&partnerID=40&md5=b114016e84d7f8f9c98f35353a3a6638,"Multidocument summarization addresses the selection of a compact subset of highly informative sentences, i.e., the summary, from a collection of textual documents. To perform sentence selection, two parallel strategies have been proposed: (a) apply general-purpose techniques relying on datamining or information retrieval techniques, and/or (b) perform advanced linguistic analysis relying on semantics-based models (e.g., ontologies) to capture the actual sentence meaning. Since there is an increasing need for processing documents written in different languages, the attention of the research community has recently focused on summarizers based on strategy (a). This article presents a novelmultilingual summarizer, namely MWI-Sum (Multilingual Weighted Itemsetbased Summarizer), that exploits an itemset-based model to summarize collections of documents ranging over the same topic. Unlike previous approaches, it extracts frequent weighted itemsets tailored to the analyzed collection and uses them to drive the sentence selection process. Weighted itemsets represent correlations among multiple highly relevant terms that are neglected by previous approaches. The proposed approach makes minimal use of language-dependent analyses. Thus, it is easily applicable to document collections written in different languages. Experiments performed on benchmark and real-life collections, English-written and not, demonstrate that the proposed approach performs better than state-of-the-art multilingual document summarizers. © 2015 ACM.",Frequent weighted itemset mining; Multilingual summarization; Text mining,Data mining; Linguistics; Natural language processing systems; Semantics; Document collection; Itemset mining; Linguistic analysis; Multi-document summarization; Multilingual documents; Multilingual summarization; Research communities; Text mining; Computational linguistics
A document retrieval model based on digital signal filtering,2015,ACM Transactions on Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943631235&doi=10.1145%2f2809787&partnerID=40&md5=1dbec9fd126724b9448b50f58177b581,"Information retrieval (IR) systems are designed, in general, to satisfy the information need of a user who expresses it by means of a query, by providing him with a subset of documents selected from a collection and ordered by decreasing relevance to the query. Such systems are based on IR models, which define how to represent the documents and the query, as well as how to determine the relevance of a document for a query. In this article, we present a new IR model based on concepts taken from both IR and digital signal processing (like Fourier analysis of signals and filtering). This allows the whole IR process to be seen as a physical phenomenon, where the query corresponds to a signal, the documents correspond to filters, and the determination of the relevant documents to the query is done by filtering that signal. Tests showed that the quality of the results provided by this IR model is comparable with the state-of-the-art. © 2015 ACM.",DFT; Digital filtering; Discrete Fourier transform; Retrieval models,Discrete Fourier transforms; Fourier analysis; Information retrieval; Information retrieval systems; Search engines; Analysis of signal; DFT; Digital filtering; Document Retrieval; Physical phenomena; Relevant documents; Retrieval models; State of the art; Signal processing
KNET: A general framework for learning word embedding using morphological knowledge,2015,ACM Transactions on Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941559918&doi=10.1145%2f2797137&partnerID=40&md5=418131fb7db8e96b062262dc22c7d610,"Neural network techniques are widely applied to obtain high-quality distributed representations of words (i.e., word embeddings) to address textmining, information retrieval, and natural language processing tasks. Most recent efforts have proposed several efficient methods to learn word embeddings from context such that they can encode both semantic and syntactic relationships between words. However, it is quite challenging to handle unseen or rare words with insufficient context. Inspired by the study on the word recognition process in cognitive psychology, in this article, we propose to take advantage of seemingly less obvious but essentially important morphological knowledge to address these challenges. In particular, we introduce a novel neural network architecture called KNET that leverages both words' contextual information and morphological knowledge to learn word embeddings. Meanwhile, this new learning architecture is also able to benefit from noisy knowledge and balance between contextual information and morphological knowledge. Experiments on an analogical reasoning task and a word similarity task both demonstrate that the proposed KNET framework can greatly enhance the effectiveness of word embeddings. © 2015 ACM.",Morphological knowledge; Neural network; Word embedding,Embeddings; Natural language processing systems; Network architecture; Semantics; Cognitive psychology; Contextual information; Distributed representation; Learning architectures; Morphological knowledge; NAtural language processing; Neural network techniques; Word embedding; Neural networks
Latent discriminative models for social emotion detection with emotional dependency,2015,ACM Transactions on Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941565056&doi=10.1145%2f2749459&partnerID=40&md5=e1aa549086cf2fa791b81a40ba8d5f50,"Sentiment analysis of such opinionated online texts as reviews and comments has received increasingly close attention, yet most of the work is intended to deal with the detection of authors' emotion. In contrast, this article presents our study of the social emotion detection problem, the objective of which is to identify the evoked emotions of readers by online documents such as news articles. A novel Latent Discriminative Model (LDM) is proposed for this task. LDM works by introducing intermediate hidden variables to model the latent structure of input text corpora. To achieve this, it defines a joint distribution over emotions and latent variables, conditioned on the observed text documents. Moreover, we assume that social emotions are not independent but correlated with one another, and the dependency of them is capable of providing additional guidance to LDM in the training process. The inclusion of this emotional dependency into LDM gives rise to a new Emotional Dependency-based LDM (eLDM). We evaluate the proposed models through a series of empirical evaluations on two real-world corpora of news articles. Experimental results verify the effectiveness of LDM and eLDM in social emotion detection. © 2015 ACM.",Discriminative model; Emotion detection; Opinion mining and sentiment analysis; Social,Computer networks; Information systems; Discriminative models; Emotion detection; Empirical evaluations; Joint distributions; Latent structures; On-line documents; Opinion mining; Social; Sentiment analysis
Identifying opportunities for valuable encounters: Toward context-aware social matching systems,2015,ACM Transactions on Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941568674&doi=10.1145%2f2751557&partnerID=40&md5=34804dfd6043bda0422dff7231b0d9f1,"Mobile social matching systems have the potential to transform the way we make new social ties, but only if we are able to overcome the many challenges that exist as to how systems can utilize contextual data to recommend interesting and relevant people to users and facilitate valuable encounters between strangers. This article outlines how context andmobility influence people's motivations tomeet new people and presents innovative design concepts for mediating mobile encounters through context-aware social matching systems. Findings from two studies are presented. The first, a survey study (n=117) explored the concept of contextual rarity of shared user attributes as a measure to improve desirability in mobile social matches. The second, an interview study (n = 58) explored people's motivations to meet others in various contexts. From these studies we derived a set of novel context-aware social matching concepts, including contextual sociability and familiarity as an indicator of opportune social context; contextual engagement as an indicator of opportune personal context; and contextual rarity, oddity, and activity partnering as an indicator of opportune relational context. The findings of these studies establish the importance of different contextual factors and frame the design space of context-aware social matching systems. © 2015 ACM.",Context-aware social matching; Context-awareness; Introduction systems; Social discovery; Social recommender systems,Computer networks; Information systems; Context- awareness; Context-Aware; Contextual factors; Innovative design; Interview study; Social discovery; Social matching systems; Social recommender systems; Motivation
Deep dependency substructure-based learning for multidocument summarization,2015,ACM Transactions on Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941549686&doi=10.1145%2f2766447&partnerID=40&md5=962277f664dedfa45840e8a641e86ed2,"Most extractive style topic-focused multidocument summarization systems generate a summary by ranking textual units in multiple documents and extracting a proper subset of sentences biased to the given topic. Usually, the textual units are simply represented as sentences or n-grams, which do not carry deep syntactic and semantic information. This article presents a novel extractive topic-focused multidocument summarization framework. The framework proposes a new kind of more meaningful and informative units named frequent Deep Dependency Sub-Structure (DDSS) and a topic-sensitive Multi-Task Learning (MTL) model for frequent DDSS ranking. Given a document set, first, we parse all the sentences into deep dependency structures with a Head-driven Phrase Structure Grammar (HPSG) parser and mine the frequent DDSSs after semantic normalization. Then we employ a topic-sensitive MTL model to learn the importance of these frequent DDSSs. Finally, we exploit an Integer Linear Programming (ILP) formulation and use the frequent DDSSs as the essentials for summary extraction. Experimental results on two DUC datasets demonstrate that our proposed approach can achieve state-of-the-art performance. Both the DDSS information and the topic-sensitive MTL model are validated to be very helpful for topic-focused multidocument summarization. © 2015 ACM.",Deep dependency sub-structure; Document summarization; Learning; Multi-task,Computational grammars; Deep learning; Formal languages; Integer programming; Learning systems; Linearization; Multi-task learning; Natural language processing systems; Semantics; Syntactics; Dependency structures; Document summarization; Head-driven phrase structure grammars; Integer Linear Programming; Learning; Multi-document summarization; State-of-the-art performance; Sub-structures; Data mining
Fast forward index methods for pseudo-relevance feedback retrieval,2015,ACM Transactions on Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930965848&doi=10.1145%2f2744199&partnerID=40&md5=86d8905ca20f1670789490e2cf93c31c,"The inverted index is the dominant indexing method in information retrieval systems. It enables fast return of the list of all documents containing a given query term. However, for retrieval schemes involving query expansion, as in pseudo-relevance feedback (PRF), the retrieval time based on an inverted index increases linearly with the number of expansion terms. In this regard, we have examined the use of a forward index, which consists of the mapping of each document to its constituent terms. We propose a novel forward index-based reranking scheme to shorten the PRF retrieval time. In our method, a first retrieval of the original query is performed using an inverted index, and then a forward index is employed for the PRF part. We have studied several new forward indexes, including using a novel spstring data structure and the weighted variable bit-block compression (wvbc) signature. With modern hardware such as solid-state drives (SSDs) and sufficiently large main memory, forward index methods are particularly promising. We find that with the whole index stored in main memory, PRF retrieval using a spstring or wvbc forward index excels in time efficiency over an inverted index, being able to obtain the same levels of performance measures at shorter times. © 2015 Association for Computing Machinery.",Forward index; Information retrieval; Inverted index; Time efficiency,Digital storage; Efficiency; Indexing (of information); Information retrieval; Information retrieval systems; Natural language processing systems; Forward index; Indexing methods; Inverted indices; Performance measure; Pseudo relevance feedback; Pseudo-relevance feedbacks; Solid state drives; Time efficiencies; Search engines
The query change model: Modeling Session search as a Markov decision process,2015,ACM Transactions on Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930651241&doi=10.1145%2f2747874&partnerID=40&md5=e890b0e99308aa90800282c7815d1aa8,"Modern information retrieval (IR) systems exhibit user dynamics through interactivity. These dynamic aspects of IR, including changes found in data, users, and systems, are increasingly being utilized in search engines. Session search is one such IR task-document retrieval within a session. During a session, a user constantly modifies queries to find documents that fulfill an information need. Existing IR techniques for assisting the user in this task are limited in their ability to optimize over changes, learn with a minimal computational footprint, and be responsive. This article proposes a novel query change retrieval model (QCM), which uses syntactic editing changes between consecutive queries,aswellasthe relationship between query changes and previously retrieved documents, to enhance session search. We propose modeling session search as a Markov decision process (MDP). We consider two agents in this MDP: the user agent and the search engine agent. The user agent's actions are query changes that we observe, and the search engine agent's actions are term weight adjustments as proposed in this work. We also investigate multiple query aggregation schemes and their effectivenesson session search. Experiments show that our approach is highly effective and outperforms top session search systems in TREC 2011 and TREC 2012. © 2015 ACM.",Markov decision process; QCM; Query change model; Session search,Information retrieval; Markov processes; Natural language processing systems; Change modeling; Document Retrieval; Dynamic aspects; Markov Decision Processes; Multiple queries; Retrieval models; Retrieved documents; Session search; Search engines
Understanding and supporting cross-device web search for exploratory tasks with Mobile Touch Interactions,2015,ACM Transactions on Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929170524&doi=10.1145%2f2738036&partnerID=40&md5=e85655dfc9c89c6f52198179178e6980,"Mobile devices enable people to look for information at the moment when their information needs are triggered. While experiencing complex information needs that require multiple search sessions, users may utilize desktop computers to fulfill information needs started on mobile devices. Under the context of mobileto-desktop web search, this article analyzes users' behavioral patterns and compares them to the patterns in desktop-to-desktop web search. Then, we examine several approaches of using Mobile Touch Interactions (MTIs) to infer relevant content so that such content can be used for supporting subsequent search queries on desktop computers. The experimental data used in this article was collected through a user study involving 24 participants and six properly designed cross-device web search tasks. Our experimental results show that (1) users' mobile-to-desktop search behaviors do significantly differ from desktop-to-desktop search behaviors in terms of information exploration, sense-making and repeated behaviors. (2) MTIs can be employed to predict the relevance of click-through documents, but applying document-level relevant content based on the predicted relevance does not improve search performance. (3) MTIs can also be used to identify the relevant text chunks at a fine-grained subdocument level. Such relevant information can achieve better search performance than the document-level relevant content. In addition, such subdocument relevant information can be combined with document-level relevance to further improve the search performance. However, the effectiveness of these methods relies on the sufficiency of click-through documents. (4) MTIs can also be obtained from the Search Engine Results Pages (SERPs). The subdocument feedbacks inferred from this set of MTIs even outperform the MTI-based subdocument feedback from the click-through documents. © 2015 ACM.",Cross-device web search; Exploratory web search; Mobile Touch Interactions; Relevance feedback,Human computer interaction; Information retrieval; Mobile telecommunication systems; Personal computers; Search engines; Behavioral patterns; Complex information; Information exploration; Relevance feedback; Search engine results pages; Search performance; Touch interaction; Web searches; Websites
Belief dynamics and biases in web search,2015,ACM Transactions on Information Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929171867&doi=10.1145%2f2746229&partnerID=40&md5=9ac3ad83dbb6d07d1650575ca3be17be,"We investigate how beliefs about the efficacy of medical interventions are influenced by searchers' exposure to information on retrieved Web pages. We present a methodology for measuring participants' beliefs and confidence about the efficacy of treatment before, during, and after search episodes. We consider interventions studied in the Cochrane collection of meta-analyses. We extract related queries from search engine logs and consider the Cochrane assessments as ground truth. We analyze the dynamics of belief over time and show the influence of prior beliefs and confidence at the end of sessions. We present evidence for confirmation bias and for anchoring-and-adjustment during search and retrieval. Then, we build predictive models to estimate postsearch beliefs using sets of features about behavior and content. The findings provide insights about the influence of Web content on the beliefs of people and have implications for the design of search systems. © 2015 ACM.",Belief dynamics; Cognitive biases; Search interaction,Dynamics; Information retrieval systems; Search engines; Social networking (online); Websites; Cognitive bias; Confirmation bias; Medical intervention; Meta analysis; Predictive models; Search and retrieval; Search interaction; Sets of features; World Wide Web
