Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Using architecture to reason about information security,2015,ACM Transactions on Information and System Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954454987&doi=10.1145%2f2829949&partnerID=40&md5=939295c3a35be23507781c0253c2f7c6,"We demonstrate, by a number of examples, that information flow security properties can be proved from abstract architectural descriptions, which describe only the causal structure of a system and local properties of trusted components. We specify these architectural descriptions of systems by generalizing intransitive noninterference policies to admit the ability to filter information passed between communicating domains. A notion of refinement of such system architectures is developed that supports top-down development of architectural specifications and proofs by abstraction of information security properties. We also show that, in a concrete setting where the causal structure is enforced by access control, a static check of the access control setting plus local verification of the trusted components is sufficient to prove that a generalized intransitive noninterference policy is satisfied. © 2015 ACM.",Epistemic logic; Information flow security; Intransitive noninterference; System architecture,Access control; Network security; Security of data; Architectural descriptions; Architectural specifications; Control settings; Epistemic logic; Information flow security; Intransitive non-interference; System architectures; Trusted components; Computer architecture
Randomization-based intrusion detection system for advanced metering infrastructure,2015,ACM Transactions on Information and System Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954461221&doi=10.1145%2f2814936&partnerID=40&md5=0ab7b334aaaadbc29f8d6a8d141f6734,"Smart grid deployment initiatives have been witnessed in recent years. Smart grids provide bidirectional communication between meters and head-end systems through Advanced Metering Infrastructure (AMI). Recent studies highlight the threats targeting AMI. Despite the need for tailored Intrusion Detection Systems (IDSs) for smart grids, very limited progress has been made in this area. Unlike traditional networks, smart grids have their own unique challenges, such as limited computational power devices and potentially high deployment cost, that restrict the deployment options of intrusion detectors. We show that smart grids exhibit deterministic and predictable behavior that can be accurately modeled to detect intrusion. However, it can also be leveraged by the attackers to launch evasion attacks. To this end, in this article, we present a robust mutation-based intrusion detection system that makes the behavior unpredictable for the attacker while keeping it deterministic for the system. We model the AMI behavior using event logs collected at smart collectors, which in turn can be verified using the invariant specifications generated from the AMI behavior and mutable configuration. Event logs are modeled using fourth-order Markov chain and specifications are written in Linear Temporal Logic (LTL). To counter evasion and mimicry attacks, we propose a configuration randomization module. The approach provides robustness against evasion and mimicry attacks; however, we discuss that it still can be evaded to a certain extent. We validate our approach on a real-world dataset of thousands of meters collected at the AMI of a leading utility provider. © 2015 ACM.",Advanced metering infrastructure; Intrusion detection systems; Smart grid,Advanced metering infrastructures; Computation theory; Computer crime; Electric power transmission networks; Markov processes; Mercury (metal); Random processes; Smart power grids; Specifications; Temporal logic; Bi-directional communication; Computational power; Deployment costs; Fourth order; Intrusion Detection Systems; Intrusion detectors; Linear temporal logic; Smart grid; Intrusion detection
Model checking distributed mandatory access control policies,2015,ACM Transactions on Information and System Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942056163&doi=10.1145%2f2785966&partnerID=40&md5=f1c8721620febed7d759610e6621007e,"This work examines the use of model checking techniques to verify system-level security properties of a collection of interacting virtual machines. Specifically, we examine how local access control policies implemented in individual virtual machines and a hypervisor can be shown to satisfy global access control constraints. The SAL model checker is used to model and verify a collection of stateful domains with protected resources and local MAC policies attempting to access needed resources from other domains. The model is described along with verification conditions. The need to control state-space explosion is motivated and techniques for writing theorems and limiting domains explored. Finally, analysis results are examined along with analysis complexity. © 2015 ACM 1094-9224/2015/07-ART6 $15.00.",Access control; Model checking; Virtualization,Access control; Network security; Virtual machine; Virtualization; Access control policies; Control constraint; Control state spaces; Mandatory access control; Model-checking techniques; Security properties; System levels; Verification condition; Model checking
Integrity attacks on real-time pricing in electric power grids,2015,ACM Transactions on Information and System Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942038774&doi=10.1145%2f2790298&partnerID=40&md5=3881a3a415de2ae39588c1b0277a73fb,"Modern information and communication technologies used by electric power grids are subject to cybersecurity threats. This article studies the impact of integrity attacks on real-time pricing (RTP), an emerging feature of advanced power grids that can improve system efficiency. Recent studies have shown that RTP creates a closed loop formed by the mutually dependent real-time price signals and price-taking demand. Such a closed loop can be exploited by an adversary whose objective is to destabilize the pricing system. Specifically, small malicious modifications to the price signals can be iteratively amplified by the closed loop, causing highly volatile prices, fluctuating power demand, and increased system operating cost. This article adopts a control-theoretic approach to deriving the fundamental conditions of RTP stability under basic demand, supply, and RTP models that characterize the essential behaviors of consumers, suppliers, and system operators, as well as two broad classes of integrity attacks, namely, the scaling and delay attacks. We show that, under an approximated linear time-invariant formulation, the RTP system is at risk of being destabilized only if the adversary can compromise the price signals advertised to consumers, by either reducing their values in the scaling attack or providing old prices to over half of all consumers in the delay attack. The results provide useful guidelines for system operators to analyze the impact of various attack parameters on system stability so that they may take adequate measures to secure RTP systems. © 2015 ACM 1094-9224/2015/07-ART5 $15.00.",Cyber security; Demand response; Electricity market; Power grid; Real-time pricing; Smart grid; Stability,Consumer behavior; Convergence of numerical methods; Costs; Electric power system security; Electric power transmission networks; Power markets; Security of data; Smart power grids; Cyber security; Demand response; Power grids; Real time pricing; Smart grid; Electric power system stability
V Vote: A verifiable voting system,2015,ACM Transactions on Information and System Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934989092&doi=10.1145%2f2746338&partnerID=40&md5=1d7a2a5c0b470c06f7e04fb0161cd509,"The Prêt à Voter cryptographic voting system was designed to be flexible and to offer voters a familiar and easy voting experience. In this article, we present our development of the Prêt à Voter design to a practical implementation used in a real state election in November 2014, called vVote. As well as solving practical engineering challenges, we have also had to tailor the system to the idiosyncrasies of elections in the Australian state of Victoria and the requirements of the Victorian Electoral Commission. This article includes general background, user experience, and details of the cryptographic protocols and human processes. We explain the problems, present solutions, then analyze their security properties and explain how they tie in to other design decisions. © 2015 ACM.",Verifiable electronic voting systems; Voting protocols,Cryptography; Cryptographic protocols; Cryptographic voting; Design decisions; Electronic voting systems; Practical engineering; Security properties; User experience; Voting protocols; Voting machines
CacheAudit: A tool for the static analysis of cache side channels,2015,ACM Transactions on Information and System Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934969322&doi=10.1145%2f2756550&partnerID=40&md5=2e303c5152e633a5497fb6f456375d0f,"We present CacheAudit, a versatile framework for the automatic, static analysis of cache side channels. CacheAudit takes as input a program binary and a cache configuration and derives formal, quantitative security guarantees for a comprehensive set of side-channel adversaries, namely, those based on observing cache states, traces of hits and misses, and execution times. Our technical contributions include novel abstractions to efficiently compute precise overapproximations of the possible side-channel observations for each of these adversaries. These approximations then yield upper bounds on the amount of information that is revealed. In case studies, we apply CacheAudit to binary executables of algorithms for sorting and encryption, including the AES implementation from the PolarSSL library, and the reference implementations of the finalists of the eSTREAM stream cipher competition. The results we obtain exhibit the influence of cache size, line size, associativity, replacement policy, and coding style on the security of the executables and include the first formal proofs of security for implementations with countermeasures such as preloading and data-independent memory access patterns. © 2015 ACM.",Caches; Side-channel attacks,Bins; Cryptography; Mobile security; Side channel attack; Amount of information; Binary executables; Cache configurations; Caches; Memory access patterns; Reference implementation; Replacement policy; Technical contribution; Static analysis
Misbehavior in Bitcoin: A study of double-spending and accountability,2015,ACM Transactions on Information and System Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930850900&doi=10.1145%2f2732196&partnerID=40&md5=55157f2fb4a2ccb57f7e63fbe28bb5d6,"Bitcoin is a decentralized payment system that relies on Proof-of-Work (PoW) to resist double-spending through a distributed timestamping service. To ensure the operation and security of Bitcoin, it is essential that all transactions and their order of execution are available to all Bitcoin users. Unavoidably, in such a setting, the security of transactions comes at odds with transaction privacy. Motivated by the fact that transaction confirmation in Bitcoin requires tens of minutes, we analyze the conditions for performing successful double-spending attacks against fast payments in Bitcoin, where the time between the exchange of currency and goods is short (in the order of a minute). We show that unless new detection techniques are integrated in the Bitcoin implementation, double-spending attacks on fast payments succeed with considerable probability and can be mounted at low cost. We propose a new and lightweight countermeasure that enables the detection of double-spending attacks in fast transactions. In light of such misbehavior, accountability becomes crucial. We show that in the specific case of Bitcoin, accountability complements privacy. To illustrate this tension, we provide accountability and privacy definition for Bitcoin, and we investigate analytically and empirically the privacy and accountability provisions in Bitcoin. © 2015 Association for Computing Machinery.","Bitcoin; Design; Distributed computing; Double-spending; Economics; Experimentation; K.4.1 [computers and society]: public policy issues - privacy; K.4.4 [computers and society]: electronic commerce - payment schemes, security; Monetization; Privacy; Security; Security",Costs; Data privacy; Design; Distributed computer systems; Economics; Public policy; Computers and societies; Double-spending; Experimentation; Monetization; Payment schemes; Security; Bitcoin
A large-scale evaluation of high-impact password strength meters,2015,ACM Transactions on Information and System Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930843938&doi=10.1145%2f2739044&partnerID=40&md5=510a2b8815626d88c3e517b1a9b414f0,"Passwords are ubiquitous in our daily digital lives. They protect various types of assets ranging from a simple account on an online newspaper website to our health information on government websites. However, due to the inherent value they protect, attackers have developed insights into cracking/guessing passwords both offline and online. In many cases, users are forced to choose stronger passwords to comply with password policies; such policies are known to alienate users and do not significantly improve password quality. Another solution is to put in place proactive password-strength meters/checkers to give feedback to users while they create new passwords. Millions of users are now exposed to these meters on highly popular web services that use user-chosen passwords for authentication. More recently, these meters are also being built into popular password managers, which protect several user secrets including passwords. Recent studies have found evidence that some meters actually guide users to choose better passwords - which is a rare bit of good news in password research. However, these meters are mostly based on ad hoc design. At least, as we found, most vendors do not provide any explanation for their design choices, sometimes making them appear as a black box. We analyze password meters deployed in selected popular websites and password managers. We document obfuscated source-available meters, infer the algorithm behind the closed-source ones, and measure the strength labels assigned to common passwords from several password dictionaries. From this empirical analysis with millions of passwords, we shed light on how the server end of some web service meters functions and provide examples of highly inconsistent strength outcomes for the same password in different meters, along with examples of many weak passwords being labeled as strong or even excellent. These weaknesses and inconsistencies may confuse users in choosing a stronger password, and thus may weaken the purpose of these meters. On the other hand, we believe these findings may help improve existing meters and possibly make them an effective tool in the long run. © 2015 Association for Computing Machinery.",H.1.2 [models and principles]: user/machine systems-human factors; Human factors; K.6.5 [management of computing and information systems]: security and protection - authentication; Password manager; Password strength; Security; Strength meter,Human engineering; Information management; Managers; Web services; Websites; H.1.2 [models and principles]: user/machine systems - human factors; Password managers; Password strength; Security; Security and protection; Authentication
Dynamic provable data possession,2015,ACM Transactions on Information and System Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929164643&doi=10.1145%2f2699909&partnerID=40&md5=a09cc1700d320cc7fd753227f9b52ba2,"As storage-outsourcing services and resource-sharing networks have become popular, the problem of efficiently proving the integrity of data stored at untrusted servers has received increased attention. In the Provable Data Possession (PDP)model, the client preprocesses the data and then sends them to an untrusted server for storage while keeping a small amount of meta-data. The client later asks the server to prove that the stored data have not been tampered with or deleted (without downloading the actual data). However, existing PDP schemes apply only to static (or append-only) files. We present a definitional framework and efficient constructions for Dynamic Provable Data Possession (DPDP), which extends the PDP model to support provable updates to stored data. We use a new version of authenticated dictionaries based on rank information. The price of dynamic updates is a performance change from O(1) to O(log n) (or O(nεlog n)) for a file consisting of n blocks while maintaining the same (or better, respectively) probability of misbehavior detection. Our experiments show that this slowdown is very low in practice (e.g., 415KB proof size and 30ms computational overhead for a 1GB file). We also show how to apply our DPDP scheme to outsourced file systems and version control systems (e.g., CVS). © 2015 ACM.",Cloud security; Coud storage; Outsourced storage; Proof of retrievability; Provable data possession; Secure storage,Mobile security; Security of data; Cloud securities; Computational overheads; Efficient construction; Misbehavior detection; Proof of retrievability; Provable data possessions; Secure storage; Version control system; Digital storage
Attacking the internet using broadcast digital television,2015,ACM Transactions on Information and System Security,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928475123&doi=10.1145%2f2723159&partnerID=40&md5=9c688b9ea5e4ae5a7581a78021d9f214,"In the attempt to bring modern broadband Internet features to traditional broadcast television, the Digital Video Broadcasting (DVB) consortium introduced a specification called Hybrid Broadcast-Broadband Television (HbbTV), which allows broadcast streams to include embedded HTML content that is rendered by the television. This system is already in very wide deployment in Europe and has recently been adopted as part of the American digital television standard. Our analyses of the specifications, and of real systems implementing them, show that the broadband and broadcast systems are combined insecurely. This enables a large-scale exploitation technique with a localized geographical footprint based on Radio Frequency (RF) injection, which requires a minimal budget and infrastructure and is remarkably difficult to detect. In this article, we present the attack methodology and a number of follow-on exploitation techniques that provide significant flexibility to attackers. Furthermore, we demonstrate that the technical complexity and required budget are low, making this attack practical and realistic, especially in areas with high population density: In a dense urban area, an attacker with a budget of about $450 can target more than 20,000 devices in a single attack. A unique aspect of this attack is that, in contrast to most Internet of Things/Cyber-Physical System threat scenarios, where the attack comes from the data network side and affects the physical world, our attack uses the physical broadcast network to attack the data network. © 2015 ACM.",Radio-frequency attacks; Relay attacks; Smart TV,Budget control; Computer crime; Computer graphics; Digital television; Multimedia systems; Population statistics; Radio broadcasting; Radio waves; Specifications; Television standards; Broadband televisions; Broadcast television; Exploitation techniques; High population density; Radio frequencies; Relay attack; Smart-TV; Technical complexity; Television broadcasting
