Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
A novel continuous and structural VAR modeling approach and its application to reactor noise analysis,2015,ACM Transactions on Intelligent Systems and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952948724&doi=10.1145%2f2710025&partnerID=40&md5=deee32ff7c5caeceaabac1a398205ef9,"A vector autoregressive model in discrete time domain (DVAR) is often used to analyze continuous time, multivariate, linear Markov systems through their observed time series data sampled at discrete timesteps. Based on previous studies, the DVAR model is supposed to be a noncanonical representation of the system, that is, it does not correspond to a unique system bijectively. However, in this article, we characterize the relations of the DVAR model with its corresponding Structural Vector AR (SVAR) and Continuous Time Vector AR (CTVAR) models through a finite difference method across continuous and discrete time domain. We further clarify that the DVARmodel of a continuous time,multivariate, linearMarkov system is canonical under a highly generic condition. Our analysis shows that we can uniquely reproduce its SVAR and CTVAR models from the DVAR model. Based on these results, we propose a novel Continuous and Structural Vector Autoregressive (CSVAR) modeling approach to derive the SVAR and the CTVAR models from their DVAR model empirically derived from the observed time series of continuous time linear Markov systems. We demonstrate its superior performance through some numerical experiments on both artificial and real-world data. © 2015 ACM.",Canonicality; Continuous time linearMarkov system; CTVAR model; Nuclear reactor noise analysis; SVAR model; VAR model,Finite difference method; Nuclear reactors; Reactor cores; Structural analysis; Time domain analysis; Time series; Transients; Value engineering; Vectors; Canonicality; Continuous-time; Reactor noise analysis; SVAR models; VAR models; Continuous time systems
Learning perceptual causality from video,2015,ACM Transactions on Intelligent Systems and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952901542&doi=10.1145%2f2809782&partnerID=40&md5=85957a0867f384a09b6067652ce840ce,"Perceptual causality is the perception of causal relationships from observation. Humans, even as infants, form such models from observation of the world around them [Saxe and Carey 2006]. For a deeper understanding, the computer must make similar models through the analogous form of observation: video. In this article, we provide a framework for the unsupervised learning of this perceptual causal structure from video. Ourmethod takes action and object status detections as input and uses heuristics suggested by cognitive science research to produce the causal links perceived between them. We greedily modify an initial distribution featuring independence between potential causes and effects by adding dependencies that maximize information gain. We compile the learned causal relationships into a Causal And-Or Graph, a probabilistic and-or representation of causality that adds a prior to causality. Validated against human perception, experiments show that our method correctly learns causal relations, attributing status changes of objects to causing actions amid irrelevant actions. Our method outperforms Hellinger's Χ2-statistic by considering hierarchical action selection, and outperforms the treatment effect by discounting coincidental relationships. © 2015 ACM.",Causal induction; Information projection; Perceptual causality,Causal induction; Causal relationships; Cognitive science; Human perception; Information projections; Perceptual causality; Status detections; Treatment effects
Semiparametric inference of the complier average causal effect with nonignorable missing outcomes,2015,ACM Transactions on Intelligent Systems and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952907546&doi=10.1145%2f2668135&partnerID=40&md5=9707e0f2a9111af2531f0ca374441de5,"Noncompliance and missing data often occur in randomized trials, which complicate the inference of causal effects. When both noncompliance and missing data are present, previous papers proposed moment and maximum likelihood estimators for binary and normally distributed continuous outcomes under the latent ignorable missing data mechanism. However, the latent ignorable missing data mechanism may be violated in practice, because the missing data mechanism may depend directly on the missing outcome itself. Under noncompliance and an outcome-dependent nonignorable missing data mechanism, previous studies showed the identifiability of complier average causal effect for discrete outcomes. In this article, we study the semiparametric identifiability and estimation of complier average causal effect in randomized clinical trials with both all-or-none noncompliance and outcome-dependent nonignorable missing continuous outcomes, and propose a two-stepmaximum likelihood estimator in order to eliminate the infinite dimensional nuisance parameter. Our method does not need to specify a parametric form for the missing data mechanism. We also evaluate the finite sample property of our method via extensive simulation studies and sensitivity analysis, with an application to a double-blinded psychiatric clinical trial. © 2015 ACM.",Causal inference; Instrumental variable; Missing not at random; Noncompliance; Outcome-dependent missing; Principal stratification,Maximum likelihood; Medical applications; Normal distribution; Sampling; Sensitivity analysis; Causal inferences; Instrumental variables; Missing not at random; Noncompliance; Outcome-dependent missing; Maximum likelihood estimation
A causal approach to the study of TCP performance,2015,ACM Transactions on Intelligent Systems and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952937244&doi=10.1145%2f2770878&partnerID=40&md5=22e43bc667566b9d5607ddfda1107971,"Communication networks are complex systems whose operation relies on a large number of components that work together to provide services to end users. As the quality of these services depends on different parameters, understanding how each of them impacts the final performance of a service is a challenging but important problem. However, intervening on individual factors to evaluate the impact of the different parameters is often impractical due to the high cost of intervention in a network. It is, therefore, desirable to adopt a formal approach to understand the role of the different parameters and to predict how a change in any of these parameters will impact performance. The approach of causality pioneered by J. Pearl provides a powerful framework to investigate these questions. Most of the existing theory is non-parametric and does not make any assumption on the nature of the system under study. However, most of the implementations of causal model inference algorithms and most of the examples of usage of a causal model to predict intervention rely on assumptions such linearity, normality, or discrete data. In this article, we present a methodology to overcome the challenges of working with real-world data and extend the application of causality to complex systems in the area of telecommunication networks, for which assumptions of normality, linearity and discrete data do no hold. Specifically, we study the performance of TCP, which is the prevalent protocol for reliable end-to-end transfer in the Internet. Analytical models of the performance of TCP exist, but they take into account the state of network only and disregard the impact of the application at the sender and the receiver, which often influences TCP performance. To address this point, we take as application the file transfer protocol (FTP), which uses TCP for reliable transfer. Studying a well-understood protocol such as TCP allows us to validate our approach and compare its results to previous studies. We first present and evaluate our methodology using TCP traffic obtained via network emulation, which allows us to experimentally validate the prediction of an intervention. We then apply the methodology to real-world TCP traffic sent over the Internet. Throughout the article, we compare the causal approach for studying TCP performance to other approaches such as analytical modeling or simulation and and show how they can complement each other. © 2015 ACM.",TCP; Telecommunication networks,Analytical models; Complex networks; Forecasting; Human computer interaction; Inference engines; Internet; Internet protocols; Telecommunication networks; File transfer protocols; Formal approach; Impact performance; Individual factors; Network emulation; Number of components; Reliable transfer; TCP; Transmission control protocol
Event extraction using structured learning and rich domain knowledge: Application across domains and data sources,2015,ACM Transactions on Intelligent Systems and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952946870&doi=10.1145%2f2801131&partnerID=40&md5=67ccc21d3b964b668a46bd1d4715fe3c,"We consider the task of record extraction from text documents, where the goal is to automatically populate the fields of target relations, such as scientific seminars or corporate acquisition events. There are various inferences involved in the record-extraction process, including mention detection, unification, and field assignments. We use structured learning to find the appropriate field-value assignments. Unlike previous works, the proposed approach generates feature-rich models that enable the modeling of domain semantics and structural coherence at all levels and across fields. Given labeled examples, such an approach can, for instance, learn likely event durations and the fact that start times should come before end times. While the inference space is large, effective learning is achieved using a perceptron-style method and simple, greedy beam decoding. A main focus of this article is on practical aspects involved in implementing the proposed framework for real-world applications. We argue and demonstrate that this approach is favorable in conditions of data shift, a real-world setting in which models learned using a limited set of labeled examples are applied to examples drawn from a different data distribution. Much of the framework's robustness is attributed to the modeling of domain knowledge. We describe design and implementation details for the case study of seminar event extraction from email announcements, and discuss design adaptations across different domains and text genres. © 2015 ACM.",Beam search; Domain knowledge; Information extraction; Perceptron; Structured learning; Template filling,Information analysis; Information retrieval; Neural networks; Semantics; Beam search; Design adaptations; Design and implementations; Domain knowledge; Effective learning; Extraction process; Structural coherence; Structured learning; Data mining
Gaussian processes for independence tests with non-iid data in causal inference,2015,ACM Transactions on Intelligent Systems and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952932167&doi=10.1145%2f2806892&partnerID=40&md5=0de4891605312ea9e4f6c9b7c1502d7b,"In applied fields, practitioners hoping to apply causal structure learning or causal orientation algorithms face an important question: which independence test is appropriate for my data? In the case of real-valued iid data, linear dependencies, and Gaussian error terms, partial correlation is sufficient. But once any of these assumptions is modified, the situation becomes more complex. Kernel-based tests of independence have gained popularity to deal with nonlinear dependencies in recent years, but testing for conditional independence remains a challenging problem. We highlight the important issue of non-iid observations: when data are observed in space, time, or on a network, ""nearby"" observations are likely to be similar. This fact biases estimates of dependence between variables. Inspired by the success of Gaussian process regression for handling non-iid observations in a wide variety of areas and by the usefulness of the Hilbert- Schmidt Independence Criterion (HSIC), a kernel-based independence test, we propose a simple framework to address all of these issues: first, use Gaussian process regression to control for certain variables and to obtain residuals. Second, use HSIC to test for independence. We illustrate this on two classic datasets, one spatial, the other temporal, that are usually treated as iid. We show how properly accounting for spatial and temporal variation can lead to more reasonable causal graphs. We also show how highly structured data, like images and text, can be used in a causal inference framework using a novel structured input/output Gaussian process formulation. We demonstrate this idea on a dataset of translated sentences, trying to predict the source language. © 2015 ACM.",Causal inference; causal structure learning; Gaussian process; Reproducing kernel Hilbert space,Algorithms; Complex networks; Gaussian noise (electronic); Testing; Causal inferences; Causal structure learning; Conditional independences; Gaussian process regression; Gaussian Processes; Hilbert-schmidt independence criterions; Reproducing Kernel Hilbert spaces; Spatial and temporal variation; Gaussian distribution
On estimation of functional causal models: General results and application to the post-nonlinear causal model,2015,ACM Transactions on Intelligent Systems and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952761829&doi=10.1145%2f2700476&partnerID=40&md5=3a55eac3f848e35eccd15b2b5830bc90,"Compared to constraint-based causal discovery, causal discovery based on functional causal models is able to identify the whole causal model under appropriate assumptions [Shimizu et al. 2006; Hoyer et al. 2009; Zhang and Hyvärinen 2009b]. Functional causal models represent the effect as a function of the direct causes together with an independent noise term. Examples include the linear non-Gaussian acyclic model (LiNGAM), nonlinear additive noisemodel, and post-nonlinear (PNL) model. Currently, there are two ways to estimate the parameters in the models: dependence minimization and maximum likelihood. In this article, we show that for any acyclic functional causal model, minimizing the mutual information between the hypothetical cause and the noise term is equivalent to maximizing the data likelihood with a flexible model for the distribution of the noise term. We then focus on estimation of the PNL causal model and propose to estimate it with the warped Gaussian process with the noise modeled by the mixture of Gaussians. As a Bayesian nonparametric approach, it outperforms the previous one based on mutual information minimization with nonlinear functions represented by multilayer perceptrons; we also show that unlike the ordinary regression, estimation results of the PNL causal model are sensitive to the assumption on the noise distribution. Experimental results on both synthetic and real data support our theoretical claims. © 2015 ACM.",Causal discovery; Functional causal model; Maximum likelihood; Post-nonlinear causal model; Statistical independence,Gaussian noise (electronic); Maximum likelihood; Maximum likelihood estimation; Nonlinear analysis; Causal discovery; Causal model; Mixture of Gaussians; Nonlinear functions; Nonparametric approaches; Postnonlinear model; Statistical independence; Synthetic and real data; Additive noise
Causal discovery on discrete data with extensions to mixture model,2015,ACM Transactions on Intelligent Systems and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952762595&doi=10.1145%2f2700477&partnerID=40&md5=54b66908ebbd1cdfa548651e6943f18f,"In this article, we deal with the causal discovery problem on discrete data. First, we present a causal discovery method for traditional additive noise models that identifies the causal direction by analyzing the supports of the conditional distributions. Then, we present a causal mixture model to address the problem that the function transforming cause to effect varies across the observations. We propose a novel method called Support Analysis (SA) for causal discovery with the mixture model. Experiments using synthetic and real data are presented to demonstrate the performance of our proposed algorithm. © 2015 ACM.",Causal discovery; Discrete; Mixture,Mixtures; Causal discovery; Conditional distribution; Discrete; Discrete data; Mixture model; Support analysis; Synthetic and real data; TO effect; Additive noise
Bounds on direct and indirect effects of treatment on a continuous endpoint,2015,ACM Transactions on Intelligent Systems and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952897885&doi=10.1145%2f2668134&partnerID=40&md5=e034346dccd403c5d48ba1df4423c26f,"Direct effect of a treatment variable on an endpoint variable and indirect effect through a mediate variable are important concepts for understanding a causal mechanism. However, the randomized assignment of treatment is not sufficient for identifying the direct and indirect effects, and extra assumptions and conditions are required, such as the sequential ignorability assumption without unobserved confounders or the sequential potential ignorability assumption. But these assumptions may not be credible in many applications. In this article, we consider the bounds on controlled direct effect, natural direct effect, and natural indirect effect without these extra assumptions. Cai et al. [2008] presented the bounds for the case of a binary endpoint, and we extend their results to the general case for an arbitrary endpoint. © 2015 ACM.",Bound; Causal inference; Direct and indirect effects; Mediation analysis,Bound; Causal inferences; Ignorability; Indirect effects; Mediation analysis
From observational studies to causal rule mining,2015,ACM Transactions on Intelligent Systems and Technology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948407567&doi=10.1145%2f2746410&partnerID=40&md5=1c7a39cd279943194787cfa29e53ddc4,"Randomised controlled trials (RCTs) are the most effective approach to causal discovery, but in many circumstances it is impossible to conduct RCTs. Therefore, observational studies based on passively observed data are widely accepted as an alternative to RCTs. However, in observational studies, prior knowledge is required to generate the hypotheses about the cause-effect relationships to be tested, and hence they can only be applied to problems with available domain knowledge and a handful of variables. In practice, many datasets are of high dimensionality, which leaves observational studies out of the opportunities for causal discovery from such a wealth of data sources. In another direction, many efficient data mining methods have been developed to identify associations among variables in large datasets. The problem is that causal relationships imply associations, but the reverse is not always true. However, we can see the synergy between the two paradigms here. Specifically, association rule mining can be used to deal with the high-dimensionality problem, whereas observational studies can be utilised to eliminate noncausal associations. In this article, we propose the concept of causal rules (CRs) and develop an algorithm for mining CRs in large datasets. We use the idea of retrospective cohort studies to detect CRs based on the results of association rule mining. Experiments with both synthetic and real-world datasets have demonstrated the effectiveness and efficiency of CR mining. In comparison with the commonly used causal discovery methods, the proposed approach generally is faster and has better or competitive performance in finding correct or sensible causes. It is also capable of finding a cause consisting of multiple variables - a feature that other causal discovery methods do not possess. 2015 Copyright is held by the owner/author(s). Publication rights licensed to ACM.",Association rule; Causal discovery; Cohort study; Odds ratio,Association rules; Large dataset; Causal discovery; Causal relationships; Cause-effect relationships; Cohort studies; Competitive performance; Effective approaches; Effectiveness and efficiencies; Odds ratios; Data mining
