Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
ASCOS++: An asymmetric similarity measure for weighted networks to address the problem of SimRank,2015,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945178846&doi=10.1145%2f2776894&partnerID=40&md5=cfef12f2015f0ec2c94707578286997d,"In this article, we explore the relationships among digital objects in terms of their similarity based on vertex similarity measures. We argue that SimRank-a famous similarity measure-and its families, such as P-Rank and SimRank++, fail to capture similar node pairs in certain conditions, especially when two nodes can only reach each other through paths of odd lengths. We present new similarity measures ASCOS and ASCOS++ to address the problem. ASCOS outputs a more complete similarity score than SimRank and SimRank's families. ASCOS++ enriches ASCOS to include edge weight into the measure, giving all edges and network weights an opportunity to make their contribution. We show that both ASCOS++ and ASCOS can be reformulated and applied on a distributed environment for parallel contribution. Experimental results show that ASCOS++ reports a better score than SimRank and several famous similarity measures. Finally, we re-examine previous use cases of SimRank, and explain appropriate and inappropriate use cases. We suggest future SimRank users following the rules proposed here before naï¿½vely applying it. We also discuss the relationship between ASCOS++ and PageRank. ï¿½ 2015 ACM.",ASCOS++; Coauthor network; Link analysis; Link prediction; SimRank; Vertex similarity,ASCOS; Co-author networks; Link analysis; Link prediction; Simrank; Vertex similarities; Data mining
GLAD: Group anomaly detection in social media analysis,2015,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946022328&doi=10.1145%2f2811268&partnerID=40&md5=f87a019525d744640fe93b2591cc3445,"Traditional anomaly detection on social media mostly focuses onindividual point anomalies while anomalous phenomena usually occur in groups. Therefore, it is valuable to study the collective behavior of individuals and detect group anomalies. Existing group anomaly detection approaches rely on the assumption that the groups are known, which can hardly be true in real world social media applications. In this article, we take a generative approach by proposing a hierarchical Bayes model: Group Latent Anomaly Detection (GLAD) model. GLAD takes both pairwise and point-wise data as input, automatically infers the groups and detects group anomalies simultaneously. To account for the dynamic properties of the social media data, we further generalize GLAD to its dynamic extension d-GLAD. We conduct extensive experiments to evaluate our models on both synthetic and real world datasets. The empirical results demonstrate that our approach is effective and robust in discovering latent groups and detecting group anomalies. © 2015 ACM.",Community detection; Group anomaly; Topic modeling,Bayesian networks; Social networking (online); Anomalous phenomena; Collective behavior; Community detection; Group anomaly; Hierarchical Bayes models; Real-world datasets; Social media analysis; Topic Modeling; Anomaly detection
Context-aware recommendation using role-based trust network,2015,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945190735&doi=10.1145%2f2751562&partnerID=40&md5=3de9c3e50c860d6a11e63b8831f3fe50,"Recommender systems have been studied comprehensively in both academic and industrial fields over the past decade. As user interests can be affected by context at any time and any place in mobile scenarios, rich context information becomes more and more important for personalized context-aware recommendations. Although existing context-aware recommender systems can make context-aware recommendations to some extent, they suffer several inherent weaknesses: (1) Users' context-aware interests are not modeled realistically, which reduces the recommendation quality; (2) Current context-aware recommender systems ignore trust relations among users. Trust relations are actually context-aware and associated with certain aspects (i.e., categories of items) in mobile scenarios. In this article, we define a term role to model common context-aware interests among a group of users. We propose an efficient role mining algorithm to mine roles from a ""user-context-behavior"" matrix, and a role-based trust model to calculate context-aware trust value between two users. During online recommendation, given a user u in a context c, an efficient weighted set similarity query (WSSQ) algorithm is designed to build u's role-based trust network in context c. Finally, we make recommendations to u based on u's role-based trust network by considering both context-aware roles and trust relations. Extensive experiments demonstrate that our recommendation approach outperforms the state-of-the-art methods in both effectiveness and efficiency. © 2015 ACM.",Context-aware; Recommendation; Role; Trust network,Recommender systems; Context-Aware; Context-aware recommendations; Context-aware recommender systems; Effectiveness and efficiencies; Recommendation; Role; State-of-the-art methods; Trust networks; Behavioral research
Socializing by gaming: Revealing social relationships in Multiplayer Online Games,2015,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945200502&doi=10.1145%2f2736698&partnerID=40&md5=78a1a7b81b1f483a74097db334578458,"Multiplayer Online Games (MOGs) like Defense of the Ancients and StarCraft II have attracted hundreds of millions of users who communicate, interact, and socialize with each other through gaming. In MOGs, rich social relationships emerge and can be used to improve gaming services such as match recommendation and game population retention, which are important for the user experience and the commercial value of the companies who run these MOGs. In this work, we focus on understanding social relationships in MOGs. We propose a graph model that is able to capture social relationships of a variety of types and strengths. We apply our model to real-world data collected from three MOGs that contain in total over ten years of behavioral history for millions of players and matches. We compare social relationships in MOGs across different game genres and with regular online social networks like Facebook. Taking match recommendation as an example application of our model, we propose SAMRA, a Socially Aware Match Recommendation Algorithm that takes social relationships into account. We show that our model not only improves the precision of traditional link prediction approaches, but also potentially helps players enjoy games to a higher extent. © 2015 ACM.",Graph model; Multiplayer Online Games (MOGs); Social relationship; User interaction,Graph theory; Social networking (online); User experience; Graph model; Link prediction; Multi-player online games; On-line social networks; Real-world; Recommendation algorithms; Social relationships; User interaction; Social aspects
User identification across social media,2015,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945185139&doi=10.1145%2f2747880&partnerID=40&md5=51ebfb07c8fd3935a1963bcd90ca67b4,"People use various social media sites for different purposes. The information on each site is often partial. When sources of complementary information are integrated, abetter profile of a user canbe built. This profile can help improve online services such as advertising across sites. To integrate these sources of information, it is necessary to identify individuals across social media sites. This paper aims to address the cross-media user identification problem. We provide evidence on the existence of a mapping among identities of individuals across social media sites, study the feasibility of finding this mapping, and illustrate and develop means for finding this mapping. Our studies show that effective approaches that exploit information redundancies due to users' unique behavioral patterns can be utilized to find such a mapping. This study paves the way for analysis and mining across social networking sites, and facilitates the creation of novel online services across sites. In particular, recommending friends and advertising across networks, analyzing information diffusion across sites, and studying specific user behavior such as user migration across sites in social media are one of the many areas that can benefit from the results of this study. © 2015 ACM.",Behavioral modeling; Cross-media analysis; Social network analysis; User identification,Behavioral research; Mapping; Marketing; Behavioral model; Cross-media; Effective approaches; Information diffusion; Information redundancies; Social networking sites; Sources of informations; User identification; Social networking (online)
A Bayesian perspective on locality sensitive hashing with extensions for kernel methods,2015,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945191989&doi=10.1145%2f2778990&partnerID=40&md5=f8b3b2195fd6acd8429a86835ade22c7,"Given a collection of objects and an associated similarity measure, the all-pairs similarity search problem asks us to find all pairs of objects with similarity greater than a certain user-specified threshold. In order to reduce the number of candidates to search, locality-sensitive hashing (LSH) based indexing methods are very effective. However, most such methods only use LSH for the first phase of similarity search-that is, efficient indexing for candidate generation. In this article, we present BayesLSH, a principled Bayesian algorithm for the subsequent phase of similarity search-performing candidate pruning and similarity estimation using LSH. A simpler variant, BayesLSH-Lite, which calculates similarities exactly, is also presented. Our algorithms are able to quickly prune away a large majority of the false positive candidate pairs, leading to significant speedups over baseline approaches. For BayesLSH, we also provide probabilistic guarantees on the quality of the output, both in terms of accuracy and recall. Finally, the quality of BayesLSH's output can be easily tuned and does not require any manual setting of the number of hashes to use for similarity estimation, unlike standard approaches. For two state-of-the-art candidate generation algorithms, AllPairs and LSH, BayesLSH enables significant speedups, typically in the range 2×-20× for a wide variety of datasets. We also extend the BayesLSH algorithm for kernel methods-in which the similarity between two data objects is defined by a kernel function. Since the embedding of data points in the transformed kernel space is unknown, algorithms such as AllPairs which rely on building inverted index structure for fast similarity search do not work with kernel functions. Exhaustive search across all possible pairs is also not an option since the dataset can be huge and computing the kernel values for each pair can be prohibitive. We propose K-BayesLSH an all-pairs similarity search problem for kernel functions. K-BayesLSH leverages a recently proposed idea-kernelized locality sensitive hashing (KLSH)-for hash bit computation and candidate generation, and uses the aforementioned BayesLSH idea for candidate pruning and similarity estimation. We ran a broad spectrum of experiments on a variety of datasets drawn from different domains and with distinct kernels and find a speedup of 2×-7× over vanilla KLSH. © 2015 ACM.",All-pairs similarity search; Bayesian inference; Kernel similarity measure; Locality-sensitive hashing,Bayesian networks; Inference engines; Bayesian inference; Inverted index structures; Kernelized locality-sensitive hashing; Locality sensitive hashing; Probabilistic guarantees; Similarity estimation; Similarity measure; Similarity search; Indexing (of information)
Recommending users and communities in social media,2015,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946127386&doi=10.1145%2f2757282&partnerID=40&md5=1e7114915ca52584a0d6c1adfaad5339,"Social media has become increasingly prevalent in the last few years, not only enabling people to connect with each other by social links, but also providing platforms for people to share information and interact over diverse topics. Rich user-generated information, for example, users relationships and daily posts, are often available in most social media service websites. Given such information, a challenging problem is to provide reasonable user and community recommendation for a target user, and consequently, help the target user engage in the daily discussions and activities with his/her friends or like-minded people. In this article, we propose a unified framework of recommending users and communities that utilizes the information in social media. Given a users profile or a set of keywords as input, our framework is capable of recommending influential users and topic-cohesive interactive communities that are most relevant to the given user or keywords. With the proposed framework, users can find other individuals or communities sharing similar interests, and then have more interaction with these users or within the communities. We present a generative topic model to discover user-oriented and community-oriented topics simultaneously, which enables us to capture the exact topical interests of users, as well as the focuses of communities. Extensive experimental evaluation and case studies on a dataset collected from Twitter demonstrate the effectiveness of our proposed framework compared with other probabilistic-topic-model-based recommendation methods.",Community recommendation; Social media; User recommendation; Usercommunity-topic model,Social networking (online); Community recommendations; Experimental evaluation; Probabilistic topic models; Recommendation methods; Social media; Social media services; Topic Modeling; User recommendations; Recommender systems
Data-aware vaccine allocation over large networks,2015,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945185873&doi=10.1145%2f2803176&partnerID=40&md5=334aca4aea445f85bbdac425228f9248,"Givenagraph, likeasocial/computer networkorthe blogosphere, in which an infection (or meme or virus) has been spreading for some time, how to select the k best nodes for immunization/quarantining immediately? Most previous works for controlling propagation (say via immunization) have concentrated on developing strategies for vaccination preemptively before the start of the epidemic. While very useful to provide insights in to which baseline policies can best control an infection, they may not be ideal to make real-time decisions as the infection is progressing. In this paper, we study how to immunize healthy nodes, in the presence of already infected nodes. Efficient algorithms for such a problem can help public-health experts make more informed choices, tailoring their decisions to the actual distribution of the epidemic on the ground. First we formulate the Data-Aware Vaccination problem, and prove it is NP-hard and also that it is hard to approximate. Secondly, we propose three effective polynomial-time heuristics DAVA, DAVA-prune and DAVA-fast, of varying degrees of efficiency and performance. Finally, we also demonstrate the scalability and effectiveness of our algorithms through extensive experiments on multiple real networks including large epidemiology datasets (containing millions of interactions). Our algorithms show substantial gains of up to ten times more healthy nodes at the end against many other intuitive and nontrivial competitors. © 2015 ACM.",Diffusion; Graph mining; Immunization; Social networks,Diffusion; Epidemiology; Immunization; Large dataset; Polynomial approximation; Social networking (online); Viruses; Developing strategy; Efficiency and performance; Graph mining; Large networks; Polynomial time heuristics; Public health experts; Real networks; Real time decisions; Vaccines
Refining social graph connectivity via shortcut edge addition,2015,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945193193&doi=10.1145%2f2757281&partnerID=40&md5=5ddc96e3bde6150bd387308c973758e6,"Small changes on the structure of a graph can have a dramatic effect on its connectivity. While in the traditional graph theory, the focus is on well-defined properties of graph connectivity, such as biconnectivity, in the context of a social graph, connectivity is typically manifested by its ability to carry on social processes. In this paper, we consider the problem of adding a small set of nonexisting edges (shortcuts) in a social graph with the main objective of minimizing its characteristic path length. This property determines the average distance between pairs of vertices and essentially controls how broadly information can propagate through a network. We formally define the problem of interest, characterize its hardness and propose a novel method, path screening, which quickly identifies important shortcuts to guide the augmentation of the graph. We devise a sampling-based variant of our method that can scale up the computation in larger graphs. The claims of our methods are formally validated. Through experiments on real and synthetic data, we demonstrate that our methods are a multitude of times faster than standard approaches, their accuracy outperforms sensible baselines and they can ease the spread of information in a network, for a varying range of conditions. © 2015 ACM.",Conductance; Graph augmentation; Mixing time; Network engineering; Propagation; Shortcuts; Social networks,Computation theory; Electric conductance; Mixer circuits; Social networking (online); Wave propagation; Average Distance; Characteristic path lengths; Graph augmentation; Graph connectivity; Mixing time; Network engineering; Shortcuts; Spread of informations; Graph theory
Occupancy-based frequent pattern mining,2015,ACM Transactions on Knowledge Discovery from Data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945201262&doi=10.1145%2f2753765&partnerID=40&md5=b40347fd98fe50e2290c795c0cd9f1d5,"Frequent pattern mining is an important data mining problem with many broad applications. Most studies in this field use support (frequency) to measure the popularity of a pattern, namely the fraction of transactions or sequences that include the pattern in a data set. In this study, we introduce a new interesting measure, namely occupancy, to measure the completeness of a pattern in its supporting transactions or sequences. This is motivated by some real-world pattern recommendation applications in which an interesting pattern should not only be frequent, but also occupies a large portion of its supporting transactions or sequences. With the definition of occupancy we call a pattern dominant if its occupancy value is above a user-specified threshold. Then, our task is to identify the qualified patterns which are both dominant and frequent. Also, we formulate the problem of mining top-k qualified patterns, that is, finding k qualified patterns with maximum values on a user-defined function of support and occupancy, for example, weighted sum of support and occupancy. The challenge to these tasks is that the value of occupancy does not change monotonically when more items are appended to a given pattern. Therefore, we propose a general algorithm called DOFRA (DOminant and FRequent pattern mining Algorithm) for mining these qualified patterns, which explores the upper bound properties on occupancy to drastically reduce the search process. Finally, we show the effectiveness of DOFRA in two real-world applications and also demonstrate the efficiency of DOFRA on several real and large synthetic datasets. © 2015 ACM.",Bound estimation; Dominant pattern; Occupancy,Large dataset; Bound estimation; Broad application; Data mining problems; Dominant pattern; Frequent pattern mining; Occupancy; Synthetic datasets; User Defined Functions; Data mining
