Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"Algorithm 750: CDT: A Subroutine for the Exact Solution of Large-Scale, Asymmetric Traveling Salesman Problems",1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000291848&doi=10.1145%2f212066.212084&partnerID=40&md5=3a18515d72cb916826e42c984441de45,[No abstract available],,Decision trees; Linear programming; Problem solving; Unmanned vehicles; Assignment problem; Asymmetric traveling salesman problem; Branch and bound; Exact solutions; Fortran codes; Parametric solutions; Relaxed problems; Subtour elimination; Traveling salesman problem
Numerical Analysis Using Nonprocedural ParadicIMS,1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-3943089229&doi=10.1145%2f210089.210093&partnerID=40&md5=69642a7a43fb8d74281f604647a11110,"This article presents a survey on the innovative features of a handful of languages that offer new features that can be valuable in numerical analysis, and a survey of the pros and cons of the languages with regards to work in numerical analysis. Language features such as polymorphism, first-class functions, and object-oriented programming offer improved writability, readability, reliability, and maintenance of computer software. The article discusses language features and uses, and includes a comparison of current implementations. It is intended both as an introduction to nonprocedural language features for persons working in numerical mathematics and as an exploration of some of the language requirements of numerical mathematics for persons working in language development. The article discusses C++, Fortran 77, Fortran 90, Haskell, Lisp/CLOS, Modula-3, Satherj and SML with respect to a variety of numerical analysis tasks: Interpolation, optimization, array access and update, iteration, recursion, random number generation, and Gaussian elimination on sparse matrices. © 1995, ACM. All rights reserved.",Benchmarks; experimental languages; Gaussian elimination; linear algebra; programming languages; sparse matrices,Algebra; C (programming language); Computer software maintenance; Computers; FORTRAN (programming language); Linguistics; Modula (programming language); Numerical analysis; Query languages; Random number generation; Software reliability; Surveys; Trellis codes; Word processing; Benchemarks; Exeperimental language; Gaussian elimination; Programming language; Sparse matrices; Object oriented programming
"An Arnoldi Code for Computing Selected Eigenvalues of Sparse, Real, Unsymmetric Matrices",1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001654663&doi=10.1145%2f212066.212091&partnerID=40&md5=4fee960f186914e55e2c721c357bb87e,[No abstract available],,Algorithms; Eigenvalues and eigenfunctions; Subroutines; Absolute values; Arnoldi algorithms; Arnoldi methods; Arnoldi's mothod; Chebyshew acceleration; Design and Development; Dominant eigenvalues; Eigen values; Eigenvalue problems; Imaginary parts; Large sparse matrices; Real unsymmatric matrices; Subspace iteration methods; Subspace iterations; Test problems; Unsymmetric matrices; Iterative methods
Algorithm 745: Computation of the Complete and Incomplete Fermi-Dirac Integral,1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0004492257&doi=10.1145%2f210089.210090&partnerID=40&md5=44b4fd29f5e5f55d4e80b3f2e9ef5c56,"Portable Fortran subroutines computing the Fermi-Dirac integral fj(x) and the incomplete Fermi-Dirac integral fj(x, b) are presented. For the first time a set of series expansions is implemented allowing these special functions to be evaluated efficiently within a prescribed accuracy for real J and x. © 1995, ACM. All rights reserved.",Asymptotic expansions; confluent hypergeometric functions; convergence acceleration; epsilon algorithm; Euler transformation; e[k] transforms; Fermi-Diracintegral; incomplete Fermi-Dirac integral; incomplete gamma function; Levin's u transform; Riemann's zeta function,Asymptotic analysis; Convergence of numerical methods; Fermions; Fourier transforms; Mathematical transformations; Time series; Asymptotic expansions; Confluent hypergeometric functions; Convergence acceleration; E[k] transforms; Epsilon algorithm; Euler transformation; Fermi-Dirac integral; Incomplete Fermi-Dirac integral; Levin's u transform; Riemann's zeta function; Sound reproduction
A Modification of Talbot's Method for the Simultaneous Approximation of Several Values of the Inverse Laplace Transform,1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000799469&doi=10.1145%2f212066.212068&partnerID=40&md5=70d33d3e7f248b63ecb4d532d7a4a3c6,"In recent years many results have been obtained in the field of the numerical inversion of Laplace transforms. Among them, a very accurate and general method is due to Talbot: this method approximates the value of the inverse Laplace transform f(t), for t fixed, using the complex values of the Laplace transform IVs sampled on a suitable contour of the complex plane. On the basis of the interest raised by Talbot's method implementation, the author has been induced to investigate more deeply the possibilities of this method and has been able to generahze Talbot's method, to approximate simultaneously several values of f(t) using the same sampling values of the Laplace transform. In this way, the only unfavorable aspect of the classical Talbot method, that is, that of recomputing all of the samples of IVs for each t, has been eliminated. Categories and Subject Descriptors: G.1.0 [Numerical .Aualysis]: General-error analysis; numerical algorithms; G.1.2 [Numerical Analysis]: Approxirnation-nonhnear approximation; G.1.4 [Numerical Analysis]: Quadrature and Numerical Differentiation-equal interval integration; error analysis; G.1.9 [Numerical Analysis]: Integral Equations-Fredholm equations. General Terms: Algorithms. © 1995, ACM. All rights reserved.",Complex inversion formula; inverse Laplace transform; numerical method; TALBOT; trapezoidal rule,Fourier transforms; Mathematical transformations; Number theory; Numerical methods; Complex inversion formula; Complex planes; Complex values; General methods; Inverse Laplace transform; Numerical inversion of laplace transforms; Re-computing; Simultaneous approximations; Talbot; Trapezoidal rule; Laplace transforms
"Exact Solution of Large-Scale, Asymmetric Traveling Salesman Problems",1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000291844&doi=10.1145%2f212066.212081&partnerID=40&md5=155d6bd515cc3ca6decc5fc05812017a,[No abstract available],,Algorithms; Decision trees; Linear programming; Problem solving; Unmanned vehicles; Assignment problems; Assisgnment problem; Asymmetric Traveling Salesman Problem; Branch and bound; Branch-and-bound algorithms; Complete digraphs; Cpu time; Exact solutions; Large sizes; No-wait flow shops; Parametric solutions; Real-world; Relaxed problems; Stacker cranes; Subtour elimination; Traveling salesman problem
A Remark on Algorithm 644: “A Portable Package for Bessel Functions of a Complex Argument and Nonnegative Order”,1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041174330&doi=10.1145%2f212066.212078&partnerID=40&md5=aac51b3b62eb60ee53ad9b5b882f13ab,[No abstract available],,Harmonic analysis; Yttrium alloys; Complex Airy functions; Complex Bessel functions; H; I; J; K; Log gamma functions; Y Bessel functions; Bessel functions
Cornputing the MDMTDecomposition,1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0009153588&doi=10.1145%2f212066.212092&partnerID=40&md5=ec6a61a3a72b4b6718d6d4c04778e7cb,[No abstract available],,Algebra; Eigenvalues and eigenfunctions; Factorization; Linear systems; Subroutines; Alternative algorithms; Basic linear algebra subroutines; Block algorithms; Block factorization; Block sizes; Coefficient matrices; Decomposition algorithms; Eigenvalue problems; Indefinite matrixes; LAPACK; Matrix-matrix products; Matrix-vector products; matrixes; N matrixes; Performance degradations; Symmetric indefinite; Algorithms
A Fortran 90-Based Multiprecision System,1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0000450702&doi=10.1145%2f212066.212075&partnerID=40&md5=d8da54d3554328c6552b40a3f900c208,[No abstract available],,Program translators; Arithmetic; Computation systems; Data types; Derived datum; Fortran 90; Fortran codes; Fortrans; Mixed-mode operations; Multiprecision; New approaches; FORTRAN (programming language)
Algorithm 746: PCOMP: A Fortran Code for Automatic Differentiation,1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0039054433&doi=10.1145%2f210089.210091&partnerID=40&md5=d400b57b4c968147990dc66cbac49127,"Automatic differentiation is an interesting and important tool for all numerical algorithms that require derivatives, e.g., in nonlinear programming, optimal control, parameter estimation, and differential equations. The basic idea is to avoid not only numerical approximations, which are expensive with respect to CPU time and contain round-off errors, but also hand-coded differentiation. This article introduces the forward and backward accumulation methods and describes the numerical implementation of a computer code with the name PCOMP. The main intention of the approach used is to provide a flexible and portable Fortran code for practical applications. The underlying language is described in terms of a formal grammar and is a subset of Fortran with a few extensions. Besides a parser that generates an intermediate code and that can be executed independently from the evaluation routines, there are other subroutines for the direct computation of function and gradient values, which can be called directly from a user program. On the other hand, it is possible to generate a Fortran code for function and gradient evaluation that can be compiled and linked separately. © 1995, ACM. All rights reserved.",Automatic differentiation; forward accumulation; reverse accumulation,FORTRAN (programming language); Nonlinear equations; Numerical methods; Parameter estimation; Automatic differentiation; Basic ideas; Computer codes; Cpu time; Formal grammars; Fortran codes; Fortrans; Forward accumulation; Numerical algorithms; Numerical approximations; Numerical implementations; Optimal controls; Reverse accumulation; Round-off errors; Underlying languages; User programs; Subroutines
A Set of Ada Packages for High-Precision Calculations,1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042199492&doi=10.1145%2f212066.212087&partnerID=40&md5=ecd2428005f6fb5c729ed8a149569747,[No abstract available],,Ada (programming language); Function evaluation; Portable equipment; Accuracy; Ada; Arithmetic elementary-function evaluation; Floating-point; Multiple-precision portable software; Functions
Algorithm 748: Enclosing Zeros of Continuous Functions,1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0347129026&doi=10.1145%2f210089.210111&partnerID=40&md5=cf48119e9bc1021c736e47a0c5eb9443,"Two efiicient algorithms for enclosing a zero of a continuous function are presented. They are similar to the recent methods, but together with quadratic interpolation they make essential use of inverse cubic interpolation as well. Since asymptotically the inverse cubic interpolation is always chosen by the algorithms, they achieve higher-efficiency indices: 1.6529 … for the first algorithm, and 1.6686 … for the second one. It is proved that the second algorithm is optimal in a certain family. Numerical experiments show that the two new methods compare well with recent methods, as well as with the efficient solvers of Dekker, Brent, Bus and Dekker, and Le. The second method from the present article has the best behavior of all 12 methods especially when the termination tolerance is small. © 1995, ACM. All rights reserved.",Asymptotic efficiency index; enclosing method; inverse cubic interpolation; quadratic interpolation; simple root,Algorithms; Asymptotic analysis; Numerical methods; Asymptotic efficiency index; Enclosing method; Inverse cubic interpolation; Quadratic interpolation; Simple root Copyright; Interpolation
Algorithm 749: Fast Discrete Cosine Transform,1995,ACM Transactions on Mathematical Software (TOMS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0004957814&doi=10.1145%2f212066.212071&partnerID=40&md5=a1e47154b43222bded11abfa50ff1e67,[No abstract available],,Cosine transforms; Discrete cosine transforms; Fourier transforms; Image coding; Real time systems; Fast discrete cosine transforms; Fast transform; In-place algorithms; Inverse discrete cosine transforms; Power of twos; Data compression
