Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Algorithm 953: Parallel library software for the multishift qr algorithm with aggressive early deflation,2015,ACM Transactions on Mathematical Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943313977&doi=10.1145%2f2699471&partnerID=40&md5=cdae6af5c5a3446789ef209445718d9f,"Library software implementing a parallel small-bulge multishift QR algorithm with Aggressive Early Deflation (AED) targeting distributed memory high-performance computing systems is presented. Starting from recent developments of the parallel multishift QR algorithm [Granat et al., SIAM J. Sci. Comput. 32(4), 2010], we describe a number of algorithmic and implementation improvements. These include communication avoiding algorithms via data redistribution and a refined strategy for balancing between multishift QR sweeps and AED. Guidelines concerning several important tunable algorithmic parameters are provided. As a result of these improvements, a computational bottleneck within AED has been removed in the parallel multishift QR algorithm. A performance model is established to explain the scalability behavior of the new parallel multishift QR algorithm. Numerous computational experiments confirm that our new implementation significantly outperforms previous parallel implementations of the QR algorithm. © 2015 ACM.",Aggressive early deflation; Distributed memory architectures; Multishift QR algorithm; Parallel algorithms,Computer software; Parallel algorithms; Software engineering; Aggressive early deflation; Communication avoiding algorithms; Computational bottlenecks; Computational experiment; Distributed memory architecture; High performance computing systems; Parallel implementations; QR algorithms; Memory architecture
CGALmesh: A generic framework for delaunay mesh generation,2015,ACM Transactions on Mathematical Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944585924&doi=10.1145%2f2699463&partnerID=40&md5=2fc65cb3104d5ed74086a1b44fc9683e,"CGALmesh is the mesh generation software package of the Computational Geometry Algorithm Library (CGAL). It generates isotropic simplicial meshesâ€""surface triangular meshes or volume tetrahedral meshesâ€""from input surfaces, 3D domains, and 3D multidomains, with or without sharp features. The underlying meshing algorithm relies on restricted Delaunay triangulations to approximate domains and surfaces and on Delaunay refinement to ensure both approximation accuracy and mesh quality. CGALmesh provides guarantees on approximation quality and on the size and shape of the mesh elements. It provides four optional mesh optimization algorithms to further improve the mesh quality. A distinctive property of CGALmesh is its high flexibility with respect to the input domain representation. Such a flexibility is achieved through a careful software design, gathering into a single abstract concept, denoted by the oracle, all required interface features between themeshing engine and the input domain.We already provide oracles for domains defined by polyhedral and implicit surfaces. © 2015 ACM.",Delaunay refinement; Isosurface extraction; Mesh generation; Mesh optimization,Approximation algorithms; Software design; Approximation accuracy; Approximation quality; Computational geometry algorithms; Delaunay refinements; Domain representations; Isosurface extraction; Mesh optimization; Restricted delaunay triangulation; Mesh generation
Algorithmic differentiation of numerical methods: Tangent and adjoint solvers for parameterized systems of nonlinear equations,2015,ACM Transactions on Mathematical Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939206796&doi=10.1145%2f2700820&partnerID=40&md5=d745c797942f45fa979861a4eebe17a2,"We discuss software tool support for the algorithmic differentiation (AD), also known as automatic differentiation, of numerical simulation programs that contain calls to solvers for parameterized systems of n nonlinear equations. The local computational overhead and the additional memory requirement for the computation of directional derivatives or adjoints of the solution of the nonlinear system with respect to the parameters can quickly become prohibitive for large values of n. Both are reduced drastically by analytical (and symbolic) approaches to differentiation of the underlying numerical methods. Following the discussion of the proposed terminology, we develop the algorithmic formalism building on prior work by other colleagues and present an implementation based on the AD software dco/c++. A representative case study supports the theoretically obtained computational complexity results with practical runtime measurements. © 2015 ACM.",Algorithmic differentiation; Tangent/adjoint nonlinear solver,Computer aided software engineering; Computer software; Numerical methods; Algorithmic differentiations; Automatic differentiations; Computational overheads; Directional derivative; Memory requirements; Non-linear solver; Parameterized system; Run-time measurement; Nonlinear equations
Algorithm 954: An accurate and efficient cubic and quartic equation solver for physical applications,2015,ACM Transactions on Mathematical Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944627326&doi=10.1145%2f2699468&partnerID=40&md5=570cabffd7acc23ef340936f26efde80,"We report on an accurate and efficient algorithm for obtaining all roots of general real cubic and quartic polynomials. Both the cubic and quartic solvers give highly accurate roots and place no restrictions on the magnitude of the polynomial coefficients. The key to the algorithm is a proper rescaling of both polynomials. This puts upper bounds on the magnitude of the roots and is very useful in stabilizing the root finding process. The cubic solver is based on dividing the cubic polynomial into six classes. By analyzing the root surface for each class, a fast convergent Newton-Raphson starting point for a real root is obtained at a cost no higher than three additions and four multiplications. The quartic solver uses the cubic solver in getting information about stationary points and, when the quartic has real roots, stable Newton-Raphson iterations give one of the extreme real roots. The remaining roots follow by composite deflation to a cubic. If the quartic has only complex roots, the present article shows that a stable Newton-Raphson iteration on a derived symmetric sixth degree polynomial can be formulated for the real parts of the complex roots. The imaginary parts follow by solving suitable quadratics. © 2015 ACM.",Cubic equation; Newton-Raphson scheme; Polynomial roots; Quartic equation,Iterative methods; Linear stability analysis; Cubic equations; Newton Raphson iteration; Newton Raphson Scheme; Physical application; Polynomial coefficients; Polynomial roots; Quartic equation; Quartic polynomial; Polynomials
Algorithm 952: PHquintic: A library of basic functions for the construction and analysis of planar quintic pythagorean-hodograph curves,2015,ACM Transactions on Mathematical Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944575890&doi=10.1145%2f2699467&partnerID=40&md5=4e833e33d542f3fe55c73fdac34f7b21,"The implementation of a library of basic functions for the construction and analysis of planar quintic Pythagorean-hodograph (PH) curves is presented using the complex representation. The special algebraic structure of PH curves permits exact algorithms for the computation of key properties, such as arc length, elastic bending energy, and offset (parallel) curves. Single planar PH quintic segments are constructed as interpolants to first-order Hermite data (end points and derivatives), and this construction is then extended to open or closed C2 PH quintic spline curves interpolating a sequence of points in the plane. The nonlinear nature of PH curves incurs a multiplicity of formal solutions to such interpolation problems, and a key aspect of the algorithms is to efficiently single out the unique ""good"" interpolant among them. © 2015 ACM.","Arc length bending energy; Computerâ€""aided geometric design; Hermite and spline interpolation; Newton-Raphson method; Offset curves; Pythagorean-hodograph curves",Curve fitting; Kinematics; Newton-Raphson method; Bending energies; Geometric design; Offset curve; Pythagorean hodograph curves; Spline interpolation; Interpolation
Algorithm 951: Cayley analysis of mechanism configuration spaces using caymos: Software functionalities and architecture,2015,ACM Transactions on Mathematical Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944619836&doi=10.1145%2f2699462&partnerID=40&md5=0ac859713be9591c1c036b9be7f8890c,"For a common class of two-dimensional (2D)mechanisms called 1-dof tree-decomposable linkages, we present a software package, CayMos,which uses new theoretical results from Sitharam andWang [2014] and Sitharam et al. [2011a, 2011b] to implement efficient algorithmic solutions for (a) meaningfully representing and visualizing the connected components in the Euclidean realization space; (b) finding a path of continuous motion between two realizations in the same connected component, with or without restricting the realization type (sometimes called orientation type); and (c) finding two â€œclosestâ€ realizations in different connected components. © 2015 ACM.",1-degree-of-freedom linkage; Computer-aided design (CAD); Motion space; Realization space,Computerized tomography; 1-degree-of-freedom linkage; Algorithmic solutions; Analysis of mechanisms; Configuration space; Motion space; Realization space; Software functionality; Two Dimensional (2 D); Computer aided design
Optimizing sparse matrix-matrix multiplication for the GPU,2015,ACM Transactions on Mathematical Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942000185&doi=10.1145%2f2699470&partnerID=40&md5=e6fb61dfdb1c69aef62783455c2c4344,"Sparse matrix-matrix multiplication (SpGEMM) is a key operation in numerous areas from information to the physical sciences. Implementing SpGEMM efficiently on throughput-oriented processors, such as the graphics processing unit (GPU), requires the programmer to expose substantial fine-grained parallelism while conserving the limited off-chip memory bandwidth. Balancing these concerns, we decompose the SpGEMM operation into three highly parallel phases: expansion, sorting, and contraction, and introduce a set of complementary bandwidth-saving performance optimizations. Our implementation is fully general and our optimization strategy adaptively processes the SpGEMM workload row-wise to substantially improve performance by decreasing the work complexity and utilizing the memory hierarchy more effectively. ï¿½ 2015 ACM 0098-3500/2015/10-ART25 $15.00.",GPU; Matrix-matrix; Parallel; Sparse,Bandwidth; Computer graphics; Image coding; Matrix algebra; Program processors; Fine-grained parallelism; GPU; Graphics Processing Unit; Optimization strategy; Parallel; Performance optimizations; Sparse; Sparse matrix-matrix multiplications; Computer graphics equipment
Efficient calculations of faithfully rounded l2-norms of n-vectors,2015,ACM Transactions on Mathematical Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944538934&doi=10.1145%2f2699469&partnerID=40&md5=afd595d5ad1cf45e2fd9056dab0cbd74,"In this article, we present an efficient algorithm to compute the faithful rounding of the l2-norm of a floatingpoint vector. This means that the result is accurate to within 1 bit of the underlying floating-point type. This algorithm does not generate overflows or underflows spuriously, but does so when the final result calls for such a numerical exception to be raised. Moreover, the algorithm is well suited for parallel implementation and vectorization. The implementation runs up to 3 times faster than the netlib version on current processors. © 2015 ACM.",2-norm; Error-free transformations; Faithful rounding; Floating-point arithmetic; Overflow; Underflow,Computer software; Software engineering; 2-norm; Error-free transformations; Faithful rounding; Overflow; Underflows; Digital arithmetic
Complex root finding algorithm based on Delaunay triangulation,2015,ACM Transactions on Mathematical Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930836711&doi=10.1145%2f2699457&partnerID=40&md5=625008116a369c498e81c9cb56de46e8,"A simple and flexible algorithm for finding zeros of a complex function is presented. An arbitrary-shaped search region can be considered and a very wide class of functions can be analyzed, including those containing singular points or even branch cuts. The proposed technique is based on sampling the function at nodes of a regular or a self-adaptive mesh and on the analysis of the function sign changes. As a result, a set of candidate points is created, where the signs of the real and imaginary parts of the function change simultaneously. To verify and refine the results, an iterative algorithm is applied. The validity of the presented technique is supported by the results obtained in numerical tests involving three different types of functions. © 2015 ACM.",Algorithms; Complex root finding; Delaunay triangulation; G.1.5 [numerical analysis]: roots of nonlinear equations-iterative methods; Global algorithm; Performance,Algorithms; Nonlinear equations; Numerical methods; Triangulation; Complex functions; Complex roots; Delau-nay triangulations; Global algorithms; Iterative algorithm; Performance; Real and imaginary; Singular points; Iterative methods
Algorithm 949: MATLAB tools for HDG in three dimensions,2015,ACM Transactions on Mathematical Software,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930835593&doi=10.1145%2f2658992&partnerID=40&md5=a0d22d50a5958293251ab19dc7e25d79,"In this article, we provide some MATLAB tools for efficient vectorized implementation of the Hybridizable Discontinuous Galerkin for linear variable coefficient reaction-diffusion problems in polyhedral domains. The resulting tools are modular and include enhanced structures to deal with convection-diffusion problems, plus several projection operators and the postprocessing implementation that is necessary to realize the superconvergence property of the method. Loops over the elements are exclusively local and, as such, have been parallelized. © 2015 ACM.",Algorithms; Design; Discontinuous Galerkin methods; Finite element methods; G.1.8 [numerical analysis]: partial differential equations-elliptic equations; Hybridization; Vectorization,Algorithms; Design; Differential equations; Diffusion in liquids; Finite element method; Numerical methods; Convection diffusion problems; Discontinuous galerkin; Discontinuous Galerkin methods; Elliptic equations; Hybridization; Reaction diffusion problems; Variable coefficients; Vectorization; Galerkin methods
