Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Fast Simulation of Packet Loss Rates in a Shared Buffer Communications Switch,1995,ACM Transactions on Modeling and Computer Simulation (TOMACS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029389492&doi=10.1145%2f226275.226277&partnerID=40&md5=399e76b9050b0b63ee5813d63bcb008a,"This article describes an efficient technique for estimating, via simulation, the probability of buffer overflows in a queueing model that arises in the analysis of ATM (Asynchronous Transfer Mode) commumcation switches. There are multiple streams of (autocorrelated) traffic feeding the switch that has a buffer of finite capacity. Each stream is designated as being of either high or low priority. When the queue length reaches a certain threshold, only high priority packets are admitted to the switch's buffer. The problem is to estimate the loss rate of high priority packets. An asymptotically optimal importance samphng approach is developed for this rare event simulation problem. In this approach, the importance sampling is done in two distinct phases. In the first phase, an importance sampling change of measure is used to bring the queue length up to the threshold at which low priority packets get rejected, In the second phase a different importance sampling change of measure is used to move the queue length from the threshold to the buffer capacity. © 1995, ACM. All rights reserved.",Commumcations switch; importance sampling; packet loss; queuing model; rare event; simulation; variance reduction,Asynchronous transfer mode; Channel capacity; Mathematical models; Packet networks; Probability; Queueing theory; Telecommunication traffic; Buffer overflow; Importance sampling; Packet loss rates; Queueing model; Rare event; Shared buffer communication switch; Variance reduction; Computer simulation
Visualizing Real-Time Multivariate Data Using Preattentive Processing,1995,ACM Transactions on Modeling and Computer Simulation (TOMACS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029333106&doi=10.1145%2f217853.217855&partnerID=40&md5=522b2fa086fdec4fa3491e4379043e91,[No abstract available],,Color; Computer simulation; Data reduction; Real time systems; User interfaces; Vision; Curvature; Hue; Preattentive processing; Real time multivariate data; Computer graphics
Graphical Interactive Simulation Input Modeling with Bivariate Bezier Distributions,1995,ACM Transactions on Modeling and Computer Simulation (TOMACS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029333587&doi=10.1145%2f217853.217854&partnerID=40&md5=98c7321d7ef620b9b74e94932b092fd6,"A graphical interactive technique for modeling bivariate simulation inputs is based on a family of continuous univariate and bivariate probability distributions with bounded support that are described by B6zier curves and surfaces, respectively. This family of distributions has a natural, extensible parameterization so that all parameters have a meaningful interpretation; and the complete family is capable of accurately representing an unlimited variety of shapes for marginal distributions together with many common types of blvariate stochastic dependence. This approach to simulation input modeling is implemented in a Windows-based software system called Pmw-probabilistic Input Modeling Environment. Several examples illustrate the application of PRIME to subjective and data-driven estimation of bivariate distributions representing simulation inputs. © 1995, ACM. All rights reserved.",Graphical interactive distribution fitting,Algorithms; Computer software; Graph theory; Probability; Random processes; Statistics; Bivariate Bezier distributions; Graphical interactive distribution fitting; Graphical interactive simulation input modeling; Probabilistic input modeling environment; Computer simulation
Production and Playback of Human Figure Motion for Visual Simulation,1995,ACM Transactions on Modeling and Computer Simulation (TOMACS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029332665&doi=10.1145%2f217853.217856&partnerID=40&md5=bad9670831944cc6ba83e415cad2b36c,[No abstract available],,Computer simulation; Data structures; Network protocols; Performance; Real time systems; Three dimensional computer graphics; Virtual reality; Human figure motion; Multiresolution motion; Posture graphs; Real time animation; Visual simulation; Animation
HCSM: A Framework for Behavior and Scenario Control in Virtual Environments,1995,ACM Transactions on Modeling and Computer Simulation (TOMACS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029332705&doi=10.1145%2f217853.217857&partnerID=40&md5=e10bc1deb8b7e8f1e1b5d86d44f8d032,[No abstract available],,Algorithms; Computer programming languages; Computer simulation; Finite automata; Real time systems; Simulators; Software engineering; Three dimensional computer graphics; Autonomous agents; Behavior modeling; Interactive simulation; Reactive systems; Real time simulation; Scenario control; Virtual reality
A Comparative Study of Parallel Algorithms for Simulating Continuous Time Markov Chains,1995,ACM Transactions on Modeling and Computer Simulation (TOMACS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029387820&doi=10.1145%2f226275.226278&partnerID=40&md5=5e47c9d80f0e8450abe6086b00df27f8,"This article describes methods for simulating continuous time Markov chain models, using parallel architectures, The basis of our method is the technique of uniformization; within this framework there are a number of options concerning optimism and aggregation, We describe four different variations, paying particular attention to an adaptive method that optimistically assumes upper bounds on the rate at which one processor affects another in simulation time, and recovers from violations of this assumption using global checkpoints. We descmbe our experiences with these methods on a variety of Intel multiprocessor architectures, including the Touchstone Delta, where excellent speedups of up to 220 using 256 processors are observed. © 1995, ACM. All rights reserved.",Markov chains; simulation,Markov processes; Mathematical models; Optimization; Parallel algorithms; Parallel processing systems; Continuous time Markov chairs; Discrete event simulation; Verification; Computer simulation
Time-Segmentation Parallel Simulation of Networks of Queues with Loss or Communication Blocking,1995,ACM Transactions on Modeling and Computer Simulation (TOMACS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029387806&doi=10.1145%2f226275.226276&partnerID=40&md5=accbeed8b769b5dca59ac8076532b4f0,"This article is concerned with the efficient simulation of communication systems on parallel processors. In most of the article, we assume that the communication system under study can be modeled as a system of finite exponential queues with a general topology (in particular, the system need not be acyclic) and with either loss or communication blocking. We also assume that to estimate the performance measures of interest, it is necessary to generate long sample paths of the system. This is the case in both steady-state simulations and in long transient simulations. The approach involves applying each processor to simulate the entire system for a part of the time horizon of interest. We present theory guaranteeing the validity of the proposed approach, and numerical results proving the viability of the approach. The proof of the validity of the approach uses the fact that the queueing systems considered are continuous time Markov chains. An essential part of the argument is a proof that sample paths starting from different initial states eventually will couple (i.e., become identical), and a simple method for recognizing the time when a sample path has become independent of the original starting state (i.e., when all sample paths have coupled, regardless of the initial state). Finally, we discuss how our approach can be used for parallel trace-driven simulations of certain non-Markovian systems, and state the implications of this research for the initialization bias problem in steady-state simulation. © 1995, ACM. All rights reserved.",Communication blocking; communication systems; coupling; initialization bias problem; loss; parallel simulation; queueing systems; time segmentation; trace-driven simulation,Communication systems; Markov processes; Parallel processing systems; Performance; Queueing theory; Telecommunication networks; Topology; Communication blocking; Finite exponential clues; Long transient simulation; Parallel trace driven simulations; Steady stale simulation; Time segmentation parallel simulation; Computer simulation
Theory and Application of Marsaglia's Monkey Test for Pseudorandom Number Generators,1995,ACM Transactions on Modeling and Computer Simulation (TOMACS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029280812&doi=10.1145%2f210330.210331&partnerID=40&md5=c0ed0ceec03a5cf27dd3f706a62ff1b7,"A theoretical analysis is given for a new test, the “Monkey” test, for pseudorandom number sequences, which was proposed by Marsaglia. Selected results, using the test on several pseudorandom number generators in the literature, are also presented. © 1995, ACM. All rights reserved.",Empirical tests; testing random number generators,Probability; Random processes; Statistical tests; Statistics; Empirical tests; Pseudorandom number generators; Testing random number generators; Random number generation
Extending Temporal Logic to Support High-Level Simulations,1995,ACM Transactions on Modeling and Computer Simulation (TOMACS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029280811&doi=10.1145%2f210330.210336&partnerID=40&md5=8164ac28fe1eb7b78c6855c2c60d4fe1,"A high-level simulation language based on temporal logic is described. The language combines a large set of temporal tenses and a rich class of high-level modeling primitives. Also an implementation of the language interpreter is presented. Finally, a real-world case study is described that shows how a programmer can develop structured, reliable, and well-maintainable simulation programs using the language. © 1995, ACM. All rights reserved.",discrete event simulations; knowledge-based simulations; rule-processing; temporal logic; time,Computational linguistics; Computer software; Formal languages; Formal logic; Knowledge based systems; Knowledge representation; Discrete event simulation; Knowledge-based simulation; Rule-processing; Temporal logic; Time; Computer simulation languages
Fast Simulation of Rare Events in Queueing and Reliability Models,1995,ACM Transactions on Modeling and Computer Simulation (TOMACS),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976842451&doi=10.1145%2f203091.203094&partnerID=40&md5=ff47c3fb844592745481303cdf5c9bcd,"This paper surveys efficient techniques for estimating, via simulation, the probabilities of certain rare events in queueing and reliability models. The rare events of interest are long waiting times or buffer overflows in queueing systems, and system failure events in reliability models of highly dependable computing systems. The general approach to speeding up such simulations is to accelerate the occurrence of the rare events by using importance sampling. In importance sampling, the system is simulated using a new set of input probability distributions, and unbiased estimates are recovered by multiplying the simulation output by a likelihood ratio. Our focus is on describing asymptotically optimal importance sampling techniques. Using asymptotically optimal importance sampling, the number of samples required to get accurate estimates grows slowly compared to the rate at which the probability of the rare event approaches zero. In practice, this means that run lengths can be reduced by many orders of magnitude, compared to standard simulation. In certain cases, asymptotically optimal importance sampling results in estimates having bounded relative error. With bounded relative error, only a fixed number of samples are required to get accurate estimates, no matter how rare the event of interest is. The queueing systems studied include simple queues 1995, Jackson networks, discrete time queues with multiple autocorrelated arrival processes that arise in the analysis of Asynchronous Transfer Mode communications switches, and tree structured networks of such switches. Both Markovian and non-Markovian reliability models are treated. © 1995, ACM. All rights reserved.",importance sampling; queueing models; rare event; reliability models; variance reduction,
