Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Editorial for principles of advanced discrete simulation,2015,ACM Transactions on Modeling and Computer Simulation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954308720&doi=10.1145%2f2845147&partnerID=40&md5=d3432676e88f94b1680998d0d1f5bfae,[No abstract available],,
Parallel simulation and virtual-machine-based emulation of software-defined networks,2015,ACM Transactions on Modeling and Computer Simulation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954312940&doi=10.1145%2f2834116&partnerID=40&md5=eb93a4d038891d827d7ec81b25abadb0,"The emerging software-defined networking (SDN) technology decouples the control plane from the data plane in a computer network with open and standardized interfaces, and hence opens up the network designers' options and ability to innovate. The wide adoption of SDN in industry has motivated the development of large-scale, high-fidelity testbeds for evaluation of systems that incorporate SDN. In this article, we develop a framework to support OpenFlow-based SDN simulation and distributed emulation, by leveraging our prior work on a hybrid network testbed with a parallel network simulator and a virtual-machine-based emulation system. We show how to exploit typical SDN controller behaviors to handle performance issues caused by the centralized controller in parallel discrete-event simulation. In particular, we develop an asynchronous synchronization algorithm for passive SDN controllers and design a two-level architecture for active SDN controllers. We evaluate the system performance, showing good scalability. Finally, we present a case study, using the testbed, to evaluate network verification applications in an SDN-based data center network. Copyright © 2015 ACM.",Discrete event; Distributed; Parallel; Software-defined networking; Virtual line,Controllers; Discrete event simulation; Telecommunication networks; Testbeds; Discrete events; Distributed; Parallel; Software-defined networkings; Virtual line; Computer software
Exact sampling of stationary and time-reversed queues,2015,ACM Transactions on Modeling and Computer Simulation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954325407&doi=10.1145%2f2822892&partnerID=40&md5=a459a5666af597a7923aa3e61e99be8d,"We provide the first algorithm that, under minimal assumptions, allows simulation of the stationary waitingtime sequence of a single-server queue backward in time, jointly with the input processes of the queue (interarrival and service times). The single-server queue is useful in applications of Dominated Coupling from the Past (DCFTP), which is awell-known protocol for simulation without bias from steady-state distributions. Our algorithm terminates in finite time, assuming only finite mean of the interarrival and service times. To simulate the single-server queue in stationarity until the first idle period in finite expected termination time, we require the existence of finite variance. This requirement is also necessary for such idle time (which is a natural coalescence time in DCFTP applications) to have finite mean. Thus, in this sense, our algorithm is applicable under minimal assumptions. Copyright © 2015 ACM.",Simulation output analysis; Simulation theory; Types of simulation: Discrete event,Algorithms; Coalescence time; Coupling from the past; Discrete events; Simulation output analysis; Simulation theory; Single server queue; Steady-state distributions; Termination time; Queueing theory
How hard are steady-state queueing simulations?,2015,ACM Transactions on Modeling and Computer Simulation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954322233&doi=10.1145%2f2749460&partnerID=40&md5=ec55c7d00b6e5ff9e01e09cf5cbd0882,"Some queueing systems require tremendously long simulation runlengths to obtain accurate estimators of certain steady-state performance measures when the servers are heavily utilized. However, this is not uniformly the case. We analyze a number of single-station Markovian queueing models, demonstrating that several steady-state performance measures can be accurately estimated with modest runlengths. Our analysis reinforces the meta result that if the queue is ""well dimensioned,"" then simulation runlengths will be modest. Queueing systems can be well dimensioned because customers abandon if they are forced to wait in line too long, or because the queue is operated in the ""quality- and efficiency-driven regime"" in which servers are heavily utilized but wait times are short. The results are based on computing or bounding the asymptotic variance and bias for several standard single-station queueing models and performance measures. Copyright © 2015 ACM.",Asymptotic variance; Diffusion approximations; Markovian queues,Asymptotic analysis; Queueing networks; Asymptotic variance; Diffusion approximations; Markovian queue; Performance measure; Quality- and efficiency-driven regimes; Queueing simulation; Queueing system; Steady state performance; Queueing theory
A methodology to model the execution of communication software for accurate network simulation,2015,ACM Transactions on Modeling and Computer Simulation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939785816&doi=10.1145%2f2746233&partnerID=40&md5=1555f93cd4d4384db258b56e5e0521ad,"Network simulation is commonly used to evaluate the performance of distributed systems, but these approaches do not account for the performance impact that protocol execution on nodes has on performance, which can be significant. We provide a methodology to extract from real devices models of communication software execution that can be used to extend network simulators to improve their accuracy. The models are obtained by instrumenting the target devices to obtain the events necessary to describe software execution. We specify which events must be captured, how to capture them, and how to transform the event traces into models that can be used to extend network simulators. The obtained models are based on high-level abstractions that can be used to describe the execution of a wide range of communication software, and the design principles to extend network simulators are not restricted to any specific network simulator. The same model of communication software execution can be used without modification in all discrete event-based network simulators that are extended according to our principles. The models are represented in a human-readable format that is suitable for modification and can therefore be used to predict how software modifications impact performance. We evaluate our models with two proof-of-concept extensions of Ns-3 that execute the models of two modern smartphones: the Google Nexus One (GN1) and the Nokia N900. We measure the accuracy of our models by comparing results from real experiments with those from simulations with our models and analyze the simulation overhead of our approach. © 2015 ACM 1049-3301/2015/07-ART3 $15.00.",Methodology; Modeling; Network; Operating systems; Performance evaluation; Simulation,Computer operating systems; Computer software; Models; Networks (circuits); Simulators; Communication software; Distributed systems; High-level abstraction; Methodology; Network simulation; Performance evaluation; Simulation; Software modification; Discrete event simulation
Static analysis techniques for semiautomatic synthesis of message passing software skeletons,2015,ACM Transactions on Modeling and Computer Simulation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935064278&doi=10.1145%2f2778888&partnerID=40&md5=eda615e0a9a85c0a880365cba4edad3b,"The design of high-performance computing architectures requires performance analysis of large-scale parallel applications to derive various parameters concerning hardware design and software development. The process of performance analysis and benchmarking an application can be done in several ways with varying degrees of fidelity. One of the most cost-effective ways is to do a coarse-grained study of large-scale parallel applications through the use of program skeletons. The concept of a ""program skeleton"" that we discuss in this article is an abstracted program that is derived from a larger program where source code that is determined to be irrelevant is removed for the purposes of the skeleton. In this work, we develop a semiautomatic approach for extracting program skeletons based on compiler program analysis.We demonstrate correctness of our skeleton extraction process by comparing details from communication traces, as well as show the performance speedup of using skeletons by running simulations in the SST/macro simulator. © 2015 ACM.",Dependency analysis; Program skeleton; Simulation; Source-to-source code generation; Static analysis,Application programs; Benchmarking; Computer architecture; Cost effectiveness; Message passing; Musculoskeletal system; Program compilers; Software design; Communication traces; Dependency analysis; High performance computing; Performance analysis; Program skeleton; Semiautomatic synthesis; Simulation; Source code generation; Static analysis
Efficient parallel discrete event simulation on cloud/virtual machine platforms,2015,ACM Transactions on Modeling and Computer Simulation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937917791&doi=10.1145%2f2746232&partnerID=40&md5=77fba6ded64b172c571b4eec0fed7ec2,"Cloud and Virtual Machine (VM) technologies present new challenges with respect to performance and monetary cost in executing parallel discrete event simulation (PDES) applications. Due to the introduction of overall cost as a metric, the traditional use of the highest-end computing configuration is no longer the most obvious choice. Moreover, the unique runtime dynamics and configuration choices of Cloud and VM platforms introduce new design considerations and runtime characteristics specific to PDES over Cloud/VMs. Here, an empirical study is presented to help understand the dynamics, trends, and trade-offs in executing PDES on Cloud/VM platforms. Performance and cost measures obtained from multiple PDES applications executed on the Amazon EC2 Cloud and on a high-end VM host machine reveal new, counterintuitive VM-PDES dynamics and guidelines. One of the critical aspects uncovered is the fundamental mismatch in hypervisor scheduler policies designed for general Cloud workloads versus the virtual time ordering needed for PDES workloads. This insight is supported by experimental data revealing the gross deterioration in PDES performance traceable to VM scheduling policy. To overcome this fundamental problem, the design and implementation of a new deadlock-free scheduler algorithm are presented, optimized specifically for PDES applications on VMs. The scalability of our scheduler has been tested in up to 128 VMs multiplexed on 32 cores, showing significant improvement in the runtime relative to the default Cloud/VM scheduler. The observations, algorithmic design, and results are timely for emerging Cloud/VM-based installations, highlighting the need for PDES-specific support in high-performance discrete event simulations on Cloud/VM platforms. © 2015 ACM.",Global virtual time; Parallel discrete event simulation; Scheduler; Time warp; Virtual machines,Deterioration; Discrete event simulation; Dynamics; Economic and social effects; Network security; Scheduling; Simulation platform; Design and implementations; Design considerations; Global virtual time; Parallel discrete event simulations; Scheduler; Scheduling policies; Time Warp; Virtual machine technology; Virtual machine
Formalization of weak emergence in multiagent systems,2015,ACM Transactions on Modeling and Computer Simulation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946070869&doi=10.1145%2f2815502&partnerID=40&md5=b3e91f144c0611093fa88489882c5e7b,"Emergence becomes a distinguishing system feature as system complexity grows with the number of components, interactions, and connectivities. Examples of emergent behaviors include the flocking of birds, traffic jams, and hubs in social networks, among others. Despite significant research interest in recent years, there is a lack of formal methods to understand, identify, and predict emergent behavior in multiagent systems. Existing approaches either require detailed prior knowledge about emergent behavior or are computationally infeasible. This article introduces a grammar-based approach to formalize and identify the existence and extent of emergence without the need for prior knowledge of emergent properties. Our approach is based on weak (basic) emergence that is both generated and autonomous from the underlying agents. We employ formal grammars to capture agent interactions in the forms of words written on a common tape. Our formalism captures agents of diverse types and open systems. We propose an automated approach for the identification of emergent behavior and show its benefits through theoretical and experimental analysis. We also propose a significant reduction of state-space explosion through the use of our proposed degree of interaction metrics. Our experiments using the boids model show the feasibility of our approach but also highlight future avenues of improvement. © 2015 ACM.",Complex system; Emergent behavior; Multiagent system; Simulation,Autonomous agents; Complex networks; Computational grammars; Formal methods; Large scale systems; Traffic congestion; Automated approach; Degree of interaction; Emergent behaviors; Experimental analysis; Grammar based approach; Number of components; Simulation; State-space explosion; Multi agent systems
Symbiotic network simulation and emulation,2015,ACM Transactions on Modeling and Computer Simulation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935058807&doi=10.1145%2f2717308&partnerID=40&md5=616ac5cf201e66feab0a89014b0ca572,"A testbed capable of representing detailed operations of complex applications under diverse network conditions is invaluable for understanding the design and performance of new protocols and applications before their real deployment. We introduce a novel method that combines high-performance large-scale network simulation and high-fidelity network emulation, and thus enables real instances of network applications and protocols to run in real operating environments and be tested under simulated network settings. Using our approach, network simulation and emulation can form a symbiotic relationship, through which they are synchronized for an accurate representation of the network-scale traffic behavior. We introduce a model downscaling method along with an efficient queuing model and a traffic reproduction technique, which can significantly reduce the synchronization overhead and improve accuracy. We validate our approach with extensive experiments via simulation and with a real-system implementation. We also present a case study using our approach to evaluate a multipath data transport protocol. © 2015 ACM.",DDDAS; Network emulation; Network simulation; Online simulation; Symbiotic simulation,Cell proliferation; Queueing theory; DDDAS; Network emulation; Network simulation; Online simulation; Symbiotic simulation; Internet protocols
Adaptive resource provisioning mechanism in VEEs for improving performance of HLA-based simulations,2015,ACM Transactions on Modeling and Computer Simulation,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935116378&doi=10.1145%2f2717309&partnerID=40&md5=2e8aa5b34229f0279a6107f5946de140,"Parallel and distributed simulations (or High-Level Architecture (HLA)-based simulations) employing optimistic synchronization allow federates to advance simulation time freely at the risk of overoptimistic executions and execution rollbacks. As a result, the simulation performance may degrade significantly due to the simulation workload imbalance among federates. In this article, we investigate the execution of parallel and distributed simulations on Cloud and data centers with Virtual Execution Environments (VEEs). In order to speed up simulation execution, an Adaptive Resource Provisioning Mechanism in Virtual Execution Environments (ArmVee) is proposed. It is composed of a performance monitor and a resource manager. The former measures federate performance transparently to the simulation application. The latter distributes available resources among federates based on the measured federate performance. Federates with different simulation workloads are thus able to advance their simulation times with comparable speeds, thus are able to avoid wasting time and resources on overoptimistic executions and execution rollbacks. ArmVee is evaluated using a real-world simulation model with various simulation workload inputs and different parameter settings. The experimental results show that ArmVee is able to speed up the simulation execution significantly. In addition, it also greatly reduces memory usage and is scalable. © 2015 ACM.",Parallel and distributed simulations; Resource provisioning; Time synchronization; Virtual execution environments; Workload balance,Computer simulation; Parallel and distributed simulation; Resource provisioning; Time synchronization; Virtual execution environments; Workload balance; Computer applications
