Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
On the Analysis and Evaluation of Proximity-based Load-balancing Policies,2022,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146437581&doi=10.1145%2f3549933&partnerID=40&md5=d10bd5bfb83a05f7b0a3617338cebac8,"Distributed load balancing is the act of allocating jobs among a set of servers as evenly as possible. The static interpretation of distributed load balancing leads to formulating the load-balancing problem as a classical balls-and-bins problem with jobs (balls) never leaving the system and accumulating at the servers (bins). While most of the previous work in the static setting focus on studying the maximum number of jobs allocated to a server or maximum load, little importance has been given to the implementation cost, or the cost of moving a job/data to/from its allocated server, for such policies. This article designs and evaluates server proximity aware static load-balancing policies with a goal to reduce the implementation cost. We consider a class of proximity aware Power of Two (POT) choice-based assignment policies for allocating jobs to servers, where both jobs and servers are located on a two-dimensional Euclidean plane. In this framework, we investigate the tradeoff between the implementation cost and load-balancing performance of different allocation policies. To this end, we first design and evaluate a Spatial Power of two (sPOT) policy in which each job is allocated to the least loaded server among its two geographically nearest servers. We provide expressions for the lower bound on the asymptotic expected maximum load on the servers and prove that sPOT does not achieve classical POT load-balancing benefits. However, experimental results suggest the efficacy of sPOT with respect to expected implementation cost. We also propose two non-uniform server sampling-based POT policies that achieve the best of both implementation cost and load-balancing performance. We then extend our analysis to the case where servers are interconnected as an n-vertex graph G(S, E). We assume each job arrives at one of the servers, u, chosen uniformly at random from the vertex set S. We then assign each job to the server with minimum load among servers u and v where v is chosen according to one of the following two policies: (i) Unif-POT(k): Sample a server v uniformly at random from k-hop neighborhood of u; (ii) InvSq-POT(k): Sample a server v from k-hop neighborhood of u with probability proportional to the inverse square of the distance between u and v. An extensive simulation over a wide range of topologies validates the efficacy of both the policies. Our simulation results show that both policies consistently produce a load distribution that is much similar to that of a classical POT. Depending on topology, we observe the total variation distance to be of the order of 0.002-0.08 for both the policies while achieving a 8%-99% decrease in implementation cost as compared to the classical POT.  © 2022 Association for Computing Machinery.",balls and bins; load balancing; Power of Two choices; proximity aware,Balancing; Graph theory; Ball and bin; Distributed load balancing; Implementation cost; Load balancing policies; Load-Balancing; Maximum load; Performance; Power of two choice; Power-of-two; Proximity aware; Geometry
Focused Layered Performance Modelling by Aggregation,2022,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146439018&doi=10.1145%2f3549539&partnerID=40&md5=d1308e6f730826a015e99e101a2f94e1,"Performance models of server systems, based on layered queues, may be very complex. This is particularly true for cloud-based systems based on microservices, which may have hundreds of distinct components, and for models derived by automated data analysis. Often only a few of these many components determine the system performance, and a smaller simplified model is all that is needed. To assist an analyst, this work describes a focused model that includes the important components (the focus) and aggregates the rest in groups, called dependency groups. The method Focus-based Simplification with Preservation of Tasks described here fills an important gap in a previous method by the same authors. The use of focused models for sensitivity predictions is evaluated empirically in the article on a large set of randomly generated models. It is found that the accuracy depends on a ""saturation ratio""(SR) between the highest utilization value in the model and the highest value of a component excluded from the focus; evidence suggests that SR must be at least 2 and must be larger to evaluate larger model changes. This dependency was captured in an ""Accurate Sensitivity Hypothesis""based on SR, which can be used to indicate trustable sensitivity results.  © 2022 Association for Computing Machinery.",layered queuing network models; model aggregation; model sensitivity; model simplification; Performance models,Queueing networks; Cloud-based; Layered queuing; Layered queuing network model; Model aggregations; Model sensitivity; Model simplification; Performance Modeling; Queuing network model; Saturation ratio; Server system; Network layers
A New Upper Bound on Cache Hit Probability for Non-Anticipative Caching Policies,2022,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146435963&doi=10.1145%2f3547332&partnerID=40&md5=973f01aabf6078aa31907b6dce22447d,"Caching systems have long been crucial for improving the performance of a wide variety of network and web-based online applications. In such systems, end-to-end application performance heavily depends on the fraction of objects transferred from the cache, also known as the cache hit probability. Many caching policies have been proposed and implemented to improve the hit probability. In this work, we propose a new method to compute an upper bound on hit probability for all non-anticipative caching policies and for policies that have no knowledge of future requests. Our key insight is to order the objects according to the ratio of their Hazard Rate(HR) function values to their sizes, and place in the cache the objects with the largest ratios till the cache capacity is exhausted. When object request processes are conditionally independent, we prove that this cache allocation based on the HR-to-size ratio rule guarantees the maximum achievable expected number of object hits across all non-anticipative caching policies. Further, the HR ordering rule serves as an upper bound on cache hit probability when object request processes follow either independent delayed renewal process or a Markov modulated Poisson process. We also derive closed form expressions for the upper bound under some specific object request arrival processes. We provide simulation results to validate its correctness and to compare it to the state-of-the-art upper bounds, such as produced by Bélády's algorithm. We find it to be tighter than state-of-the-art upper bounds for some specific object request arrival processes such as independent renewal, Markov modulated, and shot noise processes.  © 2022 Association for Computing Machinery.",Caching; content delivery network; Hazard Rate; hit probability; upper bound; variable size objects,Hazards; Online systems; Arrival process; Cache hits; Caching; Caching policy; Content delivery network; Hazard rates; Hit probability; Upper Bound; Variable size object; Variable sizes; Shot noise
Big Winners and Small Losers of Zero-rating,2022,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139339358&doi=10.1145%2f3539731&partnerID=40&md5=343d375f5e47ac77c33457946f3bc5d2,"An objective of network neutrality is to design regulations for the Internet and ensure that it remains a public, open platform where innovations can thrive. While there is broad agreement that preserving the content quality of service falls under the purview of net neutrality, the role of differential pricing, especially the practice of zero-rating, remains controversial. Zero-rating refers to the practice of providing free Internet access to some users under certain conditions, which usually concurs with differentiation among users or content providers. Even though some countries (India, Canada) have banned zero-rating, others have either taken no stance or explicitly allowed it (South Africa, Kenya, U.S.). In this article, we model zero-rating between Internet service providers and content providers (CPs) to better understand the conditions under which offering zero-rating is preferred, and who gains in utility. We develop a formulation in which providers' incomes vary, from low-income startups to high-income incumbents, where their decisions to zero-rate are a variation of the traditional prisoner's dilemma game. We find that if zero-rating is permitted, low-income CPs often lose utility, whereas high-income CPs often gain utility. We also study the competitiveness of the CP markets via the Herfindahl Index. Our findings suggest that in most cases the introduction of zero-rating reduces competitiveness.  © 2022 Association for Computing Machinery.",Differential pricing; network neutrality; zero rating,Competition; Developing countries; Game theory; Quality of service; Condition; Content providers; Contents qualities; Differential pricing; Low incomes; Net neutralities; Network neutralities; Open platforms; Quality-of-service; Zero rating; Costs
RL-QN: A Reinforcement Learning Framework for Optimal Control of Queueing Systems,2022,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139178811&doi=10.1145%2f3529375&partnerID=40&md5=8ff7f76d7b43a38d6f351dc9b4d3e091,"With the rapid advance of information technology, network systems have become increasingly complex and hence the underlying system dynamics are often unknown or difficult to characterize. Finding a good network control policy is of significant importance to achieve desirable network performance (e.g., high throughput or low delay). In this work, we consider using model-based reinforcement learning (RL) to learn the optimal control policy for queueing networks so that the average job delay (or equivalently the average queue backlog) is minimized. Traditional approaches in RL, however, cannot handle the unbounded state spaces of the network control problem. To overcome this difficulty, we propose a new algorithm, called RL for Queueing Networks (RL-QN), which applies model-based RL methods over a finite subset of the state space while applying a known stabilizing policy for the rest of the states. We establish that the average queue backlog under RL-QN with an appropriately constructed subset can be arbitrarily close to the optimal result. We evaluate RL-QN in dynamic server allocation, routing, and switching problems. Simulation results show that RL-QN minimizes the average queue backlog effectively. © 2022 Association for Computing Machinery.",Queueing networks; reinforcement learning,Learning systems; Queueing networks; Queueing theory; Learning frameworks; Model-based reinforcement learning; Network systems; Network-control; Optimal controls; Queueing system; Reinforcement learnings; State-space; Technology network; Underlying systems; Reinforcement learning
Performance Health Index for Complex Cyber Infrastructures,2022,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137542821&doi=10.1145%2f3538646&partnerID=40&md5=95e98824e3256dff59778c8ff91c624d,"Most IT systems depend on a set of configuration variables (CVs), expressed as a name/value pair that collectively defines the resource allocation for the system. While the ill effects of misconfiguration or improper resource allocation are well-known, there are no effective a priori metrics to quantify the impact of the configuration on the desired system attributes such as performance, availability, etc. In this paper, we propose a Configuration Health Index (CHI) framework specifically attuned to the performance attribute to capture the influence of CVs on the performance aspects of the system. We show how CHI, which is defined as a configuration scoring system, can take advantage of the domain knowledge and the available (but rather limited) performance data to produce important insights into the configuration settings. We compare the CHI with both well-advertised segmented non-linear models and state-of-the-art data-driven models, and show that the CHI not only consistently provides better results but also avoids the dangers of a pure data drive approach which may predict incorrect behavior or eliminate some essential configuration variables from consideration.  © 2022 Association for Computing Machinery.",configuration behavior; configuration modeling; health index; health score; Highly configurable systems; nonlinear regression; performance model; resource allocation,Digital storage; Domain Knowledge; Health; Configurable systems; Configuration behavior; Configuration modeling; Health indices; Health scores; Highly configurable system; Non-linear regression; Performance; Performance Modeling; Resources allocation; Resource allocation
PMU-Events-Driven DVFS Techniques for Improving Energy Efficiency of Modern Processors,2022,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139230902&doi=10.1145%2f3538645&partnerID=40&md5=3bbdb0a967678cd03938e2896d545897,"This paper describes the results of our measurement-based study, conducted on an Intel Core i7 processor running the SPEC CPU2017 benchmark suites, that evaluates the impact of dynamic voltage frequency scaling (DVFS) on performance (P), energy efficiency (EE), and their product (PxEE). The results indicate that the default DVFS-based power management techniques heavily favor performance, resulting in poor energy efficiency. To remedy this problem, we introduce, implement, and evaluate four DVFS-based power management techniques driven by the following metrics derived from the processor's performance monitoring unit: (i) the total pipeline slot stall ratio (FS-PS), (ii) the total cycle stall ratio (FS-TS), (iii) the total memory-related cycle stall ratio (FS-MS), and (iv) the number of last level cache misses per kilo instructions (FS-LLCM). The proposed techniques linearly map these metrics onto the available processor clock frequencies. The experimental evaluation results show that the proposed techniques significantly improve EE and PxEE metrics compared to the existing approaches. Specifically, EE improves from 44% to 92%, and PxEE improves from 31% to 48% when all the benchmarks are considered together. Furthermore, we find that the proposed techniques are particularly effective for a class of memory-intensive benchmarks - they improve EE from 121% to 183% and PxEE from 100% to 141%. Finally, we elucidate the advantages and disadvantages of each of the proposed techniques and offer recommendations on using them. © 2022 Association for Computing Machinery.",benchmarking; DVFS; energy-efficiency; performance; performance monitoring unit; power management multicores; SPEC CPU2017,Dynamic frequency scaling; Energy efficiency; Pipeline processing systems; Voltage scaling; Dynamic voltage; Dynamic voltage frequency scaling; Frequency-scaling; Multi-cores; Performance; Performance monitoring unit; Performance-monitoring; Power management multicore; SPEC cpu2017; Voltage frequency; Benchmarking
Modeling Communication over Terrain for Realistic Simulation of Outdoor Sensor Network Deployments,2021,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128312835&doi=10.1145%2f3510306&partnerID=40&md5=4fff4ae0c25d1f1e1c4b91bababcf5ed,"Popular wireless network simulators have few available propagation models for outdoor Internet of Things applications. Of the available models, only a handful use real terrain data, yet an inaccurate propagation model can skew the results of simulations. In this article, we present TerrainLOS, a low-overhead propagation model for outdoor Internet of Things applications that uses real terrain data to determine whether two nodes can communicate. To the best of our knowledge, TerrainLOS is the first terrain-Aware propagation model that specifically targets outdoor IoT deployments and that uses height maps to represent terrain. In addition, we present a new terrain classification method based on terrain ""roughness,""which allows us to select a variety of terrain samples to demonstrate how TerrainLOS can capture the effects of terrain on communication. We also propose a technique to generate synthetic terrain samples based on ""roughness.""Furthermore, we implemented TerrainLOS in the COOJA-Contiki network simulation/emulation platform, which targets IoT deployments and uses TerrainLOS to evaluate how often a network is fully connected based on the roughness of terrain, as well as how two popular power-Aware routing protocols, RPL and ORPL, perform when terrain is considered.  © 2022 Copyright held by the owner/author(s).",Modeling communication; network performance; terrain,Internet of things; Power management (telecommunication); Simulation platform; Wireless sensor networks; Classification methods; Height map; Low overhead; Network deployment; Network simulators; Propagation models; Real terrain datum; Realistic simulation; Sensors network; Terrain classification; Landforms
Adversarial Deep Learning for Online Resource Allocation,2021,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128293199&doi=10.1145%2f3494526&partnerID=40&md5=5009ea239fc17240a15ad4c266e5ddf7,"Online algorithms are an important branch in algorithm design. Designing online algorithms with a bounded competitive ratio (in terms of worst-case performance) can be hard and usually relies on problem-specific assumptions. Inspired by adversarial training from Generative Adversarial Net and the fact that the competitive ratio of an online algorithm is based on worst-case input, we adopt deep neural networks (NNs) to learn an online algorithm for a resource allocation and pricing problem from scratch, with the goal that the performance gap between offline optimum and the learned online algorithm can be minimized for worst-case input.Specifically, we leverage two NNs as the algorithm and the adversary, respectively, and let them play a zero sum game, with the adversary being responsible for generating worst-case input while the algorithm learns the best strategy based on the input provided by the adversary. To ensure better convergence of the algorithm network (to the desired online algorithm), we propose a novel per-round update method to handle sequential decision making to break complex dependency among different rounds so that update can be done for every possible action instead of only sampled actions. To the best of our knowledge, our work is the first using deep NNs to design an online algorithm from the perspective of worst-case performance guarantee. Empirical studies show that our updating methods ensure convergence to Nash equilibrium and the learned algorithm outperforms state-of-The-Art online algorithms under various settings.  © 2022 Association for Computing Machinery.",adversarial learning; Neural networks; online algorithm,Computer games; Decision making; Deep neural networks; E-learning; Economics; Learning algorithms; Resource allocation; Adversarial learning; Algorithm design; Competitive ratio; Learn+; Neural-networks; On-line algorithms; Online resources; Resources allocation; Worst case inputs; Worst-case performance; Game theory
MDP-based Network Friendly Recommendations,2021,ACM Transactions on Modeling and Performance Evaluation of Computing Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128273915&doi=10.1145%2f3513131&partnerID=40&md5=bb07e45c79aa4f7f96fd0d5f2c11ab7a,"Controlling the network cost by delivering popular content to users, as well as improving streaming quality and overall user experience, have been key goals for content providers (CP) in recent years. While proposals to improve performance, through caching or other mechanisms (DASH, multicasting, etc.) abound, recent works have proposed to turn the problem on its head and complement such efforts. Instead of trying to reduce the cost to deliver every possible content to a user, a potentially very expensive endeavour, one could leverage omnipresent recommendations systems to nudge users towards the content of low(er) network cost, regardless of where this cost is coming from. In this paper, we focus on this latter problem, namely optimal policies for ""Network Friendly Recommendations""(NFR). A key contribution is the use of a Markov Decision Process (MDP) framework that offers significant advantages, compared to existing works, in terms of both modeling flexibility as well as computational efficiency. Specifically we show that this framework subsumes some state-of-The-Art approaches, and can also optimally tackle additional, more sophisticated setups. We validate our findings with real traces that suggest up to almost 2X in cost performance, and 10X in computational speed-up compared to recent state-of-The-Art works.  © 2022 Association for Computing Machinery.",Markov decision problem (MDP); recommendations,Computational efficiency; Multicasting; Content providers; Improve performance; Markov decision problem; Markov Decision Processes; Network costs; Optimal policies; Problem-based; Recommendation; Users' experiences; Markov processes
