Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Trade: Precise dynamic race detection for scalable transactional memory systems,2015,ACM Transactions on Parallel Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056075249&doi=10.1145%2f2786021&partnerID=40&md5=a3ad88e24e396a7825e0388c97fface0,"As other multithreaded programs, transactional memory (TM) programs are prone to race conditions. Previous work focuses on extending existing definitions of data race for lock-based applications to TM applications, which requires all transactions to be totally ordered ""as if"" serialized by a global lock. This approach poses implementation constraints on the STM that severely limits TM applications' performance. This article shows that forcing total ordering among all running transactions, while sufficient, is not necessary. We introduce an alternative data race definition, relaxed transactional data race, that requires ordering of only conflicting transactions. The advantages of our relaxed definition are twofold: First, unlike the previous definition, this definition can be applied to a wide range of TMs, including those that do not enforce transaction total ordering. Second, within a single execution, it exposes a higher number of data races, which considerably reduces debugging time. Based on this definition, we propose a novel and precise race detection tool for C/C++ TM applications (TRADE), which detects data races by tracking happens-before edges among conflicting transactions. Our experiments reveal that TRADE precisely detects data races for STAMP applications running on modern STMs with overhead comparable to state-of-the-art race detectors for lock-based applications. Our experiments also show that in a single run, TRADE identifies several races not discovered by 10 separate runs of a race detection tool based on the previous data race definition. © 2015 ACM.",Correctness; Debugging; Race detection; Transactional memory,Commerce; Computer debugging; Concurrency control; Inspection equipment; Locks (fasteners); Multitasking; Storage allocation (computer); Correctness; Debugging-time; Multi-threaded programs; Number of datum; Race detection; State of the art; Transactional data; Transactional memory; C++ (programming language)
Remote memory access programming in MPI-3,2015,ACM Transactions on Parallel Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054207154&doi=10.1145%2f2780584&partnerID=40&md5=3508c762346f3f20a033db46abf7c13e,"The Message Passing Interface (MPI) 3.0 standard, introduced in September 2012, includes a significant update to the one-sided communication interface, also known as remote memory access (RMA). In particular, the interface has been extended to better support popular one-sided and global-address-space parallel programming models to provide better access to hardware performance features and enable new data-access modes. We present the new RMA interface and specify formal axiomatic models for data consistency and access semantics. Such models can help users reason about details of the semantics that are hard to extract from the English prose in the standard. It also fosters the development of tools and compilers, enabling them to automatically analyze, optimize, and debug RMA programs. © 2015 ACM.",MPI; One-sided communication; RMA,Interfaces (computer); Memory architecture; Parallel programming; Program compilers; Program debugging; Semantics; Axiomatic models; Data consistency; Global address spaces; Hardware performance; Message passing interface; One sided communication; Parallel programming model; Remote memory access; Message passing
Parallel scheduling of task trees with limited memory,2015,ACM Transactions on Parallel Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976894941&doi=10.1145%2f2779052&partnerID=40&md5=df4af2c05349d43cf26f3992e1322ede,"This article investigates the execution of tree-shaped task graphs using multiple processors. Each edge of such a tree represents some large data. A task can only be executed if all input and output data fit into memory, and a data can only be removed from memory after the completion of the task that uses it as an input data. Such trees arise in the multifrontal method of sparse matrix factorization. The peak memory needed for the processing of the entire tree depends on the execution order of the tasks. With one processor, the objective of the tree traversal is to minimize the required memory. This problem was well studied, and optimal polynomial algorithms were proposed. Here, we extend the problem by considering multiple processors, which is of obvious interest in the application area of matrix factorization.With multiple processors comes the additional objective to minimize the time needed to traverse the tree-that is, to minimize the makespan. Not surprisingly, this problem proves to be much harder than the sequential one. We study the computational complexity of this problem and provide inapproximability results even for unit weight trees. We design a series of practical heuristics achieving different trade-offs between the minimization of peak memory usage and makespan. Some of these heuristics are able to process a tree while keeping the memory usage under a given memory limit. The different heuristics are evaluated in an extensive experimental evaluation using realistic trees. © 2015 ACM.",Approximation algorithms; Memory usage; Multicriteria optimization; Pebble game; Scheduling; Task graphs,Approximation algorithms; Economic and social effects; Factorization; Forestry; Matrix algebra; Multiobjective optimization; Scheduling; Experimental evaluation; Memory usage; Multicriteria optimization; Multifrontal methods; Pebble game; Polynomial algorithm; Sparse matrix factorization; Task graph; Trees (mathematics)
Time-warp: Efficient abort reduction in transactional memory,2015,ACM Transactions on Parallel Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978770997&doi=10.1145%2f2775435&partnerID=40&md5=650b615cef0f01794117fc45d835478b,"The multicore revolution that took place one decade ago has turned parallel programming into a major concern for the mainstream software development industry. In this context, Transactional Memory (TM) has emerged as a simpler and attractive alternative to that of lock-based synchronization, whose complexity and error-proneness are widely recognized. The notion of permissiveness in TM translates to only aborting a transaction when it cannot be accepted in any history that guarantees a target correctness criterion. This theoretically powerful property is often neglected by state-of-the-art TMs because it imposes considerable algorithmic costs. Instead, these TMs opt to maximize their implementation's efficiency by aborting transactions under overly conservative conditions. As a result, they risk rejecting a significant number of safe executions. In this article, we seek to identify a sweet spot between permissiveness and efficiency by introducing the Time-Warp Multiversion (TWM) algorithm. TWM is based on the key idea of allowing an update transaction that has performed stale reads (i.e.,missed the writes of concurrently committed transactions) to be serialized by ""committing it in the past,"" which we call a time-warp commit. At its core, TWM uses a novel, lightweight validation mechanism with little computational overhead. TWMalso guarantees that read-only transactions can never be aborted. Further, TWMguarantees Virtual World Consistency, a safety property that is deemed as particularly relevant in the context of TM. We demonstrate the practicality of this approach through an extensive experimental study: we compare TWM with five other TMs, representative of typical alternative design choices, and on a wide variety of benchmarks. This study shows an average performance improvement across all considered workloads and TMs of 65% in high concurrency scenarios, with gains extending up to 9x with the most favorable benchmarks. These results are a consequence of TWM's ability to achieve drastic reduction of aborts in scenarios of nonminimal contention, while introducing little overhead (approximately 10%) in worst-case, synthetically designed scenarios (i.e., no contention or contention patterns that cannot be optimized using TWM). © 2015 ACM.",Multiversion concurrency control; Permissiveness; Software transactional memory; Spurious abort,Benchmarking; Efficiency; Multicore programming; Parallel programming; Software design; Storage allocation (computer); Virtual reality; Conservative conditions; Lock-based synchronization; Multiversion concurrency control; Performance improvements; Permissiveness; Software development industries; Software transactional memory; Spurious abort; Concurrency control
Supporting time-based QoS requirements in software transactional memory,2015,ACM Transactions on Parallel Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027467641&doi=10.1145%2f2779621&partnerID=40&md5=9d01c99bc0f3462f80ed798d9a15a6cd,"Software transactional memory (STM) is an optimistic concurrency control mechanism that simplifies parallel programming. However, there has been little interest in its applicability to reactive applications in which there is a required response time for certain operations. We propose supporting such applications by allowing programmers to associate time with atomic blocks in the form of deadlines and quality-of-service (QoS) requirements. Based on statistics of past executions, we adjust the execution mode of transactions by decreasing the level of optimism as the deadline approaches. In the presence of concurrent deadlines, we propose different conflict resolution policies. Execution mode switching mechanisms allow the meeting of multiple deadlines in a consistent manner, with potential QoS degradations being split fairly among several threads as contention increases, and avoiding starvation. Our implementation consists of extensions to an STM runtime that allow gathering statistics and switching execution modes. We also propose novel contention managers adapted to transactional workloads subject to deadlines. The experimental evaluation shows that our approaches significantly improve the likelihood of a transaction meeting its deadline and QoS requirement, even in cases where progress is hampered by conflicts and other concurrent transactions with deadlines. © 2015 ACM.",Contention management; Fairness; Quality of service; Scheduling; Transactional memory,Concurrency control; Parallel programming; Scheduling; Storage allocation (computer); Concurrent transactions; Contention managements; Experimental evaluation; Fairness; Optimistic concurrency controls; Qualityof-service requirement (QoS); Software transactional memory; Transactional memory; Quality of service
Linear and competitive strategies for continuous robot formation problems,2015,ACM Transactions on Parallel Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036588200&doi=10.1145%2f2742341&partnerID=40&md5=b113f90c8b82c79f96ed0a732c5abd4a,"We study a scenario in which n mobile robots with a limited viewing range are distributed in the Euclidean plane and have to solve a formation problem. The formation problems we consider are the GATHERING problem and the CHAIN-FORMATION problem. In the GATHERING problem, the robots have to gather in one (not predefined) point, while in the CHAIN-FORMATION problem they have to form a connected communication chain of minimal length between two stationary base stations. Each robot may base its decisions where to move only on the current relative positions of neighboring robots (that are within its viewing range); that is, besides having a limited viewing range, the robots are oblivious (they do not use information from the past), have none or only very limited identities, and they do not have a common sense of direction. Variants of these problems (especially for the GATHERING problem) have been studied extensively in different discrete time models. In contrast, our work focuses on a continuous time model; that is, the robots continuously sense the positions of other robots within their viewing range and continuously adapt their speed and direction according to some simple, local rules. Hereby, we assume that the robots have a maximum movement speed of one. We show that this idealized idea of continuous sensing allows us to solve the mentioned formation problems in linear time O(n) (which, given the maximum speed of one, immediately yields a maximum traveled distance of O(n)). Note that in the more classical discrete time models, the best known strategies need at least O(n2) or even O(n2 log n) timesteps to solve these problems. For the GATHERING problem, our analysis solves a problem left open by Gordon et al. [2004], where the authors could prove that gathering in a continuous model is possible in finite time, but were not able to give runtime bounds. Apart from these linear bounds, we also provide runtime bounds for both formation problems that relate the runtime of our strategies to the runtime of an optimal, global algorithm. Specifically, we show that our strategy for the GATHERING problem is log OPT-competitive and the strategy for the CHAIN-FORMATION problem is log n-competitive. Here, by c-competitive, we mean that our (local) strategy is asymptotically by at most a factor of c slower than an optimal, global strategy. © 2015 ACM.",Distributed algorithms; Local algorithms; Mobile robots; Robot gathering,Chains; Continuous time systems; Geometry; Mobile robots; Parallel algorithms; Communication chains; Competitive strategy; Continuous modeling; Continuous sensing; Continuous time modeling; Discrete-time model; Local algorithm; Relative positions; Problem solving
Hedonic clustering games,2015,ACM Transactions on Parallel Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987948542&doi=10.1145%2f2742345&partnerID=40&md5=9988324a33cd2dc63714ba83bb33de34,"Clustering, the partitioning of objects with respect to a similarity measure, has been extensively studied as a global optimization problem. We investigate clustering from a game-theoretic approach, and consider the class of hedonic clustering games. Here, a self-organized clustering is obtained via decisions made by independent players, corresponding to the elements clustered. Being a hedonic setting, the utility of each player is determined by the identity of the othermembers of her cluster. This class of games seems to be quite robust, as it fits with rather different, yet commonly used, clustering criteria. Specifically, we investigate hedonic clustering games in two different models: fixed clustering, which subdivides into k-median and k-center, and correlation clustering. We provide a thorough analysis of these games, characterizing Nash equilibria, and proving upper and lower bounds on the price of anarchy and price of stability. For fixed clustering we focus on the existence of a Nash equilibrium, as it is a rather nontrivial issue in this setting. We study it both for general metrics and special cases, such as line and tree metrics. In the correlation clustering model, we study both minimization and maximization variants, and provide almost tight bounds on both the price of anarchy and price of stability. © 2015 ACM.",Clustering games; Hedonic games; Price of anarchy; Price of stability,Global optimization; Clustering games; Correlation clustering; Global optimization problems; Hedonic games; Price of anarchy; Price of Stability; Self-organized clustering; Upper and lower bounds; Game theory
Noise-tolerant explicit stencil computations for nonuniform process execution rates,2015,ACM Transactions on Parallel Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040823625&doi=10.1145%2f2742351&partnerID=40&md5=bbaf46a13c7c717bc8f7dc0bf1560d0c,"Next-generation HPC computing platforms are likely to be characterized by significant, unpredictable nonuniformities in execution time among compute nodes and cores. The resulting load imbalances from this nonuniformity are expected to arise from a variety of sources - manufacturing discrepancies, dynamic power management, runtime component failure, OS jitter, software-mediated resiliency, and TLB/- cache performance variations, for example. It is well understood that existing algorithms with frequent points of bulk synchronization will perform relatively poorly in the presence of these sources of process nonuniformity. Thus, recasting classic bulk synchronous algorithms into more asynchronous, coarse-grained parallelism is a critical area of research for next-generation computing. We propose a class of parallel algorithms for explicit stencil computations that can tolerate these nonuniformities by decoupling per process communication and computation in order for each process to progress asynchronously while maintaining solution correctness. These algorithms are benchmarked with a 1D domain decomposed (""slabbed"") implementation of the 2D heat equation as amodel problem, and are tested in the presence of simulated nonuniform process execution rates. The resulting performance is compared to a classic bulk synchronous implementation of the model problem. Results show that the runtime of this article's algorithm on a machine with simulated process nonuniformities is 5-99% slower than the runtime of its classic counterpart on a machine free of nonuniformities. However, when both algorithms are run on a machine with comparable synthetic process nonuniformities, this article's algorithm is 1-37 times faster than its classic counterpart. © 2015 ACM.",Barrier relaxation; BSP; Bulk synchronous parallelism; Coarse-grained parallelism; Dynamic barrier relaxation; Dynamic ghost zone; Dynamic ghost-zone optimization; Dynamic stencil; Heat equation; PDE; Relaxed BSP; Stencil,Heat transfer; Barrier relaxation; Bulk synchronous parallelism; Coarse-grained; Heat equation; Relaxed BSP; Stencil; Partial differential equations
Near-optimal scheduling mechanisms for deadline-sensitive jobs in large computing clusters,2015,ACM Transactions on Parallel Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962320282&doi=10.1145%2f2742343&partnerID=40&md5=4eb9211f4082024aac97391aee8a78bf,"We consider a market-based resource allocation model for batch jobs in cloud computing clusters. In our model, we incorporate the importance of the due date of a job rather than the number of servers allocated to it at any given time. Each batch job is characterized by the work volume of total computing units (e.g., CPU hours) along with a bound on maximum degree of parallelism. Users specify, along with these job characteristics, their desired due date and a value for finishing the job by its deadline. Given this specification, the primary goal is to determine the scheduling of cloud computing instances under capacity constraints in order to maximize the social welfare (i.e., sum of values gained by allocated users). Our main result is a new (C/C-k.s/s-1)-approximation algorithm for this objective, where C denotes cloud capacity, k is the maximal bound on parallelized execution (in practical settings, k < C) and s is the slackness on the job completion time, that is, the minimal ratio between a specified deadline and the earliest finish time of a job. Our algorithm is based on utilizing dual fitting arguments over a strengthened linear program to the problem. Based on the new approximation algorithm, we construct truthful allocation and pricing mechanisms, in which reporting the true value and other properties of the job (deadline, work volume, and the parallelism bound) is a dominant strategy for all users. To that end, we extend known results for single-value settings to provide a general framework for transforming allocation algorithms into truthful mechanisms in domains of single-value and multi-properties. We then show that the basic mechanism can be extended under proper Bayesian assumptions to the objective of maximizing revenues, which is important for public clouds. We empirically evaluate the benefits of our approach through simulations on data-center job traces, and show that the revenues obtained under our mechanism are comparable with an ideal fixed-price mechanism, which sets an on-demand price using oracle knowledge of users' valuations. Finally, we discuss how our model can be extended to accommodate uncertainties in job work volumes, which is a practical challenge in cloud settings. © 2015 ACM.",Cloud computing; Economic models; Resource allocation; Scheduling algorithms; Truthful mechanisms,Approximation algorithms; Cloud computing; Economics; Linear programming; Resource allocation; Scheduling; Allocation algorithm; Capacity constraints; Dominant strategy; Economic models; Job characteristics; Market-based resource allocation; Pricing mechanism; Truthful mechanisms; Scheduling algorithms
Guest editor introduction,2015,ACM Transactions on Parallel Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056359532&doi=10.1145%2f2716306&partnerID=40&md5=d42d13400531afda242b13179030a369,[No abstract available],,
