Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Selective X-sensitive analysis guided by impact pre-analysis,2015,ACM Transactions on Programming Languages and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953277475&doi=10.1145%2f2821504&partnerID=40&md5=ee1ff702359ab9ddfbcd85b4bb6b8f6f,"We present a method for selectively applying context-sensitivity during interprocedural program analysis. Our method applies context-sensitivity only when and where doing so is likely to improve the precision that matters for resolving given queries. The idea is to use a pre-analysis to estimate the impact of contextsensitivity on the main analysis's precision, and to use this information to find out when and where the main analysis should turn on or off its context-sensitivity. We formalize this approach and prove that the analysis always benefits from the pre-analysis-guided context-sensitivity. We implemented this selective method for an existing industrial-strength interval analyzer for full C. The method reduced the number of (false) alarms by 24.4% while increasing the analysis cost by 27.8% on average. The use of the selective method is not limited to context-sensitivity. We demonstrate this generality by following the same principle and developing a selective relational analysis and a selective flow-sensitive analysis. Our experiments show that the method cost-effectively improves the precision in the these analyses as well.",,Linguistics; Software engineering; Analysis costs; Context sensitivity; Flow-sensitive analysis; Industrial strength; Interprocedural program analysis; Relational analysis; Sensitive analysis; Cost benefit analysis
Compiler-driven software speculation for thread-level parallelism,2015,ACM Transactions on Programming Languages and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953217091&doi=10.1145%2f2821505&partnerID=40&md5=4d1659c9cb9135971daeb2683f8e615a,"Current parallelizing compilers can tackle applications exercising regular access patterns on arrays or affine indices, where data dependencies can be expressed in a linear form. Unfortunately, there are cases that independence between statements of code cannot be guaranteed and thus the compiler conservatively produces sequential code. Programs that involve extensive pointer use, irregular access patterns, and loops with unknown number of iterations are examples of such cases. This limits the extraction of parallelism in cases where dependencies are rarely or never triggered at runtime. Speculative parallelism refers to methods employed during program execution that aim to produce a valid parallel execution schedule for programs immune to static parallelization. The motivation for this article is to review recent developments in the area of compiler-driven software speculation for thread-level parallelism and how they came about. The article is divided into two parts. In the first part the fundamentals of speculative parallelization for thread-level parallelism are explained along with a design choice categorization for implementing such systems. Design choices include the ways speculative data is handled, how data dependence violations are detected and resolved, how the correct data are made visible to other threads, or how speculative threads are scheduled. The second part is structured around those design choices providing the advances and trends in the literature with reference to key developments in the area. Although the focus of the article is in software speculative parallelization, a section is dedicated for providing the interested reader with pointers and references for exploring similar topics such as hardware thread-level speculation, transactional memory, and automatic parallelization.",Automatic parallelization; Multicore processors; Runtime parallelization; Speculative parallelization; Thread-level speculation,Multicore programming; Automatic Parallelization; Multi-core processor; Parallelizations; Speculative parallelization; Thread level speculation; Program compilers
A logical approach to deciding semantic subtyping,2015,ACM Transactions on Programming Languages and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946576026&doi=10.1145%2f2812805&partnerID=40&md5=8b72e672457970ef1a2f348b9718743c,"We consider a type algebra equipped with recursive, product, function, intersection, union, and complement types, together with type variables. We consider the subtyping relation defined by Castagna and Xu [2011] over such type expressions and show how this relation can be decided in EXPTIME, answering an open question. The novelty, originality and strength of our solution reside in introducing a logical modeling for the semantic subtyping framework. We model semantic subtyping in a tree logic and use a satisfiability-testing algorithm in order to decide subtyping. We report on practical experiments made with a full implementation of the system. This provides a powerful polymorphic type system aiming at maintaining full static type-safety of functional programs that manipulate trees, even with higher-order functions, which is particularly useful in the context of XML. © 2015 ACM.",Algorithms; Design; Languages; Theory; Verification,Algorithms; Design; Forestry; Query languages; Semantics; Trees (mathematics); Verification; Functional programs; Higher order functions; Logical approaches; Polymorphic type systems; Satisfiability testing; Semantic subtyping; Subtyping relation; Theory; Formal languages
A dynamic continuation-passing style for dynamic delimited continuations,2015,ACM Transactions on Programming Languages and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946576630&doi=10.1145%2f2794078&partnerID=40&md5=94d0645ebdd7b984cc7130efba76e409,"We put a preexisting definitional abstract machine for dynamic delimited continuations in defunctionalized form, and we present the consequences of this adjustment. We first prove the correctness of the adjusted abstract machine. Because it is in defunctionalized form, we can refunctionalize it into a higher-order evaluation function. This evaluation function, which is compositional, is in continuation+state-passing style and threads a trail of delimited continuations and a meta-continuation. Since this style accounts for dynamic delimited continuations, we refer to it as ""dynamic continuation-passing style"" and we present the corresponding dynamic CPS transformation. We show that the notion of computation induced by dynamic CPS takes the form of a continuation monad with a recursive answer type. This continuation monad suggests a new simulation of dynamic delimited continuations in terms of static ones. Finally, we present new applications of dynamic delimited continuations, including a meta-circular evaluator. The significance of the present work is that the computational artifacts surrounding dynamic CPS are not independent designs: they are mechanical consequences of having put the definitional abstract machine in defunctionalized form. © 2015 ACM.",Algorithms; Languages; Theory,Algorithms; Computation theory; Query languages; Abstract machines; Continuation-passing style; Evaluation function; Higher-order; Independent design; New applications; Theory; Function evaluation
Fast: A transducer-based language for tree manipulation,2015,ACM Transactions on Programming Languages and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946570136&doi=10.1145%2f2791292&partnerID=40&md5=c7d7debc4ea0ea48d71d589dee194c1c,"Tree automata and transducers are used in a wide range of applications in software engineering. While these formalisms are of immense practical use, they can only model finite alphabets. To overcome this problem we augment tree automata and transducers with symbolic alphabets represented as parametric theories. Admitting infinite alphabets makes these models more general and succinct than their classic counterparts. Despite this, we show how the main operations, such as composition and language equivalence, remain computable given a decision procedure for the alphabet theory. We introduce a high-level language called FAST that acts as a front-end for the preceding formalisms. © 2015 ACM.",Algorithms; Languages; Verification,Algorithms; Application programs; Automata theory; Computability and decidability; Decision theory; Equivalence classes; Forestry; Query languages; Robots; Transducers; Verification; Decision procedure; Finite alphabet; Front end; Practical use; Tree automata; High level languages
"Behavioral subtyping, specification inheritance, and modular reasoning",2015,ACM Transactions on Programming Languages and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939839513&doi=10.1145%2f2766446&partnerID=40&md5=cb238007d3ceb46e996b970ac14d05ea,"Verification of a dynamically dispatched method call, E.m(), seems to depend on E's dynamic type. To avoid case analysis and allow incremental development, object-oriented program verification uses supertype abstraction. In other words, one reasons about E.m() using m's specification for E's static type. Supertype abstraction is valid when each subtype in the program is a behavioral subtype. This article semantically formalizes supertype abstraction and behavioral subtyping for a Java-like sequential language with mutation and proves that behavioral subtyping is both necessary and sufficient for the validity of supertype abstraction. Specification inheritance, as in JML, is also formalized and proved to entail behavioral subtyping. © 2015 ACM.",Behavioral subtyping; Dynamic dispatch; Eiffel language; JML language; Modularity; Predicate transformer; Refinement; Specification; Specification inheritance; State transformer; Supertype abstraction; Verification,Abstracting; Computational linguistics; Formal languages; Java programming language; Specifications; Verification; Behavioral subtyping; Dynamic dispatch; Eiffel language; JML language; Modularity; Predicate transformers; Refinement; State-transformers; Supertype; Object oriented programming
Polyhedral AST generation is more than scanning polyhedra,2015,ACM Transactions on Programming Languages and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939790774&doi=10.1145%2f2743016&partnerID=40&md5=da339d630b27f3416ea1f0103dcfe470,"Mathematical representations such as integer polyhedra have been shown to be useful to precisely analyze computational kernels and to express complex loop transformations. Such transformations rely on abstract syntax tree (AST) generators to convert the mathematical representation back to an imperative program. Such generic AST generators avoid the need to resort to transformation-specific code generators, which may be very costly or technically difficult to develop as transformations become more complex. Existing AST generators have proven their effectiveness, but they hit limitations in more complex scenarios. Specifically, (1) they do not support or may fail to generate control flow for complex transformations using piecewise schedules or mappings involving modulo arithmetic; (2) they offer limited support for the specialization of the generated code exposing compact, straightline, vectorizable kernels with high arithmetic intensity necessary to exploit the peak performance of modern hardware; (3) they offer no support for memory layout transformations; and (4) they provide insufficient control over the AST generation strategy, preventing their application to complex domain-specific optimizations. We present a new AST generation approach that extends classical polyhedral scanning to the full generality of Presburger arithmetic, including existentially quantified variables and piecewise schedules, and introduce new optimizations for the detection of components and shifted strides. Not limiting ourselves to control flow generation, we expose functionality to generate AST expressions from arbitrary piecewise quasi-affine expressions, which enables the use of our AST generator for data-layout transformations. We complement this with support for specialization by polyhedral unrolling, user-directed versioning, and specialization of AST expressions according to the location at which they are generated, and we complete this work with finegrained user control over the AST generation strategies used. Using this generalized idea of AST generation, we present how to implement complex domain-specific transformations without the need to write specialized code generators, but instead relying on a generic AST generator parametrized to a specific problem domain. © 2015.",Code generation; Index set splitting; Polyhedral compilation; Presburger relations; Unrolling,Codes (symbols); Digital arithmetic; Geometry; Program compilers; Trees (mathematics); Code Generation; Index-set splitting; Polyhedral compilation; Presburger; Unrolling; Mathematical transformations
Affine refinement types for secure distributed programming,2015,ACM Transactions on Programming Languages and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939865212&doi=10.1145%2f2743018&partnerID=40&md5=7add289283dcd6ad90f7c1b9c54bcd26,"Recent research has shown that it is possible to leverage general-purpose theorem-proving techniques to develop powerful type systems for the verification of a wide range of security properties on application code. Although successful in many respects, these type systems fall short of capturing resource-conscious properties that are crucial in large classes of modern distributed applications. In this article, we propose the first type system that statically enforces the safety of cryptographic protocol implementations with respect to authorization policies expressed in affine logic. Our type system draws on a novel notion of ""exponential serialization"" of affine formulas, a general technique to protect affine formulas from the effect of duplication. This technique allows formulate of an expressive logical encoding of the authentication mechanisms underpinning distributed resource-aware authorization policies. We discuss the effectiveness of our approach on two case studies: the EPMO e-commerce protocol and the Kerberos authentication protocol. We finally devise a sound and complete type-checking algorithm, which is the key to achieving an efficient implementation of our analysis technique. © 2015 ACM.",Analysis of security protocols; Substructural logics; Type systems,Java programming language; Network security; Authentication mechanisms; Distributed applications; Distributed programming; Efficient implementation; Kerberos authentication; Security protocols; Substructural logic; Type systems; Authentication
An extension of ATL with strategy interaction,2015,ACM Transactions on Programming Languages and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933050655&doi=10.1145%2f2734117&partnerID=40&md5=5763275e37f37047eb9c1f7b14b61c45,"We propose an extension to ATL (alternating-time temporal logic), called BSIL (basic strategy-interaction logic), for specifying collaboration among agents in a multiagent system. We show that BSIL is strictly more expressive than ATL+ but incomparable with ATL∗, GL (game logic), and AMC (alternating μ-calculus) in expressiveness. We show that a memoryful strategy is necessary for fulfilling a specification in BSIL. We establish that the BSIL model-checking problem is PSPACE-complete. However, BSIL model checking can be performed in time quadratic in the model for fixed formulas. The BSIL (and hence ATL+) satisfiability is 2EXPTIME-complete. Finally, we report our experiment with a model checker for BSIL. © 2015 ACM.",Concurrent; Expressiveness; Games; Logic; Model checking; Multiagent; Realizability; Satisfiability; Strategy; Turn based,Calculations; Formal logic; Multi agent systems; Temporal logic; Concurrent; Expressiveness; Games; Logic; Multiagent; Realizability; Satisfiability; Strategy; Model checking
Automated classification of data races under both strong and weak memory models,2015,ACM Transactions on Programming Languages and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930367149&doi=10.1145%2f2734118&partnerID=40&md5=ffae61a310a97745dfcc0d8ac1ba0728,"Data races are one of the main causes of concurrency problems in multithreaded programs.Whether all data races are bad, or some are harmful and others are harmless, is still the subject of vigorous scientific debate [Narayanasamy et al. 2007; Boehm 2012]. What is clear, however, is that today's code has many data races [Kasikci et al. 2012; Jin et al. 2012; Erickson et al. 2010], and fixing data races without introducing bugs is time consuming [Godefroid and Nagappan 2008]. Therefore, it is important to efficiently identify data races in code and understand their consequences to prioritize their resolution. We present Portend+, a tool that not only detects races but also automatically classifies them based on their potential consequences: Could they lead to crashes or hangs? Could their effects be visible outside the program? Do they appear to be harmless? How do their effects change under weak memory models? Our proposed technique achieves high accuracy by efficiently analyzing multiple paths and multiple thread schedules in combination, and by performing symbolic comparison between program outputs. We ran Portend+ on seven real-world applications: it detected 93 true data races and correctly classified 92 of them, with no human effort. Six of them were harmful races. Portend+'s classification accuracy is up to 89% higher than that of existing tools, and it produces easy-to-understand evidence of the consequences of ""harmful"" races, thus both proving their harmfulness and making debugging easier. We envision Portend+ being used for testing and debugging, as well as for automatically triaging bug reports. © 2015 ACM.",Concurrency; Data races; Symbolic execution; Triage,Codes (symbols); Program debugging; Well testing; Automated classification; Classification accuracy; Concurrency; Data races; Symbolic execution; Testing and debugging; Triage; Weak memory models; Racing automobiles
