Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Qprof: A gprof-Inspired Quantum Profiler,2022,ACM Transactions on Quantum Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163203280&doi=10.1145%2f3529398&partnerID=40&md5=5a5d6201d8ca84d1fbc42cf579d33856,"We introduce qprof, a new and extensible quantum program profiler able to generate profiling reports of quantum circuits written using various quantum computing frameworks. We describe the internal structure and working of qprof and provide practical examples on quantum circuits with increasing complexity along with benchmarks of the tool execution time on large circuits. This tool will allow researchers to visualise their quantum algorithm implementation in a different and complementary way and reliably localise the bottlenecks for efficient code optimisation.  © 2022 Copyright held by the owner/author(s).",computing; profiler; Quantum,Quantum computers; Algorithm implementation; Computing; Computing frameworks; Internal structure; Large circuits; Profiler; Quantum; Quantum algorithms; Quantum circuit; Quantum Computing; Quantum theory
Tensor Network Quantum Virtual Machine for Simulating Quantum Circuits at Exascale,2022,ACM Transactions on Quantum Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151078859&doi=10.1145%2f3547334&partnerID=40&md5=92f7f14490058fb5125caf1ae46a226f,"The numerical simulation of quantum circuits is an indispensable tool for development, verification, and validation of hybrid quantum-classical algorithms intended for near-term quantum co-processors. The emergence of exascale high-performance computing (HPC) platforms presents new opportunities for pushing the boundaries of quantum circuit simulation. We present a modernized version of the Tensor Network Quantum Virtual Machine (TNQVM) that serves as the quantum circuit simulation backend in the eXtreme-scale ACCelerator (XACC) framework. The new version is based on the scalable tensor network processing library ExaTN (Exascale Tensor Networks). It provides multiple configurable quantum circuit simulators that perform either an exact quantum circuit simulation via the full tensor network contraction or an approximate simulation via a suitably chosen tensor factorization scheme. Upon necessity, stochastic noise modeling from real quantum processors is incorporated into the simulations by modeling quantum channels with Kraus tensors. By combining the portable XACC quantum programming frontend and the scalable ExaTN numerical processing backend, we introduce an end-to-end virtual quantum development environment that can scale from laptops to future exascale platforms. We report initial benchmarks of our framework, which include a demonstration of the distributed execution, incorporation of quantum decoherence models, and simulation of the random quantum circuits used for the certification of quantum supremacy on Google's Sycamore superconducting architecture.  © 2022 Association for Computing Machinery.",high performance computing; Quantum computing; quantum simulation,Network security; Quantum chemistry; Quantum computers; Quantum theory; Stochastic systems; Tensors; Timing circuits; Virtual machine; Virtual reality; Co-processors; Exascale; High performance computing; Indispensable tools; Performance computing; Quantum circuit; Quantum Computing; Quantum simulations; Quantum-classical; Verification-and-validation; Circuit simulation
Automatic Qubit Characterization and Gate Optimization with QubiC,2022,ACM Transactions on Quantum Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168737915&doi=10.1145%2f3529397&partnerID=40&md5=9ebc13c0807e910ed3239d3430ce06f2,"As the size and complexity of a quantum computer increases, quantum bit (qubit) characterization and gate optimization become complex and time-consuming tasks. Current calibration techniques require complicated and verbose measurements to tune up qubits and gates, which cannot easily expand to the large-scale quantum systems. We develop a concise and automatic calibration protocol to characterize qubits and optimize gates using QubiC, which is an open source FPGA (field-programmable gate array)-based control and measurement system for superconducting quantum information processors. We propose multi-dimensional loss-based optimization of single-qubit gates and full XY-plane measurement method for the two-qubit CNOT gate calibration. We demonstrate the QubiC automatic calibration protocols are capable of delivering high-fidelity gates on the state-of-the-art transmon-type processor operating at the Advanced Quantum Testbed at Lawrence Berkeley National Laboratory. The single-qubit and two-qubit Clifford gate infidelities measured by randomized benchmarking are of 4.9(1.1) × 10-4 and 1.4(3) × 10-2, respectively.  © 2022 Copyright held by the owner/author(s). Publication rights licensed to ACM.",engineering software; FPGA; gateware; NISQ; quantum gate calibration; qubit control,Computer circuits; Field programmable gate arrays (FPGA); Logic gates; Open source software; Open systems; Quantum optics; Qubits; Engineering software; Field programmables; Field-programmable gate array; Gateware; NISQ; Optimisations; Programmable gate array; Quantum bit control; Quantum gate calibration; Quantum gates; Calibration
TimeStitch: Exploiting Slack to Mitigate Decoherence in Quantum Circuits,2022,ACM Transactions on Quantum Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140285145&doi=10.1145%2f3548778&partnerID=40&md5=91b137134cc57ce133dab6b87d0e431a,"Quantum systems have the potential to demonstrate significant computational advantage, but current quantum devices suffer from the rapid accumulation of error that prevents the storage of quantum information over extended periods. The unintentional coupling of qubits to their environment and each other adds significant noise to computation, and improved methods to combat decoherence are required to boost the performance of quantum algorithms on real machines. While many existing techniques for mitigating error rely on adding extra gates to the circuit [13, 20, 56], calibrating new gates [50], or extending a circuit's runtime [32], this article's primary contribution leverages the gates already present in a quantum program without extending circuit duration. We exploit circuit slack for single-qubit gates that occur in idle windows, scheduling the gates such that their timing can counteract some errors.Spin-echo corrections that mitigate decoherence on idling qubits act as inspiration for this work. Theoretical models, however, fail to capture all sources of noise in Noisy Intermediate Scale Quantum devices, making practical solutions necessary that better minimize the impact of unpredictable errors in quantum machines. This article presents TimeStitch: a novel framework that pinpoints the optimum execution schedules for single-qubit gates within quantum circuits. TimeStitch, implemented as a compilation pass, leverages the reversible nature of quantum computation to boost the success of circuits on real quantum machines. Unlike past approaches that apply reversibility properties to improve quantum circuit execution [35], TimeStitch amplifies fidelity without violating critical path frontiers in either the slack tuning procedures or the final rescheduled circuit. On average, compared to a state-of-the-art baseline, a practically constrained TimeStitch achieves a mean 38% relative improvement in success rates, with a maximum of 106%, while observing bounds on circuit depth. When unconstrained by depth criteria, TimeStitch produces a mean relative fidelity increase of 50% with a maximum of 256%. Finally, when TimeStitch intelligently leverages periodic dynamical decoupling within its scheduling framework, a mean 64% improvement is observed over the baseline, relatively outperforming stand-alone dynamical decoupling by 19%, with a maximum of 287%. © 2022 Association for Computing Machinery.",quantum circuit optimization; Quantum computing; quantum information,Logic gates; Quantum optics; Qubits; Timing circuits; Circuit optimization; Decoherence; Dynamical decoupling; Quantum circuit; Quantum circuit optimization; Quantum Computing; Quantum device; Quantum Information; Quantum machines; Single-qubit gates; Errors
"A Backend-agnostic, Quantum-classical Framework for Simulations of Chemistry in C++",2022,ACM Transactions on Quantum Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138918436&doi=10.1145%2f3523285&partnerID=40&md5=a5aa2b4039efe870a5736c79f8cbdd9d,"As quantum computing hardware systems continue to advance, the research and development of performant, scalable, and extensible software architectures, languages, models, and compilers is equally as important to bring this novel coprocessing capability to a diverse group of domain computational scientists. For the field of quantum chemistry, applications and frameworks exist for modeling and simulation tasks that scale on heterogeneous classical architectures, and we envision the need for similar frameworks on heterogeneous quantum-classical platforms. Here, we present the XACC system-level quantum computing framework as a platform for prototyping, developing, and deploying quantum-classical software that specifically targets chemistry applications. We review the fundamental design features in XACC, with special attention to its extensibility and modularity for key quantum programming workflow interfaces and provide an overview of the interfaces most relevant to simulations of chemistry. A series of examples demonstrating some of the state-of-the-art chemistry algorithms currently implemented in XACC are presented, while also illustrating the various APIs that would enable the community to extend, modify, and devise new algorithms and applications in the realm of chemistry.  © 2022 Association for Computing Machinery.",chemistry; hardware-agnostic software; Quantum computing,Application programming interfaces (API); Application programs; C++ (programming language); Computer architecture; Quantum computers; Simulation platform; Computational scientists; Computing hardware; Coprocessing; Hardware system; Hardware-agnostic software; Language model; Quantum Computing; Quantum framework; Quantum-classical; Research and development; Quantum chemistry
Optimal Qubit Assignment and Routing via Integer Programming,2022,ACM Transactions on Quantum Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176885742&doi=10.1145%2f3544563&partnerID=40&md5=dd71d129fbf940c610ac8f4cdc9c8f6d,"We consider the problem of mapping a logical quantum circuit onto a given hardware with limited 2-qubit connectivity. We model this problem as an integer linear program, using a network flow formulation with binary variables that includes the initial allocation of qubits and their routing. We consider several cost functions: an approximation of the fidelity of the circuit, its total depth, and a measure of cross-talk, all of which can be incorporated in the model. Numerical experiments on synthetic data and different hardware topologies indicate that the error rate and depth can be optimized simultaneously without significant loss. We test our algorithm on a large number of quantum volume circuits, optimizing for error rate and depth; our algorithm significantly reduces the number of CNOTs compared to Qiskit's default transpiler SABRE [19] and produces circuits that, when executed on hardware, exhibit higher fidelity. © 2022 Association for Computing Machinery.",discrete optimization; integer programming; Quantum compiler; qubit routing,Cost functions; Program compilers; Quantum optics; Qubits; Binary variables; Discrete optimization; Error rate; Integer linear programs; Integer Program- ming; Network flow formulation; Quantum circuit; Quantum compiler; Qubit routing; Routings; Integer programming
OpenQASM 3: A Broader and Deeper Quantum Assembly Language,2022,ACM Transactions on Quantum Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176901602&doi=10.1145%2f3505636&partnerID=40&md5=4379aec19c96e1429b05e1a025281821,"Quantum assembly languages are machine-independent languages that traditionally describe quantum computation in the circuit model. Open quantum assembly language (OpenQASM 2) was proposed as an imperative programming language for quantum circuits based on earlier QASM dialects. In principle, any quantum computation could be described using OpenQASM 2, but there is a need to describe a broader set of circuits beyond the language of qubits and gates. By examining interactive use cases, we recognize two different timescales of quantum-classical interactions: real-time classical computations that must be performed within the coherence times of the qubits, and near-time computations with less stringent timing. Since the near-time domain is adequately described by existing programming frameworks, we choose in OpenQASM 3 to focus on the real-time domain, which must be more tightly coupled to the execution of quantum operations. We add support for arbitrary control flow as well as calling external classical functions. In addition, we recognize the need to describe circuits at multiple levels of specificity, and therefore we extend the language to include timing, pulse control, and gate modifiers. These new language features create a multi-level intermediate representation for circuit development and optimization, as well as control sequence implementation for calibration, characterization, and error mitigation.  © 2022 Copyright held by the owner/author(s).",circuit scheduling; dynamic circuits; quantum circuits; Quantum computing; quantum programming languages,Computer programming languages; Qubits; Assembly-language; Circuit modeling; Circuit scheduling; Dynamic Circuits; Imperative programming languages; Quantum circuit; Quantum Computing; Quantum programming languages; Quantum-classical; Time-scales; Timing circuits
Introduction to the Special Issue on Software Tools for Quantum Computing: Part 1,2022,ACM Transactions on Quantum Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176881157&doi=10.1145%2f3532179&partnerID=40&md5=d75eb223e5e574b4eb286fb0e15cb1bb,[No abstract available],,
Time-and Query-optimal Quantum Algorithms Based on Decision Trees,2022,ACM Transactions on Quantum Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150640549&doi=10.1145%2f3519269&partnerID=40&md5=4d0f09d67db7d39e34968cf26f1a1b4f,"It has recently been shown that starting with a classical query algorithm (decision tree) and a guessing algorithm that tries to predict the query answers, we can design a quantum algorithm with query complexity O(√GT) where T is the query complexity of the classical algorithm (depth of the decision tree) and G is the maximum number of wrong answers by the guessing algorithm [3, 14]. In this article, we show that, given some constraints on the classical algorithms, this quantum algorithm can be implemented in time O(√GT). Our algorithm is based on non-binary span programs and their efficient implementation. We conclude that various graph-theoretic problems including bipartiteness, cycle detection, and topological sort can be solved in time O(n3/2log2n) and with O(n3/2) quantum queries. Moreover, finding a maximal matching can be solved with O(n3/2) quantum queries in time O(n3/2log2n), and maximum bipartite matching can be solved in time O(n2log2n). © 2022 Association for Computing Machinery.",quantum algorithms; Quantum query complexity; quantum time complexity; span programs,Computational complexity; Quantum theory; Can design; Quantum algorithms; Quantum queries; Quantum query complexity; Quantum time complexity; Query algorithms; Query complexity; Span programs; Time complexity; Wrong answers; Decision trees
I-QER: An Intelligent Approach Towards Quantum Error Reduction,2022,ACM Transactions on Quantum Computing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176888128&doi=10.1145%2f3539613&partnerID=40&md5=24932f2f20d2308f5a3f8a92d6238e76,"Quantum computing has become a promising computing approach because of its capability to solve certain problems, exponentially faster than classical computers. A n-qubit quantum system is capable of providing 2n computational space to a quantum algorithm. However, quantum computers are prone to errors. Quantum circuits that can reliably run on today's Noisy Intermediate-Scale Quantum (NISQ) devices are not only limited by their qubit counts but also by their noisy gate operations. In this article, we have introduced i-QER, a scalable machine learning-based approach to evaluate errors in a quantum circuit and reduce these without using any additional quantum resources. The i-QER predicts possible errors in a given quantum circuit using supervised learning models. If the predicted error is above a pre-specified threshold, it cuts the large quantum circuit into two smaller sub-circuits using an error-influenced fragmentation strategy for the first time to the best of our knowledge. The proposed fragmentation process is iterated until the predicted error reaches below the threshold for each sub-circuit. The sub-circuits are then executed on a quantum device. Classical reconstruction of the outputs obtained from the sub-circuits can generate the output of the complete circuit. Thus, i-QER also provides classical control over a scalable hybrid computing approach, which is a combination of quantum and classical computers. The i-QER tool is available at https://github.com/SaikatBasu90/i-QER. © 2022 Association for Computing Machinery.",hybrid computing; quantum circuit fragmentation; Quantum error correction,Computer circuits; Error correction; Machine learning; Quantum optics; Qubits; Error reduction; Hybrid computing; Predicted error; Quantum circuit; Quantum circuit fragmentation; Quantum Computing; Quantum device; Quantum error; Quantum error corrections; Sub-circuits; Timing circuits
