Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
CORDIC-based enhanced systolic array architecture for QR decomposition,2015,ACM Transactions on Reconfigurable Technology and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954432413&doi=10.1145%2f2827700&partnerID=40&md5=df63ffb713d511321fa089c8d14eece1,"Multiple input multiple output (MIMO) with orthogonal frequency division multiplexing (OFDM) systems typically use orthogonal-triangular (QR) decomposition. In this article, we present an enhanced systolic array architecture to realize QR decomposition based on the Givens rotation (GR) method for a 4 × 4 real matrix. The coordinate rotation digital computer (CORDIC) algorithm is adopted and modified to speed up and simplify the process of GR. To verify the function and evaluate the performance, the proposed architectures are validated on a Virtex 5 FPGA development platform. Compared to a commercial implementation of vectoring CORDIC, the enhanced vectoring CORDIC is presented that uses 37.7% less hardware resources, dissipates 71.6% less power, and provides a 1.8 times speedup while maintaining the same computation accuracy. The enhanced QR systolic array architecture based on the enhanced vectoring CORDIC saves 24.5% in power dissipation, provides a factor of 1.5-fold improvement in throughput, and the hardware efficiency is improved 1.45-fold with no accuracy penalty when compared to our previously proposed QR systolic array architecture. © 2015 ACM.",Coordinate rotation digital computer (CORDIC); Enhanced systolic array; Givens rotation (GR); Less power; QR decomposition; Virtex 5 FPGA,Computer hardware; Digital computers; Field programmable gate arrays (FPGA); Frequency division multiplexing; Hardware; Local area networks; MIMO systems; Orthogonal frequency division multiplexing; Reconfigurable hardware; Rotation; Co-ordinate rotation digital computers; Givens Rotation; Less power; Q R decomposition; Virtex-5; Systolic arrays
Separation logic for high-level synthesis,2015,ACM Transactions on Reconfigurable Technology and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954318387&doi=10.1145%2f2836169&partnerID=40&md5=da2935f2558e802799f07eff650b1741,"High-Level Synthesis (HLS) promises a significant shortening of the FPGA design cycle by raising the abstraction level of the design entry to high-level languages such as C/C++. However, applications using dynamic, pointer-based data structures and dynamic memory allocation remain difficult to implement well, yet such constructs are widely used in software. Automated optimizations that leverage the memory bandwidth of FPGAs by distributing the application data over separate banks of on-chip memory are often ineffective in the presence of dynamic data structures due to the lack of an automated analysis of pointerbased memory accesses. In this work, we take a step toward closing this gap. We present a static analysis for pointer-manipulating programs that automatically splits heap-allocated data structures into disjoint, independent regions. The analysis leverages recent advances in separation logic, a theoretical framework for reasoning about heap-allocated data that has been successfully applied in recent software verification tools. Our algorithm focuses on dynamic data structures accessed in loops and is accompanied by automated source-to-source transformations that enable automatic loop parallelization and memory partitioning by off-the-shelf HLS tools. We demonstrate the successful loop parallelization and memory partitioning by our tool flow using three real-life applications that build, traverse, update, and dispose of dynamically allocated data structures. Our case studies, comparing the automatically parallelized to the direct HLS implementations, show an average latency reduction by a factor of 2× across our benchmarks. Copyright © 2015 ACM.",FPGA; High-level synthesis; Memory system; Separation logic; Static analysis,Application programs; Automation; C (programming language); Computer circuits; Computer programming languages; Data structures; Field programmable gate arrays (FPGA); Formal logic; High level languages; Integrated circuit design; Microprocessor chips; Program compilers; Reconfigurable hardware; Static analysis; Storage allocation (computer); Verification; Automated optimization; Dynamic data structure; Dynamic memory allocation; Memory systems; Pointer-based data structures; Separation logic; Software verification tools; Source-to-source transformations; High level synthesis
Coarse-grained architecture for fingerprint matching,2015,ACM Transactions on Reconfigurable Technology and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954233257&doi=10.1145%2f2791296&partnerID=40&md5=767d815c7d837d5460979aa2bf68723f,"Fingerprint matching is a key procedure in fingerprint identification applications. The minutiae-based fingerprint matching algorithm is one of the most typical algorithms achieving a reasonably correct recognition rate. This study proposes a coarse-grained parallel architecture called fingerprint matching core (FMC) to accelerate fingerprint matching. The proposed architecture has a two-level parallel structure (i.e., parallel among groups (PAG) and parallel in group (PIG)). A multirequest controller is added to the PAG structure to obtain a concurrent operation of the multiple processing element group (PEG). The DDR3 controller is used in the PIG structure to read eight minutiae from eight different fingerprints and realize the simultaneous computation of the eight PEs. The whole system is implemented on a Xilinx FPGA board with a Virtex VII XC7VX485T chip. The 16-PEG FMC achieves a throughput of about 9.63 million fingerprint pairs per second, which is larger than that achieved on a Tesla K20c platform. The software execution times are also measured on the 2.93GHz Intel Xeon 5670, 2.3GHz AMD Opteron(tm) Processor 6376, and Tesla K20c platforms. The Intel Xeon 5670 has two processors with 12 cores, and the AMD Opteron(tm) Processor 6376 has two processors with 16 cores. Moreover, the throughput is about 31 times that achieved on a 2.93GHz Intel Xeon 5670 single core. © 2015 ACM.",Coarse-grained parallel; Fingerprint matching; FPGA; Minutia; Parallel among groups; Parallel in group; Processing element; Processing element group,Algorithms; Biometrics; Concurrency control; Field programmable gate arrays (FPGA); Palmprint recognition; Parallel architectures; Parallel processing systems; Reconfigurable hardware; Coarse-grained parallels; Fingerprint matching; Minutia; Parallel among groups; Parallel in group; Processing elements; Pattern matching
High-speed hardware partition generation,2015,ACM Transactions on Reconfigurable Technology and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919682785&doi=10.1145%2f2629472&partnerID=40&md5=0856e01f21670ce5ef0e11fe5fbe363f,"We demonstrate circuits that generate set and integer partitions on a set S of n objects at a rate of one per clock. Partitions are ways to group elements of a set together and have been extensively studied by researchers in algorithm design and theory. We offer two versions of a hardware set partition generator. In the first, partitions are produced in lexicographical order in response to successive clock pulses. In the second, an index input determines the set partition produced. Such circuits are useful in the hardware implementation of the optimum distribution of tasks to processors.We show circuits for integer partitions as well. Our circuits are combinational. For large n, they can have a large delay. However, one can easily pipeline them to produce one partition per clock period. We show (1) analytical and (2) experimental time/complexity results that quantify the efficiency of our designs. For example, our results show that a hardware set partition generator running on a 100MHz FPGA produces partitions at a rate that is approximately 10 times the rate of a software implementation on a processor running at 2.26GHz. © 2014 ACM.",Combinatorial objects; Index to partition generator; Integer partition; Partition diagram; Partition tree; Reconfigurable computer; Set partition,Clocks; Group theory; Combinatorial objects; Index to partition generator; Integer partitions; Reconfigurable computer; Set partitions; Computer hardware
Physical security evaluation of the bitstream encryption mechanism of altera stratix II and stratix III FPGAs,2015,ACM Transactions on Reconfigurable Technology and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919608503&doi=10.1145%2f2629462&partnerID=40&md5=2941a1d33854e778a8a85e9663b1951e,"To protect Field-Programmable Gate Array (FPGA) designs against Intellectual Property (IP) theft and related issues such as product cloning, all major FPGA manufacturers offer a mechanism to encrypt the bitstream that is used to configure the FPGA. From a mathematical point of view, the employed encryption algorithms (e.g., Advanced Encryption Standard (AES) or 3DES) are highly secure. However, it has been shown that the bitstream encryption feature of several FPGA families is susceptible to side-channel attacks based on measuring the power consumption of the cryptographic module. In this article, we present the first successful attack on the bitstream encryption of the Altera Stratix II and Stratix III FPGA families. To this end, we analyzed the Quartus II software and reverse engineered the details of the proprietary and unpublished schemes used for bitstream encryption on Stratix II and Stratix III. Using this knowledge, we demonstrate that the full 128-bit AES key of a Stratix II as well as the full 256-bit AES key of a Stratix III can be recovered by means of side-channel attacks. In both cases, the attack can be conducted in a few hours. The complete bitstream of these FPGAs that are (seemingly) protected by the bitstream encryption feature can hence fall into the hands of a competitor or criminal-possibly implying system-wide damage if confidential information such as proprietary encryption schemes or secret keys programmed into the FPGA are extracted. In addition to lost IP, reprogramming the attacked FPGA with modified code, for instance, to secretly plant a hardware Trojan, is a particularly dangerous scenario formany security-critical applications. © 2014 ACM.",AES; Altera; Bitstream encryption; Hardware security; Reverse engineering; Side-channel attack; Stratix II; Stratix III,Binary sequences; Clone cells; Crime; Data privacy; Field programmable gate arrays (FPGA); Hardware security; Malware; Reverse engineering; Advanced Encryption Standard; Altera; Bitstream encryption; Confidential information; Encryption algorithms; Security critical applications; Stratix II; Stratix III; Side channel attack
"Secure, remote, dynamic reconfiguration of FPGAs",2015,ACM Transactions on Reconfigurable Technology and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919667294&doi=10.1145%2f2629423&partnerID=40&md5=0ab1f4bafffc69d431fc4d678fdeed87,"With the widespread availability of broadband Internet, Field-Programmable Gate Arrays (FPGAs) can get remote updates in the field. This provides hardware and software updates, and enables issue solving and upgrade ability without device modification. In order to prevent an attacker from eavesdropping or manipulating the configuration data, security is a necessity. This work describes an architecture that allows the secure, remote reconfiguration of an FPGA. The architecture is partially dynamically reconfigurable and it consists of a static partition that handles the secure communication protocol and a single reconfigurable partition that holds the main application. Our solution distinguishes itself from existingwork in twoways: it provides entity authentication and it avoids the use of a trusted third party. The former provides protection against active attackers on the communication channel, while the latter reduces the number of reliable entities. Additionally, this work provides basic countermeasures against simple power-oriented side-channel analysis attacks. The result is an implementation that is optimized toward minimal resource occupation. Because configuration updates occur infrequently, configuration speed is of minor importance with respect to area. A prototype of the proposed design is implemented, using 5, 702 slices and having minimal downtime. © 2014 ACM.",DPR; FPGA; Partial reconfiguration; Remote; Secure,Dynamic models; Field programmable gate arrays (FPGA); Network architecture; Reconfigurable architectures; Side channel attack; Dynamic re-configuration; Entity authentications; Hardware and software; Partial reconfiguration; Remote; Remote reconfiguration; Secure; Trusted third parties; Reconfigurable hardware
Value state flow graph: A dataflow compiler IR for accelerating control-intensive code in spatial hardware,2015,ACM Transactions on Reconfigurable Technology and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951917711&doi=10.1145%2f2807702&partnerID=40&md5=96d34273289411e94fb84f7a97f5565f,"Although custom (and reconfigurable) computing can provide orders-of-magnitude improvements in energy efficiency and performance for many numeric, data-parallel applications, performance on nonnumeric, sequential code is often worse than conventional superscalar processors. This work attempts to improve sequential performance in custom hardware by (a) switching from a statically scheduled to a dynamically scheduled (dataflow) execution model and (b) developing a new compiler IR for high-level synthesis-the value state flow graph (VSFG)-that enables aggressive exposition of ILP even in the presence of complex control flow. Compared to existing control-data flow graph (CDFG)-based IRs, the VSFG exposes more instruction-level parallelism from control-intensive sequential code by exploiting aggressive speculation, enabling control dependence analysis, as well as execution along multiple flows of control. This new IR is directly implemented as a static-dataflow graph in hardware by our prototype high-level synthesis tool chain and showsanaverage speedupof1.13×over equivalent hardware generated using LegUp, an existing CDFG-based HLS tool. Furthermore, the VSFG allows us to further trade area and energy for performance through loop unrolling, increasing the average speedup to 1.55×, with a peak speedup of 4.05×. Our VSFG-based hardware approaches the sequential cycle counts of an Intel Nehalem Core i7 processor while consuming only 0.25× the energy of an in-order Altera Nios IIf processor. © 2015 ACM.",Amdahl's law; Compilers; Custom computing; Dark silicon; High-level synthesis; Instruction level parallelism; Reconfigurable computing,Codes (symbols); Computer hardware; Data flow graphs; Energy efficiency; Flow graphs; Graphic methods; Hardware; High level synthesis; Parallel processing systems; Program compilers; Reconfigurable architectures; Signal encoding; Synthesis (chemical); Amdahl's laws; Custom computing; Dark silicons; Instruction level parallelism; Reconfigurable computing; Data flow analysis
RAW 2014: Random number generators on FPGAS,2015,ACM Transactions on Reconfigurable Technology and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951962283&doi=10.1145%2f2807699&partnerID=40&md5=03db2e9e8699a8ecfd5dae0fb87c6a34,"Random numbers are important ingredients in a number of applications. Especially in a security context, they must be well distributed and unpredictable. We investigate the practical use of random number generators (RNGs) that are built from digital elements found in FPGAs. For this, we implement different types of ring oscillators (ROs) and memory collision-based circuits on FPGAs from major vendors. Implementing RNGs on the same device as the rest of the system benefits an overall reduction of vulnerability to attacks and wire tapping. Nevertheless, we investigate different attacks by tampering with power supply, chip temperature, and by exposition to strong magnetic fields and X-radiation. We also consider their usability as massively deployed components, whose functionality cannot be tested individually anymore, by conducting a technology invariance experiment. Our experiments show that BlockRAM-based RNGs cannot be considered as a suitable entropy source. We further show that RO-based RNGs work reliably under a wide range of operating conditions. While magnetic fields and X-rays did not induce any notable change, voltage and temperature variations caused an increase in propagation delays within the circuits. We show how reliable RNGs can be constructed and deployed on FPGAs. © 2015 ACM.",Active attack on random number generator; Cryptography; Entropy source; FPGA; Magnetic field; Power supply; Technology invariance; Temperature; True random number generator; X-radiation,Cryptography; Entropy; Field programmable gate arrays (FPGA); Magnetic fields; Magnetism; Number theory; Oscillators (electronic); Temperature; Entropy sources; Power supply; Random number generators; True randoms; X-radiation; Random number generation
A reconfigurable architecture for the detection of Strongly Connected Components,2015,ACM Transactions on Reconfigurable Technology and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951916082&doi=10.1145%2f2807700&partnerID=40&md5=e8228220473bde81f6585950ff52d815,"The Strongly Connected Components (SCCs) detection algorithm serves as a keystone for many graph analysis applications. The SCC execution time for large-scale graphs, as with many other graph algorithms, is dominated by memory latency. In this article, we investigate the design of a parallel hardware architecture for the detection of SCCs indirected graphs. We propose a design methodology that alleviates memory latency and problems with irregular memory access. The design is composed of 16 processing elements dedicated to parallel Breadth-First Search (BFS) and eight processing elements dedicated to finding intersection in parallel. Processing elements are organized to reuse resources and utilize memory bandwidth efficiently. We demonstrate a prototype of our design using the Convey HC-2 system, a commercial high-performance reconfigurable computing coprocessor. Our experimental results show a speedup of as much as 17× for detecting SCCs in large-scale graphs when compared to a conventional sequential software implementation. © 2015 ACM.",Breadth-First Search; Convey HC-2; FPGA applications; Graphs; Reconfigurable computing; Strongly Connected Components,Algorithms; Design; Graphic methods; Memory architecture; Reconfigurable hardware; Breadth-first search; FPGA applications; Graphs; Reconfigurable computing; Strongly connected component; Reconfigurable architectures
Graph-based approaches to placement of processing element networks on FPGAs for physical model simulation,2015,ACM Transactions on Reconfigurable Technology and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919663823&doi=10.1145%2f2629521&partnerID=40&md5=c5a4296f683aa5f53a08f78aaec848a0,"Physical models utilize mathematical equations to characterize physical systems like airwaymechanics, neuron networks, or chemical reactions. Previous work has shown that field programmable gate arrays (FPGAs) execute physical models efficiently. To improve the implementation of physical models on FPGAs, this article leverages graph theoretic techniques to synthesize physical models onto FPGAs. The first phase maps physical model equations onto a structured virtual processing element (PE) graph using graph theoretic folding techniques. The second phase maps the structured virtual PE graph onto physical PE regions on an FPGA using graph embedding theory. A simulated annealing algorithm is introduced that can map any physical model onto an FPGA regardless of the model's underlying topology.We further extend the simulated annealing approach by leveraging existing graph drawing algorithms to generate the initial placement. Compared to previous work on physical model implementation on FPGAs, embedding increases clock frequency by 25% on average (for applicable topologies), whereas simulated annealing increases frequency by 13% on average. The embedding approach typically produces a circuit whose frequency is limited by the FPGA clock instead of routing. Additionally, complex models that could not previously be routed due to complexity were made routable when using placement constraints. © 2014 ACM.",Cyber-physical system; Differential equation; Field programmable gate array (FPGA); Graph embedding; Physical model; Placement; Simulated annealing,Clocks; Complex networks; Cyber Physical System; Differential equations; Drawing (graphics); Embedded systems; Embeddings; Graph algorithms; Graph theory; Logic gates; Logic Synthesis; Signal receivers; Simulated annealing; Graph drawing algorithms; Graph embeddings; Graph-theoretic technique; Mathematical equations; Physical model; Physical model simulations; Placement; Simulated annealing algorithms; Field programmable gate arrays (FPGA)
