Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
A Time-Sensitive Object Model for Real-Time Systems,1995,ACM Transactions on Software Engineering and Methodology (TOSEM),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029333053&doi=10.1145%2f214013.214021&partnerID=40&md5=c832003c4e9502710d7d337b62f5811a,"Process-oriented models for real-time systems focus on the timing constraints of processes, a focus that can adversely affect resulting designs. Data dependencies between processes create scheduling interactions that limit the times at which processes may execute Processes are then designed to fit available windows in the overall system schedule. “Fitting in” frequently involves fragmenting processes to fit scheduhng windows and/or designing program and data structures for speed rather than for program comprehension. The result is often a system with very sensitive timing that is hard to understand and maintain. As an alternative to process-oriented design. we present time-sensitive objects: a data-oriented model for real-time systems. The time-sensitive object (TSO) model structures systems as time-constrained data, rather than time-ccmstrained processing Object values are extended to object histories in which a sequence of time-constrained values describe the evolution of the object over time. Systems comprise a set of objects and theu- dependencies. The TSO model describes the effects of object operations and the propagation of change among related objects. Periodic objects, a class of objects within the TSO model, are described in detail in this article and compared with traditional periodic processes. Advantages of time-sensitive objects are identified, including greater scheduling independence when processes have data dependencies, more opportumty for concurrency, and greater inherent capabd[ity for detection of and tolerance to timing errors. © 1995, ACM. All rights reserved.",Concurrency; fault tolerance; object models; programming techmques; real-time processing models; timing constraints,Computer simulation; Computer systems programming; Concurrency control; Constraint theory; Data processing; Data structures; Error detection; Fault tolerant computer systems; Object oriented programming; Programming theory; Scheduling; Process oriented models; Real time processing model; Time sensitive object model; Timing constraints; Real time systems
APPL/A: A Language for Software Process Programming,1995,ACM Transactions on Software Engineering and Methodology (TOSEM),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029333633&doi=10.1145%2f214013.214017&partnerID=40&md5=a1dbc4d77752991755efa0fe8b44326b,[No abstract available],,Ada (programming language); Computer aided design; Computer aided software engineering; Computer programming; Encoding (symbols); High level languages; Management information systems; Multiprocessing systems; Process engineering; Project management; Software prototyping; Consistency management; Engineering oriented applications; Metaprocesses; Multiparadigm programming languages; Software process programming; Transaction management; Computer programming languages
Graph Models for Reachability Analysis of Concurrent Programs,1995,ACM Transactions on Software Engineering and Methodology (TOSEM),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029280426&doi=10.1145%2f210134.210180&partnerID=40&md5=4c0f108862fc6740ca648fc44004645f,"The problem of analyzing concurrent systems has been investigated by many researchers, and several solutions have been proposed. Among the proposed techniques, reachability analysis—systematic enumeration of reachable states in a finite-state model—is attractive because it is conceptually simple and relatively straightforward to automate and can be used in conjunction with model-checking procedures to check for application-specific as well as general properties. This article shows that the nature of the translation from source code to a modeling formalism is of greater practical importance than the underlying formalism. Features identified as pragmatically important are the representation of internal choice, selection of a dynamic or static matching rule, and the ease of applying reductions. Since combinatorial explosion is the primary impediment to application of reachability analysis, a particular concern in choosing a model is facilitating divide-and-conquer analysis of large programs. Recently, much interest in finite-state verification systems has centered on algebraic theories of concurrency. Algebraic structure can be used to decompose reachability analysis based on a flowgraph model. The semantic equivalence of graph and Petri net-based models suggests that one ought to be able to apply a similar strategy for decomposing Petri nets. We describe how category-theoretic treatments of Petri nets provide a basis for decomposition of Petri net reachability analysis. © 1995, ACM. All rights reserved.",Ada tasking; process algebra; static analysis,Concurrent engineering; Finite element method; Graph theory; Petri nets; Software engineering; Systems engineering; Concurrent programs; Graph models; Computer software selection and evaluation
Authors' Response,1995,ACM Transactions on Software Engineering and Methodology (TOSEM),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976752238&doi=10.1145%2f210134.210438&partnerID=40&md5=a7fd68c3bbe968166453c8c71b27061d,[No abstract available],,
Aspect: Detecting Bugs with Abstract Dependences,1995,ACM Transactions on Software Engineering and Methodology (TOSEM),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029280675&doi=10.1145%2f210134.210135&partnerID=40&md5=363816fef1a86d30b65509a9fda36aa5,"Aspect is a static analysis technique for detecting bugs in imperative programs, consisting of an annotation language and a checking tool. Like a type declaration, an Aspect annotation of a procedure is a kind of declarative, partial specification that can be checked efficiently in a modular fashion. But instead of constraining the types of arguments and results, Aspect specifications assert dependences that should hold between inputs and outputs. The checker uses a simple dependence analysis to check code against annotations and can find bugs automatically that are not detectable by other static means, especially errors of omission, which are common, but resistant to type checking. This article explains the basic scheme and shows how it is elaborated to handle data abstraction and aliasing. © 1995, ACM. All rights reserved.",dataflow dependences; partial specification; partial verification,Codes (symbols); Computer programming languages; Constraint theory; Logic programming; Program diagnostics; Software engineering; Detecting bugs; Partial verification; Program debugging
Comments on “the Cost of Selective Recompilation and Environment Processing”,1995,ACM Transactions on Software Engineering and Methodology (TOSEM),https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976830494&doi=10.1145%2f210134.210435&partnerID=40&md5=ad53746111ea183d64dddad7552e2712,[No abstract available],,
Signature Matching: A Tool for Using Software Libraries,1995,ACM Transactions on Software Engineering and Methodology (TOSEM),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029280449&doi=10.1145%2f210134.210179&partnerID=40&md5=0474a26b2f1ca4c089bd703f18f9011d,"Signature matching is a method for organizing, navigating through, and retrieving from software libraries. We consider two kinds of software library components—functions and modules—and hence two kinds of matching—function matching and module matching. The signature of a function is simply its type; the signature of a module is a multiset of user-defined types and a multiset of function signatures. For both functions and modules, we consider not just exact match but also various flavors of relaxed match. We describe various applications of signature matching as a tool for using software libraries, inspired by the use of our implementation of a function signature matcher written in Standard ML. © 1995, ACM. All rights reserved.",signature matching; software retrieval,Computer programming languages; Database systems; File organization; Interfaces (computer); Libraries; Signature matching; Software libraries; Software engineering
Formalizing Style to Understand Descriptions of Software Architecture,1995,ACM Transactions on Software Engineering and Methodology (TOSEM),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029390712&doi=10.1145%2f226241.226244&partnerID=40&md5=fb05cf42adf395145c2197f798d744a4,[No abstract available],,Computational linguistics; Computer architecture; Computer hardware description languages; Formal logic; Interfaces (computer); Software architecture; Software engineering
Structuring Z Specifications with Views,1995,ACM Transactions on Software Engineering and Methodology (TOSEM),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029389271&doi=10.1145%2f226241.226249&partnerID=40&md5=91c2e47ef17dcff870dc9bfb2ef594d4,[No abstract available],,Computer hardware description languages; Formal languages; Interfaces (computer); State space methods; Implicit definition; View structuring; Z specifications; Software engineering
Double Iterative Framework for Flow-Sensitive Interprocedural Data Flow Analysis,1994,ACM Transactions on Software Engineering and Methodology (TOSEM),https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028320694&doi=10.1145%2f174634.174635&partnerID=40&md5=1e6d6e8af488c4382b215560f01d66fb,"Compiler optimization, parallel processing, data flow testing, and symbolic debugging can benefit from interprocedural data flow analysis. However, the live, reaching definition, and most summary data flow problems are theoretically intractable in the interprocedural case. A method is presented that reduces the exponential time bound with the help of an algorithm that solves the problem in polynomial time. Either the resulting sets contain precise results or the missing 1994 results do not cause any problems during their use. We also introduce the double iterative framework, where one procedure is processed at a time. The results of the intraprocedural analysis of procedures then propagates along the edges of the call multi-graph. In this way the intra and interprocedural analyses are executed alternately until there is no change in any result set. This method can be applied to any known interprocedural data flow problem. Here the algorithms for the kill, live variables, and reaching definitions problems are presented. Besides for precision, the algorithms can be used for very large programs, and since inter and intraprocedural analyses can be optimized separately, the method is fast as well. © 1994, ACM. All rights reserved.",data flow analysis; double iterative frameworks,Algorithms; Codes (symbols); Critical path analysis; Data transfer; Graph theory; Iterative methods; Mathematical models; Parallel processing systems; Procedure oriented languages; Program compilers; Program diagnostics; Systems analysis; Double iterative framework; Flow sensitive interprocedural data flow analysis; Multigraph; Program debugging
