Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Intelligent code completion with Bayesian networks,2015,ACM Transactions on Software Engineering and Methodology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952062892&doi=10.1145%2f2744200&partnerID=40&md5=ada4177429a51ead03113192ec772a22,"Code completion is an integral part of modern Integrated Development Environments (IDEs). Developers often use it to explore Application Programming Interfaces (APIs). It is also useful to reduce the required amount of typing and to help avoid typos. Traditional code completion systems propose all type-correct methods to the developer. Such a list is often very long with many irrelevant items. More intelligent code completion systems have been proposed in prior work to reduce the list of proposed methods to relevant items. This work extends one of these existing approaches, the Best Matching Neighbor (BMN) algorithm. We introduce Bayesian networks as an alternative underlying model, use additional context information for more precise recommendations, and apply clustering techniques to improve model sizes. We compare our new approach, Pattern-based Bayesian Networks (PBN), to the existing BMN algorithm. We extend previously used evaluation methodologies and, in addition to prediction quality, we also evaluate model size and inference speed. Our results show that the additional context information we collect improves prediction quality, especially for queries that do not contain method calls. We also show that PBN can obtain comparable prediction quality to BMN, while model size and inference speed scale better with large input sizes. © 2015 ACM.",Code completion; Code recommender; Content assist; Evaluation; Integrated Development Environments; Machine learning; Productivity,Application programming interfaces (API); Artificial intelligence; Codes (symbols); Forecasting; Learning systems; Productivity; Quality control; Semantics; Code completions; Code recommender; Content assist; Evaluation; Integrated development environment; Bayesian networks
Combining genetic algorithms and constraint programming to support stress testing of task deadlines,2015,ACM Transactions on Software Engineering and Methodology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952064666&doi=10.1145%2f2818640&partnerID=40&md5=867389abeae5177ed44c29c2bae4b40c,"Tasks in real-time embedded systems (RTES) are often subject to hard deadlines that constrain how quickly the system must react to external inputs. These inputs and their timing vary in a large domain depending on the environment state and can never be fully predicted prior to system execution. Therefore, approaches for stress testing must be developed to uncover possible deadline misses of tasks for different input arrival times. In this article, we describe stress-test case generation as a search problem over the space of task arrival times. Specifically, we search for worst-case scenarios maximizing deadline misses, where each scenario characterizes a test case. In order to scale our search to large industrial-size problems, we combine two state-of-the-art search strategies, namely, genetic algorithms (GA) and constraint programming (CP). Our experimental results show that, in comparison with GA and CP in isolation, GA+CP achieves nearly the same effectiveness as CP and the same efficiency and solution diversity as GA, thus combining the advantages of the two strategies. In light of these results, we conclude that a combined GA+CP approach to stress testing is more likely to scale to large and complex systems. 2015 Copyright is held by the owner/author(s).",Constraint programming; Genetic algorithms; Real-time systems; Search-based software testing; Stress testing; Task deadline,Algorithms; Computer programming; Constraint theory; Embedded systems; Interactive computer systems; Real time systems; Software testing; Constraint programming; Environment state; Real-time embedded systems; Search strategies; Search-based software testing; Stress Testing; Task deadline; Worst case scenario; Genetic algorithms
Type-based call graph construction algorithms for scala,2015,ACM Transactions on Software Engineering and Methodology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951945373&doi=10.1145%2f2824234&partnerID=40&md5=808e656bd50b2dc69cd5003d318d465d,"Call graphs have many applications in software engineering. For example, they serve as the basis for code navigation features in integrated development environments and are at the foundation of static analyses performed in verification tools. While many call graph construction algorithms have been presented in the literature, we are not aware of any that handle Scala features such as traits and abstract type members. Applying existing algorithms to the JVM bytecodes generated by the Scala compiler produces very imprecise results because type information is lost during compilation. We adapt existing type-based call graph construction algorithms to Scala and present a formalization based on Featherweight Scala. An experimental evaluation shows that our most precise algorithm generates call graphs with 1.1-3.7 times fewer nodes and 1.5-17.3 times fewer edges than a bytecode-based RTA analysis. © 2015 ACM.",Call graphs; Scala; Static analysis,Application programs; Program compilers; Software engineering; Static analysis; XML; Call graph construction; Call graphs; Code navigation; Experimental evaluation; Integrated development environment; Scala; Type information; Verification tools; Algorithms
Test case prioritization using extended digraphs,2015,ACM Transactions on Software Engineering and Methodology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952036405&doi=10.1145%2f2789209&partnerID=40&md5=79da5fa0a834430c0829a8bea1d19faf,"Although many test case prioritization techniques exist, their performance is far from perfect. Hence, we propose a new fault-based test case prioritization technique to promote fault-revealing test cases in modelbased testing (MBT) procedures. We seek to improve the fault detection rate-a measure of how fast a test suite is able to detect faults during testing-in scenarios such as regression testing. We propose an extended digraph model as the basis of this new technique. The model is realized using a novel reinforcement-learning (RL)- and hidden-Markov-model (HMM)-based technique which is able to prioritize test cases for regression testing objectives. We present a method to initialize and train an HMM based upon RL concepts applied to an application's digraph model. The model prioritizes test cases based upon forward probabilities, a new test case prioritization approach. In addition, we also propose an alternative approach to prioritizing test cases according to the amount of change they cause in applications. To evaluate the effectiveness of the proposed techniques, we perform experiments on graphical user interface (GUI)-based applications and compare the results with state-of-the-art test case prioritization approaches. The experimental results show that the proposed technique is able to detect faults early within test runs. © 2015 ACM.",Additional statement coverage; Fault-based test case prioritization; Gui testing; HMM; Model-based testing (MBT); Random prioritization; Rein-forcement learning,Directed graphs; Fault detection; Graph theory; Graphical user interfaces; Hidden Markov models; Interface states; Markov processes; Model checking; Reinforcement learning; Software testing; User interfaces; GUI testing; HMM; Model based testing; Prioritization; Statement coverage; Test case prioritization; Testing
Editorial: Journal-first publication for the software engineering community,2015,ACM Transactions on Software Engineering and Methodology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952009164&doi=10.1145%2f2837717&partnerID=40&md5=3008808d3d990411a22f23972acaccde,[No abstract available],,
The effectiveness of test coverage criteria for relational database schema integrity constraints,2015,ACM Transactions on Software Engineering and Methodology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951980271&doi=10.1145%2f2818639&partnerID=40&md5=be854c5e7da81248618b3b81da2a4a2c,"Despite industry advice to the contrary, there has been little work that has sought to test that a relational database's schema has correctly specified integrity constraints. These critically important constraints ensure the coherence of data in a database, defending it from manipulations that could violate requirements such as ""usernames must be unique"" or ""the host name cannot be missing or unknown."" This article is the first to propose coverage criteria, derived from logic coverage criteria, that establish different levels of testing for the formulation of integrity constraints in a database schema. These range from simple criteria that mandate the testing of successful and unsuccessful INSERT statements into tables to more advanced criteria that test the formulation of complex integrity constraints such as multi-column PRIMARY KEYs and arbitrary CHECK constraints. Due to different vendor interpretations of the structured query language (SQL) specification with regard to how integrity constraints should actually function in practice, our criteria crucially account for the underlying semantics of the database management system (DBMS). After formally defining these coverage criteria and relating them in a subsumption hierarchy, we present two approaches for automatically generating tests that satisfy the criteria. We then describe the results of an empirical study that uses mutation analysis to investigate the fault-finding capability of data generated when our coverage criteria are applied to a wide variety of relational schemas hosted by three well-known and representative DBMSs-HyperSQL, PostgreSQL, and SQLite. In addition to revealing the complementary fault-finding capabilities of the presented criteria, the results show that mutation scores range from as low as just 12% of mutants being killed with the simplest of criteria to 96% with the most advanced. © 2015 ACM.",Automatic test data generation; Coverage criteria; Integrity constraints; Mutation analysis; Relational database schemas; Schema testing; Search-based software engineering; Software testing,Automatic test pattern generation; Query languages; Query processing; Search engines; Semantics; Software engineering; Automatic test data generation; Coverage criteria; Integrity constraints; Mutation analysis; Relational Database; Search-based software engineering; Software testing
Boa: Ultra-large-scale software repository and source-code mining,2015,ACM Transactions on Software Engineering and Methodology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949680341&doi=10.1145%2f2803171&partnerID=40&md5=e53e078a197072bcda595d9cf6ed0169,"In today's software-centric world, ultra-large-scale software repositories, such as SourceForge, GitHub, and Google Code, are the new library of Alexandria. They contain an enormous corpus of software and related information. Scientists and engineers alike are interested in analyzing this wealth of information. However, systematic extraction and analysis of relevant data from these repositories for testing hypotheses is hard, and best left for mining software repository (MSR) experts! Specifically, mining source code yields significant insights into software development artifacts and processes. Unfortunately, mining source code at a large scale remains a difficult task. Previous approaches had to either limit the scope of the projects studied, limit the scope of the mining task to be more coarse grained, or sacrifice studying the history of the code. In this article we address mining source code: (a) at a very large scale; (b) at a fine-grained level of detail; and (c) with full history information. To address these challenges, we present domain-specific language features for source-code mining in our language and infrastructure called Boa. The goal of Boa is to ease testing MSR-related hypotheses. Our evaluation demonstrates that Boa substantially reduces programming efforts, thus lowering the barrier to entry. We also show drastic improvements in scalability. © 2015 ACM.",Boa; Domain-specific language; Ease of use; Lower barrier to entry; Mining software repositories; Scalable,Codes (symbols); Computational linguistics; Computer programming languages; Data mining; Problem oriented languages; Software design; Software testing; Boa; Domain specific languages; Ease-of-use; Lower barrier to entry; Mining software repositories; Scalable; C (programming language)
Do automatically generated test cases make debugging easier? An experimental assessment of debugging effectiveness and efficiency,2015,ACM Transactions on Software Engineering and Methodology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951925728&doi=10.1145%2f2768829&partnerID=40&md5=6590ce44c7fb83fb14e7b7bb9829e6ee,"Several techniques and tools have been proposed for the automatic generation of test cases. Usually, these tools are evaluated in terms of fault-revealing or coverage capability, but their impact on the manual debugging activity is not considered. The question is whether automatically generated test cases are equally effective in supporting debugging as manually written tests. We conducted a family of three experiments (five replications) with humans (in total, 55 subjects) to assess whether the features of automatically generated test cases, which make them less readable and understandable (e.g., unclear test scenarios, meaningless identifiers), have an impact on the effectiveness and efficiency of debugging. The first two experiments compare different test case generation tools (Randoop vs. EvoSuite). The third experiment investigates the role of code identifiers in test cases (obfuscated vs. original identifiers), since a major difference between manual and automatically generated test cases is that the latter contain meaningless (obfuscated) identifiers. We show that automatically generated test cases are as useful for debugging as manual test cases. Furthermore, we find that, for less experienced developers, automatic tests are more useful on average due to their lower static and dynamic complexity. © 2015 ACM.",Automatic test case generation; Debugging; Empirical software engineering,Computer debugging; Efficiency; Program debugging; Software engineering; Software testing; Automatic Generation; Automatic test-case generations; Automatically generated; Effectiveness and efficiencies; Empirical Software Engineering; Experimental assessment; Techniques and tools; Test case generation; Automatic test pattern generation
Estimating semantic relatedness in source code,2015,ACM Transactions on Software Engineering and Methodology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952042007&doi=10.1145%2f2824251&partnerID=40&md5=01ed9ca61f1b3b684cb0a5727d34a6f1,"Contemporary software engineering tools exploit semantic relations between individual code terms to aid in code analysis and retrieval tasks. Such tools employ word similarity methods, often used in natural language processing (NLP), to analyze the textual content of source code. However, the notion of similarity in source code is different from natural language. Source code often includes unnatural domain-specific terms (e.g., abbreviations and acronyms), and such terms might be related due to their structural relations rather than linguistic aspects. Therefore, applying natural language similarity methods to source code without adjustment can produce low-quality and error-prone results. Motivated by these observations, we systematically investigate the performance of several semantic-relatedness methods in the context of software. Our main objective is to identify the most effective semantic schemes in capturing association relations between source code terms. To provide an unbiased comparison, different methods are compared against human-generated relatedness information using terms from three software systems. Results show that corpus-based methods tend to outperform methods that exploit external sources of semantic knowledge. However, due to inherent code limitations, the performance of such methods is still suboptimal. To address these limitations, we propose Normalized Software Distance (NSD), an information-theoretic method that captures semantic relatedness in source code by exploiting the distributional cues of code terms across the system. NSD overcomes data sparsity and lack of context problems often associated with source code, achieving higher levels of resemblance to the human perception of relatedness at the term and the text levels of code. © 2015 ACM.",Clustering; Information retrieval; Information theory; Latent semantics; Semantic relatedness,Computational linguistics; Computer programming languages; Information retrieval; Information theory; Natural language processing systems; Semantics; Software engineering; Clustering; Corpus-based methods; Information-theoretic methods; Latent semantics; NAtural language processing; Semantic knowledge; Semantic relatedness; Software engineering tools; Codes (symbols)
Understanding integer overflow in C/C++,2015,ACM Transactions on Software Engineering and Methodology,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951938210&doi=10.1145%2f2743019&partnerID=40&md5=4b6c39b5affd2459c13051c48f67ea38,"Integer overflow bugs in C and C++ programs are difficult to track down and may lead to fatal errors or exploitable vulnerabilities. Although a number of tools for finding these bugs exist, the situation is complicated because not all overflows are bugs. Better tools need to be constructed, but a thorough understanding of the issues behind these errors does not yet exist. We developed IOC, a dynamic checking tool for integer overflows, and used it to conduct the first detailed empirical study of the prevalence and patterns of occurrence of integer overflows in C and C++ code. Our results show that intentional uses of wraparound behaviors are more common than is widely believed; for example, there are over 200 distinct locations in the SPEC CINT2000 benchmarks where overflow occurs. Although many overflows are intentional, a large number of accidental overflows also occur. Orthogonal to programmers' intent, overflows are found in both well-defined and undefined flavors. Applications executing undefined operations can be, and have been, broken by improvements in compiler optimizations. Looking beyond SPEC, we found and reported undefined integer overflows in SQLite, PostgreSQL, SafeInt, GNU MPC and GMP, Firefox, LLVM, Python, BIND, and OpenSSL; many of these have since been fixed. © ACM 2015.",Integer overflow; Integer wraparound; Undefined behavior,C++ (programming language); Computer software; Program compilers; Program debugging; C++ codes; Compiler optimizations; Dynamic checking; Empirical studies; Integer overflow; Integer wraparound; PostgreSQL; Undefined behavior; Integer programming
