Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Efficient geo-fencing via hybrid hashing: A combination of bucket selection and in-bucket binary search,2015,ACM Transactions on Spatial Algorithms and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051111494&doi=10.1145%2f2774219&partnerID=40&md5=2fddad08760d8343c6d31926c6df4630,"Geo-fencing, as a spatial join between points (moving objects) and polygons (spatial range), is widely used in emerging location-based services to trigger context-aware events. It faces the challenge of real-time processing a large number of time-variant complex polygons, when points are constantly moving. Following the filter-and-refine policy, in our previous work, we proposed to organize edges per polygon in hash tables to improve the performance of the refining stage. The number of edges, however, is uneven among buckets. As a result, some points that happen to match big buckets with many edges will have much longer responses than usual. In this article, we solve this problem from two aspects: (i) Constructing multiple parallel hash tables and dynamically selecting the bucket with fewest edges and (ii) sorting edges in a bucket so as to realize the crossing number algorithm by binary search. We further combine the two to suggest a hybrid hashing scheme that takes a better tradeoff between real-time pairing points with polygons and system overhead of building hash tables. Extensive analyses and evaluations on two real-world datasets confirm that the proposed scheme can effectively reduce the pairing time in terms of both the average and distribution. © 2015 ACM.",Crossing number algorithm; Geo-fencing; Geographic information system; Hashing; Indexing; Selection diversity; Spatial join,Data structures; Geographic information systems; Geometry; Indexing (of information); Telecommunication services; Crossing number; Geo-fencing; Hashing; Selection diversity; Spatial join; Location based services
TRIFL: A generic trajectory index for flash storage,2015,ACM Transactions on Spatial Algorithms and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047147812&doi=10.1145%2f2786758&partnerID=40&md5=41193c81d722cf010140ff037f5ac3e3,"Due to several important features, such as high performance, low power consumption, and shock resistance, NAND flash has become a very popular stable storage medium for embedded mobile devices, personal computers, and even enterprise servers. However, the peculiar characteristics of flash memory require redesigning the existing data storage and indexing techniques that were devised for magnetic hard disks. In this article, we propose TRIFL, an efficient and generic TRajectory Index for FLash. TRIFL is designed around the key requirements of trajectory indexing and flash storage. TRIFL is generic in the sense that it is efficient for both simple flash storage devices such as SD cards and more powerful devices such as solid state drives. In addition, TRIFL is supplied with an online self-tuning algorithm that allows adapting the index structure to the workload and the technical specifications of the flash storage device to maximize the index performance. Moreover, TRIFL achieves good performance with relatively low memory requirements, which makes the index appropriate for many application scenarios. The experimental evaluation shows that TRIFL outperforms the representative indexing methods on magnetic disks and flash disks. © 2015 ACM.",Flash memory; Partitioning; Range queries; Trajectory indexing,Green computing; Indexing (of information); Magnetic storage; Personal computers; Trajectories; Virtual storage; Application scenario; Experimental evaluation; Low-power consumption; On-line self-tuning; Partitioning; Range query; Technical specifications; Trajectory indexing; Flash memory
Tilewise accumulated cost surface computation with graphics processing units,2015,ACM Transactions on Spatial Algorithms and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045658912&doi=10.1145%2f2803172&partnerID=40&md5=44e0666529faba8204db6c76b2c36e77,"Accumulated cost surfaces are used in a variety of fields that employ spatial analysis. Several algorithms have been suggested in the past for solving them efficiently or with minimal errors. Meanwhile, a new wave on the technological frontier has brought about general-purpose computing on GPUS. In this article, we describe how accumulated cost surfaces can be solved with CUDA. To verify the performance of our solution, we performed an experimental comparison against implementations run on a CPU. Our results with realistic cost models indicate that the move to GPUS can engender a speed-up of an order of magnitude. © 2015 ACM.",Accumulated cost surface; CUD; Raster data; Single-source shortest-path; Spatial analysis,Computer graphics; Graphics processing unit; Program processors; Spatial variables measurement; Cost models; Cost surfaces; Experimental comparison; General-purpose computing; Minimal errors; Raster data; Single source shortest paths; Spatial analysis; Cost benefit analysis
Generating moving regions from snapshots of complex regions,2015,ACM Transactions on Spatial Algorithms and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049721250&doi=10.1145%2f2774220&partnerID=40&md5=1f875a81b08ffbce5c5317643cfa67c6,"Moving regions are a form of spatiotemporal data in which a region changes in shape and/or position over time. In many fields, moving regions representing real-world phenomena are collected using sensors that take temporally encoded snapshots of regions. We provide a novel algorithm that creates a moving region between any two complex regions. The proposed algorithm has worst-case time bounds of O(n2), but can use approximation techniques to achieve O(nlg n) in practice, space bounds of O(n), and output size bounded by O(n) (where n is the number of line segments that define the boundaries of the regions). © 2015 ACM.",Moving regions; Polygon morphing; Region interpolation,Approximation algorithms; Image coding; Approximation techniques; Line segment; Morphing; Moving regions; Novel algorithm; Real-world; Space bounds; Spatio-temporal data; Object recognition
A path-based distance for street map comparison,2015,ACM Transactions on Spatial Algorithms and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030863116&doi=10.1145%2f2729977&partnerID=40&md5=009bae7cd895e0d414e1c1da864a41dc,"Comparing two geometric graphs embedded in space is important in the field of transportation network analysis. Given street maps of the same city collected from different sources, researchers often need to know how and where they differ. However, the majority of current graph comparison algorithms are based on structural properties of graphs, such as their degree distribution or their local connectivity properties, and do not consider their spatial embedding. This ignores a key property of road networks since the similarity of travel over two road networks is intimately tied to the specific spatial embedding. Likewise, many current algorithms specific to street map comparison either do not provide quality guarantees or focus on spatial embeddings only. Motivated by road network comparison, we propose a new path-based distance measure between two planar geometric graphs that is based on comparing sets of travel paths generated over the graphs. Surprisingly, we are able to show that using paths of bounded link-length, we can capture global structural and spatial differences between the graphs. We show how to utilize our distance measure as a local signature in order to identify and visualize portions of high similarity in the maps. Finally, we present an experimental evaluation of our distance measure and its local signature on street map data from Berlin, Germany and Athens, Greece. © 2015 ACM.",Geometric graphs; Map comparison; Street maps,Geometry; Graphic methods; Motor transportation; Roads and streets; Technology transfer; Degree distributions; Experimental evaluation; Geometric graphs; Map comparison; Planar geometric graphs; Spatial differences; Street maps; Transportation network; Graph theory
Symbolic trajectories,2015,ACM Transactions on Spatial Algorithms and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961216551&doi=10.1145%2f2786756&partnerID=40&md5=fdaea7a6889e96e5abf23dd4638360b1,"Due to the proliferation of GPS-enabled devices in vehicles or with people, large amounts of position data are recorded every day and the management of such mobility data, also called trajectories, is a very active research field. A lot of effort has gone into discovering ""semantics"" from the raw geometric trajectories by relating them to the spatial environment or finding patterns, for example, by data mining techniques. A question is how the resulting ""meaningful"" trajectories can be represented or further queried. In this article, we propose a systematic study of annotated trajectory databases. We define a very simple generic model called symbolic trajectory to capture a wide range of meanings derived from a geometric trajectory. Essentially, a symbolic trajectory is just a time-dependent label; variants have sets of labels, places, or sets of places. They are modeled as abstract data types and integrated into a well-established framework of data types and operations for moving objects. Symbolic trajectories can represent, for example, the names of roads traversed obtained by map matching, transportation modes, speed profile, cells of a cellular network, behaviors of animals, cinemas within 2km distance, and so forth. Symbolic trajectories can be combined with geometric trajectories to obtain annotated trajectories. Besides the model, the main technical contribution of the article is a language for pattern matching and rewriting of symbolic trajectories. A symbolic trajectory can be represented as a sequence of pairs (called units) consisting of a time interval and a label. A pattern consists of unit patterns (specifications for time interval and/or label) and wildcards, matching units and sequences of units, respectively, and regular expressions over such elements. It may further contain variables that can be used in conditions and in rewriting. Conditions and expressions in rewriting may use arbitrary operations available for querying in the host DBMS environment, which makes the language extensible and quite powerful. We formally define the data model and syntax and semantics of the pattern language. Query operations are offered to integrate pattern matching, rewriting, and classification of symbolic trajectories into a DBMS querying environment. Implementation of the model using finite state machines is described in detail. An experimental evaluation demonstrates the efficiency of the implementation. In particular, it shows dramatic improvements in storage space and response time in a comparison of symbolic and geometric trajectories for some simple queries that can be executed on both symbolic and raw trajectories. © 2015 ACM.",Moving objects; Pattern matching; Rewritin; Semantic trajectories; Trajectories,Abstract data types; Abstracting; Data mining; Database systems; Digital storage; Geometry; Pattern matching; Semantics; Experimental evaluation; Geometric trajectory; Moving objects; Rewritin; Semantic trajectories; Spatial environments; Technical contribution; Transportation mode; Trajectories
A server-assigned spatial crowdsourcing framework,2015,ACM Transactions on Spatial Algorithms and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976609538&doi=10.1145%2f2729713&partnerID=40&md5=c80f671439eea070f09960fd88eefc1b,"With the popularity of mobile devices, spatial crowdsourcing is rising as a new framework that enables human workers to solve tasks in the physical world. With spatial crowdsourcing, the goal is to crowdsource a set of spatiotemporal tasks (i.e., tasks related to time and location) to a set of workers, which requires the workers to physically travel to those locations in order to perform the tasks. In this article, we focus on one class of spatial crowdsourcing, in which the workers send their locations to the server and thereafter the server assigns to every worker tasks in proximity to the worker's location with the aim of maximizing the overall number of assigned tasks. We formally define this maximum task assignment (MTA) problem in spatial crowdsourcing, and identify its challenges. We propose alternative solutions to address these challenges by exploiting the spatial properties of the problem space, including the spatial distribution and the travel cost of the workers. MTA is based on the assumptions that all tasks are of the same type and all workers are equally qualified in performing the tasks. Meanwhile, different types of tasks may require workers with various skill sets or expertise. Subsequently, we extend MTA by taking the expertise of the workers into consideration. We refer to this problem as the maximum score assignment (MSA) problem and show its practicality and generality. Extensive experiments with various synthetic and two real-world datasets show the applicability of our proposed framework. © 2015 ACM.",Crowdsourcing; Mobile crowdsourcing; Participatory sensing; Spatial crowdsourcing; Spatial task assignment,Location; Spatial distribution; Alternative solutions; Maximum score; Mobile crowdsourcing; Participatory Sensing; Physical world; Real-world datasets; Spatial properties; Task assignment; Crowdsourcing
Multirow boundary-labeling algorithms for panorama images,2015,ACM Transactions on Spatial Algorithms and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032018177&doi=10.1145%2f2794299&partnerID=40&md5=4ad3c4ea3579f0cfa6143813decd8b39,"Boundary labeling deals with placing annotations for objects in an image on the boundary of that image. This problem occurs frequently in situations in which placing labels directly in the image is impossible or produces too much visual clutter. Examples are annotating maps, photos, or technical/medical illustrations. Previous algorithmic results for boundary labeling consider a single layer of labels along some or all sides of a rectangular image. If, however, the number of labels is large or the labels are too long, multiple layers of labels are needed. In this article, we study boundary labeling for panorama images, where n points in a rectangle R are to be annotated by disjoint unit-height rectangular labels placed above R in K different rows (or layers). Each point is connected to its label by a vertical leader that does not intersect any other label. We present polynomial time algorithms based on dynamic programming that either minimize the number of rows to place all n labels or maximize the number (or total weight) of labels that can be placed in K rows for a given integer K. For weighted labels, the problem is shown to be (weakly) NP-hard; in this case, we give a pseudopolynomial algorithm to maximize the weight of the selected labels. We have implemented our algorithms; the experimental results show that solutions for realistically sized instances are computed instantaneously. We have also investigated two-sided panorama labeling, for which the labels may be placed above or below the panorama image. In this model, all of the aforementioned problems are NP-hard. For solving them, we propose mixed-integer linear program formulations. © 2015 ACM.",Information visualization; Point feature labeling,Dynamic programming; Information systems; Integer programming; Polynomial approximation; Boundary labeling; Information visualization; Mixed-integer linear program formulations; Multiple layers; Point features; Polynomial-time algorithms; Pseudopolynomial algorithms; Rectangular image; Image processing
Evaluating the Utility of High-Resolution Proximity Metrics in Predicting the Spread of COVID-19,2022,ACM Transactions on Spatial Algorithms and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146430303&doi=10.1145%2f3531006&partnerID=40&md5=6ecd48c08e3fe532d198229548e0feb8,"High resolution mobility datasets have become increasingly available in the past few years and have enabled detailed models for infectious disease spread including those for COVID-19. However, there are open questions on how such mobility data can be used effectively within epidemic models and for which tasks they are best suited. In this paper, we extract a number of graph-based proximity metrics from high resolution cellphone trace data from X-Mode and use it to study COVID-19 epidemic spread in 50 land grant university counties in the US. We present an approach to estimate the effect of mobility on cases by fitting an ordinary differential equation based model and performing multivariate linear regression to explain the estimated time varying transmissibility. We find that, while mobility plays a significant role, the contribution is heterogeneous across the counties, as exemplified by a subsequent correlation analysis. We also evaluate the metrics' utility for case surge prediction defined as a supervised classification problem, and show that the learnt model can predict surges with 95% accuracy and an 87% F1-score.  © 2022 Copyright held by the owner/author(s).",big data; computational epidemiology; COVID-19; individual mobility; machine learning,United States; Big data; Epidemiology; Forecasting; Graphic methods; Ordinary differential equations; Supervised learning; Computational epidemiologies; Detailed models; Disease spread; Epidemic modeling; High resolution; Individual mobility; Infectious disease; Machine-learning; Mobility datum; Proximity metrics; COVID-19; disease spread; epidemic; epidemiology; viral disease; COVID-19
Modeling the Geospatial Evolution of COVID-19 using Spatio-temporal Convolutional Sequence-to-sequence Neural Networks,2022,ACM Transactions on Spatial Algorithms and Systems,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146419325&doi=10.1145%2f3550272&partnerID=40&md5=208fdab7dbc0452fc5cc79090413b70b,"Europe was hit hard by the COVID-19 pandemic and Portugal was severely affected, having suffered three waves in the first twelve months. Approximately between January 19th and February 5th 2021 Portugal was the country in the world with the largest incidence rate, with 14-day incidence rates per 100,000 inhabitants in excess of 1,000. Despite its importance, accurate prediction of the geospatial evolution of COVID-19 remains a challenge, since existing analytical methods fail to capture the complex dynamics that result from the contagion within a region and the spreading of the infection from infected neighboring regions. We use a previously developed methodology and official municipality level data from the Portuguese Directorate-General for Health (DGS), relative to the first twelve months of the pandemic, to compute an estimate of the incidence rate in each location of mainland Portugal. The resulting sequence of incidence rate maps was then used as a gold standard to test the effectiveness of different approaches in the prediction of the spatial-temporal evolution of the incidence rate. Four different methods were tested: a simple cell level autoregressive moving average (ARMA) model, a cell level vector autoregressive (VAR) model, a municipality-by-municipality compartmental SIRD model followed by direct block sequential simulation, and a new convolutional sequence-to-sequence neural network model based on the STConvS2S architecture. We conclude that the modified convolutional sequence-to-sequence neural network is the best performing method in this task, when compared with the ARMA, VAR, and SIRD models, as well as with the baseline ConvLSTM model.  © 2022 Association for Computing Machinery.",compartmental models; convolutional neural networks; COVID-19; direct block sequential simulation; geospatial modeling; spatio-temporal convolutional sequence-to-sequence neural networks,Portugal; Convolution; Convolutional neural networks; Public health; Value engineering; Block-sequential; Compartmental modelling; Convolutional neural network; Direct block sequential simulation; Geospatial model; Incidence rate; Neural-networks; Sequential simulation; Spatio-temporal; Spatio-temporal convolutional sequence-to-sequence neural network; artificial neural network; COVID-19; disease incidence; public health; spatiotemporal analysis; urban region; COVID-19
