Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
A new benchmark dataset with production methodology for short text semantic similarity algorithms,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891861842&doi=10.1145%2f2537046&partnerID=40&md5=5fa8dfcabab742acd4911d8ae122cd8c,"This research presents a new benchmark dataset for evaluating Short Text Semantic Similarity (STSS) measurement algorithms and the methodology used for its creation. The power of the dataset is evaluated by using it to compare two established algorithms, STASIS and Latent Semantic Analysis. This dataset focuses on measures for use in Conversational Agents; other potential applications include email processing and data mining of social networks. Such applications involve integrating the STSS algorithm in a complex system, but STSS algorithms must be evaluated in their own right and compared with others for their effectiveness before systems integration. Semantic similarity is an artifact of human perception; therefore its evaluation is inherently empirical and requires benchmark datasets derived from human similarity ratings. The new dataset of 64 sentence pairs, STSS-131, has been designed to meet these requirements drawing on a range of resources from traditional grammar to cognitive neuroscience. The human ratings are obtained from a set of trials using new and improved experimental methods, with validated measures and statistics. The results illustrate the increased challenge and the potential longevity of the STSS-131 dataset as the Gold Standard for future STSS algorithm evaluation. © 2013 ACM 1550-4875/2013/12-ART17 15.00.",Conversational agents; Evaluation/methodology; Semantic similarity; Similarity measures; Text analysis; Text processing,Algorithms; Semantics; Text processing; Conversational agents; Evaluation/methodology; Semantic similarity; Similarity measure; Text analysis; Data processing
Lattice BLEU oracles in machine translation,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891861055&doi=10.1145%2f2513147&partnerID=40&md5=b4222f9b5a172fb08239299375b1b2b4,"The search space of Phrase-Based Statistical Machine Translation (PBSMT) systems can be represented as a directed acyclic graph (lattice). By exploring this search space, it is possible to analyze and understand the failures of PBSMT systems. Indeed, useful diagnoses can be obtained by computing the so-called oracle hypotheses, which are hypotheses in the search space that have the highest quality score. For standard SMT metrics, this problem is, however, NP-hard and can only be solved approximately. In this work, we present two new methods for efficiently computing oracles on lattices: the first one is based on a linear approximation of the corpus BLEU score and is solved using generic shortest distance algorithms; the second one relies on an Integer Linear Programming (ILP) formulation of the oracle decoding that incorporates count clipping constraints. It can either be solved directly using a standard ILP solver or using Lagrangian relaxation techniques. These new decoders are evaluated and compared with several alternatives from the literature for three language pairs, using lattices produced by two PBSMT systems. © 2013 ACM 1550-4875/2013/12-ART17 15.00.",BLEU; Integer linear programming; Lattices; Machine translation; Oracle decoding,Computer aided language translation; Crystal lattices; Decoding; Integer programming; BLEU; Directed acyclic graph (DAG); Distance algorithm; Integer Linear Programming; Lagrangian relaxation techniques; Linear approximations; Machine translations; Phrase-based statistical machine translation; Approximation algorithms
Learning to control listening-oriented dialogue using partially observable markov decision processes,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891858375&doi=10.1145%2f2513145&partnerID=40&md5=f7b495e97bae705bd05895254e5a484c,"Our aim is to build listening agents that attentively listen to their users and satisfy their desire to speak and have themselves heard. This article investigates how to automatically create a dialogue control component of such a listening agent.We collected a large number of listening-oriented dialogues with their user satisfaction ratings and used them to create a dialogue control component that satisfies users by means of Partially Observable Markov Decision Processes (POMDPs). Using a hybrid dialog controller where high-level dialog acts are chosen with a statistical policy and low-level slot values are populated by a wizard, we evaluated our dialogue control method in aWizard-of-Oz experiment. The experimental results show that our POMDPbased method achieves significantly higher user satisfaction than other stochastic models, confirming the validity of our approach. This article is the first to verify, by using human users, the usefulness of POMDPbased dialogue control for improving user satisfaction in nontask-oriented dialogue systems. © 2013 ACM 1550-4875/2013/12-ART17 15.00.",Dialogue control; Dialogue systems; Listening-oriented dialogue; Partially observable Markov decision processes,Speech processing; Dialog acts; Dialogue control; Dialogue systems; Human users; Listening-oriented dialogue; Partially observable Markov decision process; User satisfaction; Stochastic control systems
Editorial,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891884876&doi=10.1145%2f2556529&partnerID=40&md5=6d4c7d986304ad73e9a10c62373d05b2,[No abstract available],,
Cognitive canonicalization of natural language queries using semantic strata,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891861533&doi=10.1145%2f2539053&partnerID=40&md5=67d12047b8a4c17c9513322579b2c965,"Natural language search relies strongly on perceiving semantics in a query sentence. Semantics is captured by the relationship among the query words, represented as a network (graph). Such a network of words can be fed into larger ontologies, like DBpedia or Google Knowledge Graph, where they appear as subgraphs-fashioning the name subnetworks (subnets). Thus, subnet is a canonical form for interfacing a natural language query to a graph database and is an integral step for graph-based searching. In this article, we present a novel standalone NLP technique that leverages the cognitive psychology notion of semantic strata for semantic subnetwork extraction from natural language queries. The cognitive model describes some of the fundamental structures employed by the human cognition to construct semantic information in the brain, called semantic strata. We propose a computational model based on conditional random fields to capture the cognitive abstraction provided by semantic strata, facilitating cognitive canonicalization of the query. Our results, conducted on approximately 5000 queries, suggest that the cognitive canonicals based on semantic strata are capable of significantly improving parsing and role labeling performance beyond pure lexical approaches, such as parts-of-speech based techniques. We also find that cognitive canonicalized subnets are more semantically coherent compared to syntax trees when explored in graph ontologies like DBpedia and improve ranking of retrieved documents. © 2013 ACM 1550-4875/2013/12-ART17 15.00.",Cognitive linguistics; Query; Search; Semantic; Strata; Subnets,Natural language processing systems; Query processing; Trees (mathematics); Cognitive linguistics; Query; Search; Strata; Subnets; Semantics
Composition of semantic relations: Theoretical framework and case study,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891850030&doi=10.1145%2f2513146&partnerID=40&md5=9f01fc7d51b738e2812af2604a4078ba,"Extracting semantic relations from text is a preliminary step towards understanding the meaning of text. The more semantic relations are extracted from a sentence, the better the representation of the knowledge encoded into that sentence. This article introduces a framework for the Composition of Semantic Relations (CSR). CSR aims to reveal more text semantics than existing semantic parsers by composing new relations out of previously extracted relations. Semantic relations are defined using vectors of semantic primitives, and an algebra is suggested to manipulate these vectors according to a CSR algorithm. Inference axioms that combine two relations and yield another relation are generated automatically. CSR is a language-agnostic, inventory-independent method to extract semantic relations. The formalism has been applied to a set of 26 well-known relations and results are reported. © 2013 ACM 1550-4875/2013/12-ART17 15.00.",Relation extraction; Relation inference; Semantic relations,Computational methods; Computer science; Speech communication; CSR algorithm; Relation extraction; Relation inference; Semantic relations; Theoretical framework; Semantics
On collocations and topic models,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880243080&doi=10.1145%2f2483969.2483972&partnerID=40&md5=2ac293387ecdc77fcad43c9d63edbf69,"We investigate the impact of preextracting and tokenizing bigram collocations on topic models. Using extensive experiments on four different corpora, we show that incorporating bigram collocations in the document representation creates more parsimonious models and improves topic coherence. We point out some problems in interpreting test likelihood and test perplexity to compare model fit, and suggest an alternate measure that penalizes model complexity. We show how the Akaike information criterion is a more appropriate measure, which suggests that using a modest number (up to 1000) of top-ranked bigrams is the optimal topic modelling configuration. Using these 1000 bigrams also results in improved topic quality over unigram tokenization. Further increases in topic quality can be achieved by using up to 10,000 bigrams, but this is at the cost of a more complex model. We also show that multiword (bigram and longer) named entities give consistent results, indicating that they should be represented as single tokens. This is the first work to explicitly study the effect of re-gram tokenization on LDA topic models, and the first work to make empirical recommendations to topic modelling practitioners, challenging the standard practice of unigram-based tokenization. © 2013 ACM.",,Computational methods; Computer science; Speech communication; Akaike information criterion; Complex model; Document Representation; Model complexity; Named entities; Parsimonious models; Standard practices; Tokenization; Models
Sentiment profiles of multiword expressions in test-taker essays: The case of noun-noun compounds,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880242764&doi=10.1145%2f2483969.2483974&partnerID=40&md5=a4e2dfec91a7b79651167ad92908b757,"The property of idiomaticity vs. compositionality of a multiword expression traditionally pertains to the semantic interpretation of the expression. In this article, we consider this property as it applies to the expression's sentiment profile (relative degree of positivity, negativity, and neutrality). Thus, while heart attack is idiomatic in terms of semantic interpretation, the sentiment profile of the expression (strongly negative) can, in fact, be determined from the strongly negative profile of the head word. In this article, we (1) propose a way to measure compositionality of a multiword expression's sentiment profile, and perform the measurement on noun-noun compounds; (2) evaluate the utility of using sentiment profiles of noun-noun compounds in a sentence-level sentiment classification task. We find that the sentiment profiles of noun-noun compounds in test-taker essays tend to be highly compositional and that their incorporation improves the performance of a sentiment classification system. © 2013 ACM.",Compound; Discourse; Idiom; Multi-word expression; MWE; Negative; Neutral; Noun-noun compound; Positive; Sentiment; Sentiment analysis; Sentiment polarity,Computational methods; Computer science; Speech communication; Compound; Discourse; Idiom; Multi-word expressions; MWE; Negative; Neutral; Noun-noun compounds; Positive; Sentiment; Sentiment analysis; Sentiment polarity; Semantics
Combining compound recognition and PCFG-LA parsing with word lattices and conditional random fields,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880238385&doi=10.1145%2f2483969.2483970&partnerID=40&md5=76c26c12e590c0cbef997117a36bb458,"The integration of compounds in a parsing procedure has been shown to improve accuracy in an artificial context where such expressions have been perfectly preidentified. This article evaluates two empirical strategies to incorporate such multiword units in a real PCFG-LA parsing context: (1) the use of a grammar including compound recognition, thanks to specialized annotation schemes for compounds; (2) the use of a state-of-the-art discriminative compound prerecognizer integrating endogenous and exogenous features. We show how these two strategies can be combined with word lattices representing possible lexical analyses generated by the recognizer. The proposed systems display significant gains in terms of multiword recognition and often in terms of standard parsing accuracy. Moreover, we show through an Oracle analysis that this combined strategy opens promising new research directions. © 2013 ACM.",Conditional random fields; Multiword expressions; Parsing; Word lattice,Random processes; Speech recognition; Annotation scheme; Conditional random field; Lexical analysis; Multi-word expressions; Multi-word units; Parsing; Parsing procedures; Word lattice; Formal languages
Word sense and semantic relations in noun compounds,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880199189&doi=10.1145%2f2483969.2483971&partnerID=40&md5=14dd5a5ea345bedc7c75b9a7ecc98b71,"In this article, we investigate word sense distributions in noun compounds (NCs). Our primary goal is to disambiguate the word sense of component words in NCs, based on investigation of ""semantic collocation"" between them. We use sense collocation and lexical substitution to build supervised and unsupervised word sense disambiguation (WSD) classifiers, and show our unsupervised learner to be superior to a benchmark WSD system. Further, we develop a word sense-based approach to interpreting the semantic relations in NCs. © 2013 ACM.",Artificial intelligence; Noun compounds; Semantic relations; Word sense disambiguation,Artificial intelligence; Component words; Noun compounds; Semantic relations; Word sense; Word Sense Disambiguation; Semantics
Semantic interpretation of noun compounds using verbal and other paraphrases,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880214824&doi=10.1145%2f2483969.2483975&partnerID=40&md5=e6cd8b7af85f4c52b9e5a71017849fdd,"We study the problem of semantic interpretation of noun compounds such as bee honey, malaria mosquito, apple cake, and stem cell. In particular, we explore the potential of using predicates that make explicit the hidden relation that holds between the nouns that form the noun compound. For example, mosquito that carries malaria is a paraphrase of the compound malaria mosquito in which the verb explicitly states the semantic relation between the two nouns. We study the utility of using such paraphrasing verbs, with associated weights, to build a representation of the semantics of a noun compound, for example, malaria mosquito can be represented as follows: carry (23), spread (16), cause (12), transmit (9), and so on. We also explore the potential of using multiple paraphrasing verbs as features for predicting abstract semantic relations such as CAUSE, and we demonstrate that using explicit paraphrases can help improve statistical machine translation. © 2013 ACM.",Lexical semantics; Machine translation; Multiword expressions; Noun compounds; Paraphrases; Web as a corpus,Diseases; Semantics; Stem cells; Lexical semantics; Machine translations; Multi-word expressions; Noun compounds; Paraphrases; Web as a corpus; Semantic Web
A computational model of logical metonymy,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880222689&doi=10.1145%2f2483969.2483973&partnerID=40&md5=87a34cf0925d755febfe552dfbbe364b,"The use of figurative language is ubiquitous in natural language texts and it is a serious bottleneck in automatic text understanding. A system capable of interpreting figurative expressions would be an invaluable addition to the real-world natural language processing (NLP) applications that need to access semantics, such as machine translation, opinion mining, question answering and many others. In this article we focus on one type of figurative language, logical metonymy, and present a computational model of its interpretation bringing together statistical techniques and the insights from linguistic theory. Compared to previous approaches this model is both more informative and more accurate. The system produces sense-level interpretations of metonymic phrases and then automatically organizes them into conceptual classes, or roles, discussed in the majority of linguistic literature on the phenomenon. © 2013 ACM.",Logical metonymy; Semantic interpretation; Word sense disambiguation,Computational methods; Linguistics; Semantics; Computational model; Logical metonymy; Machine translations; NAtural language processing; Natural language text; Semantic interpretation; Statistical techniques; Word Sense Disambiguation; Natural language processing systems
Lexical semantic factors in the acceptability of english support-verb-nominalization constructions,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880356097&doi=10.1145%2f2483691.2483694&partnerID=40&md5=261981b337084a5cf1842d21a18fb80f,"We explore the properties of support-verb and nominalization (SVN) pairs in English, a type of multiword expression in which a semantically impoverished verb combines with a complement nominalization sharing an unexpressed role with the verb. This study follows others in seeking syntactic or lexical semantic factors correlated with the acceptability of these constructions. In particular, following recent work showing certain semantic verb class features to improve SVN classification [Tu and Roth 2011], we explore the possibility that support verbs and the verbal roots of nominalizations in acceptable SVN pairs are clustered according to the classes of Levin [1993]. We compare the compatibility correlation of these results with those of the Aktionsart-class-based proposal of Barrett and Davis [2002]. We find the evidence that Levin classes are a factor in the acceptability of SVN constructions to be equivocal, and conclude with a discussion of the reasons for this finding. © ACM 2013.",Clustering; Lexical semantics; Nominalizations; Support verbs,Computational methods; Computer science; Speech communication; Clustering; Lexical semantics; Multi-word expressions; Nominalization; Nominalizations; Semantics
How many multiword expressions do people know?,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880377713&doi=10.1145%2f2483691.2483693&partnerID=40&md5=fc5a378fa3e014634ef75bf60ca7b869,"What is a multiword expression (MWE) and how many are there? Mark Liberman gave a great invited talk at ACL-89, titled ""How Many Words Do People Know?"" where he spent the entire hour questioning the question. Many of the same questions apply to multiword expressions. What is a word? An expression? What is many? What is a person? What does it mean to know? Rather than answer these questions, this article will use them as Liberman did, as an excuse for surveying how such issues are addressed in a variety of fields: computer science, Web search, linguistics, lexicography, educational testing, psychology, statistics, and so on. © ACM 2013.",Intelligence; Knowledge; Multiword expression; Phrase; Web search; Word,Information retrieval; Websites; Intelligence; Knowledge; Multi-word expressions; Phrase; Web searches; Word; Linguistics
Learning to detect english and Hungarian light verb constructions,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880339544&doi=10.1145%2f2483691.2483695&partnerID=40&md5=718f31c92d69f3aa556a39c752bf8a38,"Light verb constructions consist of a verbal and a nominal component, where the noun preserves its original meaning while the verb has lost it (to some degree). They are syntactically flexible and their meaning can only be partially computed on the basis of the meaning of their parts, thus they require special treatment in natural language processing. For this purpose, the first step is to identify light verb constructions. In this study, we present our conditional random fields-based tool-called FXTagger-for identifying light verb constructions. The flexibility of the tool is demonstrated on two, typologically different, languages, namely, English and Hungarian. As earlier studies labeled different linguistic phenomena as light verb constructions, we first present a linguistics-based classification of light verb constructions and then show that FXTagger is able to identify different classes of light verb constructions in both languages. Different types of texts may contain different types of light verb constructions; moreover, the frequency of light verb constructions may differ from domain to domain. Hence we focus on the portability of models trained on different corpora, and we also investigate the effect of simple domain adaptation techniques to reduce the gap between the domains. Our results show that in spite of domain specificities, out-domain data can also contribute to the successful LVC detection in all domains. © ACM 2013.",Conditional random fields; Corpora; Domain adaptation; English; Hungarian; Light verb constructions; Multiword expressions,Classification (of information); Natural language processing systems; Random processes; Tools; Conditional random field; Corpora; Domain adaptation; English; Hungarians; Multi-word expressions; Linguistics
Modeling the internal variability of multiword expressions through a pattern-based method,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880357379&doi=10.1145%2f2483691.2483696&partnerID=40&md5=99b89841b5a71c10c432faaa24da8e1e,"The issue of internal variability of multiword expressions (MWEs) is crucial towards their identification and extraction in running text.We present a corpus-supported and computational study on Italian MWEs, aimed at defining an automatic method for modeling internal variation, exploiting frequency and part-of-speech (POS) information. We do so by deriving an XML-encoded lexicon of MWEs based on a manually compiled dictionary, which is then projected onto a a large corpus. Since a search for fixed forms suffers from low recall, while an unconstrained flexible search for lemmas yields a loss in precision, we suggest a procedure aimed at maximizing precision in the identification of MWEs within a flexible search. Our method builds on the idea that internal variability can be modelled via the novel introduction of variation patterns, which work over POS patterns, and can be used as working tools for controlling precision. We also compare the performance of variation patterns to that of association measures, and explore the possibility of using variation patterns in MWE extraction in addition to identification. Finally, we suggest that corpus-derived, pattern-related information can be included in the original MWE lexicon by means of an enriched coding and the creation of an XML-based repository of patterns. © ACM 2013.",Italian; Lexical resources; Morphology; Multiword expressions; Natural Language Processing,Extraction; Morphology; Natural language processing systems; XML; Association measures; Computational studies; Internal variability; Italian; Lexical resources; Multi-word expressions; NAtural language processing; Variation pattern; Linguistics
Introduction to the special issue on multiword expressions: From theory to practice and use,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880358959&doi=10.1145%2f2483691.2483692&partnerID=40&md5=d65c7c2b3925b024700a1641f210a6a2,"We are in 2013, and multiword expressions have been around for a while in the computational linguistics research community. Since the first ACL workshop on MWEs 12 years ago in Sapporo, Japan, much has been discussed, proposed, experimented, evaluated and argued about MWEs. And yet, they deserve the publication of a whole special issue of the ACM Transactions on Speech and Language Processing. But what is it about multiword expressions that keeps them in fashion? Who are the people and the institutions who perform and publish groundbreaking fundamental and applied research in this field? What is the place and the relevance of our lively research community in the bigger picture of computational linguistics? Where do we come from as a community, and most importantly, where are we heading? In this introductory article, we share our point of view about the answers to these questions and introduce the articles that compose the current special issue. © ACM 2013.",,Computational linguistics; Applied research; Language processing; Multi-word expressions; Point of views; Research communities; Research
Managing information disparity in multilingual document collections,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875723043&doi=10.1145%2f2442076.2442077&partnerID=40&md5=d39255f7a338ee0f63e6e7ac758bd818,"Information disparity is a major challenge with multilingual document collections. When documents are dynamically updated in a distributed fashion, information content among different language editions may gradually diverge. We propose a framework for assisting human editors to manage this information disparity, using tools from machine translation and machine learning. Given source and target documents in two different languages, our system automatically identifies information nuggets that are new with respect to the target and suggests positions to place their translations. We perform both real-world experiments and large-scale simulations on Wikipedia documents and conclude our system is effective in a variety of scenarios. © 2013 ACM.",Algorithms; Experimentation; Languages,Algorithms; Experiments; Query languages; Experimentation; Information contents; Large scale simulations; Machine translations; Multilingual documents; Real world experiment; Wikipedia; Translation (languages)
Combining co-clustering with noise detection for theme-based summarization,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891838026&doi=10.1145%2f2513563&partnerID=40&md5=79d296cec3cd1b9c528e8843daf5c304,"To overcome the fact that the length of sentences is short and their content is limited, we regard words as independent text objects rather than features of sentences in sentence clustering and develop two coclustering frameworks, namely integrated clustering and interactive clustering, to cluster sentences and words simultaneously. Since real-world datasets always contain noise, we incorporate noise detection and removal to enhance clustering of sentences and words. Meanwhile, a semisupervised approach is explored to incorporate the query information (and the sentence information in early document sets) in themebased summarization. Thorough experimental studies are conducted. When evaluated on the DUC2005-2007 datasets and TAC 2008-2009 datasets, the performance of the two noise-detecting co-clustering approaches is comparable with that of the top three systems. The results also demonstrate that the interactive with noise detection algorithm is more effective than the noise-detecting integrated algorithm. © 2013 ACM 1550-4875/2013/12-ART17 15.00.",Document analysis; Noise detection; Sentence and word co-clustering; Theme-based summarization,Computer science; Speech communication; Co-clustering; Document analysis; Integrated algorithm; Noise detection; Query information; Real-world datasets; Sentence clustering; Theme-based summarization; Computational methods
Towards content-level coherence with aspect-guided summarization,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875724665&doi=10.1145%2f2442076.2442078&partnerID=40&md5=ca34362093738de3fc7edcced2e9421d,"The TAC 2010 summarization track initiated a new task - aspect-guided summarization - that centers on textual aspects embodied as particular kinds of information of a text. We observe that aspect-guided summaries not only address highly specific user need, but also facilitate content-level coherence by using aspect information. In this article, we present a full-fledged approach to aspect-guided summarization with a focus on summary coherence. Our summarization approach depends on two prerequisite subtasks: recognizing aspect-bearing sentences in order to do sentence extraction, and modeling aspect-based coherence with an HMM model in order to predict a coherent sentence ordering. Using the manually annotated TAC 2010 and 2010 datasets, we validated the effectiveness of our proposed methods for those subtasks. Drawing on the empirical results, we proceed to develop an aspect-guided summarizer based on a simple but robust base summarizer. With sentence selection guided by aspect information, our system is one of the best on TAC 2011. With sentence ordering predicted by the aspect-based HMM model, the summaries achieve good coherence. © 2013 ACM.",Algorithms; Experimentation,Algorithms; Computer science; Speech communication; Content level; Experimentation; HMM models; Modeling aspects; Sentence extraction; Sentence ordering; Sentence selection; User need; Computational methods
An information-theoretic measure to evaluate parsing difficulty across treebanks,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873667463&doi=10.1145%2f2407736.2407737&partnerID=40&md5=75985a8d83866a734004baa65f233749,"With the growing interest in statistical parsing, special attention has recently been devoted to the problem of comparing different treebanks to assess which languages or domains are more difficult to parse relative to a given model. A common methodology for comparing parsing difficulty across treebanks is based on the use of the standard labeled precision and recall measures. As an alternative, in this article we propose an information-theoretic measure, called the expected conditional cross-entropy (ECC). One important advantage with respect to standard performance measures is that ECC can be directly expressed as a function of the parameters of the model. We evaluate ECC across several treebanks for English, French, German, and Italian, and show that ECC is an effective measure of parsing difficulty, with an increase in ECC always accompanied by a degradation in parsing accuracy. © 2013 ACM.",Natural language parsing; Probabilistic context-free grammars,Information theory; Cross entropy; Effective measures; Natural language parsing; Precision and recall; Probabilistic context free grammars; Standard performance; Statistical parsing; Treebanks; Forestry
Contextual and active learning-based affect-sensing from virtual drama improvisation,2013,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873621241&doi=10.1145%2f2407736.2407738&partnerID=40&md5=b00deb8d633d0572fba1fb096df6d4ea,"Affect interpretation from open-ended drama improvisation is a challenging task. This article describes experiments in using latent semantic analysis to identify discussion themes and potential target audiences for those improvisational inputs without strong affect indicators. A context-based affect-detection is also implemented using a supervised neural network with the consideration of emotional contexts of most intended audiences, sentence types, and interpersonal relationships. In order to go beyond the constraints of predefined scenarios and improve the system's robustness, min-margin-based active learning is implemented. This active learning algorithm also shows great potential in dealing with imbalanced affect classifications. Evaluation results indicated that the context-based affect detection achieved an averaged precision of 0.826 and an averaged recall of 0.813 for affect detection of the test inputs from the Crohn's disease scenario using three emotion labels: positive, negative, and neutral, and an averaged precision of 0.868 and an average recall of 0.876 for the test inputs from the school bullying scenario. Moreover, experimental evaluation on a benchmark data set for active learning demonstrated that active learning was able to greatly reduce human annotation efforts for the training of affect detection, and also showed promising robustness in dealing with open-ended example inputs beyond the improvisation of the chosen scenarios. © 2013 ACM.",Active learning and drama improvisation; Affect detection; Semantic interpretation,Learning algorithms; Active Learning; Active-learning algorithm; Affect detection; Benchmark data; Context-based; Crohn's disease; Evaluation results; Experimental evaluation; Human annotations; Interpersonal relationship; Latent Semantic Analysis; Potential targets; Semantic interpretation; Supervised neural networks; Test inputs; Semantics
Syllable specific unit selection cost functions for text-to-speech synthesis,2012,ACM Transactions on Speech and Language Processing,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870711187&doi=10.1145%2f2382434.2382435&partnerID=40&md5=a2741db07682827d0cc4ee7fca3ce320,"This paper presents the design and development of syllable specific unit selection cost functions for improving the quality of text-to-speech synthesis. Appropriate unit selection cost functions, namely concatenation cost and target cost, are proposed for syllable based synthesis. Concatenation costs are defined based on the type of segments present at the syllable joins. Proposed concatenation costs have shown significant reduction in perceptual discontinuity at syllable joins. Three-stage target cost formulation is proposed for selecting appropriate units from database. Subjective evaluation has shown improvement in the quality of speech at each stage. © 2012 ACM.",Concatenation cost; Improvement; Perceptual distortion; Quality of speech; Target cost; Text-to-speech synthesis; Unit selection,Cost functions; Speech synthesis; Improvement; Perceptual distortion; Quality of speech; Target cost; Unit selection; Costs
