"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160964484&doi=10.1021%2facsenergylett.3c00791&partnerID=40&md5=9f3dcddff15c52e5281263ae1cb03c92","","Bromine compounds; Low temperature effects; Perovskite; Positive ions; Temperature; Tin compounds; Broadband emitters; Color coordinates; Layered perovskite; Low temperature synthesis; Organic cations; Organic/inorganic; Pb-free; Perovskite related structure; Synthetic protocols; Tunable color; Optical properties"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163517589&doi=10.1021%2facsenergylett.3c00513&partnerID=40&md5=412474ef6e320d0be636e132bafb258b","","Cathodes; Charging (batteries); Nickel oxide; Secondary batteries; Dynamic structure; Electrode reactions; Fast charging; High rate; Kinetic phase; Layered oxide cathodes; Layered oxides; Non equilibrium; Rate capabilities; Ultra-fast; Kinetics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164517158&doi=10.1021%2facsenergylett.3c00985&partnerID=40&md5=2c7186831337d9eed85fb88502ea59cb","","Ions; Lithium-ion batteries; Potassium compounds; Zinc; Zinc compounds; 'current; Graphite anode; Hydrogen-evolution; Insertion potential; Ion batteries; Low strains; Metallics; Practical process; Zinc ions; Zn 2+; Anodes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166939559&doi=10.1021%2facsenergylett.3c00891&partnerID=40&md5=5f4fd71a1a82d5d7a8bb9c817c2d87c9","","Additives; Carbon footprint; Conversion efficiency; Organic solar cells; 2-methyltetrahydrofuran; Active Layer; Biorenewable; Commercialisation; Cyclopentyl methyl ethers; Mass manufacturing; Organic photovoltaic devices; Performance; Power conversion efficiencies; Toxic solvents; Solvents"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164943356&doi=10.1021%2facsenergylett.3c00853&partnerID=40&md5=f3a3336f24a3bb04bf8c3fa5d56e352d","","Binary alloys; Cell engineering; Crystal orientation; Efficiency; Lead alloys; Ligands; Perovskite solar cells; Tin alloys; Device performance; Device stability; Higher efficiency; Lattice strain; Mixed systems; Photovoltaic devices; Quasi-2d; Ruddlesden-Popper; SN ratio; Two-dimensional; Perovskite"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163540081&doi=10.1021%2facsenergylett.3c00823&partnerID=40&md5=e45c0dd1a21bd7c3ce03f1df2bee8bd4","","Catalysts; Electrolytes; Electrolytic reduction; Fuel cells; Manganese; Mass spectrometry; Silver; Surface structure; X ray absorption; X ray absorption near edge structure spectroscopy; X ray photoelectron spectroscopy; Dynamic materials; Electricity-generation; Hydrogen fuel cells; Material change; Mn valences; Operando; Oxygen reduction catalysts; Oxygen reduction reaction; X-ray absorption near edge spectroscopy; ]+ catalyst; Catalysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160936977&doi=10.1021%2facsenergylett.3c00469&partnerID=40&md5=c726c3de5ff4223404edcbc58acaca5d","","Cell engineering; Dangling bonds; Open circuit voltage; Passivation; Perovskite; Perovskite solar cells; Pulsed lasers; Ultraviolet lasers; Common strategy; Interface engineering; Laser polishing; Laser scanning; Laser's energy; Open-circuit voltages; Perovskite thin films; Pulsed ultraviolet; Surface-modification; Thin film surfaces; Surface defects"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163486466&doi=10.1021%2facsenergylett.3c00920&partnerID=40&md5=f55d55ffc839b2db548b2c623441018e","","Ionization; Lead compounds; Nanocrystals; Scintillation counters; X ray detectors; Daily lives; Halide perovskites; Imaging properties; Inorganics; Operations Modeling; Performance; Scientific investigation; Visible light; X-ray detector; X-rays photons; Perovskite"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162852942&doi=10.1021%2facsenergylett.3c00369&partnerID=40&md5=654304f949fba42ba42602dd24dacfa7","","Carbon; Electrochemistry; Electrolytes; Ions; Kinetics; Microelectrodes; Porous materials; Supercapacitor; Charging dynamics; Charging kinetics; Double layers; Electrochemical double-layer capacitors; Electrolyte depletion; Ion charging; Ion dynamics; Nanoporous carbons; Porous carbon electrodes; Theoretical methods; Pore size"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163340639&doi=10.1021%2facsenergylett.3c00678&partnerID=40&md5=8d25afaffffbf77065094114c392108d","","Electric batteries; Electron devices; Thermoelectric equipment; Aqueous batteries; Communication functions; Concept stage; Electronics devices; Energy hubs; High safety; Human bodies; Interactive communications; Interactive functions; Proof of concept; Biocompatibility"
