"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113666435&doi=10.1016%2fj.aiopen.2021.06.001&partnerID=40&md5=a9d71e4254e1a13fb9cb49db43653d7c","Chinese corpus; Pre-trained language models; Transformer-XL","HTTP; Chinese characters; Chinese corpus; Down-stream; Language model; Large volumes; Large-scales; Pre-trained language model; Pre-training; Training data; Transformer-XL; Computational linguistics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142168172&doi=10.1016%2fj.aiopen.2022.11.001&partnerID=40&md5=97987961093fa7e58f3dc1a2c9e8a7e5","Hierarchical relation; Prototype learning; Semi-supervised domain adaptation","Classification (of information); Learning systems; Adaptation methods; Class labels; Classification results; Domain adaptation; Hierarchical relations; Learn+; Prototype learning; Semi-supervised; Semi-supervised domain adaptation; Target domain; Domain Knowledge"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117977317&doi=10.1016%2fj.aiopen.2021.02.004&partnerID=40&md5=032ed1264b4d5b06f4c6a4c4c017194d","Event extraction; Event relation extraction; Knowledge graph","Extraction; Semantics; Event relation extraction; Events extractions; Knowledge graphs; Knowledge types; Learn+; Recent researches; Relation extraction; Research problems; Semantic representation; Task description; Knowledge graph"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141946468&doi=10.1016%2fj.aiopen.2022.09.001&partnerID=40&md5=ffbcb578dd4d67349783bffd6262cd3b","Deep learning; Fake news detection","Fake detection; Deep learning; Detection methods; Detection tasks; Fake news detection; Information age; Learning-based methods; Machine-learning; Public trust; Social stability; Various Channels; Deep learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113686003&doi=10.1016%2fj.aiopen.2021.03.001&partnerID=40&md5=976b386cf7018663bb10aae213d682d4","Knowledge graph embedding; Knowledge graph reasoning; Neural-symbolic reasoning; Symbolic reasoning","Deep learning; Graphic methods; Knowledge management; Ambiguous Data; Graph embeddings; Knowledge graph embedding; Knowledge graph reasoning; Knowledge graphs; Neural-symbolic reasoning; Noisy data; Symbolic reasoning; Knowledge graph"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132283890&doi=10.1016%2fj.aiopen.2021.08.001&partnerID=40&md5=f191cf305a45339b27c7664271ede4d3","Few-shot graph classification; Graph neural network; Graph structure","Graph algorithms; Graph structures; Few-shot graph classification; Graph classification; Graph neural networks; Graph structures; Metalearning; Molecular properties; Prediction function; Property predictions; Protein function prediction; Real-world; Graph neural networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118349850&doi=10.1016%2fj.aiopen.2021.02.002&partnerID=40&md5=7a33a46a87fdae0a80bde7eb689d96d1","Entity alignment; Graph neural network; Knowledge graph; Representation learning","Graph neural networks; 'current; Data-source; Entity alignment; Equivalence relations; Graph neural networks; Heterogeneous Knowledge; Human knowledge; Knowledge graphs; Multi-Sources; Representation learning; Knowledge graph"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135837547&doi=10.1016%2fj.aiopen.2021.09.001&partnerID=40&md5=dedd82b4fba884b77fcb1390272d8968","Heterogeneous graph; Heterogeneous graph neural networks; Representation learning; Stock market prediction","Commerce; Electronic trading; Forecasting; Graph neural networks; Semantics; Graph neural networks; Heterogeneous graph; Heterogeneous graph neural network; Performance; Prediction-based; Predictive information; Representation learning; Semantic units; Stock market prediction; Financial markets"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149842349&doi=10.1016%2fj.aiopen.2022.11.002&partnerID=40&md5=39eaca48f2c5ea4153abe2e157511179","Attention mechanism; Bilinear model; Convolutional Neural Networks; Deep learning; Judicial Examination; Text classification","Classification (of information); Convolution; Deep neural networks; Learning algorithms; Learning systems; Semantics; Text processing; Attention mechanisms; Bilinear models; Case analysis; Convolutional neural network; Deep learning; Judicial examination; Legal questions; Machine learning algorithms; Question Answering; Text classification; Convolutional neural networks"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142789305&doi=10.1016%2fj.aiopen.2022.11.003&partnerID=40&md5=466e1c134942d55139914314a67658d8","Pre-trained language models; Prompt tuning","Computational linguistics; Economic and social effects; Natural language processing systems; Text processing; Classification tasks; Language inference; Language model; Natural languages; Pre-trained language model; Prior-knowledge; Prompt tuning; Sentiment classification; Text classification; Tuning method; Classification (of information)"
