Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Commons paradigm: Embedding common good and collective action,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103679277&doi=10.5465%2fAMBPP.2019.46&partnerID=40&md5=d1ef81794d048bbdc3c9ca0d566de9df,[No abstract available],,
Shareholder reaction to corporate water actions and the reputational effects of CSR,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103679846&doi=10.5465%2fAMBPP.2019.251&partnerID=40&md5=e5a3b36064188ed0dad62cd6aef23238,"This research presents an event study to investigate market reactions to corporate water actions and show that shareholders react positively to responsible water actions, and negatively to irresponsible actions. We also prove that these market reactions are influenced by previous good/bad general CSR performance that creates reputational capital/liability. © AOM 2019.All right reserved.",,Commerce; Event studies; Market reactions; Shareholders
Emotional responses to bureaucratic red tape,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103681652&doi=10.5465%2fAMBPP.2019.134&partnerID=40&md5=03dc2162a7bd5362a030026247061454,"This study investigates how varying conditions of administrative delay, administrative burden, and rule dysfunctionality spark discrete emotional reactions. Physiological measurements from 136 participants in a laboratory study show that bureaucratic red tape evokes significant negative emotional responses, especially confusion, frustration, and anger, regardless of the favorability of procedural outcomes. © 2019 AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management. All rights reserved.",,Administrative burdens; Emotional reactions; Emotional response; Laboratory studies; Physiological measurement; Red tape; Physiological models
Get rich or die trying… Unpacking revenue model choice using machine learning and multiple cases,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103681037&doi=10.5465%2fAMBPP.2019.216&partnerID=40&md5=48b95e7a40dd3d2c33acccaa3971eccb,[No abstract available],,
The impact of leadership diversity among nonprofit organizations,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103679405&doi=10.5465%2fAMBPP.2019.94&partnerID=40&md5=656454a76156f62b1355cfce336902fd,[No abstract available],,
The importance of temporal dimension in workforce management: Turnover-hiring synchronization,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103679930&doi=10.5465%2fAMBPP.2019.265&partnerID=40&md5=be7e37a87935710b2a007dbc99a5dedc,[No abstract available],,
Sustainable human healthcare: The centrality of intrapreneurial nurses,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103617860&doi=10.5465%2fAMBPP.2019.118&partnerID=40&md5=ca5dd3784da61e75908a4bc7a13dfedb,"Our study tests the premise that the development and implementation of intrapreneurship programs for nurses, is a decisive factor in attaining sustainable healthcare. We employ a matched pair sample of hospitals from diverse American cities to investigate the relationship between intrapreneurial nurses, patient outcomes and healthcare costs. © 2019 AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management. All rights reserved.",Change agents; Entrepreneurial orientation; Intrapreneurship; Sustainable healthcare,Health care costs; Intrapreneurships; Nursing
Can't see the forest for the trees: Attributional ambiguity and attitudes toward change,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103669622&doi=10.5465%2fAMBPP.2019.141&partnerID=40&md5=da8f2056ff3cc7317de1811ac9af6cb4,[No abstract available],,
Promoting social ventures in institutional voids: The emergence of a transnational entrepreneurial ecosystem for East Africa,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103518029&doi=10.5465%2fAMBPP.2019.178&partnerID=40&md5=5d3ff4382c1690c1ccf72edef8134a95,[No abstract available],,
IP protection and post-entry ownership structure: The role of local partners' institutional logics,2019,AOM 2019: Understanding the Inclusive Organization - 79th Annual Meeting of the Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103659415&doi=10.5465%2fAMBPP.2019.49&partnerID=40&md5=383adfbf4af55ec459873b4c7b2b439f,"We theorize that IP protection positively affects post-entry foreign ownership in IJVs by breaking the cost-benefit balance of local partnership. Local partners' institutional logics moderate this effect. Analyzing Japanese investments in China (1999-2007), we find a positive effect, which strengthens when local partners are more politically-driven than economically-driven. © AOM 2019.All right reserved.",,Cost benefits; Institutional logic; IP protection; Ownership structure; Cost benefit analysis
