"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"NAVIGATING THE PARADOX OF PROMISE THROUGH THE CONSTRUCTION OF MEANINGFUL CAREER NARRATIVES","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181230355&doi=10.5465%2famj.2021.0292&partnerID=40&md5=875dd6132235b64872bc3996ca70436a","Working with a prominent mentor can offer many benefits to one’s career: mentors provide skills, resources, and values that leave a lasting imprint. Yet, these promising starting points also present a puzzle as people make sense of their careers further on: they must acknowledge their association with their prominent mentor, without being overshadowed by them. We refer to this tension as the paradox of promise. Through a qualitative study of former employees at the Eames Office, we examine how individuals navigate the paradox of promise as they construct retrospective career narratives. We find that individuals narrate their formative experience as imprints, but with two distinct emphases—values-dominant imprints versus skills-dominant imprints. Individuals then narrate their later career experiences by reprinting, reinforcing the existing meaning or finding new meaning in relation to their imprint; we induced three reprinting practices: (a) embracing values, (b) contrasting values, and (c) supplanting values. Using imprints and reprinting, former Eames employees crafted overarching sources of career meaningfulness: belongingness narratives, emphasizing collaboration and contribution with others; self-expression narratives, emphasizing authenticity and freedom; and achievement narratives, emphasizing expertise and accomplishment. Our study contributes to interpretive perspectives of career success and mentor relationships, and how meaningfulness is constructed over the career. Copyright of the Academy of Management, all rights reserved. Contents may not be copied, emailed, posted to a listserv, or otherwise transmitted without the copyright holder's express written permission. Users may print, download, or email articles for individual use only.","",""
"ON THE PLURALITY AND POLITICS OF ALLY WORK: LIBERALISM AND SELF, RELATIONAL, AND ORGANIZATIONAL ALLY WORK","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159357973&doi=10.5465%2famj.2021.0999&partnerID=40&md5=feaa6bfa51b0c43b8c51a7d273b41923","We theorize that ally work (actions by employees belonging to advantaged social groups to support employees belonging to disadvantaged social groups) can be organized into three modalities: self ally work that is oriented toward developing skills and capabilities, relational ally work that is focused on building positive work relationships, and organizational ally work aimed at changing organizational practices to support disadvantaged coworkers. Drawing from the theory of political ideology as motivated cognition, across multiple pre-registered field studies we found that employees who were more liberal-leaning (vs. conservative-leaning) reported higher engagement in all three modalities. We also examined whether contextual affordances amplified the liberalism effect. Specifically, we tested whether personal accountability for diversity, colleague diversity, and organizational ideology directed liberals toward greater engagement in self, relational, and organizational work, respectively. As hypothesized, more liberal-leaning employees reported higher engagement in organizational ally work in more ideologically liberal organizations. However, the hypothesized effects of personal accountability were not supported. Notably, personal accountability had a positive effect on self ally work among more conservative-leaning employees. The moderating effects of colleague diversity were also mixed across studies. Highlighting both the plurality and politics of ally work, we discuss theoretical and practical implications of our findings. © 2023 Academy of Management. All rights reserved.","",""
"ON THE STATUS SHOCKS OF TOURNAMENT RITUALS: HOW RITUAL ENACTMENT AFFECTS PRODUCTIVITY, INPUT PROVISION, AND PERFORMANCE","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138329451&doi=10.5465%2famj.2020.0585&partnerID=40&md5=38515200a91b4cb2a67745cda9a60bc1","We propose a novel process through which status shocks may enhance performance. Specifically, we theorize that, when status shocks include a ritualistic conferment of social prestige—such as in the case of “tournament rituals”—participating in that ritual enactment may increase tournament winners’ productivity and improve the inputs they receive, thereby improving their overall performance. We also consider the duration of that performance improvement, finding a decay that is consistent with our theorized mechanisms that are based on emotional energy. Our study shows that status shocks may carry not only informational value, as signals of quality, but also symbolic and social value that change the behavior of individuals who receive these shocks and of the input providers with whom they interact. We employ difference-in-differences and regression discontinuity designs on game-level data from the National Basketball Association to provide causal evidence for our hypotheses. © 2023 Academy of Management. All rights reserved.","",""
"LOSING CONTROL: THE UNCERTAIN MANAGEMENT OF CONCEALABLE STIGMAS WHEN WORK AND SOCIAL MEDIA COLLIDE","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132356039&doi=10.5465%2famj.2020.0586&partnerID=40&md5=6aac401f39d8c4aa204d9d305632bbc3","Scholars have typically portrayed employees’ management of concealable stigmas in face-to-face encounters in which social groups are easily separable (e.g., friends, family, and coworkers). This analytical predisposition overlooks the possible roles of social network sites (SNSs) such as Facebook and Instagram. These online platforms enable a cohabitation of different audiences—that is, a context collapse that allows a growing, invisible audience to easily access information about one’s stigma. In our qualitative analysis in a Latin American organization, we develop a model that documents the everyday dynamics of context collapse among gay male employees. In a disclosure dilemma, employees are uncertain about how to be a professional online and simultaneously keep SNSs as platforms where they can show more relaxed versions of themselves. As a response, most employees adopt mirroring, and attempt to reflect their face-to-face disclosure levels on SNSs. Some employees engage in destigmatization efforts online, and as an outlier case we mapped an employee in collapse denial. Our study questions the established idea of disclosure as a relatively controlled process in microinteractions. We also nuance the assumption of SNSs as safe spaces and show the unintended impacts of context collapse on the stigmatized. Copyright of the Academy of Management, all rights reserved.","",""
"MEDIA COVERAGE OF FIRMS IN THE PRESENCE OF MULTIPLE SIGNALS: A CONFIGURATIONAL APPROACH","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192726666&doi=10.5465%2famj.2020.1791&partnerID=40&md5=d50e691fc4a3f952536f0341503bfe23","Recent management research suggests that firms try to orchestrate conformity and distinctiveness in their behavior to reconcile opposing demands of norm compliance and competitive distinction in order to appear optimally distinct. Whether they succeed or not depends on how audiences perceive the multiple signals they elicit. Extant literature has not fully uncovered how the media combine these different signals to form a representation of firms’ behavior and their subsequent reactions to these combinations. We adopt a configurational approach to address this gap in the environmental sustainability context. Drawing on unique proprietary data on 118 cases in the energy utility industry and using fsQCA, we determine that different equifinal signal configurations are associated with positive media coverage regarding environmental behavior or the lack thereof. We then generate five patterns of signals that explain media reactions and disentangle the underlying logics behind them. Our study adds to the research on the multifaceted nature of signal (in)congruence perception by discussing the role of conformity and distinctiveness and highlighting that this perception depends on the signals’ credibility. Delivering a balanced orchestration of conformity and distinctiveness signals is possible, but complex, because audiences tend to penalize incongruent postures they cannot associate with a given category. © 2024 Academy of Management. All rights reserved.","",""
"MOTHER'S REENTRY: A RELATIVE CONTRIBUTION PERSPECTIVE OF DUAL-EARNER PARENTS' ROLES, RESOURCES, AND OUTCOMES","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146856830&doi=10.5465%2famj.2019.1344&partnerID=40&md5=6d35e5aab6b3547ae36a2d6d2ac2ee73","The reentry period after maternity leave can be a stressful but important transition for mothers, their significant others, and their organizations. In the present study, we integrate conservation of resources theory, the crossover model, and the relative contribution model to understand the influence of perceived organizational support during reentry on both mothers' and their significant others' home stress and, ultimately, workplace experiences. Beyond actor effects, we investigate the relationship between each parent's perceived organizational support on their partner's home stress via three crossover mechanisms: (a) direct, (b) indirect, (c) shared stressor. Notably, we offer a theoretically novel lens through which to view the shared-stressor mechanism. Drawing upon the relative contribution model, we conceptualize dual-earner parents as a team and argue that because mothers are the critical members during this period, their resources will directly influence both parents' home stress. Findings yielded by this multistage, multisource field study demonstrate the importance of supporting mothers as critical members of the family during reentry, as organizational support that is perceived as inadequate directly affects home stress and indirectly influences workplace experiences that can impede successful transitions and threaten career outcomes for both parents. © 2023 Academy of Management. All rights reserved.","",""
"FROM THE EDITORS OPENING UP AMJ’S RESEARCH METHODS REPERTOIRE","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166408586&doi=10.5465%2famj.2023.4003&partnerID=40&md5=d40c596060c02d7a0dc36462d864d370","[No abstract available]","",""
"WHEN THE SYMPHONY DOES JAZZ: HOW RESOURCEFULNESS FOSTERS ORGANIZATIONAL RESILIENCE DURING ADVERSITY","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188357130&doi=10.5465%2famj.2022.0988&partnerID=40&md5=8fad40b7e3b851e3b95cbef13462594b","Using a grounded theory study of two prominent performing arts organizations during the COVID-19 pandemic, we develop theory about how organizations respond to adversity over time. Building on research on resilience, resourcefulness, and crisis management, we induce a process model that unpacks the mechanisms and dynamics that enable organizations to act resiliently. We find that organizations approach adversity using two types of resourcefulness. Promotive resourcefulness focuses on opportunities from adversity, which leads to acting resiliently. We show how promotive resourcefulness becomes sustained over time by endogenously producing resources-crisis agency, trust, and hopefulness-which expands an organization's identity and leads to resilient acts. In contrast, preventative resourcefulness focuses on minimizing worst-case outcomes, which leads to a lost organizational identity and relatively weak adversity adjustment. We find that preventative resourcefulness becomes part of cycles that erode trust, limit crisis agency, and generate hopelessness. Additionally, we explain how financial, emotional, and operational updating can shift preventative to promotive resourcefulness, allowing organizations to act resiliently later in a crisis. Our findings unpack critical mechanisms and processes that explain whether and how organizations act resiliently over time. © 2024 Academy of Management. All rights reserved.","",""
"APPRAISING AND REACTING TO PERCEIVED PAY FOR PERFORMANCE: LEADER COMPETENCE AND WARMTH AS CRITICAL CONTINGENCIES","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147335752&doi=10.5465%2famj.2021.0209&partnerID=40&md5=d23416f5eb4d44ab997696c44d82dea5","While pay for performance (PFP) is widely adopted in organizations to boost employee performance, the empirical evidence on its incentive effect has been mixed. Based on Park and Sturman’s PFP perception framework, we integrated two motivation theories—transactional theory of stress and role engagement theory—to delineate two countervailing mechanisms that explain how individuals appraise and react to perceived PFP. Our research considers employees’ perception of PFP-I (perceived PFP based on individual performance) and highlights leader competence and warmth as critical contingencies. We propose that perceived PFP-I is appraised by employees as a challenge when leader competence is higher, which leads to employees’ work engagement and enhanced task performance, but is appraised as a threat when leader warmth is lower, which leads to employees’ work withdrawal and decreased task performance. In two three-wave survey studies, we found support for our model. The present research advances our knowledge regarding the incentive effect of PFP-I by emphasizing the importance of perceived PFP-I and proposing a new way of seeing employee motivation and performance ensuing from perceived PFP-I through the lenses of stress and role (dis)engagement. Our findings provide insights into how organizations and leaders can effectively utilize PFP to motivate employees. © 2023 Academy of Management. All rights reserved.","",""
"BETWIXT AND BETWEEN: NATIONAL AND ORGANIZATIONAL IDENTIFICATION OF HOST COUNTRY MANAGERS WORKING IN MNE SUBSIDIARIES","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166403158&doi=10.5465%2famj.2020.1810&partnerID=40&md5=0fa610aa2a6d50cbb276fc10eebd2d4d","This study investigates the patterns of dual identities of host country managers working in multinational enterprise (MNE) subsidiaries and how these patterns relate to their feelings of identity-related stress within the foreign-owned firms. Drawing on the acculturation literature, we classify the patterns of dual identities based on membership in nation and organization into four identity profiles: (a) diffuse (weak national and organizational identification), (b) national (strong national and weak organizational identification), (c) organizational (weak national and strong organizational identification), and (d) integrated (strong national and organizational identification). We submit that perceived conflict between the dual identities renders MNEs’ host country managers less likely to present the integrated and the organizational identity profiles and more likely to present the national identity profile than domestic firm managers. MNEs’ host country managers also identify more strongly with their nation and less strongly with their organization than domestic firm managers do. The combination of strong national identification and weak organizational identification among MNEs’ host country managers exposes them to greater acculturative stress within foreign organizations. The results of an analysis of a sample of 843 Korean managers working in 19 Korean firms and 60 MNE subsidiaries in Korea corroborate our hypotheses. Copyright of the Academy of Management, all rights reserved.","",""
