"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Optimal and dysfunctional turnover: toward an organizational level model.","1984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021416336&doi=10.5465%2fAMR.1984.4277675&partnerID=40&md5=04fe47dcde490951f73d71095cc85ff7","Dysfunctional turnover is defined here as the level that produces a divergence between the organization's optimal balance of costs associated with turnover and the costs associated with retaining employees. Under this approach, the optimal level of aggregate turnover for most organizations will be (1) greater than zero and (2) variable across organizations, contingent on particular factors influencing retention costs and quit propensities. The model presented posits that individual, organizational, and environmental attributes influence individual quit propensities of employees and, hence, expected turnover rates for the organization.","","Models, Theoretical; Personnel Management; Personnel Turnover; article; economics; personnel management; theoretical model"
"The evolving board: a look at the board's changing roles and information needs.","1978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018026475&doi=10.5465%2fAMR.1978.4289291&partnerID=40&md5=aaf48e8b47d9646cf7656121bb0ba6d5","In looking at the practices of firms in developing active boards with highly informed directors, information needs of directors were found to increase dramatically with increased board activity. This article discusses the changing role of the board and the corresponding change in director information needs.","","Decision Making; Governing Board; Humans; Information Services; article; board of trustees; decision making; human; information service; organization and management"
"Turnover turned over: an expanded and positive perspective.","1979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018462033&doi=10.5465%2fAMR.1979.4289021&partnerID=40&md5=9d319991918b0fd69bb7a38b5a8366e9","The negative impact of turnover is well documented in the literature. This paper examines turnover with a unique, positive focus. Turnover is reviewed, not only from the standpoint of the organizational theorist, but with economic, sociological, and psychological/social psychological perspectives. Often ignored benefits of turnover are noted.","","Economics; Employment; Organization and Administration; Personnel Management; Personnel Selection; Sociology; article; economics; employment; organization and management; personnel management; sociology"
"Managing not-for-profit enterprises.","1978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017911784&doi=10.5465%2fAMR.1978.4296304&partnerID=40&md5=48b4312dd1a3b06b9238eb0568aceba3","The popular belief that business management concepts can be applied readily to not-for-profit enterprises needs qualification. Not-for-profit enterprises differ widely; each has its own managerial needs, and many have discriminating constraints that sharply modify which concepts will be effective.","","Industry; Organization and Administration; Ownership; Personnel Management; article; industry; organization and management; personnel management"
"Diagnosis related groups: product line management within hospitals.","1986","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022571685&doi=10.5465%2fAMR.1986.4282622&partnerID=40&md5=d65cebaf03c7a91813c60360056a5780","The hospital is viewed as a human service enterprise whose primary function is the provision of diagnostic and therapeutic medical services. Its products are the specific sets of services provided to individual patients. A system for defining hospital products based on the characteristics of patients receiving similar sets of services has been developed and is referred to as Diagnosis Related Groups (DRGs). The system is described, and its implications for improved hospital management are discussed.","","Accounting; Diagnosis-Related Groups; Efficiency; Financial Management; Financial Management, Hospital; Hospital Departments; Models, Theoretical; Systems Analysis; United States; accounting; article; diagnosis related group; financial management; hospital department; methodology; organization and management; productivity; system analysis; theoretical model; United States"
"Motivating the client/employee system as a service production strategy.","1983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020740050&doi=10.5465%2fAMR.1983.4284740&partnerID=40&md5=9e1ea444d556fca102ea210e2e323246","Productivity improvement in service organizations is of major concern to managers as one way of countering escalating costs. In service organizations in which the client/customer is directly involved in the production function, improved performance can be secured by viewing the client/customer as a ""partial"" employee. This proposition in turn leads to the suggestion that productivity gains can be realized for services by expanding conventional motivation concepts to include the client/customer.","","Efficiency; Humans; Motivation; Personnel Management; United States; article; human; methodology; motivation; personnel management; productivity; United States"
"Employer-employee based quality circles in Japan: human resource policy implications for American firms.","1983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020739822&doi=10.5465%2famr.1983.4284735&partnerID=40&md5=76f6b1bfa2cac3dd60f51b4dbcc52fbf","This paper traces the development of the quality circle in Japan with reference to such traditions as permanent employment, nenko (seniority-based compensation), enterprise unionism, and management paternalism. Quality circles are examined as tools for motivating employees, reducing labor turnover, effecting employee ""career expansion,"" and allowing employee participation in job redesign.","","Japan; Labor Unions; Personnel Management; Quality Control; United States; MLCS; MLOWN; article; Japan; organization and management; personnel management; quality control; trade union; United States"
"A review and reconceptualization of organizational commitment.","1985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022088851&doi=10.5465%2fAMR.1985.4278960&partnerID=40&md5=e72668c9261d318d0bd7601cca6c0c30","This paper argues that current, global conceptions of organizational commitment may be deficient in several respects. A review of macro approaches to the nature of organization, as well as research on reference groups and role theory, indicates that a multiple commitments approach may be more precise and meaningful. It is suggested here that employees experience several different commitments to the goals and values of multiple groups. Some implications of this perspective are presented.","","Attitude of Health Personnel; Humans; Job Satisfaction; Organization and Administration; Personnel Loyalty; Personnel Management; Personnel, Hospital; health personnel attitude; hospital personnel; human; job satisfaction; organization and management; personnel management; psychological aspect; review"
"Interorganizational cooperation and decision making autonomy in a consortium multihospital system.","1984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021457803&doi=10.5465%2fAMR.1984.4279689&partnerID=40&md5=e6c9432c59d1134d351e8375544c04e2","This paper discusses interorganizational relationships within one type of multihospital system, a consortium. Reasons for the development of this type of system are presented. Hypotheses are proposed explaining how the general strategic-level decisions of hospitals may be influenced as a result of consortium affiliation.","","Decision Making; Humans; Interinstitutional Relations; Multi-Institutional Systems; United States; article; decision making; human; multihospital system; organization and management; public relations; United States"
"An information-task approach to organizational communication.","1978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017993401&doi=10.5465%2fAMR.1978.4305740&partnerID=40&md5=fdc82591452ebf21e832485bda490599","Considering communication as an organizational task, this article suggests three variables (availability, uniformity, and independence) that characterize the information task at the work unit level and explicates their dependence on strategic choices by work units. Three sets of propositions are developed relating information task characteristics to: (a) organizational task variables; (b) the organization's communication structure; (c) power and influence in the organization. Implications of the framework are considered.","","Communication; Humans; Information Theory; Organization and Administration; article; human; information science; interpersonal communication; organization and management"
"A life-cycle model of organizational federations: the case of hospitals.","1987","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0023376296&doi=10.5465%2fAMR.1987.4306568&partnerID=40&md5=166e681d331943a429595a6ef90b6c2d","Hospital federations are a form of multiorganizational collaboration in which a management group coordinates and directs the activities of three or more organizations. This paper introduces a life-cycle model of federations that focuses on factors that influence the transition from one stage to another.","","Hospital Shared Services; Institutional Management Teams; Interinstitutional Relations; Models, Theoretical; Multi-Institutional Systems; Organizational Affiliation; United States; article; hospital service; management; multihospital system; organization; organization and management; public relations; theoretical model; United States"
"The role of goal acceptance in goal setting and task performance.","1983","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020789409&doi=10.5465%2fAMR.1983.4284597&partnerID=40&md5=460bcdfd115e194b212822dbf3909a59","Goal setting has been widely used to enhance work motivation. This paper discusses the importance of goal acceptance in moderating goal setting effects and shows how workers' acceptance of goals can be influenced at various stages of the progression from goal setting to goal attainment. A heuristic organization of goal acceptance strategies is proposed as a basis for extending the theoretical framework underlying goal setting research.","","Goals; Humans; Motivation; Personnel Management; Task Performance and Analysis; article; human; methodology; motivation; personnel management; task performance"
"A clarification of the goal setting and appraisal processes in MBO.","1979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018309448&doi=10.5465%2fAMR.1979.4289175&partnerID=40&md5=5ea2615a5bc21ad8021bf992a244f858","Under the guise of Management by Objectives, ""goal setting"" and ""performance appraisal"" have assumed many different shapes and purposes. To clarify the concept of MBO, this review examines the writings of leading MBO experts, extracts those elements common to their respective definitions of goal setting and performance appraisal, and joins them into a single definition of MBO.","","Employee Performance Appraisal; Goals; Humans; Organization and Administration; Personnel Management; article; human; motivation; organization and management; personnel management"
"Beyond expectancy theory: an integrative motivational model from health care.","1982","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0020119801&doi=10.5465%2fAMR.1982.4285551&partnerID=40&md5=2e367fc70bd4a6a946b9c51e2d273243","Expectancy theory has been criticized for its omission of normative, habitual, and other motivational elements. This paper describes the sources and features of an integrative motivational model from the field of preventive health care that combines expectancy/valence factors with habitual, normative, and conative motivational elements. The model is viewed as having implications for work motivation as well.","","Analysis of Variance; Decision Making; Humans; Models, Theoretical; Motivation; Preventive Health Services; analysis of variance; article; decision making; human; motivation; preventive health service; theoretical model; utilization review"
"Calling out and calling off the dogs: managerial diagnosis in public service organizations.","1979","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018459716&doi=10.5465%2fAMR.1979.4289019&partnerID=40&md5=48fadeda7bb65e6b1ab734f1b1a2b1c7","Decision-makers spend their professional lives identifying situations that merit action. Nutt defines this process of placing problems in action or deferred categories as ""managerial diagnosis."" It is felt that this is a critical aspect of managerial action because it rests on assumptions that need to be considered in project planning and evaluation. To facilitate future studies of the effectiveness of managerial behavior, a framework of fourteen propositions which describe the process of managerial diagnosis is presented. The author says that: 1) the manager will defer those perceptions where performance exceeds expectations; 2) decision-makers are goaded into evaluation (a process used to measure performance or comparative alternatives) by stimuli such as conflict, uncertain performance, and uncertain expectations; and 3) evaluation findings are deemed acceptable only when they reduce conflict.","","Administrative Personnel; Decision Making; Humans; Organization and Administration; Problem Solving; administrative personnel; article; decision making; human; organization and management; problem solving"
"Contextual influences on personnel policies and programs: an explanatory model.","1978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018022522&doi=10.2307%2f257930&partnerID=40&md5=893179754339f83242c1a0389523289c","There has been a general absence of research to explain why personnel policies develop in organizations. This article has two objectives: (a) development of a theoretically relevant scheme for clustering personnel policies for analytic purposes, and (b) presentation of an explanatory model suggesting how contextual influences shape these policies.","","Humans; Models, Theoretical; Motivation; Organization and Administration; Personnel Management; article; human; motivation; organization and management; personnel management; theoretical model"
"Reconceptualizing the nature and consequences of part-time work.","1990","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0025028555&doi=10.5465%2fAMR.1990.4308279&partnerID=40&md5=1524e136134f92819ec996699a784f62","This article presents a theoretical framework for understanding the impact of part-time work on employees' attitudes and behaviors. A series of hypotheses also are presented to explain the varying consequences that different types of part-time employment arrangements, work-context factors, and demographic variables have on the experiences of part-time workers. Future issues for theory development and research methodology are discussed as well.","","Demography; Employment; Humans; Job Satisfaction; Methods; Models, Theoretical; Personnel Management; Personnel Staffing and Scheduling; Time Factors; United States; demography; employment; human; job satisfaction; personnel management; review; technique; theoretical model; time; United States"
"Quasi firms: strategic interorganizational forms in the health care industry.","1989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0024486774&doi=10.5465%2fAMR.1989.4278998&partnerID=40&md5=149877f68c234b88cd08f352b8b00104","In response to significant political, governmental, and socioeconomic changes affecting the health care industry, health care organizations are forming a wide variety of loosely coupled interorganizational arrangements. In this article, loosely coupled forms are classified according to the extent to which they are designed to achieve strategic purposes. The quasi firm is defined as a loosely coupled arrangement created to achieve long-lasting and important strategic purposes. Mechanisms that are needed to ensure the continuity of quasi firms are explored, and an agenda for further research is given.","","Classification; Decision Making, Organizational; Health Care Coalitions; Health Planning Organizations; Industry; Interinstitutional Relations; Models, Theoretical; Multi-Institutional Systems; Planning Techniques; Research; United States; classification; health care organization; health care planning; industry; multihospital system; organization; organization and management; public relations; research; review; theoretical model; United States"
"Organizational strategy, structure, and process.","1978","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0017993912&doi=10.5465%2fAMR.1978.4305755&partnerID=40&md5=a5923cf299b92477793de3351cd24b9c","Organizational adaptation is a topic that has received only limited and fragmented theoretical treatment. Any attempt to examine organizational adaptation is difficult, since the process is highly complex and changeable. The proposed theoretical framework deals with alternative ways in which organizations define their product-market domains (strategy) and construct mechanisms (structures and processes) to pursue these strategies. The framework is based on interpretation of existing literature and continuing studies in four industries (college textbook publishing, electronics, food processing, and health care).","","Goals; Group Processes; Humans; Models, Theoretical; Organization and Administration; Social Environment; article; group process; human; motivation; organization and management; social environment; theoretical model"
"Development, application, and evaluation of an ""action-reaction"" planning method.","1980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0018882486&doi=10.5465%2fAMR.1980.4288910&partnerID=40&md5=92f793b21f7146468ae146a3715b7e26","It is difficult to design and implement new public policies and programs, at least partially owing to the fact that few useful methods are available to help shape the planning, decision-making, and implementation processes required for change. Planning often tends to focus on wishful thinking rather than on a realistic assessment of the probable outcomes. In this article we describe an action-reaction approach to planning that explicitly recognizes the restrictions on program impact arising from the system in which change is being attempted. A hypothetical example shows the application of this method to the design of a health-care delivery program. The article concludes with a discussion of the long-term uses of the data base that may be compiled with this method.","","Budgets; Decision Making; Delivery of Health Care; Humans; Planning Techniques; Policy Making; United States; article; budget; decision making; economics; health care delivery; human; management; organization and management; United States"
