"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"THE RECOMMENDATION SYSTEM DEVELOPMENT OF STUDENT REGISTRATION WITH COLLABORATIVE FILTERING","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112287214&partnerID=40&md5=5d2fa1d5a8f1780ee7855b84afec9bed","Backgrounds: Recently, most students register for classes without any information and options to support their decision because the systems used do not recommend the registration instructions of each class and the number of students is increasing. Moreover, most teachers have a lot of and limited tasks, and most office staff are responsible for paper documents which can be easily lost and the right time of making an appointment between teachers and students is also limited. Aims: The purposes of this research were 1) to design the recommendation system of student registration with collaborative filtering, 2) to develop the recommendation system of student registration with collaborative filtering, and 3) to assess the competency of recommendation system of student registration with collaborative filtering. Findings: The results of the research revealed that the research instrument used was the model of assessment system. The sample group of subjects was the students of King Mongkut's University of Technology North Bangkok with simple random sampling. The data was analyzed by simple statistics: percentage and standard deviation (S.D.). Conclusion: This research could be concluded that the success found that 1) the participants of the recommendation system of student registration with collaborative filtering were divided into three groups: students, teachers and office staff, 2) the recommendation system of student registration with collaborative filtering consisted of four development phases: planning, analysis, design, implementation, and 3) the overall efficiency of the recommendation system of student registration with collaborative filtering was at a high level (x- = 4.51) and the standard deviation (S.D.) was of 0.61. This showed that the performance of the recommendation system was efficient. Practical Implications: The students had the guideline for course enrolment through the smart registration system and the system could enhance the student's learning outcomes. The teachers could reduce the procedures and time of consultation or finding some more information to enhance the students' learning efficiency. Originality/Value: This research studied the recommendation system of student registration with the data of the students' learning outcomes by implementing the theory of data recommendation and the collaborative filtering to recommend and predict the students' learning outcomes. © 2021. All Rights Reserved.","Collaborative Filtering; Recommendation System",""
"Problems And Prospects Of Railway Passenger Transport Development In Kazakhstan","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105789387&partnerID=40&md5=1d19ae0a4a3e5757f53885bfdb0ba575","In this article we will consider what problems railway passenger transportation is experiencing in Kazakhstan, and what development prospects it has. The analysis was carried out for JSC NC Kazakhstan Temir Zholy and JSC Passenger Transportation. The main objective of this research is to suggest an optimal system of railway operation. © 2021, Academy of Strategic Management Journal All Rights Reserved.","Development Prospects; Kazakhstan; Optimal System; Passenger Transportation; Problems; Railway Passenger",""
"PERFORMANCE OF SOYBEAN FARMING IN JAVA - INDONESIA: DETERMINANTS AND IMPROVEMENT STRATEGIES","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112829251&partnerID=40&md5=a8d1053f2508f57f0449b29e5392ffc9","The objective of this study is to analyse the performance and technical efficiency of soybean production in Indonesia. This study was conducted in Grobogan Regency, a district in Central Java, the Indonesian soybean production centre. Four hundred soybean farmers were selected for interview. The data observed are in the form of farm characteristic, capital, and production cost. Stochastic frontier production is used to analyse the technical efficiency of using production factors on soybean production income. This is considered the main culprit of the very low productivity of soybean. Further, the inefficiency model shows that no significant factor affecting efficiency. This is understandable since the production system is in the irrational stage. The main factor that is possible to influence such a condition is the level of education. On average, the level of farmers' education is just elementary school and junior high school. This condition leads to failure in adopting technology in the soybean farming system as farmers might misunderstand the advanced technology. The stochastic efficiency results indicate that this variable does not affect efficiency. Technical efficiency in soybean cultivation in Indonesia is very low. A comprehensive improvement strategy must be carried out for improvement to increase production to reduce dependence on imports. © 2021. All Rights Reserved.","Economic Performance; Soybean Production; Stochastic Efficiency; Technical Efficiency",""
"SOCIAL MEDIA USAGE AND FEMALE EMPOWERMENT IN SAUDI ARABIA","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112862110&partnerID=40&md5=410ea700b13a1b268b6ad5bf023a9bc8","Social media has played a major role in women's growth and empowerment across the globe. Academic literature also has documented numerous studies which highlight the linkage between media and female empowerment. The study appreciates the significance of the social media and discusses various ways in which social media supported the female empowerment. Related academic literature was reviewed and many remarkable associations of the social media with female empowerment were discovered. It was observed that using social media channels, any women who face discriminations and disempowerment can voice her concern to the world on various issues. However Saudi women participation on social media platform was found to be low. The purpose of the present study is to identify the causes of low participation of Saudi women on social media platforms and to propose effective strategies that can enhance female empowerment in Saudi Arabia. © 2021. All Rights Reserved.","Effective Media Strategies; Female Empowerment; Social and Cultural Issues; Social Media; Social Reforms; Women Empowerment",""
"Guidelines Of Industrial Business Development By Good Governance Principles For Sustainable Growth","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105787403&partnerID=40&md5=6ab6b171421dcf6f9af411a4c7161ead","Aim: The objective of this research was to study the guidelines of industrial business development by good governance principles for sustainable growth. Methodology: This research was a mixed-methodology research including the qualitative research and the quantitative research with quantitative data survey by distributing the questionnaires to 500 executives who were responsible for good governance and organizational sustainability. The three main statistical methods used in data analysis were descriptive statistics, inferential statistics and multiple regressions. Finding: The results of the research revealed that the guidelines of industrial business development by good governance principles for sustainable growth consisted of four main factors: business ethics, team management, collaboration network and customer relationship management. The sample group focused on all the variables at a high level. The results of structural equation model analysis were proved by congruence evaluation criteria including Chi-square probability of 0.057, relative Chi-square of 1.170, index of item objective congruence of 0.962 and root mean square error of approximation of 0.018. The result of research hypothesis test showed that the business ethics variables directly influenced the team management variables at statistical significance level of 0.001, the business ethics variables directly influenced the collaboration network variables at statistical significance level of 0.001, the collaboration network variables directly influenced the customer relationship management variables at statistical significance level of 0.001, the team management variables directly influenced the customer relationship management variables at statistical significance level of 0.001 and the team management variables directly influenced the collaboration network variables at statistical significance level of 0.001. Conclusion: The results of study showed that the highest average of the guidelines of industrial business development by good governance principles for sustainable growth was as follows: the business ethics i.e., focusing on and treating every stakeholder equally, the team management i.e., providing equal chances to all members to give their opinions or reporting any problem through various channels, the collaboration network i.e., clearly assigning the structure and roles of the members and the customer relationship management i.e., recording and storing the customers’ data with proper system. The small and medium enterprises and large enterprises focused on the guidelines of industrial business development by good governance principles for sustainable growth differently at statistical significance level of 0.05. © 2021, Academy of Strategic Management Journal. All Rights Reserved.","Business Ethics; Collaboration Network; Customer Relationship Management; Good Governance; Sustainable Growth; Team Management",""
"Strategic Management Process: Bank National In Improving Performance Before And During Covid-19 Pandemic","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109966365&partnerID=40&md5=d99d868a14d2b8c23e4261a53e85104a","In general, bank business activities focused on the public fund collection and redistribution in the form of credit and financing in addition to other banking service procurement. Which must be able to have strategies to identify, commensurate and minimize global banking risks at “Strategic Management Process”? This study uses a type of explanatory research that examines the effect of the research variables. Research were 43 Bank National at Indonesia business, data collected in this study consisted of primary data from “annual report 2017-2020 from www.idx.co.id › en-us. Various tests were used for conducting inferential statistics, including T-tests for independent samples, F-test for analysis of variance, Pearson correlations. The results of the research and hypothesis testing prove that the overall effect of the research variables is strong influence, the research hypothesis proves that all independent variables. The novelty that can be taken that in the strategic management at bank enterprises a factors “examining the strengths and weaknesses” at strategic management process for “careful strategy brings the right results” before and during Covid-19 Pandemic. © 2021. All Rights Reserved.","Bank and Financial Sector; Brings the Right Results; Careful Strategy; Strategic Management",""
"The Emerging Community-based Social Enterprises In Chengdu: Ethical Concerns And Future Considerations","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109975077&partnerID=40&md5=9d7303d599a858bda272a06ce8376580","This paper aims to analyze the ethical concerns in the emerging community-based social enterprises in Chengdu and then propose a strategic focus of public policy towards the cultivation and development of social enterprises. The concept of community entrepreneurship is defined as a community cooperative action in which entrepreneurs and entrepreneurial enterprises pursue common public welfare, and indicate that it involves the process of establishment of new enterprises and the activities that enable them to operate within the existing social structure of the community. This article adopts a mixed methods approach including 5 qualitative interviews with key stake-holders in the local community-based social enterprises, a focus group as well as a six-month field work to better understand its operational characteristics and social impact in a particular social enterprise ecosystem. This paper explores the management structure of the local community-based social enterprise and its connections with the community residents committees, especially on the usage of public assets, distribution issues, as well as the changing roles of the community residents committees. The author proposes a strategic focus of public policy based on the characteristics of different kinds of social organizations. This paper provides empirical evidence on the ethical concerns of community-based social enterprises in Chengdu in the context of policy-driven environment for the development of social enterprises in China, and contributes to the research on social enterprises and relevant policy-makings. © 2021. All Rights Reserved.","China; Community Entrepreneurship; Social Enterprise; Social Entrepreneurship",""
"Control and organizational culture: Goal alignment","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105813179&partnerID=40&md5=96696d06757837342613a9a0c7e0fb1f","This article considers the theoretical aspects of organizational culture and management control. The article contributes to a better understanding of the impact of culture on control, specifically, for ensuring goal congruency. The discussion highlights the need for managers, and scholars, to pay greater attention to organizational culture to ensure goal alignment in the organization. © 2021","Cultural Control; Goal Alignment; Organizational Culture",""
"Effectiveness of fine-moving value in developing theoretical model of organizational performance: A perspective of the theory of planned behavior","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105790417&partnerID=40&md5=95fc4d58382eea354b94b4aa0dac9f21","This study was conducted to fill the research gaps on inconsistent findings about entrepreneurial culture in improving organizational performance by including effectively smooth motion values as a factor that can improve organizational performance. This study was also undertaken to build a conceptual model of organizational performance from an entrepreneurial culture through an effectively smooth motion values synthesis. Four hypotheses were developed and tested within the samples framework of 110 coffee processing industries in Jember, Indonesia. The findings of this study indicate the important role of the effectively smooth motion values which has been proven to be able to mediate entrepreneurial culture in improving organizational performance. © 2021","Effectively Smooth Motion Values; Entrepreneurial Culture; Jember Coffee Processing Industry; Organizational Performance",""
"MARKETING LOGISTICS AS A FACTOR OF STRATEGIC DEVELOPMENT OF BUSINESS STRUCTURES","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112839206&partnerID=40&md5=6945da85085223ef9e98f73f93da9e82","The article deals with the justification of marketing logistics as a factor in the development of business structures. It is established that autonomous functions of marketing and logistics are being transformed into the integrated function of marketing logistics which should be considered as a factor of strategic development of business structures. Since marketing logistics has a coordinating aspect in relation to all actions that are in any way connected to serving customers, the implementation of marketing logistic principles into the business practice and the formation of the system presupposes the existence of an extensive digital system without which a business cannot be managed efficiently. It is determined that measuring the results of logistic management is a prerequisite for achieving the goals of the logistical system as feedback is necessary for efficient management. It is proven that an efficient logistical system can create positive support for a business structure in the attraction and implementation of the most productive distribution channels and the choice of the most efficient suppliers. It is established that if the manufacturer cannot supply the required product on time, in the requested amount and of proper quality, then the members of the distribution channels can cease the relationship with the manufacturer or stop the active promotion of the manufacturer's products. © 2021. All Rights Reserved.","Business Structure; Competitiveness; Demand; Efficiency; Market; Marketing Logistics; Product; Production",""
"Corporate Social Responsibility Disclosure Earning Management And Corporate Performance","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105817370&partnerID=40&md5=7b5f658a4a9bf80987106b95c578d472","The purpose of this study is to examine the effect of corporate social responsibility disclosure (CSRDis) on corporate performance (CP) as moderated by earnings management (EarnM). The population of this study is all companies listed on the Indonesian stock exchange. In order to obtain a representative sample, this study used a purposive sampling method. Partial Least Square (WarpPLS) version 7.0 was used as an analytical tool in this study. This research concludes that CSRDis and EarnM directly have a significant effect on CP; however, EarnM does not moderate the effect of CSRDis on CP. The implication of this research is the importance of CSRDis to improve company performance. © 2021, Academy of Strategic Management Journal. All Rihts Reserved.","Corporate Performance; Corporate Social Responsibility Disclosure; Earning Management",""
"THE ROLE OF THE EMPOWERMENT STRATEGY IN ACHIEVING ORGANIZATIONAL AMBIDEXTERITY IN JORDANIAN TELECOM COMPANIES: THE MEDIATING ROLE OF CREATIVE BEHAVIOR","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112837544&partnerID=40&md5=85b341b1e15ba478f2230c82591c9b6d","This study aimed to explore the role of employees empowerment strategy (employee training, organizational confidence, job enrichment, and delegation of authority) in achieving organizational Ambidexterity (exploratory innovation, exploitative innovation, and flexible organizational structure), with the existence of creative behavior as a mediating variable at Jordanian telecom company's environment. The descriptive analytical method has been used through data collection by means of a questionnaire distributed to Jordanian telecom company's After the statistical analysis of the questionnaire, appeared several key findings most important of which are creative behavior mediates the relationship between strategy of delegation of authority and flexible organizational structure although did not mediate the relationship between (employee training, organizational confidence, and job enrichment) and flexible organizational structure. Initially this study recommended that Theoretical and practical implication are considered. © 2021. All Rights Reserved.","Creative Behavior; Employee Empowerment Strategy; Jordanian Communications Companies; Organizational Ambidexterity",""
"THE RELATIONSHIP BETWEEN PROJECT PLANNING, RISK MANAGEMENT AND KNOWLEDGE INTEGRATION ON PROJECT SUCCESS","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112853098&partnerID=40&md5=ce837c80425f2a9fbabd550ef61e0be5","The research aims to study different elements that can contribute to the success of some project in construction industry specifically large scale construction projects. The objective is to evaluate the impact of project planning, project risk management, knowledge integration on project success. It is a quantitative study in which responses from n=175 respondents were collected using random sampling method. It is hypothesized that the project planning, knowledge integration and risk management, all contributes to the performance of the project in an efficient way. The findings are somehow in accordance with our hypothesis. Project planning and risk management are positively influencing the project success, but knowledge management has not shown significant influence on the success of the project. It is depicted that proper and in time planning and management of risk are the two factors contributing to the success of large-scale construction projects, so these factors need to be managed appropriately. © 2021. All Rights Reserved.","Knowledge Integration; Project Planning; Project Success; Risk Management",""
"Strategic Human Resource Management And Internal Marketing On Enterprise Performance","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109914777&partnerID=40&md5=ace1dba181a79e4457ab87a70b116276","Face the world development and society competition, human resources have become the core competitiveness of enterprises, and the improvement of internal marketing ability depends on the strategic human management resources of enterprises. This research investigate the impact of strategic human resources management and internal marketing on enterprise performance, take public enterprise as the background to conduct a questionnaire survey, using regression analysis to empirical testing. The results show that both strategic human resource management and internal marketing have a positive relationship on enterprise performance, and internal marketing has not much mediating role between strategic human resource management and enterprise performance. It provides some suggestions on how to implement strategic human resource management to improve enterprise performance. © 2021. All Rights Reserved.","Enterprise Performance; Internal Marketing; Strategic Human Resource Management",""
"GUIDELINES FOR SUCCESSFUL SUPPLY CHAIN MANAGEMENT IN INDUSTRIAL BUSINESSES","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107652440&partnerID=40&md5=54378ebc2f9cd84cab5ed26402a273d5","Aim: The objective of this research was to study the guidelines for successful supply chain management in industrial businesses. It was an inductive research using the mixed methodology research including qualitative research method with in-depth interview and quantitative research method with quantitative data collection from the supply chain executives representing 500 organizations of both large enterprise and small and medium enterprises (SMEs) to analyze and develop the structural equation modeling (SEM) and finally get the structural equation model with the perfection and congruence of empirical data Finding: The results of the research revealed that the guidelines for successful supply chain management in industrial businesses at the highest percentage ware: strategic management focusing on quality, environment, and safety to meet the highest satisfaction of customers; information technology focusing on the security of information system; knowledge management focusing on the application of knowledge, the analysis of knowledge, key performance indicator, and organization performance assessment; and integration focusing on teamwork with the performance and operation assessment throughout the supply chain. The results of research hypothesis test showed that the large enterprise and small and medium enterprises (SMEs) focused on the successful supply chain differently at statistical significance level of 0.05. Conclusion: This research could be concluded that the success of guidelines for successful supply chain management in industrial businesses helped the entrepreneurs reduce the operation costs, and it was a good foundation of enhancing the competency of supply chain management to help the entrepreneurs’ competitiveness become international. The results of structural equation model analysis were proved by congruence evaluation criteria including Chi-square probability of .105, relative Chi-square of 1.106, index of item objective congruence of .960, and root mean square error of approximation of .016. © 2021. All Rights Reserved.","Industrial Business; Structural Equation Modeling; Successful Supply Chain Management",""
"SOCIAL NETWORKS MARKETING AND HUNGARIAN ONLINE CONSUMER PURCHASE BEHAVIOR: THE MICROECONOMICS STRATEGIC VIEW BASED ON IPMA MATRIX","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112844411&partnerID=40&md5=858ce62e8611f4e4892e34fdff9c2d65","This study aims to develop a strategic view on the role of Social networks marketing (SNM) regarding Consumer purchase behavior (CPB) in Hungary and considering the Facebook platform. The methodology of the present study is focused on the IPMA matrix that serves to answer the research question. The statistical population of the study included users on the Facebook platform who have done online purchasing. It is depicted that “Interaction” has the highest importance score of 0.296; if Facebook channels increase their interaction by one unit point, its overall CPB will increase by 0.296. Additionally, our findings disclose that the lowest performance (81.027) is linked to interaction, revealing an excellent opportunity for development in this area. Based on managerial implication, we found that items related to “trend” have the highest importance, which shows the strategic role of trend in the process of influencing CPB in the Hungarian online community. Furthermore, it can be mentioned that SNM is in ideal condition in Hungary and online businesses have invested a lot in this area. © 2021. All Rights Reserved.","Consumer Purchase Behavior; IPMA Matrix; Microeconomics; Social Networks Marketing; Strategic View",""
"Futuristic trends and innovations for examining the performance of the course learning outcomes using rasch analytical model","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105814385&partnerID=40&md5=a114d8a3161119d7dc3b4136f5b0a68e","The literature on engineering education research highlights the relevance of evaluating course learning outcomes (CLOs). However, generic and reliable mechanisms for evaluating CLOs remain as challenges. The purpose of this project is to accurately evaluate the efficacy of the learning and teaching techniques through analyzing CLOs performance by using an advanced analytical model (i.e., Rasch model) in the context of engineering and business education. An association pattern between the students and the overall achieved CLO performance will be produced by this model. The sample in this project will be conducted on students who are enrolled in some nominated engineering and business courses over one academic year at Prince Sultan University, Saudi Arabia. This sample will consider several types of assessments, such as direct assessments (e.g., quizzes, assignments, projects, and examination) and indirect assessments (e.g., surveys). The current research illustrates that the Rasch Model for measurement is able to categorize grades in accordance with course expectations and standards in a more accurate manner, thus differentiating students by their extent of educational knowledge. The results from this project will guide the educator to track and monitor the CLOs’ performance, which is identified in every course to estimate the students’ knowledge, skills, and competence levels, which will be collected from the predefined sample by the end of each semester. The proposed approach with the Rasch measurement model can adequately assess the learning outcomes. © 2021","Assessment; Bloom Taxonomy; Course Learning Outcomes; Data Analytics; Education and Learning; Student Performance",""
"The Global Macroeconomic Impacts Of Covid-19: Four European Scenarios","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104259060&partnerID=40&md5=154ef45d86be2c952f54f7a9f5379157","The COVID-19 outbreak has upset the EU economy. The evolution and its economic impact are highly uncertain which makes it difficult for governments, firms, as big Company and SMEs, workers, policymakers to formulate an appropriate European policy response. In order to better understand possible economic outcomes, this paper explores four different scenarios of how Covid 19 might evolve in the coming years using database by European Banking Authority (2020). It examines the impacts of different scenarios both on macroeconomic and markets outcomes in European Union by examining a previously macroeconomic theory in a new context such as Covid 19 pandemic. The scenarios elaborated by SPSS 26.0, highlights that even a contained outbreak could significantly affect the European economy in the middle rung in terms of public social values and these weaknesses could undermine the objectives of building a united Europe in addressing the crisis created by Covid 19. Policies, reforms and behaviors that bring us back to growth rates before the pandemic, with sustained, broad-based and balanced support, would also help to maintain easing conditions on financial markets, the reduction of the average debt burden and the promotion of a gradual rebalancing of public finances © 2021, Academy of Strategic Management Journal. All Rights Reserved.","Economic Crisis; Europe; Pandemics; Scenarios",""
