Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
An integrative model linking employee positive moods and task performance,2005,"Academy of Management 2005 Annual Meeting: A New Vision of Management in the 21st Century, AOM 2005",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859095017&partnerID=40&md5=c25a22cd434527dd2e53d8dc3c7e77b3,"Past empirical evidence has demonstrated that employees' positive moods enhance their task performance. This study extends previous research by proposing an integrative model that examines mediating processes underlying employee positive moods and task performance. Data were collected at two points in time from 306 employees and their immediate supervisors in five insurance companies in Taiwan. Results showed that employee positive moods influenced task performance indirectly through both motivational and interpersonal processes. Specifically, employee positive moods affected self-efficacy and task persistence, which in turn led to higher task performance. In addition, positive moods influenced interpersonal helping behaviors (i.e., helping coworkers and coworker helping), which in turn led to higher task performance.",Mediating processes; Positive moods; Task performance,Insurance; Empirical evidence; Insurance companies; Mediating processes; Positive moods; Self efficacy; Task performance; Task persistence; Two-point; Human resource management
The moderating effect of procedural fairness in standardizing professional work: Hospital drug formulary and its cost effectiveness,2005,"Academy of Management 2005 Annual Meeting: A New Vision of Management in the 21st Century, AOM 2005",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859091968&partnerID=40&md5=e7af8ee64b921e95593a1f3b05508e7d,"This paper explores the role of procedural fairness in determining responses to bureaucratic standardization. I examine this question in the context of drug formularies in hospitals. Drug formularies are a list of drugs available to physicians in a healthcare organization, and represent a standardization of the drug choices available to physicians. While some advocate the use of formularies as a cost-effective means of managing drug benefits, critics see them as an infringement on physicians' clinical autonomy, and as potentially harmful to patients, ultimately contributing to higher costs of providing care. Drawing on organizational justice theory, I look at the role of procedural fairness in shaping the effectiveness of bureaucratic standardization, and argue that the payoff from drug formularies depends on whether the process of setting and implementing formulary policies is fair. To examine this, Inpatient Discharge Data for 2002 from Florida, Illinois, New York, and Texas, combined with an original survey of 243 hospital pharmacy directors, were analyzed using the hierarchical linear modeling technique. I found that the cost effectiveness of drug standardization depends on the procedural fairness of the standardization process, controlling for patient, hospital, and hospital market factors. Theoretically, this paper contributes to a partial reconciliation of conflicting predictions from the standardization literature by considering procedural fairness. Given the ubiquity of standardized rules in organizations, the findings also have practical implications for how to manage bureaucratic standardization without alienating organizational members.",Procedural fairness; Profession; Standardization,Cost effectiveness; Health care; Hospitals; Cost-effective means; Drug benefits; Florida; Healthcare organizations; Hierarchical linear modeling; Hospital market; Illinois; Moderating effect; New York; Procedural fairness; Profession; Standardization process; Standardization
Performance effects of relationalism with dominant and non-dominant suppliers: A case study,2005,"Academy of Management 2005 Annual Meeting: A New Vision of Management in the 21st Century, AOM 2005",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859091024&partnerID=40&md5=bd64e1240e073e25a72021ab9a013cea,"Theorists hypothesize that close, cooperative, long-term relationships with suppliers enhance firm performance; however, existing studies have produced conflicting results. This study makes three important contributions. First, it demonstrates that when firm performance is defined more broadly than transaction costs to include operational and financial aspects, resource dependence theory is a better guiding theory than transaction cost theory, which has been a prominent theory guiding several firm- supplier relationship studies. Second, we show that the case study research is superior to survey-based research in dealing with the complexities of firm-supplier relationship phenomenon, particularly in measuring firm-supplier relationalism. Finally, through case analysis of 8 leading U.S. computer hardware firms, we show that relationalism between firms and dominant suppliers is positively associated with firm profitability but negatively associated with product innovation, and that relationalism between firms and non-dominant suppliers is positively associated with operational cost efficiency. In sum, the findings suggest that dominant-supplier-relationalism and non-dominant supplier-relationalism are separate phenomena that impact firm performance in different ways.",Case study; Firm performance; Firm-supplier relationships,Cost benefit analysis; Profitability; Research; Case analysis; Case study research; Financial aspects; Firm Performance; Firm-supplier relationships; Operational costs; Performance effect; Product innovation; Supplier relationships; Survey-based research; Transaction cost; Transaction-cost theory; Industry
Business value of it: The case of e-justice in Singapore,2005,"Academy of Management 2005 Annual Meeting: A New Vision of Management in the 21st Century, AOM 2005",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859081906&partnerID=40&md5=30b076761ddf778b39a1aa66b657ee74,"Over the years, countries around the world have been rapidly moving from the industrial economy to one that is heavily based on information and knowledge. In this information society, IT is being increasingly recognized as a key factor that will change the way countries as well as individual firms compete. An example of a country rising fast into the information age is Singapore. In less than forty years, Singapore has transformed herself into a fully developed nation with an advanced eGovernment agenda. A well structured IS leadership has been at the heart of this success and has enabled Singapore to adopt a drive towards continuous innovation. In this study, we explore the influence of leadership in first appreciating the potential value of IT in Singapore's legal system, and then realizing this potential value. In particular, we are interested in the concept of distributed leadership. Compared to a traditional model of leadership where power is usually concentrated in a single individual, distributed leadership is one where more than one individual or organization takes the lead, by virtue of their knowledge, skill or ability. Based on empirical data collected on the implementation of the electronic litigation system in Singapore, we find that such distributed leadership occurs in layers, at the different levels, in impacting the business value of IT.",Electronic litigation system; IS leadership; IT business value,Information science; Laws and legislation; Value engineering; Business value; Continuous innovation; e-Government; Empirical data; Information age; Information society; IS leadership; IT business values; Key factors; Legal system; Litigation systems; Potential values; Singapore; Information technology
How do you climb the corporate ladder? A multi-regional analysis of the ethical preferences for influencing superiors,2005,"Academy of Management 2005 Annual Meeting: A New Vision of Management in the 21st Century, AOM 2005",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889708246&partnerID=40&md5=b40d5c8f3d3f3273d0c1881ed155be2d,"We investigate upward influence ethics in 35 societies. A global converging was found on the acceptability of different types of upward influence ethics. Differences among the regions, and societies within each region, as well as this overarching trend of consistency, were also found. Additionally, macro-level (economic wealth), as well as the micro-level (egalitarian commitment- conservatism), factors provide predictive power for this model. Thus, our findings provide evidence that a global model should be based on multiple-level variables.",Cross-cultural; Ethical behaviors; Upward influence,Regional planning; Cross-cultural; Economic wealth; Ethical behavior; Ethical preference; Global models; Predictive power; Upward influence; Philosophical aspects
Examining the impact of human resources management on organizational performance,2005,"Academy of Management 2005 Annual Meeting: A New Vision of Management in the 21st Century, AOM 2005",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859091133&partnerID=40&md5=32e7ee5c33c3a8e957ba0fae43e52236,"The main goal of this study was to develop a valid and reliable model to measure the direct effects of domains of human resource management practices on three measures of organizational performance. This study addressed three measurement challenges that human resource researchers have suggested: data collected for business unit level companies; data collected separately for managerial and non-managerial employee groups; and, testing interrelationships between three organizational performance measures. This study addressed the aforementioned methodological issues. Structural equation modeling was used to examine the effects of human resource management on organizational performance. The results indicated that training and development, performance rewards, and employee relations had significant impact on organizational performance.",Human resources; Organizational performance; Structural equation modeling,Human resource management; Personnel; Business units; Employee group; Employee relations; Human resources management; Organizational performance; Performance rewards; Reliable models; Significant impacts; Structural equation modeling; Managers
Antecedents of dual organizational identification among MNC subsidiary managers: An empirical test,2005,"Academy of Management 2005 Annual Meeting: A New Vision of Management in the 21st Century, AOM 2005",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088715451&doi=10.5465%2fambpp.2005.18779176&partnerID=40&md5=7e45e66c18bed93b0a06655896522f97,"We offer a novel conceptualization of dual organizational identification and develop a theoretical model of the antecedents of this state for the case of subsidiary managers in multinational corporations. We argue that the experience of dual organizational identification will depend on the perceived prestige of the two entities, the manager's positive interaction with and tenure in these entities, and similarity between their organizational identities. Our empirical results provide general support for the model.",Dual organizational identification; Multinational corporations; Subsidiary managers,Empirical test; General supports; Multi-national corporations; Organizational identifications; Organizational identities; Positive interaction; Theoretical modeling; Managers
Interfirm distances as channels for external resources: The choice between alliances and mergers & acquisitions,2005,"Academy of Management 2005 Annual Meeting: A New Vision of Management in the 21st Century, AOM 2005",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859070229&partnerID=40&md5=f2a84e56ec0695a95f23c355d7d738c4,"This study develops an external resource perspective to examine firms' resource acquisition through the lens of organizational distances. The dyadic approach reveals the different mechanisms for resource combination between firms through either alliances or M&A. Specifically, this research explores the roles of strategic distance, technical distance and structural distance in firms' strategic choices of different governance modes. The study argues that firms are more likely to use alliances to access external resources under a large strategic distance, while there is a U-shaped relationship between technical distance and firms' governance choice. A large structural distance also motivates firms to choose alliances over acquisitions. We find support for the majority of our arguments by examining alliances and acquisitions in the U.S. computer industry over a nine-year span.",Alliances; Interfirm distances; Mergers & acquisitions,Alliances; Computer industry; Different mechanisms; External resources; Interfirm distances; Resource acquisition; Strategic choice; Through the lens; U-shaped; Mergers and acquisitions
A vision for overcoming challenges in cross-national management research and practice,2005,"Academy of Management 2005 Annual Meeting: A New Vision of Management in the 21st Century, AOM 2005",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088715298&doi=10.5465%2fambpp.2005.18779180&partnerID=40&md5=6484e6c899eb84c654b10d56e5d83d05,"One issue central to international management and international management research is the existence and interaction of multiple cultures in the organizational environment. Traditionally, most cross-cultural research has taken either a comparative approach, applying common metrics and methods across multiple cultures and analyzing the results for differences or similarities, or a differentiating approach, identifying unique characteristics of an individual culture in order to explain behaviors within that environment. Both of these approaches have advanced our understanding of cross-cultural environments, but neither provides the framework for understanding the simultaneous interactions of intra- and intercultural factors in a cross-cultural setting. Drawing specifically on other fields which research within and across cultural boundaries, specifically cross-cultural psychology and anthropology, and merging them with the management literature, I propose that second person research, as advanced by Torbert's Action Inquiry (2004) framework, provides the tools to overcome this limitation and move both international management research and practice beyond where most extant research has brought us.",Action reseach; Cross-cultural; Methodology,Action reseach; Comparative approach; Cross-cultural; Cross-cultural research; Cultural environment; International management; Management research; Methodology
The deinstitutionalization of coerced reforms: The case of private infrastructure investments,2005,"Academy of Management 2005 Annual Meeting: A New Vision of Management in the 21st Century, AOM 2005",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088716025&doi=10.5465%2fambpp.2005.18778453&partnerID=40&md5=e91712dd5859beb780f3490926777ecd,"Coercive isomorphism is a prominent source of institutional change. The literature to date has emphasized how actors that are powerful and legitimate (e.g., a national government) may coerce the adoption of reforms by dependent actors (e.g., state governments and other organizations whose activities are governed by the federal government). We observe that that an actor's power alone may be sufficient to promote reform, regardless of the actor's legitimacy. However, such reforms are more susceptible to subsequent change than are those that emerge from processes not subject to the influence of external actors whose sway derives from their power alone. We develop and test our arguments in the context of the worldwide electricity provision industry by analyzing countries' adoption of reforms in response to conditional lending practices by multilateral organizations such as the World Bank and the IMF. We find that reforms adopted in response to coercive pressures exerted by these organizations encounter much greater resistance, and that the incidence of financial and economic crises, the absence of checks and balances in established political institutions, and the inexperience of investor coalitions dramatically increase the predicted level of resistance.",Coercive isomorphism; Deinstitutionalization; Institutional change,Investments; Set theory; Coercive isomorphism; Deinstitutionalization; Federal governments; Infrastructure investment; Institutional change; Multilateral organizations; National governments; Political institutions; Economics
