Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Building competitive advantage: The roles of upper echelons and competitive aggressiveness,2006,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863339690&partnerID=40&md5=a79948ed4408491976db1e637f6d4e28,"Basing hypotheses on competitive dynamics, upper echelons, and power perspectives, this study examines top management team (TMT) social integration and competitive aggressiveness as sources of competitive advantage. The impact of CEO power dominance on TMT social integration and organizational outcomes were explored as well. Structural equation modeling analyses show significant supports to the research model and the hypothesized relationships. TMT Social integration and action aggressiveness indeed advance a firm's financial performance, while CEO power dominance demonstrates negative influences on TMT social integration and competitive aggressiveness. Although dominance might bring positively direct effects on financial outcome; however, when considering the indirect effects, power dominance shows a negative impact on firm performance as a whole. Moreover, TMT exhibits a more overwhelming impact on competitive aggressiveness and firm performance than CEO did. This study contributes to the resource-based view by identifying a bundle of strategic assets that are critical in promoting competitive advantage. Since this study examines the black box of TMT processes, incorporates strategic competitive behavior into the relationship of TMT and firm performance, and investigates the impact of CEO on TMT interactions, findings in this study also advance the theoretical implications of the upper echelon perspective. Moreover, competitive dynamics perspective is advanced through the examinations of the effects of human factors on competitive rivalry and the collections of large-scale multi-industry sample with survey method. Implications for business practices and future directions are discussed. Key words: Top management team; competitive aggressiveness; competitive advantage.",Competitive aggressiveness; Social integration; Upper echelons,Dynamics; Human engineering; Industry; Integration; Black boxes; Business practices; Competitive advantage; Competitive aggressiveness; Competitive behavior; Competitive dynamics; Financial performance; Firm Performance; Indirect effects; Negative influence; Organizational outcomes; Research models; Resource-based view; Structural equation modeling; Survey methods; Top management teams; Upper echelons; Competition
Firm-specific innovations and rent appropriation: Tests of contingencies,2006,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889709248&partnerID=40&md5=2b91c3d7995832fb47b90e780347af9b,"Should firms commit in developing firm-specific innovations-innovations that are valued higher inside a firm than in the market? Departing from the existing innovation literature, this paper argues that firmspecificity in innovations may function as an effective isolating mechanism that helps firms better appropriate innovation rents. However, such an advantage may turn out to be a liability when the operational environment is fast-changing. Moreover, firms that have high levels of firm-specificity in their innovations but conduct their innovative activities in diverse technological areas are likely to prevent the potential value erosion of their firm-specific innovations due to environmental changes. Results from patent citation data of U.S. manufacturing firms support these key arguments.",Firm-specificity; Innovation; RBV,Industry; Innovation; Environmental change; Firm-specificity; Innovation rents; Innovative activities; Manufacturing firms; Operational environments; Patent citation; Potential values; RBV; Patents and inventions
For better or worse? Mergers and status outcomes in the investment banking industry,2006,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858681594&partnerID=40&md5=d9e7b267a50e8771bd924ebbc8dcca11,"Previous studies of status dynamics show that firm performance and social factors, such as affiliations, are associated with changes in status. Inter-firm affiliations exhibit status transfer from the higher status to the lower status party; because this exchange is unavoidable industry affiliations are often characterized by status homophily. Prior research has focused on affiliations in which both firms continue to maintain independent identities in the marketplace. Relationships which constitute a combination of actors have been largely overlooked. This study explores status dynamics in the context of firm combinations, specifically intra-industry mergers. These relationships are complex because they require the integration of two distinct firms. A framework for evaluating the status outcomes of mergers is developed. Outcomes are defined along three dimensions-how the status of the post-merger firm compares to that of a given focal firm, its merger partner and the expected status outcome. Status outcomes for focal firms are hypothesized to be dependent on the firm's status position relative to its merger partner, the degree of status homophily between firms, and the firms' total status. Hypotheses are empirically tested using data from the investment banking industry during the years 1980-2000. Results provide evidence of status transfer between firms. However, unlike previous findings, status homophily is associated with worse status outcomes than is status dissimilarity between merger partners. Dyads characterized by high total status also have a negative impact on status outcomes for focal firms. These results are explained by the challenges of integration which are unique to firm combinations.",Industry networks; Mergers; Status,Dynamics; Merging; Firm Performance; Homophily; Industry networks; Investment banking; Mergers; Social factor; Status; Industry
The MNC as a third space: Rethinking IHRM knowledge through Homi Bhabha,2006,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858694014&partnerID=40&md5=2358ccb7a9a8177b1f9859b3bb572a0c,"In this paper I import insights from the writing of postcolonial scholar, Homi Bhabha, to analyze the body of academic knowledge known as International Human Resources Management (IHRM). Applying Bhabha's understanding of culture, mimicry and agency, the paper first offers a critical reading of IHRM's most fundamental concepts, namely, ""national culture"", "" pluralism"" and ""multi-culturalism"", ""transfer"", and ""cultural sensitivity"", and then attempts to propose an alternative epistemology for an analysis of the MNC as a Bhabhaian third space.",,Fundamental concepts; Human resources management; National cultures
The key role of personal values in decoupling task conflict from relationship conflict,2006,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863391296&partnerID=40&md5=da82f6485b2370fc20e67f064b0c9df6,"Recent research suggests that task and relationship conflict are highly intercorrelated, implying a dilemma such that the associated negative effects of relationship conflict can outweigh the potential benefits of task conflict (e.g., de Dreu & Weingart, 2003). Simons and Peterson (2000) suggest, however, that trust moderates this association so that task and relationship conflict are unrelated in groups with high intragroup trust, arguing that the groups with high intragroup trust can benefit from task conflict (i.e., increased motivation, divergent thinking, and information processing) without the attendant problems of relationship conflict. We argue, and find support from a sample of 90 work teams from Taiwan, that this effect is limited in two ways. The moderating effect of trust is restricted to individuals who value: 1) selfdirection over security (individualists); and/or 2) benevolence and trust over power and achievement (those who value trust for its own sake).",Conflict; Groups; Values,Conflict; Divergent thinkings; Groups; Intra-group; Moderating effect; Peterson; Potential benefits; Relationship conflicts; Task conflicts; Values; Work team; Data processing
Gender and influence across the globe: Cross-cultural gender differences in organizational upward influence,2006,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863362578&partnerID=40&md5=9c2b33d6fd55343aee85ad6553679b1a,"This study investigated cross-national gender differences in attitudes toward strategies of upward influence across 16 diverse countries. We used hierarchical linear modeling to test for significant economic and socio-cultural moderators on these relationships, while controlling for demographic and organizational characteristics. Overall, compared to male managers, female managers had similar views regarding the acceptability of organizationally beneficial behaviors, viewed self-indulgent behaviors as being relatively more acceptable, and viewed destructive behaviors as being relatively less acceptable. While cross-national convergence was found in respect to attitudes towards organizationally beneficial behaviors, cross-national divergence/crossvergence was indicated by the significant moderating effects of societal contextual factors on gender differences in the relative acceptability of self-indulgent and destructive behaviors. Findings are discussed in the context of cross-cultural research, including moral development, as well as implications for the role of female managers in organizational and societal contexts.",Cross-cultural; Gender differences; Upward influence,Management; Managers; Contextual factors; Cross-cultural; Cross-cultural research; Cross-national; Gender differences; Hierarchical linear modeling; Moderating effect; Moral development; Organizational characteristics; Upward influence; Behavioral research
Experience homogeneity or experience heterogeneity? A stepwise approach to acquisition capability development,2006,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858692545&partnerID=40&md5=8cff62ed4da3d59b1b387ee18b357866,"Although organizational learning theory has traditionally argued that experience homogeneity facilitates learning, research has recently started to uncover important learning benefits of experience heterogeneity instead. Pursuing a deeper understanding of how firms can learn to be more effective at doing acquisitions, we argue, drawing on transfer theory, that each has its own distinctive strengths and that both can be beneficial to the development of acquisition capability, though at different stages in the learning process. Unlike most extant research, which lumps all acquisitions together into a single generic category, we distinguish between subcategories of horizontal, related diversified, and vertical acquisitions, each implying a different level of experience heterogeneity. Apart from helping to reconcile the inconsistent results uncovered in the literature so far, these subcategories enable us to formulate and test a dynamic framework of hypotheses that provide insight into the actual process of how firms can best develop acquisition capability. We test this framework using a multi-industry sample of firms over a period of more than three decades and find strong support for it. A key finding is that the experience homogeneity resulting from undertaking horizontal acquisitions can serve as a springboard toward developing a more widely applicable acquisition capability, enabling the firm to subsequently capitalize on the inherent strengths of experience heterogeneity.",Acquisition capability; Experience heterogeneity; Organizational learning,Knowledge management; Acquisition capability; Dynamic framework; Experience heterogeneity; Learning process; Organizational learning; Stepwise approach; Mergers and acquisitions
Welcome to the 2006 AOM annual meeting in Atlanta,2006,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863376173&partnerID=40&md5=0c87b1f7cc9068eeffc832c57aa40d6d,[No abstract available],,Atlanta
Government-oriented corporate public relation strategy in transitional China: A content analysis of three corporate websites,2006,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863376339&partnerID=40&md5=f29cf29afd7412a9eb57670d1177d81e,"This study explores the government-oriented public relation strategies and their utilization in firms of China. The results of the content analysis of website news about PR activities of 76 firms indicate the 7 strategies have been used, including visiting strategy, commonweal strategy, participating strategy, publicity strategy, party-related strategy, propagandizing strategy and media strategy. The first four strategies are further explored with more in-depth content analysis of three famous firms websites from 2000 to 2004 and the results show that firms focus on various PR strategies to develop relationship with government and top managers are major players in government-oriented PR activities. Differences exist among firms with different ownership regarding to the usage of these PR strategies, government levels targeted, issues related and the role played by top managers. This paper provides new explanation on Chinese firms government-oriented PR activities beyond traditional Guanxi± theory.",,Managers; Public relations; Chinese firms; Content analysis; Corporate websites; Websites
The effects of knowledge strategy and international diversity on MNEs' performance after the shock of sep 11 th attacks,2006,"Academy of Management 2006 Annual Meeting: Knowledge, Action and the Public Concern, AOM 2006",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863387237&partnerID=40&md5=558c9223e4dd0150714c0c874241023f,"This paper investigates the effects of knowledge strategy and international diversity on MNEs post-Sep 11 performance. The empirical tests on a sample of 191 US MNEs indicate that the MNEs' pursuing an innovative knowledge strategy have higher levels of financial performance, while MNEs' international diversity is negatively correlated with operational performance but positively correlated with financial performance. A post-hoc analysis suggests that in the special context of post-Sep 11th international business environment, international diversity does not illustrate a curvilinear relationship with MNEs' performance as prior studies have predicted. These results provide evidence of the importance of an innovative knowledge strategy and international diversity for the MNEs' operations and shed new light on MNE practices in the post-Sep 11th international business environment.",International diversity; Knowledge strategy; Sep. 11th terrorist attacks,Empirical test; Financial performance; International business; International diversity; Knowledge strategy; Operational performance; Terrorist attacks
