Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Auditor effectiveness and efficiency in workpaper review: The impact of regulatory focus,2007,"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858380754&partnerID=40&md5=823a30c37c776dd7bf85bead4725b789,"This study investigates the relationship between regulatory focus and auditor efficiency and effectiveness in audit workpaper review tasks. The results of a controlled experiment suggest that auditors with a promotion focus are faster than auditors with a prevention focus in terms of detecting errors in workpapers, whereas auditors with a prevention focus are more accurate than auditors with a promotion focus. In-depth analyses demonstrate that the difficulty level of errors has a moderating effect on the relationship between regulatory focus and auditor efficiency and effectiveness. While auditors with a promotion focus are faster in detecting simple surface, complex surface, and simple contextual errors, they are slower in detecting complex contextual errors than auditors with a prevention focus. In addition, we find that auditors with a prevention focus are more accurate in detecting only complex contextual errors than auditors with a promotion focus and that there are no significant differences in terms of accuracy for the other types of errors. Implications for audit workpaper reviews are discussed.",Audit review; Efficiency and effectiveness; Regulatory focus,Efficiency; Management; Complex surface; Controlled experiment; In-depth analysis; Moderating effect; Regulatory focus; Errors
The influence of consensus decision-making on intergroup trust and reciprocity,2007,"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858419469&partnerID=40&md5=0f2dfa73eac12a19f725025bab3023ef,"Employing a trust game, I examine the impact of the consensus-making process on intergroup trust and reciprocity in a strategic setting, and compare those decisions with ones made by individual decision- makers. Results show that between consensus groups a) psychological trust is lower, b) controlling for psychological trust, behavioral trust is higher, and c) reciprocity is significantly lower. I also compare consensus decisions with those made by autonomous group representatives, who are responsible for their group decisions. Results suggest that that the specific choice of the group decision-making mechanism can make a substantial difference to the decisions in the intergroup exchange.",Group decision-making; Reciprocity; Trust,Behavioral research; Group decision; Group decision-making; Reciprocity; Trust; Trust games; Decision making
Pay dispersion and top management team turnover: Additional evidence,2007,"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858379482&partnerID=40&md5=ba3f831edfc0889003e1d4c61140f6db,"Using a multi-industry longitudinal dataset of executives in publicly held firms, this study further explores the efficiency of tournament models in executive compensation. Specifically, the present study provides additional analyses of the relationship between pay dispersion and top management team (TMT) turnover. Analyses are conducted at both the TMT and individual levels. Results indicate that pay dispersion is associated with increased TMT turnover at both the team and individual levels. Additionally, findings at the individual level suggest that this effect is magnified when pay is lower relative to the market, when TMT members receive lower portions of overall TMT compensation, and when executives have more pay at risk.",Pay dispersion; Top management teams; Turnover,Data sets; Executive compensation; Top management teams; Turnover
Geographic orientation and performance of global versus regional MNEs,2007,"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858408617&partnerID=40&md5=ac906e2c22a796f06140b1aa241cf0f2,"Research on multinational enterprises (MNEs) has been preoccupied with the concept of ""global strategy"" based on the assumption that a global presence is a natural endpoint for internationalizing firms. Recent research, however, has suggested that very few global firms exist and, in fact, those MNEs that orient their business interests towards their home regions experience superior performance. We bridge the gap between these opposing viewpoints on the nature of MNE geographic orientation (i.e., global versus regionally-based MNEs) by examining the drivers that differentiate between these organizational archetypes. We argue that the liability of foreignness creates conditions under which proprietary assets and the managerial resources to deploy those assets affect an MNE's capacity to organize globally versus regionally as well as the suitability of that strategic choice. Using a large data set of MNEs, our results suggest that in low technology industries most firms tend to internationalize regionally and only those firms with a combination of strong marketing assets, extensive international experience, and focused product lines tend to take on a global orientation. MNEs in technology intensive industries, on the other hand, and especially those with the strongest technical assets, are more likely to have a global presence. Firms with a strong fit between marketing assets and geographic orientation tend to perform best.",Global strategy; Internationalization; Regional strategy,Marketing; Global strategies; International experiences; Internationalization; Large data; Managerial resources; Multinational enterprise; Product-lines; Proprietary assets; Regional strategy; Strategic choice; Technical assets; Technology industry; Industry
Motivating learning in the organization: Effects of autonomy support and autonomy orientation,2007,"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863382353&partnerID=40&md5=8d83bd1549e9317b748a41ea28e92ad8,"Integrating the self-determination theory and personal learning theory, this study provides a new perspective on mentoring research by examining the associations among three multilevel motivational predictors: autonomy support of team climate, autonomy support of mentors, and autonomy orientation of protgs and the predictive effects of the three on prots personal learning in work teams. our findings show that all three (are positively related to profgs personal learning, and that the relationship between autonomy support of mentors and profgs' personal learning was moderated by the team-level moderator!0 autonomy support of the team climate. Of the three predictors, the autonomy orientation of protgs played the biggest role in predicting protgs' personal learning. Full and partial mediation effects of personal learning on the relationships between the motivational predictors and organizational citizenship behavior and job involvement were also found.",Autonomy orientation; Autonomy support; Personal learning,Organizational citizenship behaviors; Personal learning; Self-determination theories; Team climate; Work team
Does the community of inquiry framework predict outcomes in online mba courses?,2007,"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858382251&partnerID=40&md5=d75d7774e3e63eaab975d6316034fe08,"While Garrison and colleagues' (2000) Community of Inquiry (CoI) framework has generated substantial interest among online learning researchers, it has yet to be subject to extensive quantitative verification or tested for external validity. Using a sample of students from 55 online MBA courses, the findings of this study suggest strong empirical support for the framework and its ability to predict both perceived learning and delivery medium satisfaction in online management education. The paper concludes with a discussion of potential implications for management education instructors, online management education researchers, and those interested in further study of the CoI framework.",E-learning; MBA; New approaches to E-learning research,Education; Research; Community of inquiry; Management education; MBA; Online learning; Online MBA; Quantitative verification; E-learning
Increasing innovation through identity integration,2007,"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858432962&partnerID=40&md5=fdb2c3b144bcbf076676919cdfc89b57,"Innovation involves bridging existing knowledge systems from different areas. We propose that individuals who can integrate multiple social identities are better at combining knowledge systems associated with each identity, and thus exhibit higher levels of innovation. Three studies, each probing different types of social identities, provide evidence for this proposition. A laboratory experiment showed that Asian American biculturals who perceived their multiple cultural identities as compatible (high Identity Integration or high II) exhibited higher levels of innovation in creating new Asian-American recipes than biculturals who perceived their multiple cultural identities as conflicting (low Identity Integration or low II). A field study of faculty members with two disciplinary affiliations found that those who have high II (i.e., perceived the two disciplines as compatible) had more publications than those with low II. A third study showed that women engineers who have high II (i.e., perceived their gender and professional identities as compatible) were more innovative than those with low II. These findings suggest that the psychological management of multiple identities affects how individuals innovate.",Identity integration; Innovation; Knowledge bridging,Innovation; Cultural identity; Faculty members; Field studies; Knowledge bridging; Knowledge system; Laboratory experiments; Multiple identities; Professional identity; Social identity; Women engineers; Integration
"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",2007,"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874118027&partnerID=40&md5=068fb4a56f72cf90e6ab1f5f511e8332,The proceedings contain 304 papers. The topics discussed include: a life-course examination of women's career and family trajectories; 'entrepreneurialization' of the university: shadows of the US history on the ongoing Mexican reform; a house divided: cooperative and competitive recruitment in vital industries; a feeling for fashion: exploring market sensing in management consultancies; a comparative analysis of training method convergence vs. divergence in East Asia; 'echoes from the past': an exploration of the impact of 'notable people' on leadership learning; an empirical investigation of relationships between servant leadership and work attitudes; a 'doing good' framework for motivation theory and practice; a dramaturgical inquiry into sensemaking and sensegiving processes during an organizational crisis; 'it does not hurt to learn a little history': lessons from the sea-farers; and 'we won't get involved (or will we?) unless we are rewarded': an organizational rewards program.,,
Vertical disintegration and entrepreneurial opportunities: The case of broadcasting,2007,"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858380500&partnerID=40&md5=f31564a94a8446f94673c853b5db0d8f,This paper presents a model of industry evolution that addresses how vertical disintegration emerges and how vertical disintegration provides entrepreneurial opportunities. It does this by redefining the concept of a dominant design as a set of multiple design decisions that include both alternative choices about technology and the definition of sub-problems in terms of independent modules. The degree of openness in the design rules that define the interactions between these modules determines the degree of independence for these modules and thus the level of opportunities for vertical disintegration and entrepreneurs. This paper uses historical analyses of the broadcasting sector to define these vertically disintegrated layers and the rules that determine the interactions between these layers. It uses data on the number of firms and revenues in each layer to show how the emergence of independent modules and vertical disintegration has led to entrepreneurial opportunities for new entrants.,Entrepreneurship; Industry evolution; Opportunity recognition,Degree of independence; Design decisions; Design rules; Dominant design; Entrepreneurial opportunities; Entrepreneurship; Historical analysis; Industry evolution; Opportunity recognition; Sub-problems; Vertical disintegration
Debunking the ideal worker myth: Effects of temporal flexibility & family configuration on engagement,2007,"Academy of Management 2007 Annual Meeting: Doing Well by Doing Good, AOM 2007",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858419112&partnerID=40&md5=fc976ee0bb6255c888da95e420e3287d,"We investigated the interactive affects of temporal flexibility and family configuration on work engagement. In contrast to ideal worker ideologies and depletion perspectives, results based on a survey methodology suggest that single workers are the least engaged in comparison to workers with other family configurations. In addition, our results suggest that episodic flexibility policies are associated with higher levels of work engagement and that the relationship between episodic flexibility and engagement is stronger for single workers. In contrast, daily flexibility policies were not significantly related to work engagement. We discuss the implications of our results for the enrichment perspective, the notion of time in organizations, and the design of temporal flexibility policies.",Engagement; Flexibility policies; Work-family,Engagement; Survey methodology; Work-family; Human resource management
