Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Transformational leadership and turnover: The roles of LMX and organizational commitment,2008,"Academy of Management 2008 Annual Meeting: The Questions We Ask, AOM 2008",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858425909&partnerID=40&md5=fb90b7929f9011f1aba306e8e7118052,"In this study, we developed a social exchange model to explicate the psychological process in which transformational leadership influences followers¡ withdrawal cognitions and their actual turnover over a 1-year period. The model was tested using a sample of 490 full-employees from a large telecommunication company in China. Hierarchical regression results provide support for the hypothesized model whereby transformational leadership influenced followers¡ withdrawal cognitions through the differential mediating effects of leader-member exchange (LMX), organizational commitment. Logistic regression results also support the model of transformational leadership and actual turnover behavior over time. Implications of our model for theory and practice are discussed and future research directions are outlined.",LMX; Transformational leadership; Turnover,Future research directions; Hierarchical regression; LMX; Logistic regressions; Mediating effect; Organizational Commitment; Psychological process; Social exchange; Telecommunication companies; Theory and practice; Transformational leadership; Turnover; Logistics
"Corporate social responsibility, applicants' ethical predispositions and organization attraction",2008,"Academy of Management 2008 Annual Meeting: The Questions We Ask, AOM 2008",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863373088&partnerID=40&md5=ddaefd5a844b4a4816ea25f76554ae60,"This policy-capturing study examines the impact of corporate social responsibility (CSR) on applicant attraction to organizations. In a sample of 201 graduating business students, we found that each aspect of CSR, i.e., economic, legal, and ethical responsibility, had a unique effect on organizational attraction and probability of accepting offer. The participants also combined these three types of information in an interactive configural manner. Applicants with different ethical predispositions were affected by CSR to different extents. Future research needs and practical implications are discussed.",Applicant attraction; Corporate social responsibility; Person-organization fit,Applicant attraction; Corporate social responsibilities (CSR); Ethical responsibility; Person-organization fit; Research needs; Philosophical aspects
Contracting capacity and performance in government: Nonlinear effects and the role of time,2008,"Academy of Management 2008 Annual Meeting: The Questions We Ask, AOM 2008",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863359215&partnerID=40&md5=a62547ec997cd9e5ed68cd64e1bbdca9,"Contracting-out has become a popular strategy in public service delivery, but it remains uncertain whether and how government can ensure contracting performance. As a result, a growing literature starts to emphasize the importance of governments' contracting capacities. Yet very few studies have empirically assessed how contracting capacities relate to contracting performance. This article identifies four types of contracting capacities in terms of agenda setting, contract formulation, contract implementation, and contract evaluation, relating them to three performance dimensions including cost, efficiency, and quality. Drawing from a manager survey, the article shows that the relationships between the capacities and the performance indicators are not always straightforward or linear, and the relationships are complicated by the role of time. The results suggest that contracting capacities have both benefits and costs, and the solutions.",Capacity; Contracting; Time,Benchmarking; Agenda settings; Benefits and costs; Capacity; Contracting; Contracting capacity; Nonlinear effect; Performance dimensions; Performance indicators; Public services; Time; Managers
Family control and stock market reactions to announcements of corporate venturing,2008,"Academy of Management 2008 Annual Meeting: The Questions We Ask, AOM 2008",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863379582&partnerID=40&md5=f6207d37ff724e37b5fe7e109d398000,"This study investigates whether family control affects the stock market reactions of new venturing. We found that with greater family control experienced more negative stock market reactions to venturing announcements. The results further indicated that the divergence of cash flow and voting rights was strongly and negatively correlated with announcement-period abnormal returns. The findings also indicated that institutional ownership had a significantly positive moderating effect suggesting that participation of institutional investors mitigated the negative influence of family control. The conclusions were robust under various measures of family control, and remained valid after controlling other influential factors for stock market reactions to venturing announcements.",,Investments; Abnormal returns; Cash flow; Corporate venturing; Influential factors; Moderating effect; Negative influence; Stock market; Commerce
Institutional and cultural influences on joint venture control: Evidence from China,2008,"Academy of Management 2008 Annual Meeting: The Questions We Ask, AOM 2008",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863385465&partnerID=40&md5=f3d1161be522f73239e6560778cc8f66,"This study examines the effects of institutional and cultural factors on three types of joint venture control C strategic, operational, and informal. Using survey data on joint ventures in China, we found that the multinational partners¡̄ strategic and operational controls were susceptible to government restrictions, state-ownership of local partners, and cultural distance, while informal control was less likely to be affected by those factors. The results also demonstrated that the relationships between multinational partners¡̄ control and their satisfaction with joint ventures were moderated by perceived venture importance and goal incongruence between partners. The findings may provide important implications for the design and implementation of effective joint venture governance.",China; Institutional factors; Joint venture governance,China; Cultural factors; Cultural influences; Informal controls; Institutional factors; Joint venture governance; Joint ventures; Operational control; Survey data
"Legitimacy and private entrepreneurship in China's transitional economy, 1978-1996",2008,"Academy of Management 2008 Annual Meeting: The Questions We Ask, AOM 2008",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863373805&partnerID=40&md5=d43517c922af020ffaaf42a88139330a,"A long-standing insight in social sciences holds that social values affect individuals' entry into entrepreneurship. This paper presents the first systematic empirical examination of how the legitimation of entrepreneurship at societal level dynamically shapes the entrepreneurial entry of individuals from different social strata. Analyzing a nationally representative life history data of the citizens of the People's Republic of China from 1978 to 1996, we find that high-status individuals (cadres and college-educated) are less likely to become private entrepreneurs before the field achieves full-fledged legitimacy, but they are faster in becoming private entrepreneurs as the field becomes more legitimate. We find that the entrepreneurial entry of individuals in regions with local entrepreneurial culture is less influenced by the regulative or cognitive legitimation processes at national level. Moreover, we find that cadres' entry into private entrepreneurship is amplified only by the regulative legitimation process at national level; Junior and senior high school graduates' entry into private entrepreneurship is amplified only by local entrepreneurial culture; college graduates' entry into the field is amplified by both the regulative and cognitive legitimation processes at national level and local entrepreneurial culture. The implications of the findings for entrepreneurship, neoinstitutional theory, and the market transition literature are discussed.",Entrepreneurship; Institution; Legitimacy,College graduates; Empirical examination; Entrepreneurial cultures; Entrepreneurship; High school; Legitimacy; Life history; National level; People's Republic of China; Social values; Transitional economies; Societies and institutions
Beyond transaction efficiency: The effect of knowledge interdependence on firms' R&D scope decisions,2008,"Academy of Management 2008 Annual Meeting: The Questions We Ask, AOM 2008",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863376237&partnerID=40&md5=628f102ffae381ff261df778d08e1156,"Uncertainty has long been understood as a stimulus for firms to manage their boundaries, i.e., to define the scope of their activities. In the extant literature, however, predictions exists that firms would increase or decrease their scope of activities when facing uncertainty. To reconcile these conflicting positions, we propose a model in which the system-level knowledge property interdependence moderates the effect of technological uncertainty on firms' R&D scope decisions. To test our model empirically, we develop a new set of measures for knowledge interdependence and technological uncertainty, and collect 33 years of data (1967-2000) on patenting activity and firm boundary location from the automotive airbag industry. The results of our analysis suggest that firm boundary decisions for knowledge-intensive activities such as R&D tend to be more impacted by considerations of the underlying knowledge structure than transaction efficiency. We discuss the implications of these findings for managerial practice and future research.",Knowledge interdependence; Modularity; Technological uncertainty,Firm boundaries; Knowledge interdependence; Knowledge structures; Managerial practices; Modularity; System levels; Technological uncertainty; Industry
Social network and opportunity recognition: A cultural perspective,2008,"Academy of Management 2008 Annual Meeting: The Questions We Ask, AOM 2008",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863371349&partnerID=40&md5=53d1e8a89e167f4d0ba1a387faee1c25,"Opportunity recognition has become a key concept in the field of entrepreneurship. While social networks have been regarded as critical for opportunity recognition, previous research has been constrained within certain cultural values. We investigated the moderating effect of the individualism-collectivism dimension on the relationship between social networks and opportunity recognition. Data obtained from Taiwan, Japan, and the U.S. supported our hypotheses, specifically, that culture moderates the relationship between tie strength and opportunity recognition. In addition, the results indicate that bridging ties facilitate opportunity recognition regardless of cultural difference or tie strength. The implications of the results and future research directions are discussed.",Individualism-collectivism; Opportunity recognition; Social network,Cultural difference; Cultural value; Future research directions; Individualism-collectivism; Moderating effect; Opportunity recognition; Social Networks; Social networking (online)
Conduits of innovation or imitation? Assessing the effect of alliances on the persistence of profits,2008,"Academy of Management 2008 Annual Meeting: The Questions We Ask, AOM 2008",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889720228&partnerID=40&md5=1f4b13480fad60f722642c635ce2af0d,"There has been growing interest in the determinants of sustainable competitive advantage-profits that are consistently above the average of a given industry for a certain period of time. We contribute to this debate by examining one particular factor that has been neglected in that literature: the extent of which firms engage in alliances with other actors. As it turns out, there are conflicting perspectives on how alliances might affect persistence. On the one hand, alliances provide firms with access to external resources and continuously innovate, thereby leading to increased persistence of competitive advantage. On the other hand, widespread use of alliances may be negatively associated with the ability to protect and develop internal resources. Thus, alliances may become conduits of knowledge leakage and imitation. Based on a sample of firms in the United States, we test these two competing views by observing the persistence of performance (in our case, return on assets) for firms exhibiting competitive advantage (profits above the norm) and disadvantage (profits below the norm). Our results support the positive view of alliances as mechanisms to sustain competitive advantage and escape from competitive disadvantage through improved access to external, valuable resources held by other firms.",Alliance; Competitive advantage; Persistence,Competition; Profitability; Alliance; Competitive advantage; External resources; Internal resources; Persistence; Return on assets; Industry
Disciplined project management: The key to process improvement program success,2008,"Academy of Management 2008 Annual Meeting: The Questions We Ask, AOM 2008",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863349129&partnerID=40&md5=788e173b5ed0aeeb6c98e200a3909000,"This research study is based on the premise that process improvement programs such as Six Sigma, Lean, and Lean Sigma are very important and deserve serious academic research, but that definitional problems make it very difficult to study any specific type of process improvement program. Therefore, this study defines two organizational level program management factors: Strategic Project Selection (SPS) and Disciplined Project Management (DPM). Guided by the internal fit theory, this research empirically examines both the direct effect of SPS and DPM on organizational performance and the impact of the fit between SPS and DPM on organizational performance. Using empirical data collected from 53 plants, this research reveals that at the organization level, SPS partially mediates the relationship between DPM and organizational performance. This insight contributes to both theory development and practice, suggesting that a viable strategy for a process improvement program's success is to focus on DPM in order to enhance SPS and ultimately achieve organizational performance.",Disciplined project management; Quality management; Strategic project selection,Quality management; Research; Work simplification; Academic research; Empirical data; Organizational levels; Organizational performance; Process Improvement; Program management; Project selection; Research studies; Six Sigma; Theory development; Project management
