Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"Employee-organization relationship, psychological ownership and contextual performance: A social exchange perspective",2009,"Academy of Management 2009 Annual Meeting: Green Management Matters, AOM 2009",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858387782&partnerID=40&md5=bd8c384f438041187ff1510be570e874,Data obtained from 254 supervisor-subordinate dyads were used to test a moderated mediation model of the processes linking perceptions of organization-based social exhange and contextual performance. Path analytic tests of the model revealed that the indirect influence of perceptions of organization-based social-exchange on job dedication (but not interpersonal facilitation) through psychological ownership was stronger when procedural justice was higher than when it was lower. The results partially supported the hypothesized moderated mediation model.,Contextual performance; Organization-based social exchange; Psychological ownership,Contextual performance; Procedural justice; Psychological ownership; Social exchange
It is not just what you have but how you present it: How subcategorization affects opera market identies,2009,"Academy of Management 2009 Annual Meeting: Green Management Matters, AOM 2009",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863358804&partnerID=40&md5=b4955217a854de50ceab57407af2b6ca,"This study examines how organizations can shape external perceptions of their market identities by merely changing the ordering of identity-defining features within the product offerings that define their market identities. We argue that organizations can increase or decrease the perception of subcategories and therefore ultimately the appeal of a market identity by deliberately interspersing identity-defining features. Statistical analyses of the seasonal opera repertoires from 79 U.S. opera companies from 1995 to 2005 support for our arguments: The interspersed ordering of operas within a repertoire affects season ticket sales positively, whereas it does not affect single ticket sales.",Categorization; Category; Identity,Categorization; Category; Identity; Product offerings; Subcategorization; Commerce
Harnessing positive mood for team learning facilitation: The role of perceived team feedback,2009,"Academy of Management 2009 Annual Meeting: Green Management Matters, AOM 2009",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858414219&partnerID=40&md5=ce60b2b08c8c21a810b3163e80eb8047,"This study examines the influence of individual team members' positive mood and perceived team feedback on their facilitation of team learning. Results of multilevel analyses using a sample of 186 members from 27 work teams showed that positive mood was positively associated with the team learning facilitation of individual members if they perceived high team feedback, but not if they perceived low team feedback. Further, team-level analyses demonstrated that members' aggregated team learning facilitation was positively related to the supervisor's ratings of team innovation. These results offer new insights into why the contributions of individual members to their team's learning may differ and suggest that, if managed effectively, members' positive mood may be an important resource in facilitating team learning and innovation.",Positive mood; Team feedback; Team learning,Multi-level analysis; Positive mood; Team innovation; Team learning; Team members; Work team
Alternative paths to competitive advantage: A fuzzy set analysis of the origins of large firms,2009,"Academy of Management 2009 Annual Meeting: Green Management Matters, AOM 2009",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858411867&partnerID=40&md5=4f587f8077ae0effd5d06b2c43f5b1eb,"Scholars have documented the importance of national level factors for the competitive success of firms on a global scale. These studies typically identify multiple factors that are behind the competitive advantage of firms in particular national clusters. However, there has been relatively little research identifying whether these factors are all collectively necessary to produce the outcome or whether few of these factors in different combinations are sufficient to generate the shift in competitive advantage. In this paper, we study the evolution of one industry across six countries in which the competitive position of national firms changed considerably during our one hundred year analysis period. Our results show that the unequal distribution of resources may lead to alternative causal pathways to competitive advantage.",Competitive advantage of nations; Fuzzy set; Industry evolution,Competition; Fuzzy sets; Industry; Alternative path; Competitive advantage; Competitive advantage of nations; Competitive position; Competitive success; Global scale; Industry evolution; Multiple factors; National level; Factor analysis
"Leader development, identity, and goal orientation: A study of personal change trajectories",2009,"Academy of Management 2009 Annual Meeting: Green Management Matters, AOM 2009",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858380743&partnerID=40&md5=bc22ce19e3170700dd5abfe1e730df1f,"Leadership development is a topic of widespread interest; however, relatively little is known about the developmental process or factors that might influence it. To address this shortcoming, the personal change trajectories of participants (N = 1315) engaged in team-based action learning projects (k = 205) to promote leader development were estimated using multilevel growth modeling techniques. Evidence was found in support of differences in the initial leadership effectiveness levels across participants as well as differences in the shape or form of their personal trajectories. Based on recent theorizing on leader development (Day, Harrison, & Halpin, 2009), hypotheses were proposed and tested predicting that adopting a leader identity would serve as a within-person, time-varying covariate of leadership effectiveness and that goal orientation would serve as a between-person, cross-level moderator of the personal change trajectories. Results suggested full support for the role of leader identity and partial support for goal orientation, with the most consistent and beneficial effects associated with a high mastery or learning goal orientation.",Goal orientation; Identity; Leader development,Action learning; Beneficial effects; Covariates; Goal orientations; Growth modeling; Identity; Leader development; Leadership development; Learning goals; Time varying; Trajectories
Compensatory legitimation: Naming strategies and the categorical imperative,2009,"Academy of Management 2009 Annual Meeting: Green Management Matters, AOM 2009",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858380621&partnerID=40&md5=98b55fc0fe34cdf88e5c53ad9e5ec016,"This article simultaneously considers two alternative sources of legitimacy which have been studied independently in the literature: category conformity and common naming strategy. I develop the notion of ""compensatory legitimation"" as the mechanism through which organizations employ common naming strategy to overcome the categorical imperative and counter-balance the potential legitimacy loss of category spanning. Using data on the U.S. film industry from 1982 to 2007, this study shows that for film sequels where common naming provides a compensatory legitimatizing tool, rather than imposing economic and social penalties, genre spanning helps reduce audience satiation and leads to higher box office revenue. In addition to the legitimatizing function, organizational name can also be manipulated to a certain extent and meaningful subtitles can be attached to common naming to signal organizational distinctiveness. The results indicate that the signaling effects of text subtitle strategy in the U.S. film industry are significantly larger when accompanied by genre spanning. All results remain solid after a series of robust checks.",Category; Legitimacy; Naming strategies,Alternative source; Box office; Category; Film industry; Legitimacy; Naming strategies
Does task type moderate the effect of feedback sign on motivation and performance?,2009,"Academy of Management 2009 Annual Meeting: Green Management Matters, AOM 2009",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858394491&partnerID=40&md5=5d7d8fab682fd898bf03c33c4561e33e,"Applying regulatory focus theory (Higgins, 1997), we hypothesized that task type, as an antecedent to situational regulatory focus, moderates the effect of feedback sign on motivation and performance. First we pre-tested and established the effects of different tasks on perceived prevention or promotion foci; then we tested the moderating effect of task type on the effects of feedback sign on motivation and performance. The results indicate that individuals working on tasks requiring vigilance and attention to detail increase their self-reported motivation (Study 1) and actual performance (Study 2) more following negative feedback than following positive feedback, whereas the opposite is true for people working on creative tasks. These findings suggest that (a) regulatory focus not only affects performance, but that the performance of different tasks also affects regulatory focus; (b) variability in feedback sign effects can be partially explained by regulatory focus and task type.",Feedback sign; Motivation; Regulatory focus,Motivation; Attention to details; Moderating effect; Motivation and performance; Regulatory focus; Sign-on; Task type; Feedback
Multinationalization in response to reforms,2009,"Academy of Management 2009 Annual Meeting: Green Management Matters, AOM 2009",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858387015&partnerID=40&md5=e37f5236fb4b14ce9164f472a18d7975,"We analyze the impact of structural reforms on the multinationalization strategy of developed, developing, and leastdeveloped country firms. Structural reforms are a form of institutional change whereby a countryâ€™ s institutional framework is realigned to improve governance and facilitate market functioning. We argue that structural reforms help firms become multinationals by reforming institutions that support the international competitiveness and multinationalization of firms. However, we propose that structural reforms have a differential impact on the multinationalization strategy of firms depending on the level of institutional voids in the country. Specifically, we argue that structural reforms have the highest positive impact on the multinationalization strategy of developing-country firms, followed by developed-country firms, and then by least-developed country firms. Structural reforms especially accelerate the multinationalization of developing-country firms by reducing institutional voids that constrain their competitiveness, institutional voids that are not prevalent in developed countries. However, this is not the case for firms from the least-developed countries because countries have to be above a threshold of institutional development for their firms to fully benefit from structural reforms. As such, structural reforms reduce the multinationalization gap between developed and developing-country firms, but increase the gap between least-developed country firms and those from more developed countries.",Developing countries; Multinationalization strategy; Structural reforms,Developing countries; Industry; Societies and institutions; Developed countries; Institutional change; Institutional development; Institutional framework; International competitiveness; Least-developed countries; Multinationalization strategy; Structural reforms; Competition
Differential effects of networking on career mobility,2009,"Academy of Management 2009 Annual Meeting: Green Management Matters, AOM 2009",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858384943&partnerID=40&md5=95e63969f01f9741b1d7edec763539f6,"Do specific networking subcales predict specific mobility events? Prior research has established relations between networking and career outcomes, but has usually studied only a single outcome and has rarely developed theory why some networking subscales, but not others are related to an outcome. In the present study, we suggest that networking subscales differentially predict career mobility. Drawing on networking research as well as on career mobility research, we hypothesize that internal networking predicts intraorganizational promotions and external networking predicts organizational change. We use a prospective, longitudinal research design (N = 166 employed individuals) to examine these assumptions. We measure networking with a multifaceted questionnaire (internal vs. external networking and building vs. maintaining vs. using contacts) and assess participants' first career mobility event in the subsequent twoyear period (i.e., getting promoted vs. changing organization vs. staying in the same job). Multinomial logistic regression analyses show that internal networking predicts getting promoted as well as organizational change, whereas external networking only predicts organizational change. Moreover internal networking subscales show a distinct relation with the timing of promotions suggesting that using contacts predicts temporally proximal promotions whereas building and maintaining contacts predict more distal promotion events.",Career mobility; Networking; Social capital,Forecasting; Management; Regression analysis; Differential effect; Longitudinal research; Mobility research; Multinomial logistic regression; Networking; Organizational change; Social capitals; Research
Entrepreneurial orientation and firm performance: The role of the senior team,2009,"Academy of Management 2009 Annual Meeting: Green Management Matters, AOM 2009",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858384942&partnerID=40&md5=3f1679cd1b5424bed7bfe6317d160869,"Prior studies have argued that entrepreneurial orientation plays an important role in explaining firm performance. Using lagged data from 346 firms, our study investigates how senior team attributes moderate the relationship between entrepreneurial orientation and firm performance. In addition, we assess the impact of the upper echelon attributes with respect to the level of environmental dynamism. Diversity positively moderates the relationship between entrepreneurial orientation and firm performance. However, this effect is dampened in dynamic environments. In contrast, the positive moderating effect of shared vision on the relationship between entrepreneurial orientation and firm performance exists only in dynamic environments.",Entrepreneurial orientation; Firm performance; Senior teams,Dynamic environments; Entrepreneurial orientation; Firm Performance; Moderating effect; Senior teams; Shared vision; Industry
