Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"Organizational slack, entrepreneurial orientation and product innovativeness: Evidence from China",2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863347233&partnerID=40&md5=944fc94784992c5edc58302f017d5e2a,"We use dynamic capability theory to examine the influence of EO on the relationship between slacks and product innovativeness, highlighting how this relationship might differ depending on the nature of the slack and the level of firm''s EO. In doing so, we extend the scope of dynamic capability theory by examining the moderating effect of EO on the slack 'C product innovativeness linkage. Using a sample of Chinese firms in high-technology sectors, we find that unabsorbed slack has a stronger positive relationship with product innovativeness than that absorbed slack has. Furthermore, EO positively moderates the relationship between unabsorbed slack and product innovativeness, whereas EO negatively moderates the relationship between absorbed slack and product innovativeness. Theoretical and empirical implications are also provided for shedding contributions in this interesting research area.",Entrepreneurial orientation; Organizational slack; Product innovativeness,Industry; Chinese firms; Dynamic capabilities; Entrepreneurial orientation; High-technology; Innovativeness; Moderating effect; Organizational slack; Research areas; Research
The entrepreneur's mode of entry: Business takeover or new venture start?,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858627266&partnerID=40&md5=ab33295dfcf6be0322b17dfd28ef3f97,"We extend the well-known occupational choice model of entrepreneurship by analyzing the mode of entry. Individuals can become entrepreneurs by taking over established businesses or starting up new ventures from scratch. We argue that the new venture creation mode is associated with higher levels of schooling whereas managerial experience, new venture start-up capital requirements and industry-level risk promote the takeover mode. A sample of data on entrepreneurs from the Netherlands provides broad support for these hypotheses, and also bear out a prediction that entrepreneurs whose parents run a family fi'rm tend to invest the least in schooling. We go on to discuss the implications for researchers, entrepreneurs and public policy-makers.",Business startup; Business takeover; Human capital,Business start-ups; Capital requirements; Human capitals; Managerial experiences; Netherlands; New venture creation; New ventures; Occupational choice; Policy makers; Start-ups; Research
Is it better to receive than to give? Empathy in the conflict-distress relationship,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858680132&partnerID=40&md5=369c116c70ff919ec999b2eaa45bb315,"The moderating effect of partner empathy on the relationship between both directions of workfamily conflict (work-to-family and family'to-work) and psychological distress of both the job incumbent and partner are examined in this study. Considering empathy as a specific dimension of emotional social support, we hypothesized that receiving empathy would buffer negative spillover to the job incumbent while giving empathy would exacerbate negative crossover to the partner. A study of 270 job incumbents and their partners revealed that receiving partner empathy fully buffered spillover effects due to family-to-work conflict but had no effects with work-to-family conflict. Interestingly we also found that giving partner empathy buffered the crossover effects on family-to-work conflict and had no effects with work-to-family conflict. Implications of these findings and avenues for future research are discussed.",Distress; Empathy; Work-family conflict,Crossover effects; Distress; Empathy; Moderating effect; Social support; Spillover effects; Work-family conflict; Research
r WG is not enough: Detecting subgroup disagreement,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858640758&partnerID=40&md5=aca7051552ab539dd6801a85bcb30ef8,"Within-group agreement is traditionally measured with the rWG family of indices. These variance-based indices can detect the absence of consensus, but are not designed to detect when the members of a group have split into two or more disagreeing subgroups. This article introduces and reviews four subgroup disagreement tests that can detect this pattern of disagreement: (1) the visual inspection test, (2) the mixture modeling test, (3) Silverman's multimodality test, and (4) the dip test. A subgroup disagreement test should be used whenever researchers calculate the level of agreement within a group.",Multilevel; RWG; Within-group agreement,Management science; Research; Dip tests; Mixture modeling; Multi-modality; Multilevel; RWG; Visual inspection; Testing
Nursing home financial performance: The role of ownership and chain affiliation,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863373083&partnerID=40&md5=87b89c79b509c90ea82e2f7672c7dd51,"Using longitudinal data for a national sample of nursing homes for the period of 1999- 2004, this study examined the effects of ownership (for-profit status) and chain affiliation on financial performance. Data included the Medicare Cost Reports, the On-line Survey Certification of Automated Records (OSCAR), and the Area Resource File (ARF). The dependent variable consisted of financial performance tier based on operating and total margins: low (bottom 10%), medium (middle 80%), and high (top 10%). Independent variables included four ownership/chain affiliation combinations: for-profit chain, for-profit independent, not-for-profit chain, not-for-profit independent. Control variables consisted of size, payer mix, occupancy rate, case mix, Herfindahl Index, excess capacity, hospital-based nursing home beds, metropolitan area, percent of population over 65, and per capita income. Ordered logit regression results show that for-profit nursing homes had better operating margins than not-for-profit homes, but the latter outperformed for-profit homes among independents with respect to total margins. Independent (non-chain) nursing homes outperformed chain affiliated homes regardless of financial performance measure or ownership type.",Chain; Financial performance; Nursing homes,Chains; Finance; Health insurance; Profitability; Control variable; Dependent variables; Excess capacity; Financial performance; Independent variables; Longitudinal data; Metropolitan area; Nursing homes; Occupancy rate; Online surveys; Operating margins; Ownership type; Per capita income; Resource files; Hospitals
The spatial and temporal dynamics of entrepreneurial activity: New firm creation in Korea,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858692525&partnerID=40&md5=c7fa120564766081f0afa5885408c631,"While the analysis of temporal dependency is well-established, in entrepreneurship research the issue of spatial heterogeneity ' how not just the phenomena of interest (e.g., new firm formation) but also the relationships of interest (e.g., the predictors of start-up activity) differ from region to region ' has neither been extensively discussed nor subject to significant methodological evolution. In this paper we respond to the challenge to engage seriously with the issue of spatial dependence in entrepreneurship research, and with the need to develop new approaches to the analysis of this dependence, through the analysis of both temporal and spatial dependence in new firm creation. An application of the combined serial and spatial dynamic panel regression with system generalized method of moments (GMM) estimator to study of a new regional data set on the formation of new manufacturing firms in Korea over the period of 2000-2004 indicates that new firm creation is serially and spatially correlated, which highlights the significance of temporal and spatial dynamics in entrepreneurship activity.",Korea; New firm creation; Spatial dynamic panel,Research; Data sets; Entrepreneurial activity; Generalized method of moments; Korea; Manufacturing firms; New firm creation; Spatial dependence; Spatial dynamics; Spatial heterogeneity; Start-ups; Temporal and spatial dynamics; Temporal dynamics; Industry
Identification through socialization: Evidence from a Korean company's newcomer training program,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858690982&partnerID=40&md5=97ff5f30242f07151d174a649a0d8ec1,"Using multi-methods, this paper explores the process of organizational identification in an early socialization context, a newcomer training program in a Korean company. Interviews with trainers showed that the organization uses institutionalized socialization tactics that seek to impose an organizationally espoused identity on newcomers, thereby imbuing organizational identification. Interviews with trainees showed that an individual's organizational identification is generated through a twofold process'cognitive path and affective path. Subsequent quantitative analysis with longitudinal survey data from trainees confirmed this process of organizational identification. It also revealed that mentor identification, overlapping both paths, plays a significant role in increasing organizational identification, but this is not necessarily true for team identification.",Korea; Organizational identification; Organizational socialization,Industry; Social sciences; Korea; Multi methods; Organizational identifications; Organizational socialization; Survey data; Team identification; Training program; Personnel training
"The ""live-case"" intervention method: Leadership skills through experiential learning",2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858691036&partnerID=40&md5=935f1aa251da480e95b2d1bb4bd3861b,"This paper describes a pedagogical technique that has been used successfully for over 35 years as a capstone experience in selected Executive MBA programs: the live-case intervention. This method consists of a CEO bringing to the classroom a strategic issue that he/she is currently struggling with and having a team of students address the strategic challenge real-time together with the CEO. The technique builds on the organization development and change framework presented by Coghlan and Rashford (2006) which provides a blueprint for the student team to tackle the issue in class through a question-and-answer format. The ensuing dialogue and analysis becomes a living example of how the CEO thinks and makes decisions for the benefit of the whole class. We describe the live case intervention in detail, examine process considerations, and discuss its advantages and limitations. We argue that the resulting active participation in the CEO's thought process as he/she seeks to solve a significant problem, i.e., the opportunity to 'see the wheels turning' and follow all streams of thought (including those with a dead end), is of the upmost importance in developing the tacit knowledge that is so valuable for senior executives. We further argue that a by-product of participation in several of these live case interventions is an expanded ability to engage in systemic thinking and to bridge theory and application in an open way. We also report anecdotal evidence that both students and CEOs who have gone through this process have benefitted substantially.",Experiential learning; Life case; Management education,Students; Anecdotal evidences; Bridge theories; Capstone experience; Experiential learning; Intervention methods; Leadership skills; Management education; Organization development; Pedagogical technique; Strategic challenges; Strategic issues; Student teams; Systemic thinking; Tacit knowledge; Thought process; Teaching
National institutional differences and performance of international venture capital syndicates,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863376996&partnerID=40&md5=b828701e6af6a025222b5b9a1196bbf3,"The VC industry represents a context where global convergence of industry practices and professional culture has occurred. Thus the industry provides a unique opportunity to study the role of cross national institutional differences on the performance of international business in a globalizing economy. We investigate whether and how cross national institutional differences affect the performance of international VC syndicates and the roles that international experience plays in attenuating the impacts of such differences. We argue that differences in national informal and formal institutions are reflected in value systems, standard operating procedures, contingency response patterns, and in the ways of perceiving, communicating, and relating. Such differences are likely to increase transaction costs and conflict, reduce the effectiveness of collaboration among syndicate partners, and amplify the liability of foreignness in relations with the investee. Some cross national differences, however, also represent opportunities permitting the exploitation of complementarities. We also argue that while international experience may close the gaps in formal institutional differences, which are reflected more strongly in practices, it is less likely to close the gaps in cultural differences, which are reflected more strongly in values. Based on over 11,000 international venture capital investments between 1990 and 2008, we find strong empirical evidence to support our theoretical arguments. We discuss the implications of our study for theory and practice.",Institutional differences; Syndication; Venture capital,Industry; Investments; Cross-national; Cultural difference; Empirical evidence; Global convergence; Industry practices; Institutional differences; International business; International experiences; International ventures; Response patterns; Standard operating procedures; Syndication; Theoretical arguments; Theory and practice; Transaction cost; Value systems; Venture Capital; Societies and institutions
Feeling known: A multi-level examination of perceived expertise affirmation in work teams,2010,"Academy of Management 2010 Annual Meeting - Dare to Care: Passion and Compassion in Management Practice and Research, AOM 2010",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858636137&partnerID=40&md5=92f42c7edb7d3ae8314bed648118e078,"In this study we develop and test a multi-level model with antecedents and consequences of perceived expertise affirmation - i.e. team members' belief that their fellow members are aware of their own expertise. We collected multisource data from 400 white collar workers and their supervisors in 86 organizational teams. Results show that educational background similarity and team members' relative expertise predict the development of perceived expertise affirmation within teams. Team longevity and team size explain differences between teams in their levels of perceived expertise affirmation. Moreover, we show that, at the individual level, perceived expertise affirmation is positively related to supervisor-rated individual performance. At the team level, perceived expertise affirmation is also positively related to supervisor-rated team performance, but only in teams with a shared mental model of 'who knows what'.",Expertise; Interpersonal perception; Teams,Expertise; Individual performance; Multi-level; Multilevel model; Multisource data; Shared mental model; Team members; Team performance; Team size; Teams; Work team; Supervisory personnel
