Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Welcome to the AOM 2011 annual meeting,2011,"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863380319&partnerID=40&md5=5b47fea1564f5c641a214c26003e60c5,[No abstract available],,
"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",2011,"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874112250&partnerID=40&md5=1c33ec79572e1f7b03de89a5ed823027,"The proceedings contain 258 papers. The topics discussed include: the origins of the white leadership prototype: the role of exposure to western culture; stereotypes in intercultural negotiation: change in observer perception across negotiation stages; the effects of status and ideological beliefs on judgments of academic credibility; regulatory uncertainty and environmental management: an emerging economies perspective; green innovation adoption of Taiwanese FDI in china; cross-border alliances for environmental improvements; purposeful creation of disruptive technologies for emerging markets; knowledge transfer and location specificity of parent-firm knowledge; inter-temporal effects through learning: the indigenous perspective from Japan; HeXie model for the Chinese indigenous leadership research; synchronizing western and Indian leadership concepts from the teachings of Kautilya; and convergence, divergence, and cross-vergence.",,
Welcome to San Antonio,2011,"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874115190&partnerID=40&md5=1203925cec4cce4ccf3c1190b9fb7fdd,[No abstract available],,San Antonio
Building foundations for leaders' development through the personalization of management learning,2011,"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184647133&doi=10.5465%2fambpp.2011.65869918&partnerID=40&md5=2c7df3a5b472ae6ca83473553f544577,"This paper examines the process through which management students develop personal foundations (such as self-awareness, self-management, and a grounding life narrative) for the ongoing development and practice of leadership. We conducted an inductive, qualitative study of the Personal Development Elective, an innovative offering within the curriculum of an international MBA, which gives participants the opportunity to work with a psychotherapist during the course. Our findings suggest that the interplay between student's work in the PDE and their overall MBA experience fosters a process of personalization of management learning. This process allows management education to provide a solid foundation for leader development by transforming potentially regressive MBA experiences into rich material for participants' personal learning, experimentation, and growth.",Leader development; Personal development; Qualitative research,Research and development management; Students; Building foundations; Leader development; Life narratives; Management education; Personal development; Personalizations; Qualitative research; Qualitative study; Self awareness; Self management; Curricula
Strategy in practice: Re-categorising tour guides as strategists,2011,"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184629704&doi=10.5465%2fambpp.2011.65869673&partnerID=40&md5=5781a1ead3c34b257b5fe415ffeadad5,"Tour guides are often believed to have an exceptionally simple role, leading an audience around a building and pointing artefacts out according to a script. However, this paper shows how their work pertains to organisational strategy in two significant ways; they can be seen to be acting in ways which reflect and reiterate the organisational strategy of audience engagement. Audience engagement is increasingly used as a criterion upon which museums are awarded funding and as such, guides deploy an organisation's strategic aims through their moment-by-moment actions as they try to engage such audiences. They must overcome significant obstacles and challenges which unfold over the course of the tour in order to engage the audience. In such light, in keeping with the 'workplace studies' turn in Strategy-as-Practice (Samra-Fredericks, 2010), we can see them as strategic actors. Because of the lack of understanding of the work of guides, as well as an ongoing tendency to see strategy as something that only happens at the most senior of organisational levels, this paper has contributions to make in showing the truly skilled nature of the work of the guide and demonstrating how these skilled workers present an example of those engaged in a form of strategising whether they know it or not.",Conversation analysis; Strategy in practice; Tour guides,Conversation analysis; Fundings; Organizational levels; Organizational strategy; Simple++; Skilled workers; Strategy as practices; Strategy in practice; Tour guide; Workplace studies
"Corporate diversification, bureaucratic costs and likelihood of bankruptcy",2011,"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184626830&doi=10.5465%2fambpp.2011.65869742&partnerID=40&md5=46e13eb377004bf0cbe87a71a593dcc2,"Based on a sample of 858 observations, we show that there is a significant difference between the bureaucratic costs incurred by bankrupt and non-bankrupt firms. Further, our results from matched-pair sample logistic regression models suggest that likelihood of a firm going bankrupt significantly increases as its bureaucratic costs increase. These results suggest that strategy implementation is perhaps more important than the corporate strategy a firm chooses, i.e., if a firm incurs bureaucratic costs that are higher than the synergistic benefits it derives from its diversification profile, its performance is likely to be suboptimal and prone to failure.",Bankruptcy; Bureaucratic costs; Diversification,Regression analysis; Bankruptcy; Bureaucratic costs; Corporate diversification; Corporate strategies; Cost-increases; Diversification; Logistic Regression modeling; Performance; Strategy implementations; Costs
Striking a balance: The impact of balanced versus imbalanced subgroups on work team performance,2011,"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009424233&doi=10.5464%2fAMBPP.2011.248.a&partnerID=40&md5=a94b1e3886b961a66dbaaf2236ca7d79,"A longstanding controversy in research on work teams is whether teams are better off with a balanced configuration of subgroups in which there are no majorities and minorities, or an imbalanced configuration of subgroups in which majorities and minorities are both present. In a study of 326 work teams, we predict and find that the impact of majorities and minorities depends on the type of subgroup under consideration. Teams performed better when identity-based subgroups were imbalanced and knowledge-based subgroups were balanced.",Diversity/demography; Social identity; Work teams,Balanced configurations; Diversity/demography; Identity-based; Social identity; Work team; Knowledge based systems
When people agree whilst disagreeing: Implicit and explicit mental models in group cognition,2011,"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009432133&doi=10.5464%2fAMBPP.2011.168.a&partnerID=40&md5=38f2c41c1f18a713dc81ffa439760c7f,"Cognitive diversity and the related notion of shared cognition are two of the most influential concepts in research on group processes and performance. In this article, we develop a more nuanced view of cognitive diversity/sharedness that distinguishes between cognitions held at implicit and explicit levels. The central argument is that because individuals posses independent implicit and explicit beliefs relating to a task, group members can hold similar explicit mental models while simultaneously possessing dissimilar implicit representations. Drawing on a contemporary dual system view of cognition, we theorize the consequences for group process and performance when: (i) members hold similar explicit mental models but dissimilar implicit beliefs (illusory concordance), and (ii) when members hold similar implicit beliefs but divergent explicit mental models (surface discordance). The analysis yields various propositions concerning the effects of illusory concordance and surface discordance on group decision making (i.e. alternative generation, group consensus, and commitment to choices) and group coordination (i.e. cohesion and interdependence in task performance). We discuss the implications of our analysis for measuring shared cognition in organizations and developing cognitive heterogeneity/ homogeneity in work groups and teams and outline potential directions for future research on the interaction among implicit and explicit cognition.",Dual-system; Group; Shared mental model,Alternative generation; Cognitive diversity; Dual-system; Group; Group coordination; Group Decision Making; Group members; Group process; Implicit representation; Mental model; Shared cognition; Shared mental model; Task performance; Workgroups
"Bonds and boundaries: Network structure, organizational boundaries, and job performance",2011,"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009431680&doi=10.5464%2fAMBPP.2011.119.a&partnerID=40&md5=a9b67e702a5d3ff1caa6715edef28fd7,"We disentangle the links between network structures and job performance in two ways. First, we consider a multi-dimensional view of job performance, breaking it down into creativity, decision-making, task execution, and teamwork. Second, we distinguish the effect of structural holes within and across the organizational boundary on job performances. We find that a larger number of structural holes across the organizational boundary had a positive association with creativity and decision-making, whereas a small number of structural holes within the organization had a positive association with task execution and teamwork. We discuss the theoretical implications for integrating the boundary spanning and network structure literatures, as well as the practical implications for giving much more precise advice to managers and employees regarding how to use networks to improve performance at work.",Job performance; Organizational boundaries; Social networks,Decision making; Job performance; Multi-dimensional view; Network structures; Organizational boundaries; Social Networks; Structural holes; Task executions; Human resource management
"The value of a corporate, workplace & social reputation to potential executive employees",2011,"Academy of Management 2011 Annual Meeting - West Meets East: Enlightening. Balancing. Transcending, AOM 2011",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184637299&doi=10.5465%2fambpp.2011.65869497&partnerID=40&md5=d94498486c2f78ca2c45943e2032b1cd,"It has been readily accepted that prospective employees, including MBA students seeking jobs after graduation, put great stock in a potential employer's reputation - particularly that relating to its social responsibility and workplace practices. However, other than potentially biased results from self-report surveys we have little information as to whether or not job seekers would actually tradeoff salary and other utilitarian aspects of a job contract to work at firms with supposed greater reputational standing. In the present study we use a structured experimental approach to determine the extent to which the facets of reputation - corporate, social and workplace - drive job contract choice. We discover that while some aspects of corporate and workplace reputation matter marginally, MBA job seekers appear to put little value on social reputation. Even in the specific cases where we can discern individuals who do value social reputation, this is unrelated to their stated preferences revealed using standard survey methods. The implication is that firms seeking to entice potential executives should focus on utilitarian aspects of the employment contract that may impact their reputation rather than attempting to manipulate that reputation directly.",Job choice; Reputation; Social responsibility,Wages; Corporates; Experimental approaches; Job choice; Job seekers; Prospectives; Reputation; Social responsibilities; Stated preferences; Utilitarian aspects; Workplace practices; Surveys
