Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
An exploration of the cognitive factors involved in learning from failure,2013,"Academy of Management 2013 Annual Meeting, AOM 2013",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026242170&doi=10.5465%2fAMBPP.2013.231&partnerID=40&md5=4eda2724e47ccf99e7a6068318867105,[No abstract available],,
The impact of weather on imitation: A grounded cognition perspective,2013,"Academy of Management 2013 Annual Meeting, AOM 2013",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026245283&doi=10.5465%2fAMBPP.2013.135&partnerID=40&md5=bc8e69cdb362d1a79da5c06f3265a387,"This study argues that ambient environment influences imitation and moderates how individuals use another's characteristics in deciding imitation by eliciting a particular kind of cognitive processing, either heuristic or analytical. Using weather as the ambient environment, and the earnings forecasts of financial analysts as the task, hypotheses were generally supported.",,Ambient environment; Cognitive processing; Earnings forecast; Financial analysts
Principal-principal agency problem and shareholder activism: The rise of minority shareholder movement in Korea 2001-2008,2013,"Academy of Management 2013 Annual Meeting, AOM 2013",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026244074&doi=10.5465%2fAMBPP.2013.7&partnerID=40&md5=645d479f8c7c93d192464aee80e2d44e,"Drawing from the social movement perspective of corporate governance, we explore the dynamics of agency conflict between controlling and minority shareholders. We argue that business group owners tunnel resources from publicly traded firms to affiliated firms for their personal benefit. In response, we show how minority shareholder activism reduces tunneling.",,Business groups; Corporate governance; Principal agencies; Shareholder activisms; Social movements; Shareholders
What happens when the honeymoon is over? the limited effect of impression management following controversial disruptions,2013,"Academy of Management 2013 Annual Meeting, AOM 2013",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026266387&doi=10.5465%2fAMBPP.2013.158&partnerID=40&md5=246ff02b6c1dafe14f3fd354eb33e4ed,[No abstract available],,
Effect of highly-innovative work practices and employee knowledge innovation on organizational innovation performance: A multilevel perspective,2013,"Academy of Management 2013 Annual Meeting, AOM 2013",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026242335&doi=10.5465%2fAMBPP.2013.39&partnerID=40&md5=3ff3e9c51cde7f50ae764316ca55e123,"In recent years, many studies of organizational innovation have focused on how to improve organizational innovation performance, such as by examining external and internal factors affecting organizational innovation performance. This study analyzes the relationship between highly-innovative work practices, employee knowledge innovation behavior, and organizational innovation performance.",,Behavioral research; Knowledge management; Internal factors; Knowledge innovation; Organizational innovation; Work practices; Innovation
Digital accommodation during corporate acquisitions,2013,"Academy of Management 2013 Annual Meeting, AOM 2013",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026259848&doi=10.5465%2fAMBPP.2013.152&partnerID=40&md5=a6b269d61cc4faa1e35d43282b8f2e08,[No abstract available],,
How entrepreneurs become strategic cultural operators,2013,"Academy of Management 2013 Annual Meeting, AOM 2013",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026254279&doi=10.5465%2fAMBPP.2013.78&partnerID=40&md5=8bc6c7e5e597c2625688ca0ff8e48ba3,[No abstract available],,
The diffusion of contested practices across environments: Social movements' boundary-bridging role,2013,"Academy of Management 2013 Annual Meeting, AOM 2013",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026255923&doi=10.5465%2fAMBPP.2013.193&partnerID=40&md5=163de6a7d13db3ba9d0d1cf58d05e1e3,[No abstract available],,
Moral cleansing as global self-worth maintenance,2013,"Academy of Management 2013 Annual Meeting, AOM 2013",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026273862&doi=10.5465%2fAMBPP.2013.162&partnerID=40&md5=aa93d3892b6a34a1754abe35b290750c,[No abstract available],,
Privacy and freedom: An economic (re-)evaluation of privacy,2013,"Academy of Management 2013 Annual Meeting, AOM 2013",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026269888&doi=10.5465%2fAMBPP.2013.131&partnerID=40&md5=bf0bea6beb55b2f4100f54e84ddc2c42,"We re-evaluate privacy from the perspective of economic liberalism. Privacy is conceived as a specific form of freedom. Freedom cannot be 'self-defeating,' i.e. people are not free to give up their freedom. This idea extends to privacy and implies criteria to rule out restrictions on privacy.",,Privacy and freedoms
