"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"ORGANIZATIONAL EXPERIENCE AND PERFORMANCE: A SYSTEMATIC REVIEW AND CONTINGENCY FRAMEWORK","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166545929&doi=10.5465%2fannals.2021.0073&partnerID=40&md5=025d02406b77e6b58ff401b218fa402d","Organizational experience is generally expected to have a positive effect on subsequent task performance. However, research over the past two decades has recognized an increas-ing number of circumstances in which the performance effects of experience are less clear or even negative. Given the inconclusive evidence on the nature of the experience– performance relationship, we conduct a systematic review and synthesize previously unconnected streams of literature on the organizational experience–performance relationship into a contingency framework on how the applicability, accessibility, and adoption of experiential knowledge jointly moderate the commonly assumed positive effect of organizational experience on performance in a focal task. Based on our integrative contingency framework, we identify important gaps in our understanding of these boundary conditions and develop a research agenda to expand our understanding of organizational experience effects on organizational performance. © Academy of Management Annals.","",""
"The effects of mandatory and voluntary regulatory pressures on firms’ environmental strategies: A review and recommendations for future research","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078258942&doi=10.5465%2fannals.2018.0014&partnerID=40&md5=ae5ce3b14e70362b12cc895c97e169c3","This article presents an in-depth review of scholarship on how mandatory and voluntary regulatory pressures on firms affect their environmental strategies and performance. Although mandatory regulation typically has a strong and positive influence on firms’ environmental performance, studies of the effects of voluntary pressures demonstrate that by themselves they are unlikely to bring about significant improvement in environmental outcomes. Accordingly, future research should focus on the complementary impacts of mandatory and voluntary programs on organizations’ environmental strategies and performance rather than analyzing their separate influence. Scholars should examine i) more than a single environmental pressure at a given time, ii) more than one response to the regulatory context, iii) the synergy between mandatory and voluntary pressures, iv) the impact of imperfect enforcement, and v) the political influence corporations exert on the mandatory and voluntary pressures that affect them. This essay argues that managers react to environmental regulations in different ways depending on how they understand the multiple pressures that they confront and their opportunities to influence the outcomes. © Academy of Management Annals.","",""
"THE CROWD BEYOND FUNDERS: AN INTEGRATIVE REVIEW OF AND RESEARCH AGENDA FOR CROWDFUNDING","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183931672&doi=10.5465%2fannals.2022.0064&partnerID=40&md5=0e5bfa7e6b1cd3a34bb37be738f1b36e","Crowdfunding, or soliciting small contributions from large and dispersed crowds through online platforms, is an increasingly indispensable strategy for established firms, young ventures, and aspiring entrepreneurs alike. Synthesizing research in the fields of management, entrepreneurship, innovation, operations, information systems, and marketing, we conduct an integrative review of the crowdfunding research accumulated over the past decade. We aim to break down disciplinary silos to develop a framework that integrates insights across research communities. We identify three underlying dimensions that differentiate extant research: the goal of the campaigner, the role of the crowd, and the boundary of the crowdfunding event. Scholars have brought two perspectives to bear on these questions: an elemental perspective and a processual perspective. We outline an integrative model that takes account of crowdfunding as a process involving heterogeneous participants with idiosyncratic monetary and nonmonetary goals at different stages. Our multidisciplinary review of this expanding body of literature not only integrates dispersed insights but also, more importantly, stimulates a future research agenda that goes beyond the traditional boundaries of crowdfunding research. © of the Academy of Management, all rights reserved.","",""
"Entrepreneurial network evolution: Explicating the structural localism and agentic network change distinction","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090664207&doi=10.5465%2fannals.2018.0063&partnerID=40&md5=feb0e7940e42425d77fa489e29d5a982","Literature has long highlighted that entrepreneurs benefit from having the right network connections. We observe, however, that although the large and growing literature on entrepreneur network evolution shares a common focus around the formation and dissolution of entrepreneurs’ interdependent, socially embedded relationships, this literature is fragmented and does not always use the explicit language of network theory. We conduct an integrative review to put forth a typology of five core drivers of entrepreneur network evolution. A core insight of our review is that most entrepreneurial network research emphasizes an overarching pattern that suggests substantial path-dependence, with new ties often being local to entrepreneurs’ existing network, hier-archical, and geographic positions. We label this perspective structural localism. By contrast, more recent, emerging research on entrepreneurial action in forming inter-organizational relationships, much of which does not use the language of network theory (e.g., ties and networks), suggests a more dynamic and path-creating pattern. We label this perspective agentic network change. After explicating the distinct theoretical foundations and behavioral assumptions of each perspective, we sketch a research agenda for better balancing our understanding of the two and how they intertwine. © Academy of Management Annals.","",""
"THE DARK SIDE OF STRONG IDENTIFICATION IN ORGANIZATIONS: A CONCEPTUAL REVIEW","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135483026&doi=10.5465%2fannals.2020.0338&partnerID=40&md5=f81d10ec77969316c9ff9eff1e90f470","Identification (a state of perceived “oneness” with a given target) fulfills fundamental human motives and facilitates a range of positive outcomes, but it also has a dark side. While detrimental effects of identification in organizations have been captured in vari-ous studies, the field of management lacks a comprehensive blueprint of the state of this research. This omission is particularly significant given recent calls for some “course corrections” in the field, which signal the need to balance the dominant preoccupation with the positive effects of identification and identity with more consideration of their negative effects. It is also a missed opportunity for impact given the relevance of the topic to understanding current identity-related tensions and issues within organizations (e.g., debates around diversity and inclusion). We address this oversight with a comprehensive review of the dark side of strong identification, focusing specifically on exclusive, mixed, and multiple identifications. In doing so, we highlight the need for a more bal-anced understanding of the ways identification processes influence our lives, organiza-tions, and society at large. @ Academy of Management Annals, all rights reserved.","",""
"A STRATEGIC VIEW OF TEAM LEARNING IN ORGANIZATIONS","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127251430&doi=10.5465%2fannals.2020.0352&partnerID=40&md5=3a8dafdb60e3c676c912443968c6a462","Research in strategic management and organizational behavior has increasingly focused on understanding how organizations achieve and sustain performance in fast-changing environments. Strategy research has suggested that senior managers, through their decisions, influence capabilities at the organizational level. Organizational behavior research has suggested that teams, through engaging in learning within and across their boundaries, contribute to organizational-level capabilities. Only recently have researchers started to link the two sets of insights, exploring the idea that team learning plays a critical bridging role in how decisions by senior managers translate into organizational performance outcomes. This paper organizes these insights into a model of capability development focused on how different kinds of team learning routines may support organizational capabilities that create competitive advantage. The model introduces a strategic view of team learning, highlighting the ability of senior managers to shape team learning routines effectively as a critical skill because of its role in building organizational capabilities. We identify a lack of research in this area and suggest future directions to address it. © Academy of Management, all rights reserved.","",""
"Soliciting resources from others: An integrative review","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078262482&doi=10.5465%2fannals.2018.0034&partnerID=40&md5=c5ff51a39fff4567aaf560eb00fba23a","Resource seeking, or the act of asking others for things that can help one attain one’s goals, is an important behavior within organizations because of the increasingly dynamic nature of work that demands collaboration and coordination among employees. Over the past two decades, there has been growing research in the organizational sciences on four types of resource seeking behaviors: feedback seeking, information seeking, advice seeking, and help seeking. However, research on these four behaviors has existed in separate silos. We argue that there is value in recognizing that these behaviors reflect a common higher order construct (resource seeking), and in integrating the findings across the four literatures as a basis for understanding what we do and do not know about the predictors and outcomes of resource seeking at work. More specifically, we use conservation of resources (COR) theory as a framework to guide our integration across the four literatures and to both deepen and extend current understandings of why and when employees engage in resource seeking, as well as how resource seeking behaviors may lead to both individual-and collective-level outcomes. We conclude with a discussion of future research needs and how COR theory can provide a fruitful foundation for future resource seeking research. © Academy of Management Annals.","",""
"THEORIZING ABOUT THE IMPLICATIONS OF MULTIPLEXITY: AN INTEGRATIVE TYPOLOGY","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166536805&doi=10.5465%2fannals.2021.0193&partnerID=40&md5=d409a0356fe223c04a57c5132b19d368","Multiplexity, the coexistence of more than one type of relationship between two actors, is a prevalent phenomenon with clear relevance for a wide range of management settings and phenomena. While there is a substantial body of work on multiplexity, the absence of a shared terminology and a typology for the mechanisms and arguments that are used in theorizing about its implications nevertheless hamper its appeal to organizational network scholars and slow its progress. Based on content analysis of 103 studies, we pro-pose “relational harmony,” “task complementarity,” and “relational scope” as three cat-egories to integrate the mechanisms and arguments used in the literature to theorize about the implications of multiplexity. We then survey the literature in light of this typol-ogy to show how it is also useful in revealing patterns of theorizing; for example, with respect to the types of relationships that are studied in relation to multiplexity. We conclude with suggestions for future research directions, focusing on how these can be pur-sued based on our integrative typology. We hope that the common ground we provide for theorizing about the implications of multiplexity will make it an even more engaging topic for organizational network and management scholars, and place it in the company of more prominently used relational constructs in management research, as aligned with its prevalence and relevance. © Academy of Management Annals.","",""
"From the editor: Publishing in the academy of management journals","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114099689&doi=10.5465%2fannals.2021.0122&partnerID=40&md5=634f0f7151acfded48576f0fa848d89b","[No abstract available]","",""
"Varieties of political capital and power in organizations: A review and integrative framework","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078318265&doi=10.5465%2fannals.2018.0062&partnerID=40&md5=13bab88f6fb668c003909c3676ca431c","We review the organizational literature on power in light of Bourdieu’s concept of capital to further a political capital perspective on power in organizations. In reviewing the literature, we find that Bourdieu’s concepts of economic, cultural, social, and symbolic capital provide a useful beginning, yet are imprecise and insufficient for organizational research. We therefore modify and extend Bourdieu’s typology to include knowledge, reputational, organizational, and institutional capital as distinct varieties of political capital in organizations. We provide an integrative framework and further review the concept of political capital as determinant of power within organizations, focusing on its activation and mobilization, its convertibility, and the contingency of its value in organizations. We also bring to the fore various mechanisms latent in the extant literature that explain how political capital generates power—not only resource dependence but also status, identification, and legitimacy. Our proposed political capital framework provides a foundation for further research on power in organizations. © Academy of Management Annals.","",""
