Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
THE CURVILINEAR EFFECTS OF EMPOWERING LEADERSHIP ON PUBLIC EMPLOYEE’S WELL-BEING,2023,Academy of Management Annual Meeting Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190473040&doi=10.5465%2fAMPROC.2023.136bp&partnerID=40&md5=25c9cebe7ca0759418e38fc46e449843,"Leaders are encouraged to empower employees in recent public sector management reforms. However, it remains unclear whether the influence of empowering leadership on employee outcomes is linearly favorable. Grounded in the “too-much-of-a-good-thing” effect and conservation of resources theory, we develop a model considering a potential curvilinear relationship between empowering leadership and public employees’ well-being. Using data from a multisource, time-lagged survey of 496 employees and their 97 supervisors from a prefecture-level city government in China, we find that (1) empowering leadership has a curvilinear (inverted U-shaped) relationship with employee well-being; (2) perceived responsibility mediates this relationship; and (3) public service motivation moderates the curvilinear effect of perceived responsibility on employee well-being and the indirect effect of empowering leadership on employee well-being via perceived responsibility. Implications of these findings for public management research and practice are discussed. © 2023, Academy of Management. All rights reserved.",,Conservation; Conservation of resources theories; Curvilinear effect; Empowering leaderships; Indirect effects; Multi-Sources; Public employees; Public sector management; Public service motivations; U-shaped; Well being; Human resource management
AWAKENING TO ALGORITHMIC TRANSGRESSIONS: NON-USER DISCOVERY OF ALGORITHMIC DECISION MAKING,2023,Academy of Management Annual Meeting Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190466477&doi=10.5465%2fAMPROC.2023.17bp&partnerID=40&md5=830e3cd3686b0bb515f4fc2849f473bd,"Algorithmic decision-making has become increasingly prevalent in civil society, often without individuals' awareness that decisions targeting them are delegated to machines. There is a growing need to understand how non-users can begin to suspect that they have been targeted by an algorithm and how they can uncover the hidden nature associated with these systems. In resource-scarce environments, such as the public sector, tracing transgressions to the algorithm is crucial to protect social justice and public trust in institutions. Building on the work of von Krogh (2018), this research examines the emotional, abductive, and collective work associated with algorithmic discovery. © 2023, Academy of Management. All rights reserved.",,Algorithmics; Civil society; Decisions makings; Public sector; Public trust; Social justice
INTRODUCING THE SPACEJAM PEDAGOGICAL STRATEGY FOR BUSINESS ETHICS EDUCATION,2023,Academy of Management Annual Meeting Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190481344&doi=10.5465%2fAMPROC.2023.150bp&partnerID=40&md5=01b271e2634cd19494b02887aa5a938e,"Teaching business ethics and related soft skills in higher education is critical, but also challenging. This short paper introduces the SpaceJam pedagogical strategy that aims at developing empathic dispositions, a core soft skill that is known to support ethical decision-making and behavior in organizations. Located at the intersection of experiential learning and learning spaces, the SpaceJam pedagogical strategy involves mobilizing arts-based and service-learning experiential pedagogical approaches while situating learnings in multiple spaces. At the center of this strategy is the creation of an analytical, introspective, and artistic portfolio that provides a material anchor for students to make sense and take ownership of the learning done across spaces. © 2023, Academy of Management. All rights reserved.",,Philosophical aspects; Business ethics educations; Ethical decision making; Experiential learning; High educations; Pedagogical approach; Pedagogical strategies; Service learning; Soft skills; Teaching business ethics; Decision making
"IMAGINED LABOR MARKETS, OPEN-ACCESS, AND INCLUSION IN TECH: GETTING A JOB WITHOUT A COMPUTER SCIENCE DEGREE",2023,Academy of Management Annual Meeting Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190468657&doi=10.5465%2fAMPROC.2023.81bp&partnerID=40&md5=68123498cad195914d4bae55e10d1dbf,"Alternative skilling resources—such as open-access coding initiatives—promise more democratized access to professional careers, previously closed via credentialism. Using qualitative data, I investigate how job-seekers skilled through alternative resources without computer science credentials navigate the U.S. tech labor market. My analysis reveals two distinct job-seeking strategies. These strategies were distributed along existing social inequalities and generated stratified pathways. This study reveals a new mechanism of social inequalities: individual job-seekers’ contrasted perceptions of what a new labor market values unequally shape their labor market entry and thus, exacerbate social inequalities—even when skills-acquisition is open-access and credential barriers are removed. © 2023, Academy of Management. All rights reserved.",,Employment; Job seekers; Job-seeking; Labour market; Market entry; Market values; New mechanisms; OpenAccess; Professional careers; Qualitative data; Social inequalities; Commerce
HOW POLITICAL CONTEXT AFFECTS IMMIGRANTS’ SOCIAL CONTACT DYNAMICS AND MENTAL HEALTH AT WORK,2023,Academy of Management Annual Meeting Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190467602&doi=10.5465%2fAMPROC.2023.70bp&partnerID=40&md5=6ad606339ff0ccb55b8814758dafeb33,"International migration has been rising across the globe for decades, making the integration of immigrants into host societies a central challenge for many countries. Although the successful labor market integration of immigrants is considered a key boon to their economic independence and broader social integration, rising political polarization in many western societies with increasing far-right political support might put integration efforts at risk. Challenging core assumptions of intergroup contact theory (Pettigrew, 1998), we propose that strong community support for far-right political parties affects how immigrants are treated by their coworkers when entering a new workplace, thus undermining the potential benefits of social contact between immigrants and natives. Specifically, we propose that immigrants perceive negative social contact with their direct colleagues that increases over time when employed by a company located in a region with high far-right political support. Being confronted with a growing perception of negative contact will then take its toll on employees’ mental health, assessed by their emotional exhaustion at a later time point. We test and find support for our theoretical model in a unique dataset matching 481 trainees in Germany (tracked from day one of their traineeships over a period of 13 weeks) with data from the 2021 German federal election. © 2023, Academy of Management. All rights reserved.",,Behavioral research; Economic and social effects; Employment; Personnel; Regional planning; Statistical tests; Contact dynamics; Intergroup contacts; Labour market; Market integration; Mental health; Political context; Political support; Social contacts; Social integrations; Western societies; Integration
DO SOCIAL ENTERPRISES FULFIL THEIR SOCIAL PROMISE? QUALITY OF SOCIAL CARE CICS AND OTHER LEGAL FORMS,2023,Academy of Management Annual Meeting Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190456034&doi=10.5465%2fAMPROC.2023.155bp&partnerID=40&md5=347cb6cf07dfddfefc2be832d77753bb,"This study seeks to address a foundational question around social enterprises: does the redirection of profit towards social goals result in expected social outcomes even though profit motives may still be at play? We use ordered logit regression analysis to compare service quality data from Community Interest Company (CICs) social enterprises, charities, for-profits, and government-run organizations operating in the social care sector in England. We find that social care CICs consistently outperformed for-profits on all social care quality measures and did as well as or better than nonprofits and government-run social care organizations on most measures. © 2023, Academy of Management. All rights reserved.",,Regression analysis; England; Ordered logit; Quality data; Quality measures; Service Quality; Social care; Social enterprise; Social goals; Social outcomes; Profitability
Searching Under Multiple Goals: Exploring the Role of Corporate Social Responsibility Heuristics,2023,Academy of Management Annual Meeting Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190462704&doi=10.5465%2fAMPROC.2023.257bp&partnerID=40&md5=62d1709632789234074c6051059d2861,"How should managers search for alternatives when evaluation requires comparing along multiple performance dimensions? This is a fundamental question in strategy, especially in the context of Corporate Social Responsibility (CSR), where firms aim to do well financially as well as contribute to social and environmental goods. To understand this question, we develop a simulation model that compares the social and financial performance of five “CSR heuristics” used by firms to make CSR decisions. We show that these heuristics differ substantially in the social and financial performance they are likely to achieve even when the underlying preferences are similar. © 2023, Academy of Management. All rights reserved.",,Corporate social responsibility; Environmental goods; Financial performance; Performance dimensions; Simulation model; Social and environmental; Social performance
EMPIRICALLY INVESTIGATING HOW ELECTRONIC HEALTH RECORDS ADOPTION IMPACTS MERGERS AND SURVIVAL IN THE US HEALTHCARE SYSTEM,2023,Academy of Management Annual Meeting Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190472747&doi=10.5465%2fAMPROC.2023.135bp&partnerID=40&md5=29305201c9281b0aca91f4a77c214c1c,"How does the adoption of enterprise information systems (EIS) affect M&A activity in large organizations? Prior scholarship suggests EIS dramatically increases the agility of the firms and facilitates streamlining the organization around competitive advantages. However, recognizing that EIS is costly, practical considerations would suggest that such systems would incentivize the merging of organizations to distribute fixed costs via economies of scale. We examine whether such systems contribute to the contraction or expansion of organizations by examining M&A activity in the US healthcare system after the adoption of electronic health records (EHR). In doing so, we investigate the effect of EHR adoption on both the survival of hospital systems and their acquisition decisions. Analysis of 699 mergers between 2007 and 2014 suggests that while EHR adoption significantly increases a hospital’s likelihood of survival, it also makes them less desirable acquisition targets. Thus, interested acquirers prefer to target non-EHR adopting hospitals, likely because of the challenges of re-integrating an established EIS. Secondary dyadic analysis shows that if there is a match between vendors of the EHR between the acquirer and acquiree, this increases the likelihood of merging; thus, acquirers prefer hospitals that have not digitized, unless they share vendors. © 2023, Academy of Management. All rights reserved.",,Competition; Health care; Hospitals; Mergers and acquisitions; Records management; Acquisition decision; Acquisition targets; Competitive advantage; Economy of scale; Electronic health; Enterprise information system; Fixed cost; Health records; Healthcare systems; Large organizations; Merging
THE ART OF ENGAGING AUDIENCES: HOW IMPACT PRODUCERS RUN FILMBASED CAMPAIGNS FOR SOCIAL CHANGE,2023,Academy of Management Annual Meeting Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190471776&doi=10.5465%2fAMPROC.2023.262bp&partnerID=40&md5=29f18d3f710084997371f75e3b2e9305,"Cultural products are increasingly used strategically to promote social change. In film, impact producers run film-based impact campaigns to raise awareness, change behaviors, policies and communities. These campaigns can be conceived as interstitial spaces between creative content production and issue-based fields. Based on qualitative data, we discuss how impact producers set up and maintain these spaces. We find that they leverage film narratives for issue-based impact objectives, while building on existing movements and campaigns, and mobilizing impact partners at multiple levels, to engage target audiences. Findings have important implications for research on creative industries and social change. © 2023, Academy of Management. All rights reserved.",,Behavior policy; Content production; Creative industries; Creatives; Interstitial space; Multiple levels; Qualitative data; Social changes; Space between; Target audience
HOW INSTITUTIONAL LOGICS INFLUENCE VENTURE GROWTH: A FIELD EXPERIMENT WITH TUNISIAN WOMEN ENTREPRENEURS,2023,Academy of Management Annual Meeting Proceedings,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190478988&doi=10.5465%2fAMPROC.2023.268bp&partnerID=40&md5=aa27f660960c5c350227bc22ca266e58,"Entrepreneurial training programmes promoting women’s entrepreneurship in low- and middle-income countries command significant global attention and concomitant resources. Despite this broad investment, many ventures in these contexts fail to grow. Prior research suggests that institutionalized patterns of behaviors, in part dictated by institutional logics, may cause this lack of growth. In the context of Tunisian female entrepreneurship, this research explores the effects of community and market logics on entrepreneurial growth outcomes. Using a field experiment, we demonstrate that institutional logics affect the growth aspirations of entrepreneurs through individual empowerment and emotional energy. This research has theoretical implications for institutional logics, entrepreneurial growth, and emotions literatures. Firstly, institutional logics affect entrepreneurial growth outcomes. Secondly, logics are processed by individuals through both cognitive (empowerment) and social (emotions) constructs and we contribute to knowledge of the integrated macro to micro psychological and social processes of institutional logics. Finally, cultural differences explain why logics do not have the expected effects we think they may in the promotion of Western neoliberal entrepreneurial training programs. © 2023, Academy of Management. All rights reserved.",,Energy; Entrepreneurial training; Field experiment; Institutional logic; Low income countries; Middle-income countries; Psychological process; Social emotions; Training program; Women entrepreneurs; Investments
