Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
EXECUTIVE COMPENSATION COMPLEXITY AND FIRM PERFORMANCE,2024,Academy of Management Discoveries,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168447611&doi=10.5465%2famd.2022.0056&partnerID=40&md5=513f409dbd3b5b8ed65647b9cc66d746,"How With unknown consequences, the compensation complexity of executives has been rising. We define and measure executive compensation complexity and relate it to accounting; market; and environmental, social, and governance metrics of firm performance. Chief executive officer (CEO) compensation complexity negatively affects all three types of firm performance. We explore theoretical explanations for this relationship and find that cognitively complex CEOs can better deal with complex contracts. The negative complexity effects disappear if firms use only financial goals. Complexity is more harmful in unstable and munificent industries. Complexity also mitigates the negative effect of CEO tenure on long-term performance. In addition, firm performance suffers if the top management team members have heterogeneously complex contracts. Robustness checks support these findings. We conclude that the trend of adding more metrics to executive compensation contracts is not a generally preferable solution to the new and more intense agency problems that firms encounter. © of the Academy of Management, all rights reserved.",,
FOOD AND FAT AT WORK: EIGHTY-THREE MOMENTS FROM A BINGE EATER’S PROFESSIONAL LIFE,2024,Academy of Management Discoveries,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197604995&doi=10.5465%2famd.2022.0239&partnerID=40&md5=63221747c6defbfdfea8b60081e39eb3,"This paper explores binge eating disorder at work. Through autoethnography, experiences and documentation from the first decade of the author’s career (2014–2023) are culled in an effort to examine and convey how food and body challenges related to binge eating disorder may interact with various aspects of working life, such as socializing, collaborating, mentoring, dressing, eating, traveling, attending meetings and conferences, and carrying out basic professional responsibilities. The story has marks of privilege: the job is white-collar and cushy, the demographics and socioeconomics are largely advantaged. The hope is that such a perspective may nonetheless advance our understanding, representation, and discussion of food and body struggles at work. Examining how binge eating disorder may be battled, endured, succumbed to, managed, feared, hidden, shared, ignored, coped with, detested, obsessed over, and despaired of brings forth how individuals may live and work with multiple bodies at once—where each body has its own profile of behaviors and experiences, each body’s comings and goings are not wholly predictable, and most bodies are unwanted yet resistant to efforts to discard them. The paper concludes by considering implications of this body multiplicity for our understanding of identity, purposive action, motivation, masculinity, and empathy. © of the Academy of Management, all rights reserved.",,
GLOBAL CAREERS AND COMPENSATION: FROM INITIAL PENALTIES TO A “SUPERGLOBAL” PREMIUM,2024,Academy of Management Discoveries,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190940444&doi=10.5465%2famd.2022.0028&partnerID=40&md5=c37c56ff313dfa44514799757589e358,"This paper examines the relationship between international mobility and financial compensation for knowledge workers pursuing business careers. While some theoretical arguments suggest that international mobility may lead to higher pay, others suggest that it may lead to performance problems and lack of recognition, which could reduce financial rewards. Empirical research on the topic is limited, with cross-sectional data providing little insight into the relationship between international mobility and compensation over time. Our study overcomes this challenge by using a panel data set on the career histories of 1,322 MBA graduates. The results reveal a curvilinear relationship between international mobility and compensation over time. Making one or two international moves can have substantial negative effects on pay. However, further moves are associated with pay growth, and there is some evidence that those who move countries multiple times (“superglobals”) obtain substantially higher pay. We discuss the implications of our findings for research on international mobility and business careers. © 2024, Academy of Management. All rights reserved.",,
"SO, WHAT DO YOU DO? EXPLORING IDENTITY CLAIMING BY ENTREPRENEURS",2024,Academy of Management Discoveries,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185289003&doi=10.5465%2famd.2021.0149&partnerID=40&md5=a05ebf16ea402d73cf76039cb4aed9b7,"The way we respond to the casual question “What do you do for a living?” involves making claims about work-related identity. As individuals often have multiple identities, including at work, deciding which identities to claim over others may not be straightforward. We explored how 29 entrepreneurs across Canada, the United States, and Australia respond to this question. Contrary to what would be predicted from prior research, these informants largely resisted claiming the label of “entrepreneur” in informal social interactions. Instead, informants claimed labels based either on roles they held or occupations in which they currently or previously worked. Several also claimed labels that were “self-effacing,” and downplayed their role in their organization. In exploring the rationale for these claiming decisions, we found that the broader social context— including cultural meanings of being an entrepreneur and conversational norms— played a key role in determining individual identity claiming. We also identified two motives underlying these contextual factors: the need to be comprehensible and the need to avoid creating distance between themselves and their interaction partner. We discuss the implications of these findings for the research on both identity claiming and entrepreneurship. © of the Academy of Management, all rights reserved.",,
"A COMMENT ON “CAN YOU OUTSMART THE ROBOT? AN UNEXPECTED PATH TO WORK MEANINGFULNESS” BY BERNADETA GOŠTAUTAITĖ, IRINA LIUBERTĖ, SHARON K. PARKER, AND ILONA BUČIŪNIENĖ: CALLING FOR A DIFFERENT PATH FOR THE FUTURE OF HUMAN–ROBOT TEAMING",2024,Academy of Management Discoveries,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190948848&doi=10.5465%2famd.2024.0009&partnerID=40&md5=56b7bae0b0814a2be133e05dd137ff77,[No abstract available],,
BETTER TOGETHER: MEMBER PROACTIVITY IS BETTER FOR TEAM PERFORMANCE WHEN ALIGNED WITH CONSCIENTIOUSNESS,2024,Academy of Management Discoveries,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197656851&doi=10.5465%2famd.2021.0208&partnerID=40&md5=7ba0fa0eaf74dc6a85f92e8ffc808b18,"Proactivity—the tendency to create change in the work environment—typically improves team performance. This relationship is far from perfect, however. We explore inconsistencies in team proactivity literature to answer an important question: When is member proactivity beneficial or dysfunctional for teams? First, we consider the composition of member proactivity at the team level and whether a simple “more is better” heuristic neglects a more complex relationship linking member proactivity to team coordination and performance. Second, we explore whether proactivity is better when aligned with another individual difference focused on the propensity to plan and coordinate with others (i.e., conscientiousness). In two studies, we compare traditional additive and configurational compositional approaches to these two attributes with a new attribute alignment approach, allowing us to examine the co-occurrence of proactivity and conscientiousness within some team members relative to others. First, we find that team member proactivity–conscientiousness (P–C) alignment predicts the performance of MBA consulting teams better than the other team composition models we consider. Then, we replicate this finding in a laboratory simulation, finding that it occurs because P–C alignment improves team coordination. Our results demonstrate that member proactivity is most effective for teams when aligned with conscientiousness. © Academy of Management, all rights reserved.",,
GUIDEPOST EXPLORATORY RESEARCH ON ORGANIZATIONAL IMPROVISATION: ROADS TRAVELED AND THE ROAD AHEAD,2024,Academy of Management Discoveries,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197589095&doi=10.5465%2famd.2024.0106&partnerID=40&md5=2dafed7312dd8ac77829692d6f2963ce,"Before the 1990s, the phenomenon of organizational improvisation (OI) as a distinct process was poorly understood and undertheorized in the organization theory, management, and strategy literatures, in spite of its pervasive occurrence in practice and its impressionistic mentions in interesting work. As editors of the recent Routledge Companion to Organizational Improvisation, we believe that ongoing phenomenon-focused work that builds on granular data and unexpected discoveries represents a crucial ongoing frontier for OI research. In this Guidepost, we illustrate the crucial role of phenomenon-focused research activities in the early exploration and ongoing work to understand OI, and flag four especially promising areas for ongoing discoveries: premises, practical skills, outcomes, and micro-processes. For each, we highlight specific issues where new exploratory work – drawing on quantitative and qualitative data—can offer a springboard to new, impactful understanding and action. This essay is a companion to Karl Weick’s recent Guidepost where he reflects on the 30th anniversary of his 1993 ASQ Mann Gulch Disaster paper, which played a key role in legitimizing deeper scholarly attention to OI. © of the Academy of Management, all rights reserved.",,
"NOW, WOMEN DO ASK: A CALL TO UPDATE BELIEFS ABOUT THE GENDER PAY GAP",2024,Academy of Management Discoveries,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189154715&doi=10.5465%2famd.2022.0021&partnerID=40&md5=81b307d8d291f6d299558689ad7e3b31,"For over two decades, gender differences in the propensity to negotiate have been thought to explain the gender pay gap. We ask whether a “women don’t ask” pattern holds today among working adults. We compare estimates of gender differences in negotiation propensity (Study 1) with actual patterns from master’s in business administration students (n 5 1,435) and alumni (n 5 1,939) from a top U.S. business school (Studies 2A and 2B). Contrary to lay beliefs, women report negotiating their salaries more (not less) often than men. We then reanalyze meta-analytic data on self-reported initiation of salary negotiations to reconcile our findings with prior work (Study 2C). While men reported higher negotiation propensity than women prior to the 21st century, the gender difference has grown neutral and then reversed since then. Negotiation propensity rose across time for both men and women, although to differing degrees. Finally, we explore the consequences of the now-outdated belief that “women don’t ask,” finding that it increases gender stereotyping, even on dimensions unrelated to negotiation, and it is associated with both greater system justification and weaker support for legislation addressing pay equity (Studies 3 and 4). Our research calls for an updating of beliefs about gender and the propensity to negotiate for pay. © of the Academy of Management, all rights reserved.",,
REVALUING ORDINARY MOMENTS: DISRUPTING GENDERED POSITIVE SELF-CONCEPTS THROUGH A NARRATIVE FEEDBACK INTERVENTION,2024,Academy of Management Discoveries,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191027250&doi=10.5465%2famd.2021.0021&partnerID=40&md5=0a4c6ad6a16687252c03a2fc10f69172,"How do people craft a positive self-concept? How does the content of positive self-concepts change in response to feedback? Our research seeks to answer these questions by analyzing data gathered from two different samples before and after a positive-feedback intervention. Collectively, our findings identify three narrative themes that people use to articulate how they add value to their workplace and communities: Mobi-lizing, Connecting, and Task Engaging. Further, we found that while our participants’ ini-tial positive self-concepts showed gendered patterns, these patterns were largely diminished after the positive-feedback intervention. In addition, after the intervention, the content of participants’ positive self-concepts were broadened and enriched. In post hoc analyses we explored possible mechanisms underlying these patterns of change. We then theorize that noncomparative, positive narrative feedback from significant others across multiple domains provides people with the opportunity to revalue ordinary actions and build a more integrated understanding of their value. We discuss the implications of these findings on strength-based research, positive identities, and gender identity construction. © of the Academy of Management, all rights reserved.",,
"PIRATES, ADVENTURERS, AND FREE SPIRITS: THE PEOPLE OF ACADEMY OF MANAGEMENT DISCOVERIES",2024,Academy of Management Discoveries,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190983471&doi=10.5465%2famd.2024.0048&partnerID=40&md5=9b0de1488ce77c46d627a8086aaa8222,[No abstract available],,
