Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
"Quality research and practical relevance: Can we find the ""sweet spot?""",2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-14644391526&partnerID=40&md5=56904d6762acb6697e767e1dd451b280,[No abstract available],,
A local perspective to expatriate success,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-14644387530&partnerID=40&md5=c2e452d3489dca5543ba88ab0566fa49,"Many expatriate human resource (HR) policies, particularly in the area of compensation, remain rooted in the past because they continue to favor the expatriate over local staff and do not take into account the increasing qualifications and aspirations of these local employees. Inequitable treatment leads to low commitment and poor work performance among local staff. More importantly, inequitable treatment creates tension between local and expatriate employees and causes the local staff to be less willing to be cooperative or supportive of the expatriates with whom they have to work. Without local support, expatriates may experience greater difficulty adjusting to their new jobs and the new environment, which is a contributing factor in the failure of expatriates. To minimize these problems, HR practices of expatriating organizations should focus on providing more equitable compensation for local and expatriate employees, selecting expatriates who are truly worthy of the higher pay, and increasing the transparency of pay practices so that local employees can see the linkage between work inputs and compensation more clearly. Managers at the local organization should emphasize favorable referents for local staff, breed organizational identification among the employees, prepare the local staff for incoming expatriates, and encourage them to assist and mentor incoming expatriates. It is critical that multinational companies (MNCs) are aware that some existing HR practices have potentially unintended negative consequences and that neglecting the impact of these practices on local employees hurts the effectiveness of the organization as well as the ability of expatriates to succeed in their assignment.",,
On the dark side of strategic sourcing: Experiences from the aerospace industry,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-14644390919&partnerID=40&md5=17ea493933a6c1efc5138f7990edfe6e,"American manufacturing has undergone dramatic changes during the last two decades. Manufacturing firms were re-engineered, downsized, and restructured. Employees were dismissed, divisions were scrapped, and subsidiaries were spun off. As a consequence, outsourcing to external suppliers increased significantly, which in turn resulted in the increased saliency of strategic sourcing and its economic implications. Strategic sourcing integrates the buying firm's strategic decisions with those of its key suppliers, thus promoting trust and decreasing transaction costs. However, a dark side of strategic sourcing has emerged. Some firms established long-term contracts with their suppliers, set up mutually dependent relationships, and then began to strangle suppliers with relentlessly short-term, cost-driven decisions. As a result, the buying firms and their suppliers have now become competitors in the same market. Simply put, there is serious long-term risk associated with firms becoming strategically integrated with suppliers and then mistreating them for short-term gains. This paper demonstrates that misapplying the tenets of strategic sourcing can result in the disintegration of the existing supply chain and weaken the buying firm's long-term competitiveness.",,
Leadership group coaching in action: The Zen of creating high performance teams,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-14644404309&partnerID=40&md5=6c62c91473f1886c52e7a7682ac0fdbe,"Although one-on-one coaching can be very effective, this article advocates the benefits of leadership coaching in a group setting, because durable changes in leadership behavior are more likely to occur. Discussion is offered to show that leadership group coaching establishes a foundation of trust, makes for constructive conflict resolution, leads to greater commitment, and contributes to accountability, all factors that translate into better results for the organization. The article suggests that a change methodology centered on leadership group coaching creates high-performance teams, is an antidote to organizational silo formation, helps put into place boundaryless organizations, and makes for true knowledge management. A strong plea is made for aspiring leadership coaches to undergo clinical training to prepare them for the kind of deep-seated psychological problems that can derail the leadership coaching process. Commentary about the clinical approach to organizational intervention is included. The article also explores the similarities between leadership coaching and psychotherapy. Finally, the article includes a discussion of a number of general concerns about leadership coaching.",,
Achieving and maintaining strategic competitiveness in the 21st century: The role of trategic leadership,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32044465945&doi=10.5465%2fAME.2005.19417908&partnerID=40&md5=a36accb65f837b9e2bc987b2f7107111,"Competition in the 21st century's global economy will be complex, challenging, and filled with competitive opportunities and threats. Effective strategic leadership practices can help firms enhance performance while competing in turbulent and unpredictable environments. The purpose of this paper is to describe six components of effective strategic leadership. When the activities called for by these components are completed successfully, the firm's strategic leadership practices can become a source of competitive advantage. In turn, use of this advantage can contribute significantly to achieving strategic competitiveness and earning above-average returns in the next century. © Academy of Management Executive.",,
Strategies for responsible restructuring,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32044445265&doi=10.5465%2fAME.2005.19417906&partnerID=40&md5=44f2bf5715985b2d1cd5ef745048f3de,"As organizations struggle to enhance their competitive positions, employment downsizing continues as a preferred part of a restructuring strategy. Its objective is to reduce operating costs as a way of increasing earnings and stock prices. A study of S&P 500 firms from 1982-2000, however, casts serious doubt on the long-term payoff of this approach. The purpose of this article is to suggest several alternative approaches to restructuring. In contrast to employment downsizing, a strategy that regards people as costs to be cut, a responsible restructuring strategy focuses on people as assets to be developed. This focus recognizes that people are the source of innovation and renewal, especially in knowledge-based organizations, and that the development of new markets, customers, and revenue streams depends on the wise use of a firm's human assets. The article presents company examples and research-based findings that illustrate mistakes to avoid and affirmative steps to take when restructuring responsibly. © Academy of Management Executive.",,
Managing corporate culture through reward systems,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32044452868&doi=10.5465%2fame.2005.19417915&partnerID=40&md5=cb53d198c101d1566b9486bacece3b15,[No abstract available],,
Aligning organizational processes with mission: The case of service excellence,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144442287&doi=10.5465%2fAME.2005.18733215&partnerID=40&md5=a3d0561f915871d445ee7f01f86fcc23,"It has become increasingly clear in the research literature that successful organizations have found ways to ensure that their organizational missions are aligned both in terms of fit with the external environment and with all factors internal to the organization. The challenge is that accomplishing this fit is easier said than done. Too often there is a gap between what the organization says it seeks to do and what its employees actually do. The purpose of this paper is to offer managers a method by which they can create and conduct an audit of the gaps in the alignment of their organizational practices, policies, and procedures with their mission. The value of conducting such an audit is to create a diagnostic device to identify and close the gaps in an effort to secure better alignment with the mission. The authors use the mission of service excellence to illustrate the logic and process of developing such an audit, as this is one of the more challenging aspects of any organization and especially a service organization's mission. If what gets measured gets managed, then conducting such an audit can serve as an important tool for ensuring that the internal actions of the organization are being effectively managed to achieve the mission. © Academy of Management Executive.",,
Business as usual: The acceptance and perpetuation of corruption in organizations,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32044467555&doi=10.5465%2fAME.2005.19417904&partnerID=40&md5=5787ea2d0dd267c673361d9e8f34bf58,"Many of the recent corruption scandals at formerly venerated organizations such as Enron, WorldCom, and Parmalat have some noteworthy features in common. In most instances, the fraudulent acts involved knowing cooperation among numerous employees who were upstanding community members, givers to charity, and caring parents - far removed from the prototypical image of a criminal. The involvement of such individuals in corrupt acts, and the persistence of the acts over time, is both disturbing and puzzling. We argue that the above phenomenon can be explained in part by the rationalization tactics used by individuals committing unethical or fraudulent acts. Rationalizations are mental strategies that allow employees (and others around them) to view their corrupt acts as justified. Employees may collectively use rationalizations to neutralize any regrets or negative feelings that emanate from their participation in unethical acts. Further, rationalizations are often accompanied by socialization tactics through which newcomers entering corrupt units are induced to accept and practice the ongoing unethical acts and their associated rationalizations. We describe the different forms of rationalization and socialization tactics and the ways in which firms can prevent or reverse their occurrence among employees. The onset of these two tactics can establish enduring corruption in organizations and become institutionalized in seemingly innocuous processes. © Academy of Management Executive.",,
Leveraging intellect,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32044455509&doi=10.5465%2fAME.2005.19417909&partnerID=40&md5=053c6cd306f158d7860a1f8010417534,"With rare exceptions, the productivity of a modern corporation or nation lies more in its intellectual and systems capabilities than in its hard assets - raw materials, land, plant, and equipment. Intellectual and information processes create most of the value-added for firms in the large service industries - like software, medical care, communications, and education - which provide 79 percent of all jobs and 76 percent of all U.S. GNP.1 In manufacturing as well, intellectual activities - like R&D, process design, product design, logistics, marketing, marketing research, systems management, or technological innovation-generate the preponderance of value-added. McKinsey & Co. estimates that by the year 2000, 85 percent of all jobs in America and 80 percent of those in Europe will be knowledge-based. Yet few managements have systematically attacked the issues of developing, leveraging, and measuring the intellectual capabilities of their organizations. What are the keys to these processes? What light do research and best practice shed on this subject? © Academy of Management Executive.",,
A team production model of corporate governance,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-29244474920&doi=10.5465%2fAME.2005.18733212&partnerID=40&md5=6c84ea8701b38991d407171f04495fc5,"A post-Enron consensus on corporate governance has emerged among investor groups, government regulators, and the private exchanges. The corporate board should function principally as a shareholder oversight body. To ensure independence from management, the board should have a substantial majority of independent, outside directors, who neither have business relationships with the firm nor social relationships with management. These reforms may decrease the probability for director complicity in managerial malfeasance. However, research has not demonstrated a relationship between board independence and firm performance. Corporate governance looks quite different when the firm is considered as a cooperative team to produce new wealth. From this ""production"" perspective, corporate governance recommendations differ substantially from recent reforms. Rather than have directors solely represent shareholder interests, boards should represent those stakeholders that add value, assume unique risk, and possess strategic information. Rather than restrict insiders to one or two, boards should include a group of employees (managers and workers,) who bring the firm's know-how to the table. The team production model for corporate governance has far-reaching implications. The recommendations derived from our model suggest that the latest reform proposals offered by the New York Stock Exchange and the Securities and Exchange Commission create a board of directors that does not adequately consider the firm's new wealth-producing capabilities. This, we argue, accounts for the missing positive link between board independence and firm performance. © Academy of Management Executive.",,
The role of the manager: What's really important in different management jobs,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32044451518&doi=10.5465%2fAME.2005.19417914&partnerID=40&md5=2721e6f7269405207452447d034be8fb,[No abstract available],,
The intelligent enterprise a new paradigm,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32044464033&doi=10.5465%2fAME.2005.19417913&partnerID=40&md5=955e7a2baab6a861dd3d9c2d827cc0a5,"The development and use of technology for services - whether in the ""service industries"" or in manufacturing - may be the key to future wealth and productivity in advanced industrial countries. Quinn believes that the organization of enterprises and effective strategies will depend more on the development and deployment of intellectual resources than on the management of physical assets. In this article he discusses the concept of disaggregating corporate activities into manageable intellectual clusters - called service activities. © Academy of Management Executive.",,
Are you sure you have a strategy?,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32044433030&doi=10.5465%2fAME.2005.19417907&partnerID=40&md5=b72bbf1ffc545d07cb1d0f9aa950e582,"After more than 30 years of hard thinking about strategy, consultants and scholars have provided an abundance of frameworks for analyzing strategic situations. Missing, however, has been any guidance as to what the product of these tools should be - or what actually constitutes a strategy. Strategy has become a catchall term used to mean whatever one wants it to mean. Executives now talk about their ""service strategy,"" their ""branding strategy,"" their ""acquisition strategy,"" or whatever kind of strategy that is on their mind at a particular moment. But strategists-whether they are CEOs of established firms, division presidents, or entrepreneurs - must have a strategy, an integrated, overarching concept of how the business will achieve its objectives. If a business must have a single, unified strategy, then it must necessarily have parts. What are those parts? We present a framework for strategy design, arguing that a strategy has five elements, providing answers to five questions - arenas: where will we be active? vehicles: how will we get there? differentiators: how will we win in the marketplace? staging: what will be our speed and sequence of moves? economic logic: how will we obtain our returns? Our article develops and illustrates these domains of choice, particularly emphasizing how essential it is that they form a unified whole. © Academy of Management Executive.",,
Corporations as stepfamilies: A new metaphor for explaining the fate of merged and acquired companies,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144475330&doi=10.5465%2fAME.2005.18733213&partnerID=40&md5=13205ec04e33f659b613e870c479fea8,"Economic explanations of mergers and acquisitions tend to focus on issues of efficiency and strategic fit. When acquisitions fail, economic arguments tend to dominate the reasoning and explanations. While cohesive theory exists, empirical studies of acquisitions and divestitures of failed acquisitions based upon economic models are inconsistent and have poor explanatory power to identify clear success or failure factors. Non-economic explanations, on the other hand, generally lack an integration that goes much beyond suggesting that non-economic differences create integration problems and cannot explain why the economic synergies that organizations hope for often fail to materialize. In an attempt to address these challenges, we draw upon the stepfamily literature to propose several new concepts that provide insights into the factors that influence the success of acquisition execution and implementation. Since diversified corporations bear a striking resemblance to human stepfamilies, stepfamily theory can provide new managerial insights and prescriptions. Three main perspectives frame our view of merger and acquisition success: Biological Discrimination, Incomplete Institutionalization, and Deficit-Comparison. From these perspectives, we propose important factors and characteristics that can influence the ultimate success or failure of a merger or acquisition. From this metaphor, we provide managerial prescriptions for firms engaged in merger and acquisition activities to improve the probability for ultimate success. © Academy of Management Executive,.",,
"Mitigating risks, visible hands, inevitable disasters, and soft variables: Management research that matters to managers",2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32044446708&doi=10.5465%2fame.2005.19417905&partnerID=40&md5=d7fd1cd848bea441e53e268382772b17,"Management researchers lament the fact that their work has so little impact on management practice. Practicing managers, so it is claimed, search for knowledge that will help them improve organizational performance but rarely consult the work of university-based researchers - work that they often find incomprehensible and irrelevant to their day-to-day challenges. Researchers assert that rather than being interested in systematic and long-term solutions, managers are generally infatuated with the latest fads and fashions in their search for quick fixes. We contend that management research can matter to managers, but for this to occur requires mutually beneficial partnerships involving managers and researchers, as well as the support of their organizations. To support our contention, we illustrate the importance of practice-relevant management research by drawing on four important contributions to management understanding that were prompted by the organizational experiences of a group of inquiring managers and curious researchers. Together these illustrations not only demonstrate how partnerships between practicing managers and management researchers can yield practice-relevant knowledge, but also provide insights into enhancing the likelihood that productive encounters will occur. © Academy of Management Executive.",,
Closing the performance feedback gap with expert systems,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-29144525410&doi=10.5465%2fAME.2005.18733214&partnerID=40&md5=d9f568c32a74ac32e3ee631632c89b7b,"The dictums of ""don't be judgmental"" and ""don't say anything at all if you can't say something nice"" seem to be sufficiently ingrained to make many managers reluctant to provide performance feedback. The barriers to providing feedback, especially negative feedback, range from managers' fears of hurting employee feelings to potential workplace violence. They inhibit managers from providing performance feedback that can help employees grow and develop or enable the organization to eliminate poor performers. While a number of writers have offered strategies such as social learning, education, and training to overcome these barriers, the problem still exists. This paper suggests that Expert Systems (ESs), a relatively new type of tool, can improve the performance feedback skills of both experienced and inexperienced managers. ESs offer managers a means both to increase their knowledge of what makes for an effective appraisal feedback session and to improve their skills in performing this important task in a manner that best fits each employee in each unique situation. By providing managers this just-in-time knowledge, ESs can help managers become more consistent and more effective than ever before in providing performance feedback. © Academy of Management Executive.",,
Producing sustainable competitive advantage through the effective management of people,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-32044440266&doi=10.5465%2fAME.2005.19417910&partnerID=40&md5=7aca74d98f427132a2a3f09278e690ec,"Achieving competitive success through people involves fundamentally altering how we think about the workforce and the employment relationship. It means achieving success by working with people, not by replacing them or limiting the scope of their activities. It entails seeing the workforce as a source of strategic advantage, not just as a cost to be minimized or avoided. Firms that take this different perspective are often able to successfully outmaneuver and outperform their rivals. © Academy of Management Executive.",,
"The truth, the whole truth, and nothing but the truth: The causes and management of workplace lying",2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-20644440816&doi=10.5465%2fAME.2005.16965277&partnerID=40&md5=722440914267eb2e440231dff72ecf20,"Lying is a complex, morally ambiguous occurrence that is part of every manager's life. Although people sometimes lie purely for their own benefit, competitive and social pressures are the precursors to many business lies. However, people vary in their individual propensity to lie in identical situations. Whereas nearly all people lie in bargaining situations, only some people lie when faced with mildly conflicting expectations. People need to rationalize their lies, and organizational cultures emphasizing honesty don't seem to reduce lying so much as they drive lying underground. Suggestions are proffered for managerial action aimed at positively influencing honesty. © Academy of Management Executive, 2005,.",,
Transfer of managerial practices by French food retailers to operations in Poland,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444432788&doi=10.5465%2fame.2005.16962721&partnerID=40&md5=de7d5e0c74e61f595d0197c3fb879a2d,"We studied French food retailing chains operations in Poland over a period of ten years to assess their ability to transfer their managerial practices and work routines to Polish store management and floor personnel. We discovered that the retailers experienced great difficulty in reproducing their model in Poland because knowledge transfer was impeded by the differences between the management model of the French retailers and the behavior model of their Polish recruits. Both models were embedded in quite dissimilar home country administrative heritages. The resulting blockage threatened the growth potential of French hypermarkets, which relied on the rapid training of large numbers of store management and staff. We show that the French retail managers went through three phases in attempting to transfer their practices. In the first phase, they endeavored to impose the home office practices without adapting to the different attitudes of the first Polish employees. In the second phase, they overcame the period of confrontation of the two models by adapting their practices and creating a shared common space for learning with their employees. By diverging from the home office methods, they succeeded in training their Polish employees to run the first hypermarkets. In the third phase, currently under way, the retailing home offices are re-imposing standardization of methods, to ensure globalization of their business model. We conclude that, despite the temporary divergence led by local managers in adapting to local conditions, multinationals will eventually re-centralize and impose home-office approved practices because the knowledge encompassed is considered fundamental to the firm's business model. © Academy of Management Executive, 2005.",,
Do IT professionals need business acumen to build effective partnerships?,2005,Academy of Management Executive,https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444498312&doi=10.5465%2fAME.2005.16965400&partnerID=40&md5=3b1a2a06835f61f3b35bd44eeadf3bc8,[No abstract available],,
