Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
SOWING THE SEEDS OF CHANGE: CALLING FOR A SOCIAL–ECOLOGICAL APPROACH TO MANAGEMENT LEARNING AND EDUCATION,2024,Academy of Management Learning and Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196647191&doi=10.5465%2famle.2024.0086&partnerID=40&md5=2367f0aef666964c47e82a9533dfcfb4,[No abstract available],,
"DEVELOPING DECOLONIAL REFLEXIVITY: DECOLONIZING MANAGEMENT EDUCATION BY CONFRONTING WHITE SKIN, WHITE IDENTITIES, AND WHITENESS",2024,Academy of Management Learning and Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197891720&doi=10.5465%2famle.2022.0387&partnerID=40&md5=24b757b72ed0e2787226137d13b54c94,"This article explores the potential contribution that White academics based at a Western institution might offer to decolonizing management and organizational knowledge (MOK). We consider how racial hierarchies underpin MOK and shape existing privileges embedded in higher education institutions in the United Kingdom. We reflect on how confronting having White skin and White identities and critically engaging with Whiteness can contribute to decolonizing management education. We address two questions: How can we, and more broadly, White academics, play a constructive role in debates on decolonizing MOK and education? What kind of reflexivity does decolonizing MOK require of us so that we can engage in these debates without colonizing them? The article consists of four sections: (a) introducing the broader context in which we make our contribution; (b) historicizing and exploring issues of identity, Whiteness, Blackness, and otherness; (c) considering how these issues may or may not be embedded in management and organizational education; and (d) developing the new concept of decolonial reflexivity and exploring what this means for White scholars, particularly in relation to ideas of discomfort. By engaging in decolonial reflexivity, we hope to encourage stronger engagement with issues of race, Whiteness, and White privilege in MOK and education. Questo articolo esplora il contributo potenziale che accademici bianchi, affiliati ad istituzioni occidentali, possono offrire ai dibattiti sulla decolonizzazione degli studi organizzativi. In particolare, analizziamo le gerarchie razziali che sottendono GLI studi organizzativi e come queste siano incorporate e riflesse nelle istituzioni accademiche nel Regno Unito e altrove. L’articolo risponde principalmente a due domande: possiamo avere (noi autori e più in generale, accademici bianchi) un ruolo costruttivo nei dibattiti sulla decolonizzazione? E, che tipo di riflessività puó consentirci di contribuire a questi dibattiti senza colonizzarli? L’articolo é organizzato in quattro sezioni. Nella prima introduciamo il contesto del nostro contributo, focalizzandoci in particola modo sulla persistenza di logiche e dinamiche coloniali negli studi organizzativi e nelle istituzioni accademiche che li producono; nella seconda esploriamo aspetti relativi alle identità e il ruolo del colore della pelle nel costruirle e definirle, sia a livello individuale che collettivo; nella terza sezione analizziamo se e come questi aspetti siano riconosciuti o considerati nei curricula di management e studi organizzativi; infine, nella quarta sezione proponiamo il concetto di ‘riflessività decoloniale’, e il ruolo centrale che occupa in tale processo, la sperimentazione di vissuti di disagio, in particolare modo per accademici bianchi. Nel delineare la ‘riflessivitá decoloniale’ speriamo di incoraggiare altri accademici a esplorare criticamente e riflettere sulle persistenti ineguaglianze razziali negli insegnamenti di management and studi organizzativi. © Academy of Management Learning & Education.",,
CODESIGNING MEANINGFUL ENGAGEMENT WITH ONLINE COURSE READINGS: IMPLICATIONS FOR TEACHING MANAGEMENT COURSES,2024,Academy of Management Learning and Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197892316&doi=10.5465%2famle.2022.0364&partnerID=40&md5=f09351fb49b9845e85f1b21746f784e2,"This paper reconceptualizes student engagement with course readings in management education. We challenge the perception of assigned readings as a solely student-centered issue, and propose a codesign approach that emphasizes the relational and intersubjective nature of various stakeholders contributing to the engagement design. The paper extends prior research by identifying concepts of quality of participation, connecting practices, and digital engagement that impact meaningful engagement with course readings. Grounded in action research theory, we propose a framework to design meaningful student engagement that is structured around six dimensions: (1) usefulness, (2) enjoyment, (3) quantity, (4) access, (5) intent, and (6) participative integration. These dimensions are entangled and viewed through three lenses: (a) what, (b) how, and (c) why. This paper presents theoretical and practical contributions, and importantly offers a paradigm shift in how educators and educational developers can enhance engagement with course readings in management education and beyond. © Academy of Management Learning & Education.",,
AN IVORY TOWER OF BABEL? THE IMPACT OF SIZE AND DIVERSITY OF TEAMS ON RESEARCH PERFORMANCE IN BUSINESS SCHOOLS,2024,Academy of Management Learning and Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197882086&doi=10.5465%2famle.2021.0063&partnerID=40&md5=39f59a8a99fb7c367d74e31df022edc3,"Despite the prevalence of teams in research, there is a lack of a good understanding of how their size and diversity affects their performance. We develop a theoretical framework that distinguishes two dimensions of research performance for an academic paper: impact (i.e., subsequent citations) and prestige (i.e., ranking of the journal where research is published). We propose that, while larger teams will enhance linearly the impact of research, they will affect its prestige in a nonlinear fashion. We further contend that these effects will be moderated by knowledge and international diversity of the teams. We test these hypotheses using bibliometric data between 1990 and 2020 on more than 1.4 million papers and 18 million citation counts across 22 subfields in management. Our results confirm significant benefits for research impact from both team size and diversity, but also highlight drawbacks when teams become very large and heterogeneous. Moreover, we find a nonlinear positive effect of team size on research prestige that can be offset only by high levels of knowledge diversity. These findings are robust to a variety of proxies, controls, and estimation techniques, including instrumental variables and propensity score matching. We discuss practical implications for stimulating research performance in business schools. © Academy of Management Learning & Education.",,
DOING SILENCE: HOW SILENCE IS PRODUCED IN MEETINGS,2024,Academy of Management Learning and Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186612506&doi=10.5465%2famle.2021.0521&partnerID=40&md5=4b4ce3b3d1dd212a878403b27676d245,"Authoritarian management and dysfunctional practices and processes have long been seen as the underlying systemic causes of silence within organizations. Individual responses to these causes, rooted in fear and futility, have been the accompanying explanations. While both types of factors contribute to a climate of silence, their dominance in certain contexts—such as consultative meetings among high-performing independent professionals—should not be taken for granted. Our study looks into the context of higher education, and business schools more specifically, and unpacks the mechanisms of silence reproduction beyond the (perceived) fear and futility in voice articulation. More specifically, we present a multidimensional processual model of silence, where we unearth the forces driving and reinforcing silence as the mode of being. We point to how structural, cultural, and individual elements interact, and how social situations act as drivers of silence rather than as voice activators. We advance numerous recommendations for practice and discuss how unaddressed silence could contribute to the progressing deterioration of the professional ethos. © Academy of Management Learning & Education.",,
SPARKS AND DYNAMIC CO-EMERGENCE—HOW FACILITATORS MAKE SENSE OF AND LEARN FROM CRITICAL INCIDENTS IN EXPERIENTIAL LEARNING AND TEACHING,2024,Academy of Management Learning and Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189620724&doi=10.5465%2famle.2022.0004&partnerID=40&md5=9ee3c70bc2edb35074294849046cc2e8,"While existing notions of experiential learning help reveal the key process and components of learning from a student’s perspective, how facilitators make sense of and learn from the dynamics of experiential learning are often overlooked. Given their crucial role in shaping experiential learning, it is important to create a deepened empirical understanding of instructor experiences, challenges, and practices for experiential teaching. In this paper, we examine instructors’ reflection, sensemaking, and lessons learned as they encounter critical incidents in their own practice. We present our data through a process model that describes instructors’ dynamic interactions with learners, starting with what we call “the spark.” By revealing how instructors engage in and respond to unscripted moments in experiential teaching, we offer a fuller picture of the relational dynamics that shape their practice. Our findings problematize the existing notions of experiential learning by showing how co-emergence plays out in intra- and interpersonal interactions with the surrounding ecosystem. By introducing an enactive lens, we provide a novel perspective that we present as a “dance,” linking vulnerability and the creation of brave—not merely safe—spaces for learning. We highlight the need for adaptive approaches for instructors to help build experiential expertise. © Academy of Management Learning & Education.",,
HOW TO SUPPORT STUDENTS' SELF-REGULATED LEARNING IN TIMES OF CRISIS: AN EMBEDDED TECHNOLOGY-BASED INTERVENTION IN BLENDED LEARNING PEDAGOGIES,2023,Academy of Management Learning and Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174311961&doi=10.5465%2famle.2022.0188&partnerID=40&md5=5d3224009c70c29d2b9d3c8e0324b768,"With the increasing prevalence of technology-enhanced learning environments, selfregulated learning (SRL) has become a crucial skill for management students and graduates in the 21st century. Self-regulated learners can take control of their own learning process by setting learning objectives and selecting appropriate learning strategies. As a result of the recent COVID-19 crisis, universities were compelled to shift to online course delivery, which greatly reduced social interaction between educators and learners and challenged educators' feedback practices. To address this issue, we developed and embedded a technology-based intervention with temporal-proximate and regular formative feedback assessments in a large-scale management course to promote graduate students' SRL practices. We evaluated the intervention in a quasi-experiment, which found that studentswith the embedded SRL intervention had higher self-assessment and learning outcome scores and lower absolute self-assessment deviation. Our study makes at least three contributions. First, we shed light on students' SRL strategies in times of emergency remote learning, highlighting their extensive need for social support and comparison. Second, we extend the literature on SRL and social-cognitive theory by unveiling a hidden effect when embedding temporal-proximate and regular interventions. Third,we contribute an empirically evaluated intervention to foster students' SRL in blended learning and online pedagogies. © 2023 Academy of Management Learning & Education.",,
REBORDERING THE TOTAL INSTITUTION: DESIGNING THRIVING BUSINESS SCHOOLS THROUGH CREATIVE RESOURCING AND EDUCATOR AGENCY,2023,Academy of Management Learning and Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174291133&doi=10.5465%2famle.2022.0205&partnerID=40&md5=34fa855a5b93a845afb1b147c1c9ab46,"COVID-19 has exacerbated vulnerabilities in the ways business school educators work, resulting in isolation, exhaustion, and broken communities. After examining the current state of institutional challenges, I characterize pandemic lockdown as amanifestation of Goffman's total institution, describing how disculturation, isolation, fear, and loss of agency conflated life spheres and initiated a loss of self. As we emerge from lockdown conditions, I argue that a dramatic expansion of academic work and persistent nonwork life responsibilities required during COVID have created an unbordered total institution that is no less immersive and no less disorienting than lockdown.Employing activity theory as a practical tool, I offer ways of rebordering work by redefining life spheres for business school educators, recapturing agency and creativity as a ""new normal"". © 2023 Academy of Management Learning & Education.",,
VIRTUOUS EXEMPLARITY IN BUSINESS ETHICS EDUCATION: INSIGHTS FROM THE PLATONIC TRADITION,2023,Academy of Management Learning and Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174288144&doi=10.5465%2famle.2022.0333&partnerID=40&md5=85400796a993f278be8a3aa379ae2764,"Following the discussion in the literature on virtue ethics, this study aims to explore how exemplarity can foster the development of virtues in business ethics education. We propose to draw on the Platonic and Neoplatonic view of exemplarity to determine how knowledge of the virtues can aid students' moral development. This examination of the complex but unified system of virtues derived from the Platonic tradition helps us to elaborate educational principles prioritizing (a) positive exemplification over negative exemplification, (b) exemplarity over exemplification, and (c) virtuous exemplarity over moral exemplarity. We thereby show that business ethics education based on these three principles avoids the pitfalls of negative or artificial exemplification and encourages students to engage in a contemplative, imitative, and reflexive approach that is conducive to the development of moral excellence. © 2023 George Washington University. All rights reserved.",,
KNOWING BUT NOT ENACTING LEADERSHIP: NAVIGATING THE LEADERSHIP KNOWING-DOING GAP IN LEVERAGING LEADERSHIP DEVELOPMENT,2023,Academy of Management Learning and Education,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174308932&doi=10.5465%2famle.2020.0534&partnerID=40&md5=1489408879b0c1949a73aa0885921415,"What managers know about leadership (e.g., conceptual and procedural knowledge) does not necessarily predict what they do (applied knowledge) in organizations. This research explores the leadership knowing-doing gap, which we define as a discrepancy between managers' leadership knowing and the extent towhich they transfer it into leadership doing. Taking a phenomenological approach, we explore how and whymanagers experience the leadership knowing-doing gap, analyzing 65 critical incidents frominterviews with 22 managers in leadership roles across various organizational levels in the United Kingdom. We present the leadership knowing-doing gap as a multifaceted, dynamic, and complex experience involving cognitive, affective, and behavioral elements. We discuss how these elements interplay in influencing the dynamics of creating or widening the gap on the one hand, and preventing or closing the gap on the other hand. We shed light on factors that influence the leadership knowing-doing gap: motivation, prioritization, and confidence to enact leadership. We also highlight the role of context in leadership knowing-doing discrepancies. Our definition and proposed framework offer a conceptualization that advances understanding of the leadership knowing- doing gap. We end with our theoretical contributions and practical implications for both management learning and leadership development. © 2023 Academy of Management Learning & Education.",,
