Title,Year,Source title,Link,Abstract,Author Keywords,Index Keywords
Employees absenteeism: the role of ease of movement.,1985,Academy of Management journal. Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022084926&doi=10.2307%2f256211&partnerID=40&md5=f0873529137a078481d380d222b620ab,[No abstract available],,"Absenteeism; Career Mobility; Humans; Job Satisfaction; Nursing Staff, Hospital; Regression Analysis; absenteeism; article; career mobility; human; job satisfaction; nursing staff; psychological aspect; regression analysis"
Leader-follower exchange quality: the role of personal and interpersonal attributes.,1994,Academy of Management journal. Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0028488467&doi=10.2307%2f256608&partnerID=40&md5=dd0928155b2d8c2d6e9c183f5694c174,A field study of 84 registered nurses and their supervisors revealed that leaders' perceptions of leader-follower attitudinal similarity and follower extraversion were positively related to the quality of leader-follower exchanges. Neither followers' locus of control nor growth need strength was found to be significantly correlated with the quality of the exchange between leaders and followers.,,"Adult; Attitude of Health Personnel; Data Collection; Female; Humans; Interpersonal Relations; Leadership; Male; Nursing Staff, Hospital; Nursing, Supervisory; Regression Analysis; United States; adult; article; female; health personnel attitude; human; human relation; information processing; leadership; male; nursing; nursing staff; organization and management; psychological aspect; regression analysis; statistics; United States"
"Power in top management teams: dimensions, measurement, and validation.",1992,Academy of Management journal. Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026902902&doi=10.2307%2f256485&partnerID=40&md5=f47dbae86e2bb294cdaf8ded548aa348,"Top managers' power plays a key role in strategic decision making. However, although numerous scholars have recognized its importance, very few have attempted to measure the phenomenon. In this article, I present a set of dimensions measuring top managers' power and suggest a measurement methodology to facilitate empirical inquiry. Data from a group of 1,763 top managers in three industries were used to assess the validity and reliability of the power dimensions in three studies. Results demonstrate strong support for the proposed power dimensions.",,"Administrative Personnel; Commerce; Data Collection; Decision Making, Organizational; Humans; Institutional Management Teams; Leadership; Power (Psychology); United States; administrative personnel; article; behavior; commercial phenomena; human; information processing; leadership; management; manpower; organization; organization and management; statistics; United States"
Information processing and problem solving: the migration of problems through formal positions and networks of ties.,1991,Academy of Management journal. Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026297936&doi=10.2307%2f256396&partnerID=40&md5=550705df3b86c8a48ae63325ae264b45,A study of the flow of information about organizational problems was conducted. We found that managers often avoided passing problems to formally designated problem solvers and used personal ties to forward information to problem solvers. The strength of ties between individuals had a weak effect on passing problems across professional boundaries.,,"Communication; Evaluation Studies; Humans; Information Services; Interprofessional Relations; Operations Research; Organizational Culture; Patient Satisfaction; Personnel, Hospital; Probability; Problem Solving; Research Design; United States; article; evaluation; hospital personnel; human; information service; interpersonal communication; methodology; organization; patient satisfaction; probability; problem solving; psychological aspect; public relations; system analysis; United States"
The moderating role of work context in job design research: a test of competing models.,1984,Academy of Management journal. Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021696907&doi=10.2307%2f255886&partnerID=40&md5=478b89eab3f0e529ab9bc3a6d000d6b7,[No abstract available],,"Humans; Job Satisfaction; Models, Theoretical; Nursing Staff; Regression Analysis; Skilled Nursing Facilities; article; human; job satisfaction; nursing home; nursing staff; psychological aspect; regression analysis; theoretical model"
The effects of full-time versus part-time employment status on attitudes toward specific organizational characteristics and overall job satisfaction.,1984,Academy of Management journal. Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021696908&doi=10.2307%2f255887&partnerID=40&md5=0b917696593e1e2071cf9fd6860ba875,[No abstract available],,"Analysis of Variance; Attitude of Health Personnel; Hospital Bed Capacity, under 100; Humans; Job Satisfaction; Personnel Management; Personnel Staffing and Scheduling; Personnel, Hospital; Time Factors; analysis of variance; article; health personnel attitude; hospital bed capacity; hospital personnel; human; job satisfaction; methodology; personnel management; psychological aspect; time"
Decision-making participation patterns: the role of organizational context.,1992,Academy of Management journal. Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026823439&doi=10.2307%2f256480&partnerID=40&md5=112984a3d83c74b011e3a632d23c9a49,"Patterns of employees' participation in a number of specific decisions were studied in 101 Oregon nursing homes. The inquiry concerned whether such patterns vary according to the contextual properties of facility size, skill level, and profit-making orientation. Although interaction effects varied, main-effect results were strong.",,"Decision Making, Organizational; Health Facility Administrators; Humans; Income; Linear Models; Nursing Homes; Oregon; Professional Competence; Questionnaires; MLCS; MLOWN; article; health care facility; human; income; manpower; nursing home; organization; organization and management; professional competence; questionnaire; statistical model; statistics; United States"
Antecedents and outcomes of decision speed in different environmental contexts.,1991,Academy of Management journal. Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0026180921&doi=10.2307%2f256451&partnerID=40&md5=0a2fa7dfa0a934b2b3b2db1b1ea1f5a8,"This study refined and extended some findings of previous research on decision-making speed. Decision speed was associated with simultaneous consideration of many alternatives, regardless of context. In contrast, the relationship between board experience and decision speed was context-specific. Similarly, decision speed was associated with higher performance only in high-velocity environments.",,"Biotechnology; Data Collection; Decision Making, Organizational; Governing Board; Health Services Research; Hospital Administration; Hospitals, Voluntary; Industry; North Carolina; Textiles; Time Factors; United States; biotechnology; board of trustees; comparative study; health services research; hospital management; industry; information processing; non profit hospital; organization; organization and management; review; statistics; textile; time; United States"
Attitudinal differences among work shifts: what do they reflect?,1985,Academy of Management journal. Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022121530&doi=10.2307%2f256128&partnerID=40&md5=f7e1f5709f42804d0282ee58014ef6d0,[No abstract available],,"Analysis of Variance; Attitude of Health Personnel; Data Collection; Emergency Service, Hospital; Humans; Nursing Staff, Hospital; Personnel Management; Personnel Staffing and Scheduling; United States; analysis of variance; article; emergency health service; health personnel attitude; human; information processing; manpower; nursing staff; personnel management; psychological aspect; United States"
"Strategic sensemaking and organizational performance: linkages among scanning, interpretation, action, and outcomes.",1993,Academy of Management journal. Academy of Management,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027580893&doi=10.2307%2f256522&partnerID=40&md5=6d9ce70086d8e7346c85f01c02153ad1,"This study investigated the strategic ""sensemaking"" processes of scanning, interpretation, and action and how those activities are linked to organizational performance. Using path analyses on data from 156 hospitals, we tested the direct and indirect effects among these sensemaking processes and performance outcomes and developed a model of their relationships. In a more general sense, the research represents an attempt to provide insight not only into relationships between cognition and action, but also into the links between those fundamental processes and organizational performance outcomes.",,"Adult; Analysis of Variance; Chi-Square Distribution; Chief Executive Officers, Hospital; Cognition; Decision Making, Organizational; Evaluation Studies; Health Services Research; Hospitals, Community; Humans; Models, Psychological; Multivariate Analysis; Outcome and Process Assessment (Health Care); Questionnaires; Regression Analysis; Texas; adult; analysis of variance; chi square distribution; cognition; community hospital; evaluation; health services research; hospital administrator; human; multivariate analysis; organization; organization and management; psychological aspect; psychological model; questionnaire; regression analysis; review; statistics; treatment outcome; United States"
