"Title","Year","Link","Abstract","Author Keywords","Index Keywords"
"Social finance and sustainable development goals: A literature synthesis, current approaches and research agenda","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093652297&doi=10.35944%2fJOFRP.2020.9.1.010&partnerID=40&md5=5c1fc59ca86d34c4d935c8ba9fc89ab7","The debate, especially in policy circles, around the emergence of Social and Sustainable Finance (SSF), depict as ‘paradoxical’ the contrast between SSF as a relatively underdeveloped field of knowledge and thought, and yet as an area of practice with ‘vast potential’ that is experiencing an ‘explosion’ in practitioner numbers. Such potential, in term of economic and social value that SSF can deliver, is reflected in the increasing of interest within the public policy-making arena in the achievement of Sustainable Development Goals (SDGs). More in detail, it is also underlined by the raising of public and private investment into promoting and supporting them. Within such evolving arena, the exact scale and scope of SSF’s contribution to the improvement of SDGs worldwide is difficult to delineate and measure accurately, but there seems to be universal agreement that SDGs represent an ideal and widespread area where SSF can register a significant growth. However, limited research addressed the marriage of these two fields. The purpose of this research are: i) to shed light on existing academic literature embracing both Social and Sustainable Finance and SDGs issues, ii) explore emerging trends deriving from international policy-making actors, market builders, managers, senior academics and, iii) to identify the main areas for further research focusing on SSF and SDGs. In order to derive a research agenda about such emerging research topic, the study adopts a triangulated approach based on qualitative mixed methods. With such objectives in mind, the study provides an extensive literature review in order to depict a comprehensive overview of existing knowledge considering both SSF and SDGs topics. The analysis is therefore enhanced by the trends identified from literature deriving from public policy- making actors and market-builders as well as from invited commentaries on SSF from senior scholars and managers. Thus, a holistic perspective on SSF experience, useful to identify the main areas for further research on SSF in the sustainability industry, was derived. The study, therefore, aims to provides, through a triangulated analysis of the concepts, frameworks and trends, a detailed understanding of the mechanisms for managing the interplay between SSF and SDGs, by highlight future avenues of research in this field. © 2020 by the authors. Licensee ACRN Publishing, Austria, Editor in Chief Prof. Dr. Othmar M. Lehner. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY SA) license (https://creativecommons.org/licenses/by-sa/4.0/)","Research agenda; SDGs; Social finance; Sustainable finance",""
"The effects of global financial crisis on the behaviour of European banks: A risk and profitability analysis approach","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054740886&partnerID=40&md5=833d1910abd6fca917ec3e4cb0e95be7","The effects of global financial crisis have been severe on banks. Many banks went bankrupt and many are in distress due to their sensitivities, stored in their balance sheets, to financial risks enlarged by the crisis. Some of banks, on the other hand, have felt the effects slightly. Recalling that total risk is sum of two parts of risk namely; volatility and sensitivity and that volatility is not under the discretion of banks, i.e. externally determined, it is assumed that the degree of banks getting affected by the global financial crisis is largely dependent on their sensitivities to risks. Banks' sensitivities to risks are assumed to be under the control of banks. Thus, in line with their risk appetite, banks can always change the structure of their balance sheet to alter their sensitivities to financial and non financial risks. In this paper it is targeted to analyze and compare the balance sheet structure banks from 27 European countries in order to find their sensitivities to different financial risks such as credit risk and liquidity risk. It will further be analyzed how banks' balance sheet structures have been altered after the crisis. To observe the behavioural variations (if there is any) of banks getting affected by financial crisis, the analysis is widened to include different characteristics of banks such as; the country where they are operating, region where they are belong to, scale of their operations, their ownership, their type and etc. © 2018 ACRN Oxford Ltd. All rights reserved.","Balance sheet structure; Banking; Global crisis",""
"Corporate Social Responsibility as a managerial learning process","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107133489&doi=10.35944%2fJOFRP.2021.10.1.005&partnerID=40&md5=35677b7d3bd0843e15d1884b52549ac6","The purpose of this paper is twofold. 1) We propose for the first time in the literature a theory (managerial learning hypothesis) that may explain why managers engage in corporate social responsibility (CSR). 2) We use an intuitive empirical methodology (Edmans et al. 2017) to test the relevance/irrelevance of our new theory. The idea behind our main contribution is that managers engage in CSR to learn new relevant information from other informed stakeholders. In return, managers will use both the new information and other information they already have to choose the optimal level of firm's investment (Jayaraman and Wu, 2019). Therefore, we propose to examine whether a strong CSR engagement improves revelatory efficiency (Edmans et al. 2012, 2017). The latter accounts for the extent to which stock prices reveal new information to managers that will help them make value-maximizing choices. Our findings suggest that CSR activities do not allow firm's managers to extract new information from their stock prices and ultimately improve the efficiency of their investment choices. © 2021 by the authors. Licensee ACRN Publishing, Austria, Editor in Chief Prof. Dr. Othmar M. Lehner. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY SA) license (https://creativecommons.org/licenses/by-sa/4.0/)","Corporate social responsibility; Investment-price sensitivity; Managerial learning theory; Revelatory efficiency",""
"A factor analysis of corporate financial performance: Prospect for new dimension","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093524974&doi=10.35944%2fJOFRP.2020.9.1.009&partnerID=40&md5=76eaa8554770872144081c2399603a4b","This study aims to find the dimensions of financial indicators where both ratio and non-ratio indicators are accommodated. It is expected that the new dimensions of financial indicators be found. Both Exploratory and Confirmatory Factor Analysis is used in analyzing the data. Data are taken from 120 companies listed in Indonesian Stock Exchange (IDX). Twenty financial indicators from the financial reports of each company are identified. While it has been a common practice to use ratio in indicating financial performance, it is not common to use an individual value from financial statements as financial indicators. This study shows that financial indicators can be grouped into four dimensions; they are Operational Performance, Asset-Income Performance, Owner Returns Performance and Leverage Performance. All of the non-ratio indicators that are expressed in the amount are grouped in the Asset-Income Performance dimension. New dimensions of financial performance indicators that do not commonly exist in this study, they are Asset-Income, and Leverage Performance. With the new dimension, non-financial performances such as customer satisfaction, corporate social responsibility, reputation, nepotism, and professionalism may be detected. © 2020 by the authors. Licensee ACRN Publishing, Austria, Editor in Chief Prof. Dr. Othmar M. Lehner. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY SA) license","Corporate finance; Factor analysis; Financial performance",""
"Transition finance and markets","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093692393&doi=10.35944%2fJOFRP.2020.9.1.011&partnerID=40&md5=0376fd152efcb842b93179ec994335e2","The increased focus and agreement on the requirement for the planet to be more sustainable has led to an array of new research and financial products. The new buzz phrase is transition financing which is being seen as the path to achieving a sustainable world. The Development Assistance Committee (DAC) in the Organisation for Economic Co-operation and Development (OECD, 2019) has the main objective of transition finance is to optimise access to finance for sustainable development to avoid financing gaps or socio-economic setbacks. This chapter examines some of the products and markets in current use by financial institutions and investors. It describes their use and recent research in this area as well as some gaps in this research. © 2020 by the authors. Licensee ACRN Publishing, Austria, Editor in Chief Prof. Dr. Othmar M. Lehner. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY SA) license (https://creativecommons.org/licenses/by-sa/4.0/)","Environmental markets; Green bonds; Transition finance",""
"Economic and financial transactions govern business cycles","2019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077468195&doi=10.35944%2fjofrp.2019.8.1.001&partnerID=40&md5=b88cbb077cbcb74fa3e91d63656dc2fc","Problem/Relevance - This paper presents new description of the business cycles that for decades remain as relevant and important economic problem. Research Objective/Questions - We propose that econometrics can provide sufficient data for assessments of risk ratings for almost all economic agents. We use risk ratings as coordinates of agents and show that the business cycles are consequences of collective change of risk coordinates of agents and their financial variables. Methodology - We aggregate similar financial variables of agents and define macro variables as functions on economic space. Economic and financial transactions between agents are the only tools that change their extensive variables. We aggregate similar transactions between agents with risk coordinates x and y and define macro transactions as functions of x and y. We derive economic equations that describe evolution of macro transactions and hence describe evolution of macro variables. Major Findings - As example we study simple model that describes interactions between Credits transactions from Creditors at x to Borrowers at y and Loan-Repayment transactions that describe refunds from Borrowers at y to Creditors at x. We show that collective motions of Creditors and Borrowers from safer to risky area and back on economic space induce frequencies of macroeconomic Credit cycles. Implications - Our model can improve forecasting of the business cycles and help increase economic sustainability and financial policy-making. That requires development of risk ratings methodologies and corporate accounting procedures that should correspond each other to enable risk assessments of economic agents. © 2019 ACRN Oxford Ltd.","Business cycle; Economic space; Economic transactions; Risk assessment",""
"Are strategies for international diversification by country, industry and region equivalent?","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117929040&doi=10.35944%2fjofrp.2021.10.1.011&partnerID=40&md5=faa4e68463701ee60395c33469d5a785","In this study, we examine whether international portfolio diversification still matters despite an increase in the cross-country correlations of assets returns. More specifically, we explain why an increase in global return correlations does not necessarily imply a reduction in the benefits of international portfolio diversification. We also propose to compare empirically two traditional strategies of international diversification (by country and industry) in addition to a new strategy (by region) using two different methodological approaches, namely the mean variance spanning and multivariate cointegration analysis. Over the full sample period (1994-2008), our results suggest that the three strategies of international diversification remain effective despite the secular increase in the cross-country return correlations. When we divide the sample into two different sub-periods (1994-2000 and 2000-2008), the findings indicate that the strategy based on regional diversification proved to be a new competing strategy during the second period in comparison to the other two traditional strategies. © 2021 ACRN Oxford Ltd.. All rights reserved.","Cointegration; Countries Industries/sectors; International diversification; Market indexes; Mean variance spanning; Regions",""
"Nordic green bond issuers’ views on the upcoming EU Green Bond Standard","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117942607&doi=10.35944%2fjofrp.2021.10.1.012&partnerID=40&md5=10e5abac1874962866d67b69dbcb5fad","The green bond market is growing and becoming increasingly important in green finance and for the transition to a low-carbon economy. Still, the green bond market is to a large extent unstandardised. There is no commonly agreed definition of the term ‘green’. This has been seen as one of the biggest challenges when it comes to the development of the green bond market. The need of a unified EU standard has been raised and as an effect the establishment of the EU Green Bond Standard is now in development. However, new standards might not only bring advantages, but also challenges. Striking the right balance of strictness might be hard. The research has been conducted through qualitative method with semi-structured interviews. Nine interviews were held during November and December 2020. The data was then analysed through thematic coding in order to find patterns of meaning. The results show that Nordic green bond issuers overall are positive towards the EU Green Bond Standard. The EU GBS has a good aim, to harmonise and enlarge the green bond market. However, the standard brings challenges that are to a large extent known challenges which the EU GBS aims to address, such as labour intensive reporting processes, lack of initiative and reputational risk. Also, it is argued that the standard is not fair and applicable for all the countries and companies. Countries national laws may not always go hand in hand with the standard. For example, the requirements for green buildings are seen as challenging in the Nordics. If these challenges are not taken into consideration, Nordic green bond issuers fear that the market will not grow, but instead decrease. Additionally, Nordic green bond issuers argue the adoption of the EU GBS is not a guarantee for issuers. Bigger institutes are seen to be early adopters. For other issuers investor requirement and positive impact on their company reputation is seen as the key drivers for adoption of the standard. © 2021 by the authors. Licensee ACRN Publishing, Austria, Editor in Chief Prof. Dr. Othmar M. Lehner. This article is an open access article distributed under the terms and conditions of the Creative Commons Attribution (CC BY SA) license","EU GBS; EU Green Bond Standard; Green bond; Green bond issuer; Nordics; Standardisation",""
"Business model and firm’s financial performance: Evidence from the canadian mining sector","2017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047763155&partnerID=40&md5=4249f6e9e5ab07693a834cb6fd62a9e4","In this paper, we investigate the impact of business model design on the performance of Canadian mining companies. We propose a comprehensive typology of business models and use a variety of financial performance measures to test whether some business models do perform better than others. The findings indicate that all business models generate lower returns in comparison to a well diversified market portfolio. In addition, we have only weak evidence suggesting that some models (Productors and Streaming/Royalties) do have better financial performance than others. Overall, our results show that Canadian mining companies need to reevaluate the elements of their current business models. © 2017 ACRN Oxford Ltd. All rights reserved.","Business model; Conditional performance; Economic logic; Financial performance; Value capture; Value creation",""
"Price, volatility and the second-order economic theory","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114761834&doi=10.35944%2fJOFRP.2021.10.1.009&partnerID=40&md5=91106c32832bc081dbea456d06a7c6f5","We introduce the new price probability measure, which entirely depends on the probability measures of the value and the volume of the market trades. We define the nth statistical moment of the price as the ratio of the nth statistical moment of the value to the nth statistical moment of the volume of all trades performed during an averaging time interval Δ. The set of the price statistical moments determines the price characteristic function and its Fourier transform defines the price probability measure. The price volatility depends on the 1st and the 2nd statistical moments of the value and the volume of the trades. The prediction of the price volatility requires a description of the sums of squares of the value and the volume of the market trades during the interval Δ and we call it the second-order economic theory. To develop that theory, we introduce numerical continuous risk ratings and distribute the agents by the risk ratings as coordinates. Based on distributions of the agents by the risk coordinates, we introduce a continuous economic media approximation that describes the collective trades. The agents perform the trades under the action of their expectations. We model the mutual impact of the expectations and the trades and derive equations that describe their evolution. To illustrate the benefits of our approach, in a linear approximation we describe perturbations of the mean price, the mean square price and the price volatility as functions of the first and the second-degree trades' disturbances. © 2021 by the authors.","Economic theory; Expectations; Market trades; Price probability; Volatility",""
