"Link","Author Keywords","Index Keywords"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163932764&doi=10.1002%2faenm.202301285&partnerID=40&md5=1449963bcfed73a655df429b35553555","fluorinated solvent tuning; graphite-based lithium-ion batteries; low temperature; moderately-fluorinated strategy; solid electrolyte interphase","Charging (batteries); Cobalt compounds; Dissociation; Economic and social effects; Fluorination; Halogenation; Ionic conductivity; Ions; Lithium compounds; Lithium-ion batteries; Manganese compounds; Molecules; Nickel compounds; Solid electrolytes; Solvation; Solvents; Temperature; Tuning; Fast charging; Fluorinated solvent tuning; Fluorinated solvents; Graphite-based lithium-ion battery; Li +; Lows-temperatures; Moderately-fluorinated strategy; Salt dissociation; Solid electrolyte interphase; Solvent molecules; Graphite"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164167748&doi=10.1002%2faenm.202301350&partnerID=40&md5=5bc910ff6c38e017efe37734bc065c04","electrode contact interfaces; high-performance thermoelectric devices; interface design strategy; Mg<sub>2</sub>Sn<sub>0.75</sub>Ge<sub>0.25</sub>","Activation analysis; Activation energy; Bismuth compounds; Conversion efficiency; Electrodes; High resolution transmission electron microscopy; Interface states; Thermoanalysis; Contact interface; Design strategies; Electrode contact interface; Electrode contacts; High-performance thermoelectric device; Interface design strategy; Interface designs; Mg 2; Mg2sn0.75ge0.25; Performance; Thermoelectric devices; Thermal expansion"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163359364&doi=10.1002%2faenm.202301438&partnerID=40&md5=fdffecca421ffa93252c61e442108ba2","designing principles; electrocatalysts; hydrogen evolution; seawater splitting","Catalyst activity; Electrocatalysis; Electrodes; Electrolysis; Hydrogen; Seawater; 'current; Designing principle; Hydrogen evolution reactions; Hydrogen-evolution; Large-scales; Pure water; Seawater electrolysis; Seawater splitting; Splittings; ]+ catalyst; Electrocatalysts"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161966231&doi=10.1002%2faenm.202301008&partnerID=40&md5=bcc65fe0de82c77a23bed6a3f1cee1a1","aging; degradation; failure mechanism; pseudocapacitors; supercapacitors","Corrosion; Degradation; Electrodes; Electrolytes; Failure (mechanical); Blocking electrodes; Electrochemical applications; Electrode composition; Electrode material; Failure mechanism; High-power devices; Performance; Performance degradation; Pore blocking; Pseudocapacitors; Supercapacitor"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163620085&doi=10.1002%2faenm.202301391&partnerID=40&md5=ca6b464750804d16835174ec87d3b5c6","electrocatalysis; oxygen evolution reaction; structural reconstruction; structure–performance relationship","Catalyst activity; Electrocatalysts; Electrolysis; Oxygen; Oxygen evolution reaction; Transition metals; Catalytic species; Further development; In-depth understanding; Oxyhydroxides; Precatalysts; Reaction activity; Structural reconstruction; Structure performance; Structure–performance relationship; Synthesised; Electrocatalysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162068489&doi=10.1002%2faenm.202300719&partnerID=40&md5=40034e837d72355fe2a5a1d72831a39a","aqueous electrolytes; aqueous zinc metal batteries; improved ion transport kinetics; sodium polystyrene sulfonate","Electrolytes; Hydrogen bonds; Ions; Polystyrenes; Secondary batteries; Sodium; Vanadium pentoxide; Zinc; Aqueous electrolyte; Aqueous zinc metal battery; Improved ion transport kinetic; Ion batteries; Ion-transport; Polymer chains; Sodium polystyrene sulfonate; Transport kinetic; Zinc metal; Zn ions; Molecules"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166592075&doi=10.1002%2faenm.202301344&partnerID=40&md5=7205fb7476f99e245ed08f50e7edc7d6","",""
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162095226&doi=10.1002%2faenm.202300400&partnerID=40&md5=421b21bb58a6c36c4d5b83899779eac4","carrier kinetics; organic photoanodes; photoelectrochemical cells; photoexcitation","Catalysis; Heterojunctions; Oxidation; Photoelectrochemical cells; Bulk heterojunction; Carrier kinetic; Long lifetime; Organic photoanode; Organics; Overlayers; Performance; Photo-anodes; Photo-excitations; Photoelectrocatalytic; Ascorbic acid"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161717578&doi=10.1002%2faenm.202300769&partnerID=40&md5=1d05d93943cddec62bdfefbe9a9845ca","flow batteries; flow rate monitoring; self-adjustment; self-powered sensors; triboelectric nanogenerators","Electrolytes; Energy efficiency; Energy storage; Flow batteries; Nanogenerators; Reaction rates; Redox reactions; Flow rate monitoring; Large-scales; Lower energies; Nanogenerators; Rate monitoring; Reaction efficiency; Self adjustment; Self-powered; Self-powered sensor; Triboelectric nanogenerator; Flow rate"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164153693&doi=10.1002%2faenm.202301105&partnerID=40&md5=40b64aad80c44853034cd675ca034ff7","all-solid-state-batteries; argyrodite solid electrolytes; electronic conductivity; mechanical properties; particle size; percolation; volume changes","Biomechanics; Charging (batteries); Chlorine compounds; Electric conductivity; Electron transport properties; Lithium-ion batteries; Nickel compounds; Particle size; Solid electrolytes; Solid state devices; Solid-State Batteries; Solvents; Titanium compounds; All-solid-state battery; Argyrodite solid electrolyte; Electron transport; Electronic conductivity; Ion-transport; Liquid cells; Particles sizes; Percolation; Solid state technology; Volume change; Lithium compounds"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163866809&doi=10.1002%2faenm.202300904&partnerID=40&md5=48c1e9cb7d969e150182fa3d76566a7f","all-polymer solar cells; fill factor; polymerized small molecule acceptors; sequential processing","Chlorine compounds; Crystallinity; Efficiency; Molecules; Organic solvents; Polymer blends; Polymer solar cells; All-Polymer Solar Cells; Enhanced stability; Fill-factor; Higher efficiency; Hydrocarbon solvents; Industrial production; Polymerized small molecule acceptor; Sequential processing; Small molecules; Volatile solvents; Electron mobility"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163687185&doi=10.1002%2faenm.202300890&partnerID=40&md5=a236a8b486079df1e0f54dfe90eda11d","F termination; hydrophobicity; MAX phases; MXenes; zinc ion batteries","Electrodes; Etching; Hydrophilicity; Lithium batteries; Nickel compounds; Silicon; Silicon compounds; Sulfur hexafluoride; Zinc; F termination; Humid environment; Hydrophilics; Hydrophobics; Ion batteries; MAX-phase; Mxenes; Selectively etchings; Zinc ion battery; Zinc ions; Hydrophobicity"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163042629&doi=10.1002%2faenm.202300754&partnerID=40&md5=0aa73c19a15d506a130abeaedf6981d7","charge density wave; ferroelectricity; martensitic phase transition; shape memory alloys; superconductivity","Charge density; Ferroelectric materials; Microstructure; Phonons; Shape memory effect; Superconducting materials; Technology transfer; Charge-density-waves; Correlated materials; Displacive phase transitions; Kohn anomalies; Martensitic phase transitions; Materials class; Microstructural features; Property; Transport behavior; Unified framework; Charge density waves"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164801958&doi=10.1002%2faenm.202301218&partnerID=40&md5=f9a5484eb5e7ad479bfe96cec82d4806","all-perovskite tandem solar cells; buried interface; defect passivation; low-bandgap perovskites","Conducting polymers; Conversion efficiency; Crystallinity; Energy gap; Open circuit voltage; Passivation; Perovskite solar cells; Potassium compounds; Styrene; All-perovskite tandem solar cell; Buried interface; Defect passivation; Ethylenedioxythiophenes; Low bandgap; Low-bandgap perovskite; Performance; Potassium citrate; Tandem solar cells; Tin-lead; Perovskite"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162937337&doi=10.1002%2faenm.202300798&partnerID=40&md5=112e34ceaca9b513e61ad5783c23ffe7","in situ polymerization; lithium metal anodes; pouch cells; solid polymer electrolytes; solid-state batteries","Anodes; Polyelectrolytes; Polymerization; Solid electrolytes; Solid state devices; Solid-State Batteries; Battery manufacturing; In-situ polymerization; In-situ polymerization process; Interfacial contact; Liquid electrolytes; Lithium metal anode; Manufacturing process; Pouch cell; Solid polymer electrolytes; Solid state batteries; Lithium-ion batteries"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163350282&doi=10.1002%2faenm.202301396&partnerID=40&md5=464587ef0854d94df2c36ac83c281c76","electrolyte solvation; high-voltage batteries; lithium metal anodes; quasi–localized high-concentration electrolyte; solid electrolyte interphases","Anodes; Carbonation; Cathodes; Deterioration; Fluorine compounds; Lithium; Lithium compounds; Lithium-ion batteries; Solid electrolytes; Concentration electrolyte; Electrolyte solvation; High voltage batteries; High-voltages; Li metal; Lithium metal anode; Lithium metals; Localised; Quasi–localized high-concentration electrolyte; Solid electrolyte interphase; Solvation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161099602&doi=10.1002%2faenm.202300986&partnerID=40&md5=e685b07c69a973054a96fcbaef245e63","conjugated polymers; crown ether; hydrogen evolution from seawater; hydrogen evolution reaction; main-chain engineering; sodium-ions capture; visible light-driven water splitting","Crown ethers; Ethers; Hydrogen bonds; Ligands; Metal ions; Molecular dynamics; Reaction kinetics; Salts; Seawater; Sodium; Crown-ethers; Hydrogen evolution from seawater; Hydrogen evolution reactions; Hydrogen-evolution; Main chains; Main-chain engineering; Sodium ions; Sodium-ion capture; Visible light-driven water splitting; Visible-light-driven; Water splitting; Conjugated polymers"
